StoreNames,Index,StoreName,No_Coupons,Coupons,Coupon_N_A_Offer,CashBack_Pct_Dollars,CashBack,CB_NOD_Up_To,Total,AvgCashBack,TotalPurchAmt,,
Gifts.com,756,Gifts.com,1,1 Coupon,Coupon,8.00%,8.0% Cash Back was 4.0%,Cash Back Promo,1518,121,"18,975",,
Swissotel Hotels & Resorts,1816,Swissotel Hotels & Resorts,1,1 Coupon,Coupon,2.50%,2.5% Cash Back,Cash Back,1518,38,"60,720",,
Team Snap,1834,Team Snap,1,1 Coupon,Coupon,10.00%,Up to 10.0%,Up to Pct off,1525,153,"15,250",,
Spyder,1752,Spyder,9,9 Coupons,Coupons,3.00%,3.0% Cash Back,Cash Back,1532,46,"51,067",,
Pevonia,1462,Pevonia,1,1 Coupon,Coupon,5.00%,5.0% Cash Back,Cash Back,1535,77,"30,700",,
Deal Genius,490,Deal Genius,9,9 Coupons,Coupons,3.00%,3.0% Cash Back,Cash Back,1556,0,"51,867",,
Blank NYC,228,Blank NYC,1,1 Coupon,Coupon,5.00%,5.0% Cash Back,Cash Back,1565,1,"31,300",,
Onnit,1366,Onnit,0,No Coupons Available,N/A,12.50%,Up to 12.5%,Up to Pct off,1565,196,"12,520",,
Navigation.com,1290,Navigation.com,1,1 Coupon,Coupon,5.00%,5.0% Cash Back,Cash Back,1581,79,"31,620",,
BookPal,266,BookPal,15,15 Coupons,Coupons,2.50%,2.5% Cash Back,Cash Back,1585,0,"63,400",,
Superga,1801,Superga,4,4 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,1602,64,"40,050",,
Radio Flyer,1529,Radio Flyer,0,No Coupons Available,N/A,5.00%,Up to 5.0%,Up to Pct off,1610,81,"32,200",,
Radley London,1532,Radley London,0,No Coupons Available,N/A,3.00%,3.0% Cash Back,Cash Back,1631,49,"54,367",,
Magazine Values,1170,Magazine Values,1,1 Coupon,Coupon,7.50%,7.5% Cash Back,Cash Back,1634,123,"21,787",,
Flexshopper,676,Flexshopper,8,8 Coupons,Coupons,2.00%,2.0% Cash Back,Cash Back,1660,0,"83,000",,
BuyAutoParts,308,BuyAutoParts,22,22 Coupons,Coupons,1.00%,1.0% Cash Back,Cash Back,1661,0,"166,100",,
Active Ride Shop,17,Active Ride Shop,13,13 Coupons,Coupons,3.00%,3.0% Cash Back,Cash Back,1665,1,"55,500",,
Nunn Bush,1333,Nunn Bush,4,4 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,1668,83,"33,360",,
Mouth,1257,Mouth,4,4 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,1672,67,"41,800",,
Bally's Atlantic City,145,Bally's Atlantic City,4,4 Coupons,Coupons,$12.00 ,2.5% Cash Back,Cash Back,1683,202,140,,
Gifted Living,754,Gifted Living,2,2 Coupons,Coupons,5.50%,5.5% Cash Back,Cash Back,1684,1,"30,618",,
Picanova,1471,Picanova,0,No Coupons Available,N/A,8.00%,8.0% Cash Back,Cash Back,1692,135,"21,150",,
Europcar,621,Europcar,6,6 Coupons,Coupons,3.50%,3.5% Cash Back,Cash Back,1701,1,"48,600",,
Fine Jewelers,663,Fine Jewelers,16,16 Coupons,Coupons,6.00%,6.0% Cash Back,Cash Back,1707,1,"28,450",,
DigitalBuyer.com,518,DigitalBuyer.com,33,33 Coupons,Coupons,3.00%,3.0% Cash Back,Cash Back,1712,1,"57,067",,
prAna,1491,prAna,5,5 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,1723,69,"43,075",,
Bates Footwear,166,Bates Footwear,2,2 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,1744,1,"43,600",,
Outdoorplay,1383,Outdoorplay,11,11 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,1747,70,"43,675",,
Tipsy Elves,1882,Tipsy Elves,0,No Coupons Available,N/A,6.00%,6.0% Cash Back,Cash Back,1776,107,"29,600",,
Trollbeads,1922,Trollbeads,3,3 Coupons,Coupons,3.50%,3.5% Cash Back,Cash Back,1776,62,"50,743",,
Lou & Grey,1134,Lou & Grey,3,3 Coupons,Coupons,2.50%,2.5% Cash Back,Cash Back,1794,45,"71,760",,
Sunglass Warehouse,1797,Sunglass Warehouse,2,2 Coupons,Coupons,7.50%,7.5% Cash Back,Cash Back,1804,135,"24,053",,
Stio.com,1773,Stio.com,10,10 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,1805,72,"45,125",,
Todd Snyder,1888,Todd Snyder,1,1 Coupon,Coupon,4.00%,4.0% Cash Back,Cash Back,1806,72,"45,150",,
AcuRite,18,AcuRite,3,3 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,1821,1,"36,420",,
LE CHí‰TEAU,1073,LE CHí‰TEAU,3,3 Coupons,Coupons,3.50%,3.5% Cash Back,Cash Back,1825,64,"52,143",,
Crescent Electric Supply,457,Crescent Electric Supply,1,1 Coupon,Coupon,3.50%,3.5% Cash Back,Cash Back,1836,1,"52,457",,
Inhabit NY,912,Inhabit NY,11,11 Coupons,Coupons,3.00%,3.0% Cash Back,Cash Back,1841,1,"61,367",,
The Shelving Store,1648,The Shelving Store,3,3 Coupons,Coupons,3.50%,3.5% Cash Back,Cash Back,1861,65,"53,171",,
Blessed Herbs,230,Blessed Herbs,3,3 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,1862,1,"37,240",,
DHgate,512,DHgate,0,No Coupons Available,N/A,1.00%,1.0% Cash Back,Cash Back,1865,0,"186,500",,
Elsevier,599,Elsevier,3,3 Coupons,Coupons,6.00%,6.0% Cash Back,Cash Back,1869,1,"31,150",,
American Greetings eCards,71,American Greetings eCards,4,4 Coupons,Coupons,15.00%,15.0% Cash Back,Cash Back,1876,3,"12,507",,
Gift Collector,751,Gift Collector,12,12 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,1880,1,"47,000",,
Laptop Battery Express,1070,Laptop Battery Express,4,4 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,1897,95,"37,940",,
Wedding Paper Divas,2021,Wedding Paper Divas,6,6 Coupons,Coupons,2.00%,2.0% Cash Back,Cash Back,1897,38,"94,850",,
KEH Camera,1025,KEH Camera,3,3 Coupons,Coupons,1.00%,1.0% Cash Back,Cash Back,1902,19,"190,200",,
Callaway Apparel,318,Callaway Apparel,9,9 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,1904,1,"47,600",,
Mybag,1272,Mybag,5,5 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,1918,77,"47,950",,
Orchard Mile,1369,Orchard Mile,1,1 Coupon,Coupon,4.00%,4.0% Cash Back,Cash Back,1926,77,"48,150",,
SousVide,1728,SousVide,2,2 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,1929,77,"48,225",,
Rose Wholesale,1593,Rose Wholesale,12,12 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,1950,98,"39,000",,
Love-Scent,1135,Love-Scent,5,5 Coupons,Coupons,15.00%,15.0% Cash Back,Cash Back,1973,296,"13,153",,
Summit Online,1793,Summit Online,1,1 Coupon,Coupon,3.00%,3.0% Cash Back,Cash Back,1976,59,"65,867",,
Bling Jewelry,233,Bling Jewelry,2,2 Coupons,Coupons,3.50%,3.5% Cash Back,Cash Back,1979,1,"56,543",,
Fit and Fresh,670,Fit and Fresh,13,13 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,1993,1,"49,825",,
Wiggle,2036,Wiggle,0,No Coupons Available,N/A,1.50%,1.5% Cash Back,Cash Back,1993,30,"132,867",,
Ben Meadows,194,Ben Meadows,4,4 Coupons,Coupons,3.50%,3.5% Cash Back,Cash Back,1995,1,"57,000",,
Rio Las Vegas,1574,Rio Las Vegas,2,2 Coupons,Coupons,2.50%,2.5% Cash Back,Cash Back,1997,50,"79,880",,
Stash Tea,1761,Stash Tea,2,2 Coupons,Coupons,2.50%,2.5% Cash Back,Cash Back,1999,50,"79,960",,
Soia and Kyo,1720,Soia and Kyo,3,3 Coupons,Coupons,3.00%,3.0% Cash Back,Cash Back,2015,60,"67,167",,
CAT Footwear,349,CAT Footwear,2,2 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,2017,1,"50,425",,
FastSunglass.com,651,FastSunglass.com,2,2 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,2018,1,"50,450",,
adidas Golf,23,adidas Golf,19,19 Coupons,Coupons,3.00%,3.0% Cash Back,Cash Back,2023,1,"67,433",,
Michael C. Fina,1214,Michael C. Fina,0,No Coupons Available,N/A,2.00%,2.0% Cash Back,Cash Back,2030,41,"101,500",,
River Island,1578,River Island,0,No Coupons Available,N/A,3.50%,3.5% Cash Back,Cash Back,2031,71,"58,029",,
Motives Cosmetics,1250,Motives Cosmetics,4,4 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,2035,81,"50,875",,
Nancy Meyer,1279,Nancy Meyer,0,No Coupons Available,N/A,4.00%,4.0% Cash Back,Cash Back,2042,82,"51,050",,
Joules,991,Joules,6,6 Coupons,Coupons,3.25%,3.25% Cash Back,Cash Back,2043,1,"62,862",,
Roots Canada,1592,Roots Canada,3,3 Coupons,Coupons,2.00%,2.0% Cash Back,Cash Back,2069,41,"103,450",,
Dazadi,487,Dazadi,2,2 Coupons,Coupons,3.00%,3.0% Cash Back,Cash Back,2071,1,"69,033",,
IVLProducts,939,IVLProducts,3,3 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,2088,1,"41,760",,
Veronica Beard,1970,Veronica Beard,2,2 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,2089,84,"52,225",,
Zobha,2091,Zobha,6,6 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,2089,104,"41,780",,
GUESS Kids,797,GUESS Kids,3,3 Coupons,Coupons,2.00%,2.0% Cash Back,Cash Back,2096,0,"104,800",,
Boardwalk Buy,247,Boardwalk Buy,1,1 Coupon,Coupon,5.00%,5.0% Cash Back,Cash Back,2100,1,"42,000",,
Park Plaza Hotels & Resorts,1410,Park Plaza Hotels & Resorts,5,5 Coupons,Coupons,3.50%,3.5% Cash Back,Cash Back,2105,74,"60,143",,
NIC+ZOE,1314,NIC+ZOE,2,2 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,2133,85,"53,325",,
Harmon Face Values,825,Harmon Face Values,0,No Coupons Available,N/A,2.00%,2.0% Cash Back,Cash Back,2146,0,"107,300",,
Draper James,553,Draper James,2,2 Coupons,Coupons,3.00%,3.0% Cash Back,Cash Back,2154,1,"71,800",,
IceJerseys.com,903,IceJerseys.com,11,11 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,2154,1,"43,080",,
2xist.com,2118,2xist.com,3,3 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,2159,86,"53,975",,
Academy Sports & Outdoors,10,Academy Sports & Outdoors,21,21 Coupons,Coupons,1.50%,1.5% Cash Back,Cash Back,2172,0,"144,800",,
Chronicle Books,388,Chronicle Books,1,1 Coupon,Coupon,5.00%,5.0% Cash Back,Cash Back,2178,1,"43,560",,
Coordinates Collection,430,Coordinates Collection,4,4 Coupons,Coupons,5.00%,5.0% Cash Back was 2.0%,Cash Back Promo,2179,109,"43,580",,
Threads for Thought,1861,Threads for Thought,8,8 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,2179,109,"43,580",,
Nutri-Health Supplements,1334,Nutri-Health Supplements,0,No Coupons Available,N/A,10.00%,10.0% Cash Back,Cash Back,2183,218,"21,830",,
Keepsake Quilting,1024,Keepsake Quilting,9,9 Coupons,Coupons,6.00%,6.0% Cash Back,Cash Back,2189,131,"36,483",,
Caudalie,353,Caudalie,2,2 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,2195,1,"43,900",,
Umi Children's Shoes,1940,Umi Children's Shoes,3,3 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,2213,111,"44,260",,
Bay Alarm Medical,169,Bay Alarm Medical,0,No Coupons Available,N/A,$5.00 ,$5.00 Cash Back,Dollars back,2225,5,N/a,,
Stacy Adams,1755,Stacy Adams,2,2 Coupons,Coupons,3.50%,3.5% Cash Back,Cash Back,2229,78,"63,686",,
Merlin Cycles,1212,Merlin Cycles,5,5 Coupons,Coupons,1.00%,1.0% Cash Back,Cash Back,2241,22,"224,100",,
Zipcar,2089,Zipcar,5,5 Coupons,Coupons,$5.00 ,Up to $5.00,Up to Dollars,2250,5,N/a,,
Parachute Home,1404,Parachute Home,3,3 Coupons,Coupons,2.50%,2.5% Cash Back,Cash Back,2265,57,"90,600",,
Eagle Creek,570,Eagle Creek,5,5 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,2286,1,"45,720",,
Five Star,673,Five Star,5,5 Coupons,Coupons,5.50%,5.5% Cash Back,Cash Back,2296,1,"41,745",,
Baby Depot,137,Baby Depot,0,No Coupons Available,N/A,$10.00 ,2.5% Cash Back,Cash Back,2302,230,230,,
Auto Europe Car Rentals,120,Auto Europe Car Rentals,17,17 Coupons,Coupons,$5.00 ,Up to 3.5%,Up to Pct off,2311,5,N/a,,
StockYards,1774,StockYards,1,1 Coupon,Coupon,3.00%,3.0% Cash Back,Cash Back,2315,69,"77,167",,
True Value,1924,True Value,5,5 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,2321,93,"58,025",,
Perfect Memorials,1437,Perfect Memorials,4,4 Coupons,Coupons,3.00%,3.0% Cash Back,Cash Back,2336,70,"77,867",,
Kiyonna,1039,Kiyonna,1,1 Coupon,Coupon,4.00%,4.0% Cash Back,Cash Back,2339,94,"58,475",,
BenQ,195,BenQ,3,3 Coupons,Coupons,2.00%,2.0% Cash Back,Cash Back,2354,0,"117,700",,
Miss Selfridge,1232,Miss Selfridge,2,2 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,2355,94,"58,875",,
ViX Swimwear,1995,ViX Swimwear,5,5 Coupons,Coupons,3.00%,3.0% Cash Back,Cash Back,2376,71,"79,200",,
Bally's Las Vegas,146,Bally's Las Vegas,4,4 Coupons,Coupons,10,2.5% Cash Back,Cash Back,2382,238,238,,
PricePlunge,1496,PricePlunge,5,5 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,2387,95,"59,675",,
West Music,2027,West Music,4,4 Coupons,Coupons,3.00%,3.0% Cash Back,Cash Back,2402,72,"80,067",,
Allied Shirts,56,Allied Shirts,1,1 Coupon,Coupon,3.00%,3.0% Cash Back,Cash Back,2404,1,"80,133",,
SmartBuyGlasses,1704,SmartBuyGlasses,11,11 Coupons,Coupons,3.50%,Up to 3.5%,Up to Pct off,2405,84,"68,714",,
Margaritaville Cargo,1186,Margaritaville Cargo,4,4 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,2408,96,"60,200",,
Marika,1187,Marika,3,3 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,2429,121,"48,580",,
Marvel Store,1191,Marvel Store,1,1 Coupon,Coupon,5.00%,5.0% Cash Back,Cash Back,2436,122,"48,720",,
Arrow Direct,100,Arrow Direct,0,No Coupons Available,N/A,$25.00 ,3.0% Cash Back,Cash Back,2446,612,98,,
365 OutdoorWear,2121,365 OutdoorWear,1,1 Coupon,Coupon,5.00%,Up to 5.0%,Up to Pct off,2453,123,"49,060",,
Dynamite Clothing,566,Dynamite Clothing,2,2 Coupons,Coupons,3.00%,3.0% Cash Back,Cash Back,2461,1,"82,033",,
Ornament Shop,1375,Ornament Shop,9,9 Coupons,Coupons,2.50%,2.5% Cash Back,Cash Back,2465,62,"98,600",,
Skagen,1687,Skagen,5,5 Coupons,Coupons,2.50%,2.5% Cash Back,Cash Back,2472,62,"98,880",,
Scarves.com,1629,Scarves.com,2,2 Coupons,Coupons,7.50%,7.5% Cash Back,Cash Back,2483,186,"33,107",,
Paris Las Vegas,1407,Paris Las Vegas,2,2 Coupons,Coupons,2.50%,2.5% Cash Back,Cash Back,2491,62,"99,640",,
Easy Comforts,576,Easy Comforts,7,7 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,2510,1,"50,200",,
Rafaella,1533,Rafaella,1,1 Coupon,Coupon,4.00%,4.0% Cash Back,Cash Back,2519,101,"62,975",,
Isabella Oliver Maternity,931,Isabella Oliver Maternity,1,1 Coupon,Coupon,7.50%,7.5% Cash Back was 2.5%,Cash Back Promo,2539,190,"33,853",,
Sleep Number,1700,Sleep Number,9,9 Coupons,Coupons,4.00%,Up to 4.0%,Up to Pct off,2570,103,"64,250",,
MainStay Suites,1174,MainStay Suites,1,1 Coupon,Coupon,2.50%,2.5% Cash Back,Cash Back,2572,64,"102,880",,
Gold Violin,774,Gold Violin,2,2 Coupons,Coupons,1.50%,1.5% Cash Back,Cash Back,2609,0,"173,933",,
GE Appliance Parts,739,GE Appliance Parts,4,4 Coupons,Coupons,2.00%,2.0% Cash Back,Cash Back,2610,1,"130,500",,
Oka b.,1349,Oka b.,1,1 Coupon,Coupon,3.00%,3.0% Cash Back,Cash Back,2612,78,"87,067",,
Big Al's,212,Big Al's,8,8 Coupons,Coupons,1.50%,1.5% Cash Back,Cash Back,2613,0,"174,200",,
Americas Best Value Inn,72,Americas Best Value Inn,3,3 Coupons,Coupons,1.50%,1.5% Cash Back,Cash Back,2635,0,"175,667",,
Banggood.com,153,Banggood.com,0,No Coupons Available,N/A,$5.00 ,3.0% Cash Back,Cash Back,2648,132,530,,
Icing,904,Icing,6,6 Coupons,Coupons,3.50%,3.5% Cash Back,Cash Back,2648,1,"75,657",,
TriVillage,1921,TriVillage,4,4 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,2653,106,"66,325",,
Petplan,1460,Petplan,6,6 Coupons,Coupons,$12.50 ,$12.50 Cash Back,Dollars back,2655,13,N/a,,
Incoco,911,Incoco,0,No Coupons Available,N/A,2.50%,2.5% Cash Back,Cash Back,2660,1,"106,400",,
Stylin' Trucks,1788,Stylin' Trucks,1,1 Coupon,Coupon,4.00%,4.0% Cash Back,Cash Back,2672,107,"66,800",,
Majestic Athletic,1175,Majestic Athletic,11,11 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,2677,107,"66,925",,
US Cellular,1953,US Cellular,9,9 Coupons,Coupons,$30.00 ,Up to $30.00,Up to Dollars,2678,30,N/a,,
Lugz,1148,Lugz,4,4 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,2698,135,"53,960",,
B2C Jewels,135,B2C Jewels,2,2 Coupons,Coupons,$37.50 ,Up to 3.5%,Up to Pct off,2702,38,N/a,,
