StoreNames,Index,StoreName,No_Coupons,Coupons,Coupon_N_A_Offer,CashBack_Pct_Dollars,CashBack,CB_NOD_Up_To,Total,AvgCashBack,TotalPurchAmt
Pool Products,1485,Pool Products,14,14 Coupons,Coupons,3.00%,3.0% Cash Back,Cash Back,16229,487,"540,967"
2Modern,2117,2Modern,1,1 Coupon,Coupon,4.50%,4.5% Cash Back,Cash Back,16235,731,"360,778"
Bergners,197,Bergners,22,22 Coupons,Coupons,2.00%,2.0% Cash Back,Cash Back,16276,3,"813,800"
John Varvatos,983,John Varvatos,2,2 Coupons,Coupons,8.00%,8.0% Cash Back was 4.0%,Cash Back Promo,16290,"1,303","203,625"
5.11 Tactical,2128,5.11 Tactical,8,8 Coupons,Coupons,3.00%,3.0% Cash Back,Cash Back,16324,490,"544,133"
Skis.com,1692,Skis.com,4,4 Coupons,Coupons,3.00%,3.0% Cash Back,Cash Back,16446,493,"548,200"
VMware,1996,VMware,5,5 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,16468,823,"329,360"
LexMod,1094,LexMod,2,2 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,16487,659,"412,175"
Total Pet Supply,1904,Total Pet Supply,1,1 Coupon,Coupon,7.00%,7.0% Cash Back,Cash Back,16506,"1,155","235,800"
Undercover Tourist,1943,Undercover Tourist,6,6 Coupons,Coupons,1.00%,Up to 1.0%,Up to Pct off,16587,166,"1,658,700"
HostGator,880,HostGator,3,3 Coupons,Coupons,$30.00 ,$30.00 Cash Back,Dollars back,16747,30,N/a
BuyOnlineNow,310,BuyOnlineNow,1,1 Coupon,Coupon,2.50%,2.5% Cash Back,Cash Back,16790,4,"671,600"
Day Timer,485,Day Timer,10,10 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,16871,8,"337,420"
Cross,461,Cross,7,7 Coupons,Coupons,4.50%,4.5% Cash Back,Cash Back,16951,8,"376,689"
Ulla Popken,1938,Ulla Popken,1,1 Coupon,Coupon,4.00%,4.0% Cash Back,Cash Back,17037,681,"425,925"
Verizon Fios,1969,Verizon Fios,7,7 Coupons,Coupons,$22.50 ,$22.50 Cash Back,Dollars back,17107,23,N/a
All Battery,53,All Battery,1,1 Coupon,Coupon,8.00%,8.0% Cash Back,Cash Back,17138,14,"214,225"
Gempler's,744,Gempler's,6,6 Coupons,Coupons,3.50%,3.5% Cash Back,Cash Back,17178,6,"490,800"
David's Bridal,482,David's Bridal,20,20 Coupons,Coupons,1.50%,1.5% Cash Back,Cash Back,17225,3,"1,148,333"
Robeez,1580,Robeez,3,3 Coupons,Coupons,6.50%,6.5% Cash Back,Cash Back,17340,"1,127","266,769"
Baseball Rampage and Softball Rampage,162,Baseball Rampage and Softball Rampage,3,3 Coupons,Coupons,6.00%,6.0% Cash Back,Cash Back,17375,10,"289,583"
Rent the Runway,1563,Rent the Runway,3,3 Coupons,Coupons,2.00%,2.0% Cash Back,Cash Back,17587,352,"879,350"
ProPlants,1504,ProPlants,6,6 Coupons,Coupons,20.00%,20.0% Cash Back was 12.0%,Cash Back Promo,17605,"3,521","88,025"
DC Shoes,488,DC Shoes,7,7 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,17635,7,"440,875"
Super 8,1798,Super 8,8,8 Coupons,Coupons,2.50%,2.5% Cash Back,Cash Back,17666,442,"706,640"
Sleep Inn,1699,Sleep Inn,2,2 Coupons,Coupons,2.50%,2.5% Cash Back,Cash Back,17716,443,"708,640"
Aveda,126,Aveda,4,4 Coupons,Coupons,$25.00 ,4.0% Cash Back,Cash Back,17744,"4,436",710
Yahoo! Web Hosting,2068,Yahoo! Web Hosting,2,2 Coupons,Coupons,$3.00 ,$3.00 Cash Back,Dollars back,17751,3,N/a
Solstice Sunglasses,1722,Solstice Sunglasses,3,3 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,17754,888,"355,080"
Draper's & Damon's,554,Draper's & Damon's,3,3 Coupons,Coupons,2.50%,2.5% Cash Back,Cash Back,17845,4,"713,800"
Balsam Hill,147,Balsam Hill,13,13 Coupons,Coupons,$10.00 ,1.0% Cash Back,Cash Back,17860,"1,786","1,786"
G by GUESS,722,G by GUESS,3,3 Coupons,Coupons,2.00%,2.0% Cash Back,Cash Back,18090,4,"904,500"
Network Solutions,1298,Network Solutions,3,3 Coupons,Coupons,12.50%,Up to 12.5%,Up to Pct off,18315,"2,289","146,520"
Best of Vegas,203,Best of Vegas,15,15 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,18334,7,"458,350"
SkyMall,1696,SkyMall,16,16 Coupons,Coupons,1.50%,1.5% Cash Back,Cash Back,18342,275,"1,222,800"
Rock Creek,1583,Rock Creek,17,17 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,18389,736,"459,725"
Loxa Beauty,1141,Loxa Beauty,3,3 Coupons,Coupons,6.00%,6.0% Cash Back,Cash Back,18449,"1,107","307,483"
Intuit Online Payroll,922,Intuit Online Payroll,3,3 Coupons,Coupons,$22.50 ,Up to $22.50,Up to Dollars,18467,23,N/a
Golden State Fruit,775,Golden State Fruit,1,1 Coupon,Coupon,8.00%,8.0% Cash Back,Cash Back,18555,15,"231,938"
Essential Apparel,615,Essential Apparel,2,2 Coupons,Coupons,1.50%,1.5% Cash Back,Cash Back,18670,3,"1,244,667"
TUMI Luggage,1929,TUMI Luggage,7,7 Coupons,Coupons,2.50%,2.5% Cash Back,Cash Back,18759,469,"750,360"
Splendid,1742,Splendid,7,7 Coupons,Coupons,3.00%,3.0% Cash Back,Cash Back,18902,567,"630,067"
Cosme-De.com,434,Cosme-De.com,21,21 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,18988,9,"379,760"
EDCskincare,583,EDCskincare,26,26 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,19092,10,"381,840"
CookiesKids.com,429,CookiesKids.com,10,10 Coupons,Coupons,2.50%,2.5% Cash Back,Cash Back,19138,5,"765,520"
FreedomPop,708,FreedomPop,8,8 Coupons,Coupons,7.50%,7.5% Cash Back,Cash Back,19170,14,"255,600"
Tech for Less,1836,Tech for Less,2,2 Coupons,Coupons,3.50%,3.5% Cash Back,Cash Back,19235,673,"549,571"
Caesars Palace Las Vegas,314,Caesars Palace Las Vegas,7,7 Coupons,Coupons,2.50%,2.5% Cash Back,Cash Back,19274,5,"770,960"
Busted Tees,306,Busted Tees,1,1 Coupon,Coupon,8.50%,8.5% Cash Back,Cash Back,19323,16,"227,329"
Sweaty Betty,1811,Sweaty Betty,4,4 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,19370,969,"387,400"
Edwin Watts Golf,588,Edwin Watts Golf,2,2 Coupons,Coupons,3.50%,3.5% Cash Back,Cash Back,19378,7,"553,657"
Maxstudio,1199,Maxstudio,5,5 Coupons,Coupons,5.00%,5.0% Cash Back was 3.0%,Cash Back Promo,19452,973,"389,040"
HomeAway,872,HomeAway,1,1 Coupon,Coupon,$10.00 ,Up to $10.00,Up to Dollars,19455,10,N/a
GLAMGLOW,761,GLAMGLOW,3,3 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,19509,8,"487,725"
Corel,431,Corel,9,9 Coupons,Coupons,1.25%,Up to 11.25%,Up to Pct off,19663,2,"1,573,040"
Rebecca Taylor,1551,Rebecca Taylor,2,2 Coupons,Coupons,5.00%,5.0% Cash Back was 3.5%,Cash Back Promo,19678,984,"393,560"
The Great Courses,787,The Great Courses,2,2 Coupons,Coupons,2.50%,2.5% Cash Back,Cash Back,19711,5,"788,440"
Quiksilver,1524,Quiksilver,8,8 Coupons,Coupons,3.50%,3.5% Cash Back,Cash Back,19761,692,"564,600"
World Wide Stereo,2061,World Wide Stereo,17,17 Coupons,Coupons,3.00%,3.0% Cash Back,Cash Back,19842,595,"661,400"
Jack Rogers,947,Jack Rogers,2,2 Coupons,Coupons,8.00%,8.0% Cash Back was 4.5%,Cash Back Promo,19894,"1,592","248,675"
Heartland America,842,Heartland America,3,3 Coupons,Coupons,2.00%,2.0% Cash Back,Cash Back,19897,4,"994,850"
mark.,1188,mark.,5,5 Coupons,Coupons,3.00%,3.0% Cash Back,Cash Back,19994,600,"666,467"
Claire's,393,Claire's,5,5 Coupons,Coupons,3.50%,3.5% Cash Back,Cash Back,20099,7,"574,257"
Herbspro,846,Herbspro,13,13 Coupons,Coupons,7.00%,7.0% Cash Back,Cash Back,20182,14,"288,314"
ANDREW MARC,80,ANDREW MARC,3,3 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,20351,8,"508,775"
Jack Spade,948,Jack Spade,3,3 Coupons,Coupons,6.00%,6.0% Cash Back,Cash Back,20391,12,"339,850"
Canvas on Demand,330,Canvas on Demand,1,1 Coupon,Coupon,2.50%,2.5% Cash Back,Cash Back,20440,5,"817,600"
Flowers Fast,681,Flowers Fast,1,1 Coupon,Coupon,10.00%,10.0% Cash Back,Cash Back,20489,20,"204,890"
Joie,986,Joie,3,3 Coupons,Coupons,3.50%,3.5% Cash Back,Cash Back,20520,7,"586,286"
Alice + Olivia,49,Alice + Olivia,8,8 Coupons,Coupons,6.00%,6.0% Cash Back,Cash Back,20703,12,"345,050"
Peruvian Connection,1448,Peruvian Connection,2,2 Coupons,Coupons,2.50%,2.5% Cash Back,Cash Back,20708,518,"828,320"
MacPaw,1164,MacPaw,1,1 Coupon,Coupon,20.00%,20.0% Cash Back,Cash Back,20848,"4,170","104,240"
Competitive Cyclist,421,Competitive Cyclist,11,11 Coupons,Coupons,3.50%,3.5% Cash Back,Cash Back,20926,7,"597,886"
1800Mattress,2110,1800Mattress,4,4 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,21023,841,"525,575"
SoccerSavings.com,1715,SoccerSavings.com,8,8 Coupons,Coupons,3.25%,3.25% Cash Back,Cash Back,21074,685,"648,431"
GameFly,727,GameFly,1,1 Coupon,Coupon,5.00%,Up to 5.0%,Up to Pct off,21141,11,"422,820"
JackRabbit,951,JackRabbit,11,11 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,21184,8,"529,600"
ABCmouse.com,5,ABCmouse.com,3,3 Coupons,Coupons,2,$2.00 Cash Back,Dollars back,21220,2,N/a
Luggage Guy,1146,Luggage Guy,9,9 Coupons,Coupons,7.00%,7.0% Cash Back,Cash Back,21320,"1,492","304,571"
Saucony,1627,Saucony,23,23 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,21349,"1,067","426,980"
Winebasket.com,2044,Winebasket.com,1,1 Coupon,Coupon,5.00%,5.0% Cash Back,Cash Back,21444,"1,072","428,880"
Men's Wearhouse,1209,Men's Wearhouse,4,4 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,21461,858,"536,525"
DKNY,533,DKNY,1,1 Coupon,Coupon,5.00%,5.0% Cash Back,Cash Back,21775,11,"435,500"
Halloween Express,812,Halloween Express,6,6 Coupons,Coupons,6.00%,6.0% Cash Back,Cash Back,21782,13,"363,033"
Kerastase,1031,Kerastase,4,4 Coupons,Coupons,7.50%,7.5% Cash Back was 3.5%,Cash Back Promo,21795,"1,635","290,600"
Frenchtoast.com,711,Frenchtoast.com,10,10 Coupons,Coupons,2.50%,2.5% Cash Back,Cash Back,22020,6,"880,800"
Ouidad,1382,Ouidad,3,3 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,22098,884,"552,450"
Logitech,1122,Logitech,2,2 Coupons,Coupons,3.00%,3.0% Cash Back was 2.0%,Cash Back Promo,22200,666,"740,000"
Bumble and bumble,301,Bumble and bumble,2,2 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,22281,9,"557,025"
Norm Thompson,1323,Norm Thompson,2,2 Coupons,Coupons,1.00%,1.0% Cash Back,Cash Back,22380,224,"2,238,000"
Lab Series for Men,1060,Lab Series for Men,3,3 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,22447,898,"561,175"
Roxy,1597,Roxy,6,6 Coupons,Coupons,3.50%,3.5% Cash Back,Cash Back,22453,786,"641,514"
Big Dogs,213,Big Dogs,4,4 Coupons,Coupons,7.50%,7.5% Cash Back,Cash Back,22615,17,"301,533"
G.H. Bass and Co.,724,G.H. Bass and Co.,3,3 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,22616,9,"565,400"
Janie and Jack,955,Janie and Jack,3,3 Coupons,Coupons,1.00%,1.0% Cash Back,Cash Back,22622,2,"2,262,200"
X Out,2067,X Out,4,4 Coupons,Coupons,15.00%,15.0% Cash Back,Cash Back,22659,"3,399","151,060"
Entirely Pets,609,Entirely Pets,10,10 Coupons,Coupons,2.00%,2.0% Cash Back,Cash Back,22697,5,"1,134,850"
Acronis,16,Acronis,4,4 Coupons,Coupons,20.00%,Up to 20.0%,Up to Pct off,22754,46,"113,770"
Spa & Wellness Gift Card,1730,Spa & Wellness Gift Card,3,3 Coupons,Coupons,6.00%,6.0% Cash Back,Cash Back,22767,"1,366","379,450"
Jo Malone London,976,Jo Malone London,9,9 Coupons,Coupons,3.00%,3.0% Cash Back,Cash Back,22884,7,"762,800"
Mwave,1268,Mwave,1,1 Coupon,Coupon,1.50%,1.5% Cash Back,Cash Back,23012,345,"1,534,133"
Duncraft Birdfeeders,559,Duncraft Birdfeeders,1,1 Coupon,Coupon,5.00%,5.0% Cash Back,Cash Back,23053,12,"461,060"
Julep,1000,Julep,7,7 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,23058,12,"461,160"
Total Gym,1903,Total Gym,10,10 Coupons,Coupons,4.25%,4.25% Cash Back,Cash Back,23075,981,"542,941"
James Perse,952,James Perse,3,3 Coupons,Coupons,3.00%,3.0% Cash Back,Cash Back,23123,7,"770,767"
Days Inn,486,Days Inn,9,9 Coupons,Coupons,2.50%,2.5% Cash Back,Cash Back,23237,6,"929,480"
Razor Gator,1546,Razor Gator,47,47 Coupons,Coupons,3.50%,3.5% Cash Back,Cash Back,23277,815,"665,057"
Dell Refurbished Computers,498,Dell Refurbished Computers,5,5 Coupons,Coupons,2.50%,2.5% Cash Back,Cash Back,23282,6,"931,280"
KicksUSA,1033,KicksUSA,3,3 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,23326,"1,166","466,520"
Ghirardelli Chocolate,749,Ghirardelli Chocolate,4,4 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,23377,12,"467,540"
Adagio Teas,19,Adagio Teas,3,3 Coupons,Coupons,2.50%,2.5% Cash Back,Cash Back,23795,6,"951,800"
Autodesk,123,Autodesk,2,2 Coupons,Coupons,$32.50 ,6.0% Cash Back,Cash Back,23845,"7,750",734
Sixt Rent A Car,1685,Sixt Rent A Car,21,21 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,23877,955,"596,925"
Bonobos,258,Bonobos,6,6 Coupons,Coupons,1.50%,1.5% Cash Back,Cash Back,23938,4,"1,595,867"
PureFormulas,1518,PureFormulas,8,8 Coupons,Coupons,1.50%,1.5% Cash Back,Cash Back,24131,362,"1,608,733"
Motorola Mobility,1251,Motorola Mobility,7,7 Coupons,Coupons,3.00%,3.0% Cash Back,Cash Back,24147,724,"804,900"
CanvasDiscount.com,331,CanvasDiscount.com,7,7 Coupons,Coupons,8.00%,8.0% Cash Back,Cash Back,24270,19,"303,375"
YoYo.com,2077,YoYo.com,1,1 Coupon,Coupon,1.00%,1.0% Cash Back,Cash Back,24311,243,"2,431,100"
Step2,1769,Step2,4,4 Coupons,Coupons,3.00%,3.0% Cash Back,Cash Back,24500,735,"816,667"
24 Hour Fitness,2115,24 Hour Fitness,6,6 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,24522,"1,226","490,440"
Fandango,643,Fandango,7,7 Coupons,Coupons,2.00%,Up to 2.0%,Up to Pct off,24785,5,"1,239,250"
Easy Canvas Prints,575,Easy Canvas Prints,7,7 Coupons,Coupons,1.50%,1.5% Cash Back,Cash Back,24985,4,"1,665,667"
SeaWorld,1637,SeaWorld,16,16 Coupons,Coupons,2.50%,2.5% Cash Back,Cash Back,25091,627,"1,003,640"
Laura Mercier,1071,Laura Mercier,1,1 Coupon,Coupon,6.00%,6.0% Cash Back,Cash Back,25125,"1,508","418,750"
Kenneth Cole,1030,Kenneth Cole,4,4 Coupons,Coupons,1.50%,1.5% Cash Back,Cash Back,25151,377,"1,676,733"
timetospa,1878,timetospa,5,5 Coupons,Coupons,6.00%,6.0% Cash Back,Cash Back,25257,"1,515","420,950"
Vayama,1963,Vayama,9,9 Coupons,Coupons,$5.00 ,Up to $5.00,Up to Dollars,25300,5,N/a
eCampus.com,581,eCampus.com,4,4 Coupons,Coupons,3.50%,3.5% Cash Back,Cash Back,25322,9,"723,486"
PrimeSport,1497,PrimeSport,2,2 Coupons,Coupons,4.00%,Up to 4.0%,Up to Pct off,25360,"1,014","634,000"
Virgin Atlantic Airways,1981,Virgin Atlantic Airways,8,8 Coupons,Coupons,1.50%,1.5% Cash Back,Cash Back,25542,383,"1,702,800"
Free Tax USA,707,Free Tax USA,4,4 Coupons,Coupons,25.00%,25.0% Cash Back,Cash Back,25798,65,"103,192"
BeautyBar.com,183,BeautyBar.com,3,3 Coupons,Coupons,2.00%,2.0% Cash Back,Cash Back,25800,5,"1,290,000"
TicketCity,1866,TicketCity,9,9 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,25844,"1,034","646,100"
NationalBusinessFurniture.com,1285,NationalBusinessFurniture.com,48,48 Coupons,Coupons,2.50%,2.5% Cash Back,Cash Back,25983,650,"1,039,320"
Stonewall Kitchen,1775,Stonewall Kitchen,4,4 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,26168,"1,308","523,360"
Sittercity,1682,Sittercity,2,2 Coupons,Coupons,$7.50 ,$7.50 Cash Back,Dollars back,26198,8,N/a
Wrangler,2063,Wrangler,3,3 Coupons,Coupons,2.00%,2.0% Cash Back,Cash Back,26250,525,"1,312,500"
Pro Board Shop,1499,Pro Board Shop,11,11 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,26318,"1,316","526,360"
Right Start,1572,Right Start,1,1 Coupon,Coupon,2.50%,2.5% Cash Back,Cash Back,26442,661,"1,057,680"
Jack Threads,949,Jack Threads,1,1 Coupon,Coupon,2.50%,2.5% Cash Back,Cash Back,26700,7,"1,068,000"
Factory Outlet Store,636,Factory Outlet Store,21,21 Coupons,Coupons,2.00%,2.0% Cash Back,Cash Back,26840,5,"1,342,000"
Lighting Showplace,1105,Lighting Showplace,11,11 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,26876,"1,075","671,900"
Paper Source,1400,Paper Source,6,6 Coupons,Coupons,3.50%,3.5% Cash Back,Cash Back,26988,945,"771,086"
NOVICA,1329,NOVICA,2,2 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,27213,"1,089","680,325"
Rochester Big and Tall,1581,Rochester Big and Tall,2,2 Coupons,Coupons,3.00%,3.0% Cash Back,Cash Back,27216,816,"907,200"
WWE Shop,2065,WWE Shop,8,8 Coupons,Coupons,3.00%,3.0% Cash Back,Cash Back,27350,821,"911,667"
eFollett,590,eFollett,8,8 Coupons,Coupons,1.00%,1.0% Cash Back,Cash Back,27424,3,"2,742,400"
Jones New York,988,Jones New York,4,4 Coupons,Coupons,3.00%,3.0% Cash Back,Cash Back,27737,8,"924,567"
Perry Ellis,1443,Perry Ellis,9,9 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,27871,"1,115","696,775"
Dockers,536,Dockers,2,2 Coupons,Coupons,2.50%,2.5% Cash Back,Cash Back,27995,7,"1,119,800"
eHarmony,591,eHarmony,7,7 Coupons,Coupons,32.50%,32.5% Cash Back,Cash Back,28123,91,"86,532"
Big Fish Games,214,Big Fish Games,7,7 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,28277,14,"565,540"
Le Creuset,1075,Le Creuset,13,13 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,28355,"1,418","567,100"
DentalPlans.com,500,DentalPlans.com,2,2 Coupons,Coupons,$25.00 ,$25.00 Cash Back,Dollars back,28435,25,N/a
4 Wheel Parts,2124,4 Wheel Parts,73,73 Coupons,Coupons,3.00%,3.0% Cash Back,Cash Back,28443,853,"948,100"
Limoges Jewelry,1110,Limoges Jewelry,9,9 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,28483,"1,424","569,660"
Dr. Leonard's Healthcare,551,Dr. Leonard's Healthcare,1,1 Coupon,Coupon,4.00%,4.0% Cash Back,Cash Back,28778,12,"719,450"
Sonos,1725,Sonos,1,1 Coupon,Coupon,5.00%,5.0% Cash Back,Cash Back,28802,"1,440","576,040"
Costume Discounters,438,Costume Discounters,2,2 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,29061,12,"726,525"
Woodwind & Brasswind,2055,Woodwind & Brasswind,11,11 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,29541,"1,182","738,525"
Destination Maternity,509,Destination Maternity,8,8 Coupons,Coupons,2.50%,2.5% Cash Back,Cash Back,29573,7,"1,182,920"
Colorful Images,414,Colorful Images,4,4 Coupons,Coupons,1.50%,1.5% Cash Back,Cash Back,29695,4,"1,979,667"
Kate Somerville,1018,Kate Somerville,4,4 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,29777,"1,191","744,425"
Speedo USA,1736,Speedo USA,5,5 Coupons,Coupons,3.50%,3.5% Cash Back,Cash Back,29794,"1,043","851,257"
SheIn,1647,SheIn,8,8 Coupons,Coupons,6.00%,6.0% Cash Back,Cash Back,29949,"1,797","499,150"
