Pos.This.Week|Pos.Last.Week|Peak.Pos.This.Week|Total.Weeks|Title|Artist|Entry.Date|Pos.Entry|Overall.Peak.Pos|Overall.Total.Weeks|Chart.Date,,,,,,
19|23|1|12|Gettin' Jiggy Wit It|WILL SMITH|1998-02-28|3|1|32|19980516,,,,,,
20|19|19|9|Victory|PUFF DADDY & THE FAMILY feat THE NOTORIOUS B.I.G.|1998-03-21|50|19|20|19980516,,,,,,
21|17|1|17|Nice & Slow|USHER|1998-01-24|9|1|23|19980516,,,,,,
22|25|1|22|Together Again|JANET|1997-12-20|9|1|46|19980516,,,,,,
23|24|6|16|What You Want|MASE featuring TOTAL|1998-01-31|35|6|24|19980516,,,,,,
24|21|1|12|My Heart Will Go On|CELINE  DION|1998-02-28|1|1|20|19980516,,,,,,
25|26|9|24|How's It Going To Be|THIRD EYE BLIND|1997-12-06|36|9|52|19980516,,,,,,
26|18|7|15|Gone Till November|WYCLEF JEAN|1998-02-07|22|7|20|19980516,,,,,,
27|34|27|5|Looking Through Your Eyes|LeANN RIMES|1998-04-18|57|18|24|19980516,,,,,,
28|27|9|21|Deja Vu [Uptown Baby]|LORD TARIQ & PETER GUNZ|1997-12-27|80|9|26|19980516,,,,,,
29|32|29|6|I Got The Hook Up!|MASTER P feat SONS OF FUNK|1998-04-11|57|16|20|19980516,,,,,,
30|30|30|8|Raise The Roof|LUKE featuring NO GOOD BUT SO GOOD|1998-03-28|59|26|20|19980516,,,,,,
31|28|2|48|How Do I Live|LeANN RIMES|1997-06-21|89|2|69|19980516,,,,,,
32|29|11|29|I Don't Want To Wait|PAULA COLE|1997-11-01|19|11|56|19980516,,,,,,
33|31|28|6|Second Round K.O.|CANIBUS|1998-04-11|35|28|15|19980516,,,,,,
34|33|26|10|A Rose Is Still A Rose|ARETHA FRANKLIN|1998-03-14|43|26|18|19980516,,,,,,
35|42|35|9|This Kiss|FAITH HILL|1998-03-21|90|7|48|19980516,,,,,,
36|35|15|28|Kiss The Rain|BILLIE MYERS|1997-11-08|95|15|31|19980516,,,,,,
37|40|2|39|You Make Me Wanna ...|USHER|1997-08-23|25|2|47|19980516,,,,,,
38|38|38|9|Imagination|TAMIA|1998-03-21|68|37|20|19980516,,,,,,
39|37|37|3|Clock Strikes|TIMBALAND|1998-05-02|38|37|14|19980516,,,,,,
40|36|12|8|Bitter Sweet Symphony|THE VERVE|1998-03-28|13|12|20|19980516,,,,,,
41|44|41|12|Get At Me Dog|DMX featuring SHEEK OF THE LOX|1998-02-28|52|39|20|19980516,,,,,,
42|50|42|7|Say It|VOICES OF THEORY|1998-04-04|95|10|31|19980516,,,,,,
43|46|43|8|Cheers 2 U|PLAYA|1998-03-28|72|38|20|19980516,,,,,,
44|47|44|10|Who Am I|BEENIE MAN|1998-03-14|93|40|20|19980516,,,,,,
45|39|21|9|Do For Love|2PAC featuring ERIC WILLIAMS|1998-03-21|27|21|18|19980516,,,,,,
46|43|6|28|I Don't Ever Want To See You Again|UNCLE SAM|1997-11-08|76|6|28|19980516,,,,,,
47|41|29|11|The Party Continues|JD featuring DA BRAT|1998-03-07|39|29|19|19980516,,,,,,
48|45|1|32|Candle In The Wind 1997 / Something About The Way You Look T|ELTON JOHN|1997-10-11|1|1|42|19980516,,,,,,
49|51|29|16|They Don't Know|JON B|1998-01-31|29|7|31|19980516,,,,,,
50|48|43|10|I'm Alright|JO DEE MESSINA|1998-03-14|61|43|20|19980516,,,,,,
51|53|51|5|This Is How We Party|S.O.A.P.|1998-04-18|82|51|12|19980516,,,,,,
52|49|18|11|The Mummers' Dance|LOREENA McKENNITT|1998-03-07|19|18|20|19980516,,,,,,
53|52|52|2|Push It|GARBAGE|1998-05-09|52|52|18|19980516,,,,,,
54|56|50|8|Gitty Up|SALT-N-PEPA|1998-03-28|66|50|14|19980516,,,,,,
55|60|55|5|Recover Your Soul|ELTON JOHN|1998-04-18|67|55|20|19980516,,,,,,
56|59|25|15|Love You Down|INOJ / LATHUN|1998-02-07|26|25|20|19980516,,,,,,
57|55|13|13|Are You Jimmy Ray?|JIMMY RAY|1998-02-21|26|13|18|19980516,,,,,,
58|57|25|8|Rain|SWV|1998-03-28|32|25|14|19980516,,,,,,
59|61|9|14|Too Much|SPICE GIRLS|1998-02-14|22|9|20|19980516,,,,,,
60|63|49|13|Strawberries|SMOOTH|1998-02-21|77|49|17|19980516,,,,,,
61|58|58|10|My Heart Will Go On|DEJA VU|1998-03-14|78|58|17|19980516,,,,,,
62|66|62|4|I Just Want To Dance With You|GEORGE STRAIT|1998-04-25|90|61|19|19980516,,,,,,
63|65|57|9|Just Be Straight With Me|SILKK THE SHOCKER feat MASTER P, DESTINY'S CHILD, O'DELL, MO|1998-03-21|66|57|16|19980516,,,
64|71|64|4|Out Of My Bones|RANDY TRAVIS|1998-04-25|80|64|10|19980516,,,,,,
65|64|59|7|The Unforgiven II|METALLICA|1998-04-04|75|59|15|19980516,,,,,,
66|75|66|7|I'm From The Country|TRACY BYRD|1998-04-04|94|63|18|19980516,,,,,,
67|68|65|15|Then What?|CLAY WALKER|1998-02-07|95|65|18|19980516,,,,,,
68|73|61|4|Love Me Good|MICHAEL W. SMITH|1998-04-25|61|61|5|19980516,,,,,,
69|69|52|16|The City Is Mine|JAY-Z featuring BLACKSTREET|1998-01-31|80|52|20|19980516,,,,,,
70|62|62|8|Still Po' Pimpin'|DO OR DIE feat JOHNNY P & TWISTA|1998-03-28|85|62|14|19980516,,,,,,
71|76|71|4|Do Your Thing|7 MILE|1998-04-25|98|50|19|19980516,,,,,,
72|72|52|19|Burn|MILITIA|1998-01-10|90|52|20|19980516,,,,,,
73|74|69|9|A Promise I Make|DAKOTA MOON|1998-03-21|82|69|13|19980516,,,,,,
74|67|67|9|It's Your Love|SHE MOVES|1998-03-21|89|67|15|19980516,,,,,,
75|70|63|11|Bring It On|KEITH WASHINGTON|1998-03-07|65|63|13|19980516,,,,,,
76|79|76|5|Moan & Groan|MARK MORRISON|1998-04-18|94|76|7|19980516,,,,,,
77|82|77|3|One Of These Days|TIM McGRAW|1998-05-02|88|74|10|19980516,,,,,,
78|78|78|3|Blue On Black|KENNY WAYNE SHEPHERD BAND|1998-05-02|81|78|10|19980516,,,,,,
79|83|79|3|Let's Forget About It|LISA LOEB|1998-05-02|94|71|7|19980516,,,,,,
80|94|80|2|I Do (Cherish You)|MARK WILLS|1998-05-09|94|72|13|19980516,,,,,,
81|81|48|14|Light In Your Eyes|BLESSID UNION OF SOULS|1998-02-14|48|48|19|19980516,,,,,,
82|77|36|16|I Know Where It's At|ALL SAINTS|1998-01-31|51|36|18|19980516,,,,,,
83|86|83|5|Come Over To My Place|DAVINA|1998-04-18|96|81|9|19980516,,,,,,
84|97|84|2|That's Why I'm Here|KENNY CHESNEY|1998-05-09|97|79|7|19980516,,,,,,
85|NEW|85|1|There's Your Trouble|DIXIE CHICKS|1998-05-16|85|36|16|19980516,,,,,,
86|90|86|9|In A Dream|ROCKELL|1998-03-21|96|72|12|19980516,,,,,,
87|87|67|14|If I Never Stop Loving You|DAVID KERSH|1998-02-14|82|67|16|19980516,,,,,,
88|89|75|10|Reality|ELUSION|1998-03-14|85|75|11|19980516,,,,,,
89|92|70|14|Life In Mono|MONO|1998-02-14|92|70|15|19980516,,,,,,
90|93|90|3|Ding-A-Ling|HI-TOWN DJ'S|1998-05-02|93|56|19|19980516,,,,,,
91|98|91|3|Sweet Honesty|M:G|1998-05-02|98|91|5|19980516,,,,,,
92|85|27|12|Pink|AEROSMITH|1998-02-28|36|27|13|19980516,,,,,,
93|88|73|13|Off The Hook|JODY WATLEY|1998-02-21|83|73|13|19980516,,,,,,
94|95|18|16|Father|LL COOL J|1998-01-31|23|18|16|19980516,,,,,,
95|NEW|95|1|I Don't Wanna Go On|INNERLUDE|1998-05-16|95|95|2|19980516,,,,,,
96|99|9|19|Dangerous|BUSTA RHYMES|1998-01-10|57|9|19|19980516,,,,,,
97|91|28|14|Sweet Surrender|SARAH McLACHLAN|1998-02-14|28|28|14|19980516,,,,,,
98|84|55|9|It's Up To You|THE TUESDAYS|1998-03-21|72|55|10|19980516,,,,,,
99|80|28|15|All My Love|QUEEN PEN featuring ERIC WILLIAMS|1998-02-07|41|28|15|19980516,,,,,,
100|100|97|3|Out Of Sight (Yo)|RUFUS BLAQ|1998-05-02|97|97|4|19980516,,,,,,
1|1|1|13|Too Close|NEXT|1998-02-14|45|1|53|19980509,,,,,,
2|NEW|2|1|My All|MARIAH CAREY|1998-05-09|2|1|20|19980509,,,,,,
3|2|2|13|You're Still The One|SHANIA TWAIN|1998-02-14|51|2|42|19980509,,,,,,
4|8|4|4|Everybody [Backstreet's Back]|BACKSTREET BOYS|1998-04-18|24|4|22|19980509,,,,,,
5|7|1|23|Truly Madly Deeply|SAVAGE GARDEN|1997-12-06|26|1|52|19980509,,,,,,
6|6|2|8|Frozen|MADONNA|1998-03-21|8|2|20|19980509,,,,,,
7|3|2|10|Let's Ride|MONTELL JORDAN feat MASTER P & SILKK THE SHOCKER|1998-03-07|84|2|21|19980509,,,,,,
8|4|1|7|All My Life|K-CI & JOJO|1998-03-28|15|1|36|19980509,,,,,,
9|5|5|12|Body Bumpin' Yippie-Yi-Yo|PUBLIC ANNOUNCEMENT|1998-02-21|41|5|22|19980509,,,,,,
10|NEW|10|1|Turn It Up (Remix) / Fire It Up|BUSTA RHYMES|1998-05-09|10|10|20|19980509,,,,,,
11|11|11|9|It's All About Me|MYA & SISQO|1998-03-14|82|6|20|19980509,,,,,,
12|10|8|5|Sex And Candy|MARCY PLAYGROUND|1998-04-11|13|8|28|19980509,,,,,,
13|9|6|13|Romeo And Juliet|SYLK-E FYNE featuring CHILL|1998-02-14|87|6|20|19980509,,,,,,
14|13|13|10|I Want You Back|'N SYNC|1998-03-07|25|13|24|19980509,,,,,,
15|24|15|2|The Arms Of The One Who Loves You|XSCAPE|1998-05-02|24|7|20|19980509,,,,,,
16|15|3|24|No, No, No|DESTINY'S CHILD|1997-11-29|64|3|35|19980509,,,,
17|14|1|16|Nice & Slow|USHER|1998-01-24|9|1|23|19980509,,,,,,
18|12|7|14|Gone Till November|WYCLEF JEAN|1998-02-07|22|7|20|19980509,,,,,,
19|21|19|8|Victory|PUFF DADDY & THE FAMILY feat THE NOTORIOUS B.I.G.|1998-03-21|50|19|20|19980509,,,,,,
20|19|19|6|Money, Power & Respect|THE LOX featuring DMX & LIL' KIM|1998-04-04|41|17|20|19980509,,,,,
21|16|1|11|My Heart Will Go On|CELINE  DION|1998-02-28|1|1|20|19980509,,,,,,
22|20|19|15|Make 'Em Say Uhh!|MASTER P feat FIEND, SILKK THE SHOCKER, MIA X & MYSTIKAL|1998-01-31|41|16|27|19980509,,,,
23|22|1|11|Gettin' Jiggy Wit It|WILL SMITH|1998-02-28|3|1|32|19980509,,,,,,
24|17|6|15|What You Want|MASE featuring TOTAL|1998-01-31|35|6|24|19980509,,,,,,
25|23|1|21|Together Again|JANET|1997-12-20|9|1|46|19980509,,,,,,
26|25|9|23|How's It Going To Be|THIRD EYE BLIND|1997-12-06|36|9|52|19980509,,,,,,
27|18|9|20|Deja Vu [Uptown Baby]|LORD TARIQ & PETER GUNZ|1997-12-27|80|9|26|19980509,,,,,,
28|27|2|47|How Do I Live|LeANN RIMES|1997-06-21|89|2|69|19980509,,,,,,
29|29|11|28|I Don't Want To Wait|PAULA COLE|1997-11-01|19|11|56|19980509,,,,,,
30|35|30|7|Raise The Roof|LUKE featuring NO GOOD BUT SO GOOD|1998-03-28|59|26|20|19980509,,,,,,
31|28|28|5|Second Round K.O.|CANIBUS|1998-04-11|35|28|15|19980509,,,,,,
32|33|32|5|I Got The Hook Up!|MASTER P feat SONS OF FUNK|1998-04-11|57|16|20|19980509,,,,,,
33|26|26|9|A Rose Is Still A Rose|ARETHA FRANKLIN|1998-03-14|43|26|18|19980509,,,,,,
34|36|34|4|Looking Through Your Eyes|LeANN RIMES|1998-04-18|57|18|24|19980509,,,,,,
35|31|15|27|Kiss The Rain|BILLIE MYERS|1997-11-08|95|15|31|19980509,,,,,,
36|30|12|7|Bitter Sweet Symphony|THE VERVE|1998-03-28|13|12|20|19980509,,,,,,
37|38|37|2|Clock Strikes|TIMBALAND|1998-05-02|38|37|14|19980509,,,,,,
38|39|38|8|Imagination|TAMIA|1998-03-21|68|37|20|19980509,,,,,,
39|32|21|8|Do For Love|2PAC featuring ERIC WILLIAMS|1998-03-21|27|21|18|19980509,,,,,,
40|37|2|38|You Make Me Wanna ...|USHER|1997-08-23|25|2|47|19980509,,,,,,
41|34|29|10|The Party Continues|JD featuring DA BRAT|1998-03-07|39|29|19|19980509,,,,,,
42|44|42|8|This Kiss|FAITH HILL|1998-03-21|90|7|48|19980509,,,,,,
43|40|6|27|I Don't Ever Want To See You Again|UNCLE SAM|1997-11-08|76|6|28|19980509,,,,,,
44|47|44|11|Get At Me Dog|DMX featuring SHEEK OF THE LOX|1998-02-28|52|39|20|19980509,,,,,,
45|42|1|31|Candle In The Wind 1997 / Something About The Way You Look T|ELTON JOHN|1997-10-11|1|1|42|19980509,,,,,,
46|49|46|7|Cheers 2 U|PLAYA|1998-03-28|72|38|20|19980509,,,,,,
47|46|46|9|Who Am I|BEENIE MAN|1998-03-14|93|40|20|19980509,,,,,,
48|45|43|9|I'm Alright|JO DEE MESSINA|1998-03-14|61|43|20|19980509,,,,,,
49|43|18|10|The Mummers' Dance|LOREENA McKENNITT|1998-03-07|19|18|20|19980509,,,,,,
50|53|50|6|Say It|VOICES OF THEORY|1998-04-04|95|10|31|19980509,,,,,,
51|51|29|15|They Don't Know|JON B|1998-01-31|29|7|31|19980509,,,,,,
52|NEW|52|1|Push It|GARBAGE|1998-05-09|52|52|18|19980509,,,,,,
53|57|53|4|This Is How We Party|S.O.A.P.|1998-04-18|82|51|12|19980509,,,,,,
54|52|6|20|Swing My Way|K.P. & ENVYI|1997-12-27|86|6|20|19980509,,,,,,
55|41|13|12|Are You Jimmy Ray?|JIMMY RAY|1998-02-21|26|13|18|19980509,,,,,,
56|50|50|7|Gitty Up|SALT-N-PEPA|1998-03-28|66|50|14|19980509,,,,,,
57|48|25|7|Rain|SWV|1998-03-28|32|25|14|19980509,,,,,,
58|58|58|9|My Heart Will Go On|DEJA VU|1998-03-14|78|58|17|19980509,,,,,,
59|55|25|14|Love You Down|INOJ / LATHUN|1998-02-07|26|25|20|19980509,,,,,,
60|60|60|4|Recover Your Soul|ELTON JOHN|1998-04-18|67|55|20|19980509,,,,,,
61|54|9|13|Too Much|SPICE GIRLS|1998-02-14|22|9|20|19980509,,,,,,
62|62|62|7|Still Po' Pimpin'|DO OR DIE feat JOHNNY P & TWISTA|1998-03-28|85|62|14|19980509,,,,,,
63|56|49|12|Strawberries|SMOOTH|1998-02-21|77|49|17|19980509,,,,,,
64|59|59|6|The Unforgiven II|METALLICA|1998-04-04|75|59|15|19980509,,,,,,
65|66|57|8|Just Be Straight With Me|SILKK THE SHOCKER feat MASTER P, DESTINY'S CHILD, O'DELL, MO|1998-03-21|66|57|16|19980509,,,
66|71|66|3|I Just Want To Dance With You|GEORGE STRAIT|1998-04-25|90|61|19|19980509,,,,,,
67|67|67|8|It's Your Love|SHE MOVES|1998-03-21|89|67|15|19980509,,,,,,
68|65|65|14|Then What?|CLAY WALKER|1998-02-07|95|65|18|19980509,,,,,,
69|61|52|15|The City Is Mine|JAY-Z featuring BLACKSTREET|1998-01-31|80|52|20|19980509,,,,,,
70|64|63|10|Bring It On|KEITH WASHINGTON|1998-03-07|65|63|13|19980509,,,,,,
71|72|71|3|Out Of My Bones|RANDY TRAVIS|1998-04-25|80|64|10|19980509,,,,,,
72|68|52|18|Burn|MILITIA|1998-01-10|90|52|20|19980509,,,,,,
73|74|61|3|Love Me Good|MICHAEL W. SMITH|1998-04-25|61|61|5|19980509,,,,,,
74|69|69|8|A Promise I Make|DAKOTA MOON|1998-03-21|82|69|13|19980509,,,,,,
75|79|75|6|I'm From The Country|TRACY BYRD|1998-04-04|94|63|18|19980509,,,,,,
76|84|76|3|Do Your Thing|7 MILE|1998-04-25|98|50|19|19980509,,,,,,
77|63|36|15|I Know Where It's At|ALL SAINTS|1998-01-31|51|36|18|19980509,,,,,,
78|81|78|2|Blue On Black|KENNY WAYNE SHEPHERD BAND|1998-05-02|81|78|10|19980509,,,,,,
79|85|79|4|Moan & Groan|MARK MORRISON|1998-04-18|94|76|7|19980509,,,,,,
80|77|28|14|All My Love|QUEEN PEN featuring ERIC WILLIAMS|1998-02-07|41|28|15|19980509,,,,,,
81|76|48|13|Light In Your Eyes|BLESSID UNION OF SOULS|1998-02-14|48|48|19|19980509,,,,,,
82|88|82|2|One Of These Days|TIM McGRAW|1998-05-02|88|74|10|19980509,,,,,,
83|94|83|2|Let's Forget About It|LISA LOEB|1998-05-02|94|71|7|19980509,,,,,,
84|73|55|8|It's Up To You|THE TUESDAYS|1998-03-21|72|55|10|19980509,,,,,,
85|70|27|11|Pink|AEROSMITH|1998-02-28|36|27|13|19980509,,,,,,
86|87|86|4|Come Over To My Place|DAVINA|1998-04-18|96|81|9|19980509,,,,,,
87|89|67|13|If I Never Stop Loving You|DAVID KERSH|1998-02-14|82|67|16|19980509,,,,,,
88|78|73|12|Off The Hook|JODY WATLEY|1998-02-21|83|73|13|19980509,,,,,,
89|83|75|9|Reality|ELUSION|1998-03-14|85|75|11|19980509,,,,,,
90|91|90|8|In A Dream|ROCKELL|1998-03-21|96|72|12|19980509,,,,,,
91|86|28|13|Sweet Surrender|SARAH McLACHLAN|1998-02-14|28|28|14|19980509,,,,,,
92|82|70|13|Life In Mono|MONO|1998-02-14|92|70|15|19980509,,,,,,
93|93|93|2|Ding-A-Ling|HI-TOWN DJ'S|1998-05-02|93|56|19|19980509,,,,,,
94|NEW|94|1|I Do (Cherish You)|MARK WILLS|1998-05-09|94|72|13|19980509,,,,,,
95|75|18|15|Father|LL COOL J|1998-01-31|23|18|16|19980509,,,,,,
96|90|21|16|Given To Fly|PEARL JAM|1998-01-24|23|21|16|19980509,,,,,,
97|NEW|97|1|That's Why I'm Here|KENNY CHESNEY|1998-05-09|97|79|7|19980509,,,,,,
98|98|98|2|Sweet Honesty|M:G|1998-05-02|98|91|5|19980509,,,,,,
99|80|9|18|Dangerous|BUSTA RHYMES|1998-01-10|57|9|19|19980509,,,,,,
100|97|97|2|Out Of Sight (Yo)|RUFUS BLAQ|1998-05-02|97|97|4|19980509,,,,,,
1|1|1|12|Too Close|NEXT|1998-02-14|45|1|53|19980502,,,,,,
2|5|2|12|You're Still The One|SHANIA TWAIN|1998-02-14|51|2|42|19980502,,,,,,
3|3|2|9|Let's Ride|MONTELL JORDAN feat MASTER P & SILKK THE SHOCKER|1998-03-07|84|2|21|19980502,,,,,,
4|2|1|6|All My Life|K-CI & JOJO|1998-03-28|15|1|36|19980502,,,,,,
5|7|5|11|Body Bumpin' Yippie-Yi-Yo|PUBLIC ANNOUNCEMENT|1998-02-21|41|5|22|19980502,,,,,,
6|4|2|7|Frozen|MADONNA|1998-03-21|8|2|20|19980502,,,,,,
7|8|1|22|Truly Madly Deeply|SAVAGE GARDEN|1997-12-06|26|1|52|19980502,,,,,,
8|11|8|3|Everybody [Backstreet's Back]|BACKSTREET BOYS|1998-04-18|24|4|22|19980502,,,,,,
9|6|6|12|Romeo And Juliet|SYLK-E FYNE featuring CHILL|1998-02-14|87|6|20|19980502,,,,,,
10|10|8|4|Sex And Candy|MARCY PLAYGROUND|1998-04-11|13|8|28|19980502,,,,,,
11|19|11|8|It's All About Me|MYA & SISQO|1998-03-14|82|6|20|19980502,,,,,,
12|12|7|13|Gone Till November|WYCLEF JEAN|1998-02-07|22|7|20|19980502,,,,,,
13|16|13|9|I Want You Back|'N SYNC|1998-03-07|25|13|24|19980502,,,,,,
14|9|1|15|Nice & Slow|USHER|1998-01-24|9|1|23|19980502,,,,,,
15|15|3|23|No, No, No|DESTINY'S CHILD|1997-11-29|64|3|35|19980502,,,,
16|13|1|10|My Heart Will Go On|CELINE  DION|1998-02-28|1|1|20|19980502,,,,,,
17|17|6|14|What You Want|MASE featuring TOTAL|1998-01-31|35|6|24|19980502,,,,,,
18|14|9|19|Deja Vu [Uptown Baby]|LORD TARIQ & PETER GUNZ|1997-12-27|80|9|26|19980502,,,,,,
19|20|19|5|Money, Power & Respect|THE LOX featuring DMX & LIL' KIM|1998-04-04|41|17|20|19980502,,,,,
20|22|19|14|Make 'Em Say Uhh!|MASTER P feat FIEND, SILKK THE SHOCKER, MIA X & MYSTIKAL|1998-01-31|41|16|27|19980502,,,,
21|21|21|7|Victory|PUFF DADDY & THE FAMILY feat THE NOTORIOUS B.I.G.|1998-03-21|50|19|20|19980502,,,,,,
22|18|1|10|Gettin' Jiggy Wit It|WILL SMITH|1998-02-28|3|1|32|19980502,,,,,,
23|23|1|20|Together Again|JANET|1997-12-20|9|1|46|19980502,,,,,,
24|NEW|24|1|The Arms Of The One Who Loves You|XSCAPE|1998-05-02|24|7|20|19980502,,,,,,
25|25|9|22|How's It Going To Be|THIRD EYE BLIND|1997-12-06|36|9|52|19980502,,,,,,
26|27|26|8|A Rose Is Still A Rose|ARETHA FRANKLIN|1998-03-14|43|26|18|19980502,,,,,,
27|26|2|46|How Do I Live|LeANN RIMES|1997-06-21|89|2|69|19980502,,,,,,
28|30|28|4|Second Round K.O.|CANIBUS|1998-04-11|35|28|15|19980502,,,,,,
29|29|11|27|I Don't Want To Wait|PAULA COLE|1997-11-01|19|11|56|19980502,,,,,,
30|24|12|6|Bitter Sweet Symphony|THE VERVE|1998-03-28|13|12|20|19980502,,,,,,
31|33|15|26|Kiss The Rain|BILLIE MYERS|1997-11-08|95|15|31|19980502,,,,,,
32|28|21|7|Do For Love|2PAC featuring ERIC WILLIAMS|1998-03-21|27|21|18|19980502,,,,,,
33|36|33|4|I Got The Hook Up!|MASTER P feat SONS OF FUNK|1998-04-11|57|16|20|19980502,,,,,,
34|32|29|9|The Party Continues|JD featuring DA BRAT|1998-03-07|39|29|19|19980502,,,,,,
35|42|35|6|Raise The Roof|LUKE featuring NO GOOD BUT SO GOOD|1998-03-28|59|26|20|19980502,,,,,,
36|38|36|3|Looking Through Your Eyes|LeANN RIMES|1998-04-18|57|18|24|19980502,,,,,,
37|34|2|37|You Make Me Wanna ...|USHER|1997-08-23|25|2|47|19980502,,,,,,
38|NEW|38|1|Clock Strikes|TIMBALAND|1998-05-02|38|37|14|19980502,,,,,,
39|51|39|7|Imagination|TAMIA|1998-03-21|68|37|20|19980502,,,,,,
40|39|6|26|I Don't Ever Want To See You Again|UNCLE SAM|1997-11-08|76|6|28|19980502,,,,,,
41|31|13|11|Are You Jimmy Ray?|JIMMY RAY|1998-02-21|26|13|18|19980502,,,,,,
42|41|1|30|Candle In The Wind 1997 / Something About The Way You Look T|ELTON JOHN|1997-10-11|1|1|42|19980502,,,,,,
43|35|18|9|The Mummers' Dance|LOREENA McKENNITT|1998-03-07|19|18|20|19980502,,,,,,
44|47|44|7|This Kiss|FAITH HILL|1998-03-21|90|7|48|19980502,,,,,,
45|43|43|8|I'm Alright|JO DEE MESSINA|1998-03-14|61|43|20|19980502,,,,,,
46|55|46|8|Who Am I|BEENIE MAN|1998-03-14|93|40|20|19980502,,,,,,
47|44|44|10|Get At Me Dog|DMX featuring SHEEK OF THE LOX|1998-02-28|52|39|20|19980502,,,,,,
48|37|25|6|Rain|SWV|1998-03-28|32|25|14|19980502,,,,,,
49|54|49|6|Cheers 2 U|PLAYA|1998-03-28|72|38|20|19980502,,,,,,
50|53|50|6|Gitty Up|SALT-N-PEPA|1998-03-28|66|50|14|19980502,,,,,,
51|52|29|14|They Don't Know|JON B|1998-01-31|29|7|31|19980502,,,,,,
52|40|6|19|Swing My Way|K.P. & ENVYI|1997-12-27|86|6|20|19980502,,,,,,
53|63|53|5|Say It|VOICES OF THEORY|1998-04-04|95|10|31|19980502,,,,,,
54|45|9|12|Too Much|SPICE GIRLS|1998-02-14|22|9|20|19980502,,,,,,
55|46|25|13|Love You Down|INOJ / LATHUN|1998-02-07|26|25|20|19980502,,,,,,
56|57|49|11|Strawberries|SMOOTH|1998-02-21|77|49|17|19980502,,,,,,
57|69|57|3|This Is How We Party|S.O.A.P.|1998-04-18|82|51|12|19980502,,,,,,
58|58|58|8|My Heart Will Go On|DEJA VU|1998-03-14|78|58|17|19980502,,,,,,
59|62|59|5|The Unforgiven II|METALLICA|1998-04-04|75|59|15|19980502,,,,,,
60|65|60|3|Recover Your Soul|ELTON JOHN|1998-04-18|67|55|20|19980502,,,,,,
61|59|52|14|The City Is Mine|JAY-Z featuring BLACKSTREET|1998-01-31|80|52|20|19980502,,,,,,
62|66|62|6|Still Po' Pimpin'|DO OR DIE feat JOHNNY P & TWISTA|1998-03-28|85|62|14|19980502,,,,,,
63|60|36|14|I Know Where It's At|ALL SAINTS|1998-01-31|51|36|18|19980502,,,,,,
64|68|63|9|Bring It On|KEITH WASHINGTON|1998-03-07|65|63|13|19980502,,,,,,
65|67|65|13|Then What?|CLAY WALKER|1998-02-07|95|65|18|19980502,,,,,,
66|73|57|7|Just Be Straight With Me|SILKK THE SHOCKER feat MASTER P, DESTINY'S CHILD, O'DELL, MO|1998-03-21|66|57|16|19980502,,,
67|75|67|7|It's Your Love|SHE MOVES|1998-03-21|89|67|15|19980502,,,,,,
68|71|52|17|Burn|MILITIA|1998-01-10|90|52|20|19980502,,,,,,
69|72|69|7|A Promise I Make|DAKOTA MOON|1998-03-21|82|69|13|19980502,,,,,,
