Pos.This.Week|Pos.Last.Week|Peak.Pos.This.Week|Total.Weeks|Title|Artist|Entry.Date|Pos.Entry|Overall.Peak.Pos|Overall.Total.Weeks|Chart.Date,,,,
87|82|66|11|Cupid Shuffle|CUPID|2007-07-21|93|66|13|20070929,,,,
88|NEW|88|1|Do It|NELLY FURTADO|2007-09-29|88|88|1|20070929,,,,
89|94|89|2|Fall|CLAY WALKER|2007-09-22|94|55|18|20070929,,,,
90|97|90|2|How 'Bout Them Cowgirls|GEORGE STRAIT|2007-09-22|97|49|20|20070929,,,,
91|80|20|19|Same Girl|R. KELLY duet with USHER|2007-05-26|79|20|20|20070929,,,,
92|89|89|3|Get Me Bodied|BEYONCE|2007-09-15|89|89|3|20070929,,,,
93|NEW|93|1|I'm So Hood|DJ KHALED featuring T-PAIN, TRICK DADDY, RICK ROSS & PLIES|2007-09-29|93|19|20|20070929,,
94|NEW|94|1|Sweetest Girl (Dollar Bill)|WYCLEF JEAN featuring AKON, LIL WAYNE & NIIA|2007-09-29|94|12|28|20070929,,,
95|NEW|95|1|My Drink N' My 2 Step|CASSIDY featuring SWIZZ BEATZ|2007-09-29|95|33|20|20070929,,,,
96|NEW|96|1|Firecracker|JOSH TURNER|2007-09-29|96|50|20|20070929,,,,
97|95|21|18|Do You Know? (The Ping Pong Song) / Dimelo|ENRIQUE IGLESIAS|2007-06-02|33|21|20|20070929,,,,
98|92|27|20|(You Want To) Make A Memory|BON JOVI|2007-05-19|27|27|20|20070929,,,,
99|NEW|99|1|Me Enamora|JUANES|2007-09-29|99|86|4|20070929,,,,
100|NEW|100|1|Kiss Kiss|CHRIS BROWN featuring T-PAIN|2007-09-29|100|1|26|20070929,,,,
1|1|1|9|Crank That (Soulja Boy)|SOULJA BOY|2007-07-28|47|1|32|20070922,,,,
2|2|2|7|Stronger|KANYE WEST|2007-08-11|47|1|27|20070922,,,,
3|3|1|21|Big Girls Don't Cry|FERGIE|2007-05-05|41|1|48|20070922,,,,
4|4|3|15|The Way I Are|TIMBALAND featuring KERI HILSON|2007-06-16|78|3|38|20070922,,,,
5|6|5|15|Bartender|T-PAIN featuring AKON|2007-06-16|97|5|22|20070922,,,,
6|8|6|12|Rockstar|NICKELBACK|2007-07-07|47|6|30|20070922,,,,
7|7|1|24|Hey There Delilah|PLAIN WHITE T'S|2007-04-14|79|1|35|20070922,,,,
8|5|1|16|Beautiful Girls|SEAN KINGSTON|2007-06-09|81|1|22|20070922,,,,
9|10|9|13|Shawty|PLIES featuring T-PAIN|2007-06-30|94|9|22|20070922,,,,
10|11|10|12|Let It Go|KEYSHIA COLE featuring MISSY ELLIOTT & LIL' KIM|2007-07-07|74|7|23|20070922,,,,
11|15|11|8|Bed|J. HOLIDAY|2007-08-04|89|5|23|20070922,,,,
12|93|12|2|How Far We've Come|MATCHBOX TWENTY|2007-09-15|93|11|22|20070922,,,,
13|9|8|17|Make Me Better|FABOLOUS featuring NE-YO|2007-06-02|93|8|22|20070922,,,,
14|12|12|12|Who Knew|PINK|2007-07-07|94|9|34|20070922,,,,
15|16|7|14|A Bay Bay|HURRICANE CHRIS|2007-06-23|95|7|20|20070922,,,,
16|18|14|6|Me Love|SEAN KINGSTON|2007-08-18|28|14|17|20070922,,,,
17|13|1|22|Umbrella|RIHANNA featuring JAY-Z|2007-04-28|91|1|33|20070922,,,,
18|14|13|19|Wait For You|ELLIOTT YAMIN|2007-05-19|100|13|28|20070922,,,,
19|20|18|5|Ayo Technology|50 CENT featuring JUSTIN TIMBERLAKE & TIMBALAND|2007-08-25|22|5|20|20070922,,,,
20|23|20|10|LoveStoned|JUSTIN TIMBERLAKE|2007-07-21|85|17|20|20070922,,,,
21|38|21|6|Bubbly|COLBIE CAILLAT|2007-08-18|97|5|42|20070922,,,,
22|19|7|8|Sorry, Blame It On Me|AKON|2007-08-04|7|7|19|20070922,,,
23|24|23|17|The Great Escape|BOYS LIKE GIRLS|2007-06-02|96|23|25|20070922,,,,
24|21|15|14|Shut Up And Drive|RIHANNA|2007-06-23|88|15|20|20070922,,,,
25|17|17|4|So Small|CARRIE UNDERWOOD|2007-09-01|98|17|20|20070922,,,,
26|25|24|11|When You're Gone|AVRIL LAVIGNE|2007-07-14|82|24|19|20070922,,,,
27|22|1|29|Buy U A Drank (Shawty Snappin')|T-PAIN featuring YUNG JOC|2007-03-10|84|1|35|20070922,,,,
28|33|28|7|Cyclone|BABY BASH featuring T-PAIN|2007-08-11|65|7|30|20070922,,,,
29|26|26|18|First Time|LIFEHOUSE|2007-05-26|48|26|26|20070922,,,,
30|27|1|23|Makes Me Wonder|MAROON5|2007-04-21|84|1|26|20070922,,,,
31|29|5|28|Home|DAUGHTRY|2007-03-17|83|5|37|20070922,,,,
32|28|8|54|Before He Cheats|CARRIE UNDERWOOD|2006-09-16|92|8|64|20070922,,,,
33|31|31|5|I Got It From My Mama|WILL.I.AM|2007-08-25|93|31|9|20070922,,,,
34|34|34|10|You Know What It Is|T.I. featuring WYCLEF JEAN|2007-07-21|68|34|18|20070922,,,,
35|32|18|20|Sexy Lady|YUNG BERG featuring JUNIOR|2007-05-12|99|18|20|20070922,,,,
36|30|2|21|Party Like A Rockstar|SHOP BOYZ|2007-05-05|80|2|22|20070922,,,,
37|36|11|22|Thnks Fr Th Mmrs|FALL OUT BOY|2007-04-28|67|11|28|20070922,,,,
38|44|38|5|Over You|DAUGHTRY|2007-08-25|94|18|25|20070922,,,,
39|35|2|39|The Sweet Escape|GWEN STEFANI featuring AKON|2006-12-30|93|2|40|20070922,,,,
40|52|40|5|Wake Up Call|MAROON 5|2007-08-25|99|19|22|20070922,,,,
41|39|26|15|Do You|NE-YO|2007-06-16|100|26|20|20070922,,,,
42|40|40|8|Can't Leave 'Em Alone|CIARA featuring 50 CENT|2007-08-04|90|40|13|20070922,,,,
43|45|43|14|Paralyzer|FINGER ELEVEN|2007-06-23|97|6|50|20070922,,,,
44|51|44|8|Online|BRAD PAISLEY|2007-08-04|99|39|20|20070922,,,,
45|54|45|3|I Get Money|50 CENT|2007-09-08|85|20|14|20070922,,,,
46|49|43|5|If You're Reading This|TIM McGRAW|2007-08-25|45|41|18|20070922,,,,
47|48|32|23|When I See U|FANTASIA|2007-04-21|99|32|23|20070922,,,,
48|42|42|14|These Are My People|RODNEY ATKINS|2007-06-23|94|42|20|20070922,,,,
49|47|7|23|What I've Done|LINKIN PARK|2007-04-21|7|7|23|20070922,,,,
50|43|43|2|Wadsyaname|NELLY|2007-09-15|43|43|6|20070922,,,,
51|50|50|11|Because Of You|REBA McENTIRE duet with KELLY CLARKSON|2007-07-14|52|50|15|20070922,,,,
52|75|52|4|Apologize|TIMBALAND featuring ONEREPUBLIC|2007-09-01|91|2|45|20070922,,,,
53|56|53|7|Love Me If You Can|TOBY KEITH|2007-08-11|83|48|17|20070922,,,,
54|37|29|15|Whine Up|KAT DELUNA featuring ELEPHANT MAN|2007-06-16|91|29|20|20070922,,,,
55|46|22|12|Never Wanted Nothing More|KENNY CHESNEY|2007-07-07|65|22|20|20070922,,,,
56|55|55|7|Take Me There|RASCAL FLATTS|2007-08-11|84|19|20|20070922,,,,
57|62|57|8|Can't Tell Me Nothing|KANYE WEST|2007-08-04|96|41|17|20070922,,,,
58|63|58|9|Until The End Of Time|JUSTIN TIMBERLAKE|2007-07-28|97|17|24|20070922,,,,
59|57|42|18|Teachme|MUSIQ SOULCHILD|2007-05-26|92|42|20|20070922,,,,
60|53|17|11|Potential Breakup Song|ALY & AJ|2007-07-14|77|17|16|20070922,,,,
61|60|60|7|Proud Of The House We Built|BROOKS & DUNN|2007-08-11|89|57|15|20070922,,,,
62|41|17|5|S.O.S.|JONAS BROTHERS|2007-08-25|65|17|21|20070922,,,,
63|61|61|6|All My Friends Say|LUKE BRYAN|2007-08-18|90|59|13|20070922,,,,
64|69|56|5|The Pretender|FOO FIGHTERS|2007-08-25|56|37|20|20070922,,,,
65|64|64|5|Bleed It Out|LINKIN PARK|2007-08-25|69|52|19|20070922,,,,
66|65|34|19|Lean Like A Cholo|DOWN AKA KILO|2007-05-19|93|34|20|20070922,,,,
67|58|9|16|Big Things Poppin' (Do It)|T.I.|2007-06-09|30|9|19|20070922,,,,
68|81|68|2|Baby Don't Go|FABOLOUS featuring JERMAINE DUPRI|2007-09-15|81|23|20|20070922,,,,
69|59|32|18|Like This|MIMS|2007-05-26|91|32|20|20070922,,,,
70|74|70|6|Free And Easy (Down The Road I Go)|DIERKS BENTLEY|2007-08-18|89|46|20|20070922,,,,
71|NEW|71|1|No One|ALICIA KEYS|2007-09-22|71|1|39|20070922,,,,
72|76|72|7|Hood Figga|GORILLA ZOE|2007-08-11|100|38|20|20070922,,,,
73|67|57|14|Everything|MICHAEL BUBLE|2007-06-23|99|57|16|20070922,,,,
74|73|73|2|More Than A Memory|GARTH BROOKS|2007-09-15|73|53|16|20070922,,,,
75|71|34|4|Misery Business|PARAMORE|2007-09-01|34|26|26|20070922,,,,
76|83|76|3|Never Too Late|THREE DAYS GRACE|2007-09-08|100|71|17|20070922,,,,
77|68|68|10|Everyday America|SUGARLAND|2007-07-21|95|68|10|20070922,,,,
78|98|78|2|Hate That I Love You|RIHANNA featuring NE-YO|2007-09-15|98|7|26|20070922,,,,
79|NEW|79|1|Don't Blink|KENNY CHESNEY|2007-09-22|79|29|20|20070922,,,,
80|66|20|18|Same Girl|R. KELLY duet with USHER|2007-05-26|79|20|20|20070922,,,,
81|72|70|5|Int'l Players Anthem (I Choose You)|UGK featuring OUTKAST|2007-08-25|74|70|9|20070922,,,,
82|85|66|10|Cupid Shuffle|CUPID|2007-07-21|93|66|13|20070922,,,,
83|88|67|13|Teenagers|MY CHEMICAL ROMANCE|2007-06-30|87|67|20|20070922,,,,
84|96|84|2|Livin' Our Love Song|JASON MICHAEL CARROLL|2007-09-15|96|52|16|20070922,,,,
85|NEW|85|1|Gimme More|BRITNEY SPEARS|2007-09-22|85|3|20|20070922,,,,
86|79|46|4|Clothes Off!!|GYM CLASS HEROES|2007-09-01|46|46|6|20070922,,,,
87|90|87|2|Money In The Bank|SWIZZ BEATZ|2007-09-15|90|84|4|20070922,,,,
88|NEW|88|1|I Don't Wanna Be In Love (Dance Floor Anthem)|GOOD CHARLOTTE|2007-09-22|88|25|21|20070922,,,,
89|89|89|2|Get Me Bodied|BEYONCE|2007-09-15|89|89|3|20070922,,,,
90|80|64|11|Easy|PAULA DeANDA featuring BOW WOW|2007-07-14|96|64|11|20070922,,,,
91|86|6|8|What Time Is It|HIGH SCHOOL MUSICAL 2 CAST|2007-08-04|6|6|8|20070922,,,,
92|95|27|19|(You Want To) Make A Memory|BON JOVI|2007-05-19|27|27|20|20070922,,,,
93|NEW|93|1|Shawty Is A 10|THE-DREAM|2007-09-22|93|17|20|20070922,,,,
94|NEW|94|1|Fall|CLAY WALKER|2007-09-22|94|55|18|20070922,,,,
95|84|21|17|Do You Know? (The Ping Pong Song) / Dimelo|ENRIQUE IGLESIAS|2007-06-02|33|21|20|20070922,,,,
96|92|54|16|4 In The Morning|GWEN STEFANI|2007-06-09|75|54|16|20070922,,,,
97|NEW|97|1|How 'Bout Them Cowgirls|GEORGE STRAIT|2007-09-22|97|49|20|20070922,,,,
98|77|31|4|You Are The Music In Me|ZAC EFRON & VANESSA ANNE HUDGENS|2007-09-01|38|31|4|20070922,,,,
99|NEW|99|1|Can U Believe|ROBIN THICKE|2007-09-22|99|99|1|20070922,,,,
100|87|53|7|Hold On|JONAS BROTHERS|2007-08-11|92|53|7|20070922,,,,
1|2|1|8|Crank That (Soulja Boy)|SOULJA BOY|2007-07-28|47|1|32|20070915,,,,
2|3|2|6|Stronger|KANYE WEST|2007-08-11|47|1|27|20070915,,,,
3|1|1|20|Big Girls Don't Cry|FERGIE|2007-05-05|41|1|48|20070915,,,,
4|4|3|14|The Way I Are|TIMBALAND featuring KERI HILSON|2007-06-16|78|3|38|20070915,,,,
5|5|1|15|Beautiful Girls|SEAN KINGSTON|2007-06-09|81|1|22|20070915,,,,
6|7|6|14|Bartender|T-PAIN featuring AKON|2007-06-16|97|5|22|20070915,,,,
7|6|1|23|Hey There Delilah|PLAIN WHITE T'S|2007-04-14|79|1|35|20070915,,,,
8|11|8|11|Rockstar|NICKELBACK|2007-07-07|47|6|30|20070915,,,,
9|8|8|16|Make Me Better|FABOLOUS featuring NE-YO|2007-06-02|93|8|22|20070915,,,,
10|9|9|12|Shawty|PLIES featuring T-PAIN|2007-06-30|94|9|22|20070915,,,,
11|12|11|11|Let It Go|KEYSHIA COLE featuring MISSY ELLIOTT & LIL' KIM|2007-07-07|74|7|23|20070915,,,,
12|16|12|11|Who Knew|PINK|2007-07-07|94|9|34|20070915,,,,
13|10|1|21|Umbrella|RIHANNA featuring JAY-Z|2007-04-28|91|1|33|20070915,,,,
14|13|13|18|Wait For You|ELLIOTT YAMIN|2007-05-19|100|13|28|20070915,,,,
15|15|15|7|Bed|J. HOLIDAY|2007-08-04|89|5|23|20070915,,,,
16|14|7|13|A Bay Bay|HURRICANE CHRIS|2007-06-23|95|7|20|20070915,,,,
17|93|17|3|So Small|CARRIE UNDERWOOD|2007-09-01|98|17|20|20070915,,,,
18|17|14|5|Me Love|SEAN KINGSTON|2007-08-18|28|14|17|20070915,,,,
19|20|7|7|Sorry, Blame It On Me|AKON|2007-08-04|7|7|19|20070915,,,
20|21|18|4|Ayo Technology|50 CENT featuring JUSTIN TIMBERLAKE & TIMBALAND|2007-08-25|22|5|20|20070915,,,,
21|22|15|13|Shut Up And Drive|RIHANNA|2007-06-23|88|15|20|20070915,,,,
22|19|1|28|Buy U A Drank (Shawty Snappin')|T-PAIN featuring YUNG JOC|2007-03-10|84|1|35|20070915,,,,
23|23|23|9|LoveStoned|JUSTIN TIMBERLAKE|2007-07-21|85|17|20|20070915,,,,
24|25|24|16|The Great Escape|BOYS LIKE GIRLS|2007-06-02|96|23|25|20070915,,,,
25|24|24|10|When You're Gone|AVRIL LAVIGNE|2007-07-14|82|24|19|20070915,,,,
26|29|26|17|First Time|LIFEHOUSE|2007-05-26|48|26|26|20070915,,,,
27|28|1|22|Makes Me Wonder|MAROON5|2007-04-21|84|1|26|20070915,,,,
28|30|8|53|Before He Cheats|CARRIE UNDERWOOD|2006-09-16|92|8|64|20070915,,,,
29|26|5|27|Home|DAUGHTRY|2007-03-17|83|5|37|20070915,,,,
30|27|2|20|Party Like A Rockstar|SHOP BOYZ|2007-05-05|80|2|22|20070915,,,,
31|32|31|4|I Got It From My Mama|WILL.I.AM|2007-08-25|93|31|9|20070915,,,,
32|33|18|19|Sexy Lady|YUNG BERG featuring JUNIOR|2007-05-12|99|18|20|20070915,,,,
33|42|33|6|Cyclone|BABY BASH featuring T-PAIN|2007-08-11|65|7|30|20070915,,,,
34|37|34|9|You Know What It Is|T.I. featuring WYCLEF JEAN|2007-07-21|68|34|18|20070915,,,,
35|35|2|38|The Sweet Escape|GWEN STEFANI featuring AKON|2006-12-30|93|2|40|20070915,,,,
36|38|11|21|Thnks Fr Th Mmrs|FALL OUT BOY|2007-04-28|67|11|28|20070915,,,,
37|40|29|14|Whine Up|KAT DELUNA featuring ELEPHANT MAN|2007-06-16|91|29|20|20070915,,,,
38|59|38|5|Bubbly|COLBIE CAILLAT|2007-08-18|97|5|42|20070915,,,,
39|36|26|14|Do You|NE-YO|2007-06-16|100|26|20|20070915,,,,
40|51|40|7|Can't Leave 'Em Alone|CIARA featuring 50 CENT|2007-08-04|90|40|13|20070915,,,,
41|18|17|4|S.O.S.|JONAS BROTHERS|2007-08-25|65|17|21|20070915,,,,
42|45|42|13|These Are My People|RODNEY ATKINS|2007-06-23|94|42|20|20070915,,,,
43|NEW|43|1|Wadsyaname|NELLY|2007-09-15|43|43|6|20070915,,,,
44|62|44|4|Over You|DAUGHTRY|2007-08-25|94|18|25|20070915,,,,
45|54|45|13|Paralyzer|FINGER ELEVEN|2007-06-23|97|6|50|20070915,,,,
46|43|22|11|Never Wanted Nothing More|KENNY CHESNEY|2007-07-07|65|22|20|20070915,,,,
47|39|7|22|What I've Done|LINKIN PARK|2007-04-21|7|7|23|20070915,,,,
48|44|32|22|When I See U|FANTASIA|2007-04-21|99|32|23|20070915,,,,
49|48|43|4|If You're Reading This|TIM McGRAW|2007-08-25|45|41|18|20070915,,,,
50|53|50|10|Because Of You|REBA McENTIRE duet with KELLY CLARKSON|2007-07-14|52|50|15|20070915,,,,
51|58|51|7|Online|BRAD PAISLEY|2007-08-04|99|39|20|20070915,,,,
52|63|52|4|Wake Up Call|MAROON 5|2007-08-25|99|19|22|20070915,,,,
53|41|17|10|Potential Breakup Song|ALY & AJ|2007-07-14|77|17|16|20070915,,,,
54|85|54|2|I Get Money|50 CENT|2007-09-08|85|20|14|20070915,,,,
55|69|55|6|Take Me There|RASCAL FLATTS|2007-08-11|84|19|20|20070915,,,,
56|68|56|6|Love Me If You Can|TOBY KEITH|2007-08-11|83|48|17|20070915,,,,
57|56|42|17|Teachme|MUSIQ SOULCHILD|2007-05-26|92|42|20|20070915,,,,
58|55|9|15|Big Things Poppin' (Do It)|T.I.|2007-06-09|30|9|19|20070915,,,,
59|66|32|17|Like This|MIMS|2007-05-26|91|32|20|20070915,,,,
60|71|60|6|Proud Of The House We Built|BROOKS & DUNN|2007-08-11|89|57|15|20070915,,,,
61|72|61|5|All My Friends Say|LUKE BRYAN|2007-08-18|90|59|13|20070915,,,,
62|79|62|7|Can't Tell Me Nothing|KANYE WEST|2007-08-04|96|41|17|20070915,,,,
63|77|63|8|Until The End Of Time|JUSTIN TIMBERLAKE|2007-07-28|97|17|24|20070915,,,,
64|78|64|4|Bleed It Out|LINKIN PARK|2007-08-25|69|52|19|20070915,,,,
65|73|34|18|Lean Like A Cholo|DOWN AKA KILO|2007-05-19|93|34|20|20070915,,,,
66|49|20|17|Same Girl|R. KELLY duet with USHER|2007-05-26|79|20|20|20070915,,,,
67|64|57|13|Everything|MICHAEL BUBLE|2007-06-23|99|57|16|20070915,,,,
68|80|68|9|Everyday America|SUGARLAND|2007-07-21|95|68|10|20070915,,,,
69|82|56|4|The Pretender|FOO FIGHTERS|2007-08-25|56|37|20|20070915,,,,
70|61|9|16|Rehab|AMY WINEHOUSE|2007-06-02|72|9|16|20070915,,,,
71|57|34|3|Misery Business|PARAMORE|2007-09-01|34|26|26|20070915,,,,
72|74|70|4|Int'l Players Anthem (I Choose You)|UGK featuring OUTKAST|2007-08-25|74|70|9|20070915,,,,
73|NEW|73|1|More Than A Memory|GARTH BROOKS|2007-09-15|73|53|16|20070915,,,,
74|83|74|5|Free And Easy (Down The Road I Go)|DIERKS BENTLEY|2007-08-18|89|46|20|20070915,,,,
75|96|75|3|Apologize|TIMBALAND featuring ONEREPUBLIC|2007-09-01|91|2|45|20070915,,,,
76|86|76|6|Hood Figga|GORILLA ZOE|2007-08-11|100|38|20|20070915,,,,
77|31|31|3|You Are The Music In Me|ZAC EFRON & VANESSA ANNE HUDGENS|2007-09-01|38|31|4|20070915,,,,
78|NEW|78|1|Coffee Shop|YUNG JOC featuring GORILLA ZOE|2007-09-15|78|78|1|20070915,,,,
