Pos.This.Week|Pos.Last.Week|Peak.Pos.This.Week|Total.Weeks|Title|Artist|Entry.Date|Pos.Entry|Overall.Peak.Pos|Overall.Total.Weeks|Chart.Date,,,,,
32|38|32|8|Rockabye|CLEAN BANDIT featuring SEAN PAUL & ANNE-MARIE|2016-12-24|100|32|8|20170211,,,,,
33|31|23|13|Love Me Now|JOHN LEGEND|2016-11-19|98|23|13|20170211,,,,,
34|33|3|49|Don't Let Me Down|THE CHAINSMOKERS featuring DAYA|2016-03-12|81|3|49|20170211,,,,,
35|41|35|13|Better Man|LITTLE BIG TOWN|2016-11-19|54|35|13|20170211,,,,,
36|35|24|20|Blue Ain't Your Color|KEITH URBAN|2016-10-01|73|24|20|20170211,,,,,
37|43|37|2|T-Shirt|MIGOS|2017-02-04|43|37|2|20170211,,,,,
38|39|18|21|The Greatest|SIA featuring KENDRICK LAMAR|2016-09-24|52|18|21|20170211,,,,,
39|28|6|3|Castle On The Hill|ED SHEERAN|2017-01-28|6|6|3|20170211,,,,,
40|45|40|6|Party|CHRIS BROWN featuring USHER & GUCCI MANE|2017-01-07|58|40|6|20170211,,,,,
41|37|36|20|X|21 SAVAGE & METRO BOOMIN featuring FUTURE|2016-10-01|98|36|20|20170211,,,,,
42|51|42|11|A Guy With A Girl|BLAKE SHELTON|2016-12-03|97|42|11|20170211,,,,,
43|40|29|26|Chill Bill|ROB stone featuring J. DAVI$ & SPOOKS|2016-08-20|97|29|26|20170211,,,,,
44|57|44|8|Dirt On My Boots|JON PARDI|2016-12-24|95|44|8|20170211,,,,,
45|55|45|13|Star Of The Show|THOMAS RHETT|2016-11-19|88|45|13|20170211,,,,,
46|48|7|7|Deja Vu|J. COLE|2016-12-31|7|7|7|20170211,,,,,
47|49|14|12|Used To This|FUTURE featuring DRAKE|2016-11-26|14|14|12|20170211,,,,,
48|42|2|27|Cold Water|MAJOR LAZER featuring JUSTIN BIEBER & MO|2016-08-13|2|2|27|20170211,,,,,
49|44|41|6|Both|GUCCI MANE featuring DRAKE|2017-01-07|41|41|6|20170211,,,,,
50|36|16|10|Party Monster|THE WEEKND|2016-12-10|39|16|10|20170211,,,,,
51|71|51|5|Goosebumps|TRAVIS SCOTT|2017-01-14|85|51|5|20170211,,,,,
52|99|52|2|Down|MARIAN HILL|2017-02-04|99|52|2|20170211,,,,,
53|54|53|18|HandClap|FITZ AND THE TANTRUMS|2016-10-15|89|53|18|20170211,,,,,
54|85|54|5|Way Down We Go|KALEO|2017-01-14|98|54|5|20170211,,,,,
55|66|55|5|Seein' Red|DUSTIN LYNCH|2017-01-14|79|55|5|20170211,,,,,
56|53|53|4|I Got You|BEBE REXHA|2017-01-21|94|53|4|20170211,,,,,
57|62|55|6|Make Me (Cry)|NOAH CYRUS featuring LABRINTH|2017-01-07|75|55|6|20170211,,,,,
58|81|58|4|Congratulations|POST MALONE featuring QUAVO|2017-01-21|90|58|4|20170211,,,,,
59|52|51|10|Chantaje|SHAKIRA featuring MALUMA|2016-12-10|77|51|10|20170211,,,,,
60|69|60|8|Play That Song|TRAIN|2016-12-24|77|60|8|20170211,,,,,
61|50|43|14|No Heart|21 SAVAGE & METRO BOOMIN|2016-11-12|85|43|14|20170211,,,,,
62|76|62|5|Think A Little Less|MICHAEL RAY|2017-01-14|90|62|5|20170211,,,,,
63|75|63|4|Sober Saturday Night|CHRIS YOUNG featuring VINCE GILL|2017-01-21|92|63|4|20170211,,,,,
64|70|64|3|Location|KHALID|2017-01-28|77|64|3|20170211,,,,,
65|67|41|9|How Far I'll Go|AULI'I CRAVALHO|2016-12-17|52|41|9|20170211,,,,,
66|58|48|15|Dirty Laundry|CARRIE UNDERWOOD|2016-11-05|73|48|15|20170211,,,,,
67|59|51|12|Selfish|PNB ROCK|2016-11-26|87|51|12|20170211,,,,,
68|56|56|7|How Far I'll Go|ALESSIA CARA|2016-12-31|94|56|7|20170211,,,,,
69|64|46|17|Wanna Be That Song|BRETT ELDREDGE|2016-10-22|98|46|17|20170211,,,,,
70|68|59|17|Fresh Eyes|ANDY GRAMMER|2016-10-22|97|59|17|20170211,,,,,
71|74|71|5|Kill A Word|ERIC CHURCH featuring RHIANNON GIDDENS|2017-01-14|82|71|5|20170211,,,,,
72|65|62|5|Moves|BIG SEAN|2017-01-14|71|62|5|20170211,,,,,
73|72|71|6|OTW|DJ LUKE NASTY|2017-01-07|91|71|6|20170211,,,,,
74|92|74|3|Today|BRAD PAISLEY|2017-01-28|95|74|3|20170211,,,,,
75|61|61|6|Swang|RAE SREMMURD|2017-01-07|99|61|6|20170211,,,,,
76|63|48|8|Redbone|CHILDISH GAMBINO|2016-12-24|48|48|8|20170211,,,,,
77|88|77|2|Despacito|LUIS FONSI featuring DADDY YANKEE|2017-02-04|88|77|2|20170211,,,,,
78|82|74|5|80s Mercedes|MAREN MORRIS|2017-01-14|91|74|5|20170211,,,,,
79|89|79|4|The Weekend|BRANTLEY GILBERT|2017-01-21|95|79|4|20170211,,,,,
80|NEW|80|1|If The Boot Fits|GRANGER SMITH|2017-02-11|80|80|1|20170211,,,,,
81|NEW|81|1|Fast|LUKE BRYAN|2017-02-11|81|81|1|20170211,,,,,
82|NEW|82|1|That's What I Like|BRUNO MARS|2017-02-11|82|82|1|20170211,,,,,
83|95|83|2|Not Nice|PARTYNEXTDOOR|2017-02-04|95|83|2|20170211,,,,,
84|NEW|84|1|Guys My Age|HEY VIOLET|2017-02-11|84|84|1|20170211,,,,,
85|87|83|5|Sex With Me|RIHANNA|2017-01-14|94|83|5|20170211,,,,,
86|NEW|86|1|Road Less Traveled|LAUREN ALAINA|2017-02-11|86|86|1|20170211,,,,,
87|NEW|87|1|Issues|JULIA MICHAELS|2017-02-11|87|87|1|20170211,,,,,
88|79|79|3|Call On Me|STARLEY|2017-01-28|94|79|3|20170211,,,,,
89|60|60|8|Alone|MARSHMELLO|2016-12-24|94|60|8|20170211,,,,,
90|98|90|2|Black|DIERKS BENTLEY|2017-02-04|98|90|2|20170211,,,,,
91|NEW|91|1|Love On The Weekend|JOHN MAYER|2017-02-11|91|91|1|20170211,,,,,
92|NEW|92|1|Good Drank|2 CHAINZ x GUCCI MANE x QUAVO|2017-02-11|92|92|1|20170211,,,,,
93|NEW|93|1|Any Ol' Barstool|JASON ALDEAN|2017-02-11|93|93|1|20170211,,,,,
94|NEW|94|1|Dancing On My Own|CALUM SCOTT|2017-02-11|94|94|1|20170211,,,,,
95|73|28|14|Sneakin'|DRAKE featuring 21 SAVAGE|2016-11-12|38|28|14|20170211,,,,,
96|83|59|18|Song For Another Time|OLD DOMINION|2016-10-15|92|59|18|20170211,,,,,
97|NEW|97|1|Million Reasons|LADY GAGA|2017-02-11|97|97|1|20170211,,,,,
98|94|94|2|Say It|FLUME featuring TOVE LO|2017-02-04|94|94|2|20170211,,,,,
99|80|80|4|Water|UGLY GOD|2017-01-21|100|80|4|20170211,,,,,
100|NEW|100|1|Running Back|WALE featuring LIL WAYNE|2017-02-11|100|100|1|20170211,,,,,
1|2|1|10|Bad Boujee|MIGOS featuring LIL UZI VERT|2016-12-03|76|1|11|20170204,,,,,
2|1|1|2|Shape Of You|ED SHEERAN|2017-01-28|1|1|3|20170204,,,,,
3|3|1|19|Black Beatles|RAE SREMMURD featuring GUCCI MANE|2016-10-01|96|1|20|20170204,,,,,
4|5|1|25|Closer|THE CHAINSMOKERS featuring HALSEY|2016-08-20|9|1|26|20170204,,,,,
5|4|1|18|Starboy|THE WEEKND featuring DAFT PUNK|2016-10-08|40|1|19|20170204,,,,,
6|10|6|11|Bad Things|MACHINE GUN KELLY x CAMILLA CABELLO|2016-11-26|73|4|12|20170204,,,,,
7|NEW|7|1|Paris|THE CHAINSMOKERS|2017-02-04|7|7|2|20170204,,,,,
8|12|6|6|I Don't Wanna Live Forever (Fifty Shades Darker)|ZAYN / TAYLOR SWIFT|2016-12-31|6|5|7|20170204,,,,,
9|8|7|15|Don't Wanna Know|MAROON 5 featuring KENDRICK LAMAR|2016-10-29|56|7|16|20170204,,,,,
10|7|4|15|24K Magic|BRUNO MARS|2016-10-29|5|4|16|20170204,,,,,
11|11|9|13|Fake Love|DRAKE|2016-11-12|24|9|14|20170204,,,,,
12|9|4|21|Side To Side|ARIANA GRANDE featuring NICKI MINAJ|2016-09-17|31|4|22|20170204,,,,,
13|13|12|21|Scars To Your Beautiful|ALESSIA CARA|2016-09-17|95|10|22|20170204,,,,,
14|15|11|20|Caroline|AMINE|2016-09-24|96|11|21|20170204,,,,,
15|16|15|11|Bounce Back|BIG SEAN|2016-11-26|61|15|12|20170204,,,,,
16|14|4|24|Let Me Love You|DJ SNAKE featuring JUSTIN BIEBER|2016-08-27|12|4|25|20170204,,,,,
17|19|17|13|Love On The Brain|RIHANNA|2016-11-12|80|14|14|20170204,,,,,
18|17|5|16|Juju On That Beat (TZ Anthem)|ZAY HILFIGERRR & ZAYLON McCALL|2016-10-22|89|5|17|20170204,,,,,
19|22|19|9|I Feel It Coming|THE WEEKND featuring DAFT PUNK|2016-12-10|48|18|10|20170204,,,,,
20|18|2|31|Heathens|TWENTY ONE PILOTS|2016-07-09|14|2|32|20170204,,,,,
21|20|5|32|Broccoli|D.R.A.M. featuring LIL YACHTY|2016-07-02|87|5|33|20170204,,,,,
22|24|16|15|All Time Low|JON BELLION|2016-10-29|82|16|16|20170204,,,,,
23|21|12|25|Starving|HAILEE STEINFELD & GREY featuring ZEDD|2016-08-20|96|12|26|20170204,,,,,
24|25|1|37|Can't Stop The Feeling!|JUSTIN TIMBERLAKE|2016-05-28|1|1|38|20170204,,,,,
25|23|17|17|Mercy|SHAWN MENDES|2016-10-15|68|17|18|20170204,,,,,
26|26|6|33|Treat You Better|SHAWN MENDES|2016-06-25|34|6|34|20170204,,,,,
27|27|1|49|Cheap Thrills|SIA featuring SEAN PAUL|2016-03-05|81|1|50|20170204,,,,,
28|6|6|2|Castle On The Hill|ED SHEERAN|2017-01-28|6|6|3|20170204,,,,,
29|28|20|17|This Town|NIALL HORAN|2016-10-15|63|20|18|20170204,,,,,
30|31|30|13|Say You Won't Let Go|JAMES ARTHUR|2016-11-12|100|30|14|20170204,,,,,
31|30|23|12|Love Me Now|JOHN LEGEND|2016-11-19|98|23|13|20170204,,,,,
32|42|32|4|iSpy|KYLE featuring LIL YACHTY|2017-01-14|80|29|5|20170204,,,,,
33|32|3|48|Don't Let Me Down|THE CHAINSMOKERS featuring DAYA|2016-03-12|81|3|49|20170204,,,,,
34|33|33|10|Water Under The Bridge|ADELE|2016-12-03|94|26|11|20170204,,,,,
35|29|24|19|Blue Ain't Your Color|KEITH URBAN|2016-10-01|73|24|20|20170204,,,,,
36|47|16|9|Party Monster|THE WEEKND|2016-12-10|39|16|10|20170204,,,,,
37|36|36|19|X|21 SAVAGE & METRO BOOMIN featuring FUTURE|2016-10-01|98|36|20|20170204,,,,,
38|51|38|7|Rockabye|CLEAN BANDIT featuring SEAN PAUL & ANNE-MARIE|2016-12-24|100|32|8|20170204,,,,,
39|35|18|20|The Greatest|SIA featuring KENDRICK LAMAR|2016-09-24|52|18|21|20170204,,,,,
40|37|29|25|Chill Bill|ROB stone featuring J. DAVI$ & SPOOKS|2016-08-20|97|29|26|20170204,,,,,
41|43|41|12|Better Man|LITTLE BIG TOWN|2016-11-19|54|35|13|20170204,,,,,
42|38|2|26|Cold Water|MAJOR LAZER featuring JUSTIN BIEBER & MO|2016-08-13|2|2|27|20170204,,,,,
43|NEW|43|1|T-Shirt|MIGOS|2017-02-04|43|37|2|20170204,,,,,
44|44|41|5|Both|GUCCI MANE featuring DRAKE|2017-01-07|41|41|6|20170204,,,,,
45|45|45|5|Party|CHRIS BROWN featuring USHER & GUCCI MANE|2017-01-07|58|40|6|20170204,,,,,
46|40|40|28|You Was Right|LIL UZI VERT|2016-07-30|89|40|28|20170204,,,,,
47|34|24|23|In The Name Of Love|MARTIN GARRIX & BEBE REXHA|2016-09-03|93|24|23|20170204,,,,,
48|48|7|6|Deja Vu|J. COLE|2016-12-31|7|7|7|20170204,,,,,
49|50|14|11|Used To This|FUTURE featuring DRAKE|2016-11-26|14|14|12|20170204,,,,,
50|46|43|13|No Heart|21 SAVAGE & METRO BOOMIN|2016-11-12|85|43|14|20170204,,,,,
51|53|51|10|A Guy With A Girl|BLAKE SHELTON|2016-12-03|97|42|11|20170204,,,,,
52|54|51|9|Chantaje|SHAKIRA featuring MALUMA|2016-12-10|77|51|10|20170204,,,,,
53|63|53|3|I Got You|BEBE REXHA|2017-01-21|94|53|4|20170204,,,,,
54|55|54|17|HandClap|FITZ AND THE TANTRUMS|2016-10-15|89|53|18|20170204,,,,,
55|56|55|12|Star Of The Show|THOMAS RHETT|2016-11-19|88|45|13|20170204,,,,,
56|59|56|6|How Far I'll Go|ALESSIA CARA|2016-12-31|94|56|7|20170204,,,,,
57|58|57|7|Dirt On My Boots|JON PARDI|2016-12-24|95|44|8|20170204,,,,,
58|49|48|14|Dirty Laundry|CARRIE UNDERWOOD|2016-11-05|73|48|15|20170204,,,,,
59|61|51|11|Selfish|PNB ROCK|2016-11-26|87|51|12|20170204,,,,,
60|60|60|7|Alone|MARSHMELLO|2016-12-24|94|60|8|20170204,,,,,
61|64|61|5|Swang|RAE SREMMURD|2017-01-07|99|61|6|20170204,,,,,
62|66|55|5|Make Me (Cry)|NOAH CYRUS featuring LABRINTH|2017-01-07|75|55|6|20170204,,,,,
63|72|48|7|Redbone|CHILDISH GAMBINO|2016-12-24|48|48|8|20170204,,,,,
64|57|46|16|Wanna Be That Song|BRETT ELDREDGE|2016-10-22|98|46|17|20170204,,,,,
65|62|62|4|Moves|BIG SEAN|2017-01-14|71|62|5|20170204,,,,,
66|65|65|4|Seein' Red|DUSTIN LYNCH|2017-01-14|79|55|5|20170204,,,,,
67|67|41|8|How Far I'll Go|AULI'I CRAVALHO|2016-12-17|52|41|9|20170204,,,,,
68|84|59|16|Fresh Eyes|ANDY GRAMMER|2016-10-22|97|59|17|20170204,,,,,
69|68|68|7|Play That Song|TRAIN|2016-12-24|77|60|8|20170204,,,,,
70|77|70|2|Location|KHALID|2017-01-28|77|64|3|20170204,,,,,
71|73|71|4|Goosebumps|TRAVIS SCOTT|2017-01-14|85|51|5|20170204,,,,,
72|71|71|5|OTW|DJ LUKE NASTY|2017-01-07|91|71|6|20170204,,,,,
73|69|28|13|Sneakin'|DRAKE featuring 21 SAVAGE|2016-11-12|38|28|14|20170204,,,,,
74|80|74|4|Kill A Word|ERIC CHURCH featuring RHIANNON GIDDENS|2017-01-14|82|71|5|20170204,,,,,
75|83|75|3|Sober Saturday Night|CHRIS YOUNG featuring VINCE GILL|2017-01-21|92|63|4|20170204,,,,,
76|82|76|4|Think A Little Less|MICHAEL RAY|2017-01-14|90|62|5|20170204,,,,,
77|NEW|77|1|Not Afraid Anymore|HALSEY|2017-02-04|77|77|1|20170204,,,,,
78|74|74|5|Red Opps|21 SAVAGE|2017-01-07|92|74|5|20170204,,,,,
79|94|79|2|Call On Me|STARLEY|2017-01-28|94|79|3|20170204,,,,,
80|87|80|3|Water|UGLY GOD|2017-01-21|100|80|4|20170204,,,,,
81|85|81|3|Congratulations|POST MALONE featuring QUAVO|2017-01-21|90|58|4|20170204,,,,,
82|78|74|4|80s Mercedes|MAREN MORRIS|2017-01-14|91|74|5|20170204,,,,,
83|76|59|17|Song For Another Time|OLD DOMINION|2016-10-15|92|59|18|20170204,,,,,
84|70|13|6|Neighbors|J. COLE|2016-12-31|13|13|6|20170204,,,,,
85|91|85|4|Way Down We Go|KALEO|2017-01-14|98|54|5|20170204,,,,,
86|88|86|4|Timeless|A BOOGIE WIT DA HOODIE featuring DJ SPINKING|2017-01-14|96|86|4|20170204,,,,,
87|86|83|4|Sex With Me|RIHANNA|2017-01-14|94|83|5|20170204,,,,,
88|NEW|88|1|Despacito|LUIS FONSI featuring DADDY YANKEE|2017-02-04|88|77|2|20170204,,,,,
89|93|89|3|The Weekend|BRANTLEY GILBERT|2017-01-21|95|79|4|20170204,,,,,
90|79|78|4|Parachute|CHRIS STAPLETON|2017-01-14|89|78|4|20170204,,,,,
91|81|65|8|You're Welcome|DWAYNE JOHNSON|2016-12-17|83|65|8|20170204,,,,,
92|95|92|2|Today|BRAD PAISLEY|2017-01-28|95|74|3|20170204,,,,,
93|92|18|16|All We Know|THE CHAINSMOKERS featuring PHOEBE RYAN|2016-10-22|18|18|16|20170204,,,,,
94|NEW|94|1|Say It|FLUME featuring TOVE LO|2017-02-04|94|94|2|20170204,,,,,
95|NEW|95|1|Not Nice|PARTYNEXTDOOR|2017-02-04|95|83|2|20170204,,,,,
96|99|52|6|Just Hold On|STEVE AOKI & LOUIS TOMLINSON|2016-12-31|52|52|6|20170204,,,,,
97|90|90|3|Beibs In The Trap|TRAVIS SCOTT|2017-01-21|93|90|3|20170204,,,,,
98|NEW|98|1|Black|DIERKS BENTLEY|2017-02-04|98|90|2|20170204,,,,,
99|NEW|99|1|Down|MARIAN HILL|2017-02-04|99|52|2|20170204,,,,,
100|NEW|100|1|My Shit|A BOOGIE WIT DA HOODIE|2017-02-04|100|100|1|20170204,,,,,
1|NEW|1|1|Shape Of You|ED SHEERAN|2017-01-28|1|1|3|20170128,,,,,
2|1|1|9|Bad Boujee|MIGOS featuring LIL UZI VERT|2016-12-03|76|1|11|20170128,,,,,
3|2|1|18|Black Beatles|RAE SREMMURD featuring GUCCI MANE|2016-10-01|96|1|20|20170128,,,,,
4|4|1|17|Starboy|THE WEEKND featuring DAFT PUNK|2016-10-08|40|1|19|20170128,,,,,
5|3|1|24|Closer|THE CHAINSMOKERS featuring HALSEY|2016-08-20|9|1|26|20170128,,,,,
6|NEW|6|1|Castle On The Hill|ED SHEERAN|2017-01-28|6|6|3|20170128,,,,,
7|5|4|14|24K Magic|BRUNO MARS|2016-10-29|5|4|16|20170128,,,,,
8|7|7|14|Don't Wanna Know|MAROON 5 featuring KENDRICK LAMAR|2016-10-29|56|7|16|20170128,,,,,
9|6|4|20|Side To Side|ARIANA GRANDE featuring NICKI MINAJ|2016-09-17|31|4|22|20170128,,,,,
10|10|9|10|Bad Things|MACHINE GUN KELLY x CAMILLA CABELLO|2016-11-26|73|4|12|20170128,,,,,
11|9|9|12|Fake Love|DRAKE|2016-11-12|24|9|14|20170128,,,,,
12|14|6|5|I Don't Wanna Live Forever (Fifty Shades Darker)|ZAYN / TAYLOR SWIFT|2016-12-31|6|5|7|20170128,,,,,
13|12|12|20|Scars To Your Beautiful|ALESSIA CARA|2016-09-17|95|10|22|20170128,,,,,
14|8|4|23|Let Me Love You|DJ SNAKE featuring JUSTIN BIEBER|2016-08-27|12|4|25|20170128,,,,,
15|16|11|19|Caroline|AMINE|2016-09-24|96|11|21|20170128,,,,,
16|18|16|10|Bounce Back|BIG SEAN|2016-11-26|61|15|12|20170128,,,,,
17|11|5|15|Juju On That Beat (TZ Anthem)|ZAY HILFIGERRR & ZAYLON McCALL|2016-10-22|89|5|17|20170128,,,,,
18|13|2|30|Heathens|TWENTY ONE PILOTS|2016-07-09|14|2|32|20170128,,,,,
19|21|19|12|Love On The Brain|RIHANNA|2016-11-12|80|14|14|20170128,,,,,
20|15|5|31|Broccoli|D.R.A.M. featuring LIL YACHTY|2016-07-02|87|5|33|20170128,,,,,
21|17|12|24|Starving|HAILEE STEINFELD & GREY featuring ZEDD|2016-08-20|96|12|26|20170128,,,,,
22|25|22|8|I Feel It Coming|THE WEEKND featuring DAFT PUNK|2016-12-10|48|18|10|20170128,,,,,
23|19|17|16|Mercy|SHAWN MENDES|2016-10-15|68|17|18|20170128,,,,,
24|22|16|14|All Time Low|JON BELLION|2016-10-29|82|16|16|20170128,,,,,
25|20|1|36|Can't Stop The Feeling!|JUSTIN TIMBERLAKE|2016-05-28|1|1|38|20170128,,,,,
26|23|6|32|Treat You Better|SHAWN MENDES|2016-06-25|34|6|34|20170128,,,,,
27|26|1|48|Cheap Thrills|SIA featuring SEAN PAUL|2016-03-05|81|1|50|20170128,,,,,
28|27|20|16|This Town|NIALL HORAN|2016-10-15|63|20|18|20170128,,,,,
29|30|24|18|Blue Ain't Your Color|KEITH URBAN|2016-10-01|73|24|20|20170128,,,,,
30|31|23|11|Love Me Now|JOHN LEGEND|2016-11-19|98|23|13|20170128,,,,,
31|37|31|12|Say You Won't Let Go|JAMES ARTHUR|2016-11-12|100|30|14|20170128,,,,,
32|29|3|47|Don't Let Me Down|THE CHAINSMOKERS featuring DAYA|2016-03-12|81|3|49|20170128,,,,,
33|38|33|9|Water Under The Bridge|ADELE|2016-12-03|94|26|11|20170128,,,,,
34|28|24|22|In The Name Of Love|MARTIN GARRIX & BEBE REXHA|2016-09-03|93|24|23|20170128,,,,,
35|32|18|19|The Greatest|SIA featuring KENDRICK LAMAR|2016-09-24|52|18|21|20170128,,,,,
36|36|36|18|X|21 SAVAGE & METRO BOOMIN featuring FUTURE|2016-10-01|98|36|20|20170128,,,,,
37|35|29|24|Chill Bill|ROB stone featuring J. DAVI$ & SPOOKS|2016-08-20|97|29|26|20170128,,,,,
38|34|2|25|Cold Water|MAJOR LAZER featuring JUSTIN BIEBER & MO|2016-08-13|2|2|27|20170128,,,,,
39|24|19|20|Ooouuu|YOUNG M.A.|2016-09-17|85|19|20|20170128,,,,,
40|40|40|27|You Was Right|LIL UZI VERT|2016-07-30|89|40|28|20170128,,,,,
41|33|10|39|I Hate U I Love U|GNASH featuring OLIVIA O'BRIEN|2016-05-07|93|10|39|20170128,,,,,
42|62|42|3|iSpy|KYLE featuring LIL YACHTY|2017-01-14|80|29|5|20170128,,,,,
43|44|43|11|Better Man|LITTLE BIG TOWN|2016-11-19|54|35|13|20170128,,,,,
44|52|41|4|Both|GUCCI MANE featuring DRAKE|2017-01-07|41|41|6|20170128,,,,,
45|53|45|4|Party|CHRIS BROWN featuring USHER & GUCCI MANE|2017-01-07|58|40|6|20170128,,,,,
46|43|43|12|No Heart|21 SAVAGE & METRO BOOMIN|2016-11-12|85|43|14|20170128,,,,,
47|49|16|8|Party Monster|THE WEEKND|2016-12-10|39|16|10|20170128,,,,,
48|47|7|5|Deja Vu|J. COLE|2016-12-31|7|7|7|20170128,,,,,
49|48|48|13|Dirty Laundry|CARRIE UNDERWOOD|2016-11-05|73|48|15|20170128,,,,,
50|45|14|10|Used To This|FUTURE featuring DRAKE|2016-11-26|14|14|12|20170128,,,,,
51|61|51|6|Rockabye|CLEAN BANDIT featuring SEAN PAUL & ANNE-MARIE|2016-12-24|100|32|8|20170128,,,,,
52|42|30|20|May We All|FLORIDA GEORGIA LINE featuring TIM McGRAW|2016-09-17|56|30|20|20170128,,,,,
53|54|53|9|A Guy With A Girl|BLAKE SHELTON|2016-12-03|97|42|11|20170128,,,,,
54|51|51|8|Chantaje|SHAKIRA featuring MALUMA|2016-12-10|77|51|10|20170128,,,,,
55|56|55|16|HandClap|FITZ AND THE TANTRUMS|2016-10-15|89|53|18|20170128,,,,,
56|57|56|11|Star Of The Show|THOMAS RHETT|2016-11-19|88|45|13|20170128,,,,,
57|46|46|15|Wanna Be That Song|BRETT ELDREDGE|2016-10-22|98|46|17|20170128,,,,,
58|59|58|6|Dirt On My Boots|JON PARDI|2016-12-24|95|44|8|20170128,,,,,
59|58|58|5|How Far I'll Go|ALESSIA CARA|2016-12-31|94|56|7|20170128,,,,,
60|72|60|6|Alone|MARSHMELLO|2016-12-24|94|60|8|20170128,,,,,
61|60|51|10|Selfish|PNB ROCK|2016-11-26|87|51|12|20170128,,,,,
62|77|62|3|Moves|BIG SEAN|2017-01-14|71|62|5|20170128,,,,,
63|94|63|2|I Got You|BEBE REXHA|2017-01-21|94|53|4|20170128,,,,,
64|71|64|4|Swang|RAE SREMMURD|2017-01-07|99|61|6|20170128,,,,,
65|69|65|3|Seein' Red|DUSTIN LYNCH|2017-01-14|79|55|5|20170128,,,,,
66|55|55|4|Make Me (Cry)|NOAH CYRUS featuring LABRINTH|2017-01-07|75|55|6|20170128,,,,,
67|41|41|7|How Far I'll Go|AULI'I CRAVALHO|2016-12-17|52|41|9|20170128,,,,,
68|68|68|6|Play That Song|TRAIN|2016-12-24|77|60|8|20170128,,,,,
69|63|28|12|Sneakin'|DRAKE featuring 21 SAVAGE|2016-11-12|38|28|14|20170128,,,,,
