Pos.This.Week|Pos.Last.Week|Peak.Pos.This.Week|Total.Weeks|Title|Artist|Entry.Date|Pos.Entry|Overall.Peak.Pos|Overall.Total.Weeks|Chart.Date
6|2|2|13|Don't Wanna Fall In Love|JANE CHILD|1990-02-10|75|2|21|19900505
7|6|6|11|Whip Appeal|BABYFACE|1990-02-24|90|6|18|19900505
8|4|3|14|All Around The World|LISA STANSFIELD|1990-02-03|78|3|22|19900505
9|11|9|8|What It Takes|AEROSMITH|1990-03-17|60|9|17|19900505
10|17|10|5|Alright|JANET JACKSON|1990-04-07|45|4|16|19900505
11|8|8|11|Without You|MOTLEY CRUE|1990-02-24|66|8|17|19900505
12|16|12|8|Hold On|WILSON PHILLIPS|1990-03-17|74|1|25|19900505
13|13|13|11|Heartbeat|SEDUCTION|1990-02-24|69|13|16|19900505
14|15|14|12|Sending All My Love|LINEAR|1990-02-17|92|5|27|19900505
15|18|15|8|Love Child|SWEET SENSATION|1990-03-17|69|13|15|19900505
16|20|16|7|This Old Heart Of Mine|ROD STEWART with RONALD ISLEY|1990-03-24|62|10|16|19900505
17|21|17|9|Room At The Top|ADAM ANT|1990-03-10|84|17|16|19900505
18|24|18|5|Poison|BELL BIV DEVOE|1990-04-07|52|3|22|19900505
19|9|9|16|Whole Wide World|A'ME LORAIN|1990-01-20|79|9|20|19900505
20|7|6|20|Here & Now|LUTHER VANDROSS|1989-12-23|78|6|27|19900505
21|22|21|12|The Heart Of The Matter|DON HENLEY|1990-02-17|80|21|21|19900505
22|29|22|5|It Must Have Been Love|ROXETTE|1990-04-07|67|1|25|19900505
23|27|23|2|U Can't Touch This|M.C. HAMMER|1990-04-28|27|8|17|19900505
24|14|1|12|I'll Be Your Everything|TOMMY PAGE|1990-02-17|51|1|18|19900505
25|28|25|6|Your Baby Never Looked Good In Blue|EXPOSE|1990-03-31|61|17|16|19900505
26|26|26|8|The Humpty Dance|DIGITAL UNDERGROUND|1990-03-17|81|11|23|19900505
27|23|1|15|Love Will Lead You Back|TAYLOR DAYNE|1990-01-27|55|1|20|19900505
28|25|1|19|Black Velvet|ALANNAH MYLES|1989-12-30|86|1|25|19900505
29|19|8|14|Forever|KISS|1990-02-03|72|8|17|19900505
30|38|30|4|Ooh La La (I Can't Get Over You)|PERFECT GENTLEMEN|1990-04-14|84|10|16|19900505
31|33|31|9|Expression|SALT-N-PEPA|1990-03-10|95|26|21|19900505
32|36|32|6|Ready Or Not|AFTER 7|1990-03-31|96|7|21|19900505
33|34|33|11|House Of Pain|FASTER PUSSYCAT|1990-02-24|89|28|21|19900505
34|32|24|15|If U Were Mine|U-KREW|1990-01-27|87|24|22|19900505
35|35|35|5|Save Me|FLEETWOOD MAC|1990-04-07|70|33|11|19900505
36|42|36|4|Baby It's Tonight|JUDE COLE|1990-04-14|74|16|19|19900505
37|43|37|7|I'll See You In My Dreams|GIANT|1990-03-24|93|20|20|19900505
38|30|7|15|Get Up|TECHNOTRONIC|1990-01-27|86|7|20|19900505
39|51|39|2|Do You Remember|PHIL COLLINS|1990-04-28|51|4|19|19900505
40|41|40|9|Time After Time|TIMMY T|1990-03-10|80|40|17|19900505
41|44|41|5|Cruising For Bruising|BASIA|1990-04-07|76|29|12|19900505
42|31|3|14|I Wish It Would Rain Down|PHIL COLLINS|1990-02-03|71|3|17|19900505
43|55|43|2|Children Of The Night|RICHARD MARX|1990-04-28|55|13|15|19900505
44|57|44|3|Turtle Power|PARTNERS IN KRYME|1990-04-21|89|13|16|19900505
45|47|45|6|Getting Away With It|ELECTRONIC|1990-03-31|88|38|12|19900505
46|37|37|8|A Little Love|COREY HART|1990-03-17|86|37|11|19900505
47|52|47|5|Always & Forever|WHISTLE|1990-04-07|87|35|15|19900505
48|49|48|5|Oye Mi Canto|GLORIA ESTEFAN|1990-04-07|78|48|7|19900505
49|53|49|5|All That Glitters Isn't Gold|COVER GIRLS|1990-04-07|89|49|12|19900505
50|58|50|4|Enjoy The Silence|DEPECHE MODE|1990-04-14|96|8|24|19900505
51|60|51|3|Deadbeat Club|B-52'S|1990-04-21|84|30|11|19900505
52|45|9|16|Just A Friend|BIZ MARKIE|1990-01-20|71|9|22|19900505
53|62|53|4|Nicety|MICHEL'LE|1990-04-14|98|29|16|19900505
54|61|54|4|Get A Life|SOUL II SOUL|1990-04-14|94|54|11|19900505
55|56|55|7|Cuts You Up|PETER MURPHY|1990-03-24|95|55|9|19900505
56|NEW|56|1|I'll Be Your Shelter|TAYLOR DAYNE|1990-05-05|56|4|18|19900505
57|40|31|9|The Secret Garden|QUINCY JONES|1990-03-10|73|31|13|19900505
58|48|7|25|No More Lies|MICHEL'LE|1989-11-18|92|7|29|19900505
59|59|59|6|Moonlight On Water|LAURA BRANIGAN|1990-03-31|94|59|9|19900505
60|73|60|2|Notice Me|NIKKI|1990-04-28|73|21|15|19900505
61|NEW|61|1|Hold On|EN VOGUE|1990-05-05|61|2|25|19900505
62|75|62|2|Dare To Fall In Love|BRENT BOURGEIOX|1990-04-28|75|32|13|19900505
63|46|11|13|All My Life|LINDA RONSTADT|1990-02-10|47|11|15|19900505
64|68|64|3|Coming Of Age|DAMN YANKEES|1990-04-21|85|60|12|19900505
65|97|65|2|Sittin' In The Lap Of Luxury|LOUIE LOUIE|1990-04-28|97|19|16|19900505
66|39|20|13|Heart Of Stone|CHER|1990-02-10|92|20|14|19900505
67|50|46|7|Hurting Kind (I've Got My Eyes On You)|ROBERT PLANT|1990-03-24|88|46|10|19900505
68|66|66|4|Heaven Is A 4 Letter Word|BAD ENGLISH|1990-04-14|80|66|9|19900505
69|78|69|2|That's The Way Of The World|D-MOB|1990-04-28|78|59|9|19900505
70|71|70|5|The Ballad Of Jayne|L.A. GUNS|1990-04-07|99|33|22|19900505
71|54|1|16|Escapade|JANET JACKSON|1990-01-20|37|1|17|19900505
72|69|69|4|Spin That Wheel|HI-TEK 3|1990-04-14|92|69|7|19900505
73|64|1|21|Opposites Attract|PAULA ABDUL|1989-12-16|72|1|23|19900505
74|67|67|6|How 'Bout Us|GRAYSON HUGH & BETTY WRIGHT|1990-03-31|89|67|7|19900505
75|85|75|3|Pictures Of You|CURE|1990-04-21|94|71|8|19900505
76|86|76|2|Club At The End Of The Street|ELTON JOHN|1990-04-28|86|28|16|19900505
77|79|77|3|Drag My Bad Name Down|4 OF US|1990-04-21|92|77|5|19900505
78|65|55|9|The Way It Is|TESLA|1990-03-10|86|55|12|19900505
79|76|76|4|Dub Be Good To Me|BEATS INTERNATIONAL|1990-04-14|95|76|5|19900505
80|98|80|2|Up All Night|SLAUGHTER|1990-04-28|98|27|14|19900505
81|89|81|2|Girls Nite Out|TYLER COLLINS|1990-04-28|89|6|21|19900505
82|NEW|82|1|The Downeaster 'Alexa'|BILLY JOEL|1990-05-05|82|57|8|19900505
83|NEW|83|1|Cradle Of Love|BILLY IDOL|1990-05-05|83|2|24|19900505
84|NEW|84|1|'B' Girls|YOUNG AND RESTLESS|1990-05-05|84|54|15|19900505
85|90|85|2|This & That|MICHAEL PENN|1990-04-28|90|53|8|19900505
86|70|18|17|Sacrifice|ELTON JOHN|1990-01-13|87|18|17|19900505
87|92|87|2|Try To Find Me|GORKY PARK|1990-04-28|92|81|6|19900505
88|NEW|88|1|Love Is|ALANNAH MYLES|1990-05-05|88|36|13|19900505
89|91|89|2|Only My Heart Talkin'|ALICE COOPER|1990-04-28|91|89|3|19900505
90|72|2|21|Dangerous|ROXETTE|1989-12-16|65|2|21|19900505
91|77|46|10|Lambada|KAOMA|1990-03-03|71|46|12|19900505
92|95|73|9|Hide And Seek|PAJAMA PARTY|1990-03-10|93|73|10|19900505
93|63|43|11|Make It Like It Was|REGINA BELLE|1990-02-24|96|43|11|19900505
94|NEW|94|1|Blues Before And After|SMITHEREENS|1990-05-05|94|94|2|19900505
95|NEW|95|1|Counting The Days|JOEY KID|1990-05-05|95|70|12|19900505
96|88|6|21|Here We Are|GLORIA ESTEFAN|1989-12-16|68|6|21|19900505
97|74|3|20|Roam|B-52'S|1989-12-23|88|3|20|19900505
98|80|10|21|C'mon And Get My Love|D-MOB & CATHY DENNIS|1989-12-16|91|10|21|19900505
99|81|29|14|Love Me For Life|STEVIE B|1990-02-03|69|29|14|19900505
100|84|49|9|Have A Heart|BONNIE RAITT|1990-03-10|92|49|9|19900505
1|1|1|7|Nothing Compares 2 U|SINEAD O'CONNOR|1990-03-17|63|1|21|19900428
2|2|2|12|Don't Wanna Fall In Love|JANE CHILD|1990-02-10|75|2|21|19900428
3|4|3|12|I Wanna Be Rich|CALLOWAY|1990-02-10|93|2|23|19900428
4|3|3|13|All Around The World|LISA STANSFIELD|1990-02-03|78|3|22|19900428
5|7|5|9|How Can We Be Lovers|MICHAEL BOLTON|1990-03-03|68|3|18|19900428
6|11|6|10|Whip Appeal|BABYFACE|1990-02-24|90|6|18|19900428
7|6|6|19|Here & Now|LUTHER VANDROSS|1989-12-23|78|6|27|19900428
8|9|8|10|Without You|MOTLEY CRUE|1990-02-24|66|8|17|19900428
9|10|9|15|Whole Wide World|A'ME LORAIN|1990-01-20|79|9|20|19900428
10|18|10|5|All I Wanna Do Is Make Love To You|HEART|1990-03-31|57|2|20|19900428
11|13|11|7|What It Takes|AEROSMITH|1990-03-17|60|9|17|19900428
12|28|12|3|Vogue|MADONNA|1990-04-14|39|1|24|19900428
13|15|13|10|Heartbeat|SEDUCTION|1990-02-24|69|13|16|19900428
14|5|1|11|I'll Be Your Everything|TOMMY PAGE|1990-02-17|51|1|18|19900428
15|19|15|11|Sending All My Love|LINEAR|1990-02-17|92|5|27|19900428
16|20|16|7|Hold On|WILSON PHILLIPS|1990-03-17|74|1|25|19900428
17|24|17|4|Alright|JANET JACKSON|1990-04-07|45|4|16|19900428
18|21|18|7|Love Child|SWEET SENSATION|1990-03-17|69|13|15|19900428
19|8|8|13|Forever|KISS|1990-02-03|72|8|17|19900428
20|25|20|6|This Old Heart Of Mine|ROD STEWART with RONALD ISLEY|1990-03-24|62|10|16|19900428
21|23|21|8|Room At The Top|ADAM ANT|1990-03-10|84|17|16|19900428
22|22|22|11|The Heart Of The Matter|DON HENLEY|1990-02-17|80|21|21|19900428
23|12|1|14|Love Will Lead You Back|TAYLOR DAYNE|1990-01-27|55|1|20|19900428
24|29|24|4|Poison|BELL BIV DEVOE|1990-04-07|52|3|22|19900428
25|14|1|18|Black Velvet|ALANNAH MYLES|1989-12-30|86|1|25|19900428
26|30|26|7|The Humpty Dance|DIGITAL UNDERGROUND|1990-03-17|81|11|23|19900428
27|NEW|27|1|U Can't Touch This|M.C. HAMMER|1990-04-28|27|8|17|19900428
28|31|28|5|Your Baby Never Looked Good In Blue|EXPOSE|1990-03-31|61|17|16|19900428
29|34|29|4|It Must Have Been Love|ROXETTE|1990-04-07|67|1|25|19900428
30|16|7|14|Get Up|TECHNOTRONIC|1990-01-27|86|7|20|19900428
31|17|3|13|I Wish It Would Rain Down|PHIL COLLINS|1990-02-03|71|3|17|19900428
32|26|24|14|If U Were Mine|U-KREW|1990-01-27|87|24|22|19900428
33|36|33|8|Expression|SALT-N-PEPA|1990-03-10|95|26|21|19900428
34|40|34|10|House Of Pain|FASTER PUSSYCAT|1990-02-24|89|28|21|19900428
35|41|35|4|Save Me|FLEETWOOD MAC|1990-04-07|70|33|11|19900428
36|44|36|5|Ready Or Not|AFTER 7|1990-03-31|96|7|21|19900428
37|39|37|7|A Little Love|COREY HART|1990-03-17|86|37|11|19900428
38|47|38|3|Ooh La La (I Can't Get Over You)|PERFECT GENTLEMEN|1990-04-14|84|10|16|19900428
39|27|20|12|Heart Of Stone|CHER|1990-02-10|92|20|14|19900428
40|32|31|8|The Secret Garden|QUINCY JONES|1990-03-10|73|31|13|19900428
41|42|41|8|Time After Time|TIMMY T|1990-03-10|80|40|17|19900428
42|51|42|3|Baby It's Tonight|JUDE COLE|1990-04-14|74|16|19|19900428
43|45|43|6|I'll See You In My Dreams|GIANT|1990-03-24|93|20|20|19900428
44|52|44|4|Cruising For Bruising|BASIA|1990-04-07|76|29|12|19900428
45|38|9|15|Just A Friend|BIZ MARKIE|1990-01-20|71|9|22|19900428
46|33|11|12|All My Life|LINDA RONSTADT|1990-02-10|47|11|15|19900428
47|48|47|5|Getting Away With It|ELECTRONIC|1990-03-31|88|38|12|19900428
48|37|7|24|No More Lies|MICHEL'LE|1989-11-18|92|7|29|19900428
49|54|49|4|Oye Mi Canto|GLORIA ESTEFAN|1990-04-07|78|48|7|19900428
50|46|46|6|Hurting Kind (I've Got My Eyes On You)|ROBERT PLANT|1990-03-24|88|46|10|19900428
51|NEW|51|1|Do You Remember|PHIL COLLINS|1990-04-28|51|4|19|19900428
52|59|52|4|Always & Forever|WHISTLE|1990-04-07|87|35|15|19900428
53|58|53|4|All That Glitters Isn't Gold|COVER GIRLS|1990-04-07|89|49|12|19900428
54|35|1|15|Escapade|JANET JACKSON|1990-01-20|37|1|17|19900428
55|NEW|55|1|Children Of The Night|RICHARD MARX|1990-04-28|55|13|15|19900428
56|60|56|6|Cuts You Up|PETER MURPHY|1990-03-24|95|55|9|19900428
57|89|57|2|Turtle Power|PARTNERS IN KRYME|1990-04-21|89|13|16|19900428
58|73|58|3|Enjoy The Silence|DEPECHE MODE|1990-04-14|96|8|24|19900428
59|67|59|5|Moonlight On Water|LAURA BRANIGAN|1990-03-31|94|59|9|19900428
60|84|60|2|Deadbeat Club|B-52'S|1990-04-21|84|30|11|19900428
61|72|61|3|Get A Life|SOUL II SOUL|1990-04-14|94|54|11|19900428
62|74|62|3|Nicety|MICHEL'LE|1990-04-14|98|29|16|19900428
63|43|43|10|Make It Like It Was|REGINA BELLE|1990-02-24|96|43|11|19900428
64|50|1|20|Opposites Attract|PAULA ABDUL|1989-12-16|72|1|23|19900428
65|55|55|8|The Way It Is|TESLA|1990-03-10|86|55|12|19900428
66|68|66|3|Heaven Is A 4 Letter Word|BAD ENGLISH|1990-04-14|80|66|9|19900428
67|70|67|5|How 'Bout Us|GRAYSON HUGH & BETTY WRIGHT|1990-03-31|89|67|7|19900428
68|85|68|2|Coming Of Age|DAMN YANKEES|1990-04-21|85|60|12|19900428
69|83|69|3|Spin That Wheel|HI-TEK 3|1990-04-14|92|69|7|19900428
70|61|18|16|Sacrifice|ELTON JOHN|1990-01-13|87|18|17|19900428
71|79|71|4|The Ballad Of Jayne|L.A. GUNS|1990-04-07|99|33|22|19900428
72|56|2|20|Dangerous|ROXETTE|1989-12-16|65|2|21|19900428
73|NEW|73|1|Notice Me|NIKKI|1990-04-28|73|21|15|19900428
74|53|3|19|Roam|B-52'S|1989-12-23|88|3|20|19900428
75|NEW|75|1|Dare To Fall In Love|BRENT BOURGEIOX|1990-04-28|75|32|13|19900428
76|86|76|3|Dub Be Good To Me|BEATS INTERNATIONAL|1990-04-14|95|76|5|19900428
77|66|46|9|Lambada|KAOMA|1990-03-03|71|46|12|19900428
78|NEW|78|1|That's The Way Of The World|D-MOB|1990-04-28|78|59|9|19900428
79|92|79|2|Drag My Bad Name Down|4 OF US|1990-04-21|92|77|5|19900428
80|62|10|20|C'mon And Get My Love|D-MOB & CATHY DENNIS|1989-12-16|91|10|21|19900428
81|63|29|13|Love Me For Life|STEVIE B|1990-02-03|69|29|14|19900428
82|57|34|10|Wild Women Do|NATALIE COLE|1990-02-24|84|34|10|19900428
83|49|8|13|Keep It Together|MADONNA|1990-02-03|56|8|13|19900428
84|64|49|8|Have A Heart|BONNIE RAITT|1990-03-10|92|49|9|19900428
85|94|85|2|Pictures Of You|CURE|1990-04-21|94|71|8|19900428
86|NEW|86|1|Club At The End Of The Street|ELTON JOHN|1990-04-28|86|28|16|19900428
87|65|40|11|True Blue Love|LOU GRAMM|1990-02-17|96|40|11|19900428
88|76|6|20|Here We Are|GLORIA ESTEFAN|1989-12-16|68|6|21|19900428
89|NEW|89|1|Girls Nite Out|TYLER COLLINS|1990-04-28|89|6|21|19900428
90|NEW|90|1|This & That|MICHAEL PENN|1990-04-28|90|53|8|19900428
91|NEW|91|1|Only My Heart Talkin'|ALICE COOPER|1990-04-28|91|89|3|19900428
92|NEW|92|1|Try To Find Me|GORKY PARK|1990-04-28|92|81|6|19900428
93|78|48|11|Got To Get|ROB'N'RAZ & LEILA K|1990-02-17|89|48|11|19900428
94|69|20|18|Sometimes She Cries|WARRANT|1989-12-30|81|20|18|19900428
95|82|73|8|Hide And Seek|PAJAMA PARTY|1990-03-10|93|73|10|19900428
96|75|5|19|Price Of Love|BAD ENGLISH|1989-12-23|68|5|19|19900428
97|NEW|97|1|Sittin' In The Lap Of Luxury|LOUIE LOUIE|1990-04-28|97|19|16|19900428
98|NEW|98|1|Up All Night|SLAUGHTER|1990-04-28|98|27|14|19900428
99|71|6|16|I Go To Extremes|BILLY JOEL|1990-01-13|67|6|16|19900428
100|87|87|4|You Make Me Feel (Mighty Real)|JIMMY SOMERVILLE|1990-04-07|97|87|4|19900428
1|4|1|6|Nothing Compares 2 U|SINEAD O'CONNOR|1990-03-17|63|1|21|19900421
2|2|2|11|Don't Wanna Fall In Love|JANE CHILD|1990-02-10|75|2|21|19900421
3|3|3|12|All Around The World|LISA STANSFIELD|1990-02-03|78|3|22|19900421
4|6|4|11|I Wanna Be Rich|CALLOWAY|1990-02-10|93|2|23|19900421
5|1|1|10|I'll Be Your Everything|TOMMY PAGE|1990-02-17|51|1|18|19900421
6|7|6|18|Here & Now|LUTHER VANDROSS|1989-12-23|78|6|27|19900421
7|12|7|8|How Can We Be Lovers|MICHAEL BOLTON|1990-03-03|68|3|18|19900421
8|9|8|12|Forever|KISS|1990-02-03|72|8|17|19900421
9|14|9|9|Without You|MOTLEY CRUE|1990-02-24|66|8|17|19900421
10|13|10|14|Whole Wide World|A'ME LORAIN|1990-01-20|79|9|20|19900421
11|15|11|9|Whip Appeal|BABYFACE|1990-02-24|90|6|18|19900421
12|5|1|13|Love Will Lead You Back|TAYLOR DAYNE|1990-01-27|55|1|20|19900421
13|17|13|6|What It Takes|AEROSMITH|1990-03-17|60|9|17|19900421
14|10|1|17|Black Velvet|ALANNAH MYLES|1989-12-30|86|1|25|19900421
15|16|15|9|Heartbeat|SEDUCTION|1990-02-24|69|13|16|19900421
16|8|7|13|Get Up|TECHNOTRONIC|1990-01-27|86|7|20|19900421
17|11|3|12|I Wish It Would Rain Down|PHIL COLLINS|1990-02-03|71|3|17|19900421
18|26|18|4|All I Wanna Do Is Make Love To You|HEART|1990-03-31|57|2|20|19900421
19|19|19|10|Sending All My Love|LINEAR|1990-02-17|92|5|27|19900421
20|25|20|6|Hold On|WILSON PHILLIPS|1990-03-17|74|1|25|19900421
21|21|21|6|Love Child|SWEET SENSATION|1990-03-17|69|13|15|19900421
