Pos.This.Week|Pos.Last.Week|Peak.Pos.This.Week|Total.Weeks|Title|Artist|Entry.Date|Pos.Entry|Overall.Peak.Pos|Overall.Total.Weeks|Chart.Date,,,,,,
20|22|20|4|Love Don't Cost A Thing|JENNIFER LOPEZ|2000-12-09|46|3|21|20001230,,,,,,
21|18|11|16|Between Me And You|JA RULE featuring CHRISTINA MILIAN|2000-09-16|85|11|20|20001230,,,,,,
22|20|15|17|Pinch Me|BARENAKED LADIES|2000-09-09|77|15|21|20001230,,,,,,
23|23|23|9|Crazy For This Girl|EVAN AND JARON|2000-11-04|58|15|23|20001230,,,,,,
24|24|21|14|What's Your Fantasy|LUDACRIS featuring SHAWNA|2000-09-30|89|21|22|20001230,,,,,,
25|28|25|13|Beautiful Day|U2|2000-10-07|75|21|25|20001230,,,,,,
26|26|26|9|My First Love|AVANT featuring KETARA WYATT|2000-11-04|70|26|20|20001230,,,,,,
27|25|1|21|Music|MADONNA|2000-08-12|41|1|24|20001230,,,,,,
28|27|27|11|My Next Thirty Years|TIM McGRAW|2000-10-21|73|27|20|20001230,,,,,,
29|53|29|5|Stronger|BRITNEY SPEARS|2000-12-02|70|11|15|20001230,,,,,,
30|35|30|4|Don't Tell Me|MADONNA|2000-12-09|78|4|21|20001230,,,,,,
31|32|31|12|Just Friends (Sunny)|MUSIQ|2000-10-14|89|31|20|20001230,,,,,,
32|55|32|3|Danger (Been So Long)|MYSTIKAL featuring NIVEA|2000-12-16|77|14|20|20001230,,,,,,
33|31|31|13|Without You|DIXIE CHICKS|2000-10-07|80|31|20|20001230,,,,,,
34|39|34|11|Born To Fly|SARA EVANS|2000-10-21|77|34|20|20001230,,,,,,
35|40|35|10|Hemorrhage (In My Heads)|FUEL|2000-10-28|77|30|22|20001230,,,,,,
36|34|34|11|I Lost It|KENNY CHESNEY|2000-10-21|75|34|20|20001230,,,,,,
37|33|1|36|Bent|MATCHBOX 20|2000-04-29|60|1|39|20001230,,,,,,
38|42|38|4|Crazy|K-CI & JOJO|2000-12-09|69|11|25|20001230,,,,,,
39|47|39|6|So In Love With Two|MIKAILA|2000-11-25|96|25|16|20001230,,,,,,
40|30|24|22|Don't Think I'm Not|KANDI|2000-08-05|66|24|24|20001230,,,,,,
41|43|41|6|Bow Wow (That's My Name)|LIL' BOW WOW|2000-11-25|97|29|13|20001230,,,,,,
42|36|29|12|We Danced|BRAD PAISLEY|2000-10-14|71|29|20|20001230,,,,,,
43|29|12|13|She Bangs|RICKY MARTIN|2000-10-07|38|12|18|20001230,,,,,,
44|50|44|4|My Everything|98 DEGREES|2000-12-09|62|34|20|20001230,,,,,,
45|37|27|20|Best Of Intentions|TRAVIS TRITT|2000-08-19|97|27|22|20001230,,,,,,
46|41|23|19|You're A God|VERTICAL HORIZON|2000-08-26|64|23|21|20001230,,,,,,
47|54|47|6|Emotional|CARL THOMAS|2000-11-25|77|47|20|20001230,,,,,,
48|48|48|9|No More (Baby I'ma Do Right)|3LW|2000-11-04|96|23|25|20001230,,,,,,
49|45|45|9|www.memory|ALAN JACKSON|2000-11-04|75|45|15|20001230,,,,,,
50|51|50|7|Tell Her|LONESTAR|2000-11-18|75|39|20|20001230,,,,,,
51|46|35|14|Just Another Day In Paradise|PHIL VASSAR|2000-09-30|81|35|20|20001230,,,,,,
52|59|52|2|Mamacita|PUBLIC ANNOUNCEMENT|2000-12-23|59|39|8|20001230,,,,,,
53|49|38|13|911|WYCLEF JEAN featuring MARY J. BLIGE|2000-10-07|77|38|19|20001230,,,,,,
54|64|54|4|One Woman Man|DAVE HOLLISTER|2000-12-09|86|44|20|20001230,,,,,,
55|57|51|9|Stan|EMINEM featuring DIDO|2000-11-04|78|51|15|20001230,,,,,,
56|62|56|4|Ashes By Now|LEE ANN WOMACK|2000-12-09|74|45|17|20001230,,,,,,
57|52|45|5|The Itch|VITAMIN C|2000-12-02|86|45|9|20001230,,,,,,
58|60|58|5|Burn|JO DEE MESSINA|2000-12-02|77|42|20|20001230,,,,,,
59|78|59|5|South Side|MOBY|2000-12-02|94|14|32|20001230,,,,,,
60|65|60|3|Project Chick|CASH MONEY MILLIONAIRES|2000-12-16|74|47|13|20001230,,,,,,
61|61|55|11|Loser|3 DOORS DOWN|2000-10-21|76|55|20|20001230,,,,,,
62|63|35|17|The Little Girl|JOHN MICHAEL MONTGOMERY|2000-09-09|81|35|20|20001230,,,,,,
63|66|63|5|Babylon|DAVID GRAY|2000-12-02|73|57|18|20001230,,,,,,
64|73|64|2|Promise|JAGGED EDGE|2000-12-23|73|9|21|20001230,,,,,,
65|68|65|4|It's Over Now|112|2000-12-09|82|6|20|20001230,,,,,,
66|56|6|20|Bag Lady|ERYKAH BADU|2000-08-19|67|6|20|20001230,,,,,,
67|72|67|2|There Is No Arizona|JAMIE O'NEAL|2000-12-23|72|40|20|20001230,,,,,,
68|NEW|68|1|The Christmas Shoes|NEWSONG|2000-12-30|68|42|2|20001230,,,,,,
69|NEW|69|1|Still On Your Side|BBMAK|2000-12-30|69|54|9|20001230,,,,,,
70|79|70|2|Wild Horses|GARTH BROOKS|2000-12-23|79|50|14|20001230,,,,,,
71|74|71|3|Is That Your Chick|MEMPHIS BLEEK feat JAY-Z & MISSY ELLIOTT|2000-12-16|96|68|13|20001230,,,,,,
72|81|72|2|But For The Grace Of God|KEITH URBAN|2000-12-23|81|37|20|20001230,,,,,,
73|67|65|8|Rollin'|LIMP BIZKIT|2000-11-11|77|65|17|20001230,,,,,,
74|70|64|15|You Should've Told Me|KELLY PRICE|2000-09-23|91|64|20|20001230,,,,,,
75|69|14|16|Liar|PROFYLE|2000-09-16|52|14|20|20001230,,,,,,
76|76|76|2|This Everyday Love|RASCAL FLATTS|2000-12-23|76|56|14|20001230,,,,,,
77|NEW|77|1|You Shouldn't Kiss Me Like This|TOBY KEITH|2000-12-30|77|32|20|20001230,,,,,,
78|77|70|6|Original Prankster|OFFSPRING|2000-11-25|74|70|9|20001230,,,,,,
79|71|57|19|Open My Heart|YOLANDA ADAMS|2000-08-26|76|57|20|20001230,,,,,,
80|NEW|80|1|X|XZIBIT|2000-12-30|80|76|10|20001230,,,,,,
81|NEW|81|1|Angel|SHAGGY featuring RAYVON|2000-12-30|81|1|28|20001230,,,,,,
82|80|80|7|Meanwhile Back At The Ranch|CLARK FAMILY EXPERIENCE|2000-11-18|87|80|12|20001230,,,,,,
83|84|83|8|Oklahoma|BILLY GILMAN|2000-11-11|94|63|13|20001230,,,,,,
84|75|54|11|Girls Dem Sugar|BEENIE MAN featuring MYA|2000-10-21|72|54|15|20001230,,,,,,
85|95|85|2|Put It On Me|JA RULE featuring LIL' MO & VITA|2000-12-23|95|8|27|20001230,,,,,,
86|85|71|17|Can't Fight The Moonlight|LeANN RIMES|2000-09-09|82|71|20|20001230,,,,,,
87|90|87|3|Could It Be|JAHEIM|2000-12-16|99|26|20|20001230,,,,,,
88|82|75|3|A Little Gasoline|TERRI CLARK|2000-12-16|75|75|6|20001230,,,,,,
89|86|75|6|How Many Licks|LIL' KIM featuring SISQO|2000-11-25|79|75|6|20001230,,,,,,
90|NEW|90|1|Thank You In Advance|BOYZ II MEN|2000-12-30|90|80|4|20001230,,,,,,
91|83|76|11|My Love Goes On And On|CHRIS CAGLE|2000-10-21|99|76|11|20001230,,,,,,
92|97|92|2|Oh No|MOS DEF & PHAROAHE MONCH feat NATE DOGG|2000-12-23|97|83|12|20001230,,,,,,
93|89|70|16|My Baby You|MARC ANTHONY|2000-09-16|82|70|20|20001230,,,,,,
94|93|2|20|Give Me Just One Night (Una Noche)|98 DEGREES|2000-08-19|51|2|20|20001230,,,,,,
95|88|40|19|Go On|GEORGE STRAIT|2000-08-26|71|40|19|20001230,,,,,,
96|96|96|2|All Good?|DE LA SOUL featuring CHAKA KHAN|2000-12-23|96|96|3|20001230,,,,,,
97|92|42|19|Kiss This|AARON TIPPIN|2000-08-26|74|42|20|20001230,,,,,,
98|NEW|98|1|I Know|SUNDAY|2000-12-30|98|98|2|20001230,,,,,,
99|91|52|18|Feels Like Love|VINCE GILL|2000-09-02|82|52|18|20001230,,,,,,
100|94|68|5|If I Am|NINE DAYS|2000-12-02|68|68|5|20001230,,,,,,
1|1|1|14|Independent Women Part I|DESTINY'S CHILD|2000-09-23|78|1|28|20001223,,,,,,
"2|4|2|8|It Wasn't Me|SHAGGY featuring RICARDO ""RIKROK"" DUCENT|2000-11-04|57|1|25|20001223",,,,,,
3|2|2|19|Case Of The Ex (Whatcha Gonna Do)|MYA|2000-08-19|72|2|30|20001223,,,,,,
4|3|1|33|With Arms Wide Open|CREED|2000-05-13|84|1|47|20001223,,,,,,
5|8|5|13|He Loves You Not|DREAM|2000-09-30|99|2|28|20001223,,,,,,
6|9|6|7|Ms. Jackson|OUTKAST|2000-11-11|55|1|23|20001223,,,,,,
7|6|4|16|Gotta Tell You|SAMANTHA MUMBA|2000-09-09|85|4|22|20001223,,,,,,
8|10|8|14|The Way You Love Me|FAITH HILL|2000-09-23|46|6|36|20001223,,,,,,
9|5|3|38|Kryptonite|3 DOORS DOWN|2000-04-08|81|3|53|20001223,,,,,,
10|7|5|13|This I Promise You|'N SYNC|2000-09-30|68|5|26|20001223,,,,,,
11|13|11|10|If You're Gone|MATCHBOX TWENTY|2000-10-21|52|5|42|20001223,,,,,,
12|15|12|22|Dance With Me|DEBELAH MORGAN|2000-07-29|91|8|29|20001223,,,,,,
13|14|13|9|I Just Wanna Love You (Give It 2 Me)|JAY-Z|2000-10-28|58|11|21|20001223,,,,,,
14|11|4|20|Most Girls|PINK|2000-08-12|85|4|27|20001223,,,,,,
15|17|15|13|I Wish|R KELLY|2000-09-30|71|14|22|20001223,,,,,,
16|16|16|12|E.I.|NELLY|2000-10-07|71|15|20|20001223,,,,,,
17|12|9|11|Shape Of My Heart|BACKSTREET BOYS|2000-10-14|39|9|20|20001223,,,,,,
18|18|11|15|Between Me And You|JA RULE featuring CHRISTINA MILIAN|2000-09-16|85|11|20|20001223,,,,,,
19|24|19|6|Again|LENNY KRAVITZ|2000-11-18|72|4|32|20001223,,,,,,
20|19|15|16|Pinch Me|BARENAKED LADIES|2000-09-09|77|15|21|20001223,,,,,,
21|NEW|21|1|Liquid Dreams|O-TOWN|2000-12-23|21|10|12|20001223,,,,,,
22|28|22|3|Love Don't Cost A Thing|JENNIFER LOPEZ|2000-12-09|46|3|21|20001223,,,,,,
23|23|23|8|Crazy For This Girl|EVAN AND JARON|2000-11-04|58|15|23|20001223,,,,,,
24|21|21|13|What's Your Fantasy|LUDACRIS featuring SHAWNA|2000-09-30|89|21|22|20001223,,,,,,
25|20|1|20|Music|MADONNA|2000-08-12|41|1|24|20001223,,,,,,
26|26|26|8|My First Love|AVANT featuring KETARA WYATT|2000-11-04|70|26|20|20001223,,,,,,
27|27|27|10|My Next Thirty Years|TIM McGRAW|2000-10-21|73|27|20|20001223,,,,,,
28|32|28|12|Beautiful Day|U2|2000-10-07|75|21|25|20001223,,,,,,
29|22|12|12|She Bangs|RICKY MARTIN|2000-10-07|38|12|18|20001223,,,,,,
30|25|24|21|Don't Think I'm Not|KANDI|2000-08-05|66|24|24|20001223,,,,,,
31|35|31|12|Without You|DIXIE CHICKS|2000-10-07|80|31|20|20001223,,,,,,
32|34|32|11|Just Friends (Sunny)|MUSIQ|2000-10-14|89|31|20|20001223,,,,,,
33|30|1|35|Bent|MATCHBOX 20|2000-04-29|60|1|39|20001223,,,,,,
34|40|34|10|I Lost It|KENNY CHESNEY|2000-10-21|75|34|20|20001223,,,,,,
35|54|35|3|Don't Tell Me|MADONNA|2000-12-09|78|4|21|20001223,,,,,,
36|29|29|11|We Danced|BRAD PAISLEY|2000-10-14|71|29|20|20001223,,,,,,
37|31|27|19|Best Of Intentions|TRAVIS TRITT|2000-08-19|97|27|22|20001223,,,,,,
38|33|5|26|No More|RUFF ENDZ|2000-07-01|76|5|26|20001223,,,,,,
39|36|36|10|Born To Fly|SARA EVANS|2000-10-21|77|34|20|20001223,,,,,,
40|48|40|9|Hemorrhage (In My Heads)|FUEL|2000-10-28|77|30|22|20001223,,,,,,
41|37|23|18|You're A God|VERTICAL HORIZON|2000-08-26|64|23|21|20001223,,,,,,
42|60|42|3|Crazy|K-CI & JOJO|2000-12-09|69|11|25|20001223,,,,,,
43|64|43|5|Bow Wow (That's My Name)|LIL' BOW WOW|2000-11-25|97|29|13|20001223,,,,,,
44|43|1|21|Come On Over (All I Want Is You)|CHRISTINA AGUILERA|2000-08-05|57|1|21|20001223,,,,,,
45|47|45|8|www.memory|ALAN JACKSON|2000-11-04|75|45|15|20001223,,,,,,
46|41|35|13|Just Another Day In Paradise|PHIL VASSAR|2000-09-30|81|35|20|20001223,,,,,,
47|53|47|5|So In Love With Two|MIKAILA|2000-11-25|96|25|16|20001223,,,,,,
48|52|48|8|No More (Baby I'ma Do Right)|3LW|2000-11-04|96|23|25|20001223,,,,,,
49|44|38|12|911|WYCLEF JEAN featuring MARY J. BLIGE|2000-10-07|77|38|19|20001223,,,,,,
50|59|50|3|My Everything|98 DEGREES|2000-12-09|62|34|20|20001223,,,,,,
51|56|51|6|Tell Her|LONESTAR|2000-11-18|75|39|20|20001223,,,,,,
52|45|45|4|The Itch|VITAMIN C|2000-12-02|86|45|9|20001223,,,,,,
53|55|53|4|Stronger|BRITNEY SPEARS|2000-12-02|70|11|15|20001223,,,,,,
54|58|54|5|Emotional|CARL THOMAS|2000-11-25|77|47|20|20001223,,,,,,
55|77|55|2|Danger (Been So Long)|MYSTIKAL featuring NIVEA|2000-12-16|77|14|20|20001223,,,,,,
56|38|6|19|Bag Lady|ERYKAH BADU|2000-08-19|67|6|20|20001223,,,,,,
57|51|51|8|Stan|EMINEM featuring DIDO|2000-11-04|78|51|15|20001223,,,,,,
58|42|13|20|Shake Ya Ass|MYSTIKAL|2000-08-12|97|13|20|20001223,,,,,,
59|NEW|59|1|Mamacita|PUBLIC ANNOUNCEMENT|2000-12-23|59|39|8|20001223,,,,,,
60|63|60|4|Burn|JO DEE MESSINA|2000-12-02|77|42|20|20001223,,,,,,
61|62|55|10|Loser|3 DOORS DOWN|2000-10-21|76|55|20|20001223,,,,,,
62|66|62|3|Ashes By Now|LEE ANN WOMACK|2000-12-09|74|45|17|20001223,,,,,,
63|57|35|16|The Little Girl|JOHN MICHAEL MONTGOMERY|2000-09-09|81|35|20|20001223,,,,,,
64|73|64|3|One Woman Man|DAVE HOLLISTER|2000-12-09|86|44|20|20001223,,,,,,
65|74|65|2|Project Chick|CASH MONEY MILLIONAIRES|2000-12-16|74|47|13|20001223,,,,,,
66|72|66|4|Babylon|DAVID GRAY|2000-12-02|73|57|18|20001223,,,,,,
67|65|65|7|Rollin'|LIMP BIZKIT|2000-11-11|77|65|17|20001223,,,,,,
68|71|68|3|It's Over Now|112|2000-12-09|82|6|20|20001223,,,,,,
69|61|14|15|Liar|PROFYLE|2000-09-16|52|14|20|20001223,,,,,,
70|68|64|14|You Should've Told Me|KELLY PRICE|2000-09-23|91|64|20|20001223,,,,,,
71|67|57|18|Open My Heart|YOLANDA ADAMS|2000-08-26|76|57|20|20001223,,,,,,
72|NEW|72|1|There Is No Arizona|JAMIE O'NEAL|2000-12-23|72|40|20|20001223,,,,,,
73|NEW|73|1|Promise|JAGGED EDGE|2000-12-23|73|9|21|20001223,,,,,,
74|96|74|2|Is That Your Chick|MEMPHIS BLEEK feat JAY-Z & MISSY ELLIOTT|2000-12-16|96|68|13|20001223,,,,,,
75|69|54|10|Girls Dem Sugar|BEENIE MAN featuring MYA|2000-10-21|72|54|15|20001223,,,,,,
76|NEW|76|1|This Everyday Love|RASCAL FLATTS|2000-12-23|76|56|14|20001223,,,,,,
77|70|70|5|Original Prankster|OFFSPRING|2000-11-25|74|70|9|20001223,,,,,,
78|82|78|4|South Side|MOBY|2000-12-02|94|14|32|20001223,,,,,,
79|NEW|79|1|Wild Horses|GARTH BROOKS|2000-12-23|79|50|14|20001223,,,,,,
80|80|80|6|Meanwhile Back At The Ranch|CLARK FAMILY EXPERIENCE|2000-11-18|87|80|12|20001223,,,,,,
81|NEW|81|1|But For The Grace Of God|KEITH URBAN|2000-12-23|81|37|20|20001223,,,,,,
82|75|75|2|A Little Gasoline|TERRI CLARK|2000-12-16|75|75|6|20001223,,,,,,
83|79|76|10|My Love Goes On And On|CHRIS CAGLE|2000-10-21|99|76|11|20001223,,,,,,
84|89|84|7|Oklahoma|BILLY GILMAN|2000-11-11|94|63|13|20001223,,,,,,
85|88|71|16|Can't Fight The Moonlight|LeANN RIMES|2000-09-09|82|71|20|20001223,,,,,,
86|86|75|5|How Many Licks|LIL' KIM featuring SISQO|2000-11-25|79|75|6|20001223,,,,,,
87|85|33|20|It's My Life|BON JOVI|2000-08-12|64|33|20|20001223,,,,,,
88|78|40|18|Go On|GEORGE STRAIT|2000-08-26|71|40|19|20001223,,,,,,
89|83|70|15|My Baby You|MARC ANTHONY|2000-09-16|82|70|20|20001223,,,,,,
90|99|90|2|Could It Be|JAHEIM|2000-12-16|99|26|20|20001223,,,,,,
91|76|52|17|Feels Like Love|VINCE GILL|2000-09-02|82|52|18|20001223,,,,,,
92|87|42|18|Kiss This|AARON TIPPIN|2000-08-26|74|42|20|20001223,,,,,,
93|84|2|19|Give Me Just One Night (Una Noche)|98 DEGREES|2000-08-19|51|2|20|20001223,,,,,,
94|81|68|4|If I Am|NINE DAYS|2000-12-02|68|68|5|20001223,,,,,,
95|NEW|95|1|Put It On Me|JA RULE featuring LIL' MO & VITA|2000-12-23|95|8|27|20001223,,,,,,
96|NEW|96|1|All Good?|DE LA SOUL featuring CHAKA KHAN|2000-12-23|96|96|3|20001223,,,,,,
97|NEW|97|1|Oh No|MOS DEF & PHAROAHE MONCH feat NATE DOGG|2000-12-23|97|83|12|20001223,,,,,,
98|97|83|9|Straight Up|CHANTE MOORE|2000-10-28|98|83|9|20001223,,,,,,
99|90|20|19|Bounce With Me|LIL BOW WOW featuring XSCAPE|2000-08-19|48|20|19|20001223,,,,,,
100|94|91|7|Do You|FUNKMASTER FLEX featuring DMX|2000-11-11|92|91|7|20001223,,,,,,
1|1|1|13|Independent Women Part I|DESTINY'S CHILD|2000-09-23|78|1|28|20001216,,,,,,
2|2|2|18|Case Of The Ex (Whatcha Gonna Do)|MYA|2000-08-19|72|2|30|20001216,,,,,,
3|3|1|32|With Arms Wide Open|CREED|2000-05-13|84|1|47|20001216,,,,,,
"4|7|4|7|It Wasn't Me|SHAGGY featuring RICARDO ""RIKROK"" DUCENT|2000-11-04|57|1|25|20001216",,,,,,
5|5|3|37|Kryptonite|3 DOORS DOWN|2000-04-08|81|3|53|20001216,,,,,,
6|4|4|15|Gotta Tell You|SAMANTHA MUMBA|2000-09-09|85|4|22|20001216,,,,,,
7|6|5|12|This I Promise You|'N SYNC|2000-09-30|68|5|26|20001216,,,,,,
8|11|8|12|He Loves You Not|DREAM|2000-09-30|99|2|28|20001216,,,,,,
9|12|9|6|Ms. Jackson|OUTKAST|2000-11-11|55|1|23|20001216,,,,,,
10|9|8|13|The Way You Love Me|FAITH HILL|2000-09-23|46|6|36|20001216,,,,,,
11|8|4|19|Most Girls|PINK|2000-08-12|85|4|27|20001216,,,,,,
12|10|9|10|Shape Of My Heart|BACKSTREET BOYS|2000-10-14|39|9|20|20001216,,,,,,
13|15|13|9|If You're Gone|MATCHBOX TWENTY|2000-10-21|52|5|42|20001216,,,,,,
14|14|14|8|I Just Wanna Love You (Give It 2 Me)|JAY-Z|2000-10-28|58|11|21|20001216,,,,,,
15|13|13|21|Dance With Me|DEBELAH MORGAN|2000-07-29|91|8|29|20001216,,,,,,
16|18|16|11|E.I.|NELLY|2000-10-07|71|15|20|20001216,,,,,,
17|21|17|12|I Wish|R KELLY|2000-09-30|71|14|22|20001216,,,,,,
18|17|11|14|Between Me And You|JA RULE featuring CHRISTINA MILIAN|2000-09-16|85|11|20|20001216,,,,,,
19|19|15|15|Pinch Me|BARENAKED LADIES|2000-09-09|77|15|21|20001216,,,,,,
20|16|1|19|Music|MADONNA|2000-08-12|41|1|24|20001216,,,,,,
21|22|21|12|What's Your Fantasy|LUDACRIS featuring SHAWNA|2000-09-30|89|21|22|20001216,,,,,,
22|20|12|11|She Bangs|RICKY MARTIN|2000-10-07|38|12|18|20001216,,,,,,
23|28|23|7|Crazy For This Girl|EVAN AND JARON|2000-11-04|58|15|23|20001216,,,,,,
24|39|24|5|Again|LENNY KRAVITZ|2000-11-18|72|4|32|20001216,,,,,,
25|25|24|20|Don't Think I'm Not|KANDI|2000-08-05|66|24|24|20001216,,,,,,
26|33|26|7|My First Love|AVANT featuring KETARA WYATT|2000-11-04|70|26|20|20001216,,,,,,
27|31|27|9|My Next Thirty Years|TIM McGRAW|2000-10-21|73|27|20|20001216,,,,,,
28|46|28|2|Love Don't Cost A Thing|JENNIFER LOPEZ|2000-12-09|46|3|21|20001216,,,,,,
29|34|29|10|We Danced|BRAD PAISLEY|2000-10-14|71|29|20|20001216,,,,,,
30|27|1|34|Bent|MATCHBOX 20|2000-04-29|60|1|39|20001216,,,,,,
31|29|27|18|Best Of Intentions|TRAVIS TRITT|2000-08-19|97|27|22|20001216,,,,,,
32|42|32|11|Beautiful Day|U2|2000-10-07|75|21|25|20001216,,,,,,
33|24|5|25|No More|RUFF ENDZ|2000-07-01|76|5|26|20001216,,,,,,
34|41|34|10|Just Friends (Sunny)|MUSIQ|2000-10-14|89|31|20|20001216,,,,,,
35|40|35|11|Without You|DIXIE CHICKS|2000-10-07|80|31|20|20001216,,,,,,
36|44|36|9|Born To Fly|SARA EVANS|2000-10-21|77|34|20|20001216,,,,,,
37|37|23|17|You're A God|VERTICAL HORIZON|2000-08-26|64|23|21|20001216,,,,,,
38|26|6|18|Bag Lady|ERYKAH BADU|2000-08-19|67|6|20|20001216,,,,,,
39|35|3|32|Jumpin', Jumpin'|DESTINY'S CHILD|2000-05-13|74|3|32|20001216,,,,,
40|47|40|9|I Lost It|KENNY CHESNEY|2000-10-21|75|34|20|20001216,,,,,,
41|43|35|12|Just Another Day In Paradise|PHIL VASSAR|2000-09-30|81|35|20|20001216,,,,,,
42|30|13|19|Shake Ya Ass|MYSTIKAL|2000-08-12|97|13|20|20001216,,,,,,
43|23|1|20|Come On Over (All I Want Is You)|CHRISTINA AGUILERA|2000-08-05|57|1|21|20001216,,,,,,
44|38|38|11|911|WYCLEF JEAN featuring MARY J. BLIGE|2000-10-07|77|38|19|20001216,,,,,,
45|48|45|3|The Itch|VITAMIN C|2000-12-02|86|45|9|20001216,,,,,,
46|32|1|26|Incomplete|SISQO|2000-06-24|77|1|26|20001216,,,,,,
47|49|47|7|www.memory|ALAN JACKSON|2000-11-04|75|45|15|20001216,,,,,,
48|52|48|8|Hemorrhage (In My Hands)|FUEL|2000-10-28|77|30|22|20001216,,,,,,
49|36|7|34|(Hot S**t) Country Grammar|NELLY|2000-04-29|100|7|34|20001216,,,,,,
50|45|22|24|Faded|SOULDECISION featuring THRUST|2000-07-08|94|22|24|20001216,,,,,,
51|51|51|7|Stan|EMINEM featuring DIDO|2000-11-04|78|51|15|20001216,,,,,,
52|58|52|7|No More (Baby I'ma Do Right)|3LW|2000-11-04|96|23|25|20001216,,,,,,
53|53|53|4|So In Love With Two|MIKAILA|2000-11-25|96|25|16|20001216,,,,,,
54|78|54|2|Don't Tell Me|MADONNA|2000-12-09|78|4|21|20001216,,,,,,
55|55|55|3|Stronger|BRITNEY SPEARS|2000-12-02|70|11|15|20001216,,,,,,
56|56|56|5|Tell Her|LONESTAR|2000-11-18|75|39|20|20001216,,,,,,
57|50|35|15|The Little Girl|JOHN MICHAEL MONTGOMERY|2000-09-09|81|35|20|20001216,,,,,,
58|61|58|4|Emotional|CARL THOMAS|2000-11-25|77|47|20|20001216,,,,,,
59|62|59|2|My Everything|98 DEGREES|2000-12-09|62|34|20|20001216,,,,,,
60|69|60|2|Crazy|K-CI & JOJO|2000-12-09|69|11|25|20001216,,,,,,
61|54|14|14|Liar|PROFYLE|2000-09-16|52|14|20|20001216,,,,,,
62|59|55|9|Loser|3 DOORS DOWN|2000-10-21|76|55|20|20001216,,,,,,
63|67|63|3|Burn|JO DEE MESSINA|2000-12-02|77|42|20|20001216,,,,,,
64|75|64|4|Bow Wow (That's My Name)|LIL' BOW WOW|2000-11-25|97|29|13|20001216,,,,,,
65|65|65|6|Rollin'|LIMP BIZKIT|2000-11-11|77|65|17|20001216,,,,,,
66|74|66|2|Ashes By Now|LEE ANN WOMACK|2000-12-09|74|45|17|20001216,,,,,,
67|63|57|17|Open My Heart|YOLANDA ADAMS|2000-08-26|76|57|20|20001216,,,,,,
68|64|64|13|You Should've Told Me|KELLY PRICE|2000-09-23|91|64|20|20001216,,,,,,
69|60|54|9|Girls Dem Sugar|BEENIE MAN featuring MYA|2000-10-21|72|54|15|20001216,,,,,,
70|70|70|4|Original Prankster|OFFSPRING|2000-11-25|74|70|9|20001216,,,,,,
71|82|71|2|It's Over Now|112|2000-12-09|82|6|20|20001216,,,,,,
72|73|72|3|Babylon|DAVID GRAY|2000-12-02|73|57|18|20001216,,,,,,
73|86|73|2|One Woman Man|DAVE HOLLISTER|2000-12-09|86|44|20|20001216,,,,,,
74|NEW|74|1|Project Chick|CASH MONEY MILLIONAIRES|2000-12-16|74|47|13|20001216,,,,,,
75|NEW|75|1|A Little Gasoline|TERRI CLARK|2000-12-16|75|75|6|20001216,,,,,,
76|57|52|16|Feels Like Love|VINCE GILL|2000-09-02|82|52|18|20001216,,,,,,
77|NEW|77|1|Danger (Been So Long)|MYSTIKAL featuring NIVEA|2000-12-16|77|14|20|20001216,,,,,,
