,date,url,venue,artist,location,time
39,2017-02-04,https://www.songkick.com/metro_areas/15073-us-houston,Stereo Live,Krewella,houston,21:00:00-0600
40,2017-02-04,https://www.songkick.com/metro_areas/15073-us-houston,Mercy Night Club,Fabolous,houston,14:00:00-0600
41,2017-02-04,https://www.songkick.com/metro_areas/15073-us-houston,The Heights Theater,Robert Earl Keen,houston,19:00:00-0600
42,2017-02-04,https://www.songkick.com/metro_areas/15073-us-houston,Delta Downs Event Center,Creedence Clearwater Revisited,houston,19:00:00-0600
43,2017-02-04,https://www.songkick.com/metro_areas/1409-us-washington,Black Cat,Chad Valley and Computer Magic,washington,21:00:00-0500
44,2017-02-04,https://www.songkick.com/metro_areas/1409-us-washington,9:30 Club,Greensky Bluegrass,washington,19:00:00-0500
45,2017-02-04,https://www.songkick.com/metro_areas/1409-us-washington,The Hamilton Live,Anthony B,washington,20:00:00-0500
46,2017-02-04,https://www.songkick.com/metro_areas/1409-us-washington,Jammin' Java,Charlie Hunter,washington,18:30:00-0500
47,2017-02-04,https://www.songkick.com/metro_areas/5202-us-philadelphia,Electric Factory,Alter Bridge and Nonpoint,philadelphia,20:30:00-0500
48,2017-02-04,https://www.songkick.com/metro_areas/5202-us-philadelphia,Sands Bethlehem Event Center,DNCE and The Skins,philadelphia,20:00:00-0500
49,2017-02-04,https://www.songkick.com/metro_areas/5202-us-philadelphia,Haven Nightclub,Yellow Claw,philadelphia,22:00:00-0500
50,2017-02-04,https://www.songkick.com/metro_areas/5202-us-philadelphia,Fillmore Philadelphia,The Disco Biscuits,philadelphia,20:00:00-0500
51,2017-02-04,https://www.songkick.com/metro_areas/5202-us-philadelphia,The Dolphin Tavern,The Juan Maclean and Dave P,philadelphia,21:00:00-0500
52,2017-02-04,https://www.songkick.com/metro_areas/5202-us-philadelphia,First Unitarian Church,Screaming Females,philadelphia,19:30:00-0500
53,2017-02-04,https://www.songkick.com/metro_areas/5202-us-philadelphia,Theater of the Living Arts,Maren Morris and Ryan Hurd,philadelphia,20:00:00-0500
54,2017-02-04,https://www.songkick.com/metro_areas/4120-us-atlanta,The Earl,Margaret Glaspy,atlanta,N/A
55,2017-02-04,https://www.songkick.com/metro_areas/4120-us-atlanta,The Masquerade - Purgatory,"Code Orange, Youth Code, and Nicole Dollanganger",atlanta,19:00:00-0500
56,2017-02-04,https://www.songkick.com/metro_areas/4120-us-atlanta,Variety Playhouse,Tinsley Ellis,atlanta,20:00:00-0500
57,2017-02-04,https://www.songkick.com/metro_areas/4120-us-atlanta,Eddie's Attic,Stop Light Observations,atlanta,21:30:00-0500
58,2017-02-04,https://www.songkick.com/metro_areas/4120-us-atlanta,Eddie's Attic,John Berry,atlanta,19:00:00-0500
59,2017-02-04,https://www.songkick.com/metro_areas/4120-us-atlanta,Venkman's,The Whiskey Gentry,atlanta,21:00:00-0500
60,2017-02-04,https://www.songkick.com/metro_areas/9776-us-miami,"LIV Nightclub, Fontainebleau",Erick Morillo,miami,11:00:00-0500
61,2017-02-04,https://www.songkick.com/metro_areas/9776-us-miami,Space,Pan-Pot,miami,23:00:00-0500
62,2017-02-04,https://www.songkick.com/metro_areas/9776-us-miami,Heart Nightclub,Damian Lazarus,miami,23:00:00-0500
63,2017-02-04,https://www.songkick.com/metro_areas/18842-us-boston-cambridge,Royale,"Buck Rogers, To Be Announced, and Marshmello",boston-cambridge,22:00:00-0500
64,2017-02-03,https://www.songkick.com/metro_areas/7644-us-new-york,Goldsounds,Truckfighters,new-york,19:00:00-0500
65,2017-02-03,https://www.songkick.com/metro_areas/7644-us-new-york,Terminal 5,Nothing,new-york,N/A
66,2017-02-03,https://www.songkick.com/metro_areas/7644-us-new-york,United Palace Theatre,Antony Santos and Fernando Villalona,new-york,19:00:00-0500
67,2017-02-04,https://www.songkick.com/metro_areas/11104-us-nashville,"Andrew Jackson Hall, Tennessee Performing Arts Center",Nelly,nashville,N/A
68,2017-02-04,https://www.songkick.com/metro_areas/17835-us-los-angeles,Los Globos,Hang Time,los-angeles,21:00:00-0800
69,2017-02-04,https://www.songkick.com/metro_areas/17835-us-los-angeles,The Observatory,T.S.O.L.,los-angeles,20:00:00-0800
70,2017-02-04,https://www.songkick.com/metro_areas/17835-us-los-angeles,Exchange LA,"Jack Beats, AC Slater, and Mike Skinner",los-angeles,22:00:00-0800
71,2017-02-04,https://www.songkick.com/metro_areas/17835-us-los-angeles,The Yost Theater,"Down By Law, Guttermouth, and Pulley",los-angeles,20:00:00-0800
72,2017-02-04,https://www.songkick.com/metro_areas/9426-us-chicago,Park West,Leftover Salmon,chicago,19:00:00-0600
73,2017-02-04,https://www.songkick.com/metro_areas/9426-us-chicago,Aragon Ballroom,Michal Menert,chicago,N/A
74,2017-02-04,https://www.songkick.com/metro_areas/9426-us-chicago,SmoothChicago.com Showroom at Loews Chicago O'Hare,Rick Braun and Steve Cole,chicago,19:00:00-0600
75,2017-02-04,https://www.songkick.com/metro_areas/9426-us-chicago,Schubas Tavern,Susto,chicago,N/A
76,2017-02-04,https://www.songkick.com/metro_areas/9426-us-chicago,The Mid,Wax Motif and Wuki,chicago,22:00:00-0600
77,2017-02-04,https://www.songkick.com/metro_areas/9426-us-chicago,Spybar,Nic Fanciulli,chicago,22:00:00-0600
78,2017-02-04,https://www.songkick.com/metro_areas/9426-us-chicago,Vic Theatre,Chris D’Elia,chicago,20:00:00-0600
79,2017-02-04,https://www.songkick.com/metro_areas/35129-us-dallas-fort-worth,Live Oak Music Hall & Lounge,Dwight Twilley and The Speedlights,dallas-fort-worth,19:30:00-0600
80,2017-02-04,https://www.songkick.com/metro_areas/35129-us-dallas-fort-worth,The Rail Club,irata and Freedom Hawk,dallas-fort-worth,19:00:00-0600
81,2017-02-04,https://www.songkick.com/metro_areas/35129-us-dallas-fort-worth,Granada Theater,The Dean Ween Group,dallas-fort-worth,20:00:00-0600
82,2017-02-04,https://www.songkick.com/metro_areas/35129-us-dallas-fort-worth,House of Blues,Jt Donaldson,dallas-fort-worth,22:00:00-0600
83,2017-02-04,https://www.songkick.com/metro_areas/35129-us-dallas-fort-worth,Three Links,The Gorehounds,dallas-fort-worth,21:00:00-0600
84,2017-02-04,https://www.songkick.com/metro_areas/35129-us-dallas-fort-worth,Bronco's Sports Bar,WhiskeyDick,dallas-fort-worth,09:00:00-0600
85,2017-02-04,https://www.songkick.com/metro_areas/15073-us-houston,Hobby Center for the Performing Arts,Michel'le  (US) and Dave Hollister,houston,19:30:00-0600
86,2017-02-04,https://www.songkick.com/metro_areas/15073-us-houston,Hobby Center for the Performing Arts,Michel'le  (US) and Dave Hollister,houston,11:30:00-0600
87,2017-02-04,https://www.songkick.com/metro_areas/15073-us-houston,Hobby Center for the Performing Arts,Michel'le  (US) and Dave Hollister,houston,15:30:00-0600
88,2017-02-04,https://www.songkick.com/metro_areas/1409-us-washington,DC9 Nightclub,Black Marble,washington,21:00:00-0500
89,2017-02-04,https://www.songkick.com/metro_areas/1409-us-washington,Birchmere,Clare Bowen,washington,19:30:00-0500
90,2017-02-04,https://www.songkick.com/metro_areas/1409-us-washington,Gypsy Sally's,Sophistafunk and The Funky Dawgz Brass Band,washington,21:00:00-0500
91,2017-02-04,https://www.songkick.com/metro_areas/1409-us-washington,Flash,"Bézier, Jason Kendig, Jackie House, and Honey Soundsystem",washington,20:00:00-0500
92,2017-02-04,https://www.songkick.com/metro_areas/1409-us-washington,"Vinyl Lounge, Gypsy Sally's",Taylor Marie,washington,22:30:00-0500
93,2017-02-04,https://www.songkick.com/metro_areas/1409-us-washington,Songbyrd Music House,Year of the Ox,washington,20:00:00-0500
94,2017-02-04,https://www.songkick.com/metro_areas/1409-us-washington,Jammin' Java,The Litz and Threesound,washington,21:30:00-0500
95,2017-02-04,https://www.songkick.com/metro_areas/5202-us-philadelphia,Kung Fu Necktie,R.A. The Rugged Man,philadelphia,22:30:00-0500
96,2017-02-04,https://www.songkick.com/metro_areas/5202-us-philadelphia,The Block,I Heart the 80s,philadelphia,20:00:00-0500
97,2017-02-04,https://www.songkick.com/metro_areas/5202-us-philadelphia,"Zoellner Arts Center, Lehigh University",Scott Bradlee's Postmodern Jukebox,philadelphia,N/A
98,2017-02-04,https://www.songkick.com/metro_areas/5202-us-philadelphia,SOUTH JAZZ,Keiko Matsui,philadelphia,12:00:00-0500
99,2017-02-04,https://www.songkick.com/metro_areas/5202-us-philadelphia,The Fire,Kasador,philadelphia,20:30:00-0500
100,2017-02-04,https://www.songkick.com/metro_areas/5202-us-philadelphia,Tin Angel at Serrano,Ben Vaughn,philadelphia,20:00:00-0500
101,2017-02-04,https://www.songkick.com/metro_areas/5202-us-philadelphia,Milkboy Philly,American Dinosaur,philadelphia,20:30:00-0500
102,2017-02-04,https://www.songkick.com/metro_areas/4120-us-atlanta,Dreamz ATL,Bando Booker,atlanta,00:00:00-0500
103,2017-02-04,https://www.songkick.com/metro_areas/4120-us-atlanta,Red Light Café,"Ralph Roddenbery, Donna Hopkins, and Steve McMurry",atlanta,20:00:00-0500
104,2017-02-04,https://www.songkick.com/metro_areas/4120-us-atlanta,Mardi Gras Sports Cafe,T.J. Hooker Taylor,atlanta,19:00:00-0500
105,2017-02-04,https://www.songkick.com/metro_areas/4120-us-atlanta,The Office Lounge,Sacred Hollow,atlanta,19:00:00-0500
106,2017-02-04,https://www.songkick.com/metro_areas/9776-us-miami,Bardot,Joakim,miami,22:00:00-0500
107,2017-02-04,https://www.songkick.com/metro_areas/9776-us-miami,E11even Miami,Jason Lema,miami,10:00:00-0500
108,2017-02-04,https://www.songkick.com/metro_areas/9776-us-miami,"The Wall, W Hotel",Chicco Secci and Antonio Giacca,miami,23:00:00-0500
109,2017-02-04,https://www.songkick.com/metro_areas/9776-us-miami,Heart Nightclub,Kevin Reinoso,miami,23:15:00-0500
110,2017-02-04,https://www.songkick.com/metro_areas/9776-us-miami,Story,Chachi,miami,23:00:00-0500
111,2017-02-04,https://www.songkick.com/metro_areas/9776-us-miami,World of Beer - Dadeland,Zander (US),miami,19:00:00-0500
112,2017-02-05,https://www.songkick.com/metro_areas/9776-us-miami,E11even Miami,ESP,miami,10:00:00-0500
113,2017-02-04,https://www.songkick.com/metro_areas/18842-us-boston-cambridge,Paradise Rock Club,Nothing,boston-cambridge,N/A
114,2017-02-04,https://www.songkick.com/metro_areas/18842-us-boston-cambridge,Brighton Music Hall,Whiskey Myers and The Wans,boston-cambridge,18:30:00-0500
115,2017-02-04,https://www.songkick.com/metro_areas/18842-us-boston-cambridge,Wonderland Ballroom,Gerardo Ortíz,boston-cambridge,20:30:00-0500
116,2017-02-04,https://www.songkick.com/metro_areas/18842-us-boston-cambridge,The Sinclair,The Ballroom Thieves,boston-cambridge,20:00:00-0500
117,2017-02-04,https://www.songkick.com/metro_areas/18842-us-boston-cambridge,"Red Room, Cafe 939, Berklee College of Music",Why Don't We,boston-cambridge,19:30:00-0500
118,2017-02-04,https://www.songkick.com/metro_areas/18842-us-boston-cambridge,The Spire Center for Performing Arts,Mieka Pauley,boston-cambridge,20:00:00-0500
119,2017-02-03,https://www.songkick.com/metro_areas/7644-us-new-york,Baby's All Right,Jay Prince,new-york,20:00:00-0500
120,2017-02-03,https://www.songkick.com/metro_areas/7644-us-new-york,House of Independents,Brian Fallon & the Crowes and Brian Fallon,new-york,20:00:00-0500
121,2017-02-03,https://www.songkick.com/metro_areas/7644-us-new-york,Good Room,Nosaj Thing (DJ Set),new-york,22:00:00-0500
122,2017-02-03,https://www.songkick.com/metro_areas/7644-us-new-york,The Gateway,Jeff Rosenstock,new-york,20:00:00-0500
123,2017-02-04,https://www.songkick.com/metro_areas/11104-us-nashville,Cannery Ballroom,The Devil Makes Three,nashville,21:00:00-0600
124,2017-02-04,https://www.songkick.com/metro_areas/11104-us-nashville,Ryman Auditorium,Chris Thile,nashville,16:45:00-0600
125,2017-02-04,https://www.songkick.com/metro_areas/11104-us-nashville,Mercy Lounge,Papadosio,nashville,21:00:00-0600
126,2017-02-04,https://www.songkick.com/metro_areas/11104-us-nashville,The Bluebird Café,Sarah Darling,nashville,17:30:00-0600
127,2017-02-04,https://www.songkick.com/metro_areas/11104-us-nashville,Grand Ole Opry House,Steve Wariner,nashville,N/A
128,2017-02-04,https://www.songkick.com/metro_areas/11104-us-nashville,12th and Porter,Big Something,nashville,19:00:00-0600
129,2017-02-04,https://www.songkick.com/metro_areas/11104-us-nashville,Schermerhorn Symphony Center,Michael Feinstein and Nashville Symphony,nashville,20:00:00-0600
130,2017-02-04,https://www.songkick.com/metro_areas/17835-us-los-angeles,The Coach House,Marc Cohn,los-angeles,20:00:00-0800
131,2017-02-04,https://www.songkick.com/metro_areas/17835-us-los-angeles,The Roxy Theatre,Kitten,los-angeles,21:00:00-0800
132,2017-02-04,https://www.songkick.com/metro_areas/17835-us-los-angeles,99 Bottles & Cocktails,MC Magic,los-angeles,21:00:00-0800
133,2017-02-04,https://www.songkick.com/metro_areas/17835-us-los-angeles,Troubadour,Leroy Sanchez,los-angeles,20:00:00-0800
134,2017-02-04,https://www.songkick.com/metro_areas/17835-us-los-angeles,Avalon,Project 46,los-angeles,22:00:00-0800
135,2017-02-04,https://www.songkick.com/metro_areas/17835-us-los-angeles,Sound Nightclub,Sharam,los-angeles,22:00:00-0800
136,2017-02-04,https://www.songkick.com/metro_areas/9426-us-chicago,Vic Theatre,Chris D’Elia,chicago,23:00:00-0600
137,2017-02-04,https://www.songkick.com/metro_areas/9426-us-chicago,Beat Kitchen,Wray,chicago,20:30:00-0600
138,2017-02-04,https://www.songkick.com/metro_areas/9426-us-chicago,S.P.A.C.E.,Justin Furstenfeld,chicago,20:00:00-0600
139,2017-02-04,https://www.songkick.com/metro_areas/9426-us-chicago,1st Ward / Chop Shop,CRi,chicago,N/A
140,2017-02-04,https://www.songkick.com/metro_areas/9426-us-chicago,Martyrs',"Crisp, Fat Night, and PolySci",chicago,N/A
141,2017-02-04,https://www.songkick.com/metro_areas/35129-us-dallas-fort-worth,The Bucket,Van Darien,dallas-fort-worth,21:00:00-0600
142,2017-02-04,https://www.songkick.com/metro_areas/35129-us-dallas-fort-worth,Shipping & Receiving,North By North,dallas-fort-worth,N/A
143,2017-02-04,https://www.songkick.com/metro_areas/35129-us-dallas-fort-worth,Zin Zen Wine Bar,Chant Duplantier,dallas-fort-worth,N/A
144,2017-02-04,https://www.songkick.com/metro_areas/35129-us-dallas-fort-worth,Chief Records,The Gibbonses,dallas-fort-worth,N/A
145,2017-02-04,https://www.songkick.com/metro_areas/15073-us-houston,Old Quarter Acoustic Café,Scott H. Biram,houston,19:00:00-0600
146,2017-02-04,https://www.songkick.com/metro_areas/15073-us-houston,Super Bowl Live,The Suffers,houston,18:00:00-0600
147,2017-02-04,https://www.songkick.com/metro_areas/15073-us-houston,Post Htx,"No Regular Play, Thalab, and métrika",houston,N/A
148,2017-02-04,https://www.songkick.com/metro_areas/15073-us-houston,Scout Bar,The Weeds,houston,21:00:00-0600
149,2017-02-04,https://www.songkick.com/metro_areas/15073-us-houston,Mo's Place,Southern County Line and George Strait & Friends Tribute,houston,N/A
150,2017-02-04,https://www.songkick.com/metro_areas/15073-us-houston,Satellite Bar,Karina Nistal,houston,14:00:00-0600
151,2017-02-04,https://www.songkick.com/metro_areas/15073-us-houston,Fitzgerald's,Soul Creatures and Cuba Gooding Sr.,houston,21:00:00-0600
152,2017-02-04,https://www.songkick.com/metro_areas/1409-us-washington,Hill Country BBQ - Washington,The Woodshedders and Scott Kurt & Memphis 59,washington,21:30:00-0500
153,2017-02-04,https://www.songkick.com/metro_areas/1409-us-washington,State Theatre,The Stranger: A Tribute To Billy Joel,washington,19:00:00-0500
154,2017-02-04,https://www.songkick.com/metro_areas/1409-us-washington,Warner Theatre,Walker Hayes,washington,N/A
155,2017-02-04,https://www.songkick.com/metro_areas/1409-us-washington,Jammin' Java,Mr. Jon & Friends,washington,10:30:00-0500
156,2017-02-04,https://www.songkick.com/metro_areas/1409-us-washington,Outta The Way Cafe,Sandra Dean and SANDRA DEAN BAND,washington,09:00:00-0500
157,2017-02-04,https://www.songkick.com/metro_areas/5202-us-philadelphia,Boot & Saddle,The End of America,philadelphia,20:00:00-0500
158,2017-02-04,https://www.songkick.com/metro_areas/5202-us-philadelphia,Trocadero Theatre,Dirkschneider,philadelphia,19:00:00-0500
159,2017-02-04,https://www.songkick.com/metro_areas/5202-us-philadelphia,Ortlieb's,"Tiny Vices, Hold Down The Ocean, Worst Ones, and Sold",philadelphia,20:00:00-0500
160,2017-02-04,https://www.songkick.com/metro_areas/5202-us-philadelphia,World Café Live,"Dani Mari, Lovers League, Reverend TJ McGlinchey, and Christopher Davis-Shannon",philadelphia,N/A
161,2017-02-04,https://www.songkick.com/metro_areas/5202-us-philadelphia,The Grape Room,West King String Band,philadelphia,N/A
162,2017-02-04,https://www.songkick.com/metro_areas/4120-us-atlanta,120 Tavern & Music Hall,"The Bone Church, TACH, Icarus Syndrome, and Dead Reckoning",atlanta,19:00:00-0500
163,2017-02-04,https://www.songkick.com/metro_areas/4120-us-atlanta,Gold Room Nightclub,DJ EU,atlanta,22:00:00-0500
164,2017-02-04,https://www.songkick.com/metro_areas/4120-us-atlanta,40 Watt Club,DJ Immuzikation,atlanta,22:00:00-0500
165,2017-02-04,https://www.songkick.com/metro_areas/4120-us-atlanta,Smith's Olde Bar,Letters To Alan,atlanta,21:00:00-0500
166,2017-02-04,https://www.songkick.com/metro_areas/4120-us-atlanta,Venkman's,Katie Martin,atlanta,18:30:00-0500
167,2017-02-04,https://www.songkick.com/metro_areas/4120-us-atlanta,Go Bar,"Electric Nature, Nonconnah, Leisure Service, and Third Eye Stir Fry",atlanta,22:00:00-0500
168,2017-02-05,https://www.songkick.com/metro_areas/4120-us-atlanta,Eddie's Attic,Francine Reed,atlanta,17:00:00-0500
169,2017-02-05,https://www.songkick.com/metro_areas/9776-us-miami,Mardi Gras Casino,33 Years,miami,19:00:00-0500
170,2017-02-05,https://www.songkick.com/metro_areas/9776-us-miami,The River Yacht Club,Robbie Rivera,miami,N/A
171,2017-02-05,https://www.songkick.com/metro_areas/9776-us-miami,Punch,MIICHII,miami,13:00:00-0500
172,2017-02-07,https://www.songkick.com/metro_areas/9776-us-miami,Gramps,Parquet Courts,miami,21:00:00-0500
173,2017-02-04,https://www.songkick.com/metro_areas/18842-us-boston-cambridge,Great Scott,Priests - DC,boston-cambridge,21:00:00-0500
174,2017-02-04,https://www.songkick.com/metro_areas/18842-us-boston-cambridge,Atwood's Tavern,Vapors of Morphine,boston-cambridge,21:00:00-0500
175,2017-02-04,https://www.songkick.com/metro_areas/18842-us-boston-cambridge,O'Brien's Pub,"Rebuilder, The City Limits, In The Pines, and Dan Webb and the Spiders",boston-cambridge,20:00:00-0500
176,2017-02-04,https://www.songkick.com/metro_areas/18842-us-boston-cambridge,"Jordan Hall, New England Conservatory",Susanna Phillips,boston-cambridge,19:15:00-0500
177,2017-02-04,https://www.songkick.com/metro_areas/18842-us-boston-cambridge,Center for Arts at the Armory,Le Prestige,boston-cambridge,N/A
178,2017-02-04,https://www.songkick.com/metro_areas/18842-us-boston-cambridge,Club Passim,Long is the Walk,boston-cambridge,19:00:00-0500
179,2017-02-03,https://www.songkick.com/metro_areas/7644-us-new-york,The Hall at MP,Milo,new-york,19:00:00-0500
180,2017-02-03,https://www.songkick.com/metro_areas/7644-us-new-york,Rockwood Music Hall Stage 2,Leona Naess,new-york,20:30:00-0500
181,2017-02-03,https://www.songkick.com/metro_areas/7644-us-new-york,C'mon Everybody,Sulene,new-york,20:00:00-0500
182,2017-02-03,https://www.songkick.com/metro_areas/7644-us-new-york,Brooklyn Bazaar,"Cities Aviv, Bigg Dogg, Mike (NY), Yo Chill, and Chip Skylark",new-york,19:00:00-0500
183,2017-02-03,https://www.songkick.com/metro_areas/7644-us-new-york,Berlin,The Trews,new-york,20:00:00-0500
184,2017-02-03,https://www.songkick.com/metro_areas/7644-us-new-york,Union Pool,79.5 and Open House,new-york,20:00:00-0500
185,2017-02-03,https://www.songkick.com/metro_areas/7644-us-new-york,Terra Blues Bar Restaurant & Music,Son of Dave,new-york,N/A
186,2017-02-04,https://www.songkick.com/metro_areas/11104-us-nashville,Franklin Theatre,Ricky Skaggs and Kentucky Thunder,nashville,N/A
187,2017-02-04,https://www.songkick.com/metro_areas/11104-us-nashville,High Watt,Ron Gallo,nashville,21:00:00-0600
188,2017-02-04,https://www.songkick.com/metro_areas/11104-us-nashville,12th and Porter,Big Something,nashville,21:00:00-0600
189,2017-02-04,https://www.songkick.com/metro_areas/11104-us-nashville,The Warehouse,Hillbilly Casino,nashville,20:00:00-0600
190,2017-02-04,https://www.songkick.com/metro_areas/11104-us-nashville,Sheraton Music City Hotel,Trinity River Band and Volume Five,nashville,19:00:00-0600
191,2017-02-04,https://www.songkick.com/metro_areas/17835-us-los-angeles,The Garage,The Aggrolites,los-angeles,20:00:00-0800
192,2017-02-04,https://www.songkick.com/metro_areas/17835-us-los-angeles,Constellation Room at the Observatory,Bixel Boys,los-angeles,21:00:00-0800
193,2017-02-04,https://www.songkick.com/metro_areas/17835-us-los-angeles,Canyon Club,Paul Stanley and Paul Stanley's Soul Station,los-angeles,21:00:00-0800
194,2017-02-04,https://www.songkick.com/metro_areas/17835-us-los-angeles,SOhO,Marion Meadows and Willie Bradley,los-angeles,19:00:00-0800
195,2017-02-04,https://www.songkick.com/metro_areas/17835-us-los-angeles,Di Piazza's,Exmortus,los-angeles,19:30:00-0800
196,2017-02-04,https://www.songkick.com/metro_areas/9426-us-chicago,Genesee Theatre,Billy Gardell,chicago,20:00:00-0600
197,2017-02-04,https://www.songkick.com/metro_areas/9426-us-chicago,The Empty Bottle,The Last Podcast on the Left,chicago,N/A
198,2017-02-04,https://www.songkick.com/metro_areas/9426-us-chicago,Americano,M50,chicago,20:00:00-0600
199,2017-02-04,https://www.songkick.com/metro_areas/9426-us-chicago,Cobra Lounge,Kelroy,chicago,21:00:00-0600
200,2017-02-04,https://www.songkick.com/metro_areas/9426-us-chicago,Tonic Room,Church Booty,chicago,21:00:00-0600
201,2017-02-04,https://www.songkick.com/metro_areas/9426-us-chicago,Downstairs (at SubT),Speaking with Ghosts,chicago,19:00:00-0600
202,2017-02-04,https://www.songkick.com/metro_areas/9426-us-chicago,The Allis,Marty Mars,chicago,N/A
