date,url,venue,artist
"<time datetime=""2017-02-04T21:00:00-0800""></time>",https://www.songkick.com/metro_areas/17835-us-los-angeles,Los Globos,Hang Time
"<time datetime=""2017-02-04T20:00:00-0800""></time>",https://www.songkick.com/metro_areas/17835-us-los-angeles,The Observatory,T.S.O.L.
"<time datetime=""2017-02-04T22:00:00-0800""></time>",https://www.songkick.com/metro_areas/17835-us-los-angeles,Exchange LA,"Jack Beats, AC Slater, and Mike Skinner"
"<time datetime=""2017-02-04T20:00:00-0800""></time>",https://www.songkick.com/metro_areas/17835-us-los-angeles,The Yost Theater,"Down By Law, Guttermouth, and Pulley"
"<time datetime=""2017-02-04T19:00:00-0600""></time>",https://www.songkick.com/metro_areas/9426-us-chicago,Park West,Leftover Salmon
"<time datetime=""2017-02-04""></time>",https://www.songkick.com/metro_areas/9426-us-chicago,Aragon Ballroom,Michal Menert
"<time datetime=""2017-02-04T19:00:00-0600""></time>",https://www.songkick.com/metro_areas/9426-us-chicago,SmoothChicago.com Showroom at Loews Chicago O'Hare,Rick Braun and Steve Cole
"<time datetime=""2017-02-04""></time>",https://www.songkick.com/metro_areas/9426-us-chicago,Schubas Tavern,Susto
"<time datetime=""2017-02-04T22:00:00-0600""></time>",https://www.songkick.com/metro_areas/9426-us-chicago,The Mid,Wax Motif and Wuki
"<time datetime=""2017-02-04T22:00:00-0600""></time>",https://www.songkick.com/metro_areas/9426-us-chicago,Spybar,Nic Fanciulli
"<time datetime=""2017-02-04T20:00:00-0600""></time>",https://www.songkick.com/metro_areas/9426-us-chicago,Vic Theatre,Chris D’Elia
"<time datetime=""2017-02-04T19:30:00-0600""></time>",https://www.songkick.com/metro_areas/35129-us-dallas-fort-worth,Live Oak Music Hall & Lounge,Dwight Twilley and The Speedlights
"<time datetime=""2017-02-04T19:00:00-0600""></time>",https://www.songkick.com/metro_areas/35129-us-dallas-fort-worth,The Rail Club,irata and Freedom Hawk
"<time datetime=""2017-02-04T20:00:00-0600""></time>",https://www.songkick.com/metro_areas/35129-us-dallas-fort-worth,Granada Theater,The Dean Ween Group
"<time datetime=""2017-02-04T22:00:00-0600""></time>",https://www.songkick.com/metro_areas/35129-us-dallas-fort-worth,House of Blues,Jt Donaldson
"<time datetime=""2017-02-04T21:00:00-0600""></time>",https://www.songkick.com/metro_areas/35129-us-dallas-fort-worth,Three Links,The Gorehounds
"<time datetime=""2017-02-04T09:00:00-0600""></time>",https://www.songkick.com/metro_areas/35129-us-dallas-fort-worth,Bronco's Sports Bar,WhiskeyDick
"<time datetime=""2017-02-04T19:30:00-0600""></time>",https://www.songkick.com/metro_areas/15073-us-houston,Hobby Center for the Performing Arts,Michel'le  (US) and Dave Hollister
"<time datetime=""2017-02-04T11:30:00-0600""></time>",https://www.songkick.com/metro_areas/15073-us-houston,Hobby Center for the Performing Arts,Michel'le  (US) and Dave Hollister
"<time datetime=""2017-02-04T15:30:00-0600""></time>",https://www.songkick.com/metro_areas/15073-us-houston,Hobby Center for the Performing Arts,Michel'le  (US) and Dave Hollister
"<time datetime=""2017-02-04T21:00:00-0500""></time>",https://www.songkick.com/metro_areas/1409-us-washington,DC9 Nightclub,Black Marble
"<time datetime=""2017-02-04T19:30:00-0500""></time>",https://www.songkick.com/metro_areas/1409-us-washington,Birchmere,Clare Bowen
"<time datetime=""2017-02-04T21:00:00-0500""></time>",https://www.songkick.com/metro_areas/1409-us-washington,Gypsy Sally's,Sophistafunk and The Funky Dawgz Brass Band
"<time datetime=""2017-02-04T20:00:00-0500""></time>",https://www.songkick.com/metro_areas/1409-us-washington,Flash,"Bézier, Jason Kendig, Jackie House, and Honey Soundsystem"
"<time datetime=""2017-02-04T22:30:00-0500""></time>",https://www.songkick.com/metro_areas/1409-us-washington,"Vinyl Lounge, Gypsy Sally's",Taylor Marie
"<time datetime=""2017-02-04T20:00:00-0500""></time>",https://www.songkick.com/metro_areas/1409-us-washington,Songbyrd Music House,Year of the Ox
"<time datetime=""2017-02-04T21:30:00-0500""></time>",https://www.songkick.com/metro_areas/1409-us-washington,Jammin' Java,The Litz and Threesound
"<time datetime=""2017-02-04T22:30:00-0500""></time>",https://www.songkick.com/metro_areas/5202-us-philadelphia,Kung Fu Necktie,R.A. The Rugged Man
"<time datetime=""2017-02-04T20:00:00-0500""></time>",https://www.songkick.com/metro_areas/5202-us-philadelphia,The Block,I Heart the 80s
"<time datetime=""2017-02-04""></time>",https://www.songkick.com/metro_areas/5202-us-philadelphia,"Zoellner Arts Center, Lehigh University",Scott Bradlee's Postmodern Jukebox
"<time datetime=""2017-02-04T12:00:00-0500""></time>",https://www.songkick.com/metro_areas/5202-us-philadelphia,SOUTH JAZZ,Keiko Matsui
"<time datetime=""2017-02-04T20:30:00-0500""></time>",https://www.songkick.com/metro_areas/5202-us-philadelphia,The Fire,Kasador
"<time datetime=""2017-02-04T20:00:00-0500""></time>",https://www.songkick.com/metro_areas/5202-us-philadelphia,Tin Angel at Serrano,Ben Vaughn
"<time datetime=""2017-02-04T20:30:00-0500""></time>",https://www.songkick.com/metro_areas/5202-us-philadelphia,Milkboy Philly,American Dinosaur
"<time datetime=""2017-02-04T00:00:00-0500""></time>",https://www.songkick.com/metro_areas/4120-us-atlanta,Dreamz ATL,Bando Booker
"<time datetime=""2017-02-04T20:00:00-0500""></time>",https://www.songkick.com/metro_areas/4120-us-atlanta,Red Light Café,"Ralph Roddenbery, Donna Hopkins, and Steve McMurry"
"<time datetime=""2017-02-04T19:00:00-0500""></time>",https://www.songkick.com/metro_areas/4120-us-atlanta,Mardi Gras Sports Cafe,T.J. Hooker Taylor
