ground_strikes_landed,strikes_avoided_pct,attempted_strikes,weight,passes,hometown,age,reach,leg_reach,fighter_name,submissions,takedowns_defended_pct,successful_takedowns,attempted_takedowns,sweeps,fight_out_of,height,standing_strikes_landed,fight_record,other_strikes_landed
8,40,126,205 lb ( 93 kg ),4,"Columbus, Ohio USA",52,None,None,mark-Coleman,0,50,10,18,0,None,"6' 1"" ( 185 cm )",25,None,28
,,,None,,USA,None,None,None,igor-Zinoviev,,,,,,None,None,,None,
7,69,180,246 lb ( 111 kg ),2,"Rio De Janeiro, Rio De Janeiro Brazil",38,None,None,marcio-Cruz,3,38,1,14,0,None,"6' 4"" ( 193 cm )",46,None,30
,,,None,,None,None,None,None,gabriel-Cruz,,,,,,None,None,,None,
79,75,2733,135 lb ( 61 kg ),29,"San Diego, California USA",31,"68""","37""",dominick-Cruz,1,83,52,104,3,"San Diego, California USA","5' 8"" ( 172 cm )",709,22-2-0,80
8,59,287,155 lb ( 70 kg ),18,"Ft. Lauderdale, Florida USA",37,None,None,richard-Crunkilton-Jr-,6,66,19,31,2,None,"5' 7"" ( 170 cm )",73,None,39
62,57,1001,155 lb ( 70 kg ),6,"Wayne, Michigan USA",31,"72""",None,daron-Cruickshank,2,60,18,43,2,"Detroit, Michigan USA","5' 8"" ( 172 cm )",276,None,43
,,,None,,None,None,None,None,ken-Crothers,,,,,,None,None,,None,
66,64,535,220 lb ( 99 kg ),7,Vinkovci Croatia,42,"73""",None,mirko-Cro-Cop,3,78,2,6,0,Zagreb Croatia,"6' 2"" ( 187 cm )",128,None,42
None,61,158,170 lb ( 77 kg ),0,"Camp Formoso, Bahia Brazil",34,None,None,edilberto-Crocota,0,N/A		,0,5,0,None,"6' 0"" ( 182 cm )",1,None,None
4,30,8,155 lb ( 70 kg ),0,"Watertown, New York USA",46,None,None,paul-Creighton,0,N/A		,3,8,0,None,"5' 6"" ( 167 cm )",1,None,1
8,58,424,185 lb ( 84 kg ),3,"Lafayette, Louisiana USA",39,"75""",None,tim-Credeur,8,50,1,1,0,None,"6' 3"" ( 190 cm )",117,None,6
3,32,96,170 lb ( 77 kg ),0,"Danbury, Connecticut USA",31,None,None,dan-Cramer,1,67,0,2,2,None,"6' 2"" ( 187 cm )",3,None,23
None,57,32,155 lb ( 70 kg ),3,"Santa Fe, New Mexico USA",40,None,None,alberto-Crane,5,50,0,11,2,None,"5' 9"" ( 175 cm )",None,None,None
12,33,49,205 lb ( 93 kg ),3,Airdrie Scotland,29,"76""","43""",paul-craig,3,67,1,2,0,Coatbridge Scotland,"6' 4"" ( 193 cm )",14,9-0-0,5
26,51,512,185 lb ( 84 kg ),7,"Houston, TX USA",31,"76""",None,andrew-Craig,0,72,3,8,2,"Houston, TX USA","6' 1"" ( 185 cm )",150,None,29
8,61,139,170 lb ( 77 kg ),8,"Portland, Oregon USA",38,"69""","39""",nathan-coy,0,50,4,6,0,"Coconut Creek, FL USA","5' 10"" ( 177 cm )",20,15-6-0,20
None,33,8,155 lb ( 70 kg ),0,"Cleveland, Ohio USA",48,None,None,jeff-Cox,0,80,1,2,0,None,"5' 6"" ( 167 cm )",None,None,None
21,60,353,170 lb ( 77 kg ),38,"Clovis, California USA",28,"72""","41""",colby-Covington,2,N/A		,33,61,0,"Fort Lauderdale, Florida USA","5' 11"" ( 180 cm )",97,11-1-0,65
213,59,1221,205 lb ( 93 kg ),34,"Everett, Washington USA",53,"75""",None,randy-Couture,8,58,46,98,2,"Las Vegas, Nevada USA","6' 2"" ( 187 cm )",206,None,289
None,55,232,155 lb ( 70 kg ),0,"Seattle, WA USA",34,"75""",None,ryan-Couture,0,47,1,13,0,"Las Vegas, NV USA","5' 10"" ( 177 cm )",21,None,None
None,45,59,155 lb ( 70 kg ),3,"Oklahoma City, Oklahoma United States",27,"71""","40""",jc-cottrell,0,50,1,1,1,"Oklahoma City, Oklahoma United States","5' 9"" ( 175 cm )",None,17-5-0,None
17,43,126,135 lb ( 61 kg ),11,"Winona, Minnesota USA",34,"68""","38""",cat-Zingano,4,50,7,8,4,"Denver, Colorado USA","5' 6"" ( 167 cm )",20,9-2-0,49
11,44,66,205 lb ( 93 kg ),0,USA,39,None,None,james-Zikic,1,74,0,1,0,None,"6' 2"" ( 187 cm )",8,None,10
8,49,305,125 lb ( 56 kg ),0,Henan China,26,"64""","38""",yao-Zhikui,0,58,2,12,2,Beijing China,"5' 5"" ( 165 cm )",45,2-5-0,13
6,52,181,155 lb ( 70 kg ),4,Inner Mongolia China,38,None,None,tiequan-Zhang,12,75,7,12,0,Beijing China,"5' 8"" ( 172 cm )",59,18-4-0,1
3,48,68,170 lb ( 77 kg ),1,"Florianopolis, Santa Catarina Brazil",31,None,None,joao-Zeferino,2,50,1,18,0,"Florianopolis, Santa Catarina Brazil","5' 11"" ( 180 cm )",20,None,2
12,36,54,170 lb ( 77 kg ),0,Santo Domingo Dominican Republic,30,"74""",None,roger-zapata,1,82,0,1,0,"Albany, New York USA","5' 11"" ( 180 cm )",12,None,4
52,67,397,170 lb ( 77 kg ),4,"Francisco Beltrao, Parana Brazil",30,"73""","41""",elizeu-zaleski-dos-santos,3,39,1,6,2,"Francisco Beltrao, Parana Brazil","5' 11"" ( 180 cm )",104,16-5-0,7
,,,135 lb ( 61 kg ),,None,29,None,None,aiemann-zahabi,,,,,,None,"5' 8"" ( 172 cm )",,6-0-0,
6,53,34,170 lb ( 77 kg ),2,Cairns Australia,29,"72""","39""",anton-Zafir,0,N/A		,3,5,0,"Cannonvale, Queensland Australia","5' 11"" ( 180 cm )",9,7-3-0,7
5,50,81,225 lb ( 102 kg ),1,Amsterdam Holland,40,None,None,gilbert-Yvel,2,26,0,1,3,None,"6' 2"" ( 187 cm )",8,None,23
None,63,283,185 lb ( 84 kg ),0,"Defiance, OH USA",35,"74""",None,luke-Zachrich,0,80,1,3,0,"Columbus, OH USA","6' 2"" ( 187 cm )",3,None,None
None,32,17,185 lb ( 84 kg ),0,"Anchorage, Alaska USA",36,None,None,rob-Yundt,0,N/A		,1,1,0,None,"6' 1"" ( 185 cm )",5,None,None
45,39,133,170 lb ( 77 kg ),0,Al-Hassake Syria,31,None,None,besam-Yousef,0,50,2,3,0,Gothenburg Sweden,"5' 11"" ( 180 cm )",24,None,2
6,36,50,170 lb ( 77 kg ),5,Tokyo Japan,42,None,None,yoshiyuki-Yoshida,4,25,2,7,2,None,"5' 11"" ( 180 cm )",9,None,3
23,50,364,145 lb ( 65 kg ),0,Lewisham England,30,None,None,jason-Young,0,55,6,9,0,South East London England,"5' 9"" ( 175 cm )",88,None,24
4,52,116,115 lb ( 52 kg ),7,"Indianapolis, Indiana USA",29,"69""","37""",ashley-yoder,0,N/A		,1,2,3,"Temecula, California USA","5' 7"" ( 170 cm )",35,5-2-0,5
,,,None,,None,None,None,None,rob-Cole,,,,,,None,None,,None,
,,,None,,None,None,None,None,devon-Cole,,,,,,None,None,,None,
,,,None,,None,None,None,None,bill-Coffman,,,,,,None,None,,None,
12,62,160,155 lb ( 70 kg ),2,"Savannah, Georgia USA",32,None,None,john-Cofer,0,64,2,4,3,"Athens, Georgia USA","5' 9"" ( 175 cm )",51,None,4
None,56,13,155 lb ( 70 kg ),0,"San Jose, California USA",36,None,None,brian-Cobb,0,N/A		,2,4,0,None,"5' 11"" ( 180 cm )",None,None,None
20,50,75,145 lb ( 65 kg ),1,"Columbus, MS USA",35,"68""",None,josh-Clopton,0,75,4,6,0,"Pacifica, CA USA","5' 6"" ( 167 cm )",20,None,8
39,45,331,170 lb ( 77 kg ),0,"Chatham, Ontario Canada",40,"70""",None,chris-Clements,1,32,0,2,0,"London, Ontario Canada","5' 10"" ( 177 cm )",108,None,18
31,61,459,155 lb ( 70 kg ),20,"Edison, New Jersey USA",40,None,None,rich-Clementi,8,26,14,33,3,None,"5' 9"" ( 175 cm )",117,None,23
,,,None,,None,None,None,None,rob-Clarke,,,,,,None,None,,None,
28,47,405,155 lb ( 70 kg ),2,"Sakatoon, Saskatchewan Canada",31,"73""","40""",mitch-Clarke,2,50,3,16,2,"Edmonton, Alberta Canada","5' 10"" ( 177 cm )",106,11-4-0,4
41,54,197,185 lb ( 84 kg ),7,"Eyota, MN. USA",31,None,None,logan-Clark,7,31,1,1,2,None,"6' 2"" ( 187 cm )",14,None,53
,,,None,,USA,None,None,None,laverne-Clark,,,,,,None,None,,None,
44,51,338,115 lb ( 52 kg ),4,"Los Angeles, California USA",36,"64""","38""",heather-Clark,1,80,1,24,1,"Las Vegas, Nevada USA","5' 6"" ( 167 cm )",116,7-6-0,6
10,44,123,205 lb ( 93 kg ),3,"Sioux Falls, South Dakota USA",26,"75""","41""",devin-clark,1,100,2,7,0,"Sioux Falls, South Dakota USA","6' 0"" ( 182 cm )",48,7-1-0,3
24,70,204,205 lb ( 93 kg ),11,Riga Latvia,29,"77""","43""",misha-cirkunov,3,67,9,16,1,"Toronto, Ontario Canada","6' 3"" ( 190 cm )",65,13-2-0,19
None,58,6,230 lb ( 104 kg ),0,"Harrisburg, Pennsylvania USA",37,"74""",None,mike-Ciesnolevicz,2,20,0,2,0,None,"6' 1"" ( 185 cm )",None,None,None
81,48,310,145 lb ( 65 kg ),6,Seoul South Korea,35,"69""","41""",yui-Chul-Nam,1,57,4,25,0,Seoul South Korea,"5' 9"" ( 175 cm )",43,None,35
None,45,150,155 lb ( 70 kg ),0,"Seattle, Washington USA",29,"72""",None,anthony-christodoulou,0,40,0,1,0,Athens Greece,"5' 9"" ( 175 cm )",7,None,None
36,55,233,265 lb ( 120 kg ),1,"Los Angeles, CA. USA",40,None,None,dan-Christison,2,38,0,0,1,None,"6' 8"" ( 203 cm )",78,None,7
,,,None,,None,None,None,None,chad-Corvin,,,,,,None,None,,None,
31,41,160,260 lb ( 118 kg ),0,"Hilo, Hawaii USA",38,None,None,wesley-Correira,0,91,0,1,0,None,"6' 2"" ( 187 cm )",33,None,1
None,63,742,135 lb ( 61 kg ),1,"Campina Grande, Paraiba Brazil",33,"64""","36""",bethe-Correia,0,86,1,8,2,"Campina Grande, Paraiba Brazil","5' 5"" ( 165 cm )",66,10-2-0,None
139,62,914,205 lb ( 93 kg ),20,"Lafayette, Louisiana USA",37,"72""","41""",daniel-Cormier,5,80,14,33,0,"San Jose, California USA","5' 11"" ( 180 cm )",218,18-1-0,98
,,,None,,None,None,None,None,carlos-Cordero,,,,,,None,None,,None,
None,50,307,145 lb ( 65 kg ),1,Lund Sweden,34,"67""",None,akira-Corassani,0,87,2,7,0,"Brooklyn, New York USA","5' 8"" ( 172 cm )",18,None,None
None,55,92,245 lb ( 111 kg ),0,"Salmon, Idaho USA",34,"75""",None,josh-copeland,0,57,0,0,0,"Denver, Colorado USA","6' 1"" ( 185 cm )",10,None,None
None,50,330,170 lb ( 77 kg ),0,"Carmel Valley, California USA",33,None,None,chris-Cope,0,80,0,1,0,"San Diego, California USA",None,13,None,None
3,47,176,115 lb ( 52 kg ),5,"Lansing, Michigan USA",25,"64""",None,amanda-cooper,3,N/A		,2,3,1,"Bath, Michigan USA","5' 3"" ( 160 cm )",57,3-2-0,10
,,,None,,None,None,None,None,tosh-Cook,,,,,,None,None,,None,
,,,None,,USA,None,None,None,bob-Cook,,,,,,None,None,,None,
,,,None,,USA,None,None,None,chris-Condo,,,,,,None,None,,None,
93,56,2157,170 lb ( 77 kg ),40,"Albuquerque, New Mexico USA",32,"75""","44""",carlos-Condit,18,39,9,17,6,"Albuquerque, New Mexico USA","6' 2"" ( 187 cm )",618,30-10-0,131
None,46,29,205 lb ( 93 kg ),0,"Roanoke, Virginia",43,None,None,wes-Combs,0,N/A		,0,0,0,None,"6' 2"" ( 187 cm )",2,None,None
38,45,173,265 lb ( 120 kg ),0,Copenhagen Denmark,36,"80""","48""",christian-colombo,0,36,0,1,0,Copenhagen Denmark,"6' 5"" ( 195 cm )",39,8-2-1,2
,,,None,,None,None,None,None,phil-Collins,,,,,,None,None,,None,
20,56,341,185 lb ( 84 kg ),6,"St. Louis, Missouri USA",28,"78""","43""",jake-collier,1,67,3,9,0,"Cuba, Missouri USA","6' 3"" ( 190 cm )",106,10-3-0,5
39,51,770,145 lb ( 65 kg ),3,"Payson, Utah USA",23,"73""",None,clay-collard,2,71,11,28,1,"Castle Dale, Utah USA","5' 11"" ( 180 cm )",184,"14-7-0, 1NC",25
86,60,719,155 lb ( 70 kg ),20,Goetapeh Iran,27,"72""","40""",beneil-Dariush,5,75,9,33,0,"Yorba Linda, California USA","5' 10"" ( 177 cm )",203,14-2-0,49
6,67,139,155 lb ( 70 kg ),1,Abovyan Armenia,30,None,None,karen-Darabedyan,0,N/A		,3,4,0,None,"5' 7"" ( 170 cm )",50,None,16
97,57,986,155 lb ( 70 kg ),20,"Cleveland, OH USA",37,"70""",None,mac-Danzig,6,46,12,32,3,"Los Angeles, CA USA","5' 8"" ( 172 cm )",338,None,57
None,61,4,238 lb ( 108 kg ),0,"Rio de Janeiro, Brazil USA",37,None,None,alexandre-Dantas,1,N/A		,0,7,0,None,"6' 2"" ( 187 cm )",None,None,None
32,48,186,265 lb ( 120 kg ),1,Malkiya Syria,33,"74""","42""",jarjis-Danho,0,100,1,5,0,Nuremberg Germany,"6' 2"" ( 187 cm )",52,"6-1-1, 1NC",6
11,57,945,155 lb ( 70 kg ),1,"Afonso Claudio, Espirito Santo Brazil",37,"71""",None,rodrigo-Damm,2,80,3,17,0,"Vila Velha, Espirito Santo Brazil","5' 7"" ( 170 cm )",332,None,3
28,56,196,115 lb ( 52 kg ),7,Dublin Ireland,29,"64""","37""",aisling-Daly,2,33,5,12,0,Dublin Ireland,"5' 2"" ( 157 cm )",16,16-5-0,58
9,60,111,170 lb ( 77 kg ),0,London England,33,None,None,paul-Daley,0,65,0,0,0,Nottingham England,"5' 9"" ( 175 cm )",31,None,6
53,56,511,170 lb ( 77 kg ),3,Hundested Denmark,32,"74""","43""",nicolas-dalby,0,69,8,16,0,Copenhagen Denmark,"5' 11"" ( 180 cm )",117,14-2-1,26
55,45,279,205 lb ( 93 kg ),5,"Limoeiro, Pernambuco Brazil",27,"76""","43""",luiz-henrique-da-silva,1,25,1,3,2,"Benevides, Para Brazil","6' 3"" ( 190 cm )",73,12-2-0,35
31,64,167,140 lb ( 63 kg ),5,Curitiba Brazil,31,"68""","39""",cris-Cyborg,0,100,2,2,0,"Huntington Beach, California USA","5' 8"" ( 172 cm )",44,"16-1-0, 1NC",35
,,,None,,None,None,None,None,steve-Cutler,,,,,,None,None,,None,
34,50,540,205 lb ( 93 kg ),3,Chisinau Republic of Moldova,23,"75""","41""",ion-cutelaba,0,80,6,9,0,Chisinau Republic of Moldova,"6' 1"" ( 185 cm )",113,"12-3-0, 1NC",11
52,52,439,115 lb ( 52 kg ),7,"Ewa Beach, Hawaii USA",25,"65""","37""",kailin-Curran,3,68,8,10,0,"Ewa Beach, Hawaii USA","5' 4"" ( 162 cm )",110,4-4-0,20
,,,None,,USA,None,None,None,larry-Cureton,,,,,,None,None,,None,
48,61,558,135 lb ( 61 kg ),3,"Woodstock, Illinois USA",39,None,None,jeff-Curran,9,36,2,20,4,"Island Lake, Illinois USA","5' 6"" ( 167 cm )",101,None,31
39,60,340,170 lb ( 77 kg ),7,"Long Island, New York USA",36,None,None,luke-Cummo,8,43,5,9,0,None,"6' 0"" ( 182 cm )",82,None,26
37,57,541,205 lb ( 93 kg ),19,"Doylestown, Pennsylvania USA",36,"76""","43""",patrick-Cummins,1,80,30,58,0,"Dana Point, California USA","6' 2"" ( 187 cm )",91,8-4-0,155
30,52,589,170 lb ( 77 kg ),9,"Irving, TX USA",32,"75""","40""",zak-Cummings,4,71,7,15,1,"Kansas City, MO USA","6' 0"" ( 182 cm )",132,20-5-0,18
,,,190 lb ( 86 kg ),,"Bellingham, Massachusetts USA",None,None,None,jason-DeLucia,,,,,,None,"5' 11"" ( 180 cm )",,None,
20,40,339,135 lb ( 61 kg ),20,"Winnipeg, Manitoba Canada",33,"71""",None,roland-Delorme,7,43,11,32,3,"Winnipeg, Manitoba Canada","5' 9"" ( 175 cm )",98,None,32
None,55,74,248 lb ( 112 kg ),1,"Hacienda Heights, California USA",30,None,None,shane-Delrosario,2,17,1,4,0,"Irvine, California USA","6' 4"" ( 193 cm )",11,None,None
7,62,100,155 lb ( 70 kg ),7,"San Diego, California USA",35,None,None,rolando-Delgado,6,N/A		,2,9,1,None,"6' 3"" ( 190 cm )",25,None,8
,,,None,,None,None,None,None,terrell-Dees,,,,,,None,None,,None,
None,72,201,145 lb ( 65 kg ),1,Utrecht The Netherlands,32,"71""","41""",germaine-DeRandamie,0,82,0,0,0,Utrecht The Netherlands,"5' 9"" ( 175 cm )",46,6-3-0,None
None,38,126,185 lb ( 84 kg ),7,"New Brunswick, New Jersey USA",34,None,None,tom-DeBlass,1,29,2,4,2,"Forked River, New Jersey USA","6' 0"" ( 182 cm )",9,None,None
None,49,72,170 lb ( 77 kg ),0,"Nilopolis, Rio de Janeiro Brazil",37,"71""",None,jorge-de-oliveira,0,22,0,0,0,Rio de Janeiro Brazil,"5' 8"" ( 172 cm )",7,None,None
1,33,86,155 lb ( 70 kg ),6,"Macapa, Amapa Brazil",25,"75""",None,rodrigo-de-Lima,2,N/A		,4,11,1,"Macapa, Amapa Brazil","5' 7"" ( 170 cm )",21,None,7
37,55,336,145 lb ( 65 kg ),0,"San Diego, California USA",30,"71""","40""",mike-de-la-Torre,0,85,1,6,0,"Glendale, Arizona USA","5' 11"" ( 180 cm )",81,"14-6-0, 1NC",15
None,46,110,265 lb ( 120 kg ),0,"San Jose, CA USA",37,"80""","42""",chris-de-la-rocha,0,N/A		,0,7,0,"Washougal, WA USA","6' 4"" ( 193 cm )",6,4-2-0,None
21,38,133,250 lb ( 113 kg ),11,Sunderland England,30,None,None,phil-DeFries,1,100,6,14,0,"San Diego, California USA","6' 5"" ( 195 cm )",27,None,15
None,48,80,185 lb ( 84 kg ),0,"Lethbridge, Alberta Canada",37,None,None,jason-Day,0,N/A		,0,0,0,None,"6' 1"" ( 185 cm )",20,None,None
None,64,10,155 lb ( 70 kg ),0,"Los Angeles, California USA",46,None,None,rick-Davis,0,N/A		,0,0,0,None,"5' 9"" ( 175 cm )",None,None,None
62,72,1406,205 lb ( 93 kg ),44,"Harrisburg, Pennsylvania USA",32,"79""",None,phil-Davis,6,72,31,87,0,"San Diego, California USA","6' 2"" ( 187 cm )",241,None,182
67,66,896,155 lb ( 70 kg ),17,"Houlton, Maine USA",43,"70""",None,marcus-Davis,12,48,14,29,0,"Bangor, Maine USA","5' 10"" ( 177 cm )",242,None,47
34,52,491,135 lb ( 61 kg ),6,"Niagara Falls, Ontario Canada",32,"68""","37""",alexis-Davis,5,40,4,10,2,"San Jose, California USA","5' 6"" ( 167 cm )",143,17-7-0,27
90,66,2282,135 lb ( 61 kg ),28,"Angels Camp, California USA",31,"67""","38""",TJ-Dillashaw,12,85,21,55,0,"Denver, Colorado USA","5' 6"" ( 167 cm )",683,15-3-0,166
12,55,177,135 lb ( 61 kg ),0,"Fort Lauderdale, FL USA",36,None,None,seth-Dikun,2,45,0,4,0,None,"5' 10"" ( 177 cm )",30,None,5
,,,None,,None,None,None,None,josh-Diekman,,,,,,None,None,,None,
152,61,1766,185 lb ( 84 kg ),11,"Stockton, California USA",33,"76""",None,nick-Diaz,14,60,15,41,4,"Stockton, California USA","6' 0"" ( 182 cm )",517,"26-10-0, 1NC",59
299,55,2965,170 lb ( 77 kg ),23,"Stockton, California USA",31,"76""","38""",nate-Diaz,27,46,22,73,7,"Stockton, California USA","6' 0"" ( 182 cm )",911,20-11-0,101
10,61,155,145 lb ( 65 kg ),9,Rio de Janeiro Brazil,37,None,None,rafael-Dias,3,100,8,17,0,None,"5' 9"" ( 175 cm )",20,None,13
21,56,489,145 lb ( 65 kg ),16,Rio de Janeiro Brazil,32,"69""","40""",hacran-Dias,3,78,20,48,0,Rio de Janeiro Brazil,"5' 8"" ( 172 cm )",169,23-5-1,27
14,61,150,155 lb ( 70 kg ),3,Democratic Republic Congo,23,"73""","39""",marc-Diakiese,0,67,7,14,0,Manchester Englad,"5' 10"" ( 177 cm )",38,11-0-0,5
24,61,349,205 lb ( 93 kg ),7,"Celle Saint Cloud, Paris France",43,"81""",None,cyrille-Diabate,1,53,5,6,2,Rueil Malmaison France,"6' 6"" ( 198 cm )",177,None,53
18,63,286,185 lb ( 84 kg ),5,Rome Italy,27,"74""","45""",alessio-di-chirico,0,75,4,9,0,Rome Italy,"6' 0"" ( 182 cm )",98,10-1-0,11
,,,None,,None,None,None,None,mike-Dexter,,,,,,None,None,,None,
,,,None,,None,None,None,None,jimmy-Dexter,,,,,,None,None,,None,
None,39,38,185 lb ( 84 kg ),2,"Phoenix, AZ USA",34,None,None,edwin-Dewees,3,N/A		,2,2,0,None,"6' 1"" ( 185 cm )",8,None,None
9,42,86,170 lb ( 77 kg ),6,Lima Peru,42,None,None,tony-DeSouza,4,40,6,14,1,None,"6' 1"" ( 185 cm )",2,None,34
12,63,227,155 lb ( 70 kg ),0,"Madison, Ohio USA",36,None,None,jason-Dent,4,26,0,0,1,None,"5' 9"" ( 175 cm )",70,None,7
,,,None,,None,None,None,None,robert-Densley,,,,,,None,None,,None,
,,,None,,None,None,None,None,thomas-Denny,,,,,,None,None,,None,
17,37,66,135 lb ( 61 kg ),0,"Ottawa, Ontario Canada",33,None,None,nick-Denis,0,80,1,1,0,"Montreal, Quebec Canada","5' 7"" ( 170 cm )",15,None,3
12,66,157,185 lb ( 84 kg ),3,"Ambridge, Pennsylvania USA",29,"72""","40""",chris-Dempsey,0,17,4,17,0,"Lower Burrell, Pennsylvania USA","5' 10"" ( 177 cm )",33,None,6
33,57,328,185 lb ( 84 kg ),8,"Nowy Sacz, Krakow Poland",35,"76""",None,tomasz-Drwal,1,82,9,15,0,Krakow Poland,"6' 0"" ( 182 cm )",68,None,24
None,13,2,185 lb ( 84 kg ),0,"Orem, Utah USA",36,None,None,derek-Downey,0,N/A		,1,6,0,None,"5' 11"" ( 180 cm )",None,None,None
31,37,273,155 lb ( 70 kg ),4,"Chicago, IL USA",30,None,None,dan-Downes,2,37,0,0,1,"Milwaukee, Wisconsin USA","6' 0"" ( 182 cm )",38,None,24
,,,None,,USA,None,None,None,john-Dowdy,,,,,,None,None,,None,
88,55,1812,238 lb ( 108 kg ),3,Santa Catarina Brazil,33,"77""","41""",junior-Dos-Santos,1,80,5,8,0,"Salvador, Bahia Brazil","6' 4"" ( 193 cm )",740,18-4-0,59
,,,264 lb ( 119 kg ),,Bahia Brazil,36,None,None,geronimo-dos-Santos,,,,,,Belem Brazil,"6' 2"" ( 187 cm )",,None,
8,44,94,185 lb ( 84 kg ),1,"Salvador, Bahia Brazil",28,"72""",None,antonio-dos-santos,0,100,0,1,0,"Salvador, Bahia Brazil","5' 10"" ( 177 cm )",38,None,2
98,65,1970,155 lb ( 70 kg ),34,Rio de Janeiro Brazil,32,"70""","38""",rafael-Dos-Anjos,12,67,39,93,1,Rio de Janeiro Brazil,"5' 9"" ( 175 cm )",564,25-9-0,151
,,,None,,USA,None,None,None,houston-Dorr,,,,,,None,None,,None,
36,46,171,205 lb ( 93 kg ),3,"Waterloo, IA USA",35,"74""",None,cody-Donovan,2,N/A		,2,7,0,"Denver, CO USA","6' 3"" ( 190 cm )",59,None,6
,,,None,,None,None,None,None,tim-Dominquez,,,,,,None,None,,None,
51,58,808,205 lb ( 93 kg ),32,"Mt. Gilead, Ohio USA",33,"76""","42""",CB-Dollaway,9,83,31,62,5,"Tempe, Arizona USA","6' 2"" ( 187 cm )",217,16-9-0,97
17,51,296,185 lb ( 84 kg ),13,"New Bothwell, Manitoba Canada",39,"74""",None,joe-Doerksen,14,33,12,37,3,"Winnipeg, Manitoba Canada","6' 0"" ( 182 cm )",91,None,14
None,61,63,155 lb ( 70 kg ),0,"Phoenix, Arizona USA",29,None,None,cameron-Dollar,0,N/A		,0,1,0,None,"5' 11"" ( 180 cm )",None,None,None
,,,None,,None,None,None,None,travis-Doerge,,,,,,None,None,,None,
65,62,1074,135 lb ( 61 kg ),2,"Albuquerque, New Mexico USA",32,"66""","35""",john-Dodson,0,84,7,24,0,"Albuquerque, New Mexico USA","5' 3"" ( 160 cm )",352,19-8-0,21
,,,None,,USA,None,None,None,david-Dodd,,,,,,None,None,,None,
47,56,640,155 lb ( 70 kg ),8,"Omaha, Nebraska USA",28,"70""","35""",drew-Dober,1,67,5,30,0,"Denver, Colorado USA","5' 8"" ( 172 cm )",150,"17-8-0, 1NC",20
24,56,281,145 lb ( 65 kg ),12,"Honolulu, HI USA",30,"70""","37""",russell-Doane,4,56,10,23,4,"Honolulu, HI USA","5' 7"" ( 170 cm )",53,14-7-0,41
35,67,312,155 lb ( 70 kg ),2,"Sacramento, California USA",31,"70""","39""",josh-emmett,1,40,8,14,0,"Sacramento, California USA","5' 8"" ( 172 cm )",101,10-0-0,5
27,65,602,155 lb ( 70 kg ),1,"Huntington, California USA",35,None,None,rob-Emerson,2,66,10,19,0,None,"5' 9"" ( 175 cm )",138,None,20
7,57,139,115 lb ( 52 kg ),2,Aarhus Denmark,32,"65""","37""",anna-elmose,0,33,0,5,0,Copenhagen Denmark,"5' 3"" ( 160 cm )",48,3-2-0,14
