Ratings,Style,Name,Bros,ABV,Avg,Brewery
970,,Imperial Biscotti Break Natale - Pretty Please With A Cherry On Top,-,11.50,4.12,Evil Twin Brewing
923,,Old Leghumper,84,5.80,3.8,Thirsty Dog Brewing Company
918,,Bourbon Barrel Black Maple,95,11.00,4.41,Jackie O's Pub & Brewery
848,,Samuel Adams Maple Pecan Porter,-,5.60,3.69,Boston Beer Company (Samuel Adams)
823,,Mudpuppy Porter,91,5.50,3.88,Central Waters Brewing Co.
801,,Saranac Caramel Porter,64,5.40,3.14,Matt Brewing Company / Saranac Brewery
783,,Mogli,-,8.50,4.21,Caldera Brewing Company
735,,TREAT (Imperial Chocolate Pumpkin Porter),-,7.80,4.1,Midnight Sun Brewing Co.
733,,(512) Pecan Porter,-,6.80,4.1,(512) Brewing Company
714,,Morning Wood,-,12.00,4.64,Funky Buddha Brewery
686,,The Devil Made Me Do It! Coffee Imperial Oatmeal Porter,-,7.50,4.17,Tyranena Brewing Company
,,,,,,
,,,,,,
,,,,,,
,,,,,,Brewery
662,,Wide Awake It's Morning,-,10.00,4.52,Funky Buddha Brewery
659,,Peppermint Victory At Sea,90,10.00,3.94,Ballast Point Brewing Company
651,,Bean Gene,-,9.00,4.05,Revolution Brewing
636,,Summit Great Northern Porter,-,5.60,3.85,Summit Brewing Company
635,,Puppy's Breath Porter,-,8.00,4.07,Cigar City Brewing
621,,Hotbox Coffee Porter,-,6.50,3.95,Oskar Blues Grill & Brew
618,,Duck-Rabbit Porter,75,5.70,3.75,The Duck-Rabbit Craft Brewery
617,,Smoke Jumper Smoked Imperial Porter,-,8.80,4.05,Left Hand Brewing Company
591,,Collaboration Series: Rue D'Floyd,-,14.40,4.39,The Bruery
589,,Wasatch Polygamy Porter,76,4.00,3.28,Utah Brewers Cooperative
588,,Dirty Old Man Imperial Rye Porter,-,7.90,4.11,Tyranena Brewing Company
587,,Bourbon Barrel Porter,-,9.00,4.21,AleWerks Brewing Company
581,,Great Lakes Alberta Clipper,-,7.80,3.93,Great Lakes Brewing Co.
578,,Barrel Aged People's Porter,-,6.00,3.83,Foothills Brewing Company - Downtown Brewpub
578,,Tallgrass Zombie Monkie Robust Porter,-,6.20,3.96,Tallgrass Brewing Company
576,,Saint Bridget's Porter,91,5.90,3.75,Great Divide Brewing Company
575,,Portage Porter,89,6.00,3.92,New Belgium Brewing
556,,Devil Over A Barrel - Bourbon Barrel-Aged Coffee Imperial Oatmeal Porter,-,8.00,4.31,Tyranena Brewing Company
546,,Highland Thunderstruck Coffee Porter,89,5.90,3.89,Highland Brewing
542,,Penn Quarter Porter,-,5.50,3.92,DC Brau Brewing Co.
517,,Bourbon Barrel Aged Hellfighter,95,10.80,4.29,Karbach Brewing Co.
515,,Sunday Brunch,-,9.20,4.67,Kane Brewing Company
506,,Nib Smuggler,-,6.30,4.09,Funky Buddha Brewery
485,,Coco Loco,-,6.20,4.03,NoDa Brewing Company
480,,Icelandic Toasted Porter,87,6.00,3.81,Einstök Ölgerð (Einstök Beer Company)
469,,Porter,89,7.50,4.04,Port City Brewing
467,,Dundee Porter,-,6.50,3.52,Genesee Brewing Co. / Dundee Brewing Co.
458,,Cocoa Porter Winter Warmer,80,5.70,3.32,Tommyknocker Brewery
449,,Coal Porter,-,6.50,3.73,Atlantic Brewing Company / Mainely Meat BBQ
426,,Texas Ranger (Chipotle Porter),-,6.60,4.05,Mikkeller ApS
425,,(512) Whiskey Barrel Aged Double Pecan Porter,-,8.20,3.99,(512) Brewing Company
420,,Victory At Sea - Coconut,-,10.00,4.02,Ballast Point Brewing Company
419,,Willoughby Peanut Butter Cup Coffee Porter,-,5.50,4.21,Willoughby Brewing
416,,Roebling Vanilla Espresso Porter,80,7.80,3.6,Rivertown Brewing Co.
414,,Red Eye Coffee Porter,-,9.20,4.04,Two Brothers Brewing Company
407,,Morning Bell,-,9.20,4.27,Kane Brewing Company
399,,Hodad Porter,-,5.50,4.14,Fiddlehead Brewing Company
392,,Horny Goat Chocolate Peanut Butter Porter,-,6.50,3.72,Horny Goat Brewing Co.
392,,Planet Porter,-,5.51,3.45,Boulder Beer / Wilderness Pub
385,,Slumbrew Porter Square Porter,82,6.50,3.95,Somerville Brewing Company (Slumbrew)
383,,Awake,88,6.70,4.15,Night Shift Brewing
380,,Lucky 7 Porter,90,5.80,3.66,Evolution Craft Brewing Company
376,,Drayman's Porter,83,6.20,3.92,Berkshire Brewing Company Inc.
368,,Everett (Barrel Aged),-,8.00,4.25,Hill Farmstead Brewery
366,,Distorter,-,7.20,3.91,Greenbush Brewing Company
366,,Night Rain,-,6.70,3.87,O'so Brewing Company & Tap House
365,,Purple Monkey Dishwasher,-,6.80,3.87,Evil Genius Beer Company
361,,Dark Side Vanilla Porter,75,5.70,3.65,Empyrean Brewing Company
360,,Pluff Mud Porter,-,5.50,3.62,Holy City Brewing
357,,Shade Grown Coffee Porter,-,6.30,3.93,Real Ale Brewing Company
,,,,,,
,,,,,,
,,,,,,
,,,,,,Brewery
353,,Terrapin Dos Cocoas Chocolate Porter,89,5.80,3.8,Terrapin Beer Company
349,,Chief BlackHawk Porter,-,5.60,3.85,Tyranena Brewing Company
349,,Sweetwater Exodus Porter,83,5.90,3.74,SweetWater Brewing Company
341,,Short's Black Cherry Porter,-,6.00,3.86,Short's Brewing Company
338,,Hard Wired Nitro Coffee Porter,-,6.00,4.07,Left Hand Brewing Company
338,,Arctic Rhino Coffee Porter,-,5.00,3.72,Midnight Sun Brewing Co.
333,,Sea Dog Riverdriver Hazelnut Porter,-,5.60,3.46,Sea Dog Brewing Company
333,,State Pen Porter,-,6.40,3.82,Santa Fe Brewing Company
330,,Silk Porter,85,6.20,3.83,Hoppin' Frog Brewery
329,,"Cream & Sugar, Please",-,5.00,4.01,Peg's Cantina & Brew Pub
326,,Bad Elmer's Porter,84,5.00,3.56,Upland Brewing Company
323,,Southampton Imperial Porter,-,7.20,3.55,Southampton Publick House
317,,Hangar 24 Chocolate Bomber,-,8.00,3.64,Hangar 24 Brewery
311,,Porter,-,6.10,4.25,Russian River Brewing Company
302,,Tanilla Porter,80,6.30,3.43,Knee Deep Brewing Company
301,,Washington's Porter,-,6.35,3.85,AleWerks Brewing Company
297,,Heavy Seas - Blackbeard’s Breakfast Barrel Aged Imperial Coffee Porter,-,10.00,4.16,Heavy Seas Beer
291,,Shadow Of A Doubt,-,10.00,4.11,Russian River Brewing Company
289,,Raincloud Robust Porter,-,6.50,3.84,Foolproof Brewing Company
286,,Culmination Chocolate Porter (Brush & Barrel Series),90,9.30,3.99,Long Trail Brewing Co.
285,,Gorilla Warfare Coffee Porter,-,7.80,4.13,Sixpoint Brewery
281,,Payback Porter,-,7.50,3.92,Speakeasy Ales & Lagers
281,,Victory At Sea Imperial Porter - Barrel Aged,-,12.20,4.36,Ballast Point Brewing Company
280,,Joe Coffee Porter,-,5.00,3.77,Philadelphia Brewing Company
278,,Embrr,-,6.60,3.85,Ithaca Beer Company
277,,Shallow Grave,-,7.00,3.95,Heretic Brewing Company
276,,Mill Street Coffee Porter,84,5.50,3.73,Mill Street Brew Pub
273,,Rye Barrel Chocolate Porter,-,9.50,4.36,Central Waters Brewing Co.
272,,Benji's Chipotle Smoked Imperial Porter,-,7.50,4.04,Tyranena Brewing Company
271,,Anubis Imperial Coffee Porter,-,9.20,3.78,Laughing Dog Brewing
269,,Narragansett Porter,78,7.00,3.71,Narragansett Brewing Co.
268,,Sex Panther,77,6.50,3.51,SanTan Brewing Co.
260,,Coffee Porter,-,5.60,3.89,Real Ale Brewing Company
260,,Porter,-,5.80,3.56,Eel River Brewing Co.
259,,Pleasantville Smoked Porter,-,6.40,4.04,Captain Lawrence Brewing Co.
256,,Mean Gene,-,8.50,3.92,Revolution Brewing
250,,Pogue's Run Porter,-,5.50,3.93,Flat 12 Bierwerks
250,,Pot & Kettle Oatmeal Porter W/ Cold Brewed Coffee,97,7.50,4.26,Trillium Brewing Company
247,,Double Pot & Kettle,-,9.00,4.14,Trillium Brewing Company
244,,CHP - Chocolate Hazelnut Porter,-,7.00,3.85,Heretic Brewing Company
243,,Smog City Groundwork Coffee Porter,-,6.00,4.11,Smog City Brewing
238,,Ninja Porter,-,5.60,3.62,Asheville Brewing Company
236,,Double Nut Brown,69,5.50,3.79,Mammoth Brewing Company
234,,Bobo's Robust Porter,-,5.80,3.82,Big Sky Brewing Company
231,,Black Ale,-,6.00,4.02,Bent Paddle Brewing Co.
230,,Cowboy Coffee Porter,-,6.20,3.71,Big Sky Brewing Company
229,,Mexican Brunch,-,9.20,4.65,Kane Brewing Company
229,,Blue Gene,-,9.00,4.11,Revolution Brewing
223,,Bean Porter,-,7.00,3.91,Night Shift Brewing
222,,Drake's Black Robusto Porter,87,6.30,4,Drake's Brewing Co.
,,,,,,
,,,,,,
,,,,,,
,,,,,,Brewery
222,,Mocha Marlin,-,6.00,4.12,Ballast Point Brewing Company
222,,Convenient Distraction,-,10.00,4.08,O'so Brewing Company & Tap House
221,,Chocolate Wheat,-,6.10,3.89,Short's Brewing Company
215,,NVP - Nitro Vanilla Porter,-,5.40,3.89,Breckenridge Brewery
214,,Porter,-,5.80,3.44,Scuttlebutt Brewing Company
213,,Butte Creek Organic Porter,90,6.10,3.55,Butte Creek Brewing Company
213,,Pay It Forward Cocoa Porter,-,7.00,3.85,West Sixth Brewing Company
212,,For Pete's Sake Imperial Chocolate Peanut Butter Porter,-,9.00,3.93,DuClaw Brewing Company
210,,Biere De Chocolat,-,5.60,3.66,Almanac Beer Co.
209,,Trick Or Treat,-,7.80,3.56,Evil Genius Beer Company
209,,Fernet Aged Porter,94,9.80,3.86,Odell Brewing Company
209,,Early Riser Coffee Porter,91,5.00,3.94,Boulevard Brewing Co.
204,,Guilty Filthy Soul Imperial Chocolate Rye Porter,-,7.70,4.03,DuClaw Brewing Company
203,,Mocha Machine,-,9.20,4.36,Beachwood BBQ & Brewing
203,,Black Butte XXVIII,-,11.50,4.28,Deschutes Brewery
202,,Window Seat,-,6.00,3.94,Baxter Brewing Co.
198,,Imperial Tanilla Porter,-,10.00,3.89,Knee Deep Brewing Company
196,,Gorges Smoked Porter,-,7.50,3.81,Ithaca Beer Company
196,,Rapadou Porter,90,9.00,4,AleWerks Brewing Company
195,,Pig Iron Porter,-,5.40,3.92,Iron Hill Brewery & Restaurant
195,,St. Charles Porter,-,5.80,3.72,Blackstone Restaurant & Brewery
194,,Palmetto Espresso Porter,-,5.80,3.87,Palmetto Brewing Company
190,,Ship Wreck Porter,96,10.00,4.22,Carton Brewing Company
190,,Tokyo Black,-,5.00,3.74,Yo-Ho Brewing Company
190,,Moor Porter,89,7.00,3.77,Cisco Brewers Inc.
189,,Panther,-,5.80,3.75,Rhinegeist Brewery
188,,Intensified Coffee Porter,91,11.80,4.04,Brooklyn Brewery
186,,Coffee And Cigarettes,-,7.60,4.27,Cellarmaker Brewing Co.
185,,Mesquite Smoked Porter - MSP,-,6.10,3.8,Ranger Creek Brewing & Distilling
183,,Koko Buni,91,6.80,4.25,Creature Comforts
182,,Perseus Porter,89,5.39,3.86,Elysian Brewing Company
180,,Black Ball Porter,-,8.00,4.04,To Øl
175,,Graham Cracker Porter,94,5.60,3.78,Denver Beer Co.
174,,Paradise Porter,-,6.24,3.84,Diamond Bear Brewing Company
170,,Choc Lobster,-,5.60,3.73,Dogfish Head Craft Brewery
167,,Old Neighborhood Oatmeal Porter,-,5.50,3.79,Mother Earth Brewing
165,,Café Silk Porter,-,6.20,4.04,Hoppin' Frog Brewery
165,,Red Brick Porter,92,7.70,3.82,Red Brick Brewing Company
164,,Akevitt Porter (Barrel-Aged Porter),-,10.00,4.01,HaandBryggeriet
163,,Who's Your Daddy? Bourbon Barrel-Aged Imperial Porter,-,7.50,4.29,Tyranena Brewing Company
163,,Ghost Pigeon Porter,-,5.80,4.12,New England Brewing Co.
163,,Hellfighter,-,9.50,3.99,Karbach Brewing Co.
161,,As You Wish...,-,11.00,4.4,Pipeworks Brewing Company
161,,Leaning Chimney Porter,-,6.00,3.76,Grey Sail Brewing of Rhode Island
160,,Pile O' Dirt Porter,-,6.00,3.77,Crow Peak Brewing
157,,Smoke From The Oak (Rum Barrel Imperial Version),-,12.00,3.85,Captain Lawrence Brewing Co.
157,,Peanut Butter Raincloud,-,5.40,3.86,Foolproof Brewing Company
155,,Charles River Porter,95,5.90,3.98,Cambridge Brewing Company
155,,Stegmaier Porter,86,5.60,3.68,"Lion Brewery, Inc."
154,,Pilot Rock Porter,-,5.80,3.85,Caldera Brewing Company
,,,,,,
,,,,,,
,,,,,,
,,,,,,Brewery
154,,Deep Enders Dark Porter,82,5.50,3.75,Anderson Valley Brewing Company
153,,Wake Up Call Imperial Coffee Porter,87,7.50,4.03,Grand Teton Brewing Co.
153,,Midnight Madness Smoked Porter,-, ? ,3.42,Rock Art Brewery
153,,Week Sauce Coffee Porter,-,6.00,3.99,Left Hand Brewing Company
151,,XS Imperial Porter,-,8.20,4.08,Rogue Ales
150,,Saranac S'More Porter,-,6.20,3.87,Matt Brewing Company / Saranac Brewery
149,,Wachusett Black Shack Porter,89,5.30,3.76,Wachusett Brewing Company
149,,Java Sutra Coffee Porter,80,6.50,3.75,Three Heads Brewing
147,,Vanilla Joe,-,6.80,4.39,Sante Adairius Rustic Ales
147,,Nutcase,-,5.00,3.73,Listermann Brewing Supply & Mfg
147,,Raven Mad Imperial Porter,-,7.80,3.7,BridgePort Brewing Co. / Brewpub
147,,Perc E Bust,-,6.00,3.76,Full Pint Brewing Company
147,,Nightswim,-,6.20,3.69,Coppertail Brewing Co.
146,,Bourbon Barrel Hellfighter (w/ Vanilla Bean),-,11.00,4.23,Karbach Brewing Co.
146,,God Damn Pigeon Porter,-,8.20,4.02,Spiteful Brewing
146,,Smoked Pigasus,-,6.00,3.82,4 Hands Brewing Co.
145,,Imperial Coconut Porter,-,9.40,4.27,Maui Brewing Co.
144,,King's Peak Porter,80,4.00,3.41,Uinta Brewing Company
143,,Top Sail Imperial Porter - Bourbon Barrel Aged (Brewmaster Reserve 2012),-,9.50,3.42,Full Sail Brewery & Tasting Room & Pub
143,,Stoneface Porter,-,5.50,4.04,Stoneface Brewing Co.
142,,Mexican Standoff,-,8.50,4.02,Due South Brewing Co.
140,,Reserve Ale - Bourbon Barrel Aged Porter,-,6.70,3.59,Cricket Hill Brewing Co.
135,,PM Porter,-,6.40,3.63,BJ's Restaurant & Brewhouse
135,,Elevator Horny Goat,83,7.50,3.56,Elevator Brewery & Draught Haus
134,,Café Negro Coffee Infused Porter,80,5.50,3.57,BridgePort Brewing Co. / Brewpub
134,,Beanhead Coffee Porter,-,5.70,3.93,Rushing Duck Brewing Company
134,,Cafe Ole Espresso Porter,-,5.90,3.82,Due South Brewing Co.
134,,Deadeye Jack Porter,-,6.00,3.95,Lonerider Brewing Company
133,,One Eyed Jack (Black Jack Porter),-,6.60,3.69,The Brew Kettle Taproom & Smokehouse / Production Works
133,,Coffee Porter,-,6.00,4.04,Smog City Brewing
133,,Chub Step,-,6.00,3.93,Half Acre Beer Company
133,,Orange Yuzu Glad I Said Porter,-,6.00,3.99,Mikkeller ApS
132,,Lake Louie Tommys Porter,-,5.70,3.84,Lake Louie Brewery Company
131,,Chavez,-,6.50,4.01,Sante Adairius Rustic Ales
131,,Vanilla Infused Porter (V.I.P.),-,5.90,3.79,Hop Valley Brewing Company
131,,Rocket Fuel,-,4.60,4.16,8th Wonder Brewery
130,,Steam Train Porter,100,5.00,4.09,Snoqualmie Falls Brewing Company & Taproom
130,,Starlit,-,5.80,3.67,Magic Hat Brewing Company
130,,Wasatch Polygamy Nitro Porter,85,6.00,3.72,Utah Brewers Cooperative
130,,Generation Porter,-,5.73,3.4,Sprecher Brewing Company
129,,Tower Tuesday Series: Infusion A Coffee Porter,-,6.20,4.21,Hoppin' Frog Brewery
129,,Kudzu Porter,-,5.50,3.59,Back Forty Beer Co.
129,,Devil's Work,-, ? ,4.02,Surly Brewing Company
128,,Smoke From The Oak (Apple Brandy Imperial Version),-,12.00,3.98,Captain Lawrence Brewing Co.
128,,Shirley Mae,-,4.00,4.18,Hill Farmstead Brewery
127,,Vanillaphant Porter,-,6.20,3.7,Avondale Brewing Co.
125,,OP Porter,-,6.30,3.77,Funky Buddha Brewery
124,,King Coconut Porter,-,5.40,4.01,Catawba Brewing Co.
123,,Blackberry Porter,-,6.50,3.78,Cannery Brewing Company
123,,Winterland,-,7.50,3.75,Hinterland Brewery Restaurant
,,,,,,
,,,,,,
,,,,,,
,,,,,,Brewery
123,,Kuhnhenn Penetration Porter,-,5.50,3.86,Kuhnhenn Brewing Company
123,,Parade Ground Coffee Porter,-,7.00,3.91,Tin Roof Brewing Company
122,,Bad Moon Porter,-,5.10,3.83,DuClaw Brewing Company
121,,Stone Vanilla Bean Porter,-,5.90,3.74,Stone Brewing
121,,Bacon & Eggs Porter,-,9.50,4.17,Pizza Port Solana Beach
120,,Tuckaleechee Porter,-,6.30,3.8,Smoky Mountain Brewery & Restaurant
118,,Peanut Butter Porter,-,5.30,4.23,Dangerous Man Brewing
118,,Big Jamoke,90,6.80,3.93,Marshall Brewing Company
118,,Peak XV Imperial Porter,64,8.50,3.13,Black Diamond Brewing Co.
117,,Yodo Con Leche,-,8.20,4.03,5 Rabbit Cerveceria
116,,Fifth Voyage Coconut Porter,-,6.10,3.5,Cranker's Brewery
116,,Porter,52,6.00,3.77,HaandBryggeriet
115,,Coffee Eugene,-,7.00,4.26,Revolution Brewing
115,,Newport Storm Blizzard Porter,71,5.90,3.54,Coastal Extreme Brewing Co.
113,,Switchback Dooley's Belated Porter,-,5.70,3.75,Switchback Brewing Company
113,,Ode To A Russian Shipwright,-,7.50,3.92,Olvalde Farm and Brewing Company
112,,Imperial Porter (Brewmaster Reserve),-,9.50,3.84,Full Sail Brewery & Tasting Room & Pub
112,,G.O.R.P. (Good Old Raisins & Peanuts),-,8.40,4.05,Carton Brewing Company
110,,Winter Ale - Chocolate Mint Porter,-,6.20,3.43,Bootlegger's Brewery
110,,Coffee Is For Closers,-,6.00,3.8,Fullsteam Brewery
110,,Viven Porter,-,7.00,3.92,Brouwerij Van Viven
109,,Bonfire - Imperial Porter,-,8.00,3.51,Napa Smith Brewery
109,,Bourbon Barrel Aged Hellfighter (w/Chocolate),-,12.50,4.16,Karbach Brewing Co.
109,,Pop's Porter,-,6.20,3.91,Wynwood Brewing Company
108,,Identity Crisis,-,6.90,4.01,MadTree Brewing
108,,Total Eclipse Rye Porter,-,6.00,3.92,Brewmaster Jack
107,,Barrel Aged Alpha Klaus,-,10.00,4.18,3 Floyds Brewing Co.
107,,Stock Porter,-,5.70,3.51,Telegraph Brewing Company
107,,War Hammer,-, ? ,3.61,Valkyrie Brewing
105,,Porter,89,6.00,3.89,Back East Brewing Company
104,,Flying Monkeys Acadian Groove Canadian Maple Porter,-,10.00,4.15,Flying Monkeys Craft Brewery
104,,Mystery Romp,-,6.50,3.99,Crooked Letter Brewing Co.
104,,Imperial Coffee And Cigarettes,-,10.40,4.41,Cellarmaker Brewing Co.
104,,Vanilla Porter,-,6.00,3.72,Rohrbach Brewing Company (Brewpub)
103,,Ascension Coffee Porter,-,6.90,4.06,Community Beer Company
103,,Gandy Dancer Porter,75,6.00,3.56,Potosi Brewing Company
102,,Badger Porter,-,5.00,3.36,Sand Creek Brewing Company
101,,Barrel Aged Imperial Chocwork Orange,-,11.00,4.45,Funky Buddha Brewery
101,,Nickel Brook Maple Porter,-,6.00,3.48,Nickel Brook Brewing Co.
101,,Coco Jones,-,5.90,4.1,Black Raven Brewing Co.
100,,JP's Yabba Dhaba Chai Tea Porter,-,5.50,3.46,James Page Brewing Company
99,,Sodbuster,-,6.10,3.76,Fargo Brewing Company
99,,Angels With Filthy Souls,-,6.30,3.44,Bissell Brothers Brewing Co.
98,,Toasted Coconut Porter,-,5.25,3.02,Orange Blossom Pilsner LLC
98,,Chelsea Porter,-,5.00,3.64,Moylan's Brewery
97,,Evil Twin / Two Roads Pachamama,-,6.50,3.74,Evil Twin Brewing
97,,Costa Rica (Coffee Porter),-,6.20,3.91,HaandBryggeriet
96,,McNeill's Pullman's Porter,-,5.50,3.77,McNeill's Brewery
96,,Piiti Porter,-,6.30,4.04,Funky Buddha Brewery
95,,Porter Rico Coconut Porter,-,5.50,3.74,Arcadia Brewing Company
,,,,,,
,,,,,,
,,,,,,
,,,,,,Brewery
95,,Rugporter,-,8.50,4.05,Amager Bryghus
95,,Lost Arrow Porter,-,5.00,3.51,Rush River Brewing Company
94,,Block Party Robust Porter,84,5.70,4.12,Four Corners Brewing Company
94,,Point Reyes Porter,-,6.00,3.91,Marin Brewing Company
94,,Smoked Porter,92,5.20,3.77,Epic Brewing Company
94,,Oatmeal Porter,-,6.00,3.82,Zipline Brewing Co
93,,Imperial Porter,-,10.80,3.6,Ten Ninety Brewing Company
92,,Smoke From The Oak (Wine Barrel Imperial Version),-,12.00,3.94,Captain Lawrence Brewing Co.
92,,Sasquash,-,5.00,3.83,Milwaukee Brewing Company
92,,Rye Porter,-,6.00,3.52,Peace Tree Brewing Co.
92,,Gran Sport Porter,-,5.20,4.14,Coop Ale Works
91,,Shastafarian Porter,-,6.00,3.78,Mount Shasta Brewing
89,,Kanc Country Maple Porter,-,5.60,3.35,Woodstock Inn Brewery
88,,NightCall,-,6.50,3.7,Karben4 Brewing
88,,Port Jeff Porter,-,6.50,3.93,Port Jeff Brewing Company
88,,Up All Night Breakfast Porter,-,10.00,4.03,Triple C Brewing Co.
88,,Mangalitsa Pig Porter,87,6.00,4.01,Right Brain Brewery
87,,CB's Double Dark Cream Porter,-,5.00,3.87,CB Craft Brewers
87,,Bourbon Barrel Aged Up All Night Breakfast Porter,-,10.00,4.13,Triple C Brewing Co.
86,,Toasted Coconut Chocolate Porter,-,6.20,4.08,Caldera Brewing Company
86,,Chocolate Oatmeal Porter,-,6.00,4.01,Blue Pants Brewery
86,,Hustle,-,7.80,4.06,Tree House Brewing Company
86,,White Mountain Porter,92,5.80,4,Big Island Brewhaus & Tako Taco Taqueria
86,,Georgetown  Porter,-,6.90,4.05,Georgetown Brewing Company
86,,Pandemic Imperial Porter,85,9.60,3.78,3 Stars Brewing Company
85,,Black Earth Porter,-, ? ,4.14,Great Dane Pub & Brewing Company (Downtown)
84,,Obsidian Imperial Porter - Rum Barrel Aged,-,9.20,3.82,Cameron's Brewing Co.
84,,Devil Bird Holiday Ale,-,8.50,3.7,Lavery Brewing Company
84,,Gonzo's Bigg Dogg Vanilla Porter,-,7.00,3.91,Gonzo's Biggdogg Brewing
83,,PM Porter,-,6.40,3.59,BJ's Chicago Pizza & Brewery Inc.
83,,Nosedive,-,6.75,3.77,The Shed Brewery
82,,Belfast Black,-,7.50,3.74,Lavery Brewing Company
82,,Blackwater Porter,-,5.43,3.83,Orlando Brewing Partners
81,,Calling All Cars - Coffee Donut Porter,-,5.70,3.73,Due South Brewing Co.
81,,Double Porter Smoked,-,8.00,3.77,Rock Art Brewery
81,,Black Tie Chocolate Vanilla Porter,-,7.20,3.78,Lake Placid Craft Brewing Company
80,,Pin-up Porter,-,5.50,3.68,Southern Oregon Brewing Company
80,,Outskirts,-,14.50,4.46,Cigar City Brewing
80,,Black Oak Nutcracker Porter,-,5.80,3.9,Black Oak Brewing Co.
80,,Snow Weasel,-,6.20,4.18,3 Floyds Brewing Co.
80,,Number 22 Porter,-,6.40,3.56,Big Bend Brewing Co.
79,,Blue Law Porter,-,5.90,3.63,Epic Brewing Company
78,,Infidel Porter,-,6.00,4.09,Wicked Weed Brewing
78,,Smoke Signal,91,6.80,4.02,Swamp Head Brewery
77,,Lost Souls,-,6.50,3.75,Parallel 49 Brewing Company
77,,Top Sail Imperial Porter (Brewmaster Reserve),-,7.50,3.86,Full Sail Brewery & Tasting Room & Pub
77,,Barn Dog,-,7.00,3.63,Wyndridge Farm Brewing
77,,Vanilla Porter,-,5.40,4.05,Dry Dock Brewing Co.
77,,Signature Series Double Coffee Porter,-,9.30,4.21,Dry Dock Brewing Co.
76,,Bell Cow,-,5.60,4.11,JDub's Brewing Company
,,,,,,
,,,,,,
,,,,,,
,,,,,,Brewery
76,,Big Black Jack (Imperial Chocolate Pumpkin Porter),-,7.50,3.71,Oakshire Brewing
75,,Robust Porter,-,6.00,3.84,Reuben's Brews
74,,Allegro Coffee Porter,-,7.20,3.94,Rogue Ales
74,,Old 504,-,6.00,3.95,Chafunkta Brewing Co.
74,,Jack The Quaffer Porter,-,5.00,3.94,Tampa Bay Brewing Co.
74,,Hale's Troll Porter,90,7.00,3.83,Hale's Ales Brewery & Pub
