Ratings,Style,Name,Bros,ABV,Avg,Brewery
436,,Samuel Adams Nitro Coffee Stout,-,5.80,3.81,Boston Beer Company (Samuel Adams)
422,,Boatswain Chocolate Stout,-,5.40,3.37,Minhas Craft Brewery
421,,Bell's Rye Stout,-,6.70,3.88,"Bell's Brewery, Inc."
419,,Luna Coffee Stout,-,5.60,3.71,Hinterland Brewery Restaurant
417,,Maple Breakfast Stout,-,5.50,3.73,14th Star Brewing Co.
378,,Pisgah Valdez,-,6.20,4.15,Pisgah Brewing Co.
370,,Overcast Espresso Stout,84,5.80,3.86,Oakshire Brewing
324,,"Survival ""7-Grain"" Stout",93,5.30,4.01,Hopworks Urban Brewery
319,,CEO Stout,-,5.50,3.82,Right Brain Brewery
310,,Baumé,-,7.00,3.94,Half Acre Beer Company
307,,Black Phoenix (Chipotle Coffee Ale),-,6.70,3.77,Bootlegger's Brewery
,,,,,,
,,,,,,
,,,,,,
,,,,,,Brewery
305,,Kuhnhenn Crème Brûlée Java Stout,-,5.80,3.99,Kuhnhenn Brewing Company
303,,Oompa Loompa Chocolate Cream Stout,-,6.50,3.72,Fat Head's Brewery & Saloon
302,,Irish Channel Stout,89,6.80,4.01,New Orleans Lager & Ale Brewing Company (NOLA)
298,,Secret Stairs Boston Stout,99,6.50,4.15,Trillium Brewing Company
284,,Night Of The Living Stout,-,7.10,3.68,Full Pint Brewing Company
277,,Saranac Vanilla Stout,76,4.80,3.4,Matt Brewing Company / Saranac Brewery
266,,Naked Fish,-,4.60,3.55,DuClaw Brewing Company
262,,Hickory Stick Stout,95,5.80,3.67,Olde Hickory Brewery
257,,Big Shot Espresso Stout (Timberline Series),85,6.00,3.67,Twisted Pine Brewing Company
257,,Black House W/ Coconut & Cacao Nibs,-,5.80,4.12,Modern Times Beer
255,,Planet Bean Coffee Stout,-,7.00,4.05,Spring House Brewing Company
255,,Redband Stout,-,6.00,4.08,Great River Brewery
254,,Dundee Stout,80,5.80,3.54,Genesee Brewing Co. / Dundee Brewing Co.
248,,JP's Casper White Stout,-,6.00,3.5,James Page Brewing Company
246,,The Martians Kidnap Santa! (Egg Nog Stout),-,8.30,3.77,Spring House Brewing Company
245,,Bourbon Barrel Buffalo Sweat,-,7.00,3.75,Tallgrass Brewing Company
242,,Rise,-,7.20,4.05,Revolution Brewing
241,,Winter Grind,-,6.00,3.94,Mother's Brewing Company
238,,Java Chip Mint Stout,-,6.00,3.77,Odd Side Ales
230,,Bourbon Barrel Aged Buffalo Sweat With Vanilla Beans & Cinnamon,-,5.80,3.72,Tallgrass Brewing Company
227,,Siren / Cigar City Caribbean Chocolate Cake,-,7.40,4.15,Siren Craft Brew
225,,Morning Wood,-,5.50,3.55,Big Wood Brewery
220,,Midnight Oil Stout,-,5.00,3.86,Swamp Head Brewery
216,,Big Slick Stout,-,7.00,4.09,Ale Asylum
216,,Cocoa Fuego,-,7.50,3.59,DuClaw Brewing Company
212,,Atwater Cherry Stout,-,6.50,3.1,Atwater Brewery
210,,Blueberry Maple Stout,-,6.00,3.9,Saugatuck Brewing Company
209,,Feast Of Fools,94,6.00,3.93,Magic Hat Brewing Company
208,,Aces & Ates,92,8.00,3.94,Big Boss Brewing
207,,Java The Stout,-,6.50,4.22,Jackie O's Pub & Brewery
206,,Chocolade Koffie Stout,-,6.00,3.85,Odd Side Ales
200,,G.F.Y. Stout,-,8.00,4.07,Spiteful Brewing
198,,Vernal Minthe Stout,-,5.80,3.72,Ska Brewing Co.
198,,825 State Stout,-,6.30,3.65,Epic Brewing Company
194,,Rise Of Mayan Dog,-,7.00,3.85,Thirsty Dog Brewing Company
189,,Breakout Stout,-,7.80,3.87,Jailhouse Brewing Company
186,,Rhinelander Chocolate Bunny American Stout,-,5.50,2.99,Minhas Craft Brewery
186,,Old Plowshare Stout,90,5.70,3.83,North Coast Brewing Co.
185,,Chocolate Milk Stout,-,6.30,4.16,Dangerous Man Brewing
185,,Unearthed,-,7.90,4.01,Long Trail Brewing Co.
178,,Black Strap Stout,-,6.20,4.07,East End Brewing Company
176,,Norm,-,6.80,4.17,Wormtown Brewery
175,,Arbor Brewing Espresso Love,79,7.50,3.19,Arbor Brewing Company
173,,S'more Stout,-,7.70,3.61,Base Camp Brewing Company
171,,Pretzel Stout,-,6.50,3.84,Martin House Brewing Company
168,,Dubious Black Chocolate Stout,-,5.30,3.5,North Peak Brewing Company
168,,Chocolate Meltdown,-,5.50,3.8,Pennsylvania Brewing Company
164,,Lilja's Sasquatch Stout,-,7.00,3.74,Sand Creek Brewing Company
162,,Single Origin Coffee Stout Ethiopian Hambela,-,5.70,4.05,Terrapin Beer Company
162,,Buck Snort Stout,-,6.90,3.95,North Country Brewing
,,,,,,
,,,,,,
,,,,,,
,,,,,,Brewery
161,,Ursa Minor,-,6.70,3.89,Rising Tide Brewing Company
161,,The Patsy,-,6.60,4.21,Barley Forge Brewing Co.
159,,Coffee Stout,-,6.00,3.75,Thimble Island Brewing Company
152,,Naughty Girl Stout,-,5.60,3.81,Right Brain Brewery
149,,Strawberry Milk Stout,-,5.90,3.69,Ranger Creek Brewing & Distilling
147,,Lake Trout Stout,-,4.70,3.85,Sebago Brewing Company
143,,Short's S'more Stout,-,9.20,3.28,Short's Brewing Company
142,,Uroboros Stout,-,8.50,3.81,Anthem Brewing Company
141,,Terminator Stout,-,6.45,3.79,McMenamins
137,,Sugar Shack,-,6.50,3.78,Third Street Brewhouse
137,,Organic Portland Roast Espresso Stout,90,6.00,3.97,Laurelwood Public House & Brewery
131,,Bell's Sweet Potato Stout,-,6.10,3.66,"Bell's Brewery, Inc."
130,,Bourbon Barrel Aged Stout,-,7.00,4.15,Foothills Brewing Company - Downtown Brewpub
126,,Cinnamon Raisin Commodore,-,6.50,3.83,Ballast Point Brewing Company
125,,The Awakening Coffee Stout,-,6.60,4.31,Angry Chair Brewing
125,,Stout,-,7.00,3.84,Foothills Brewing Company - Downtown Brewpub
124,,Jingle Java,-,5.40,3.81,Bent River Brewing Company
124,,865cc Coffee Stout,-,6.90,4.06,DuClaw Brewing Company
123,,Bissinger's King Louie Winter Stout,-,6.30,3.75,O'Fallon Brewery
122,,Chocolate Peanut Butter Stout,-,6.80,4.19,Rapp Brewing Company
122,,"Short, Dark & Handsome",-,7.40,3.99,Other Half Brewing Co.
121,,Rubus Cacao,-,7.00,4.13,MadTree Brewing
120,,The Devil's Invention,-,7.00,4.11,4 Hands Brewing Co.
120,,Midnight Sun Espresso Stout,-,6.20,3.84,Yukon Brewing Company
119,,Joe Daddy Imperial Coffee Stout,-,8.50,4.11,Pig Minds Brewing Co.
115,,Deadeye,-,5.50,3.51,Triton Brewing Company
115,,DieselPunk Stout,-,5.80,3.28,World Brews
113,,Homewood Reserve,-,6.20,3.58,East End Brewing Company
112,,Port Omna,-,6.60,4.11,Kane Brewing Company
109,,Whole Hog Espresso Stout,-,6.50,3.77,Stevens Point Brewery
107,,Founders Frangelic Stout,-,4.20,4.2,Founders Brewing Company
101,,Rise & Grind,-,6.10,3.78,No-Li Brewhouse
101,,Sweep The Leg,-,7.00,3.54,Infamous Brewing Company
99,,Polaris,-,7.50,3.95,Rising Tide Brewing Company
98,,Cashmere Hammer,-,6.50,4.08,3 Sheeps Brewing
98,,Obsidian Nitro Stout,-,6.50,4.09,Deschutes Brewery
98,,Schlafly Raspberry Coffee Stout,-,7.00,3.85,The Schlafly Tap Room
98,,Bourbon Barrel Aged Lake Trout Stout,-,5.80,3.6,Sebago Brewing Company
98,,Winter Mingle,-,5.80,3.56,Magic Hat Brewing Company
96,,Polar Night Stout,-,8.00,3.81,RoughTail Brewing Co.
95,,Pistols At Dawn,-,9.00,4.17,Lonerider Brewing Company
95,,Stir Stick Stout,-,5.60,3.87,Half Pints Brewing Company
95,,Bourbon Barrel Stout,-,8.00,3.28,Goodwood Brewing Co.
94,,Bean Me Up Coffee Stout,-,6.50,4.06,Fat Head's Brewery & Saloon
94,,Black Me Stout,86,6.00,3.65,Champion Brewing Company
92,,Scratch Beer 212 - 2015 (Chocolate Stout),-,7.10,3.92,Tröegs Brewing Company
90,,Two-Headed Beast,-,4.50,3.62,High & Mighty Beer Co.
90,,Bim Bam Boom,-,7.40,3.83,Short's Brewing Company
90,,God Complex,-,9.00,4.25,The North Brewery
90,,Foundation Stout,-,6.30,4.02,Badger Hill Brewing Company
,,,,,,
,,,,,,
,,,,,,
,,,,,,Brewery
88,,Breakfast Stout,-,4.40,4.2,Backcountry Brewery
88,,Snowcat Coffee Stout,-,5.90,3.33,Crazy Mountain Brewing Company
88,,Stump Jumper Gnarly Stout,-,5.80,3.81,Rock Art Brewery
87,,Breakfast Of Champions,-,5.20,3.98,Voodoo Brewing Company
86,,Double Shot- Batch 500,-,8.60,4.68,Tree House Brewing Company
86,,Steam Engine Stout,-,6.40,3.51,Mountain Town Brewing Co.
85,,Portly Stout,-,6.20,3.74,Turtle Anarchy Brewing Company
84,,Green Man Forester,88,6.00,3.9,Green Man Brewery
83,,Espresso Stout,-,6.00,3.96,Captain Lawrence Brewing Co.
82,,Bell's Trumpeter's Stout,-,5.40,3.8,"Bell's Brewery, Inc."
81,,Good Boy Stout,-,6.50,3.74,RJ Rockers Brewing Company
81,,Stout,-,5.00,3.65,Mt. Carmel Brewing Company
81,,Venture Stout,-,6.20,3.95,The Unknown Brewing Co.
80,,Nils Oscar Coffee Stout,-,6.40,3.84,the Nils Oscar Company
79,,Stache In The Wood,-,5.30,3.66,Finch's Beer Co.
78,,Short's Carob Stout,-,6.40,3.71,Short's Brewing Company
78,,Hearths Ablaze,-,6.50,3.91,Half Acre Beer Company
78,,Darker Than Your Soul,-,6.80,3.87,Saugatuck Brewing Company
78,,Bourbon Barrel Coffee Mint Stout,-,6.10,3.53,South Shore Brewery
78,,North Ramp Coffee Stout,-,5.00,3.44,Saucony Creek Brewing Company + Gastropub
76,,Aphrodite Méchant,-,8.50,3.95,Brasserie Dieu du Ciel!
75,,Lights Out Stout,-,7.70,3.73,Worthy Brewing Co.
75,,Sundby Stout,-,6.20,3.86,Amager Bryghus
74,,Adam's Stout,-,5.40,3.41,Liquid Hero Brewery
74,,Skipper's Stout,-,7.20,3.62,Erie Brewing Co.
73,,Pisgah Nitro Stout,-, ? ,4.07,Pisgah Brewing Co.
73,,Mother's Little Fracker,-,7.75,4.28,Revolver Brewing
73,,Chocolate Avenue Stout,-,5.80,3.83,Appalachian Brewing Company
72,,Garden State Stout,-,6.60,3.59,New Jersey Beer Company
71,,Slow Hand Stout,-,5.20,4.09,Lucette Brewing Company
70,,Norweald Stout,-,6.50,3.95,Banded Horn Brewing Co.
70,,Professor Black,-,6.20,3.79,Blue Owl Brewing
70,,Snaggletooth Stout,-,6.50,3.94,Great South Bay Brewery
70,,Thunder Stout,-,4.95,3.93,Breckenridge Brewery
68,,Koffee Kream Stout,91,4.90,4.07,Comrade Brewing Company
68,,Mackinaw Fudge Donkey Stout,-,7.00,4.29,Founders Brewing Company
67,,6288 Stout,-,6.30,3.69,Tuckerman Brewing Co.
66,,North Third St. Stout,-,6.00,3.83,Blackrocks Brewery
66,,Double Shot - Columbia El Novado,-,7.60,4.48,Tree House Brewing Company
66,,Awaken Stout,-, ? ,3.73,Trinity Brewing Company
65,,Loup Garou,-,7.50,4.01,Bayou Teche Brewery
63,,The Roast,87,6.00,3.93,Henniker Brewing Co.
63,,Black Angel Stout,-,6.70,4,DESTIHL Brewery
62,,Kilgore Stout,-,7.10,4,Beachwood BBQ & Brewing
61,,Peanut Butter Cup Stout,-,6.00,3.77,Odd Side Ales
61,,Xbeeriment Barack (Xbeeriment #44),-,7.70,3.7,Xbeeriment I/S
61,,Jack's Java Espresso Stout,-,5.50,3.93,Three Notch'd Brewing Company
61,,Bell's Smoked Stout,-,6.00,3.94,"Bell's Brewery, Inc."
60,,Sweet Devil Stout,-,6.50,3.5,College Street Brewhouse & Pub
60,,Black River Oatmeal Stout,-,5.80,3.8,Paw Paw Brewing Company
,,,,,,
,,,,,,
,,,,,,
,,,,,,Brewery
60,,Revival,-,5.50,3.87,Port City Brewing
60,,The Jolly Woodsman,-,7.50,4.35,Banded Horn Brewing Co.
59,,Java Lava,-, ? ,3.95,Pearl Street Brewery
59,,George Hunter,-,8.00,4.1,Castle Danger Brewery
59,,Déesse Nocturne,-,5.00,4.11,Brasserie Dieu du Ciel!
58,,1st Meal,92,7.00,4.22,RAR Brewing (Realerevival)
58,,Bean-To Coffee Stout,-,7.00,3.6,Lake Placid Craft Brewing Company
58,,Horny Goat Chocolate Cherry Stout,-,6.30,2.88,Horny Goat Brewing Co.
57,,Ewephoria,-,7.40,3.74,3 Sheeps Brewing
57,,"Short, Dark & Wired",-,7.40,4.23,Other Half Brewing Co.
56,,Backbone Chocolate Espresso Stout,-,6.00,3.94,Boneyard Beer Company
56,,Stone Mint Coffee Milk Stout,-,5.00,3.72,Stone Brewing
55,,Railway City Black Coal Stout,-,6.00,3.75,Railway City Brewing Company
55,,Great Crescent Bourbon's Barrel Stout,-,7.50,3.61,Great Crescent Brewery
55,,Resolution Rye Stout,-,6.80,3.74,Old Forge Brewing Company
55,,Coke Oven Stout,-,5.00,3.33,Rust Belt Brewing Company
54,,Six Killer Stout,-,6.00,3.75,Ironfire Brewing Company
54,,Cat Spit Stout,-,5.00,3.51,2nd Shift Brewing
54,,Shot Down Chocolate Stout,-,5.80,3.57,The Fort Collins Brewery
53,,Flannel Pajamas Stout,-,5.40,3.61,Begyle Brewing Company
53,,The Talented Mr. Orangutan Orange Stout,-,5.80,3.79,Evil Twin Brewing
53,,Lights Out Stout,-,6.10,3.88,Barrier Brewing Company
52,,Chocolate Orange Stout,-,6.00,3.36,Breckenridge Brewery
52,,Winter Stout,-,6.50,3.93,Choc Beer Co. / Pete's Place
52,,Black 13,-,5.20,3.79,Boneyard Beer Company
52,,BJ's Tatonka Stout,-,8.50,3.25,BJ's Restaurant & Brewhouse
52,,Superstition Coffee Stout (Regular),-,6.60,4.07,Arizona Wilderness Brewing Co
52,,No Joka Mocha,-,6.90,3.97,Avondale Brewing Co.
52,,Devout Stout,69,5.00,3.29,Santa Cruz Mountain Brewing
52,,L’Exploité,-,6.50,3.58,Brasseurs Du Monde
51,,Mom Jeans,-,8.00,3.9,Hoof Hearted Brewing
51,,Little Mayhem,-,5.00,3.79,Marshall Wharf Brewing Company / Three Tides Restaurant
51,,Country Roots,-,5.50,3.8,Tennessee Brew Works
50,,TBD,91,7.20,3.93,Castle Island Brewing Co.
50,,Sad Panda Coffee Stout,-, ? ,3.83,Horse & Dragon Brewing Company
50,,Trade Day,-,6.20,3.99,Back Forty Beer Co.
49,,Coconut Stout,-,5.00,3.68,Church Brew Works
49,,Backside Stout,-, ? ,3.54,Steamworks Brewing Co.
49,,Wizard's Brew (Harry Potter),-, ? ,3.78,Florida Beer Company
49,,Shannon Chocolate Stout,-,5.70,4.06,Shannon Brewing Company
48,,Shuckolate Chocolate-Oyster Stout,-,6.00,3.78,Foolproof Brewing Company
48,,Left Coast Black Magic Stout,-,6.70,3.9,Left Coast Brewing Company
48,,The Java Man Cometh,-,7.00,3.89,The Dayton Beer Company
48,,Dorian Stout,-,5.10,4.17,Scarlet Lane Brewing Company
48,,10 Layers,-,7.20,4.46,RAR Brewing (Realerevival)
48,,Morning Time Breakfast Stout,-,6.00,4.14,Fieldwork Brewing Co.
47,,Jemmy Stout,-,6.40,4.03,The Wrecking Bar Brewpub
47,,Kelp Stout,-,6.00,3.79,Tofino Brewing Company
47,,Sunrise Coffee Stout,-,6.00,3.62,Cortland Beer Company
46,,Flying Monkey Four Finger Stout,-,4.80,3.7,Flying Monkey Brewing Company
,,,,,,
,,,,,,
,,,,,,
,,,,,,Brewery
46,,Jive Espresso Stout,-,7.50,3.33,Two Beers Brewing Co.
45,,Espresso Stout,-,4.60,3.49,Dark Star Brewing Company Limited
45,,Mint Stout,-,5.50,3.63,Mankato Brewery
45,,Black Jackal Imperial Coffee Stout,-,8.00,3.88,Phillips Brewing Company
45,,Scratch Beer 231 - 2016 (Chocolate Stout On Nitro),-,7.10,3.67,Tröegs Brewing Company
45,,Black Damnation VII - Single Black,-,2.00,3.6,De Struise Brouwers
45,,BruRm Damn Good Stout,-,6.00,4.15,The Brü Rm. at BAR
45,,The Defender American Stout,-,6.50,4.13,Haymarket Pub & Brewery
45,,Grumpess,-,7.80,3.89,Solemn Oath Brewery
44,,Heartstopper,-,7.50,4.06,Sherbrooke Liquor Store
44,,Stop Collaborate & Listen,-,9.80,4.08,Hailstorm Brewing Co.
43,,ArtiSnale,-,7.80,3.77,Tired Hands Brewing Company
42,,Leonard Croon's Old Mean Stout,70, ? ,3.52,Dunedin Brewery
42,,Coffee Stout,-,7.00,3.59,Upright Brewing Company
42,,Libation Propaganda  Coffee Stout,-,6.50,4.12,Outer Light Brewing Company
42,,Sponge Candy Stout,-,6.00,4.08,Resurgence Brewing Company
41,,Smidy Stout,-,5.20,3.43,Oskar Blues Grill & Brew
41,,Root Of Perception,-,8.00,3.87,Tired Hands Brewing Company
41,,Southdown Breakfast Stout,-,7.00,4.32,Sand City Brewing Co.
41,,Bump 'N' Grind Coffee Cream Stout,-,5.80,3.29,Ska Brewing Co.
41,,Black Powder Stout,-,6.20,3.75,Tommyknocker Brewery
41,,Miracle Toast,-,10.50,3.77,Hoof Hearted Brewing
40,,Steam Fired Stout,-,7.60,3.87,Fire Mountain Brew House
40,,Coffee Pot Bayou,-,5.50,3.99,Green Bench Brewing Co.
40,,StoutO))),-, ? ,4.02,TRVE Brewing Co.
40,,G.F.Y. Coffee Stout,-,8.00,4,Spiteful Brewing
40,,Local Coffee Stout,-,7.70,3.79,Freetail Brewing Company
39,,Black River Gumbo Stout,-,5.50,3.45,Peace Tree Brewing Co.
39,,Bourbon Barrel Aged Stout,-,7.00,3.65,Uinta Brewing Company
39,,Lightning Strike Stout,-,5.50,3.38,Rockyard Brewing
39,,Baby Face Vecchio,-,5.80,4,Tired Hands Brewing Company
38,,Velvet Panda Stout,-,5.10,3.88,Mill House Brewing Company
38,,ProPig Back To The Grind,-,4.50,3.84,Prohibition Pig
38,,Dark Star Stout,-,8.00,4.01,Big Lake Brewing
38,,Girl Stout Cookie,-,6.80,3.98,New Orleans Lager & Ale Brewing Company (NOLA)
38,,Hofblues,-,5.50,3.65,'t Hofbrouwerijke
37,,Sullivan's Stout,-,5.30,3.92,Horseheads Brewing Inc.
37,,John Paul Jones Stout White Chocolate And Raspberry,-,10.90,4.01,Brew Rebellion
37,,Thornfield's End,-,5.80,3.65,Mystery Brewing Company
37,,Kirin Ichiban Shibori Stout,-,5.00,3.46,"Kirin Brewery Company, Limited"
37,,Insana Stout,-,7.00,3.68,Prism Brewing Company
37,,White Nite,-,4.30,3.54,Angel City Brewery
37,,Whiteface Black Diamond Stout,-,6.80,4.09,Great Adirondack Steak And Seafood Co.
37,,Mornin Latte,-, ? ,4,Toppling Goliath Brewing Company
37,,The Commodore (Cinnamon & Raisin),-,6.50,3.88,Ballast Point Brewing Company
36,,Hazelnut Creme Stout,-,6.50,4.27,Whalers Brewing Company
36,,Onyx Coffee Stout,-,5.30,4.37,Ozark Beer Co.
36,,Stone Hammer Oatmeal Coffee Stout,-,5.00,3.8,F&M Brewery
36,,Wake Up Iowa Coffee Stout,-,6.00,3.94,Backpocket Brewing
36,,Neighborly Stout,-,6.00,3.8,Begyle Brewing Company
,,,,,,
,,,,,,
,,,,,,
,,,,,,Brewery
36,,Profanity Stout,-,7.00,3.9,Williams Brothers Brewing Company
36,,Hot Pistol,-,7.00,3.92,NoDa Brewing Company
35,,Coffee Bean Stout,-, ? ,3.21,Grand Canyon Brewing Company
35,,Cocoborealis,-,6.00,3.68,Chaos Mountain Brewing
35,,Check Raise,-,6.40,4.05,Idle Hands Craft Ales
35,,Velvet Elvis Stout,-,6.10,3.7,Oskar Blues Grill & Brew
35,,Broken Heart Stout,-, ? ,3.39,Broken Bow Brewery
35,,Fish Tale Organic Oatmeal Stout,-,6.40,3.8,Fish Brewing Company / Fishbowl Brewpub
35,,Penitence,-,6.40,3.93,Greenbush Brewing Company
35,,Nightmare On Gothard St.,-,8.90,3.9,Four Sons Brewing
35,,6th Seal Chocolate Stout,-,7.60,3.82,Apocalypse Ale Works
35,,Black Candle,-,6.20,4.06,Goose Island Beer Co.
34,,Roasted Cocoa Stout,-,6.10,3.93,Due South Brewing Co.
34,,I Hate My Boss Coffee Stout,-,6.50,4,Spiteful Brewing
34,,Cherry Bomb Stout,-,5.20,3.8,Strange Craft Beer Company
34,,Coffee Stout,-,6.00,3.72,Madhouse Brewing Company
34,,Op Tight,-,6.00,3.8,Bullfrog Brewery
34,,Gahan House Sydney Street Stout,-,5.20,3.78,The Gahan House
34,,Double Shot - Guatemala Bella Vista,-,8.50,4.58,Tree House Brewing Company
34,,In Absentia Luci - Rum Barrel Aged,-, ? ,4.29,Other Half Brewing Co.
34,,Roustabout Oatmeal Milk Stout,-,6.30,3.78,Fargo Brewing Company
33,,Grand Ridge Hatlifter Stout,-,4.90,3.37,Grand Ridge Brewing Co.
33,,Requiem Espresso Stout,-,7.00,3.41,Gentleman Scholar Brewing Co.
33,,Old Courthouse Stout,-, ? ,3,Trailhead Brewing Co
33,,Stampin' Ground Stout,-,4.50,3.74,Country Boy Brewing
33,,2 Sisters Stout,-,6.60,3.83,Amherst Brewing
32,,Ridge Run Stout,-,7.10,4.04,Backwoods Brewing Company
32,,Strait Stout,-,6.60,3.82,Port Townsend Brewing Company
32,,Double Shot - Costa Rica Montes De Oro,-,8.70,4.73,Tree House Brewing Company
32,,Near And Dear,-,8.00,3.93,Brewmaster Jack
31,,Black Onyx Stout,-,6.20,3.76,Kutztown Tavern
31,,Sledgehammer Stout,-,6.10,3.96,Huske Hardware House Brewing Company
31,,Four In Hand Stout,-,5.80,3.46,World Brews
31,,Nate's Coffee Stout,-,8.00,4.13,Country Boy Brewing
31,,Chocolate Cheesecake Milkshake Stout,-,5.25,3.99,Rochester Mills Beer Co.
30,,Dream Shake Stout,-,8.00,4.07,8th Wonder Brewery
30,,We Shuck On The First Date,-,6.60,3.83,Against The Grain Brewery & Smokehouse
30,,Stern Line Stout,-,5.20,3.66,3 Daughters Brewing
30,,Chocolate Giddyup,-,6.60,3.87,Short's Brewing Company
30,,Breakfast Stout,-,6.50,3.98,Barley Brown's Brewpub
30,,Turtles On Pterodactyls,-,5.90,3.77,Birdsong Brewing
30,,Southside Stout,-,6.40,3.68,Excel Brewing Company
30,,Local Mocha Coffee Stout,-,4.50,3.79,Keuka Brewing Company
30,,Espresso Stout,-,8.00,3.66,Aftershock Brewing Co.
29,,Elegant Hoodlum,-,7.00,3.92,Sideswipe Brewing
29,,Chocofrut Pina,-, ? ,4.02,5 Rabbit Cerveceria
29,,Voltage Espresso Stout,-,5.60,3.72,Hoyne Brewing Co.
29,,Black Currant Stout,-,8.50,4.05,St. Boniface Craft Brewing Company
29,,Tun Tavern Leather-Neck Stout,-,6.00,3.67,Tun Tavern
29,,Black Stiletto Stout,-,6.10,3.68,Gizmo Brew Works
,,,,,,
,,,,,,
,,,,,,
,,,,,,Brewery
29,,Snowman Stout,-,5.20,3.05,Jackalope Brewing Company
29,,Black Lab Stout,-,5.50,3.98,Big Dog's Draft House
29,,Péché Véniel,-,6.00,3.98,Brasserie Dieu du Ciel!
29,,Tweeds Tavern Stout,-,5.00,3.67,Twin Lakes Brewing Co.
29,,Chouteau Joe,-,5.20,3.95,Urban Chestnut Brewing Company - Midtown Brewery & Biergarten
29,,Maple Stout,-,4.50,4.08,Square One Brewery & Distillery
28,,2AM Bike Ride,-,4.60,4.17,Fall Brewing Company
28,,Kenmount Road Chocolate Stout,-,5.60,3.47,Amber's Brewing Co.
28,,Star Spangled Stout Ale,-,6.00,3.95,RJ Rockers Brewing Company
28,,Carpe Brewem Barrel Aged Nibbed In The Barrel Oatmeal Stout,-,7.40,3.66,Empyrean Brewing Company
28,,R & R Oatmeal Stout,-,5.40,3.97,Beaver Street Brewery & Whistle Stop Cafe
28,,Swanton Rea's Double Chocolate Stout,-,8.00,2.82,Hermitage Brewing
28,,Rusalka Vanilla Stout,-,5.30,3.38,Portside Distillery & Brewery
28,,Coffee Please Stout,-,6.00,3.97,Fifty West Brewing Co
28,,Sternwheeler Stout,-,5.50,3.9,Ice Harbor Brewing Company
28,,Kona Imperial Stout,-,6.50,3.89,Fort Garry Brewing Company Ltd.
28,,Iron Rat Stout,-,5.30,3.65,Tampa Bay Brewing Co.
28,,Southsidenstein Stout,-,5.70,3.72,Terminal Brewhouse
