,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,DATE,OPPONENT,ARENA
34,"NOV 21, 2016 - SAS vs. DAL",W,20,3,1,3,33.3,1,3,33.3,0,0,0.0,1,1,2,0,0,0,0,0,-5,2016-11-21 00:00:00,DAL,HOME
35,"NOV 18, 2016 - SAS @ LAL",W,7,3,1,2,50.0,1,2,50.0,0,0,0.0,0,1,1,0,0,0,0,2,-9,2016-11-18 00:00:00,LAL,AWAY
36,"NOV 16, 2016 - SAS @ SAC",W,17,7,2,5,40.0,2,5,40.0,1,2,50.0,1,1,2,3,0,2,0,3,3,2016-11-16 00:00:00,SAC,AWAY
37,"NOV 14, 2016 - SAS vs. MIA",W,0,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,2016-11-14 00:00:00,MIA,HOME
38,"NOV 11, 2016 - SAS vs. DET",W,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,2,2016-11-11 00:00:00,DET,HOME
39,"NOV 09, 2016 - SAS vs. HOU",L,9,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,-5,2016-11-09 00:00:00,HOU,HOME
40,"NOV 05, 2016 - SAS vs. LAC",L,16,0,0,3,0.0,0,2,0.0,0,0,0.0,0,1,1,0,0,1,1,1,-5,2016-11-05 00:00:00,LAC,HOME
41,"NOV 04, 2016 - SAS @ UTA",W,16,0,0,4,0.0,0,3,0.0,0,0,0.0,1,2,3,1,0,0,0,2,8,2016-11-04 00:00:00,UTA,AWAY
42,"OCT 30, 2016 - SAS @ MIA",W,17,6,2,3,66.7,2,3,66.7,0,0,0.0,1,0,1,0,0,1,0,2,7,2016-10-30 00:00:00,MIA,AWAY
43,"OCT 29, 2016 - SAS vs. NOP",W,12,3,1,4,25.0,1,2,50.0,0,0,0.0,1,2,3,0,0,2,2,1,-2,2016-10-29 00:00:00,NOP,HOME
44,"OCT 25, 2016 - SAS @ GSW",W,4,5,2,2,100.0,1,1,100.0,0,0,0.0,0,1,1,0,0,0,0,0,6,2016-10-25 00:00:00,GSW,AWAY
