PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
Marcus Morris,DET,27,52,25,27,32.9,14.2,5.4,12.8,42.5,1.6,4.7,33.7,1.8,2.2,80.0,0.9,3.6,4.5,2.1,1.1,0.8,0.3,2.0,3,0,1.1
Kentavious Caldwell-Pope,DET,23,48,22,26,33.6,14.2,5.0,12.1,41.3,2.1,5.5,39.2,2.1,2.5,82.6,0.8,2.6,3.4,2.9,1.2,1.4,0.2,1.7,1,0,1.1
Zach Randolph,MEM,35,47,28,19,24.4,14.2,6.1,13.3,45.6,0.3,1.3,26.2,1.7,2.2,74.3,2.4,5.9,8.3,1.7,1.2,0.5,0.1,2.0,13,0,2.0
D'Angelo Russell,LAL,20,39,15,24,26.5,14.2,5.0,12.7,39.4,1.9,5.6,33.9,2.3,3.0,75.9,0.6,3.2,3.8,4.8,2.6,1.2,0.3,2.0,2,0,-2.4
Nikola Vucevic,ORL,26,52,19,33,28.5,14.1,6.3,13.2,48.2,0.3,1.0,28.0,1.2,1.9,61.0,2.2,7.7,9.9,2.9,1.7,0.9,1.0,2.4,24,0,-2.1
Jae Crowder,BOS,26,44,30,14,32.5,14.0,4.8,10.0,47.6,2.3,5.6,41.5,2.1,2.4,88.6,0.6,4.7,5.3,2.2,1.0,1.1,0.3,2.2,2,0,5.0
Jeremy Lin,BKN,28,12,3,9,25.0,13.9,5.1,10.8,46.9,1.3,4.0,33.3,2.4,3.4,70.7,0.2,3.1,3.3,5.8,2.7,1.4,0.6,1.0,2,0,-4.3
Nick Young,LAL,31,48,17,31,26.4,13.8,4.8,10.7,44.3,2.9,7.0,41.3,1.4,1.6,84.8,0.5,1.9,2.4,1.0,0.6,0.6,0.3,2.4,0,0,-2.3
Jordan Clarkson,LAL,24,55,18,37,27.4,13.8,5.5,12.2,45.0,1.2,3.7,32.7,1.5,1.9,80.0,0.7,2.2,2.9,2.1,1.9,1.2,0.1,1.8,0,0,-4.2
Sean Kilpatrick,BKN,27,52,8,44,26.3,13.7,4.6,10.9,42.0,1.6,4.4,35.5,2.9,3.5,83.6,0.3,3.8,4.1,2.3,2.3,0.7,0.1,1.9,3,0,-4.6
Ryan Anderson,HOU,28,53,37,16,30.8,13.7,4.5,10.8,42.1,2.7,6.8,40.1,1.9,2.2,86.2,1.6,3.4,5.0,1.0,0.9,0.5,0.2,2.1,2,0,5.7
Rodney Hood,UTA,24,40,27,13,28.6,13.7,5.1,12.1,42.0,2.1,5.6,36.6,1.5,1.9,75.3,0.3,3.3,3.6,1.9,1.2,0.6,0.2,2.3,0,0,3.8
Dwight Howard,ATL,31,48,27,21,29.4,13.6,5.4,8.3,64.4,0.0,0.0,0.0,2.9,5.3,55.7,4.3,8.6,12.9,1.3,2.1,0.9,1.2,2.9,34,0,0.0
Tyler Johnson,MIA,24,45,18,27,30.5,13.6,4.9,11.6,42.3,1.3,3.5,36.3,2.6,3.5,74.5,0.6,3.6,4.2,3.2,1.0,1.2,0.8,2.5,0,0,-1.8
Deron Williams,DAL,32,37,14,23,30.1,13.5,5.1,11.7,43.3,1.6,4.6,35.1,1.8,2.2,81.7,0.4,2.3,2.7,7.1,2.4,0.5,0.1,2.4,3,0,-1.5
Will Barton,DEN,26,38,19,19,28.6,13.5,4.8,10.7,45.1,1.4,3.6,38.5,2.5,3.3,75.4,1.0,3.4,4.4,3.3,1.7,0.9,0.5,1.9,0,0,-2.7
Darren Collison,SAC,29,45,18,27,30.3,13.4,5.1,10.6,48.2,1.2,2.9,42.3,2.0,2.3,86.3,0.4,1.6,2.0,4.0,1.5,1.0,0.1,1.9,0,0,-1.4
Dirk Nowitzki,DAL,38,27,12,15,26.0,13.3,4.9,12.0,41.0,1.4,3.9,37.1,2.0,2.4,85.9,0.5,5.4,5.9,1.5,0.9,0.6,0.7,2.1,2,0,-1.2
TJ Warren,PHX,23,40,12,28,29.2,13.1,5.4,12.0,45.3,0.4,1.8,24.3,1.8,2.3,78.3,1.7,2.2,3.9,1.0,0.8,1.2,0.4,2.7,0,0,-4.0
Rudy Gobert,UTA,24,54,34,20,33.7,13.0,4.5,7.0,64.9,0.0,0.0,0.0,3.9,5.9,66.0,3.8,8.8,12.6,1.1,1.8,0.7,2.5,3.0,36,0,5.9
Julius Randle,LAL,22,47,16,31,28.4,12.9,5.0,10.3,48.9,0.1,0.5,22.7,2.7,3.8,71.5,1.8,6.3,8.1,3.6,2.5,0.7,0.4,3.4,10,2,-4.2
Gary Harris,DEN,22,28,13,15,28.0,12.9,4.8,10.3,46.7,1.4,3.6,39.2,1.9,2.4,76.5,0.8,2.2,3.0,2.7,1.3,1.1,0.2,1.7,0,0,0.9
Tim Hardaway Jr.,ATL,24,51,30,21,24.4,12.6,4.7,10.5,44.4,1.7,5.0,34.8,1.5,2.2,69.6,0.3,2.1,2.4,2.1,1.1,0.6,0.2,1.2,0,0,3.3
Elfrid Payton,ORL,22,55,20,35,29.2,12.5,5.2,11.3,45.8,0.6,2.2,26.8,1.5,2.4,65.4,0.8,3.0,3.8,5.8,2.1,1.2,0.5,2.1,6,0,-3.3
Jamal Crawford,LAC,36,53,32,21,26.9,12.4,4.5,11.2,40.3,1.3,4.0,33.8,2.0,2.3,86.1,0.2,1.5,1.7,2.9,1.8,0.7,0.2,1.4,0,0,0.4
Jonas Valanciunas,TOR,24,52,31,21,27.0,12.3,4.9,9.2,53.8,0.0,0.0,0.0,2.4,2.9,85.2,2.9,6.9,9.9,0.8,1.4,0.5,0.8,2.8,20,0,2.1
DeAndre Jordan,LAC,28,53,32,21,31.4,12.3,4.8,6.9,69.8,0.0,0.0,0.0,2.7,5.3,50.5,3.6,10.1,13.7,1.2,1.5,0.5,1.7,2.7,22,0,3.7
Steven Adams,OKC,23,52,31,21,31.0,12.3,5.1,8.8,57.9,0.0,0.0,0.0,2.1,3.1,68.5,3.4,4.5,8.0,1.2,2.0,1.1,1.1,2.4,11,0,3.4
J.J. Barea,DAL,32,18,6,12,24.7,12.2,4.5,10.7,42.2,1.4,4.1,35.1,1.7,1.8,93.9,0.3,2.6,2.9,4.9,1.7,0.5,0.1,0.7,0,0,-0.8
Clint Capela,HOU,22,41,28,13,23.6,12.0,5.4,8.4,64.2,0.0,0.0,0.0,1.3,2.6,48.6,2.4,5.2,7.7,0.9,1.3,0.5,1.4,2.6,8,0,0.2
Austin Rivers,LAC,24,51,30,21,28.0,12.0,4.3,9.9,43.6,1.5,3.9,38.5,1.8,2.6,69.7,0.3,1.8,2.1,2.9,1.5,0.7,0.2,2.5,0,0,-1.1
Trevor Ariza,HOU,31,56,39,17,34.7,11.9,4.2,10.1,41.3,2.6,7.2,35.8,1.0,1.4,71.8,0.7,4.8,5.5,2.3,0.9,1.9,0.3,1.6,1,0,5.0
Marcin Gortat,WAS,32,52,31,21,34.7,11.9,5.2,8.8,59.4,0.0,0.0,0.0,1.4,2.1,68.2,3.2,8.3,11.5,1.6,1.6,0.6,1.0,3.0,30,0,3.9
Taj Gibson,CHI,31,51,25,26,27.5,11.8,5.1,9.8,51.9,0.0,0.2,18.2,1.6,2.3,70.4,2.2,4.8,7.0,1.1,1.4,0.5,1.0,2.3,11,0,-0.3
Emmanuel Mudiay,DEN,20,44,19,25,28.1,11.8,4.1,11.0,36.9,1.1,3.6,30.8,2.5,3.2,77.5,0.6,2.9,3.5,4.2,2.5,0.8,0.3,1.9,1,0,-3.2
James Johnson,MIA,29,48,23,25,26.1,11.7,4.4,9.2,48.2,1.2,3.4,36.0,1.7,2.4,69.8,0.9,4.0,4.9,3.3,2.2,0.9,1.0,2.6,2,0,-0.4
Pau Gasol,SAS,36,39,30,9,26.4,11.7,4.8,9.4,51.0,0.5,1.1,46.5,1.7,2.6,64.4,1.5,6.4,7.9,2.7,1.3,0.4,1.2,1.7,6,0,3.7
Seth Curry,DAL,26,49,20,29,28.1,11.7,4.4,9.5,46.8,1.8,4.3,41.6,1.0,1.2,80.0,0.4,2.1,2.5,2.7,1.3,1.2,0.1,1.9,1,0,-0.6
Jahlil Okafor,PHI,21,37,10,27,23.2,11.6,4.8,9.4,51.3,0.0,0.0,0.0,2.0,3.2,62.2,1.6,3.2,4.8,1.0,1.5,0.4,1.0,2.4,1,0,-7.4
Thaddeus Young,IND,28,49,27,22,31.1,11.5,4.9,9.5,52.2,0.9,2.3,39.6,0.7,1.3,57.1,1.5,4.6,6.1,1.7,1.5,1.8,0.5,1.9,4,0,0.3
Terrence Jones,NOP,25,51,19,32,24.8,11.5,4.5,9.6,47.2,0.4,1.5,25.3,2.0,3.3,60.6,1.3,4.7,5.9,1.2,0.9,0.8,1.0,1.3,6,0,-1.0
Robert Covington,PHI,26,47,19,28,31.1,11.3,3.8,10.2,37.6,1.8,5.9,30.9,1.9,2.3,79.1,1.4,4.7,6.1,1.6,1.9,1.8,0.9,3.0,7,0,-2.5
Brandon Knight,PHX,25,50,14,36,21.3,11.3,3.9,9.9,39.8,0.9,2.6,33.1,2.6,3.0,86.6,0.5,1.8,2.3,2.4,1.7,0.5,0.1,1.7,0,0,-6.1
Marvin Williams,CHA,30,47,20,27,28.0,11.3,4.0,9.8,41.1,1.8,5.0,35.9,1.4,1.7,84.0,0.9,4.7,5.7,1.2,0.7,0.7,0.5,1.6,3,0,0.4
Tony Parker,SAS,34,39,29,10,25.8,11.2,4.7,9.7,48.4,0.4,1.0,40.0,1.4,1.8,77.1,0.2,1.7,2.0,4.6,1.4,0.5,0.1,1.6,0,0,3.8
Aaron Gordon,ORL,21,54,20,34,27.5,11.2,4.3,10.1,42.9,1.0,3.5,29.6,1.5,2.4,64.1,1.3,3.2,4.5,1.9,1.0,0.7,0.4,2.1,2,0,-2.6
Josh Richardson,MIA,23,28,7,21,31.3,11.2,4.4,11.1,39.4,1.6,5.1,31.3,0.9,1.2,73.5,0.5,2.8,3.3,2.8,1.5,1.0,0.5,2.6,0,0,-2.6
Wayne Ellington,MIA,29,33,17,16,26.5,11.2,4.1,9.7,42.1,2.2,6.2,35.8,0.8,0.9,89.7,0.2,1.7,1.9,1.4,0.4,0.7,0.1,1.3,0,0,0.5
Jon Leuer,DET,27,47,23,24,26.7,11.1,4.5,8.8,51.1,0.8,2.5,33.1,1.3,1.5,88.7,1.4,4.3,5.7,1.8,0.9,0.5,0.4,2.1,2,0,1.4
Mason Plumlee,POR,26,54,23,31,28.1,11.1,4.4,8.2,53.2,0.0,0.1,0.0,2.4,4.1,56.7,2.2,5.8,8.0,4.0,1.6,0.9,1.2,2.8,14,0,0.4
Kent Bazemore,ATL,27,51,29,22,27.4,11.0,4.1,10.2,40.1,1.3,3.7,34.0,1.6,2.2,72.3,0.6,2.5,3.1,2.6,1.7,1.3,0.6,2.2,1,0,-1.1
Jerryd Bayless,PHI,28,3,1,2,23.8,11.0,3.7,10.7,34.4,0.7,1.7,40.0,3.0,3.3,90.0,1.0,3.0,4.0,4.3,3.0,0.0,0.0,1.3,0,0,-7.0
Greg Monroe,MIL,26,50,22,28,21.3,11.0,4.4,8.4,51.9,0.0,0.0,0.0,2.3,3.1,72.0,2.0,4.7,6.7,2.1,1.5,1.2,0.5,1.8,11,0,1.6
Marco Belinelli,CHA,30,48,22,26,24.6,10.9,3.8,8.6,43.9,1.5,3.9,38.1,1.9,2.1,88.3,0.2,2.3,2.5,1.9,0.9,0.6,0.1,1.4,1,0,-0.3
Justise Winslow,MIA,20,18,4,14,34.7,10.9,4.4,12.6,35.4,0.4,1.9,20.0,1.6,2.6,61.7,1.3,3.9,5.2,3.7,1.8,1.4,0.3,2.9,1,0,-0.3
CJ Miles,IND,29,46,26,20,23.0,10.8,3.7,8.6,43.7,2.2,5.3,42.1,1.1,1.3,86.7,0.3,2.7,3.0,0.6,0.5,0.6,0.4,2.0,0,0,1.7
Cody Zeller,CHA,24,39,22,17,26.8,10.8,4.2,7.2,58.7,0.0,0.0,0.0,2.4,3.4,69.2,2.3,4.2,6.5,1.4,1.3,0.8,1.1,3.2,3,0,4.5
Draymond Green,GSW,26,49,41,8,33.3,10.7,3.8,8.6,44.3,1.2,3.6,33.3,1.8,2.8,66.2,1.5,6.9,8.4,7.3,2.4,1.9,1.5,2.9,13,3,11.5
Allen Crabbe,POR,24,54,23,31,28.5,10.6,3.8,8.1,46.3,1.6,3.6,43.1,1.5,1.7,87.2,0.3,2.5,2.8,1.3,0.8,0.6,0.2,2.2,0,0,-3.5
