"","zip","Year","Count","MedNormSourceEUI","MedSiteEUI","MedSourceEUI","MedNormSiteEUI","city.x","Borough","Observations","region","city.y","state","latitude","longitude"
"242","10457","2014",NA,129.5,92.7,133.7,129.5,"NYC","BRONX",107,"10457","Bronx","NY",40.846745,-73.89861
"243","10457","2011",NA,337.6,134.3,NA,337.6,"NYC","BRONX",9,"10457","Bronx","NY",40.846745,-73.89861
"244","10458","2014",NA,117.3,91.4,126.3,117.3,"NYC","BRONX",114,"10458","Bronx","NY",40.864166,-73.88881
"245","10458","2013",NA,120.05,90.1,121.7,120.05,"NYC","BRONX",108,"10458","Bronx","NY",40.864166,-73.88881
"246","10458","2011",NA,194.4,82.5,NA,194.4,"NYC","BRONX",19,"10458","Bronx","NY",40.864166,-73.88881
"247","10458","2012",NA,118.9,84.25,NA,118.9,"NYC","BRONX",106,"10458","Bronx","NY",40.864166,-73.88881
"248","10459","2013",NA,126.95,88.05,131.3,126.95,"NYC","BRONX",50,"10459","Bronx","NY",40.825432,-73.89327
"249","10459","2014",NA,128.15,91.6,135.55,128.15,"NYC","BRONX",54,"10459","Bronx","NY",40.825432,-73.89327
"250","10459","2012",NA,127.6,75.8,NA,127.6,"NYC","BRONX",53,"10459","Bronx","NY",40.825432,-73.89327
"251","10459","2011",NA,133.55,58.15,NA,133.55,"NYC","BRONX",2,"10459","Bronx","NY",40.825432,-73.89327
"252","10460","2014",NA,143,96.55,146.5,143,"NYC","BRONX",64,"10460","Bronx","NY",40.84095,-73.88036
"253","10460","2011",NA,124,70.7,NA,124,"NYC","BRONX",7,"10460","Bronx","NY",40.84095,-73.88036
"254","10460","2013",NA,146.9,96.5,147.75,146.9,"NYC","BRONX",68,"10460","Bronx","NY",40.84095,-73.88036
"255","10460","2012",NA,142.3,87.4,NA,142.3,"NYC","BRONX",60,"10460","Bronx","NY",40.84095,-73.88036
"256","10461","2012",NA,117.4,79.2,NA,117.4,"NYC","BRONX",53,"10461","Bronx","NY",40.842917,-73.83819
"257","10461","2014",NA,128,86,133.7,128,"NYC","BRONX",53,"10461","Bronx","NY",40.842917,-73.83819
"258","10461","2013",NA,124.1,86.6,125.3,124.1,"NYC","BRONX",45,"10461","Bronx","NY",40.842917,-73.83819
"259","10461","2011",NA,320.5,98.7,NA,320.5,"NYC","BRONX",13,"10461","Bronx","NY",40.842917,-73.83819
"260","10462","2012",NA,119.65,84.4,NA,119.65,"NYC","BRONX",86,"10462","Bronx","NY",40.842173,-73.85862
"261","10462","2013",NA,111.85,74.3,114,111.85,"NYC","BRONX",93,"10462","Bronx","NY",40.842173,-73.85862
"262","10462","2014",NA,119,92.3,124.7,119,"NYC","BRONX",83,"10462","Bronx","NY",40.842173,-73.85862
"263","10462","2011",NA,149.1,58.45,NA,149.1,"NYC","BRONX",6,"10462","Bronx","NY",40.842173,-73.85862
"264","10463","2013",NA,117.55,87.4,118,117.55,"NYC","BRONX",171,"10463","Bronx","NY",40.881086,-73.90749
"265","10463","2014",NA,126.4,95.45,131.3,126.4,"NYC","BRONX",194,"10463","Bronx","NY",40.881086,-73.90749
"266","10463","2012",NA,160.2,104,NA,160.2,"NYC","MANHATTAN",9,"10463","Bronx","NY",40.881086,-73.90749
"267","10463","2013",NA,143.2,80.75,122.05,143.2,"NYC","MANHATTAN",6,"10463","Bronx","NY",40.881086,-73.90749
"268","10463","2011",NA,288,126.6,NA,288,"NYC","BRONX",3,"10463","Bronx","NY",40.881086,-73.90749
"269","10463","2012",NA,118.05,79.05,NA,118.05,"NYC","BRONX",176,"10463","Bronx","NY",40.881086,-73.90749
"270","10464","2012",NA,80.5,42.45,NA,80.5,"NYC","BRONX",2,"10464","Bronx","NY",40.857017,-73.78903
"271","10464","2014",NA,79.5,105.4,135.2,79.5,"NYC","BRONX",2,"10464","Bronx","NY",40.857017,-73.78903
"272","10464","2013",NA,74.75,45,75.05,74.75,"NYC","BRONX",2,"10464","Bronx","NY",40.857017,-73.78903
"273","10465","2011",NA,275.7,109.7,NA,275.7,"NYC","BRONX",3,"10465","Bronx","NY",40.825727,-73.81752
"274","10465","2014",NA,175,120.8,184.5,175,"NYC","BRONX",11,"10465","Bronx","NY",40.825727,-73.81752
"275","10465","2012",NA,169.25,82.7,NA,169.25,"NYC","BRONX",12,"10465","Bronx","NY",40.825727,-73.81752
"276","10465","2013",NA,176.2,101.45,177.4,176.2,"NYC","BRONX",12,"10465","Bronx","NY",40.825727,-73.81752
"277","10466","2011",NA,236.8,139.85,NA,236.8,"NYC","BRONX",4,"10466","Bronx","NY",40.89095,-73.84702
"278","10466","2012",NA,124.7,80.1,NA,124.7,"NYC","BRONX",25,"10466","Bronx","NY",40.89095,-73.84702
"279","10466","2013",NA,131.6,97.4,136.2,131.6,"NYC","BRONX",23,"10466","Bronx","NY",40.89095,-73.84702
"280","10466","2014",NA,125.85,91.65,129.1,125.85,"NYC","BRONX",30,"10466","Bronx","NY",40.89095,-73.84702
"281","10467","2013",NA,121.1,91.4,121.4,121.1,"NYC","BRONX",171,"10467","Bronx","NY",40.872265,-73.86937
"282","10467","2012",NA,119.2,86.3,NA,119.2,"NYC","BRONX",171,"10467","Bronx","NY",40.872265,-73.86937
"283","10467","2011",NA,693.6,645,NA,693.6,"NYC","BRONX",13,"10467","Bronx","NY",40.872265,-73.86937
"284","10467","2014",NA,119.7,92.5,124.35,119.7,"NYC","BRONX",160,"10467","Bronx","NY",40.872265,-73.86937
"285","10468","2013",NA,115.3,87.1,118.75,115.3,"NYC","BRONX",122,"10468","Bronx","NY",40.867107,-73.89916
"286","10468","2011",NA,123.4,68.7,NA,123.4,"NYC","BRONX",7,"10468","Bronx","NY",40.867107,-73.89916
"287","10468","2012",NA,118.3,79.6,NA,118.3,"NYC","BRONX",116,"10468","Bronx","NY",40.867107,-73.89916
"288","10468","2014",NA,120.35,90.55,122.85,120.35,"NYC","BRONX",130,"10468","Bronx","NY",40.867107,-73.89916
"289","10469","2014",NA,170,127.2,172.9,170,"NYC","BRONX",18,"10469","Bronx","NY",40.868643,-73.84735
"290","10469","2013",NA,134.05,105.25,134.2,134.05,"NYC","BRONX",10,"10469","Bronx","NY",40.868643,-73.84735
"291","10469","2011",NA,177,117.2,NA,177,"NYC","BRONX",7,"10469","Bronx","NY",40.868643,-73.84735
"292","10469","2012",NA,160.6,108,NA,160.6,"NYC","BRONX",123,"10469","Bronx","NY",40.868643,-73.84735
"293","10470","2014",NA,114.8,91.7,121.2,114.8,"NYC","BRONX",21,"10470","Bronx","NY",40.900629,-73.86072
"294","10470","2012",NA,119.2,72.6,NA,119.2,"NYC","BRONX",16,"10470","Bronx","NY",40.900629,-73.86072
"295","10470","2013",NA,133.8,93.1,134.2,133.8,"NYC","BRONX",13,"10470","Bronx","NY",40.900629,-73.86072
"296","10471","2013",NA,130.35,94.3,129.7,130.35,"NYC","BRONX",59,"10471","Bronx","NY",40.900819,-73.90347
"297","10471","2012",NA,128,88.7,NA,128,"NYC","BRONX",55,"10471","Bronx","NY",40.900819,-73.90347
"298","10471","2011",NA,305.6,177.4,NA,305.6,"NYC","BRONX",10,"10471","Bronx","NY",40.900819,-73.90347
"299","10471","2014",NA,128.2,94.1,128.9,128.2,"NYC","BRONX",55,"10471","Bronx","NY",40.900819,-73.90347
