movie_rating,count_reviews,movie_rank,movie_title,movie_href
97%,69,40,Krisha (2016),/m/krisha_2016
96%,93,41,Rams (HrÃºtar) (2016),/m/rams
97%,68,42,Dark Horse (2016),/m/dark_horse_2016
98%,42,43,Almost Holy (Crocodile Gennadiy) (2016),/m/almost_holy
98%,40,44,Aferim! (2016),/m/aferim
94%,138,45,The Handmaiden (Ah-ga-ssi) (2016),/m/the_handmaiden
97%,63,46,Aquarius (2016),/m/aquarius
97%,62,47,The Dark Horse (2016),/m/the_dark_horse_2016
96%,81,48,Neruda (2016),/m/neruda_2016
96%,78,49,Train to Busan (Bu-san-haeng) (2016),/m/train_to_busan
95%,96,50,Marguerite (2016),/m/marguerite
89%,244,51,Jackie (2016),/m/jackie_2016
95%,91,52,Gimme Danger (2016),/m/gimme_danger
95%,91,53,Tickled (2016),/m/tickled
95%,86,54,The Beatles: Eight Days a Week - The Touring Years (2016),/m/the_beatles_eight_days_a_week_the_touring_years
85%,330,55,Rogue One: A Star Wars Story (2016),/m/rogue_one_a_star_wars_story
90%,203,56,Green Room (2016),/m/green_room_2016
96%,52,57,Gleason (2016),/m/gleason_2016
92%,146,58,Queen of Katwe (2016),/m/queen_of_katwe_2016
96%,46,59,Nuts! (2016),/m/nuts_2016
94%,94,60,"Life, Animated (2016)",/m/life_animated
93%,117,61,"Lo and Behold, Reveries of the Connected World (2016)",/m/lo_and_behold_reveries_of_the_connected_world
95%,66,62,The Love Witch (2016),/m/the_love_witch
92%,133,63,Toni Erdmann (2016),/m/toni_erdmann
89%,206,64,Loving (2016),/m/loving_2016
85%,303,65,"Hail, Caesar! (2016)",/m/hail_caesar_2016
89%,202,66,The Lobster (2016),/m/the_lobster
93%,100,67,Our Little Sister (Umimachi Diary) (2016),/m/our_little_sister
93%,96,68,The Eagle Huntress (2016),/m/the_eagle_huntress
93%,88,69,The Innocents (Les innocentes) (2016),/m/the_innocents_2016
93%,88,70,The Little Prince (2016),/m/the_little_prince_2016
91%,136,71,Southside With You (2016),/m/southside_with_you
85%,281,72,Sully (2016),/m/sully
92%,104,73,"I, Daniel Blake (2016)",/m/i_daniel_blake
93%,74,74,Fire at Sea (Fuocoammare) (2016),/m/fire_at_sea_2016
94%,47,75,Miss Hokusai (Sarusuberi: Miss Hokusai) (2016),/m/miss_hokusai
84%,288,76,Deadpool (2016),/m/deadpool
89%,158,77,A Bigger Splash (2016),/m/a_bigger_splash_2016
86%,221,78,Hacksaw Ridge (2016),/m/hacksaw_ridge
93%,44,79,I Am Not a Serial Killer (2016),/m/i_am_not_a_serial_killer
93%,44,80,The Last Man On The Moon (2016),/m/the_last_man_on_the_moon
87%,191,81,Florence Foster Jenkins (2016),/m/florence_foster_jenkins_2016
87%,190,82,Don't Breathe (2016),/m/dont_breathe_2016
92%,62,83,Eat That Question: Frank Zappa in His Own Words (2016),/m/eat_that_question_frank_zappa_in_his_own_words
90%,106,84,Dheepan (2016),/m/dheepan
87%,180,85,Lion (2016),/m/lion_2016
84%,252,86,Star Trek Beyond (2016),/m/star_trek_beyond
92%,53,87,Demon (2016),/m/demon_2016
90%,102,88,Certain Women (2016),/m/certain_women_2016
92%,50,89,Summertime (La Belle Saison) (2016),/m/la_belle_saison
86%,199,90,Pete's Dragon (2016),/m/petes_dragon_2016
86%,198,91,Everybody Wants Some!! (2016),/m/everybody_wants_some
88%,146,92,Elle (2016),/m/elle_2016
90%,91,93,Barbershop: The Next Cut (2016),/m/barbershop_the_next_cut_2016
91%,65,94,Zero Days (2016),/m/zero_days
90%,83,95,A War (Krigen) (2016),/m/a_war
91%,56,96,The Witness (2016),/m/the_witness_2016
91%,55,97,A Man Called Ove (En man som heter Ove) (2016),/m/a_man_called_ove
91%,55,98,The Measure of a Man (La loi du marchÃ©) (2016),/m/the_measure_of_a_man_2016
91%,55,99,City Of Gold (2016),/m/city_of_gold_2016
87%,153,100,Kung Fu Panda 3 (2016),/m/kung_fu_panda_3
97%,357,1,Mad Max: Fury Road (2015),/m/mad_max_fury_road
98%,318,2,Inside Out (2015),/m/inside_out_2015
99%,229,3,Selma (2015),/m/selma
96%,299,4,Spotlight (2015),/m/spotlight_2015
92%,364,5,Star Wars: Episode VII - The Force Awakens (2015),/m/star_wars_episode_vii_the_force_awakens
97%,233,6,Brooklyn (2015),/m/brooklyn
97%,219,7,It Follows (2015),/m/it_follows
95%,255,8,Creed (2015),/m/creed_2015
99%,154,9,Shaun the Sheep Movie (2015),/m/shaun_the_sheep_movie
94%,263,10,Room (2015),/m/room_2015
92%,312,11,The Martian (2015),/m/the_martian
93%,278,12,Mission: Impossible Rogue Nation (2015),/m/mission_impossible_rogue_nation
94%,250,13,Carol (2015),/m/carol
96%,200,14,Son of Saul (2015),/m/son_of_saul
97%,169,15,45 Years (2015),/m/45_years
98%,135,16,Paddington (2015),/m/paddington_2014
94%,233,17,Sicario (2015),/m/sicario_2015
99%,110,18,Timbuktu (2015),/m/timbuktu_2015
94%,227,19,Spy (2015),/m/spy_2015
98%,126,20,Mustang (2015),/m/mustang_2015
100%,70,21,GETT: The Trial of Viviane Amsalem (2015),/m/gett_the_trial_of_viviane_amsalem
95%,188,22,Amy (2015),/m/amy_2015
98%,114,23,Phoenix (2015),/m/phoenix_2015
93%,232,24,Ex Machina (2015),/m/ex_machina
97%,134,25,Tangerine (2015),/m/tangerine_2015
100%,61,26,Seymour: An Introduction (2015),/m/seymour_an_introduction
93%,230,27,Anomalisa (2015),/m/anomalisa
96%,156,28,What We Do In The Shadows (2015),/m/what_we_do_in_the_shadows
100%,51,29,Ingrid Bergman in Her Own Words (Jag Ã_r Ingrid) (2015),/m/ingrid_bergman_in_her_own_words
91%,265,30,Bridge of Spies (2015),/m/bridge_of_spies
99%,68,31,About Elly (2015),/m/about_elly
100%,42,32,Court (2015),/m/court
98%,89,33,Iris (2015),/m/iris_2015
98%,86,34,Kurt Cobain: Montage Of Heck (2015),/m/kurt_cobain_montage_of_heck_2015
96%,125,35,'71 (2015),/m/71_2015
96%,117,36,The Look of Silence (2015),/m/the_look_of_silence
97%,92,37,Red Army (2015),/m/red_army_2015
97%,91,38,Listen To Me Marlon (2015),/m/listen_to_me_marlon
95%,138,39,Wild Tales (2015),/m/wild_tales
97%,78,40,Heart of a Dog (2015),/m/heart_of_a_dog
98%,43,41,Finders Keepers (2015),/m/finders_keepers_2015
93%,164,42,The Gift (2015),/m/the_gift_2015
96%,90,43,Jafar Panahi's Taxi (2015),/m/jafar_panahis_taxi
97%,65,44,Theeb (2015),/m/theeb
98%,40,45,Welcome To Leith (2015),/m/welcome_to_leith
95%,110,46,Hitchcock/Truffaut (2015),/m/hitchcocktruffaut
88%,279,47,The Big Short (2015),/m/the_big_short
96%,79,48,The Second Mother (Que Horas Ela Volta?) (2015),/m/the_second_mother
96%,70,49,Girlhood (2015),/m/girlhood_2015
91%,187,50,Love & Mercy (2015),/m/love_and_mercy
93%,137,51,The Diary Of A Teenage Girl (2015),/m/the_diary_of_a_teenage_girl
95%,84,52,The Salt of the Earth (2015),/m/the_salt_of_the_earth
94%,108,53,Best Of Enemies (2015),/m/best_of_enemies_2015
92%,152,54,Grandma (2015),/m/grandma_2015
96%,51,55,Appropriate Behavior (2015),/m/appropriate_behavior
93%,122,56,Slow West (2015),/m/slow_west_2015
92%,138,57,99 Homes (2015),/m/99_homes
94%,87,58,Going Clear: Scientology and the Prison of Belief (2015),/m/going_clear_scientology_and_the_prison_of_belief_2015
95%,62,59,The Wonders (2015),/m/the_wonders_2015
95%,58,60,The Forbidden Room (2015),/m/the_forbidden_room_2015
89%,202,61,A Most Violent Year (2015),/m/a_most_violent_year
86%,268,62,Steve Jobs (2015),/m/steve_jobs_2015
91%,141,63,The End Of The Tour (2015),/m/the_end_of_the_tour_2015
95%,43,64,We Are Still Here (2015),/m/we_are_still_here
94%,66,65,The Wrecking Crew (2015),/m/1200743-wrecking_crew
95%,40,66,In Jackson Heights (2015),/m/in_jackson_heights
93%,87,67,The Duke Of Burgundy (2015),/m/the_duke_of_burgundy
91%,132,68,The Lady In The Van (2015),/m/the_lady_in_the_van
93%,83,69,I'll See You in My Dreams (2015),/m/ill_see_you_in_my_dreams
94%,53,70,Monkey Kingdom (2015),/m/monkey_kingdom
94%,51,71,Boy and the World (O Menino e o Mundo) (2015),/m/boy_and_the_world
91%,122,72,Beasts of No Nation (2015),/m/beasts_of_no_nation
94%,49,73,Black Souls (2015),/m/black_souls_2015
94%,48,74,GÃ_eros (2015),/m/gueros
93%,72,75,The Hunting Ground (2015),/m/the_hunting_ground_2015
93%,70,76,Janis: Little Girl Blue (2015),/m/janis_little_girl_blue
92%,89,77,When Marnie Was There (2015),/m/when_marnie_was_there
87%,210,78,Straight Outta Compton (2015),/m/straight_outta_compton
93%,56,79,The Black Panthers: Vanguard Of The Revolution (2015),/m/the_black_panthers_vanguard_of_the_revolution_2015
89%,149,80,Clouds of Sils Maria (2015),/m/clouds_of_sils_maria
92%,75,81,Queen of Earth (2015),/m/queen_of_earth
88%,171,82,Still Alice (2015),/m/still_alice
93%,45,83,Breathe (2015),/m/respire_2014
89%,140,84,Dope (2015),/m/dope_2015
85%,237,85,Trainwreck (2015),/m/trainwreck
88%,163,86,Mr. Holmes (2015),/m/mr_holmes
93%,40,87,The Pearl Button (El botÃ_n de nÃ¡car) (2015),/m/the_pearl_button_2015
93%,40,88,Peggy Guggenheim: Art Addict (2015),/m/peggy_guggenheim_art_addict
81%,323,89,The Revenant (2015),/m/the_revenant_2015
87%,174,90,The Peanuts Movie (2015),/m/the_peanuts_movie
91%,67,91,James White (2015),/m/james_white
84%,237,92,The Walk (2015),/m/the_walk_2015
89%,115,93,Mommy (2015),/m/mommy_2015
91%,56,94,Sunshine Superman (2015),/m/sunshine_superman
90%,80,95,Bone Tomahawk (2015),/m/bone_tomahawk
89%,104,96,Mississippi Grind (2015),/m/mississippi_grind
90%,73,97,Coming Home (2015),/m/coming_home_2014
89%,97,98,White God (2015),/m/white_god
89%,93,99,Cartel Land (2015),/m/cartel_land
88%,113,100,The Tribe (2015),/m/the_tribe_2015
