compound,movie_name,neg,neu,pos,review_detail
0.7184,Zootopia ,0.0,0.636,0.364,detective story actually engaging simple enough follow kids complicated enough offer genuine surprises silly amusing detours
0.6705,Zootopia ,0.0,0.522,0.478,perfect school holiday entertainment whole family
0.9246,Zootopia ,0.0,0.581,0.419,much zootopia charm results wonderful animation captivating energy heart witty insightful script around deeper socio political issues makes truly satisfying grown goes see
0.0,Zootopia ,0.0,1.0,0.0,smart four footed spin buddy cop genre
0.128,Zootopia ,0.224,0.535,0.241,sure speak kids grown ups alike zooptopia unfolds poignant lesson prejudice hurt people also overcome wonderfully fun film
0.5994,Zootopia ,0.0,0.738,0.262,zootopia reminder beautiful animated films holy cow thing almost hallucinatory
0.2023,Zootopia ,0.0,0.816,0.184,zootopia exceptional film dare say important one
0.6705,Zootopia ,0.085,0.627,0.288,enough radar subtleties rendered refreshing lack smart aleckiness make zootopia feel current fresh modest unassuming entertainment motored sly sensibility
0.6249,Zootopia ,0.0,0.745,0.255,zootopia great voice performances ginnifer goodwin jason bateman suit characters perfectly
0.5719,Zootopia ,0.0,0.764,0.236,zootopia blast watch wonderful cartoon experience extra bit gravitas spice flavor
0.8625,Zootopia ,0.0,0.551,0.449,film messages importance tolerance following dreams pretty standard kiddie flick political edge unusual disney movie
0.3612,Zootopia ,0.0,0.8,0.2,entertaining endlessly inventive comedy something insight anyone could anticipated
0.7964,Zootopia ,0.0,0.53,0.47,colorful nicely crafted perfectly voice cast animated feature
0.0,Zootopia ,0.0,1.0,0.0,charming inventive
0.8442,Zootopia ,0.0,0.497,0.503,zootopia strong plot also fantastic message tolerance inclusion audiences ages
0.872,Zootopia ,0.0,0.595,0.405,directors byron howard rich moore jared bush fine job keeping zootopia amusing kids equally enjoyable adults accompany theaters
0.7717,Zootopia ,0.0,0.374,0.626,genuinely charming funny film
0.6808,Zootopia ,0.0,0.663,0.337,dmv sequence funny oddly forgivable rest zootopia rarely matches comic plateau
-0.5478,Zootopia ,0.251,0.619,0.129,animal farm type fable racism sexism shrewd timely critique fear based politics set remarkably detailed endlessly fascinating alternate universe
0.0,Zootopia ,0.134,0.732,0.134,upfront themes prejudice diversity release time society biases microscope zootopia may one fortuitously scheduled family entertainments recent memory
0.8176,Zootopia ,0.0,0.578,0.422,world zootropolis creates intelligent fascinatingly detailed feels like movie disney owned pixar straight disney film
0.6249,Zootopia ,0.0,0.541,0.459,smart better delivering message tolerance laughs
0.891,Zootopia ,0.0,0.58,0.42,ingenious part film building designed raised city animals creating perfect metaphor rabbit mouse represent dreams ambitions talents flaws
0.8176,Zootopia ,0.0,0.667,0.333,zootopia simply another fun disney animated movie one greatest disney animated movies company ever produced
0.5106,Zootopia ,0.0,0.68,0.32,solid job message enjoyed different views
0.8834,Zootopia ,0.0,0.443,0.557,disney created fun fable smart dolphin quick hare message strong bull
0.0,Zootopia ,0.0,1.0,0.0,zootopia makes statement judge people race genre looks
0.0,Zootopia ,0.0,1.0,0.0,zootopia elements become classic fans house mouse
0.7351,Zootopia ,0.0,0.617,0.383,probably one best films disney ever created delivers everything expect
0.7351,Zootopia ,0.0,0.744,0.256,funny clever exciting suspenseful operates one potent social issues pictures seen major studio even oscar season quite time
0.0,Zootopia ,0.0,1.0,0.0,wild ride noir ish undertones zootropolis packs plenty keep whole family entertained
0.6908,Zootopia ,0.0,0.612,0.388,smart play race card fun politically correct disney film
0.6124,Zootopia ,0.0,0.706,0.294,disney creates new classic let hope give us million sequels tv shows
0.0,Zootopia ,0.0,1.0,0.0,zootopia continues wining streak disney since tangled
0.7184,Zootopia ,0.0,0.7,0.3,true judge others messages nicely worked robustly right including cheerfully feminist never feels preachy
0.3612,Zootopia ,0.0,0.706,0.294,noir comedy carries loads imagination
0.6779,Zootopia ,0.083,0.66,0.258,variety cute occasionally slightly scary animals keep younger kids interested hour three quarters running time older kids parents diverted comedy pop culture references
0.9001,Zootopia ,0.0,0.409,0.591,zootopia big surprise offers quality fun creating interesting story keeps interested end
0.836,Zootopia ,0.0,0.699,0.301,looking like animated animal movies run anything original say along comes smartly amusing crisply relevant zootopia handily demonstrate still plenty bite left anthropomorphic cg menagerie
0.25,Zootopia ,0.0,0.882,0.118,disney offers decades later correction song south rabbits foxes chance live together relative harmony
0.4939,Zootopia ,0.0,0.819,0.181,deep complex yet accessible storyline married visually sumptuous telling animal tale film absolute treat feeling equal classic disney flick
0.7351,Zootopia ,0.0,0.763,0.237,investigating mechanics long held cartoon assumptions harmoniousness cartoon animals characteristics others disney encouraging viewers young old see world differently thoughtfully
0.0,Zootopia ,0.0,1.0,0.0,film goes deeper allegorizing tapping volatile nature identity politics
0.6124,Zootopia ,0.0,0.833,0.167,bright eyed bushy tailed long eared lead still brilliantly conscious social issues zootopia represents disney visually resplendent thematically ambitious
0.9081,Zootopia ,0.0,0.528,0.472,vividly mounted breadth vision worth celebrating disney hit home run zootopia grand entertainment ingeniously developed socially conscious message
0.8658,Zootopia ,0.0,0.684,0.316,earnest anything message heavy handedly clear though zootopia works best funny romp ingeniously imagines landscape hamsters businessmen polar bears coolest bodyguards around
0.9022,Zootopia ,0.0,0.452,0.548,zootopia wonderful example disney best mix past present together cool compelling way
0.5994,Zootopia ,0.0,0.62,0.38,right likes inside zootopia well done forgot animated
0.5106,Zootopia ,0.0,0.769,0.231,film lots strong ideas much needed times xenofobia still thing
0.9578,Zootopia ,0.0,0.488,0.512,zootopia dishes messages best way possible colorfully cleverly warmly humor packaged strong storyline among animated greats close enough certainly worth couple hours parent time
-0.1531,Zootopia ,0.136,0.761,0.103,big sometimes messy sometimes insightful exploration bigotry using animals preach evolved understanding innate differences
0.4215,Zootopia ,0.184,0.526,0.289,zootopia reluctantly comes around crime solving story understandable good stuff resides characterizations morality play around decrying fear
0.743,Zootopia ,0.0,0.613,0.387,zootopia proves successful amalgamation disparate influences much like eponymous city
-0.0516,Zootopia ,0.131,0.746,0.123,heavy pop allusions references crime underworld movies including godfather chinatown zootopia impressive visual conception scope straightforward densely layered wit incident
0.6369,Zootopia ,0.0,0.679,0.321,zootopia message tolerance noble one loopy moments give modest film magic
0.0,Zootopia ,0.0,1.0,0.0,clever movie sort meticulous world building ripe spawning inventive humor
0.743,Zootopia ,0.0,0.73,0.27,delightful disney animated tale city populated civilized animals stripes fun kids clever m√ lange noir social commentary
0.8779,Zootopia ,0.0,0.558,0.442,neo noir buddy cop comedy likely entertain children adults alike thanks steady stream gags vibrant visuals
0.0,Zootopia ,0.0,1.0,0.0,quality seal disney films stands details
0.0,Zootopia ,0.0,1.0,0.0,deffinately year greates animated picture one works works good
-0.5279,Zootopia ,0.301,0.492,0.207,animated crime caper comes ready party hard also takes deep dive necessary especially certain species treated threats cause public panic listen mr trump
-0.6597,Zootopia ,0.197,0.803,0.0,surface zootopia witty wondrous buddy cop film deeper level film allows parents bring tough topics dining room table topics bullying stereotyping inclusiveness
0.2263,Zootopia ,0.189,0.526,0.284,funny smart thought provoking musical
0.802,Zootopia ,0.1,0.559,0.341,combining surprisingly sophisticated conspiracy subplot unexpected plot twists insightful character studies energetic pacing even funny riff godfather zootopia plenty appeal kids adults
0.6369,Zootopia ,0.0,0.802,0.198,mixed bag comes entertainment value first time long time disney attempting high wire act tone content making feature intriguing always triumphant
0.0,Zootopia ,0.0,1.0,0.0,zootopia tied specific element present day environment nevertheless emerges chillingly relevant time
0.4939,Zootopia ,0.119,0.635,0.246,wild comic political twist animal farm works kids adults reaffirmation equal justice opportunity rejecting racial gender stereotyping
-0.1531,Zootopia ,0.138,0.748,0.114,new animated movie focuses critters funny trip animal kingdom slows ark oops make arc film crime story need monkeyshines
-0.4588,Zootopia ,0.248,0.642,0.11,world race exist species certainly provide fuzzier cuddlier way zootopia get thorny issues prejudice profiling
0.8402,Zootopia ,0.0,0.69,0.31,zootopia one favorite animated movies one favorite animated movies last year two last decade recent memory one favorite animated movies period
0.872,Zootopia ,0.072,0.502,0.427,goofy joyful actual message shy expressing directly one filled depth beyond nice screenplay surprisingly clever structural level
0.8519,Zootopia ,0.06,0.569,0.371,yes adorable factor pretty high movie iq zootopia thought provoking film big ideas like tolerance diversity rising base animal nature
0.6124,Zootopia ,0.0,0.826,0.174,zootopia disney new classic hands one combines memorable characters gorgeous animation social awareness framework built upon years come
0.4939,Zootopia ,0.0,0.652,0.348,zootopia lot things pretty good
0.5994,Zootopia ,0.078,0.712,0.21,good intentions always make good movies case point zootopia disney film mind animated fun fuzzies much fact loses track audiences expect sold
0.4939,Zootopia ,0.0,0.824,0.176,bustling frame packed much repeated viewings rewarded imagery screen must sampled rather taken whole
0.0,Zootopia ,0.0,1.0,0.0,entertaining thought provoking
0.0,Zootopia ,0.0,1.0,0.0,zootopia stuffed characters situations culture clashes eye candy
0.5106,Zootopia ,0.0,0.752,0.248,wonderfully imagined animators lot fun drastic scale biome differences
0.6369,Zootopia ,0.0,0.741,0.259,raised zoobooks far side cartoons zootopia one greatest animated movies ever
0.0,Zootopia ,0.0,1.0,0.0,apart anthropomorphic allegorical angle zootopia also tale female empowerment classic noir
0.4588,Zootopia ,0.0,0.786,0.214,disney latest clever endearing animated equivalent pro diversity pep rally
0.25,Zootopia ,0.09,0.744,0.167,ginnifer goodwin jason bateman lead aces voice cast playing good cop bunny judy hopps con artist fox nick wilde must find common turf solve crime wave title metropolis call fur noir
0.7184,Zootopia ,0.0,0.647,0.353,winning gorgeously animated story anthropomorphic animals living relative harmony bustling metropolis
0.5256,Zootopia ,0.0,0.773,0.227,disney zootopia sweet addresses social issues sensitivity sometimes quite reach lofty goals still wildly entertaining
0.4404,Zootopia ,0.0,0.707,0.293,indication good animation service decent story
0.8481,Zootopia ,0.098,0.492,0.409,result slam dunk candidate best animated feature next year oscars pleasure comes appreciating sumptuous artistry
0.2732,Zootopia ,0.0,0.905,0.095,hard create wonder animation days mix detailed storybook 3 stuffy retro disney cartoon zootopia conjures animal kingdom still manages astonish
0.8658,Zootopia ,0.0,0.623,0.377,addition crowd pleasing disney cartoon byron howard rich moore zootopia works nifty detective story parable institutionalized racism
0.8807,Zootopia ,0.0,0.573,0.427,clever piece family entertainment wittily uses whodunit convention deliver messages tolerance self confidence friendship eye catching fashion
0.765,Zootopia ,0.0,0.68,0.32,zootopia might best disney recent house movies easily political film mouse house turned good
0.7717,Zootopia ,0.0,0.544,0.456,zootropolis colourful creative charming film full wit invention
0.7918,Zootopia ,0.145,0.459,0.396,strikes near perfect balance fun family comedy message film never feeling like much either
0.6705,Zootopia ,0.104,0.588,0.308,fun funny beautiful look tempting get lost disney fable stands along anything studio catalog
0.6908,Zootopia ,0.0,0.659,0.341,smart entertainment deals effectively issues diversity sexism staying light never preachy
0.0,Zootopia ,0.0,1.0,0.0,easily one disney imaginative detail oriented cgi offerings zootopia uses classic tropes anthropomorphized animals comic references pop culture touchstones slyly puzzle means civilized
0.5719,Zootopia ,0.0,0.783,0.217,best animated film year well one conveys message rarely heard movies children getting exactly hoped end journey
-0.6705,Zootopia ,0.347,0.516,0.136,zootopia point commentary prejudice racism explains subjects children better parents ever could
0.0,Zootopia ,0.0,1.0,0.0,anthropomorphized hippopotamus business suit always welcome
0.8658,Zootopia ,0.081,0.459,0.459,may lack bold pioneering spirit disney pixar best animated features still clears pretty high bars human heart
0.4767,Zootopia ,0.0,0.814,0.186,even though zootopia remains whimsical family entertainment never turns polemic core common animal farm classic anthropomorphized disney fare
0.0,Zootopia ,0.0,1.0,0.0,candy coated film sugar coat complexities race relations
0.0,Zootopia ,0.0,1.0,0.0,lions tigers preconceived notions others based outward appearances oh
0.6808,Zootopia ,0.0,0.752,0.248,zootopia important things say judging people look like part world come kids probably nod embrace sensible advice could get adults listen
-0.3612,Zootopia ,0.22,0.614,0.166,leaving aside amusing jokes wolves trying desperately contain group howl sloths working bureaucrats animal behaviour troubling metaphor cultural diversity
0.0,Zootopia ,0.0,1.0,0.0,decidedly middle road disney effort
0.9451,Zootopia ,0.0,0.302,0.698,zootopia delight cute clever smart sophisticated plenty offer children adults
-0.7269,Zootopia ,0.433,0.567,0.0,donald trump would scream loser see disney zootopia
0.7096,Zootopia ,0.0,0.704,0.296,kids undoubtedly enjoy one seems meant adults appreciate ingeniously fabricated world big hearted ideals
0.836,Zootopia ,0.0,0.611,0.389,winning combination comedy drama suspense thrills delight kids adults alike potent reminder golden age animation
0.8176,Zootopia ,0.098,0.439,0.463,disney zootopia wildly adventurous knockdown funny arguably best film 2016 far
0.4201,Zootopia ,0.055,0.821,0.125,zootopia incredibly entertaining beginning see different animals live different parts zootopia feel human indeed dark middle part hard reconcile disney movie
0.6808,Zootopia ,0.0,0.714,0.286,simple though politics may film effective coming mainstream studio even daring enough make difference
0.7351,Zootopia ,0.0,0.523,0.477,everything could want animated film creative visuals solid script engaging characters
0.0,Zootopia ,0.0,1.0,0.0,agreeable hodgepodge least one aims breezy mystery also race ethnicity fable
0.296,Zootopia ,0.0,0.732,0.268,zootopia yootopia looking jaunty fun
0.9656,Zootopia ,0.0,0.508,0.492,bursting rich blend timely themes superb voice work wonderful visuals laugh loud wit walt disney animation studios zootopia quite simply great time movies
0.0,Zootopia ,0.0,1.0,0.0,filmmakers cross fertilize social satire burlesque parody self parody
0.296,Zootopia ,0.111,0.705,0.185,got catchy pop song nice message working achieve dreams directors pushed showing prejudice seeps daily lives made zootopia destination absolutely must visit
0.5423,Zootopia ,0.0,0.8,0.2,charming pop culture soaked movie admirably takes racial issues sags weight muddled metaphors
0.2732,Zootopia ,0.0,0.811,0.189,unlike certain pixar property automobiles one warrants sequel
0.0,Zootopia ,0.0,1.0,0.0,rich blend story message entertainment
0.4404,Zootopia ,0.0,0.775,0.225,confusing starts feel zootopia working message get easy laughs
0.8176,Zootopia ,0.0,0.634,0.366,zootopia filled lovable characters heartfelt message kids along layered subtext adults timely moving
0.5719,Zootopia ,0.0,0.73,0.27,funny beautifully designed kids film message restates every turn
0.0,Zootopia ,0.0,1.0,0.0,surprised zootopia ends becoming kids detective series based fabulously two go working case
0.8973,Zootopia ,0.0,0.558,0.442,script highly entertaining funny enough keep young ones entertained witty enough keep adults hooked lol ing movie
0.743,Zootopia ,0.0,0.526,0.474,cagey delightful zootopia creature comfort every way
0.34,Zootopia ,0.095,0.769,0.136,somehow disney managed pull hard boiled police procedural thriller political corruption starring adorable large eyed bunny strange combination might seem works knew bunnies could make intrepid rookie cops
0.6705,Zootopia ,0.0,0.735,0.265,buddy cop comedy crossed political thriller mashed social drama credit disney collaborative process whole thing manages hold together well
0.0772,Zootopia ,0.0,0.936,0.064,teems sight gags puns pop culture references excuse use buddy cop genre way always intended form social commentary
0.872,Zootopia ,0.0,0.602,0.398,computer generated creatures smooth cheerful lines like old style stretch squash animation movie wonderfully fluid graceful
-0.0258,Zootopia ,0.144,0.719,0.137,motor vehicles department scene alone worth price ticket still laughing
0.5574,Zootopia ,0.173,0.545,0.282,best film far 2016 easily near top list best animated film come award season next december beyond full content review parents violence scary stuff etc also available
0.0,Zootopia ,0.0,1.0,0.0,shows far house mouse evolved dreamy prince princess fairy tales decades past
-0.0258,Zootopia ,0.132,0.741,0.127,dealing head subversively indirect way animal based tales issues easily defined far difficult resolve
0.3818,Zootopia ,0.0,0.867,0.133,zootopia wolf sheep clothing movie packed talking animals dares something offering bold little slice social commentary
0.5574,Zootopia ,0.0,0.603,0.397,charming buddy animal story promotes tolerance teamwork
0.1531,Zootopia ,0.19,0.572,0.238,zootopia becomes fortunate enough fall frozen style heavy rotation kids certain age messages rejecting prejudice embracing complicated nature multiculturalism could good world
0.3818,Zootopia ,0.0,0.843,0.157,credit disney folks making could lecture stereotypes one amusing animated kidflicks recent vintage
0.7269,Zootopia ,0.0,0.697,0.303,exciting visuals good characters lots laughs even timely allegory american race relations splice today
0.8807,Zootopia ,0.0,0.517,0.483,zootopia like heroine zesty bright breakneck chase scenes well tuned gags half expect songs
0.8885,Zootopia ,0.0,0.588,0.412,mouse house may win gold best animated feature 2017 intrepid action packed comedy police procedural parable
0.3612,Zootopia ,0.0,0.783,0.217,lot kids like nearly much keep parents fidgeting
0.7783,Zootopia ,0.0,0.469,0.531,timely message buoys charming clever zootopia
0.0,Zootopia ,0.0,1.0,0.0,many ways conventional movie unfolds much wit panache visual ingenuity outstrips many high concept film
0.8591,Zootopia ,0.0,0.644,0.356,enormity world building slick animation enthusiastic voice work done sprawling cast script intelligent warm zootopia already shaping highlight 2016 cinematic year
0.2732,Zootopia ,0.0,0.89,0.11,unexpected surprise disney animation orwellian anthropomorphic political allegory film noir backdrop seen since roger rabbit framed
0.8563,Zootopia ,0.0,0.573,0.427,serve terrific inspiration little girls dream big aspire high larger message zootopia sending one tolerance understanding
0.0,Zootopia ,0.0,1.0,0.0,sure become classic
0.4767,Zootopia ,0.0,0.617,0.383,movie tell friends family
0.4019,Zootopia ,0.163,0.57,0.266,beauty zootopia unaware subtext would child clueless trump supporter still reap benefits imaginatively designed endeavor packed huge laughs
0.6249,Zootopia ,0.0,0.773,0.227,zootopia great animated film might something much clarion call sanity understanding arriving need
0.8519,Zootopia ,0.0,0.623,0.377,3d animated comedy expected combination kid friendly slapstick pop culture send ups underneath slick surface promotes message tolerance empowerment
0.0,Zootopia ,0.0,1.0,0.0,saves big budget cartoon behemoth modest old fashioned storytelling
0.8176,Zootopia ,0.0,0.571,0.429,one disney best animated films ever fun adults kids alike
0.4404,Zootopia ,0.0,0.805,0.195,film disney truly progressive jump character achieves seemingly impossible willpower intelligence
0.4927,Zootopia ,0.0,0.849,0.151,zootopia 2016 inside 2015 next level animated feature gives kids something substance simultaneously showing really good time
0.4019,Zootopia ,0.0,0.87,0.13,comic high point scene dmv sloths work behind counter talk slowly movie overlong one hilarious scene worth
0.0,Zootopia ,0.0,1.0,0.0,disarming characters multidimensional plot form core atypical disney movie right mark
0.8689,Zootopia ,0.0,0.588,0.412,stepping back movie key themes creative team behind project deserve praise crafting fun complex world
-0.2023,Zootopia ,0.145,0.746,0.11,much like george orwell used animals allegory communism social inequality disney used zootopia deliver story prejudice intolerance
0.7506,Zootopia ,0.0,0.686,0.314,lively universally accessible story set idealised human free future animals species learned live one
0.7906,Zootopia ,0.0,0.632,0.368,threatens blow away shane black nice guys best buddy cop film 2016
0.0,Zootopia ,0.0,1.0,0.0,zootropolis plot really ahem sink teeth
0.0,Zootopia ,0.0,1.0,0.0,wildly entertaining
-0.5106,Zootopia ,0.202,0.798,0.0,surprisingly sharp examination racial profiling prejudice equality stereotyping often say kids movie
0.2263,Zootopia ,0.0,0.863,0.137,mean come last kids film stumbled overreaching exploration inclusiveness also sloths
0.6249,Zootopia ,0.0,0.806,0.194,tale plucky rabbit sly fox also meditation human nature civil society politics stereotyping great sloth jokes
0.6997,Zootopia ,0.0,0.746,0.254,zippy entertaining children animation comes unusually thoughtful commentary inclusion discrimination animals come city night literally run day
0.7845,Zootopia ,0.0,0.504,0.496,well balanced film powerful message great story
0.7579,Zootopia ,0.0,0.615,0.385,gorgeous look clever funny solid atmospheric mystery core film timely relevant thematic content
-0.0516,Zootopia ,0.107,0.893,0.0,impressionable kids adults swear progressive take something away zootopia
0.5423,Zootopia ,0.0,0.72,0.28,zootopia excels many levels stands finest disney classics
0.25,Zootopia ,0.16,0.583,0.257,many animated films give adults teenagers adults something enjoy fall dumb humor territory
0.9081,Zootopia ,0.0,0.528,0.472,reminiscent toy story ability create wonderfully colorful world zootopia fun film undeniably important themes diversity inclusion self worth
0.765,Zootopia ,0.0,0.591,0.409,spunky 3 animated film bunny whose life energized big dreams rock solid optimism
0.8519,Zootopia ,0.0,0.542,0.458,complex different thinking technically flawless definitely fun disney product works children adults
-0.4019,Zootopia ,0.162,0.838,0.0,using animation movie gives snapshot problems intolerance live world without leaving aside humor
0.886,Zootopia ,0.0,0.578,0.422,film visually spectacular gorgeous backgrounds intricate textures mammals realistic want try pet watching film zootopia vividly creative fantastically amusing ages
0.8316,Zootopia ,0.0,0.585,0.415,voice cast perfect especially bateman cracking action scenes superb family film
0.5719,Zootopia ,0.0,0.73,0.27,animated outing propels disney historical success anthropomorphisation new heights
0.0,Zootopia ,0.0,1.0,0.0,animation first rate fur rendered realistically could trigger allergy 50 paces writing elevates picture
0.6743,Zootopia ,0.062,0.652,0.286,rarely much sub text animated movie makes zootopia surprisingly thought provoking experience also something slightly disconcerting disney willingness keenly embrace adult themes
0.8074,Zootopia ,0.069,0.623,0.308,magical moment every movie quality reciprocal bond screen viewer shoulders happily drop sink deeper seat soul secretly smiles knows safest hands
0.2023,Zootopia ,0.0,0.893,0.107,easy see studio back top game proves still master producing films children adults engage
0.9217,Zootopia ,0.0,0.572,0.428,young innocent minded plenty knockabout fun slapstick humour enjoy coupled timely message tolerance integration pop culture references abound adults film fans savour
0.7351,Zootopia ,0.0,0.721,0.279,fictional universe presents human free world mammals evolved bustling civilised society vividly realised richly detailed funny
0.91,Zootopia ,0.0,0.49,0.51,one film great strengths trust puts young audience decode complex nuanced message value difference
0.9325,Zootopia ,0.0,0.444,0.556,marvelous bouncy comedy mystery adventure parable fantasy world meticulously cleverly conceived gorgeously realized adore movie
-0.0516,Zootopia ,0.085,0.915,0.0,enough light wit gooey sentiment disney groupies yet leave many unanswered questions
0.3182,Zootopia ,0.219,0.498,0.284,acknowledges problems bumper sticker patch yet leaves room exploration seriously charming world
0.7003,Zootopia ,0.0,0.746,0.254,voice cast enjoyable form storyline kicks gear simply vehicle message film enjoyable caper right full motion invention
0.0516,Zootopia ,0.109,0.736,0.155,relish zingy jokes jokes slow burn dialogue scene sloths instant classic elastic character animation pacy racy disrespect pc hues flavours
0.6808,Zootopia ,0.0,0.752,0.248,directors byron howard rich moore crafted environment meticulous fashion striking attention detail painting comprehensive picture universe inhabiting
0.34,Zootopia ,0.122,0.671,0.207,film gracefully deals contradiction feel let people see full review portuguese
0.8779,Zootopia ,0.0,0.536,0.464,zootropolis takes form jovial noir thriller nicely voiced likes jason bateman ginnifer goodwin go well smaller viewer
0.0,Zootopia ,0.0,1.0,0.0,bright mostly brilliant
0.0,Zootopia ,0.0,1.0,0.0,instant disney classic fast furry ious caper endless gags fizzy fox bunny double act shakira singing gazelle
0.0,Zootopia ,0.0,1.0,0.0,delight miss
0.6369,Zootopia ,0.0,0.756,0.244,zootopia best disney animated movie either pixar without since toy story 3 2010
0.6597,Zootopia ,0.045,0.759,0.197,bunny movie sorry buddy movie family fun land rookie cop bunny team small time crim fox track bigger crooks anthropomorphic plenty innocent fun
0.7717,Zootopia ,0.0,0.544,0.456,gorgeous film beautifully executed story smiling throughout miss
0.785,Zootopia ,0.0,0.558,0.442,zootopia like protagonist walks blissfully jungle discourse precious little chance surviving
0.3818,Zootopia ,0.0,0.755,0.245,done creativity wit still stridency lesson plan
0.0,Zootopia ,0.0,1.0,0.0,refreshing see animated movie takes initiative climb restrictions formula
-0.5719,Zootopia ,0.299,0.701,0.0,genius film lies combination traditional disney characters situations subversive storytelling style
0.7506,Zootopia ,0.115,0.476,0.409,filmmakers behind tangled wreck ralph join forces entertaining animated action comedy clearly planned franchise launcher
0.0,Zootopia ,0.0,1.0,0.0,cinematic zooniverse
0.4404,Zootopia ,0.0,0.674,0.326,may taken aback good really
0.0382,Zootopia ,0.145,0.659,0.196,manages incredible balancing act fun high concept taking nothing away seriousness story prejudice 101 kids ages
0.8097,Zootopia ,0.0,0.461,0.539,clever funny refreshingly bold message endearing engaging without falling sentimentality
0.8316,Zootopia ,0.098,0.488,0.415,pretty sophisticated meditation race relations dressed delightfully entertaining gag packed inventively plotted police procedural
0.8689,Zootopia ,0.0,0.57,0.43,film feels like riposte trump ism also contains best sloth related humour ever see
0.8588,Zootopia ,0.0,0.537,0.463,great looking emotionally engaging enormously entertaining movie guaranteed delight kids adults alike
0.7003,Zootopia ,0.0,0.674,0.326,latest disney animated feature may classic full bright ideas funny one liners
0.4215,Zootopia ,0.0,0.763,0.237,friendship predator prey stands powerful rebuke donald trump
0.128,Zootopia ,0.233,0.503,0.264,encouragingly upbeat celebration love diversity times hate uncertainty
0.34,Zootopia ,0.0,0.726,0.274,illness society comes artificial stratification defensive denial original difference
0.4588,Zootopia ,0.0,0.625,0.375,cute clever equal measure
-0.8834,Zero days ,0.442,0.558,0.0,fascinating horrifying gripping detective story impassioned call public debate terrifying weapons already loosed
-0.3818,Zero days ,0.21,0.685,0.105,two hour movie makes disturbingly clear dependence wired communication integrated controls left whole planet vulnerable countless manipulations
0.0,Zero days ,0.0,1.0,0.0,afraid
-0.743,Zero days ,0.477,0.523,0.0,chilling expose state sponsored cyber warfare enemy within
-0.3612,Zero days ,0.251,0.643,0.105,dense demanding film gibney zero days urgent warning exceptional investigative documentary
-0.2263,Zero days ,0.142,0.749,0.109,documentary might better titled day zero features doomsday scenario cyberwarfare shuts electricity grids networks entire countries using computer malware
0.34,Zero days ,0.0,0.638,0.362,gibney plays thriller elements story
0.0516,Zero days ,0.176,0.585,0.239,open ended challenging may keep awake night better recommendation outrage junkies
-0.3182,Zero days ,0.233,0.575,0.192,gibney new cyber war documentary brilliantly unpacks story behind stuxnet virus created cia us government sabotage iran nuclear programme
-0.128,Zero days ,0.116,0.794,0.09,gibney reveal one nation altered stuxnet code revealed countries growing unchecked cyber warfare capabilities
0.1779,Zero days ,0.173,0.627,0.199,cyber warfare policy clearly complex issue director alex gibney makes convincing argument time brought open fully examined discussed
0.1027,Zero days ,0.0,0.833,0.167,provocative unsettling documentary thriller cyberwar
