airportCode|airportLongName|dTime|dDate|airportCode|airportLongName|arrTime|arrDate|durHours|durMins|stops|price|fx|airline|airlineCode|stopName|stopHours|stopMins|stopType|segKey|tripKey|timeStamp
airportCode|airportLongName|dTime|dDate|airportCode|airportLongName|arrTime|arrDate|durHours|durMins|stops|price|fx|airline|airlineCode|stopName|stopHours|stopMins|stopType|segKey|tripKey|timeStamp
EWR|Liberty Intl.|10:05p|3/5/2017|HKG|Hong Kong Intl.|5:15p|3/7/2017|30|10|1|899.16|USD|Swiss International Air Lines|[u'LX', u'LX']|Zurich (ZRH)|11|0|Layover|c847ca99-35a9-4563-8298-e83b8c4384c4|d870270cd0589ce7b58dbcad436f849b|2017-02-12 16:03:13.673000
HKG|Hong Kong Intl.|12:30a|3/17/2017|JFK|John F. Kennedy Intl.|11:00a|3/17/2017|22|30|1|603.86|USD|Asiana Airlines|[u'OZ', u'OZ']|Seoul (ICN)|5|15|Layover|c847ca99-35a9-4563-8298-e83b8c4384c4|6ead0965e104d56f14bd4e0a24d18bdc|2017-02-12 16:03:13.673000
LGA|LaGuardia|6:00a|3/5/2017|HKG|Hong Kong Intl.|7:55p|3/6/2017|24|55|1|1057.56|USD|American Airlines|[u'AA', u'AA']|Chicago (ORD)|6|21|Layover|c847ca99-35a9-4563-8298-e83b8c4384c4|1033b4a9befa8d429492dc656c444461|2017-02-12 16:03:13.673000
JFK|John F. Kennedy Intl.|8:06a|3/5/2017|HKG|Hong Kong Intl.|7:55p|3/6/2017|22|49|1|1129.56|USD||[u'B6', u'CX']|Chicago (ORD)|4|4|Layover|c847ca99-35a9-4563-8298-e83b8c4384c4|98df45f174eab827f0e5d7f1038101ff|2017-02-12 16:03:13.673000
JFK|John F. Kennedy Intl.|8:15p|3/5/2017|HKG|Hong Kong Intl.|12:25p|3/7/2017|27|10|2|1355.76|USD|Singapore Airlines|[u'SQ', u'SQ']|Frankfurt  (Frankfurt Intl.)|1|50|Layover|c847ca99-35a9-4563-8298-e83b8c4384c4|10be77463c8ac0de487075e2346823aa|2017-02-12 16:03:13.673000
LGA|LaGuardia|7:45a|3/5/2017|HKG|Hong Kong Intl.|7:55p|3/6/2017|23|10|1|1063.56|USD|American Airlines|[u'AA', u'AA']|Chicago (ORD)|4|35|Layover|3c2c25ed-b31e-4149-8638-fead28537479|b1518ee646da1cc87c94bf38a9c1cc6c|2017-02-12 16:03:27.156000
JFK|John F. Kennedy Intl.|12:15p|3/5/2017|HKG|Hong Kong Intl.|10:35p|3/6/2017|21|20|1|1598.86|USD|Japan Airlines|[u'JL', u'JL']|Tokyo (NRT)|1|35|Layover|3c2c25ed-b31e-4149-8638-fead28537479|82f1791801437b43bf4ba45bd0ce29c5|2017-02-12 16:03:27.157000
EWR|Liberty Intl.|7:00a|3/5/2017|HKG|Hong Kong Intl.|8:05p|3/6/2017|24|5|1|846.86|USD|United|[u'UA', u'UA']|San Francisco (SFO)|3|7|Layover|3c2c25ed-b31e-4149-8638-fead28537479|19d0ff7825d2e1c3b65c0ea16029825a|2017-02-12 16:03:27.157000
EWR|Liberty Intl.|9:30p|3/5/2017|HKG|Hong Kong Intl.|2:20p|3/7/2017|27|50|1|3270.96|USD|British Airways|[u'BA', u'BA']|London (LHR)|9|15|Layover|3c2c25ed-b31e-4149-8638-fead28537479|da5674758df22c7ffa17d71876e3ca75|2017-02-12 16:03:27.157000
HKG|Hong Kong Intl.|6:30p|3/18/2017|JFK|John F. Kennedy Intl.|5:28a|3/19/2017|22|58|1|732.86|USD|American Airlines|[u'AA', u'AA']|Los Angeles (LAX)|4|30|Layover|3c2c25ed-b31e-4149-8638-fead28537479|46857b1f0643bafc4864131a4e7e2214|2017-02-12 16:03:27.157000
JFK|John F. Kennedy Intl.|12:20a|3/5/2017|HKG|Hong Kong Intl.|4:00p|3/6/2017|26|40|1|688.66|USD|EVA Airways|[u'BR', u'BR']|Taipei (Taoyuan Intl.)|8|40|Layover|3c2c25ed-b31e-4149-8638-fead28537479|72053bd967485f6e691b3b05ca840de9|2017-02-12 16:03:27.157000
EWR|Liberty Intl.|10:05p|3/5/2017|HKG|Hong Kong Intl.|5:15p|3/7/2017|30|10|1|951.26|USD|Swiss International Air Lines|[u'LX', u'LX']|Zurich (ZRH)|11|0|Layover|3c2c25ed-b31e-4149-8638-fead28537479|d870270cd0589ce7b58dbcad436f849b|2017-02-12 16:03:27.157000
LGA|LaGuardia|6:00a|3/5/2017|HKG|Hong Kong Intl.|7:55p|3/6/2017|24|55|1|1063.56|USD|American Airlines|[u'AA', u'AA']|Chicago (ORD)|6|21|Layover|3c2c25ed-b31e-4149-8638-fead28537479|1033b4a9befa8d429492dc656c444461|2017-02-12 16:03:27.157000
JFK|John F. Kennedy Intl.|8:06a|3/5/2017|HKG|Hong Kong Intl.|7:55p|3/6/2017|22|49|1|808.76|USD||[u'B6', u'CX']|Chicago (ORD)|4|4|Layover|3c2c25ed-b31e-4149-8638-fead28537479|98df45f174eab827f0e5d7f1038101ff|2017-02-12 16:03:27.157000
JFK|John F. Kennedy Intl.|8:15p|3/5/2017|HKG|Hong Kong Intl.|12:25p|3/7/2017|27|10|2|1361.76|USD|Singapore Airlines|[u'SQ', u'SQ']|Frankfurt  (Frankfurt Intl.)|1|50|Layover|3c2c25ed-b31e-4149-8638-fead28537479|10be77463c8ac0de487075e2346823aa|2017-02-12 16:03:27.157000
LGA|LaGuardia|7:45a|3/5/2017|HKG|Hong Kong Intl.|7:55p|3/6/2017|23|10|1|1127.56|USD|American Airlines|[u'AA', u'AA']|Chicago (ORD)|4|35|Layover|140129fe-01f0-464b-980d-9f135f934cd9|b1518ee646da1cc87c94bf38a9c1cc6c|2017-02-12 16:03:39.670000
JFK|John F. Kennedy Intl.|12:15p|3/5/2017|HKG|Hong Kong Intl.|10:35p|3/6/2017|21|20|1|1662.86|USD|Japan Airlines|[u'JL', u'JL']|Tokyo (NRT)|1|35|Layover|140129fe-01f0-464b-980d-9f135f934cd9|82f1791801437b43bf4ba45bd0ce29c5|2017-02-12 16:03:39.671000
EWR|Liberty Intl.|7:00a|3/5/2017|HKG|Hong Kong Intl.|8:05p|3/6/2017|24|5|1|797.86|USD|United|[u'UA', u'UA']|San Francisco (SFO)|3|7|Layover|140129fe-01f0-464b-980d-9f135f934cd9|19d0ff7825d2e1c3b65c0ea16029825a|2017-02-12 16:03:39.671000
EWR|Liberty Intl.|9:30p|3/5/2017|HKG|Hong Kong Intl.|2:20p|3/7/2017|27|50|1|3334.96|USD|British Airways|[u'BA', u'BA']|London (LHR)|9|15|Layover|140129fe-01f0-464b-980d-9f135f934cd9|da5674758df22c7ffa17d71876e3ca75|2017-02-12 16:03:39.671000
JFK|John F. Kennedy Intl.|12:20a|3/5/2017|HKG|Hong Kong Intl.|4:00p|3/6/2017|26|40|1|688.66|USD|EVA Airways|[u'BR', u'BR']|Taipei (Taoyuan Intl.)|8|40|Layover|140129fe-01f0-464b-980d-9f135f934cd9|72053bd967485f6e691b3b05ca840de9|2017-02-12 16:03:39.671000
EWR|Liberty Intl.|10:05p|3/5/2017|HKG|Hong Kong Intl.|5:15p|3/7/2017|30|10|1|1015.26|USD|Swiss International Air Lines|[u'LX', u'LX']|Zurich (ZRH)|11|0|Layover|140129fe-01f0-464b-980d-9f135f934cd9|d870270cd0589ce7b58dbcad436f849b|2017-02-12 16:03:39.672000
LGA|LaGuardia|6:00a|3/5/2017|HKG|Hong Kong Intl.|7:55p|3/6/2017|24|55|1|1127.56|USD|American Airlines|[u'AA', u'AA']|Chicago (ORD)|6|21|Layover|140129fe-01f0-464b-980d-9f135f934cd9|1033b4a9befa8d429492dc656c444461|2017-02-12 16:03:39.672000
JFK|John F. Kennedy Intl.|8:00p|3/5/2017|HKG|Hong Kong Intl.|8:10a|3/7/2017|23|10|1|732.86|USD|American Airlines|[u'AA', u'AA']|Los Angeles (LAX)|0|46|Layover|140129fe-01f0-464b-980d-9f135f934cd9|ec0641890444c39f21ca8c51fe034f96|2017-02-12 16:03:39.672000
JFK|John F. Kennedy Intl.|8:06a|3/5/2017|HKG|Hong Kong Intl.|7:55p|3/6/2017|22|49|1|808.76|USD||[u'B6', u'CX']|Chicago (ORD)|4|4|Layover|140129fe-01f0-464b-980d-9f135f934cd9|98df45f174eab827f0e5d7f1038101ff|2017-02-12 16:03:39.672000
JFK|John F. Kennedy Intl.|8:15p|3/5/2017|HKG|Hong Kong Intl.|12:25p|3/7/2017|27|10|2|1425.76|USD|Singapore Airlines|[u'SQ', u'SQ']|Frankfurt  (Frankfurt Intl.)|1|50|Layover|140129fe-01f0-464b-980d-9f135f934cd9|10be77463c8ac0de487075e2346823aa|2017-02-12 16:03:39.672000
JFK|John F. Kennedy Intl.|12:45a|3/6/2017|HKG|Hong Kong Intl.|2:00p|3/7/2017|24|15|1|514.86|USD|China Eastern Airlines|[u'MU', u'MU']|Shanghai (PVG)|6|30|Layover|ce0f616e-cd92-4e25-8355-7139e1fd29fa|9ba1b29dafa5bf294e252f46246c7b71|2017-02-12 16:03:52.332000
