Year,Rank,Name,College,Conference,Games,XPM,XPA,XP_Per,FGM,FGA,FG_Per,Points
2000,37,Aaron Elling,Wyoming,MWC,11,16,16,100,10,14,71.4,46
2000,38,Joe Garcia,Kansas,Big 12,11,29,31,93.5,10,14,71.4,59
2000,39,Andy Brumbergs,Miami (OH),MAC,11,30,33,90.9,12,17,70.6,66
2000,40,Chris Earnest,Tulsa,WAC,12,24,26,92.3,12,17,70.6,60
2000,41,John Anderson,Washington,Pac-10,11,38,42,90.5,12,17,70.6,74
2000,42,Travis Dorsch,Purdue,Big Ten,12,45,47,95.7,12,17,70.6,81
2000,43,Brad Bohn,Utah State,Big West,11,28,32,87.5,14,20,70,70
2000,44,J.R. Jenkins,Marshall,MAC,12,40,41,97.6,14,20,70,82
2000,45,Ryan Primanti,Penn State,Big Ten,12,22,25,88,14,20,70,64
2000,46,Cap Poklemba,Temple,Big East,11,26,27,96.3,9,13,69.2,53
2000,47,Les Binkley,Mississippi,SEC,11,37,39,94.9,9,13,69.2,64
2000,48,Neal Thomas,Alabama,SEC,11,27,27,100,9,13,69.2,54
2000,49,Mark-Christian Jensen,California,Pac-10,11,25,26,96.2,11,16,68.8,58
2000,50,Zac Derr,Akron,MAC,11,38,41,92.7,11,16,68.8,71
2000,51,Mike Barth,Arizona State,Pac-10,12,33,35,94.3,16,24,66.7,81
2000,52,Bill Gramatica,South Florida,Ind,11,29,30,96.7,16,24,66.7,77
2000,53,Brant Hanna,Southern Mississippi,CUSA,11,32,32,100,12,18,66.7,68
2000,54,Kevin Kerr,Ohio,MAC,11,39,42,92.9,12,18,66.7,75
2000,55,Ryan White,Memphis,CUSA,11,18,18,100,12,18,66.7,54
2000,56,Scott Westerfield,Mississippi State,SEC,11,37,39,94.9,12,18,66.7,73
2000,57,Ben Davis,Idaho,Big West,11,37,40,92.5,10,15,66.7,67
2000,58,Eric Hannum,Hawaii,WAC,12,28,29,96.6,10,15,66.7,58
2000,59,Nick Lotz,Pittsburgh,Big East,11,29,31,93.5,10,15,66.7,59
2000,60,Vladimir Borombozin,New Mexico,MWC,12,21,25,84,10,15,66.7,51
2000,61,Brad Selent,Western Michigan,MAC,12,47,48,97.9,8,12,66.7,71
2000,62,Brian Kopka,Maryland,ACC,11,26,28,92.9,8,12,66.7,50
2000,63,Derek Crabtree,Rice,WAC,10,25,27,92.6,8,12,66.7,49
2000,64,Dan Nystrom,Minnesota,Big Ten,11,31,33,93.9,22,34,64.7,97
2000,65,David Schaefer,Michigan State,Big Ten,11,18,21,85.7,11,17,64.7,51
2000,66,Todd Sievers,Miami (FL),Big East,11,52,58,89.7,11,17,64.7,85
2000,67,Reid Bethea,South Carolina,SEC,12,18,19,94.7,9,14,64.3,45
2000,68,Nate Kaeding,Iowa,Big Ten,12,20,20,100,14,22,63.6,62
2000,69,Chris Birkholz,Texas Tech,Big 12,12,35,36,97.2,12,19,63.2,71
2000,70,Nate Tandberg,San Diego State,MWC,11,18,18,100,12,19,63.2,54
2000,71,Tim Duncan,Oklahoma,Big 12,13,60,61,98.4,15,24,62.5,105
2000,72,Geoff Heyl,Connecticut,Ind,11,22,24,91.7,10,16,62.5,52
2000,73,Aaron Hunt,Clemson,ACC,11,43,45,95.6,8,13,61.5,67
2000,74,Anousith Wilaikul,Washington State,Pac-10,11,13,16,81.3,8,13,61.5,37
2000,75,Seth Condley,Oklahoma State,Big 12,11,19,21,90.5,12,20,60,55
2000,76,Vitaly Pisetsky,Wisconsin,Big Ten,13,31,32,96.9,13,22,59.1,70
2000,77,C.W. Hurst,Colorado State,MWC,11,39,43,90.7,10,17,58.8,69
2000,78,Josh Scobee,Louisiana Tech,Ind,12,39,41,95.1,10,17,58.8,69
2000,79,Kevin Miller,East Carolina,CUSA,11,42,43,97.7,10,17,58.8,72
2000,80,Brent Garber,Duke,ACC,11,16,18,88.9,7,12,58.3,37
2000,81,Hayden Epstein,Michigan,Big Ten,11,22,24,91.7,7,12,58.3,43
2000,82,Mike Biselli,Stanford,Pac-10,11,26,29,89.7,7,12,58.3,47
2000,83,Jon Ohliger,West Virginia,Big East,10,27,31,87.1,8,14,57.1,51
2000,84,Nicholas Setta,Notre Dame,Ind,11,44,45,97.8,8,14,57.1,68
2000,85,Nick Setta,Notre Dame,Ind,11,44,45,97.8,8,14,57.1,68
2000,86,Asen Asparuhov,Fresno State,WAC,11,32,33,97,9,16,56.3,59
2000,87,John Corbello,Louisiana State,SEC,11,33,35,94.3,10,18,55.6,63
2000,88,Mike Knapp,Bowling Green State,MAC,11,15,16,93.8,10,18,55.6,45
2000,89,Mike McKnight,Iowa State,Big 12,6,16,19,84.2,7,13,53.8,37
2000,90,Josh Frankel,Oregon,Pac-10,12,37,39,94.9,13,25,52,76
2000,91,Jacob Crowley,Southern Methodist,WAC,12,19,19,100,10,21,47.6,49
2000,92,Mike Clark,Houston,CUSA,11,17,19,89.5,10,21,47.6,47
2000,93,Dario Aguiniga,New Mexico State,Big West,11,34,38,89.5,9,19,47.4,61
2000,94,Scott Keller,Buffalo,MAC,11,19,22,86.4,6,13,46.2,37
2000,95,Steve Barone,Rutgers,Big East,11,29,31,93.5,6,13,46.2,47
2000,96,Steven Barone,Rutgers,Big East,11,29,31,93.5,6,13,46.2,47
2000,97,Brendan Mullen,Army,CUSA,11,27,29,93.1,5,11,45.5,42
2000,98,Mark Mariscal,Colorado,Big 12,11,24,26,92.3,7,18,38.9,45
2000,99,Mike Shafer,Syracuse,Big East,11,35,37,94.6,7,20,35,56
2000,100,Golden Whetman,Utah,MWC,11,8,8,100,2,11,18.2,14
2001,1,Vladimir Borombozin,New Mexico,MWC,11,31,32,96.9,17,18,94.4,82
2001,2,David Hills,Navy,Ind,10,16,18,88.9,15,16,93.8,61
2001,3,Seth Marler,Tulane,CUSA,12,39,40,97.5,15,16,93.8,84
2001,4,Adam Kiker,North Carolina State,ACC,11,24,27,88.9,13,14,92.9,63
2001,5,Xavier Beitia,Florida State,ACC,11,44,48,91.7,13,14,92.9,83
2001,6,Peter Christofilakos,Illinois,Big Ten,9,25,25,100,12,13,92.3,61
2001,7,Luke Phillips,Oklahoma State,Big 12,11,27,27,100,15,17,88.2,72
2001,8,Nicholas Setta,Notre Dame,Ind,11,23,23,100,15,17,88.2,68
2001,9,Nick Setta,Notre Dame,Ind,11,23,23,100,15,17,88.2,68
2001,10,Jarvis Wallum,Wyoming,MWC,11,17,18,94.4,20,23,87,77
2001,11,Brenden Rauh,West Virginia,Big East,11,25,25,100,13,15,86.7,64
2001,12,Jeff Chandler,Florida,SEC,10,46,48,95.8,19,22,86.4,103
2001,13,David Davis,Southern California,Pac-10,12,31,34,91.2,15,18,83.3,76
2001,14,Zac Derr,Akron,MAC,11,30,30,100,15,18,83.3,75
2001,15,Aaron Hunt,Clemson,ACC,11,37,38,97.4,10,12,83.3,67
2001,16,Kevin Miller,East Carolina,CUSA,11,38,40,95,14,17,82.4,80
2001,17,Drew Dunning,Washington State,Pac-10,12,47,51,92.2,18,22,81.8,101
2001,18,Josh Scobee,Louisiana Tech,WAC,11,44,45,97.8,18,22,81.8,98
2001,19,Travis Dorsch,Purdue,Big Ten,12,20,25,80,22,27,81.5,86
2001,20,Todd Sievers,Miami (FL),Big East,11,56,58,96.6,21,26,80.8,119
2001,21,Robert Treece,Texas Tech,Big 12,11,43,44,97.7,12,15,80,79
2001,22,Mark-Christian Jensen,California,Pac-10,11,22,22,100,11,14,78.6,55
2001,23,Tyler Ashe,Wake Forest,ACC,11,33,34,97.1,11,14,78.6,66
2001,24,Steve Azar,Northern Illinois,MAC,11,31,32,96.9,20,26,76.9,91
2001,25,Chris Griffith,UCLA,Pac-10,11,41,41,100,10,13,76.9,71
2001,26,Dave Pavich,Kent State,MAC,11,30,30,100,10,13,76.9,60
2001,27,Tommy Kirovski,San Diego State,MWC,11,20,22,90.9,10,13,76.9,50
2001,28,Daniel Weaver,South Carolina,SEC,12,33,36,91.7,13,17,76.5,72
2001,29,Jeremy Flores,Colorado,Big 12,11,40,42,95.2,18,24,75,94
2001,30,Alex Walls,Tennessee,SEC,12,39,39,100,15,20,75,84
2001,31,Jeff Reed,North Carolina,ACC,12,36,37,97.3,12,16,75,72
2001,32,Jonathan Ruffin,Cincinnati,CUSA,11,36,36,100,12,16,75,72
2001,33,Jonathon Ruffin,Cincinnati,CUSA,11,36,36,100,12,16,75,72
2001,34,Jacobs,Army,CUSA,11,25,28,89.3,8,11,72.7,49
2001,35,Robert Menchinger,Western Michigan,MAC,11,31,33,93.9,8,11,72.7,55
2001,36,Tyler Kuecker,Louisiana-Monroe,Sun Belt,11,7,8,87.5,8,11,72.7,31
2001,37,Derek Jacobs,Army,CUSA,11,25,28,89.3,8,11,72.7,49
2001,38,Nathan Smith,Louisville,CUSA,12,39,40,97.5,13,18,72.2,78
2001,39,Nate Smith,Louisville,CUSA,12,39,40,97.5,13,18,72.2,78
2001,40,Asen Asparuhov,Fresno State,WAC,14,60,62,96.8,23,32,71.9,129
2001,41,Tim Duncan,Oklahoma,Big 12,12,45,47,95.7,20,28,71.4,105
2001,42,Neal Thomas,Alabama,SEC,11,33,34,97.1,15,21,71.4,78
2001,43,Josh Brown,Nebraska,Big 12,11,34,37,91.9,10,14,71.4,64
2001,44,Brennan O'Donohoe,Arkansas,SEC,11,29,29,100,12,17,70.6,65
2001,45,Matt Payne,Brigham Young,MWC,13,73,76,96.1,12,17,70.6,109
2001,46,Nate Kaeding,Iowa,Big Ten,12,49,50,98,12,17,70.6,85
2001,47,Todd France,Toledo,MAC,11,44,45,97.8,12,17,70.6,80
2001,48,Marc Hickok,Connecticut,Ind,11,18,19,94.7,12,17,70.6,54
2001,49,Johnny Beck,Kansas,Big 12,11,16,17,94.1,14,20,70,58
2001,50,Nick Browne,Texas Christian,CUSA,11,30,31,96.8,14,20,70,72
2001,51,Dusty Mangum,Texas,Big 12,12,54,55,98.2,16,23,69.6,102
2001,52,Brad Hammerich,Missouri,Big 12,11,23,24,95.8,11,16,68.8,56
2001,53,Kent Naughton,Colorado State,MWC,10,26,26,100,11,16,68.8,59
2001,54,Billy Bennett,Georgia,SEC,11,34,34,100,17,25,68,85
2001,55,Luke Manget,Georgia Tech,ACC,12,40,40,100,19,28,67.9,97
2001,56,Dallas Pelz,Buffalo,MAC,11,19,21,90.5,12,18,66.7,55
2001,57,Jonathon Knott,Louisiana-Lafayette,Sun Belt,11,24,27,88.9,10,15,66.7,54
2001,58,Nick Hayes,Alabama-Birmingham,CUSA,11,17,17,100,10,15,66.7,47
2001,59,Javier Beorlegui,Central Florida,Ind,11,41,42,97.6,8,12,66.7,65
2001,60,Mark Neuser,Wisconsin,Big Ten,12,27,27,100,8,12,66.7,51
2001,61,Justin Ayat,Hawaii,WAC,12,54,57,94.7,19,29,65.5,111
2001,62,Damon Fine,Nevada,WAC,11,23,26,88.5,15,23,65.2,68
2001,63,Jacob Crowley,Southern Methodist,WAC,11,23,24,95.8,13,20,65,62
2001,64,Nick Lotz,Pittsburgh,Big East,11,31,32,96.9,11,17,64.7,64
2001,65,Jason Ball,North Texas,Sun Belt,11,30,31,96.8,9,14,64.3,57
2001,66,Mike Barth,Arizona State,Pac-10,11,43,44,97.7,9,14,64.3,70
2001,67,Sean Keel,Arizona,Pac-10,11,37,40,92.5,9,14,64.3,64
2001,68,Nick Novak,Maryland,ACC,11,41,42,97.6,16,25,64,89
2001,69,John Anderson,Washington,Pac-10,11,34,37,91.9,14,22,63.6,76
2001,70,Andy McPherson,Arkansas State,Sun Belt,11,16,20,80,7,11,63.6,37
2001,71,Hayden Epstein,Michigan,Big Ten,11,35,35,100,12,19,63.2,71
2001,72,Brant Hanna,Southern Mississippi,CUSA,11,26,26,100,10,16,62.5,56
2001,73,Mike Biselli,Stanford,Pac-10,11,48,50,96,10,16,62.5,78
2001,74,Ryan Cesca,Oregon State,Pac-10,11,29,29,100,10,16,62.5,59
2001,75,Damon Duval,Auburn,SEC,11,28,28,100,16,26,61.5,76
2001,76,Brooks Walters,Air Force,MWC,12,37,39,94.9,11,18,61.1,70
2001,77,Paul Savich,Central Michigan,MAC,11,28,28,100,11,18,61.1,61
2001,78,John Corbello,Louisiana State,SEC,12,41,44,93.2,14,23,60.9,83
2001,79,Dan Nystrom,Minnesota,Big Ten,11,37,37,100,9,15,60,64
2001,80,Nick Gilliam,San Jose State,WAC,12,31,33,93.9,10,17,58.8,61
2001,81,Dillon Pieffer,Nevada-Las Vegas,MWC,11,33,35,94.3,7,12,58.3,54
2001,82,Jared Siegel,Oregon,Pac-10,12,51,53,96.2,7,12,58.3,72
2001,83,Kevin Kerr,Ohio,MAC,11,21,23,91.3,7,12,58.3,42
2001,84,Ryan Kaneshiro,Utah,MWC,11,39,41,95.1,8,14,57.1,63
2001,85,Ryan White,Memphis,CUSA,11,36,36,100,8,14,57.1,60
2001,86,Dave Rayner,Michigan State,Big Ten,9,36,37,97.3,8,14,57.1,60
2001,87,Cap Poklemba,Temple,Big East,11,15,15,100,9,16,56.3,42
2001,88,David Greene,Virginia,ACC,12,27,27,100,12,22,54.5,63
2001,89,Dane Kidman,Utah State,Ind,11,35,39,89.7,7,13,53.8,56
2001,90,David Rayner,Michigan State,Big Ten,10,31,31,100,7,13,53.8,52
2001,91,David Wasielewski,Northwestern,Big Ten,11,37,40,92.5,7,13,53.8,58
2001,92,Carter Warley,Virginia Tech,Big East,11,44,44,100,11,21,52.4,77
2001,93,Cody Scates,Texas A&M,Big 12,11,26,27,96.3,8,16,50,50
2001,94,John Michael Marlin,Mississippi State,SEC,11,20,23,87,8,16,50,44
2001,95,Adam Stiles,Baylor,Big 12,11,,,,7,14,50,
2001,96,Mike Nugent,Ohio State,Big Ten,11,23,25,92,7,14,50,44
2001,97,Chris Earnest,Tulsa,WAC,11,19,21,90.5,6,12,50,37
2001,98,Tony Yelk,Iowa State,Big 12,11,38,39,97.4,8,18,44.4,62
2001,99,Brandon Skeen,Rice,WAC,12,23,25,92,6,16,37.5,41
2001,100,Santiago Gramatica,South Florida,Ind,11,44,52,84.6,3,11,27.3,53
2002,1,Jared Parseghian,Miami (OH),MAC,12,44,46,95.7,14,14,100,86
2002,2,Dan Nystrom,Minnesota,Big Ten,13,42,42,100,20,21,95.2,102
2002,3,Kirk Yliniemi,Oregon State,Pac-10,13,45,46,97.8,15,16,93.8,90
2002,4,Nate Fikse,UCLA,Pac-10,13,17,18,94.4,12,13,92.3,53
2002,5,Mike Nugent,Ohio State,Big Ten,14,45,46,97.8,25,28,89.3,120
2002,6,Joey Ashcroft,Air Force,MWC,13,47,50,94,16,18,88.9,95
2002,7,Nate Kaeding,Iowa,Big Ten,13,57,58,98.3,21,24,87.5,120
2002,8,Jonathan Ruffin,Cincinnati,CUSA,14,44,46,95.7,19,22,86.4,101
2002,9,Jonathon Ruffin,Cincinnati,CUSA,14,44,46,95.7,19,22,86.4,101
2002,10,Nick Novak,Maryland,ACC,14,53,54,98.1,24,28,85.7,125
2002,11,Dustin Bell,Houston,CUSA,12,32,35,91.4,12,14,85.7,68
2002,12,Shaun Suisham,Bowling Green State,MAC,12,57,59,96.6,12,14,85.7,93
2002,13,Travis Mayle,Kent State,MAC,12,22,24,91.7,12,14,85.7,58
2002,14,Nick Calaycay,Boise State,WAC,10,63,66,95.5,11,13,84.6,96
2002,15,Jared Siegel,Oregon,Pac-10,13,49,50,98,20,24,83.3,109
2002,16,Dane Kidman,Utah State,Ind,11,33,35,94.3,14,17,82.4,75
2002,17,Jason Robbins,Toledo,MAC,14,54,62,87.1,13,16,81.3,93
2002,18,Matt Payne,Brigham Young,MWC,12,27,30,90,13,16,81.3,66
2002,19,Brent Smith,Mississippi State,SEC,12,16,16,100,16,20,80,64
2002,20,Billy Bennett,Georgia,SEC,14,52,52,100,26,33,78.8,130
2002,21,Josh Brown,Nebraska,Big 12,14,46,46,100,14,18,77.8,88
2002,22,Aaron Hunt,Clemson,ACC,13,37,38,97.4,17,22,77.3,88
2002,23,Kevin Miller,East Carolina,CUSA,12,34,36,94.4,17,22,77.3,85
2002,24,Nick Hayes,Alabama-Birmingham,CUSA,12,29,29,100,17,22,77.3,80
2002,25,Robbie Gould,Penn State,Big Ten,13,42,45,93.3,17,22,77.3,93
2002,26,Brian Kelly,Middle Tennessee State,Sun Belt,12,31,32,96.9,10,13,76.9,61
2002,27,Asen Asparuhov,Fresno State,WAC,14,43,43,100,23,30,76.7,112
2002,28,Nick Browne,Texas Christian,CUSA,12,36,38,94.7,23,30,76.7,105
2002,29,Curtis Head,Marshall,MAC,13,49,53,92.5,16,21,76.2,97
2002,30,Josh Scobee,Louisiana Tech,WAC,12,30,35,85.7,16,21,76.2,78
2002,31,Santiago Gramatica,South Florida,Ind,11,35,40,87.5,16,21,76.2,83
2002,32,Jeff Babcock,Colorado State,MWC,14,40,44,90.9,24,32,75,112
2002,33,Jonathan Nichols,Mississippi,SEC,13,40,40,100,15,20,75,85
2002,34,David Carlton,Arkansas,SEC,14,28,29,96.6,12,16,75,64
2002,35,Peter Christofilakos,Illinois,Big Ten,12,40,40,100,9,12,75,67
2002,36,Adam Benike,Iowa State,Big 12,14,46,48,95.8,17,23,73.9,97
2002,37,Dario Aguiniga,New Mexico State,Sun Belt,12,32,33,97,17,23,73.9,83
2002,38,Mike Gruzwalski,Central Michigan,MAC,12,27,31,87.1,14,19,73.7,69
2002,39,Thomas Olmsted,Troy,Ind,12,21,24,87.5,11,15,73.3,54
2002,40,Trey Dicarlo,Oklahoma,Big 12,14,58,62,93.5,16,22,72.7,106
2002,41,Steve Azar,Northern Illinois,MAC,12,41,43,95.3,18,25,72,95
2002,42,Sandro Sciortino,Boston College,Big East,13,38,40,95,23,32,71.9,107
2002,43,John Corbello,Louisiana State,SEC,13,34,34,100,17,24,70.8,85
2002,44,Alex Walls,Tennessee,SEC,13,20,23,87,12,17,70.6,56
2002,45,Luke Manget,Georgia Tech,ACC,13,29,29,100,12,17,70.6,65
2002,46,Marc Hickok,Connecticut,Ind,12,47,48,97.9,12,17,70.6,83
2002,47,Mark-Christian Jensen,California,Pac-10,12,50,51,98,19,27,70.4,107
2002,48,Cap Poklemba,Temple,Big East,12,22,26,84.6,14,20,70,64
2002,49,Mike Barth,Arizona State,Pac-10,14,49,49,100,23,33,69.7,118
2002,50,Ryan Killeen,Southern California,Pac-10,13,47,49,95.9,16,23,69.6,95
2002,51,Bryan Robertson,Indiana,Big Ten,12,23,28,82.1,9,13,69.2,50
2002,52,Dallas Pelz,Buffalo,MAC,12,8,13,61.5,9,13,69.2,35
2002,53,Michael Matheny,Missouri,Big 12,12,40,42,95.2,9,13,69.2,67
2002,54,Mike Langford,Ball State,MAC,12,31,33,93.9,9,13,69.2,58
2002,55,Mike Matheny,Missouri,Big 12,12,40,42,95.2,9,13,69.2,67
2002,56,Todd James,West Virginia,Big East,13,46,50,92,11,16,68.8,79
2002,57,Robert Treece,Texas Tech,Big 12,14,54,54,100,13,19,68.4,93
2002,58,Matt Wisnosky,Wake Forest,ACC,13,33,36,91.7,17,25,68,84
2002,59,Xavier Beitia,Florida State,ACC,14,51,51,100,19,28,67.9,108
2002,60,Drew Dunning,Washington State,Pac-10,13,47,49,95.9,22,33,66.7,113
2002,61,Matt Prater,Central Florida,MAC,12,44,47,93.6,14,21,66.7,86
2002,62,Keith Robinson,Texas-El Paso,WAC,12,28,28,100,8,12,66.7,52
2002,63,Justin Ayat,Hawaii,WAC,14,55,56,98.2,15,23,65.2,100
2002,64,David Abdul,Pittsburgh,Big East,13,28,29,96.6,13,20,65,67
2002,65,John Anderson,Washington,Pac-10,13,42,44,95.5,22,34,64.7,108
2002,66,Luke Phillips,Oklahoma State,Big 12,13,55,56,98.2,11,17,64.7,88
2002,67,Dan Orner,North Carolina,ACC,12,26,27,96.3,9,14,64.3,53
2002,68,Nick Bazaldua,North Texas,Sun Belt,12,22,28,78.6,9,14,64.3,49
2002,69,Stephen Gostkowski,Memphis,CUSA,12,32,37,86.5,9,14,64.3,59
2002,70,Taylor Begley,Kentucky,SEC,12,31,37,83.8,9,14,64.3,58
2002,71,Mike Allen,Wisconsin,Big Ten,14,30,30,100,12,19,63.2,66
2002,72,Nate Smith,Louisville,CUSA,13,40,41,97.6,12,19,63.2,76
2002,73,Tommy Kirovski,San Diego State,MWC,13,32,35,91.4,17,27,63,83
2002,74,Daniel Weaver,South Carolina,SEC,12,24,26,92.3,10,16,62.5,54
2002,75,David Rayner,Michigan State,Big Ten,12,34,35,97.1,10,16,62.5,64
2002,76,Kevin Kerr,Ohio,MAC,12,31,36,86.1,10,16,62.5,61
2002,77,Dave Rayner,Michigan State,Big Ten,12,34,35,97.1,10,16,62.5,64
2002,78,Dusty Mangum,Texas,Big 12,13,54,54,100,16,26,61.5,102
2002,79,Greg Johnson,Vanderbilt,SEC,12,27,27,100,8,13,61.5,51
2002,80,Seth Marler,Tulane,CUSA,13,29,33,87.9,20,33,60.6,89
2002,81,Nick Gilliam,San Jose State,WAC,13,42,44,95.5,12,20,60,78
2002,82,Carter Warley,Virginia Tech,Big East,10,36,37,97.3,9,15,60,63
2002,83,Matt Leach,Florida,SEC,13,30,35,85.7,9,15,60,57
2002,84,Michael Sgroi,Stanford,Pac-10,11,23,24,95.8,9,15,60,50
2002,85,Todd Sievers,Miami (FL),Big East,13,66,69,95.7,13,22,59.1,105
2002,86,Damon Fine,Nevada,WAC,12,35,38,92.1,10,17,58.8,65
2002,87,Brad Devault,Tulsa,WAC,9,11,17,64.7,7,12,58.3,32
2002,88,Curt Jones,Southern Mississippi,CUSA,13,29,29,100,15,26,57.7,74
2002,89,Todd Pegram,Texas A&M,Big 12,12,32,33,97,12,21,57.1,68
2002,90,Anthony Apa,Western Michigan,MAC,9,22,22,100,8,14,57.1,46
2002,91,Chris Griffith,UCLA,Pac-10,9,26,27,96.3,8,14,57.1,50
2002,92,Nicholas Setta,Notre Dame,Ind,13,32,32,100,14,25,56,74
2002,93,Nick Setta,Notre Dame,Ind,13,32,32,100,14,25,56,74
2002,94,David Wasielewski,Northwestern,Big Ten,12,26,28,92.9,10,18,55.6,56
2002,95,Collin Barber,Syracuse,Big East,12,33,36,91.7,11,20,55,66
2002,96,Brent Garber,Duke,ACC,12,21,23,91.3,14,26,53.8,63
2002,97,Dillon Pieffer,Nevada-Las Vegas,MWC,12,33,34,97.1,7,13,53.8,54
2002,98,Brennan Landry,Rice,WAC,11,31,33,93.9,8,15,53.3,55
2002,99,Berin Lacevic,Purdue,Big Ten,13,48,49,98,10,19,52.6,78
2002,100,Bryan Borreson,Utah,MWC,11,26,30,86.7,11,21,52.4,59
2002,101,Sean Comiskey,Louisiana-Lafayette,Sun Belt,12,20,20,100,9,18,50,47
2002,102,Billy Sullivan,Akron,MAC,12,40,43,93,7,14,50,61
2002,103,Eric Neihouse,Arkansas State,Sun Belt,13,31,32,96.9,10,22,45.5,61
2002,104,Pat Brougham,Colorado,Big 12,14,44,47,93.6,11,26,42.3,77
2002,105,Ryan Sands,Rutgers,Big East,12,18,19,94.7,5,12,41.7,33
2002,106,Johnny Beck,Kansas,Big 12,11,23,27,85.2,7,17,41.2,44
2002,107,Keith Stamps,Idaho,Sun Belt,12,36,36,100,7,17,41.2,57
2002,108,Damon Duval,Auburn,SEC,13,40,40,100,6,15,40,58
2003,1,Nate Kaeding,Iowa,Big Ten,13,40,41,97.6,20,21,95.2,100
2003,2,Connor Hughes,Virginia,ACC,13,40,40,100,23,25,92,109
2003,3,Luke Phillips,Oklahoma State,Big 12,13,55,56,98.2,16,18,88.9,103
2003,4,Wes Zunker,New Mexico,MWC,13,42,45,93.3,15,17,88.2,87
2003,5,Drew Dunning,Washington State,Pac-10,13,35,40,87.5,27,31,87.1,116
2003,6,Trey Dicarlo,Oklahoma,Big 12,13,74,76,97.4,19,22,86.4,131
2003,7,Jonathan Nichols,Mississippi,SEC,13,49,49,100,25,29,86.2,124
2003,8,Nick Hayes,Alabama-Birmingham,CUSA,12,26,27,96.3,17,20,85,77
2003,9,Nick Browne,Texas Christian,CUSA,13,38,38,100,28,33,84.8,122
2003,10,Mike Nugent,Ohio State,Big Ten,13,38,38,100,16,19,84.2,86
2003,11,Ben Jones,Purdue,Big Ten,13,36,37,97.3,25,30,83.3,111
2003,12,Kirk Yliniemi,Oregon State,Pac-10,13,46,47,97.9,19,23,82.6,103
2003,13,Andrew Wellock,Eastern Michigan,MAC,12,23,23,100,14,17,82.4,65
2003,14,Dallas Pelz,Buffalo,MAC,11,15,16,93.8,14,17,82.4,57
2003,15,Darren McCaleb,Southern Mississippi,CUSA,13,31,32,96.9,14,17,82.4,73
