,X_value,Y_value,Z_value,accel_mag,classification
2017-03-19 10:10:06.623,-0.53888,3.74102,9.2352,9.97870439159,W
2017-03-19 10:10:06.623,0.20597,3.56379,8.95498,9.64026398007,W
2017-03-19 10:10:06.715,-0.42871,3.77695,8.74901,9.53909427287,W
2017-03-19 10:10:06.782,0.5772,3.69073,8.99809,9.74270349651,W
2017-03-19 10:10:06.782,0.03832,3.70749,9.40285,10.1074496608,W
2017-03-19 10:10:06.873,0.42631,3.72186,9.92257,10.6061952405,W
2017-03-19 10:10:06.873,0.6275,3.83443,8.74422,9.56859410171,W
2017-03-19 10:10:06.942,0.17005,3.5087,10.53569,11.1058838671,W
2017-03-19 10:10:07.022,0.40236,3.93741,8.22929,9.1316102075,W
2017-03-19 10:10:07.033,-0.18681,3.64043,9.34537,10.0311299961,W
2017-03-19 10:10:07.101,0.35207,3.69791,9.12023,9.84769449698,W
2017-03-19 10:10:07.181,-0.30177,3.47038,9.06275,9.70917298434,W
2017-03-19 10:10:07.190,0.06227,3.4129,8.9454,9.57454673198,W
2017-03-19 10:10:07.259,0.25627,3.42727,8.54064,9.20621450844,W
2017-03-19 10:10:07.259,0.29698,3.53744,9.21364,9.87384630849,W
2017-03-19 10:10:07.359,0.85502,3.56858,9.69504,10.3662733428,W
2017-03-19 10:10:07.418,0.83826,3.64043,9.90101,10.5823158823,W
2017-03-19 10:10:07.418,1.26697,3.78892,9.24478,10.0711014788,W
2017-03-19 10:10:07.510,1.20469,3.76258,9.0412,9.86669061502,W
2017-03-19 10:10:07.582,1.22625,3.59253,9.01006,9.77707226459,W
2017-03-19 10:10:07.582,1.44899,3.559,8.79212,9.59517728416,W
2017-03-19 10:10:07.670,1.26218,3.56858,8.94779,9.71549316571,W
2017-03-19 10:10:07.670,1.47533,3.57816,9.18251,9.96485411306,W
2017-03-19 10:10:07.736,1.54479,3.68594,9.1346,9.97062921724,W
2017-03-19 10:10:07.829,1.60945,3.73144,8.53106,9.44949514523,W
2017-03-19 10:10:07.829,1.25499,3.73144,8.59573,9.45437563283,W
2017-03-19 10:10:07.894,1.20948,3.62845,8.44963,9.27495220526,W
2017-03-19 10:10:07.981,1.21428,3.64043,8.98851,9.77345990545,W
2017-03-19 10:10:07.991,1.38432,3.74102,9.25196,10.0752338109,W
2017-03-19 10:10:08.054,1.33403,3.92304,8.81128,9.73696739857,W
2017-03-19 10:10:08.133,1.02028,3.77934,9.11784,9.92267042583,W
2017-03-19 10:10:08.144,1.19511,3.92783,8.4137,9.36197009774,W
2017-03-19 10:10:08.223,0.73767,3.71468,9.06036,9.82003706006,W
2017-03-19 10:10:08.223,0.78557,3.93502,9.02443,9.87632722474,W
2017-03-19 10:10:08.305,0.88137,3.89909,8.99569,9.84388919488,W
2017-03-19 10:10:08.371,0.60115,4.03561,9.23041,10.0919769204,W
2017-03-19 10:10:08.371,0.5269,4.06195,8.68913,9.60614603103,W
2017-03-19 10:10:08.465,0.04551,3.89909,9.10586,9.9056378052,W
2017-03-19 10:10:08.536,0.22034,3.96136,9.06036,9.89095779461,W
2017-03-19 10:10:08.536,0.08143,3.85119,9.24717,10.0174072629,W
2017-03-19 10:10:08.632,0.17723,3.89909,9.25675,10.0459809806,W
2017-03-19 10:10:08.632,0.42871,3.98052,9.01006,9.85948847244,W
2017-03-19 10:10:08.696,0.57241,4.14817,8.83523,9.7773338242,W
2017-03-19 10:10:08.767,0.52211,4.07393,8.95019,9.84760912776,W
2017-03-19 10:10:08.777,0.35925,4.15296,9.18729,10.0887281095,W
2017-03-19 10:10:08.857,0.44308,4.232,9.13221,10.0748897448,W
2017-03-19 10:10:08.932,0.31375,4.15775,8.8472,9.78050468867,W
2017-03-19 10:10:08.947,0.2395,3.96855,8.82086,9.675449369,W
2017-03-19 10:10:09.009,0.45984,3.89909,9.82198,10.5776011824,W
2017-03-19 10:10:09.009,0.44308,4.32541,8.61968,9.65424128852,W
2017-03-19 10:10:09.094,0.30896,4.55533,8.7059,9.83052300239,W
2017-03-19 10:10:09.165,0.56522,4.77327,7.58982,8.98381588044,W
2017-03-19 10:10:09.165,0.25148,4.58167,8.72506,9.85807355333,W
2017-03-19 10:10:09.257,0.83586,4.67268,8.10954,9.39666107368,W
2017-03-19 10:10:09.326,0.57959,4.61281,9.12502,10.2410903064,W
2017-03-19 10:10:09.326,0.9125,4.81638,8.23887,9.5869260679,W
2017-03-19 10:10:09.418,0.57241,4.86189,8.58615,9.883703729,W
2017-03-19 10:10:09.479,0.59875,4.63915,8.97414,10.1200495564,W
2017-03-19 10:10:09.479,0.867,4.73495,8.66279,9.91036684924,W
2017-03-19 10:10:09.574,1.14003,4.62718,8.08319,9.38341215813,W
2017-03-19 10:10:09.574,0.93406,4.60323,8.88313,10.0484920816,W
2017-03-19 10:10:09.638,1.03465,4.55533,8.44005,9.64655254658,W
2017-03-19 10:10:09.717,1.58071,4.74932,7.9371,9.38361555993,W
2017-03-19 10:10:09.729,0.28501,4.61999,10.17404,11.1775054561,W
2017-03-19 10:10:09.802,0.73527,4.54575,8.08319,9.30281815427,W
2017-03-19 10:10:09.884,0.12933,4.52659,9.20885,10.2620495808,W
2017-03-19 10:10:09.903,0.4311,4.36612,9.05078,10.058104676,W
2017-03-19 10:10:09.961,0.74006,4.55533,8.25324,9.45593415322,W
2017-03-19 10:10:09.961,0.47182,4.41163,9.13221,10.1529479883,W
2017-03-19 10:10:10.047,0.90532,4.59125,8.52627,9.7260711995,W
2017-03-19 10:10:10.115,0.48619,4.57209,9.25915,10.3379033854,W
2017-03-19 10:10:10.115,0.70893,4.6176,8.6077,9.79373834625,W
2017-03-19 10:10:10.205,0.51972,4.48587,8.78972,9.88191865043,W
2017-03-19 10:10:10.275,0.63468,4.52659,9.06515,10.1523288093,W
2017-03-19 10:10:10.275,0.79754,4.72058,8.09038,9.40075497672,W
2017-03-19 10:10:10.366,0.83826,4.62239,8.82325,9.99594466282,W
2017-03-19 10:10:10.433,0.27543,4.46192,8.76338,9.8377548656,W
2017-03-19 10:10:10.433,0.9125,4.64155,8.30593,9.5585101254,W
2017-03-19 10:10:10.531,0.59396,4.60083,8.33227,9.53662144176,W
2017-03-19 10:10:10.531,0.57241,4.60083,9.35974,10.4450956321,W
2017-03-19 10:10:10.590,0.44068,4.52898,8.27958,9.44760835763,W
2017-03-19 10:10:10.670,0.53648,4.45474,8.02092,9.19062984264,W
2017-03-19 10:10:10.680,1.1065,4.60802,8.80888,10.0027274993,W
2017-03-19 10:10:10.753,1.89686,5.56603,6.80186,8.99133289786,W
2017-03-19 10:10:10.828,2.79499,5.61393,5.31215,8.21870529752,W
2017-03-19 10:10:10.839,-0.87179,3.54463,6.75635,7.6793674846,W
2017-03-19 10:10:10.916,0.57959,3.36261,0.9628,3.54542725496,W
2017-03-19 10:10:10.916,0.2419,1.80105,0.10778,1.82041567805,W
2017-03-19 10:10:11.000,-0.17963,-1.62143,-0.30417,1.65946424207,W
2017-03-19 10:10:11.067,2.59141,-4.81878,-0.94603,5.55256870623,W
2017-03-19 10:10:11.067,8.88792,-12.36549,-9.47709,17.9364349784,W
2017-03-19 10:10:11.169,7.86045,-22.61138,17.82374,29.8453830147,W
2017-03-19 10:10:11.225,-3.10155,-9.49865,20.83428,23.1065182869,W
2017-03-19 10:10:11.226,6.25579,-8.52388,4.31104,11.4182531352,W
2017-03-19 10:10:11.318,12.25292,-8.38257,4.26074,15.4452398388,W
2017-03-19 10:10:11.319,12.0685,-8.79691,8.44484,17.1566208918,W
2017-03-19 10:14:38.133,-1.12566,-2.3064,21.64858,21.8001744812,W
2017-03-19 10:14:38.198,0.5748,-0.27782,5.85822,5.89290425519,W
2017-03-19 10:14:38.198,-2.95545,-0.2419,10.42792,10.8413428983,W
2017-03-19 10:14:38.277,0.80473,1.1041,11.3476,11.4295517385,W
2017-03-19 10:14:38.286,1.64298,1.99984,4.09788,4.84678901959,W
2017-03-19 10:14:38.357,-0.89813,1.08734,6.98867,7.12954796193,W
2017-03-19 10:14:38.436,1.48012,1.14961,8.59812,8.80000147164,W
2017-03-19 10:14:38.445,0.25866,1.10889,11.50807,11.5642646611,W
2017-03-19 10:14:38.523,3.97813,0.29938,12.39423,13.0204486856,W
2017-03-19 10:14:38.523,3.18059,2.83331,9.03641,9.99002021981,W
2017-03-19 10:14:38.607,4.39247,0.23471,15.43351,16.0481186563,W
2017-03-19 10:14:38.676,2.95066,-1.54239,9.25196,9.83280861144,W
2017-03-19 10:14:38.676,4.69424,-1.32205,7.93949,9.31768248226,W
2017-03-19 10:14:38.763,3.37937,0.8646,7.55629,8.32257131667,W
2017-03-19 10:14:38.838,1.81303,2.22976,6.08096,6.72584433065,W
2017-03-19 10:14:38.838,1.81303,2.22976,6.08096,6.72584433065,W
2017-03-19 10:14:38.920,-0.0479,1.65975,6.99825,7.19253554284,W
2017-03-19 10:14:38.920,-0.04311,1.2502,11.50328,11.5710980149,W
2017-03-19 10:14:38.993,0.37362,1.51605,11.3021,11.4094462581,W
2017-03-19 10:14:39.071,0.81431,2.5507,10.86141,11.1865722388,W
