source_name,review_date,critic_name,review_detail
Fort Worth Star-Telegram/DFW.com," November 3, 2016",Preston Jones," Diehard Stooges fans likely won't come away from Gimme Danger having learned anything particularly revelatory...but as a celebration of artistic tenacity, Jarmusch's appreciation for the band and its music serves as a handsomely made valentine."
Irish Independent," November 21, 2016",Paul Whitington," A sometimes impassioned but oddly meandering documentary, it tells the stories of the hugely influential 60s group through the recollections of Iggy Pop and fellow band members Ron and Scott Asheton. But as usual, Iggy's the main event."
Observer (UK)," November 20, 2016",Wendy Ide," With this punchy documentary, Jim Jarmusch makes a fairly persuasive case that the Stooges, fronted by snake-hipped rock legend Iggy Pop, were the greatest band of all time."
"Capital Times (Madison, WI)"," November 18, 2016",Rob Thomas," Jarmusch doesn't exactly reinvent the rock documentary with ""Gimme Danger,"" but he has a lot of fun with it and his scruffy, untamed subject. "
Daily Express (UK)," November 17, 2016",Allan Hunter, Jarmusch is clearly a fan and lovingly stitches together archive footage covering the history of the band from the 1960s until their break-up in 1974.
Times (UK)," November 17, 2016",Kevin Maher, Gimme Danger is a gross act of fandom masquerading as a musical documentary.
Radio Times," November 17, 2016",Jamie Healy, The familiar approach doesn't spoil what proves to be an infectiously entertaining epitaph that was well worth the wait.
Independent (UK)," November 17, 2016",Geoffrey Macnab, Jim Jarmusch's film about Iggy Pop and the Stooges has all the familiar ingredients but Jarmusch is an accomplished enough director to move the material onto another plane.
Guardian," November 17, 2016",Peter Bradshaw, Unwholesome rock'n'roll excitement.
RTÉ (Ireland)," November 16, 2016",Alan Corr," The Stooges story has been told before and you can still hear the mighty roar of bug-eyed defiance on their three key albums but Jarmusch reckons it's time to revisit this tale of drugs, burn-out, more drugs, and peanut butter all over again."
Little White Lies," November 16, 2016",Josh Slater-Williams," Iggy's survival means he's the film's anchor, and it's his captivating storytelling, full of both articulate reminiscences and daft flights of deranged fancy, that helps to overlook the film's overall lack of weight ..."
Total Film," November 16, 2016",Ali Catterall, A conventional music doc about an extremely unconventional group ...
Time Out," November 14, 2016",Joshua Rothkopf, An important addition to our understanding of early '70s anarchy.
HeyUGuys," November 14, 2016",Stefan Pape," Jim Jarmusch seeks to alter the portrayal of this eccentric, irrepressible individual and remind us quite how brilliant Iggy and the Stooges were as an outfit."
"HeraldNet (Everett, WA)"," November 11, 2016",Robert Horton, Required viewing for anybody who digs rock and roll history.
Montreal Gazette," November 10, 2016",T'Cha Dunlevy," Along their messy path, they made some crazy music. Archival footage and photos as well as stop-motion animation round out the picture of a band that defied the cookie-cutter model of the music industry and refused to play the game."
Willamette Week," November 10, 2016",Nathan Carson," Jarmusch leaves no fingerprints, making this documentary a rather straightforward, artless exercise. Nevertheless, the film is carried by its subject matter, the music and a handful of long interviews with Iggy Pop that largely serve as narration."
Austin Chronicle," November 10, 2016",Marc Savlov," Both fans and newcomers to the Stooges will leave with the hairs on their inner ears singed (thanks partly to the film's particularly forceful sound design) and a song in their heart, even if that song is ""Your Pretty Face Is Going to Hell."""
Empire Magazine," November 10, 2016",Hamish Macbain," The Stooges' story is a natural fit for the silver screen. Unfortunately, superfan Jim Jarmusch's love letter to them does not quite do it justice."
Newcity," November 10, 2016",Ray Pride," ""I don't wanna belong to the glam people. I don't wanna belong to the hip-hop people, I don't wanna belong to any of it, I don't wanna belong to the TV people, alternative people, none of it, I don't wanna be a punk, I just wanna be."" "
Combustible Celluloid," November 9, 2016",Jeffrey M. Anderson, Whether or not Jarmusch succeeds in his task is up for debate - especially for non-fans - but he at least gave me a fresh new appreciation for a band that I already loved.
