source_name,review_date,critic_name,review_detail
Tribune News Service," February 10, 2016",Katie Walsh," ""Deadpool"" might feel innovative, but the story itself is standard-issue."
Consequence of Sound," February 10, 2016",Dominick Mayer," Deadpool is very good at what it sets out to do some of the time, and it's going to do exceedingly well because of this."
Times-Picayune," February 10, 2016",Mike Scott," Profane, violent and deliciously depraved, it's one of the most start-to-finish enjoyable comic-book movie this side of 2008's original Iron Man."
RogerEbert.com," February 10, 2016",Brian Tallerico," ""Deadpool"" fails to live up to the potential of its beloved source material, subverting its own agenda by becoming a remarkably generic, by-the-numbers man-in-tights flick."
Groucho Reviews," February 10, 2016",Peter Canavese," May not be wildly fresh, but it does wriggle against its genre straightjacket, and if it doesn't quite escape, it puts on a great show in the process."
Irish Times," February 10, 2016",Donald Clarke, Deadpool plays like a dim 15-year-old's impression of what a grown-up superhero film might look like.
Chicago Tribune," February 10, 2016",Michael Phillips, Reynolds is entertaining; it's rather sweet to see this eternally not-quite-a-star get closer than usual to justifying star billing.
New York Daily News," February 10, 2016",Ethan Sacks," The politically incorrect material suits Ryan Reynolds as snugly as Marvel's tight red costume, giving the Canadian actor a chance to work out his mutant power for hurling snarky one-liners."
The Skinny," February 10, 2016",Josh Slater-Williams," Reynolds' giddiness at playing this insane, virtually indestructible mercenary has an infectious quality about it, and helps the gags that do hit to soar."
Sci-Fi Movie Page," February 9, 2016",Rob Vaux," If it doesn't grab you with the opening credits, you're in the wrong movie. "
USA Today," February 9, 2016",Brian Truitt," Deadpool avoids enough pitfalls to both embrace and flambé the superhero genre while also finding time for romance, doling out equal handfuls of bullets, barbs and warm fuzzies."
The Daily Beast," February 9, 2016",Jen Yamato," Deadpool is at once a welcome antidote to the played out superhero universe and an anomaly, destined to be trapped in its spandexed outliers. "
Forbes," February 9, 2016",Mark Hughes," Deadpool is like Die Hard with Bruce Willis' character David Addison from his TV series Moonlighting, if he wore a mask & cursed more... It's silly, swaggering, & obscene, but I mean all of those words in the best possible way."
Flick Filosopher," February 9, 2016",MaryAnn Johanson," Callous, crass, unpleasantly smug. Supposes it's being edgy because its protagonist swears a lot, but it's like a child saying bad words just to be naughty."
Little White Lies," February 9, 2016",Adam Woodward," If Deadpool is the ultimate anti-hero, then this is the ultimate anti-movie."
The List," February 9, 2016",Emma Simmonds," It extends its middle finger to the concept of suspension of disbelief with repeated fourth wall breaks, while the references come thick, fast and proudly unsubtle."
TIME Magazine," February 11, 2016",Stephanie Zacharek," Deadpool, intended as a spiky antidote to superhero oversaturation, ends up impaling only itself."
Fort Worth Star-Telegram/DFW.com," February 11, 2016",Cary Darling," Deadpool succeeds where other irreverent send-ups of the genre failed... [But] the over-the-top mayhem, do-you-kiss-your-mother-with-that-mouth trash talk, and jokey cynicism can't stop [it] from hurtling toward predictability."
Blu-ray.com," February 11, 2016",Brian Orndorf," ""Deadpool"" made not be known to a wider audience, and he's certainly not a courageous figure, but his debut is one of the better ones in the Marvel universe, adding some needed filth to the superhero routine."
Seattle Times," February 11, 2016",Soren Anderson," Maximally cheeky. Perversely potty-mouthed. Riotously funny. Insanely violent. Uneven as all get out. And fun, fun, fun."
Arizona Republic," February 11, 2016",Bill Goodykoontz," It takes a strong stomach for extreme violence and over-the-top obscenity, but if you're willing to roll with that, ""Deadpool"" is a hoot."
Las Vegas Weekly," February 11, 2016",Josh Bell," The story is nothing special, but Reynolds and Miller make it fun by sheer force of their enthusiasm for the material. "
The Standard," February 11, 2016",Matt Neal, A wonderfully puerile claret-soaked swear-fest (and) hands down the funniest superhero movie ever.
Junkee," February 10, 2016",Mel Campbell," Given how feebly some superhero films struggle under their own weight, Deadpool is impressively nimble. And it pulls off its relentless self-reference with a confidence that's solidly entertaining, even if it isn't always endearing."
Georgia Straight," February 10, 2016",Ron Yamauchi, The shock and glory is seeing this loopy sensibility transferred to the screen with little softening and no apology.
Sydney Morning Herald," February 10, 2016",Paul Byrnes," DP is a lot more fun than most superheroes, but the film is barely able to take advantage."
NOW Toronto," February 10, 2016",Norman Wilner," Mostly Reynolds is really funny, joyfully debasing himself and putting everything he has into making this the giddiest, most enjoyable Deadpool movie imaginable."
Playboy Online," February 10, 2016",Stephen Rebello," [Deadpool] is filthy, degenerate and seriously pervy, and Reynolds -- decked out in red and black spandex, sporting two katanas and white canvas where eyes should be -- is every bit as flip, funny, nasty and self-deprecating as you'd want."
Associated Press," February 10, 2016",Lindsey Bahr," In the end, it's hard to shake the feeling that they've made a movie for boys that only adults are allowed to see. For the future sleepover party where some open-minded parent allows a screening, it'll surely be a blast."
Tulsa World," February 10, 2016",Michael Smith," Deadpool has arrived, and the comic-book movie will never be the same. That's a good thing. Sameness is just one element of the genre that this exceptionally bonkers, hyper-violent, hilarious film pokes a hole in."
NUVO Newsweekly," February 10, 2016",Edward Johnson-Ott, Deadpool is funny -- frequently hilarious.
Vox," February 10, 2016",Alex Abad-Santos, Deadpool is essentially the world's first superhero fan movie.
Chicago Sun-Times," February 10, 2016",Richard Roeper," If only Deadpool were as clever, dark and funny as it believes itself to be."
Ex-Press.com," February 10, 2016",Katherine Monk," The plot is tragically tedious and predictable... But the denouement is a complete delight thanks to Reynolds, who acrobatically defies the gravitas of Superman while letting his natural charm ooze through the suit."
IGN Movies," February 10, 2016",Daniel Krupa," Weak villains and an unsatisfying revenge plot ultimately hold it back from being something more distinctive, but Deadpool delivers a large dose of unwholesome fun."
Thrillist," February 10, 2016",Matt Patches, [Reynolds] brings a ton of compassion and manic energy ... [but Deadpool] is a cartoon in the real world that never goes crazy enough.
AllMovie," February 11, 2016",Violet LeVoit, A too-cool thrill ride filled with all of the saturated fats of shameless '80s trash . . . as satisfying as a bacon double cheeseburger with a side of crack. 
Boston Globe," February 11, 2016",Tom Russo," Imagine Spider-Man with legitimately funny quips, waaay less angst, and a bug-eyed getup that's lethally accessorized."
Austin Chronicle," February 11, 2016",Marjorie Baumgarten," The film is as postmodernly self-referential as it can get, which should be a hoot for the average viewer and nirvana for connoisseurs of the Marvel Universe."
Chicago Reader," February 11, 2016",Leah Pickett," Fans of X-Men will gobble it up, especially lewd teenage boys; newcomers to the Marvel Universe may miss some of the best zingers. "
New York Times," February 11, 2016",Manohla Dargis," The filmmakers do a lot of winking and rib poking; they sell ""Deadpool"" so hard that you might wonder if Marvel has started to pay on commission."
Kansas City Star," February 11, 2016",Jon Niccum, (Reynolds) delivers a perfect combination of kick-ass and smart-ass.
Fort Worth Weekly," February 11, 2016",Kristian M. Lin, The dirtiness that Deadpool injects into the squeaky-clean Marvel universe makes it into an energizing and eminently quotable blast.
St. Paul Pioneer Press," February 11, 2016",Chris Hewitt (St. Paul), It's really bloody and really fun.
Minneapolis Star Tribune," February 11, 2016",Colin Covert," Is it a hoot? Largely, yeah, if you like smug, dumb in-your-face humor."
Tampa Bay Times," February 11, 2016",Steve Persall," Deadpool's flawed insolence is appealing, like a mangy pup crawling into your lap."
Showbiz Junkies," February 11, 2016",Rebecca Murray," Director Tim Miller and star Ryan Reynolds embrace this flawed hero, delivering an irreverent - and graphic - comedy that ranks as one of the best Marvel films to date."
One Guy's Opinion," February 11, 2016",Frank Swietek, An exercise in following established formula while pretending to subvert it by slyly pointing out its absurdities and adding all sorts of nasty pop culture references and profane asides to the mix.
Parade Magazine," February 11, 2016",Neil Pond," Just what a lot of fans have been waiting for---especially if they've been waiting for a superhero who swears, farts, babbles, jokes, listens to Wham!, loves unicorns and enjoys rough sex."
St. Louis Post-Dispatch," February 11, 2016",Calvin Wilson," Smart, sexy and outrageous, ""Deadpool"" delivers."
Radio Times," February 11, 2016",Stella Papamichael," Deadpool is certainly rough around the edges, but that's his - and the film's - charm."
San Diego Reader," February 11, 2016",Matthew Lickona, An anti-superhero movie (or maybe a super-antihero movie) that might have worked if it had the courage of its lack of convictions.
Charlotte Observer," February 11, 2016",Lawrence Toppman," ""Deadpool"" gives the superhero genre a kick in its pearly white teeth - and, for good measure, every other square inch of its pumped-up body."
Dallas Morning News," February 11, 2016",Britton Peele," Calling Deadpool ""just another comic book movie"" would do injustice to a film that makes a strong effort to deliver something different."
Washington Post," February 11, 2016",Michael O'Sullivan," It's a voraciously self-aware comedy, one that dines out on the inherent inanity of its own premise as much as it does the movies it's competing with."
San Francisco Chronicle," February 11, 2016",Mick LaSalle," This is bad, borderline garbage, but disturbing, too, in that it's just the kind of fake-clever awfulness that might be cinema's future."
The Sun (UK)," February 11, 2016",Alex Zane," Ryan Reynolds hasn't had the best luck with superhero cinema. So I'm happy to report that Deadpool is an insane, anarchic riot of a movie."
Indie London," February 11, 2016",Rob Carnevale," It's a guilty pleasure of a superhero movie that feels as naughty and as reckless as its central character intends. In that regard, it's mission more than accomplished."
Independent (UK)," February 11, 2016",Geoffrey Macnab," For all the creakiness of its plotting, this is a Marvel adaptation mercifully shorn of bombast. There is far more bite in its humour than in last year's Ant-Man. Reynolds plays the lead role in an enjoyably freewheeling fashion."
Los Angeles Times," February 11, 2016",Kenneth Turan," You're initially jazzed by his effrontery, but Deadpool, with his relentlessly glib, nothing-sacred attitude, is not an individual who wears particularly well."
SciFiNow," February 11, 2016",Poppy-Jay Palmer," Most importantly of all, the film is bloody hilarious."
Starburst," February 11, 2016",Iain McNally, The movie delivers... in bloody spades.
Times (UK)," February 11, 2016",Kevin Maher, Deadpool was supposed to be a satirical masterpiece that pilloried the absurdities of the comic-book movie universe. It's not.
Flicks.co.nz," February 11, 2016",Tony Stamp," Going all-in on its outrageous content means Deadpool does stand out from the horde of superhero movies, mostly for its potty mouth..."
Rolling Stone," February 11, 2016",Peter Travers," this movie's junky feel is part of its charm. Sure it goes on too long and repetition dulls its initial cleverness. Still, Deadpool is party time for action junkies and Reynolds may just have found the role that makes his career. "
New York Magazine/Vulture," February 11, 2016",David Edelstein," It's not subversive - it's meant to elasticize and enhance the superhero genre, to flatter the audience for being hip enough to get all of those in-jokes. And I was flattered."
TheShiznit.co.uk," February 11, 2016",Ali Gray," Deadpool is the 'edgy' stand-up hired to play the corporate gig: make the company laugh, but don't make the company mad. "
NPR," February 11, 2016",Bob Mondello, Deadpool ... has the singular virtue of being funnier than we've been led to believe a superhero film can be.
New York Post," February 11, 2016",Kyle Smith," There aren't many superhero movies that exploit the liberating effects of the hard-R rating. But to me, the mock opening credits are the only detail that is fresh - sophomoric, but fresh."
Legion of Leia," February 11, 2016",Witney Seibold, Refreshingly crass.
Mark Reviews Movies," February 11, 2016",Mark Dujsik," Beneath the layers of the façade, this really is just your normal, average superhero movie."
Toronto Star," February 11, 2016",Peter Howell," Reynolds' mighty mutant title character is anything but a conventional superdude, even before he acquires his extreme skills, red-hooded cosplay costume and scarred face and mind."
Philadelphia Inquirer," February 11, 2016",Tirdad Derakhshani," Deadpool is, on the whole, a big bowl of fun filled with great stunts, gory fight scenes, and sexy poses."
Fresno Bee," February 11, 2016",Rick Bentley," If you are willing to accept a superpowered character who spits at superhero conventions, then Deadpool is a (expletive deleted) good time."
Reeling Reviews," February 11, 2016",Laura Clifford," This R-rated, pop culture riffing, wisecracking subversive antihero is a hell of a lot of fun to hang out with, which is a good thing because the jokes fly so fast and furiously you'll probably have to watch ""Deadpool"" multiple times to catch them all."
Film Racket," February 11, 2016",Bill Gibron, The winter movie doldrums finally got their wake-up call - and it's a crank. 
The Young Folks," February 12, 2016",Evan Griffin, My mom loved it.
Screen It!," February 12, 2016",Jim Judy," ""Deadpool"" surprised me a lot by how much irreverent fun it actually is. (Full Content Review for Parents - Sex, Violence, Profanity, etc. - Also Available)"
Houston Press," February 12, 2016",Pete Vonder Haar, It's a welcome palate cleanser in a world where comic book flicks are increasingly ponderous and repetitive (see: the latest Batman v Superman: Rise of the Chins trailer). 
ABC Tucson," February 12, 2016",Phil Villarreal," If ever an actor was born to play a motormouthed, juvenile masked creep, it was Ryan Reynolds to play Deadpool."
HollywoodInToto.com," February 12, 2016",Christian Toto, Deadpool delivers on its gleefully profane promise within the first five seconds of the film.
The Federalist," February 12, 2016",Rebecca Cusey," ""Deadpool"" is not so much a movie as an extended inside joke with a movie wrapped around it, plus an abject apology for Green Lantern. "
Reason Online," February 12, 2016",Kurt Loder," Dizzyingly scabrous, borderline offensive (alright!) and wonderfully refreshing. "
Fat Guys at the Movies," February 12, 2016",Kevin Carr, kudos to Fox for having the stones to give this one the full inappropriate R-rated treatment.
WaffleMovies.com," February 12, 2016",Willie Waffle," Right from the opening credits, the audience realizes they are in for something a bit twisted and lacking any reverence (and that's a good thing)."
Globe and Mail," February 12, 2016",Barry Hertz," Deadpool is everything that Hollywood has raised audiences to believe heroes are not: crass, selfish and with a vocabulary that would have made George Carlin blush."
Detroit News," February 12, 2016",Adam Graham," Reynolds has never meshed as well with a character or found a better outlet for his smirking, smart aleck persona."
San Diego Union-Tribune," February 12, 2016",Anders Wright," It's bloody good fun, kicking off with a tremendous opening-credits sequence and a terrifically entertaining action set piece. Reynolds is wonderfully fun. He's a chiseled movie star, to be sure, but he's always best when he can goof on the part."
The Mercury," February 11, 2016",Tim Martain," He swears like a sailor, he fills every conversation with sexual innuendo and generally behaves like a hyperactive teenager. But utterly oozing with charisma."
"Journal and Courier (Lafayette, IN)"," February 11, 2016",Bob Bloom," Much more so than Marvel's ""Guardian of the Galaxy,"" ""Deadpool"" is a film propelled by swagger, humor and action."
New England Movies Weekly," February 11, 2016",Daniel M. Kimmel," Much of the success in bringing it off is due to Ryan Reynolds, whose film career often seen him trapped in roles that didn't make good use of his talents..."
ReelViews," February 11, 2016",James Berardinelli," This is a different kind of movie. The only rule it adheres to is that tropes are made to be eviscerated, turned on their heads, and trampled over."
Daily Mail (UK)," February 11, 2016",Brian Viner," Behind all the glibness, all the gore, Deadpool is actually a rather poignant romance. I quite liked it, although it's not nearly as funny as its debutant director Tim Miller seems to think it is."
The Verge," February 11, 2016",Tasha Robinson," Deadpool's relentless pace is refreshing, and so is the sense that viewers will be able to keep up."
