source_name,review_date,critic_name,review_detail
San Francisco Chronicle," December 7, 2016",David Wiegand," Because of Patel's electrifying and deeply nuanced performance, Lion ultimately delivers the emotional punch it has promised all along."
Deadline Hollywood Daily," December 6, 2016",Pete Hammond, Lion is an emotional corker of a true story that charts a remarkable journey that redefines the meaning of family and home.
Aisle Seat," December 2, 2016",Mike McGranaghan, Lion tells one of those amazing true stories that only a pure cynic could fail to be captivated by.
Paste Magazine," December 2, 2016",Andy Crump, Be warned: Lion will reduce you to a sniffling wreck.
NY1-TV," December 2, 2016",Neil Rosen," Director Garth Davis has taken this incredible, real life tale and made an emotionally involving film that pulls on your heartstrings every step of the way."
Common Sense Media," December 2, 2016",Sandie Angulo Chen," Great performances in emotional, intense biographical drama. "
Winnipeg Free Press," December 23, 2016",Randall King," Patel, best remembered from Slumdog Millionaire, shows a real, full-blooded star quality here, miles removed from the humble hero of that 2008 film."
Chicago Sun-Times," December 23, 2016",Richard Roeper," Lion is a beautifully told, uplifting story of courage and determination."
Sacramento News & Review," December 23, 2016",Daniel Barnes," Davis and screenwriter Luke Davies aggressively strum the heartstrings, but the film falters as it focuses more on product placement than people."
"Journal and Courier (Lafayette, IN)"," December 23, 2016",Bob Bloom," A sincere celebration of determination and the human spirit, this film will have you applauding and weeping simultaneously. "
Mark Reviews Movies," December 23, 2016",Mark Dujsik, The emotional impact of Lion is sneaky.
Washington Post," December 23, 2016",Stephanie Merry," ""Lion"" is a complex movie, with its profound themes of home and identity, and its tonally disparate halves. A smartly understated approach to Brierley's story holds it all together."
Detroit News," December 23, 2016",Adam Graham," Its themes are universal. Everyone has a home, and everyone feels connected to it, no matter how far they travel."
Chicago Reader," December 22, 2016",Andrea Gronvall, Garth Davis uses close-ups sparingly and hits no false notes; cinematographer Greig Fraser creates a child's perspective by setting the camera at the hero's eye level and conveys the grandeur of India through sweeping panoramic and overhead shots.
Austin Chronicle," December 22, 2016",Marc Savlov," An exciting, old-school explorer's tale well told (for the most part)."
Your Movies (cleveland.com)," December 22, 2016",John Urbancich," Truth-based lost-and-found stories such as ""Lion"" usually feature dogs or cats. Here, though, it's the rather slow, if moving tale of a poor, 5-year-old Indian boy who falls asleep in a train station and winds up more than 1,500 miles from home."
Seattle Times," December 22, 2016",Moira MacDonald," ""Lion"" has one of those plot lines that feels like a Hollywood screenplay - except it actually happened."
Fort Worth Star-Telegram/DFW.com," December 22, 2016",Cary Darling," While the film is neither novel nor revolutionary, it's the kind of cinematic warm blanket that feels very comforting and satisfying right now...That it's a true story...makes it all the more affecting. "
Fort Worth Weekly," December 22, 2016",Kristian M. Lin," It's incredible that it has taken this long to put an August Wilson play on the screen. This movie redresses that, and its performances are wholly worthy of such a quintessentially American playwright. We're privileged to have them."
Cleveland Plain Dealer," December 22, 2016",Michael Heaton, An emotionally satisfying and ultimately a warm and well-told international adventure of the heart.
Spirituality and Practice," December 22, 2016",Frederic and Mary Ann Brussat, The true story that will elicit your empathy through the miracles in the life of a man who goes on a quest to locate his birth family.
Arizona Republic," December 22, 2016",Bill Goodykoontz, If you don't cry at the conclusion you need to retrieve your heart out of cold storage.
Newsday," December 22, 2016",Rafer Guzman," A heart-wrenching true story, with what could be one of the great child-actor performances of all time."
Boston Globe," December 22, 2016",Ty Burr," ""Lion"" is shameless and heartfelt and you'll probably have a good, happy cry at the end."
St. Louis Post-Dispatch," December 21, 2016",Calvin Wilson," ""Lion"" is a family film in the best sense."
Playback:stl," December 21, 2016",Sarah Boslaugh, ...so predictable in the way that it manipulates your emotions that it leaves you feeling like the victim of a con game.
Screen It!," January 6, 2017",Jim Judy," It's a well-told and engaging tale that's all the more remarkable in that it's based on a true story. (Full Content Review for Parents - Sexual Content, etc. - also Available)"
Cinemixtape," January 4, 2017",J. Olson," Great performances abound, mixing with some magnificent photography to form one of the premier family dramas of 2016."
Film Experience," January 2, 2017",Nathaniel Rogers, The picture is maybe too frontloaded but the acting delivers in the final stretch.
"Quad City Times (Davenport, IA)"," January 2, 2017",Linda Cook," A beautiful, true-life story about adoption and how connected we all are, regardless of our beginnings or travels. "
SSG Syndicate," January 2, 2017",Susan Granger," It's the intimate, uplifting drama you've been yearning for..."
Seven Days," January 1, 2017",Rick Kisonak, Only the most shrivel-hearted grinch could watch this Christmas release and not be moved. 
Tulsa World," December 30, 2016",Michael Smith, This is awards-season bait aimed straight at your sentimental side that loves a good tearjerker and one which earns most of the tears that it jerks.
"Deseret News, Salt Lake City"," December 30, 2016",Josh Terry," Lion is not an easy journey, but it is a thoughtful, worthwhile and ultimately inspiring experience."
Salt Lake Tribune," December 30, 2016",Sean P. Means," Where Lion gets its power, though, is in the first half and the stunning performance by Pawar."
Forbes," December 30, 2016",Mark Hughes," [A] tale of tragedy and loss, of pain and heartbreak -- but also a tale of hope and mercy, of faith & love, and of how sublime moments of grace in our lives can often come from the aftermath of suffering."
East Bay Express," December 27, 2016",Kelly Vance, Lion roars quietly with restraint and simplicity.
Cinemaclips.com," December 27, 2016",Roger Tennis," If you're searching for fulfilling feel-good entertainment, the royal 'Lion' exceeds expectations."
