source_name,review_date,critic_name,review_detail
Screen It!," April 14, 2016",Jim Judy," Engaging and entertaining from start to finish. (Full Content Review for Parents - Violence, Scary Stuff, etc. - Also Available)"
ComingSoon.net," April 14, 2016",Alan Cerny," Old-fashioned in the best sense, full of wonderful spectacle, charm, and heart."
Bullz-Eye.com," April 14, 2016",David Medsker," Disney surely has a hit on their hands here, but there is room for improvement in the Jungle Book universe."
TheFilmFile.com," April 14, 2016",Dustin Putman," Employing some of the most photorealistic computer-generated visual effects ever put to film, ""The Jungle Book"" creates a fantastic world alive with all the wonder and possibility one's imagination is capable."
AV Club," April 14, 2016",Ignatiy Vishnevetsky," Talking animals have never looked so good, which is a bigger feat than it sounds."
San Francisco Chronicle," April 14, 2016",Peter Hartlaub," It's amazing to think that throughout this nearly two-hour film, there is just one flesh-and-blood character who spends more than a few seconds on screen, and he's arguably among the least defined."
Chicago Tribune," April 14, 2016",Michael Phillips, Favreau's fundamental decency and relatively light touch serve him well. He has a knack for straight-ahead pacing and for tightening the screws (the movie is 81 percent life-and-death peril and 19 percent comic relief) without being maniacal about it.
Seattle Times," April 14, 2016",Moira MacDonald," The film moves us swiftly from one breathtaking scene to another: a dramatic mudslide; a climb up a near-vertical rock face (by a bear who'd really rather take a nap); a fairy-tale-misty lagoon, where water blends seamlessly with sky."
Flick Filosopher," April 14, 2016",MaryAnn Johanson," Goes right up to the bleeding edge of cinema to tell a story that is strapping yet simple, and hugely appealing. Disney found a good reason to redo an old film."
Las Vegas Weekly," April 13, 2016",Josh Bell," The tone is an awkward mix of savage jungle naturalism and cuddly animal antics, and it only confuses things further when the filmmakers throw in a couple of songs from the original movie."
Herald Sun (Australia)," April 13, 2016",Leigh Paatsch, Such is the immediacy and authenticity of The Jungle Book's spellbinding imagery that you barely notice the storytelling never quite comes together in the same satisfying way.
Newsday," April 13, 2016",Rafer Guzman," Stunning animation and big-screen thrills, but be warned that this is a much scarier movie than the animated 1967 version."
NUVO Newsweekly," April 13, 2016",Edward Johnson-Ott, The Jungle Book is a visually stunning adventure film.
San Jose Mercury News," April 13, 2016",Tony Hicks," Disney did pretty much everything right here. Favreau and screenwriter Justin Marks created a winning foundation, and Disney certainly cast the right voice actors."
NOW Toronto," April 13, 2016",Norman Wilner," While cartoon panthers, bears and orangutans singing, dancing and fighting is the stuff of pure joy, watching lifelike animals do the same thing isn't nearly as pleasurable."
Starburst," April 13, 2016",Iain McNally, The Jungle Book is one of those rare beasts; a loving update to an enduring tale that actually works.
Honolulu Star-Advertiser," April 13, 2016",Burl Burlingame," The point where it breaks loose is when the movie shifts mood and tone in order to reprise the cheesy pop songs from the 1967 animated film. Way to renew copyright, Disney!"
honeycuttshollywood.com," April 13, 2016",Kirk Honeycutt, 'The Jungle Book' transports you back to childhood games surrounded by a photo-reality that commands awe with every frame.
Us Weekly," April 13, 2016",Mara Reinstein," A dazzling, charming and utterly immersive 3-D experience, it's sure to capture the imagination of moviegoers of all ages. "
Wall Street Journal," April 14, 2016",Joe Morgenstern," The new production, computer-animated except for a living, breathing boy at the center of the action, isn't pretty or sweet but utterly stunning, as well as very funny."
Collider," April 14, 2016",Matt Goldberg," The Jungle Book could be a much tighter movie, both narratively and thematically, and yet emotionally, it has a lot of heart."
Christianity Today," April 14, 2016",Alissa Wilkinson," The real question, as for any remake, is simple: does it hold up? In the case of this Jungle Book... yes, and yes against all odds,"
The Spectator," April 14, 2016",Deborah Ross," You won't care it's been done before, because it's never been done like this."
Chicago Daily Herald," April 14, 2016",Dann Gire," Jungle Book merges these astonishing visuals with classic Disney story conventions to create a movie that stands on its own achievements, while paying musical homage to Disney's 1967 original Jungle Book."
IGN Movies," April 14, 2016",Terri Schwartz," Disney's return to the story of The Jungle Book might feel bigger and look better than anything that's come before, but at its core is a very human tale that resonates just as strongly no matter how spectacular its visual wrappings."
Kansas City Star," April 14, 2016",Loey Lockerby," Although its stumbles are odd and baffling, ""The Jungle Book"" approaches greatness often enough to be worthwhile."
Minneapolis Star Tribune," April 14, 2016",Colin Covert," It is a banquet of storytelling delicacy, exciting light drama, athletic action and computer-generated imagery that is more hyper-real than real. After every delicious scene, I wanted seconds."
St. Louis Post-Dispatch," April 14, 2016",Calvin Wilson," With its combination of state-of-the-art technology and old-school charm, ""The Jungle Book"" should thrill children and adults alike."
Mark Reviews Movies," April 14, 2016",Mark Dujsik," It all works well enough, despite the hiccups and especially as a marker of where CG technology is at the moment."
Tampa Bay Times," April 14, 2016",Steve Persall," After two outdated live action and one beloved animated versions, director Jon Favreau crafts a marvelous hybrid, practically a one-boy show with CGI animal-ated realism. This Jungle Book on screen may look exactly as Kipling imagined."
Reeling Reviews," April 14, 2016",Laura Clifford, You will believe that animals can talk. Director Jon Favreau...has conquered the artificiality of CGI with a team of artists who have recreated an environment and its animals with startling realism.
Associated Press," April 14, 2016",Lindsey Bahr, The Jungle Book is one of the stronger of Disney's live-action adaptations. It's a true family-friendly adventure that's smart and often thrilling.
The Verge," April 14, 2016",Tasha Robinson," It's hard to see any of the Disney remakes as standalone experiences, not living in the shadow of classics. This atmospheric, evocative, and above all, powerful Jungle Book at least makes an effort to come out of those shadows."
