DC Real Property ID,Address of Record,Owner of Record,Ward,Property Name,Address 1,City,State,Postal Code,Primary Property Type,Year Built, Reported Building Gross Floor Area (ft²) ,Site EUI (kBtu/ft²),Weather Normalized Source EUI (kBtu/ft²),ENERGY STAR Score,Total GHG Emissions (MtCO2e),Electricity Use - Grid Purchase and Onsite (kWh),Natural Gas Use (therms),District Steam Use (kBtu),Other Fuel Use (kBTU),Water Use (kgal),X-Coordinate (ESRI),Y-Coordinate (ESRI)
20460002,4411 CONNECTICUT AV,SMITH PROPERTY HOLDINGS 4411 CONNECTICUTT LLC,3,Park Connecticut,4411 Connecticut Av NW,Washington,DC,20008,Multifamily Housing,2000," 179,395 ",33.1,83.6,Not Available,655.63,1125560,21013.3,,,4847.4,394438.694,142033.1828
20490804,3101 VEAZEY TR NW,V N N C INC,3,V.N.N.C.Inc.,"3001 Veazey Terrace, NW",Washington,DC,20008,Multifamily Housing,1966," 496,441 ",60.2,123,Not Available,2746.04,3830282,168302,,,11336.1,394651.1011,141884.4386
20490805,4301 CONNECTICUT AV NW,VAN NESS CENTER LP,3,Van Ness Center,4301 Connecticut Avenue,Washington,DC,20008,Office,1965," 196,350 ",97.4,254.5,72,2133,3697737.6,65107.1,,,9346.5,394537.3604,141886.6397
20490806,3003 VAN NESS ST NW,SMITH PROPERTY HOLDINGS 4411 CONNECTICUTT LLC,3,Van Ness,3003 Van Ness St NW,Washington,DC,20008,Multifamily Housing,1970," 912,615 ",46.7,90.1,Not Available,3793.74,5058610.1,253679.9,,,28400.5,394663.4595,141778.1782
20490810,2900 VAN NESS ST NW,HOWARD UNIVERSITY,3,Law School,2900 Van Ness Street,Washington,DC,20008,K-12 School,1000," 289,942 ",77.5,242.9,23,3183.2,6588184.3,,,,,394922.5843,141751.0951
20491080,2939 VAN NESS ST NW,VAN NESS EAST CONDOMINIUM,3,Van Ness East Condominium,"2939 Van Ness Street, NW",Washington,DC,20008,Multifamily Housing,1965," 391,000 ",Not Available,Not Available,Not Available,,,,,,,394732.04,141781.496
2132-0033*,,,,Gables Woodley Park,2701 Calvert St. NW,Washington,DC,20008,Multifamily Housing,2001," 213,946 ",19.4,57.8,,570.41,1157512.1,2092.5,,,6119,Not Available,Not Available
21320026,2401 CALVERT ST NW,CALVERT HOUSE ASSOCIATES LLC,3,The Calvert House,2401 Calvert Ave.,Washington,DC,20008,Multifamily Housing,1964," 240,528 ",Not Available,Not Available,Not Available,,,,,,,395380.6582,139571.0181
21320029,2800 WOODLEY RD NW,ALONZO O BLISS PROPERTY,3,2800 Woodley Rd 2010,2800 Woodley Rd NW,Washington,DC,20008,Multifamily Housing,1942," 240,516 ",60.5,105.6,Not Available,1275.42,1663220,88685,,,7397,395068.3324,139747.3134
21320827,2725 29TH ST NW,SMITH PROPERTY HOLDINGS 4411 CONNECTICUTT LLC,3,Cleveland House,2727 29th st NW,Washington,DC,20008,Multifamily Housing,1953," 315,129 ",50.7,94.8,Not Available,1353.4,1669166.7,102801.9,,,7106.9,395076.7021,139602.2517
