time,X_value,Y_value,Z_value
11.105,0.01437,-0.07425,9.94173
11.169,0.02874,-0.05748,9.85072
11.204,0.03114,-0.10538,9.85072
11.263,0.09341,0.00000,9.91059
11.314,0.02635,0.00000,9.91778
11.357,0.02395,0.06227,9.90101
11.407,0.10778,-0.03353,9.91059
11.461,0.04551,-0.03353,9.85072
11.510,0.09580,-0.04790,9.88664
11.562,-0.03353,-0.00479,9.82198
11.604,0.06706,0.00958,9.92736
11.654,0.07425,-0.00719,9.91538
11.712,0.05509,0.03593,9.95610
11.756,0.10299,-0.04551,9.83874
11.812,0.04311,0.04790,9.81719
11.855,0.05988,0.07185,9.89143
11.909,0.00479,0.00719,9.85790
11.960,0.04790,0.00000,10.00400
12.011,0.05269,-0.03593,9.85311
12.071,0.08383,-0.02395,9.95370
12.114,0.09341,-0.04551,9.93933
12.159,0.05509,-0.03353,9.87467
12.214,-0.02156,0.07425,9.91299
12.261,0.10059,-0.02395,9.87467
12.310,0.01677,0.05509,9.95131
12.353,0.08862,0.05988,9.87946
12.416,0.02156,-0.01916,9.84832
12.455,0.06467,-0.09341,9.83635
12.511,0.04072,0.02395,9.97286
12.557,-0.00719,-0.17244,9.84593
12.606,0.11736,0.00000,9.93215
12.653,0.02156,0.01437,9.90101
12.717,0.07425,-0.01677,9.79803
12.758,0.06706,0.01677,9.92975
12.808,0.00719,-0.01916,9.83635
12.855,0.05988,0.04790,10.02555
12.905,0.11496,0.00240,9.89862
12.960,-0.00479,-0.01198,9.99442
13.014,0.05509,0.06467,9.94173
13.057,-0.03593,-0.03114,9.83156
13.114,0.02874,0.03353,10.00879
13.160,0.08862,0.00719,9.94891
13.204,0.07185,-0.05269,9.91538
13.260,0.03832,0.02874,9.80521
13.303,0.08862,-0.11975,9.90820
13.382,-0.00958,0.07664,9.94652
13.404,0.03832,-0.05988,9.76689
13.462,-0.14131,-0.18202,9.80521
13.504,0.13412,0.19639,9.67109
13.559,-0.03832,0.00719,10.12135
13.604,0.23950,-0.14131,9.74773
13.657,-0.00479,0.16286,10.18362
13.704,0.02874,-0.01916,9.86748
13.763,0.05748,-0.04790,9.87227
13.807,-0.02635,0.07664,10.08543
13.870,0.07185,-0.05030,9.76449
13.905,0.05509,0.09101,9.78126
13.967,-0.01437,0.04311,9.91299
14.016,0.00240,-0.06227,10.16686
14.055,-0.01198,0.02635,9.92017
14.112,0.11975,0.05509,9.70462
14.157,0.07664,-0.02156,9.84832
14.204,0.01198,0.01198,9.93694
14.253,0.04311,0.05269,9.79084
14.304,0.06946,-0.01198,9.52739
14.355,-0.09101,0.07664,10.08543
14.408,0.09101,0.00479,10.58359
14.456,-0.05269,-0.02635,9.53697
14.513,0.05748,-0.07425,9.84832
14.556,0.10778,0.02874,9.94652
14.609,-0.04072,0.05030,9.93215
14.658,0.06227,-0.08862,9.80282
14.708,0.04790,0.04311,9.96568
14.754,0.14131,0.04072,9.87946
14.809,0.01198,-0.11257,9.83395
14.855,0.01198,0.05748,9.91538
14.911,0.02156,-0.02395,9.76689
14.953,-0.00240,-0.02635,9.82437
15.007,0.00240,0.00000,9.95370
15.056,0.11257,-0.03353,10.02316
15.106,0.04072,0.05748,9.91059
22.502,0.22753,-0.06706,9.74773
22.536,-0.04072,-0.05509,10.20278
22.571,0.07664,-0.04790,9.92257
22.610,0.09820,-0.03832,9.71420
22.653,0.03832,-0.00479,9.83874
22.711,0.06227,-0.07425,9.92017
22.752,0.04790,0.03353,10.00160
22.809,0.12694,0.03832,9.90341
22.856,0.15807,-0.03832,9.88664
22.907,-0.07425,0.11496,9.93694
22.953,0.26345,-0.03114,9.58247
23.027,0.06227,0.05030,9.99202
23.052,0.01677,0.06946,9.91059
23.105,0.05748,-0.10299,9.79323
23.154,0.07185,0.05509,9.76449
23.206,0.04551,-0.00958,9.95849
23.254,0.09101,-0.05509,9.91538
23.307,-0.13652,0.00719,9.98244
23.354,0.01677,0.01198,10.15967
23.410,0.19160,-0.03353,9.45554
23.455,-0.05509,0.12694,10.09261
23.506,0.02635,-0.01677,9.76929
23.554,0.07425,-0.00719,9.76689
23.604,0.09101,0.02874,9.91299
23.654,-0.00719,0.07664,9.95610
23.703,-0.07425,0.02156,9.85551
23.752,0.13173,-0.08143,9.90101
23.804,0.06227,0.08622,9.99202
23.861,0.02156,0.00000,9.75012
23.904,0.17244,-0.02156,9.94652
23.960,0.01198,0.02156,9.81479
24.006,0.05269,-0.00719,9.94412
24.058,0.04551,0.00000,9.86988
24.103,0.19879,0.05269,9.94412
24.164,0.11017,-0.03832,9.86269
24.205,0.07185,0.02156,9.92975
24.263,0.16286,0.01437,9.26633
24.303,-0.05030,-0.02635,10.36086
