date,attributes,rDev,name
"Jan 31, 2017",look: 4.5 | smell: 1.5 | taste: 3 | feel: 3 | overall: 3.75,+18.5%,Budweiser | Anheuser-Busch
"Apr 20, 2015",look: 3.75 | smell: 3.5 | taste: 4.25 | feel: 4.25 | overall: 3.75,+62.1%,Budweiser | Anheuser-Busch
"Apr 19, 2015",look: 3 | smell: 2 | taste: 2 | feel: 1.5 | overall: 2.5,-13.2%,Budweiser | Anheuser-Busch
"Apr 19, 2015",look: 4 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 5,+88.1%,Budweiser | Anheuser-Busch
"Apr 16, 2015",look: 4 | smell: 2.5 | taste: 2.5 | feel: 2.5 | overall: 2.5,+6.6%,Budweiser | Anheuser-Busch
"Apr 08, 2015",look: 3.5 | smell: 2.75 | taste: 3.75 | feel: 4.25 | overall: 3.5,+44%,Budweiser | Anheuser-Busch
"Apr 07, 2015",look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75,+54.3%,Budweiser | Anheuser-Busch
"Apr 04, 2015",look: 2.75 | smell: 2.25 | taste: 2 | feel: 4 | overall: 2.25,-2.9%,Budweiser | Anheuser-Busch
"Apr 03, 2015",look: 4 | smell: 2 | taste: 4.75 | feel: 1.75 | overall: 4.75,+54.3%,Budweiser | Anheuser-Busch
"Apr 03, 2015",look: 3 | smell: 3 | taste: 3.5 | feel: 3.5 | overall: 3.5,+37.9%,Budweiser | Anheuser-Busch
"Mar 25, 2015",look: 3 | smell: 3 | taste: 3.75 | feel: 3.25 | overall: 3.5,+41.2%,Budweiser | Anheuser-Busch
"Mar 24, 2015",look: 3 | smell: 1.75 | taste: 3.75 | feel: 3.5 | overall: 3.5,+29.6%,Budweiser | Anheuser-Busch
"Mar 23, 2015",look: 1.5 | smell: 2 | taste: 3 | feel: 3 | overall: 2.75,+7.8%,Budweiser | Anheuser-Busch
"Mar 21, 2015",look: 1 | smell: 1 | taste: 1 | feel: 1.25 | overall: 1,-57.6%,Budweiser | Anheuser-Busch
"Mar 21, 2015",look: 4 | smell: 3.25 | taste: 3.75 | feel: 4.75 | overall: 3.5,+52.3%,Budweiser | Anheuser-Busch
"Mar 19, 2015",look: 1.75 | smell: 1.75 | taste: 1.75 | feel: 2 | overall: 1.75,-26.7%,Budweiser | Anheuser-Busch
"Mar 19, 2015",look: 2 | smell: 2 | taste: 2.25 | feel: 2.25 | overall: 2.25,-10.3%,Budweiser | Anheuser-Busch
"Mar 19, 2015",look: 3.5 | smell: 1.75 | taste: 1.75 | feel: 2.5 | overall: 1.75,-20.6%,Budweiser | Anheuser-Busch
"Mar 18, 2015",look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75,+54.3%,Budweiser | Anheuser-Busch
"Mar 18, 2015",look: 4 | smell: 2 | taste: 1.25 | feel: 1.5 | overall: 1.5,-31.3%,Budweiser | Anheuser-Busch
"Mar 17, 2015",look: 2.5 | smell: 2.25 | taste: 2.25 | feel: 2.25 | overall: 2.25,-6.6%,Budweiser | Anheuser-Busch
"Mar 16, 2015",look: 4 | smell: 3.25 | taste: 4 | feel: 4.75 | overall: 5,+68.7%,Budweiser | Anheuser-Busch
"Mar 09, 2015",look: 2.75 | smell: 2.75 | taste: 3.5 | feel: 2.75 | overall: 3,+27.6%,Budweiser | Anheuser-Busch
"Mar 02, 2015",look: 3.25 | smell: 3.25 | taste: 3.75 | feel: 3.5 | overall: 3.5,+45.3%,Budweiser | Anheuser-Busch
"Feb 28, 2015",look: 2.5 | smell: 2.5 | taste: 3.5 | feel: 3 | overall: 3.5,+29.6%,Budweiser | Anheuser-Busch
"Feb 24, 2015",look: 2.75 | smell: 2.5 | taste: 2.5 | feel: 2.5 | overall: 2.5,+3.7%,Budweiser | Anheuser-Busch
"Feb 22, 2015",look: 4.25 | smell: 4 | taste: 4 | feel: 4.5 | overall: 4,+67.5%,Budweiser | Anheuser-Busch
"Feb 21, 2015",look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5,+105.8%,Budweiser | Anheuser-Busch
"Feb 21, 2015",look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3,+23.5%,Budweiser | Anheuser-Busch
"Feb 19, 2015",look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4,+64.6%,Budweiser | Anheuser-Busch
"Feb 17, 2015",look: 3 | smell: 2 | taste: 3 | feel: 2.5 | overall: 2.75,+9.5%,Budweiser | Anheuser-Busch
"Feb 15, 2015",look: 2 | smell: 2 | taste: 2 | feel: 2 | overall: 2,-17.7%,Budweiser | Anheuser-Busch
"Feb 15, 2015",look: 2 | smell: 2.5 | taste: 3 | feel: 3.5 | overall: 2.75,+16%,Budweiser | Anheuser-Busch
"Feb 11, 2015",look: 3 | smell: 3 | taste: 4 | feel: 2.5 | overall: 2.75,+35.8%,Budweiser | Anheuser-Busch
"Feb 06, 2015",look: 2.5 | smell: 1.5 | taste: 1.75 | feel: 1.75 | overall: 1.5,-30.5%,Budweiser | Anheuser-Busch
"Feb 05, 2015",look: 2.25 | smell: 2 | taste: 1.5 | feel: 1.75 | overall: 1.75,-28.4%,Budweiser | Anheuser-Busch
"Feb 01, 2015",look: 1 | smell: 1 | taste: 1.5 | feel: 1 | overall: 1,-50.6%,Budweiser | Anheuser-Busch
"Jan 30, 2015",look: 2 | smell: 2 | taste: 2 | feel: 1 | overall: 1.75,-23.9%,Budweiser | Anheuser-Busch
"Jan 28, 2015",look: 1.5 | smell: 1 | taste: 1.5 | feel: 3 | overall: 1.75,-35%,Budweiser | Anheuser-Busch
"Jan 27, 2015",look: 2 | smell: 1.5 | taste: 1.5 | feel: 1.5 | overall: 1.5,-37%,Budweiser | Anheuser-Busch
"Jan 26, 2015",look: 1.25 | smell: 1 | taste: 1 | feel: 1 | overall: 1,-58%,Budweiser | Anheuser-Busch
"Jan 26, 2015",look: 3 | smell: 2.75 | taste: 2.75 | feel: 2.75 | overall: 2.5,+11.9%,Budweiser | Anheuser-Busch
"Jan 25, 2015",look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5,+105.8%,Budweiser | Anheuser-Busch
"Jan 24, 2015",look: 2.5 | smell: 2.5 | taste: 3 | feel: 3 | overall: 3,+17.3%,Budweiser | Anheuser-Busch
"Jan 24, 2015",look: 4 | smell: 4 | taste: 3 | feel: 3 | overall: 3.25,+37.9%,Budweiser | Anheuser-Busch
"Jan 19, 2015",look: 1.25 | smell: 2.75 | taste: 1.5 | feel: 1.25 | overall: 1.75,-25.5%,Budweiser | Anheuser-Busch
"Jan 17, 2015",look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5,+105.8%,Budweiser | Anheuser-Busch
"Jan 12, 2015",look: 2.5 | smell: 2 | taste: 3 | feel: 3.25 | overall: 3,+13.6%,Budweiser | Anheuser-Busch
"Jan 10, 2015",look: 3 | smell: 3.5 | taste: 3.5 | feel: 3 | overall: 3,+36.6%,Budweiser | Anheuser-Busch
"Dec 30, 2014",look: 2.75 | smell: 2.5 | taste: 2.5 | feel: 2.75 | overall: 2.5,+4.5%,Budweiser | Anheuser-Busch
"Dec 28, 2014",look: 3 | smell: 3 | taste: 4.5 | feel: 4 | overall: 4,+60.5%,Budweiser | Anheuser-Busch
"Dec 27, 2014",look: 5 | smell: 5 | taste: 5 | feel: 3 | overall: 5,+97.5%,Budweiser | Anheuser-Busch
"Dec 24, 2014",look: 2.75 | smell: 2 | taste: 2.25 | feel: 2.5 | overall: 2.25,-7.4%,Budweiser | Anheuser-Busch
"Dec 19, 2014",look: 3 | smell: 3 | taste: 3.5 | feel: 3 | overall: 3,+31.7%,Budweiser | Anheuser-Busch
"Dec 13, 2014",look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3,+23.5%,Budweiser | Anheuser-Busch
"Dec 11, 2014",look: 4 | smell: 3 | taste: 4 | feel: 4 | overall: 4,+54.7%,Budweiser | Anheuser-Busch
"Dec 10, 2014",look: 1 | smell: 1 | taste: 1 | feel: 1 | overall: 1,-58.8%,Budweiser | Anheuser-Busch
"Dec 09, 2014",324 characters,+64.6%,Budweiser | Anheuser-Busch
"Dec 09, 2014",151 characters,+23.5%,Budweiser | Anheuser-Busch
"Dec 07, 2014",160 characters,+23.5%,Budweiser | Anheuser-Busch
"Dec 07, 2014",look: 1.75 | smell: 1.75 | taste: 2.5 | feel: 2.25 | overall: 2.5,-7.4%,Budweiser | Anheuser-Busch
"Dec 06, 2014",212 characters,+54.3%,Budweiser | Anheuser-Busch
"Nov 29, 2014",298 characters,+2.9%,Budweiser | Anheuser-Busch
"Nov 26, 2014",505 characters,+64.6%,Budweiser | Anheuser-Busch
"Nov 23, 2014","1,172 characters",+33.7%,Budweiser | Anheuser-Busch
"Nov 19, 2014",look: 2.5 | smell: 2.5 | taste: 2.5 | feel: 2.25 | overall: 2.25,look: 2.5 | smell: 2.5 | taste: 2.5 | feel: 2.25 | overall: 2.25,Budweiser | Anheuser-Busch
"Nov 19, 2014",481 characters,+2.9%,Budweiser | Anheuser-Busch
"Nov 14, 2014",look: 4 | smell: 5 | taste: 5 | feel: 4 | overall: 5,+99.2%,Budweiser | Anheuser-Busch
"Nov 10, 2014","1,896 characters",+54.3%,Budweiser | Anheuser-Busch
"Oct 29, 2014",863 characters,+23.5%,Budweiser | Anheuser-Busch
"Oct 07, 2014",309 characters,+64.6%,Budweiser | Anheuser-Busch
"Sep 25, 2014","1,385 characters",-7.4%,Budweiser | Anheuser-Busch
"Sep 19, 2014",349 characters,+2.9%,Budweiser | Anheuser-Busch
"Sep 18, 2014",166 characters,-28%,Budweiser | Anheuser-Busch
"Sep 08, 2014",151 characters,+64.6%,Budweiser | Anheuser-Busch
"Sep 06, 2014",420 characters,-17.7%,Budweiser | Anheuser-Busch
