,Category,Total,Field
72,FIRST LADIES,46,History
73,4-LETTER WORDS,45,Word
74,EXPLORERS,45,History
75,MAGAZINES,45,News
76,ORGANIZATIONS,45,Grab Bag
77,QUOTATIONS,45,Grab Bag
78,CHEMISTRY,42,Science
79,FRUITS & VEGETABLES,42,Food
80,EUROPEAN HISTORY,41,History
81,FASHION,41,Popular Culture
82,HISTORIC NAMES,41,History
83,ANATOMY,40,Science
84,HOMOPHONES,40,Word
85,SCIENTISTS,40,Science
86,VOCABULARY,40,Word
87,U.S. STATES,39,Geography
88,POP CULTURE,38,Popular Culture
89,FOREIGN WORDS & PHRASES,37,Word
90,AWARDS,36,Grab Bag
91,MAMMALS,36,Animals
92,5-LETTER WORDS,35,Word
93,BIRDS,35,Animals
94,FAMILIAR PHRASES,35,Word
95,FAMOUS NAMES,35,Grab Bag
96,GOVERNMENT & POLITICS,35,History
97,LAKES & RIVERS,35,Geography
98,ODDS & ENDS,35,Grab Bag
99,THEATRE,35,Literature
100,10-LETTER WORDS,34,Word
101,19th CENTURY AMERICA,34,
102,GENERAL SCIENCE,34,
103,PHYSICS,34,
104,POETRY,34,
105,THE BODY HUMAN,34,
106,ARTISTS,33,
107,U.S. PRESIDENTS,33,
108,BOTANY,32,
109,HEALTH & MEDICINE,32,
110,THE AMERICAN REVOLUTION,32,
111,ABBREV.,31,
112,ACTORS & ACTRESSES,31,
113,EUROPE,31,
114,NATURE,31,
115,NOTABLE NAMES,31,
116,WORLD LEADERS,31,
117,DOUBLE TALK,30,
118,HAIL TO THE CHIEF,30,
119,LIBRARIES,30,
120,PROVERBS,30,
121,QUOTES,30,
122,SCULPTURE,30,
123,TECHNOLOGY,30,
124,THE ELEMENTS,30,
125,WEATHER,30,
126,INSECTS,29,
127,LEFTOVERS,29,
128,LETTER PERFECT,29,
129,COLORS,28,
130,GEOLOGY,28,
131,THE HUMAN BODY,28,
132,U.S.A.,28,
133,WORLD LITERATURE,28,
134,ENGLISH LITERATURE,27,
135,FAMOUS AMERICANS,27,
136,SINGERS,27,
137,ANAGRAMS,26,
138,ANCIENT HISTORY,26,
139,FURNITURE,26,
140,PRESIDENTS,26,
141,THE MIDDLE AGES,26,
142,THE OLD TESTAMENT,26,
143,12-LETTER WORDS,25,
144,6-LETTER WORDS,25,
145,ARCHAEOLOGY,25,
146,CLASSICAL COMPOSERS,25,
147,COUNTRIES OF THE WORLD,25,
148,FLOWERS,25,
149,INVENTORS,25,
150,LANDMARKS,25,
151,LITERARY CHARACTERS,25,
152,MIDDLE NAMES,25,
153,NURSERY RHYMES,25,
154,PEOPLE IN HISTORY,25,
155,PHILOSOPHY,25,
156,POLITICIANS,25,
157,SIGNS & SYMBOLS,25,
158,THE 20th CENTURY,25,
159,TIME,25,
160,WOMEN AUTHORS,25,
161,ACTRESSES,24,
162,COOKING,24,
163,GUINNESS RECORDS,24,
164,MUSICAL THEATRE,24,
165,RIVERS,24,
166,ROYALTY,24,
167,#NAME?,23,
168,NEWSPAPERS,23,
169,NOTORIOUS,23,
170,ODD WORDS,23,
171,PHYSICAL SCIENCE,23,
172,THE 50 STATES,23,
173,2-LETTER WORDS,22,
174,BESTSELLERS,22,
175,EDUCATION,22,
176,FACTS & FIGURES,22,
177,FAMOUS WOMEN,22,
178,SAINTS,22,
179,TV TRIVIA,22,
180,WHERE AM I?,22,
181,WORLD WAR II,22,
182,ABBREVIATIONS,21,
183,BASEBALL,21,
184,DANCE,21,
185,DRAMA,21,
186,LAST NAME'S THE SAME,21,
187,MATH,21,
188,MOVIE QUOTES,21,
189,NICKNAMES,21,
190,"NUMBER, PLEASE",21,
191,THE OLD WEST,21,
192,WORLD FACTS,21,
193,13-LETTER WORDS,20,
194,ACTORS & THEIR ROLES,20,
195,AFRICA,20,
196,BIOGRAPHIES,20,
197,BODY LANGUAGE,20,
198,BRAND NAMES,20,
199,CHILDREN'S LITERATURE,20,
200,COLONIAL AMERICA,20,
201,ECONOMICS,20,
202,FAMOUS PAIRS,20,
203,GAMES,20,
204,HERBS & SPICES,20,
205,HISTORIC AMERICANS,20,
206,IN THE BOOKSTORE,20,
207,NATIONAL PARKS,20,
208,NOTABLE WOMEN,20,
209,NOVELS,20,
210,PLAYWRIGHTS,20,
211,ROCKS & MINERALS,20,
212,TOYS & GAMES,20,
213,TREES,20,
214,WOMEN IN SPORTS,20,
215,WORLD RELIGION,20,
216,7-LETTER WORDS,19,
217,ADD A LETTER,19,
218,AMERICAN INDIANS,19,
219,FLAGS,19,
220,GEOMETRY,19,
221,INVENTIONS,19,
222,KIDDY LIT,19,
223,PLAYS & PLAYWRIGHTS,19,
224,PRESIDENTIAL TRIVIA,19,
225,QUASI-RELATED PAIRS,19,
226,THE ,19,
227,THEATER,19,
228,9-LETTER WORDS,18,
229,AMERICAN LIT,18,
230,AVIATION,18,
231,COUNTRY MUSIC,18,
232,INVENTORS & INVENTIONS,18,
233,MUSIC APPRECIATION,18,
234,SHORT STORIES,18,
235,STOCK SYMBOLS,18,
236,THE OSCARS,18,
237,THE PLANETS,18,
238,WORD PUZZLES,18,
239,AT THE MOVIES,17,
240,CELEBRITIES,17,
241,"CROSSWORD CLUES ""F""",17,
242,DOGS,17,
243,JEOPARDY!,17,
244,SAME FIRST & LAST LETTER,17,
245,SHIPS,17,
246,THE OLYMPICS,17,
247,THIS & THAT,17,
248,U.S. GOVERNMENT,17,
249,WOMEN,17,
250,11-LETTER WORDS,16,
251,ANCIENT TIMES,16,
252,BLACK AMERICA,16,
253,BRIDGES,16,
254,BRITISH HISTORY,16,
255,FASHION DESIGNERS,16,
256,FIRST NAME'S THE SAME,16,
257,FOOD FACTS,16,
258,GARDENING,16,
259,IN OTHER WORDS...,16,
260,LITERARY HODGEPODGE,16,
261,MOVIE TRIVIA,16,
262,MOVIES,16,
263,MYTHS & LEGENDS,16,
264,THE 1980s,16,
265,VICE PRESIDENTS,16,
266,20th CENTURY WOMEN,15,
267,ADJECTIVES,15,
268,AGRICULTURE,15,
269,AMERICAN AUTHORS,15,
270,BRITISH AUTHORS,15,
271,BROADWAY,15,
272,BY THE NUMBERS,15,
273,COMPOUND WORDS,15,
274,"CROSSWORD CLUES ""M""",15,
275,ETIQUETTE,15,
276,FICTION,15,
277,GEMS & JEWELRY,15,
278,HIGHWAYS & BYWAYS,15,
279,HOMOPHONIC PAIRS,15,
280,IN THE NEWS,15,
281,INTERNATIONAL CUISINE,15,
282,LAW,15,
283,METALS,15,
284,MONEY,15,
285,PEN NAMES,15,
286,PHOTOGRAPHY,15,
287,PLAYS,15,
288,POETS,15,
289,POLITICS,15,
290,PRESIDENTIAL NICKNAMES,15,
291,SCIENCE CLASS,15,
292,SPORTS STARS,15,
293,THE 19th CENTURY,15,
294,THE QUEEN'S ENGLISH,15,
295,THE SUPREME COURT,15,
296,TV,15,
297,WEAPONS,15,
298,WORLD TRAVEL,15,
299,WORLD WAR I,15,
300,ANCIENT ROME,14,
301,BEASTLY EXPRESSIONS,14,
302,BIBLICAL PEOPLE,14,
303,ENGLISH LIT,14,
304,FAMOUS QUOTES,14,
305,FASHION HISTORY,14,
306,FISH,14,
307,LESSER-KNOWN NAMES,14,
308,MOVIE DEBUTS,14,
309,MOVIE TAGLINES,14,
310,NATIVE AMERICANS,14,
311,OFFICIAL LANGUAGES,14,
312,PLANTS,14,
313,PSYCHOLOGY,14,
314,RANKS & TITLES,14,
315,STATE FLAGS,14,
316,THE ANIMAL KINGDOM,14,
317,THE NEW TESTAMENT,14,
318,UNREAL ESTATE,14,
319,WEBSITES,14,
320,WHO PLAYED 'EM?,14,
321,WOMEN IN HISTORY,14,
322,WORD & PHRASE ORIGINS,14,
323,"""T"" TIME",13,
324,8-LETTER WORDS,13,
325,ACTORS & ROLES,13,
326,BROADWAY LYRICS,13,
327,CELEBRITY RHYME TIME,13,
328,"CROSSWORD CLUES ""S""",13,
329,EARLY AMERICA,13,
330,FOOTBALL,13,
331,FROM THE LATIN,13,
332,HOLIDAYS,13,
333,JAPAN,13,
334,LITERARY QUOTES,13,
335,MATHEMATICS,13,
336,MISSING LINKS,13,
337,NUTRITION,13,
338,PEOPLE & PLACES,13,
339,SHAKESPEAREAN CHARACTERS,13,
340,SICKNESS & HEALTH,13,
341,THE 1930s,13,
342,THE 1970s,13,
343,THE DIRECTOR'S CHAIR,13,
344,TRAVEL U.S.A.,13,
345,"""G""EOGRAPHY",12,
346,20th CENTURY AMERICA,12,
347,AFRICAN HISTORY,12,
348,ASIA,12,
349,AWARDS & HONORS,12,
350,BIBLICAL QUOTES,12,
351,BROADWAY MUSICALS,12,
352,CATS & DOGS,12,
353,COMMUNICATION,12,
354,CONSTELLATIONS,12,
355,DINOSAURS,12,
356,EXPLORATION,12,
357,FAMOUS FIRSTS,12,
358,FROM THE GREEK,12,
359,GEMS,12,
360,HINTS FROM HELOISE,12,
361,LITERARY TERMS,12,
362,MILITARY MATTERS,12,
363,MUSIC CLASS,12,
364,PLANTS & TREES,12,
365,POT LUCK,12,
366,SOUTH AMERICA,12,
367,SPORTS NICKNAMES,12,
368,STATE NICKNAMES,12,
369,THE CONSTITUTION,12,
370,THE ENVIRONMENT,12,
371,TRIVIA,12,
372,WHICH CAME FIRST?,12,
373,YOU DO THE MATH,12,
374,4-SYLLABLE WORDS,11,
375,AUTHORS' RHYME TIME,11,
376,AUTOBIOGRAPHIES,11,
377,BETTER KNOWN AS...,11,
378,CLOTHING,11,
379,"CROSSWORD CLUES ""K""",11,
380,"CROSSWORD CLUES ""L""",11,
381,"CROSSWORD CLUES ""P""",11,
382,EUROPEAN CITIES,11,
383,EUROPEAN GEOGRAPHY,11,
384,FIRST NAMES,11,
385,FRENCH HISTORY,11,
386,GENESIS,11,
387,GRAMMAR,11,
388,HISTORICAL NOVELS,11,
389,JUST DESSERTS,11,
390,NONPOTENT POTABLES,11,
391,OCCUPATIONS,11,
392,OLD TESTAMENT,11,
393,ON THE MAP,11,
394,PARTS OF THE WHOLE,11,
395,RULERS,11,
396,STAR TREK,11,
397,STATE FACTS,11,
398,THE 20TH CENTURY,11,
399,THE LARGEST IN AREA,11,
400,TOUGH TV TRIVIA,11,
401,TV ACTORS & ROLES,11,
402,TV CHARACTERS,11,
403,WINE,11,
404,"""G"" WHIZ",10,
405,5-SYLLABLE WORDS,10,
406,A.K.A.,10,
407,AFRICAN AMERICANS,10,
408,ALBUMS,10,
409,ALPHABETICALLY FIRST,10,
410,ALPHABETICALLY LAST,10,
411,AMERICAN POETRY,10,
412,AMERICAN WOMEN,10,
413,ANCIENT GREECE,10,
414,ANIMAL GROUPS,10,
415,ANTONYMS,10,
416,ARCHITECTS,10,
417,AUTOMOBILES,10,
418,BEASTLY RHYME TIME,10,
419,BLACK AMERICANS,10,
420,BORN & DIED,10,
421,BRIT LIT,10,
422,BRITISH ROYALTY,10,
423,CARTOONS,10,
424,CELEBRITY BOOKS,10,
425,CELEBRITY RELATIVES,10,
426,CELEBS,10,
427,CLIFFS NOTES,10,
428,COLLEGE FOOTBALL,10,
429,CONTEMPORARIES,10,
430,"CROSSWORD CLUES ""A""",10,
431,"CROSSWORD CLUES ""G""",10,
432,"CROSSWORD CLUES ""T""",10,
433,CURRENT EVENTS,10,
434,DESIGN,10,
435,DOUBLE DOUBLE LETTERS,10,
436,E BEFORE I,10,
437,ENGINEERING,10,
438,EPONYMS,10,
439,EUROPEAN CAPITALS,10,
440,FILMS OF THE '90s,10,
441,FRENCH LITERATURE,10,
442,FROM PAGE TO SCREEN,10,
443,FRUIT,10,
444,GAMBLING,10,
445,GET YOUR FACTS STRAIGHT,10,
446,GOLF,10,
447,GOVERNMENT,10,
448,GOVERNORS,10,
449,GRAB BAG,10,
450,HATS,10,
451,HISTORIC NICKNAMES,10,
452,HISTORIC QUOTES,10,
453,INTERNATIONAL FOOD & DRINK,10,
454,JEWELRY,10,
455,LABOR,10,
456,LEGAL LINGO,10,
457,MARINE BIOLOGY,10,
458,MONTHS,10,
459,MORTAL MATTERS,10,
460,MOVIE MUSICALS,10,
461,MOVIE SONGS,10,
462,MUSICAL THEATER,10,
463,MUSICALS,10,
464,NATIONAL ANTHEMS,10,
465,NEWSPAPERS & MAGAZINES,10,
466,NUCLEAR PHYSICS,10,
467,ODD JOBS,10,
468,OFFICIAL STATE THINGS,10,
469,PENINSULAS,10,
470,PUT 'EM IN ORDER,10,
471,RELIGIOUS LEADERS,10,
472,REPTILES,10,
473,ROCK,10,
474,SCIENCE & TECHNOLOGY,10,
475,SCIENCE GUYS,10,
476,SEWING,10,
477,SONG LYRICS,10,
478,SONGS,10,
479,SPELLING,10,
480,SPORTS LEGENDS,10,
481,SPORTS TRIVIA,10,
482,STAMPS,10,
483,STAR WARS,10,
484,SUPERSTITIONS,10,
485,SWEETS,10,
486,THE BILL OF RIGHTS,10,
487,THE CABINET,10,
488,THE EMMYS,10,
489,THE LAW,10,
490,THE WESTERN HEMISPHERE,10,
491,U.S. BODIES OF WATER,10,
492,U.S. COINS,10,
493,VERBS,10,
494,VOLCANOES,10,
495,WOMEN'S FIRSTS,10,
496,WOMEN WRITERS,10,
497,WORDS,10,
498,WORDS WITHIN WORDS,10,
499,"""D"" IN SCIENCE",9,
500,"""G"" WHIZ!",9,
501,1984,9,
502,ALL THAT JAZZ,9,
503,AROUND THE HOUSE,9,
504,ARTISTS & THEIR SUBJECTS,9,
505,ASIAN HISTORY,9,
506,AT THE DRUGSTORE,9,
507,BACKWORDS,9,
508,CAPITAL CITY BIRTHPLACES,9,
509,CEREMONIES,9,
510,COLLEGE TOWNS,9,
511,COLLEGES,9,
512,COLOR MY WORLD,9,
513,COLORFUL WORDS & PHRASES,9,
514,CORPORATE AMERICA,9,
515,DAYS OF THE WEEK,9,
516,DOCUMENTARIES,9,
517,EARTH SCIENCE,9,
518,FIRST AID,9,
519,FIRST NOVELS,9,
520,FOOD FOR THOUGHT,9,
521,FORBES,9,
522,FROM THE FRENCH,9,
523,HISTORIC PEOPLE,9,
524,HORSES,9,
525,JULY,9,
526,MEDALS & DECORATIONS,9,
527,MOTHER GOOSE,9,
528,NEW YORK CITY,9,
529,NOT TO BE CONFUSED,9,
530,OFFICIAL STATE STUFF,9,
531,ON THE GO,9,
532,PAINTERS,9,
533,PALINDROMES,9,
534,PATRON SAINTS,9,
535,POLITICAL TERMS,9,
536,POP QUIZ,9,
537,RECENT MOVIES,9,
538,SLOGANEERING,9,
539,SNL,9,
540,TEENS IN HISTORY,9,
541,THE 1950s,9,
542,THE CINEMA,9,
543,THE REVOLUTIONARY WAR,9,
544,THE SOLAR SYSTEM,9,
545,THE U.S. CONSTITUTION,9,
546,THE WHITE HOUSE,9,
547,U.S. PLACE NAMES,9,
548,U.S. STAMPS,9,
549,WHAT'S IN A NAME?,9,
550,"""V""OCABULARY",8,
551,"""W""ORDS",8,
552,ANCIENT EGYPT,8,
553,ANTHROPOLOGY,8,
554,APPROXIMATE WEIGHTS & MEASURES,8,
555,AROUND THE USA,8,
556,ART HISTORY,8,
557,ASTROLOGY,8,
558,ATHLETES,8,
559,AUTHORS & THEIR WORKS,8,
560,BASKETBALL,8,
561,BEST SELLERS,8,
562,BEVERAGES,8,
563,BOTTOMS UP,8,
564,BUSINESS,8,
565,CATS,8,
566,CHILDREN'S LIT,8,
567,CLASSIC SITCOM EPISODES,8,
568,CLICHES,8,
569,"CROSSWORD CLUES ""C""",8,
570,DESERTS,8,
571,"ENDS IN ""X""",8,
572,ENERGY,8,
573,FABRICS,8,
574,FEMALE FIRSTS,8,
575,FIRST THINGS FIRST,8,
576,FLAGS OF THE WORLD,8,
577,FOREIGN CURRENCY,8,
578,FRENCH CUISINE,8,
579,FUN WITH OPERA,8,
580,GAME SHOWS,8,
581,GREEK MYTHOLOGY,8,
582,HEALTH MATTERS,8,
583,HISTORIC WOMEN,8,
584,IF THEY MARRIED...,8,
585,INCREDIBLE EDIBLES,8,
586,JAZZ,8,
587,JOURNALISM,8,
588,KINGS & QUEENS,8,
589,LAKES,8,
590,LITERARY BEFORE & AFTER,8,
591,MEDICAL HISTORY,8,
592,MEXICO,8,
593,MODERN HISTORY,8,
594,MORE THAN ONE MEANING,8,
595,MOVIE DIRECTORS,8,
596,NAME'S THE SAME,8,
597,NAME THE DECADE,8,
598,NORSE MYTHOLOGY,8,
599,NOVEL CHARACTERS,8,
600,NOVEL VOCABULARY,8,
601,OPERA CHARACTERS,8,
602,PARKS,8,
603,PHILOSOPHERS,8,
604,POLITICAL QUOTES,8,
605,PREFIXES,8,
606,PRESIDENTS & FIRST LADIES,8,
607,RELIGIOUS MATTERS,8,
608,ROCK MUSIC,8,
609,SHAKESPEAREAN ACTORS,8,
610,SLANG,8,
611,SOCIOLOGY,8,
612,SPORTS TALK,8,
613,THE 16th CENTURY,8,
614,THE 1920s,8,
615,THE 1960s,8,
616,THE ARTS,8,
617,THE CRUSADES,8,
618,THE HISTORY CHANNEL,8,
619,THE MIDDLE EAST,8,
620,THE NORTHERNMOST CAPITAL CITY,8,
621,THE OLYMPIC GAMES,8,
622,THE SHORT FORM,8,
623,THE STARS,8,
624,THE UNITED NATIONS,8,
625,THE WAR OF 1812,8,
626,TREATIES,8,
627,TV GUIDE SAYS,8,
628,U.S. RIVERS,8,
629,VIDEO GAMES,8,
630,WILD WEST,8,
631,"""J"" WALKING",7,
632,15-LETTER WORDS,7,
633,17th CENTURY AMERICA,7,
634,18th CENTURY AMERICA,7,
635,1989,7,
636,2,7,
637,20th CENTURY NOVELS,7,
638,A NOVEL CATEGORY,7,
639,A RIVER RUNS THROUGH IT,7,
640,ADVERTISING,7,
641,AIRPORT CODES,7,
642,AIRPORTS,7,
643,ALPHABET SOUP,7,
644,ALPHABETIC HOMOPHONES,7,
645,AMERICAN HODGEPODGE,7,
646,AMERICAN REVOLUTION,7,
647,ANTIQUES,7,
648,APRIL,7,
649,ARCHIPELAGOS,7,
650,AROUND THE U.S.A.,7,
651,ARTS & CRAFTS,7,
652,ASIAN CAPITALS,7,
653,BEATLES LYRICS,7,
654,BIBLICAL ZOO,7,
655,BOOK TITLES,7,
656,BRANDED,7,
657,BREAKFAST CEREALS,7,
658,BROADWAY DEBUTS,7,
659,BUGS,7,
660,CANADA,7,
661,CAPITAL PUNISHMENT,7,
662,CARS,7,
663,"CATCHING SOME ""Z""s",7,
664,CELEBRITIES' FAVORITE BOOKS,7,
665,CHARACTERS IN MUSICALS,7,
666,CHINA,7,
667,CHURCHES & CATHEDRALS,7,
668,CIVIL WAR GENERALS,7,
669,CLASSIC CINEMA,7,
670,CLASSICAL MUSICIANS,7,
671,COCKNEY RHYMING SLANG,7,
672,COLLECTIBLES,7,
673,COMPLETES THE PROVERB,7,
674,CONTAINERS,7,
675,COUNTRY SINGERS,7,
676,DECORATIVE ARTS,7,
677,DOUBLE LETTERS,7,
678,DRUGS,7,
679,FINAL RESTING PLACES,7,
680,FLOWER POWER,7,
681,FOR THE BIRDS,7,
682,FORESTS,7,
683,FRIENDS,7,
684,GENERAL KNOWLEDGE,7,
685,"GEOGRAPHY ""B""",7,
686,GOLDEN OLDIES,7,
687,GOULASH,7,
688,HALLS OF FAME,7,
689,HISTORIC DOCUMENTS,7,
690,HOMONYMS,7,
691,ICE CREAM,7,
692,INDIANS,7,
693,INITIALLY YOURS,7,
694,INSPIRED CHARACTERS,7,
695,INVENTIVE MINDS,7,
696,IT'S A GROUP THING,7,
697,KIDDIE LIT,7,
698,LABOR UNIONS,7,
699,LIGHTHOUSES,7,
700,LITERARY RELATIVES,7,
701,MAN IN SPACE,7,
702,MED. ABBREV.,7,
703,MOVIE TITLE PAIRS,7,
704,MULTIPLE CHOICE,7,
705,MUSIC MAKERS,7,
706,MYTHOLOGICAL WORDS & PHRASES,7,
707,NAME THE MOVIE,7,
708,NAME THE POET,7,
709,NOVELS & NOVELISTS,7,
710,NUMBERS,7,
711,OXYMORONS,7,
712,PALINDROMIC WORDS,7,
713,PARTS OF SPEECH,7,
714,PERFUME,7,
715,PHOBIAS,7,
716,PREHISTORIC TIMES,7,
717,PRESIDENTIAL QUOTES,7,
718,PRO FOOTBALL,7,
719,PUBLISHING,7,
720,RECENT HISTORY,7,
721,ROLLING STONE,7,
722,SCIENCE FICTION,7,
723,SCOTLAND,7,
724,SEAS,7,
725,SHAKESPEARE'S WOMEN,7,
726,SONGS FROM MUSICALS,7,
727,SOUTH OF THE EQUATOR,7,
728,SPACE EXPLORATION,7,
729,STATE BIRDS,7,
730,STATE CAPITAL NICKNAMES,7,
731,STATE MOTTOES,7,
732,STATES OF THE UNION,7,
733,SYNONYMS,7,
734,TAKE A LETTER,7,
735,TEXTILES,7,
736,THE 17th CENTURY,7,
737,THE 1880s,7,
738,THE CALENDAR,7,
739,THE FRENCH REVOLUTION,7,
740,THE FUNNIES,7,
741,THE ONION,7,
742,THE RENAISSANCE,7,
743,THE ROARING '20s,7,
744,THE SIMPSONS,7,
745,THE SMALLEST IN AREA,7,
746,THE SPORTING LIFE,7,
747,THE U.N.,7,
748,TRAVEL EUROPE,7,
749,TV NOSTALGIA,7,
750,TV SPIN-OFFS,7,
751,U.S. CITY NICKNAMES,7,
752,WAR STORIES,7,
753,WATERFALLS,7,
754,WEDDINGS,7,
755,WHAT ARE YOU AFRAID OF?,7,
756,WHERE IS IT?,7,
757,WORLD FLAGS,7,
758,WORLD LIT,7,
759,WRITERS ON FILM,7,
760,YE GODS!,7,
761,'50s TV,6,
762,'60s TV,6,
763,"""A"" IN GEOGRAPHY",6,
764,"""BOO""!",6,
765,"""C"" IN SCIENCE",6,
766,1957,6,
767,1987,6,
768,19th CENTURY AMERICANS,6,
769,19th CENTURY LIT,6,
770,20th CENTURY PEOPLE,6,
771,ACRONYMS,6,
772,ACTOR-DIRECTORS,6,
773,ALL ABOUT ANIMALS,6,
774,ALLITERATION ALL AROUND,6,
775,AMERICAN ARTISTS,6,
776,AMERICAN NOVELISTS,6,
777,AMERICAN REVOLUTIONARIES,6,
778,"AN ""F"" IN HISTORY",6,
779,ANIMAL WORDS & PHRASES,6,
780,ARGENTINA,6,
781,AROUND THE BODY,6,
782,ASTRONOMERS,6,
783,AUSTRALIA,6,
784,AUTHORS ON AUTHORS,6,
785,BIBLICAL GEOGRAPHY,6,
786,BIBLICAL RHYME TIME,6,
787,BIG WORDS,6,
788,BILLBOARD,6,
789,BOOKS OF THE BIBLE,6,
790,BREAD,6,
791,BRIT SPEAK,6,
792,BUSINESS BIGGIES,6,
793,CANADIAN HISTORY,6,
794,CANADIAN PROVINCES,6,
795,CASABLANCA,6,
796,CELEBRITY MARRIAGES,6,
797,CITY NICKNAMES,6,
798,COLORFUL RHYME TIME,6,
799,CONTEMPORARY AUTHORS,6,
800,COUNTIES,6,
801,CRITTERS,6,
802,"CROSSWORD CLUES ""D""",6,
803,DEM BONES,6,
804,DEMOCRATS,6,
805,DIRECTORS,6,
806,DISNEY FILM VOICES,6,
807,EARLY AMERICAN HISTORY,6,
808,FAIRY TALES,6,
809,FASHION STATEMENTS,6,
810,FILL IN THE BOOK TITLE,6,
811,FILM STARS,6,
812,FILMS OF THE '70s,6,
813,FITNESS,6,
814,FIX THE PROVERB,6,
815,FOOD STUFF,6,
816,FOOD WORDS & PHRASES,6,
817,FROM A TO Y,6,
818,GEMS & JEWELS,6,
819,GEOGRAPHIC TERMS,6,
820,GETTING POSSESSIVE,6,
821,GRAVE MATTERS,6,
822,HE WAS IN THAT?,6,
823,HETERONYMS,6,
824,HOBBIES,6,
825,HOSPITALS,6,
826,INTERIOR DESIGN,6,
827,INVERTEBRATES,6,
828,LATIN AMERICAN HISTORY,6,
829,LEGAL MATTERS,6,
830,LET'S GET BIBLICAL,6,
831,LIBROS EN ESPAÑOL,6,
832,LIFE SCIENCE,6,
833,LITERARY FIRST LINES,6,
834,LITERARY LOCALES,6,
835,LITERARY TITLE PAIRS,6,
836,MEDICAL MATTERS,6,
837,MEN OF SCIENCE,6,
838,MOVIE SEQUELS,6,
839,MUSICAL NUMBERS,6,
840,MUSICIANS,6,
841,NAME THE AUTHOR,6,
842,NAME THE YEAR,6,
843,NATIONAL GEOGRAPHIC,6,
844,NATIONAL HISTORIC SITES,6,
845,NATIONAL PARKS OF THE WORLD,6,
846,NATURE STUDY,6,
847,NEW TESTAMENT,6,
848,NUMBER PLEASE,6,
849,OSCAR-WINNING SONGS,6,
850,PAINTINGS,6,
851,PETS,6,
852,PHOTOGRAPHERS,6,
853,PIRATES,6,
854,"PLANES, TRAINS & AUTOMOBILES",6,
855,PLAY TIME,6,
856,PLAYING DOCTOR,6,
857,PRESIDENTIAL RELATIVES,6,
858,PRESIDENTIAL RHYME TIME,6,
859,PSYCH 101,6,
860,QUOTABLE WOMEN,6,
861,REPUBLICANS,6,
862,RODENTS,6,
863,SILLY SONGS,6,
864,SPORTS HOME CITIES,6,
865,SPORTS QUOTES,6,
866,"STARTS & ENDS WITH ""A""",6,
867,"STARTS WITH ""H""",6,
868,STATE FLOWERS,6,
869,STATE OF THE UNION,6,
870,STREET SMARTS,6,
871,STUFF,6,
872,SUPREME COURT JUSTICES,6,
873,TENNIS,6,
874,THAT'S SO CLICHE!,6,
875,THE '50s,6,
876,THE 1940s,6,
877,THE 1990s,6,
878,THE EARTH,6,
879,THE INTERNET,6,
