Pos.This.Week|Pos.Last.Week|Peak.Pos.This.Week|Total.Weeks|Title|Artist|Entry.Date|Pos.Entry|Overall.Peak.Pos|Overall.Total.Weeks|Chart.Date
87|95|87|2|Doesn't Remind Me|AUDIOSLAVE|2005-09-17|95|68|11|20050924
88|54|50|6|Axel F|CRAZY FROG|2005-08-20|80|50|7|20050924
89|NEW|89|1|If You Were Mine|MARCOS HERNANDEZ|2005-09-24|89|78|8|20050924
90|NEW|90|1|I Think They Like Me|DEM FRANCHIZE BOYZ feat JERMAINE DUPRI
91|NEW|91|1|Stay Fly|THREE 6 MAFIA featuring YOUNG BUCK & EIGHTBALL & MJG|2005-09-24|91|13|23|20050924
92|NEW|92|1|You're Like Comin' Home|LONESTAR|2005-09-24|92|63|11|20050924
93|71|66|11|Help Somebody|VAN ZANT|2005-07-16|91|66|11|20050924
94|79|60|11|Gotta Getcha|JERMAINE DUPRI|2005-07-16|100|60|11|20050924
95|75|14|11|These Boots Are Made For Walkin'|JESSICA SIMPSON|2005-07-16|33|14|11|20050924
96|93|93|3|Footprints|T.O.K.|2005-09-10|97|93|6|20050924
97|97|87|7|Gotta Make It|TREY SONGZ featuring TWISTA|2005-08-13|89|87|7|20050924
98|NEW|98|1|Come A Little Closer|DIERKS BENTLEY|2005-09-24|98|31|20|20050924
99|87|36|14|Summer Nights|LIL ROB|2005-06-25|94|36|14|20050924
100|NEW|100|1|Lighters Up|LIL' KIM|2005-09-24|100|31|13|20050924
1|19|1|8|Gold Digger|KANYE WEST featuring JAMIE FOXX|2005-07-30|92|1|39|20050917
2|2|2|8|Shake It Off|MARIAH CAREY|2005-07-30|66|2|26|20050917
3|4|3|18|Lose Control|MISSY ELLIOTT featuring CIARA & FAT MAN SCOOP|2005-05-21|86|3|28|20050917
4|1|1|23|We Belong Together|MARIAH CAREY|2005-04-16|81|1|43|20050917
5|3|2|20|Don't Cha|THE PUSSYCAT DOLLS featuring BUSTA RHYMES|2005-05-07|95|2|40|20050917
6|7|6|7|Like You|BOW WOW featuring CIARA|2005-08-06|63|3|21|20050917
7|6|2|15|Pon de Replay|RHIANNA|2005-06-11|97|2|27|20050917
9|5|4|17|Let Me Hold You|BOW WOW featuring OMARION|2005-05-28|93|4|24|20050917
10|8|5|27|You & Me|LIFEHOUSE|2005-03-19|99|5|58|20050917
11|15|11|7|Wake Me Up When September Ends|GREEN DAY|2005-08-06|98|6|27|20050917
12|10|8|16|Listen To Your Heart|D.H.T.|2005-06-04|87|8|27|20050917
13|9|6|22|Behind These Hazel Eyes|KELLY CLARKSON|2005-04-23|87|6|34|20050917
14|14|14|6|Don't Lie|BLACK EYED PEAS|2005-08-13|81|14|20|20050917
15|13|13|23|Beverly Hills|WEEZER|2005-04-16|25|10|43|20050917
16|25|16|5|My Humps|BLACK EYED PEAS|2005-08-20|85|3|36|20050917
17|18|14|17|Feel Good Inc|GORILLAZ / DE LA SOUL|2005-05-28|74|14|45|20050917
18|16|16|9|Play|DAVID BANNER|2005-07-23|90|7|20|20050917
19|17|9|15|Pimpin' All Over The World|LUDACRIS featuring BOBBY VALENTINO|2005-06-11|81|9|20|20050917
20|11|11|8|Just The Girl|THE CLICK FIVE|2005-07-30|83|11|20|20050917
21|21|13|10|Cool|GWEN STEFANI|2005-07-16|86|13|20|20050917
22|22|1|25|Hollaback|GWEN STEFANI|2005-04-02|82|1|31|20050917
23|24|17|12|These Words|NATASHA BEDINGFIELD|2005-07-02|100|17|20|20050917
24|34|24|20|La Tortura|SHAKIRA featuring ALEJANDRO SANZ|2005-05-07|98|23|31|20050917
25|31|25|9|Outta Control (Remix)|50 CENT featuring MOBB DEEP|2005-07-23|96|6|19|20050917
26|20|14|21|Cater 2 U|DESTINY'S CHILD|2005-04-30|95|14|24|20050917
27|33|2|40|Since U Been Gone|KELLY CLARKSON|2004-12-18|70|2|46|20050917
28|28|19|24|Holiday|GREEN DAY|2005-04-09|98|19|32|20050917
29|27|15|32|Scars|PAPA ROACH|2005-02-12|73|15|38|20050917
30|35|10|32|Mr. Brightside|KILLERS|2005-02-12|40|10|38|20050917
31|23|9|16|Get It Poppin'|FAT JOE featuring NELLY|2005-06-04|88|9|20|20050917
32|26|3|22|Don't Phunk With My Heart|BLACK EYED PEAS|2005-04-23|97|3|26|20050917
33|72|33|11|Helena (So Long & Goodnight)|MY CHEMICAL ROMANCE|2005-07-09|98|33|16|20050917
34|36|34|7|Your Body|PRETTY RICKY|2005-08-06|88|12|20|20050917
35|32|32|10|Badd|YING YANG TWINS featuring MIKE JONES & MR. COLLIPARK|2005-07-16|92|29|19|20050917
36|29|28|12|Alcohol|BRAD PAISLEY|2005-07-02|89|28|18|20050917
37|57|37|12|Play Something Country|BROOKS & DUNN|2005-07-02|92|37|17|20050917
38|39|18|19|Best Of You|FOO FIGHTERS|2005-05-14|51|18|21|20050917
39|46|3|26|Just A Lil Bit|50 CENT|2005-03-26|87|3|27|20050917
40|47|8|20|Coldplay|SPEED OF SOUND|2005-05-07|8|8|20|20050917
41|30|29|3|Wake Up|HILARY DUFF|2005-09-03|29|29|6|20050917
42|40|28|16|As Good As I Once Was|TOBY KEITH|2005-06-04|80|28|20|20050917
43|61|43|3|Because Of You|KELLY CLARKSON|2005-09-03|99|7|37|20050917
44|45|44|11|A Real Fine Place To Start|SARA EVANS|2005-07-09|99|38|20|20050917
45|42|22|16|Back Then|MIKE JONES|2005-06-04|91|22|20|20050917
46|55|46|6|Belly Dancer (Bananza)|AKON|2005-08-13|98|30|20|20050917
47|38|6|31|Lonely No More|ROB THOMAS|2005-02-19|78|6|34|20050917
48|65|48|3|Soul Survivor|YOUNG JEEZY featuring AKON|2005-09-03|83|4|24|20050917
49|48|20|32|Collide|HOWIE DAY|2005-02-12|78|20|32|20050917
50|43|43|14|Must Be Nice|LYFE JENNINGS|2005-06-18|89|40|19|20050917
51|91|43|18|Diamonds From Sierra Leone|KANYE WEST|2005-05-21|94|43|19|20050917
52|52|52|10|This Is How A Heart Breaks|ROB THOMAS|2005-07-16|98|52|20|20050917
53|41|29|15|Mississippi Girl|FAITH HILL|2005-06-11|85|29|20|20050917
54|50|50|5|Axel F|CRAZY FROG|2005-08-20|80|50|7|20050917
55|51|51|10|Tell Me|BOBBY VALENTINO|2005-07-16|85|51|14|20050917
56|79|56|4|Run It!|CHRIS BROWN|2005-08-27|92|1|38|20050917
57|64|57|7|Something To Be Proud Of|MONTGOMERY GENTRY|2005-08-06|96|41|20|20050917
58|76|58|5|Dirty Little Secret|ALL-AMERICAN REJECTS|2005-08-20|91|9|38|20050917
59|66|59|7|Redneck Yacht Club|CRAIG MORGAN|2005-08-06|100|45|19|20050917
"60|71|60|8|Welcome To Jamrock|DAMIAN ""JR. GONG"" MARLEY|2005-07-30|96|55|12|20050917"
61|53|35|18|Something More|SUGARLAND|2005-05-21|99|35|20|20050917
62|87|48|13|So Seductive|TONY YAYO featuring 50 CENT|2005-06-25|76|48|15|20050917
63|75|63|2|Photograph|NICKELBACK|2005-09-10|75|2|33|20050917
64|69|64|4|I'm Sprung|T-PAIN|2005-08-27|100|8|26|20050917
65|59|59|10|Do You Want Fries With That|TIM McGRAW|2005-07-16|90|59|11|20050917
66|77|66|6|Stay With Me (Brass Bed)|JOSH GRACIN|2005-08-13|99|47|16|20050917
67|63|63|4|Naked|MARQUES HOUSTON|2005-08-27|89|47|14|20050917
68|56|35|16|Make Her Feel Good|TEAIRRA MARI|2005-06-04|98|35|18|20050917
69|68|38|20|Fast Cars And Freedom|RASCAL FLATTS|2005-05-07|86|38|20|20050917
70|80|70|3|Just Want You To Know|BACKSTREET BOYS|2005-09-03|89|70|4|20050917
71|67|66|10|Help Somebody|VAN ZANT|2005-07-16|91|66|11|20050917
72|78|72|8|Somebody's Hero|JAMIE O'NEAL|2005-07-30|99|51|17|20050917
73|73|55|13|Right Here|STAIND|2005-06-25|85|55|20|20050917
74|89|74|4|All These Things That I've Done|THE KILLERS|2005-08-27|95|74|14|20050917
75|84|14|10|These Boots Are Made For Walkin'|JESSICA SIMPSON|2005-07-16|33|14|11|20050917
76|82|76|5|All Jacked Up|GRETCHEN WILSON|2005-08-20|97|42|11|20050917
77|60|39|17|How To Deal|FRANKIE J|2005-05-28|94|39|19|20050917
78|88|78|3|Probably Wouldn't Be This Way|LeANN RIMES|2005-09-03|96|54|14|20050917
79|90|60|10|Gotta Getcha|JERMAINE DUPRI|2005-07-16|100|60|11|20050917
80|74|67|9|And Then What|YOUNG JEEZY featuring MANNIE FRESH|2005-07-23|91|67|11|20050917
81|58|29|20|Give Me That|WEBBIE featuring BUN B|2005-05-07|99|29|20|20050917
82|85|82|3|Best I Ever Had|GARY ALLAN|2005-09-03|98|51|17|20050917
83|70|70|7|Charlie Last Name: Wilson|CHARLIE WILSON|2005-08-06|92|67|14|20050917
84|86|84|6|Hicktown|JASON ALDEAN|2005-08-13|100|68|13|20050917
85|81|81|3|Home|MICHALE BUBLE|2005-09-03|91|72|14|20050917
86|100|86|2|Girl Tonite|TWISTA featuring TREY SONGZ|2005-09-10|100|14|20|20050917
87|62|36|13|Summer Nights|LIL ROB|2005-06-25|94|36|14|20050917
88|NEW|88|1|We Be Burnin'|SEAN PAUL|2005-09-17|88|6|28|20050917
89|95|89|3|Shake|YING YANG TWINS featuring PITBULL|2005-09-03|94|41|20|20050917
90|98|90|2|Better Life|KEITH URBAN|2005-09-10|98|44|20|20050917
91|93|91|5|Georgia Rain|TRISHA YEARWOOD|2005-08-20|98|78|8|20050917
92|NEW|92|1|Outta Control|50 CENT|2005-09-17|92|92|1|20050917
93|97|93|2|Footprints|T.O.K.|2005-09-10|97|93|6|20050917
94|NEW|94|1|More Than Words|FRANKIE J|2005-09-17|94|25|18|20050917
95|NEW|95|1|Doesn't Remind Me|AUDIOSLAVE|2005-09-17|95|68|11|20050917
96|NEW|96|1|I'm A King|P$C featuring T.I. & LIL SCRAPPY|2005-09-17|96|67|9|20050917
97|92|87|6|Gotta Make It|TREY SONGZ featuring TWISTA|2005-08-13|89|87|7|20050917
98|94|1|12|Inside Your Heaven|CARRIE UNDERWOOD|2005-07-02|1|1|12|20050917
99|99|98|4|Sittin' Sidewayz|PAUL WALL featuring BIG POKEY|2005-08-27|98|98|4|20050917
100|83|83|2|Do You Want To|FRANZ FERDINAND|2005-09-10|83|83|2|20050917
1|1|1|22|We Belong Together|MARIAH CAREY|2005-04-16|81|1|43|20050910
2|4|2|7|Shake It Off|MARIAH CAREY|2005-07-30|66|2|26|20050910
3|2|2|19|Don't Cha|THE PUSSYCAT DOLLS featuring BUSTA RHYMES|2005-05-07|95|2|40|20050910
4|6|4|17|Lose Control|MISSY ELLIOTT featuring CIARA & FAT MAN SCOOP|2005-05-21|86|3|28|20050910
5|5|4|16|Let Me Hold You|BOW WOW featuring OMARION|2005-05-28|93|4|24|20050910
6|3|2|14|Pon de Replay|RHIANNA|2005-06-11|97|2|27|20050910
7|9|7|6|Like You|BOW WOW featuring CIARA|2005-08-06|63|3|21|20050910
8|7|5|26|You & Me|LIFEHOUSE|2005-03-19|99|5|58|20050910
9|8|6|21|Behind These Hazel Eyes|KELLY CLARKSON|2005-04-23|87|6|34|20050910
10|10|8|15|Listen To Your Heart|D.H.T.|2005-06-04|87|8|27|20050910
11|11|11|7|Just The Girl|THE CLICK FIVE|2005-07-30|83|11|20|20050910
13|14|13|22|Beverly Hills|WEEZER|2005-04-16|25|10|43|20050910
14|17|14|5|Don't Lie|BLACK EYED PEAS|2005-08-13|81|14|20|20050910
15|21|15|6|Wake Me Up When September Ends|GREEN DAY|2005-08-06|98|6|27|20050910
16|24|16|8|Play|DAVID BANNER|2005-07-23|90|7|20|20050910
17|12|9|14|Pimpin' All Over The World|LUDACRIS featuring BOBBY VALENTINO|2005-06-11|81|9|20|20050910
18|16|14|16|Feel Good Inc|GORILLAZ / DE LA SOUL|2005-05-28|74|14|45|20050910
19|27|19|7|Gold Digger|KANYE WEST featuring JAMIE FOXX|2005-07-30|92|1|39|20050910
20|19|14|20|Cater 2 U|DESTINY'S CHILD|2005-04-30|95|14|24|20050910
21|13|13|9|Cool|GWEN STEFANI|2005-07-16|86|13|20|20050910
22|18|1|24|Hollaback|GWEN STEFANI|2005-04-02|82|1|31|20050910
23|20|9|15|Get It Poppin'|FAT JOE featuring NELLY|2005-06-04|88|9|20|20050910
24|23|17|11|These Words|NATASHA BEDINGFIELD|2005-07-02|100|17|20|20050910
25|39|25|4|My Humps|BLACK EYED PEAS|2005-08-20|85|3|36|20050910
26|22|3|21|Don't Phunk With My Heart|BLACK EYED PEAS|2005-04-23|97|3|26|20050910
27|26|15|31|Scars|PAPA ROACH|2005-02-12|73|15|38|20050910
28|25|19|23|Holiday|GREEN DAY|2005-04-09|98|19|32|20050910
29|28|28|11|Alcohol|BRAD PAISLEY|2005-07-02|89|28|18|20050910
30|29|29|2|Wake Up|HILARY DUFF|2005-09-03|29|29|6|20050910
31|34|31|8|Outta Control (Remix)|50 CENT featuring MOBB DEEP|2005-07-23|96|6|19|20050910
32|37|32|9|Badd|YING YANG TWINS featuring MIKE JONES & MR. COLLIPARK|2005-07-16|92|29|19|20050910
33|31|2|39|Since U Been Gone|KELLY CLARKSON|2004-12-18|70|2|46|20050910
34|41|34|19|La Tortura|SHAKIRA featuring ALEJANDRO SANZ|2005-05-07|98|23|31|20050910
35|35|10|31|Mr. Brightside|KILLERS|2005-02-12|40|10|38|20050910
36|52|36|6|Your Body|PRETTY RICKY|2005-08-06|88|12|20|20050910
37|30|7|22|Grind With Me|PRETTY RICKIE|2005-04-16|92|7|22|20050910
38|42|6|30|Lonely No More|ROB THOMAS|2005-02-19|78|6|34|20050910
39|32|18|18|Best Of You|FOO FIGHTERS|2005-05-14|51|18|21|20050910
40|38|28|15|As Good As I Once Was|TOBY KEITH|2005-06-04|80|28|20|20050910
41|36|29|14|Mississippi Girl|FAITH HILL|2005-06-11|85|29|20|20050910
42|33|22|15|Back Then|MIKE JONES|2005-06-04|91|22|20|20050910
43|46|43|13|Must Be Nice|LYFE JENNINGS|2005-06-18|89|40|19|20050910
44|49|41|20|Free Yourself|FANTASIA|2005-04-30|100|41|20|20050910
45|50|45|10|A Real Fine Place To Start|SARA EVANS|2005-07-09|99|38|20|20050910
46|40|3|25|Just A Lil Bit|50 CENT|2005-03-26|87|3|27|20050910
47|43|8|19|Coldplay|SPEED OF SOUND|2005-05-07|8|8|20|20050910
48|47|20|31|Collide|HOWIE DAY|2005-02-12|78|20|32|20050910
49|45|7|28|Switch|WILL SMITH|2005-03-05|88|7|28|20050910
50|68|50|4|Axel F|CRAZY FROG|2005-08-20|80|50|7|20050910
51|57|51|9|Tell Me|BOBBY VALENTINO|2005-07-16|85|51|14|20050910
52|54|52|9|This Is How A Heart Breaks|ROB THOMAS|2005-07-16|98|52|20|20050910
53|44|35|17|Something More|SUGARLAND|2005-05-21|99|35|20|20050910
54|56|53|20|Breathe (2.A.M.)|ANNA NALIK|2005-04-30|92|53|20|20050910
55|61|55|5|Belly Dancer (Bananza)|AKON|2005-08-13|98|30|20|20050910
56|48|35|15|Make Her Feel Good|TEAIRRA MARI|2005-06-04|98|35|18|20050910
57|67|57|11|Play Something Country|BROOKS & DUNN|2005-07-02|92|37|17|20050910
58|60|29|19|Give Me That|WEBBIE featuring BUN B|2005-05-07|99|29|20|20050910
59|59|59|9|Do You Want Fries With That|TIM McGRAW|2005-07-16|90|59|11|20050910
60|53|39|16|How To Deal|FRANKIE J|2005-05-28|94|39|19|20050910
61|99|61|2|Because Of You|KELLY CLARKSON|2005-09-03|99|7|37|20050910
62|55|36|12|Summer Nights|LIL ROB|2005-06-25|94|36|14|20050910
63|76|63|3|Naked|MARQUES HOUSTON|2005-08-27|89|47|14|20050910
64|72|64|6|Something To Be Proud Of|MONTGOMERY GENTRY|2005-08-06|96|41|20|20050910
65|83|65|2|Soul Survivor|YOUNG JEEZY featuring AKON|2005-09-03|83|4|24|20050910
66|70|66|6|Redneck Yacht Club|CRAIG MORGAN|2005-08-06|100|45|19|20050910
67|66|66|9|Help Somebody|VAN ZANT|2005-07-16|91|66|11|20050910
68|63|38|19|Fast Cars And Freedom|RASCAL FLATTS|2005-05-07|86|38|20|20050910
69|81|69|3|I'm Sprung|T-PAIN|2005-08-27|100|8|26|20050910
70|75|70|6|Charlie Last Name: Wilson|CHARLIE WILSON|2005-08-06|92|67|14|20050910
"71|64|64|7|Welcome To Jamrock|DAMIAN ""JR. GONG"" MARLEY|2005-07-30|96|55|12|20050910"
72|71|71|10|Helena (So Long & Goodnight)|MY CHEMICAL ROMANCE|2005-07-09|98|33|16|20050910
73|58|55|12|Right Here|STAIND|2005-06-25|85|55|20|20050910
74|69|67|8|And Then What|YOUNG JEEZY featuring MANNIE FRESH|2005-07-23|91|67|11|20050910
75|NEW|75|1|Photograph|NICKELBACK|2005-09-10|75|2|33|20050910
76|73|73|4|Dirty Little Secret|ALL-AMERICAN REJECTS|2005-08-20|91|9|38|20050910
77|86|77|5|Stay With Me (Brass Bed)|JOSH GRACIN|2005-08-13|99|47|16|20050910
78|82|78|7|Somebody's Hero|JAMIE O'NEAL|2005-07-30|99|51|17|20050910
79|84|79|3|Run It!|CHRIS BROWN|2005-08-27|92|1|38|20050910
80|89|80|2|Just Want You To Know|BACKSTREET BOYS|2005-09-03|89|70|4|20050910
81|91|81|2|Home|MICHALE BUBLE|2005-09-03|91|72|14|20050910
82|90|82|4|All Jacked Up|GRETCHEN WILSON|2005-08-20|97|42|11|20050910
83|NEW|83|1|Do You Want To|FRANZ FERDINAND|2005-09-10|83|83|2|20050910
84|62|14|9|These Boots Are Made For Walkin'|JESSICA SIMPSON|2005-07-16|33|14|11|20050910
85|98|85|2|Best I Ever Had|GARY ALLAN|2005-09-03|98|51|17|20050910
86|95|86|5|Hicktown|JASON ALDEAN|2005-08-13|100|68|13|20050910
87|74|48|12|So Seductive|TONY YAYO featuring 50 CENT|2005-06-25|76|48|15|20050910
88|96|88|2|Probably Wouldn't Be This Way|LeANN RIMES|2005-09-03|96|54|14|20050910
89|87|87|3|All These Things That I've Done|THE KILLERS|2005-08-27|95|74|14|20050910
90|65|60|9|Gotta Getcha|JERMAINE DUPRI|2005-07-16|100|60|11|20050910
91|85|43|17|Diamonds From Sierra Leone|KANYE WEST|2005-05-21|94|43|19|20050910
92|92|87|5|Gotta Make It|TREY SONGZ featuring TWISTA|2005-08-13|89|87|7|20050910
93|97|93|4|Georgia Rain|TRISHA YEARWOOD|2005-08-20|98|78|8|20050910
94|79|1|11|Inside Your Heaven|CARRIE UNDERWOOD|2005-07-02|1|1|12|20050910
95|94|94|2|Shake|YING YANG TWINS featuring PITBULL|2005-09-03|94|41|20|20050910
96|88|56|12|Dem Boyz|BOYZ N DA HOOD|2005-06-25|97|56|12|20050910
97|NEW|97|1|Footprints|T.O.K.|2005-09-10|97|93|6|20050910
98|NEW|98|1|Better Life|KEITH URBAN|2005-09-10|98|44|20|20050910
99|100|98|3|Sittin' Sidewayz|PAUL WALL featuring BIG POKEY|2005-08-27|98|98|4|20050910
100|NEW|100|1|Girl Tonite|TWISTA featuring TREY SONGZ|2005-09-10|100|14|20|20050910
1|1|1|21|We Belong Together|MARIAH CAREY|2005-04-16|81|1|43|20050903
2|2|2|18|Don't Cha|THE PUSSYCAT DOLLS featuring BUSTA RHYMES|2005-05-07|95|2|40|20050903
3|3|2|13|Pon de Replay|RHIANNA|2005-06-11|97|2|27|20050903
4|6|4|6|Shake It Off|MARIAH CAREY|2005-07-30|66|2|26|20050903
5|4|4|15|Let Me Hold You|BOW WOW featuring OMARION|2005-05-28|93|4|24|20050903
6|9|4|16|Lose Control|MISSY ELLIOTT featuring CIARA & FAT MAN SCOOP|2005-05-21|86|3|28|20050903
7|5|5|25|You & Me|LIFEHOUSE|2005-03-19|99|5|58|20050903
8|7|6|20|Behind These Hazel Eyes|KELLY CLARKSON|2005-04-23|87|6|34|20050903
