Pos.This.Week|Pos.Last.Week|Peak.Pos.This.Week|Total.Weeks|Title|Artist|Entry.Date|Pos.Entry|Overall.Peak.Pos|Overall.Total.Weeks|Chart.Date,,
21|25|21|10|Uhh Ahh|BOYZ II MEN|1991-12-14|88|16|20|19920215,,
22|27|22|4|Missing You Now|MICHAEL BOLTON|1992-01-25|79|12|20|19920215,,
23|23|23|9|I'll Get By|EDDIE MONEY|1991-12-21|85|21|20|19920215,,
24|38|24|7|Breakin' My Heart (Pretty Brown Eyes)|MINT CONDITION|1992-01-04|94|6|24|19920215,,
25|20|7|11|Addams Groove|HAMMER|1991-12-07|84|7|20|19920215,,
26|21|12|16|No Son Of Mine|GENESIS|1991-11-02|53|12|20|19920215,,
27|64|27|3|Save The Best For Last|VANESSA WILLIAMS|1992-02-01|92|1|27|19920215,,
28|37|28|5|Paper Doll|P.M. DAWN|1992-01-18|79|28|12|19920215,,
29|43|29|3|I Can't Dance|GENESIS|1992-02-01|78|7|20|19920215,,
30|24|2|22|It's So Hard To Say Goodbye To Yesterday|BOYZ II MEN|1991-09-21|77|2|22|19920215,,
31|32|31|9|There Will Never Be Another Tonight|BRYAN ADAMS|1991-12-21|87|31|15|19920215,,
32|28|28|11|Hearts Don't Think (They Feel)|NATURAL SELECTION|1991-12-07|92|28|14|19920215,,
33|22|1|18|Set Adrift On Memory Drift|P.M. DAWN|1991-10-19|50|1|20|19920215,,
34|33|33|9|Live And Let Die|GUNS N'ROSES|1991-12-21|95|33|16|19920215,,
35|53|35|3|Justified And Ancient|THE KLF featuring TAMMY WYNETTE|1992-02-01|70|11|18|19920215,,
36|81|36|2|Tears In Heaven|ERIC CLAPTON|1992-02-08|81|2|26|19920215,,
37|31|20|18|Broken Arrow|ROD STEWART|1991-10-19|90|20|20|19920215,,
38|59|38|3|Thinkin' Back|COLOR ME BADD|1992-02-01|74|16|20|19920215,,
39|29|26|17|I've Got A Lot To Learn About Love|THE STORM|1991-10-26|97|26|20|19920215,,
40|50|40|5|Until Your Love Comes Back Around|RTZ|1992-01-18|96|26|18|19920215,,
41|34|32|13|Is It Good To You|HEAVY D & THE BOYZ|1991-11-23|78|32|20|19920215,,
42|52|42|3|What Becomes Of The Broken Hearted|PAUL YOUNG|1992-02-01|72|22|14|19920215,,
43|39|39|12|On A Sunday Afternoon|A LIGHTER SHADE OF BROWN|1991-11-30|85|39|20|19920215,,
44|41|38|14|Too Blind To See It|KYM SIMS|1991-11-16|84|38|20|19920215,,
45|57|45|5|Oochie Coochie|M.C. BRAINS|1992-01-18|87|21|18|19920215,,
46|51|46|10|Move Any Mountain|THE SHAMEN|1991-12-14|100|38|17|19920215,,
47|30|10|15|Wildside|MARKY MARK|1991-11-09|47|10|20|19920215,,
48|72|48|5|Beauty And The Beast|CELINE DION & PEABO BRYSON|1992-01-18|88|9|20|19920215,,
49|35|26|14|Love Me All Up|STACY EARL|1991-11-16|96|26|19|19920215,,
50|46|46|7|Stay|JODECI|1992-01-04|78|41|18|19920215,,
51|40|22|19|Live For Loving You|GLORIA ESTEFAN|1991-10-12|85|22|20|19920215,,
52|54|40|14|Kiss You Back|DIGITAL UNDERGROUND|1991-11-16|79|40|20|19920215,,
53|49|46|16|I Wanna Be Your Girl|ICY BLU|1991-11-02|89|46|20|19920215,,
54|62|54|6|Pride (In The Name Of Love)|CLIVILLES & COLE|1992-01-11|81|44|17|19920215,,
55|63|55|3|You Showed Me|SALT-N-PEPA|1992-02-01|69|47|20|19920215,,
56|73|56|3|Again Tonight|JOHN MELLENCAMP|1992-02-01|80|36|13|19920215,,
57|42|1|19|When A Man Loves A Woman|MICHAEL BOLTON|1991-10-12|44|1|20|19920215,,
58|48|25|17|Forever My Lady|JODECI|1991-10-26|71|25|20|19920215,,
59|47|35|11|The Unforgiven|METALLICA|1991-12-07|65|35|17|19920215,,
60|44|34|14|In My Dreams|THE PARTY|1991-11-16|92|34|18|19920215,,
61|56|23|20|Mind Playing Tricks On Me|GETO BOYS|1991-10-05|87|23|20|19920215,,
62|45|12|16|Keep Coming Back|RICHARD MARX|1991-11-02|47|12|20|19920215,,
63|55|6|18|Blowing Kisses In The Wind|PAULA ABDUL|1991-10-19|47|6|20|19920215,,
64|60|27|16|Change|LISA STANSFIELD|1991-11-02|92|27|20|19920215,,
65|75|65|3|We Got A Love Thang|CE CE PENISTON|1992-02-01|87|20|20|19920215,,
66|61|29|18|Angel Baby|ANGELICA|1991-10-19|78|29|20|19920215,,
67|74|67|11|In Paradise|LAISSEZ FAIRE|1991-12-07|97|64|17|19920215,,
68|58|44|15|Send Me An Angel|SCORPIONS|1991-11-09|82|44|18|19920215,,
69|78|69|4|Stars|SIMPLY RED|1992-01-25|93|44|14|19920215,,
70|65|32|17|Spending My Time|ROXETTE|1991-10-26|85|32|20|19920215,,
71|69|42|18|Tender Kisses|TRACIE SPENCER|1991-10-19|85|42|20|19920215,,
72|66|51|14|Ain't Gonna Hurt Nobody|KID'N PLAY|1991-11-16|89|51|19|19920215,,
73|77|73|3|You Are The One|CHRIS CUEVAS|1992-02-01|89|58|11|19920215,,
74|80|74|2|Too Much Passion|SMITHEREENS|1992-02-08|80|37|14|19920215,,
75|71|61|12|I Want You|JODY WATLEY|1991-11-30|92|61|15|19920215,,
76|79|76|5|Blinded By Love|RHYTHM SYNDICATE|1992-01-18|84|76|6|19920215,,
77|70|37|18|Save Up All Your Tears|CHER|1991-10-19|92|37|20|19920215,,
78|NEW|78|1|Hazard|RICHARD MARX|1992-02-15|78|9|20|19920215,,
79|68|37|15|Home Sweet Home|MOTLEY CRUE|1991-11-09|72|37|17|19920215,,
80|88|80|4|What Goes Around Comes Around|GIGGLES|1992-01-25|96|47|20|19920215,,
81|82|79|7|Hold On (Tighter To Love)|CLUBLAND|1992-01-04|97|79|12|19920215,,
82|92|82|2|Everything's Gonna Be Alright|NAUGHTY BY NATURE|1992-02-08|92|53|20|19920215,,
83|NEW|83|1|I Need Money|MARKY MARK & THE FUNKY BUNCH|1992-02-15|83|61|7|19920215,,
84|96|84|2|Can't Cry Hard Enough|WILLIAMS BROTHERS|1992-02-08|96|42|18|19920215,,
85|76|12|19|Street Of Dreams|NIA PEEPLES|1991-10-12|66|12|20|19920215,,
86|97|86|2|Right Now|VAN HALEN|1992-02-08|97|55|13|19920215,,
87|86|77|12|Within My Heart|VOYCE|1991-11-30|89|77|13|19920215,,
88|NEW|88|1|Baby Hold On To Me|GERALD LEVERT|1992-02-15|88|37|20|19920215,,
89|91|89|2|Boom! I Got Your Boyfriend|M.C. LUSCIOUS|1992-02-08|91|61|20|19920215,,
90|85|85|4|Everlasting Love|TONY TERRY|1992-01-25|98|81|10|19920215,,
91|NEW|91|1|Mama, I'm Coming Home|OZZY OSBOURNE|1992-02-15|91|28|17|19920215,
92|84|73|7|The Rush|LUTHER VANDROSS|1992-01-04|90|73|7|19920215,,
93|87|58|14|All She Wrote|FIREHOUSE|1991-11-16|88|58|14|19920215,,
94|98|90|4|Cold Shower|ERIN CRUISE|1992-01-25|90|90|7|19920215,,
95|93|62|11|The Comfort Zone|VANESSA WILLIAMS|1991-12-07|86|62|12|19920215,,
96|NEW|96|1|The Phuncky Feel One / How I Could Just Kill A Man|CYPRESS HILL|1992-02-15|96|77|7|19920215,,
97|90|20|19|Ring My Bell|DJ JAZZY JEFF & THE FRESH PRINCE|1991-10-12|72|20|19|19920215,,
98|95|27|19|Top Of The World|VAN HALEN|1991-10-12|69|27|19|19920215,,
99|NEW|99|1|Globe|BIG AUDIO DYNAMITE II|1992-02-15|99|59|29|19920215,,
100|89|82|6|There's No Other Way|BLUR|1992-01-11|92|82|6|19920215,,
1|6|1|8|I'm Too Sexy|RIGHT SAID FRED|1991-12-21|67|1|21|19920208,,
2|2|2|12|I Love Your Smile|SHANICE|1991-11-23|93|2|26|19920208,,
3|1|1|10|Don't Let The Sun Go Down On Me|GEORGE MICHAEL & ELTON JOHN|1991-12-07|72|1|20|19920208,,
4|4|4|10|Diamonds And Pearls|PRINCE & THE N.P.G.|1991-12-07|88|3|21|19920208,,
5|3|1|14|All 4 Love|COLOR ME BADD|1991-11-09|37|1|28|19920208,,
6|8|6|10|Smells Like Teen Spirit|NIRVANA|1991-12-07|40|6|21|19920208,,
7|5|2|13|Can't Let Go|MARIAH CAREY|1991-11-16|42|2|20|19920208,,
8|14|8|8|To Be With You|MR. BIG|1991-12-21|82|1|24|19920208,,
9|7|5|20|Finally|CE CE PENISTON|1991-09-28|94|5|33|19920208,,
10|10|10|14|Tell Me What You Want Me To Do|TEVIN CAMPBELL|1991-11-09|93|7|24|19920208,,
11|11|9|12|Mysterious Ways|U2|1991-11-23|77|9|20|19920208,,
12|12|12|11|The Way I Feel About You|KARYN WHITE|1991-11-30|84|12|20|19920208,,
13|20|13|3|Remember The Time|MICHAEL JACKSON|1992-01-25|53|3|20|19920208,,
14|13|5|14|2 Legit 2 Quit|HAMMER|1991-11-09|61|5|20|19920208,,
15|9|1|12|Black Or White|MICHAEL JACKSON|1991-11-23|35|1|20|19920208,,
16|25|16|4|Vibeology|PAULA ABDUL|1992-01-18|65|16|14|19920208,,
17|22|17|4|Good For Me|AMY GRANT|1992-01-18|69|8|20|19920208,,
18|19|18|11|Keep It Comin'|KEITH SWEAT|1991-11-30|75|17|20|19920208,,
19|21|19|12|I Can't Make You Love Me|BONNIE RAITT|1991-11-23|87|18|20|19920208,,
20|16|7|10|Addams Groove|HAMMER|1991-12-07|84|7|20|19920208,,
21|15|12|15|No Son Of Mine|GENESIS|1991-11-02|53|12|20|19920208,,
22|18|1|17|Set Adrift On Memory Drift|P.M. DAWN|1991-10-19|50|1|20|19920208,,
23|30|23|8|I'll Get By|EDDIE MONEY|1991-12-21|85|21|20|19920208,,
24|17|2|21|It's So Hard To Say Goodbye To Yesterday|BOYZ II MEN|1991-09-21|77|2|22|19920208,,
25|29|25|9|Uhh Ahh|BOYZ II MEN|1991-12-14|88|16|20|19920208,,
26|39|26|2|Masterpiece|ATLANTIC STARR|1992-02-01|39|3|20|19920208,,
27|45|27|3|Missing You Now|MICHAEL BOLTON|1992-01-25|79|12|20|19920208,,
28|31|28|10|Hearts Don't Think (They Feel)|NATURAL SELECTION|1991-12-07|92|28|14|19920208,,
29|26|26|16|I've Got A Lot To Learn About Love|THE STORM|1991-10-26|97|26|20|19920208,,
30|23|10|14|Wildside|MARKY MARK|1991-11-09|47|10|20|19920208,,
31|24|20|17|Broken Arrow|ROD STEWART|1991-10-19|90|20|20|19920208,,
32|36|32|8|There Will Never Be Another Tonight|BRYAN ADAMS|1991-12-21|87|31|15|19920208,,
33|42|33|8|Live And Let Die|GUNS N'ROSES|1991-12-21|95|33|16|19920208,,
34|34|32|12|Is It Good To You|HEAVY D & THE BOYZ|1991-11-23|78|32|20|19920208,,
35|27|26|13|Love Me All Up|STACY EARL|1991-11-16|96|26|19|19920208,,
36|28|7|20|That's What Love Is For|AMY GRANT|1991-09-28|67|7|20|19920208,,
37|49|37|4|Paper Doll|P.M. DAWN|1992-01-18|79|28|12|19920208,,
38|47|38|6|Breakin' My Heart (Pretty Brown Eyes)|MINT CONDITION|1992-01-04|94|6|24|19920208,,
39|43|39|11|On A Sunday Afternoon|A LIGHTER SHADE OF BROWN|1991-11-30|85|39|20|19920208,,
40|33|22|18|Live For Loving You|GLORIA ESTEFAN|1991-10-12|85|22|20|19920208,,
41|38|38|13|Too Blind To See It|KYM SIMS|1991-11-16|84|38|20|19920208,,
42|35|1|18|When A Man Loves A Woman|MICHAEL BOLTON|1991-10-12|44|1|20|19920208,,
43|78|43|2|I Can't Dance|GENESIS|1992-02-01|78|7|20|19920208,,
44|37|34|13|In My Dreams|THE PARTY|1991-11-16|92|34|18|19920208,,
45|32|12|15|Keep Coming Back|RICHARD MARX|1991-11-02|47|12|20|19920208,,
46|59|46|6|Stay|JODECI|1992-01-04|78|41|18|19920208,,
47|50|35|10|The Unforgiven|METALLICA|1991-12-07|65|35|17|19920208,,
48|40|25|16|Forever My Lady|JODECI|1991-10-26|71|25|20|19920208,,
49|52|46|15|I Wanna Be Your Girl|ICY BLU|1991-11-02|89|46|20|19920208,,
50|61|50|4|Until Your Love Comes Back Around|RTZ|1992-01-18|96|26|18|19920208,,
51|56|51|9|Move Any Mountain|THE SHAMEN|1991-12-14|100|38|17|19920208,,
52|72|52|2|What Becomes Of The Broken Hearted|PAUL YOUNG|1992-02-01|72|22|14|19920208,,
53|70|53|2|Justified And Ancient|THE KLF featuring TAMMY WYNETTE|1992-02-01|70|11|18|19920208,,
54|57|40|13|Kiss You Back|DIGITAL UNDERGROUND|1991-11-16|79|40|20|19920208,,
55|41|6|17|Blowing Kisses In The Wind|PAULA ABDUL|1991-10-19|47|6|20|19920208,,
56|58|23|19|Mind Playing Tricks On Me|GETO BOYS|1991-10-05|87|23|20|19920208,,
57|67|57|4|Oochie Coochie|M.C. BRAINS|1992-01-18|87|21|18|19920208,,
58|44|44|14|Send Me An Angel|SCORPIONS|1991-11-09|82|44|18|19920208,,
59|74|59|2|Thinkin' Back|COLOR ME BADD|1992-02-01|74|16|20|19920208,,
60|48|27|15|Change|LISA STANSFIELD|1991-11-02|92|27|20|19920208,,
61|55|29|17|Angel Baby|ANGELICA|1991-10-19|78|29|20|19920208,,
62|64|62|5|Pride (In The Name Of Love)|CLIVILLES & COLE|1992-01-11|81|44|17|19920208,,
63|69|63|2|You Showed Me|SALT-N-PEPA|1992-02-01|69|47|20|19920208,,
64|92|64|2|Save The Best For Last|VANESSA WILLIAMS|1992-02-01|92|1|27|19920208,,
65|51|32|16|Spending My Time|ROXETTE|1991-10-26|85|32|20|19920208,,
66|65|51|13|Ain't Gonna Hurt Nobody|KID'N PLAY|1991-11-16|89|51|19|19920208,,
67|60|1|20|Cream|PRINCE & THE N.P.G.|1991-09-28|46|1|20|19920208,,
68|63|37|14|Home Sweet Home|MOTLEY CRUE|1991-11-09|72|37|17|19920208,,
69|66|42|17|Tender Kisses|TRACIE SPENCER|1991-10-19|85|42|20|19920208,,
70|53|37|17|Save Up All Your Tears|CHER|1991-10-19|92|37|20|19920208,,
71|62|61|11|I Want You|JODY WATLEY|1991-11-30|92|61|15|19920208,,
72|77|72|4|Beauty And The Beast|CELINE DION & PEABO BRYSON|1992-01-18|88|9|20|19920208,,
73|80|73|2|Again Tonight|JOHN MELLENCAMP|1992-02-01|80|36|13|19920208,,
74|68|67|10|In Paradise|LAISSEZ FAIRE|1991-12-07|97|64|17|19920208,,
75|87|75|2|We Got A Love Thang|CE CE PENISTON|1992-02-01|87|20|20|19920208,,
76|71|12|18|Street Of Dreams|NIA PEEPLES|1991-10-12|66|12|20|19920208,,
77|89|77|2|You Are The One|CHRIS CUEVAS|1992-02-01|89|58|11|19920208,,
78|86|78|3|Stars|SIMPLY RED|1992-01-25|93|44|14|19920208,,
79|85|79|4|Blinded By Love|RHYTHM SYNDICATE|1992-01-18|84|76|6|19920208,,
80|NEW|80|1|Too Much Passion|SMITHEREENS|1992-02-08|80|37|14|19920208,,
81|NEW|81|1|Tears In Heaven|ERIC CLAPTON|1992-02-08|81|2|26|19920208,,
82|79|79|6|Hold On (Tighter To Love)|CLUBLAND|1992-01-04|97|79|12|19920208,,
83|76|51|20|Whispers|CORINA|1991-09-28|93|51|20|19920208,,
84|75|73|6|The Rush|LUTHER VANDROSS|1992-01-04|90|73|7|19920208,,
85|88|85|3|Everlasting Love|TONY TERRY|1992-01-25|98|81|10|19920208,,
86|94|77|11|Within My Heart|VOYCE|1991-11-30|89|77|13|19920208,,
87|73|58|13|All She Wrote|FIREHOUSE|1991-11-16|88|58|14|19920208,,
88|96|88|3|What Goes Around Comes Around|GIGGLES|1992-01-25|96|47|20|19920208,,
89|82|82|5|There's No Other Way|BLUR|1992-01-11|92|82|6|19920208,,
90|83|20|18|Ring My Bell|DJ JAZZY JEFF & THE FRESH PRINCE|1991-10-12|72|20|19|19920208,,
91|NEW|91|1|Boom! I Got Your Boyfriend|M.C. LUSCIOUS|1992-02-08|91|61|20|19920208,,
92|NEW|92|1|Everything's Gonna Be Alright|NAUGHTY BY NATURE|1992-02-08|92|53|20|19920208,,
93|81|62|10|The Comfort Zone|VANESSA WILLIAMS|1991-12-07|86|62|12|19920208,,
94|93|49|20|A Day In My Life (Without You)|LISETTE MELENDEZ|1991-09-28|91|49|20|19920208,,
95|84|27|18|Top Of The World|VAN HALEN|1991-10-12|69|27|19|19920208,,
96|NEW|96|1|Can't Cry Hard Enough|WILLIAMS BROTHERS|1992-02-08|96|42|18|19920208,,
97|NEW|97|1|Right Now|VAN HALEN|1992-02-08|97|55|13|19920208,,
98|98|90|3|Cold Shower|ERIN CRUISE|1992-01-25|90|90|7|19920208,,
99|99|90|6|I'll Take You There|BEBE & CECE WINANS featuring MAVIS STAPLES|1992-01-04|96|90|6|19920208,,
100|95|50|14|Just A Touch Of Love|C&C MUSIC FACTORY|1991-11-09|87|50|14|19920208,,
1|3|1|9|Don't Let The Sun Go Down On Me|GEORGE MICHAEL & ELTON JOHN|1991-12-07|72|1|20|19920201,,
2|7|2|11|I Love Your Smile|SHANICE|1991-11-23|93|2|26|19920201,,
3|1|1|13|All 4 Love|COLOR ME BADD|1991-11-09|37|1|28|19920201,,
4|6|4|9|Diamonds And Pearls|PRINCE & THE N.P.G.|1991-12-07|88|3|21|19920201,,
5|2|2|12|Can't Let Go|MARIAH CAREY|1991-11-16|42|2|20|19920201,,
6|10|6|7|I'm Too Sexy|RIGHT SAID FRED|1991-12-21|67|1|21|19920201,,
7|5|5|19|Finally|CE CE PENISTON|1991-09-28|94|5|33|19920201,,
8|8|6|9|Smells Like Teen Spirit|NIRVANA|1991-12-07|40|6|21|19920201,,
9|4|1|11|Black Or White|MICHAEL JACKSON|1991-11-23|35|1|20|19920201,,
10|12|10|13|Tell Me What You Want Me To Do|TEVIN CAMPBELL|1991-11-09|93|7|24|19920201,,
11|9|9|11|Mysterious Ways|U2|1991-11-23|77|9|20|19920201,,
12|14|12|10|The Way I Feel About You|KARYN WHITE|1991-11-30|84|12|20|19920201,,
13|11|5|13|2 Legit 2 Quit|HAMMER|1991-11-09|61|5|20|19920201,,
14|23|14|7|To Be With You|MR. BIG|1991-12-21|82|1|24|19920201,,
15|13|12|14|No Son Of Mine|GENESIS|1991-11-02|53|12|20|19920201,,
16|16|7|9|Addams Groove|HAMMER|1991-12-07|84|7|20|19920201,,
17|15|2|20|It's So Hard To Say Goodbye To Yesterday|BOYZ II MEN|1991-09-21|77|2|22|19920201,,
18|17|1|16|Set Adrift On Memory Drift|P.M. DAWN|1991-10-19|50|1|20|19920201,,
19|19|19|10|Keep It Comin'|KEITH SWEAT|1991-11-30|75|17|20|19920201,,
20|53|20|2|Remember The Time|MICHAEL JACKSON|1992-01-25|53|3|20|19920201,,
21|29|21|11|I Can't Make You Love Me|BONNIE RAITT|1991-11-23|87|18|20|19920201,,
22|32|22|3|Good For Me|AMY GRANT|1992-01-18|69|8|20|19920201,,
23|18|10|13|Wildside|MARKY MARK|1991-11-09|47|10|20|19920201,,
24|20|20|16|Broken Arrow|ROD STEWART|1991-10-19|90|20|20|19920201,,
25|45|25|3|Vibeology|PAULA ABDUL|1992-01-18|65|16|14|19920201,,
26|28|26|15|I've Got A Lot To Learn About Love|THE STORM|1991-10-26|97|26|20|19920201,,
27|26|26|12|Love Me All Up|STACY EARL|1991-11-16|96|26|19|19920201,,
28|21|7|19|That's What Love Is For|AMY GRANT|1991-09-28|67|7|20|19920201,,
29|30|29|8|Uhh Ahh|BOYZ II MEN|1991-12-14|88|16|20|19920201,,
30|39|30|7|I'll Get By|EDDIE MONEY|1991-12-21|85|21|20|19920201,,
31|33|31|9|Hearts Don't Think (They Feel)|NATURAL SELECTION|1991-12-07|92|28|14|19920201,,
32|25|12|14|Keep Coming Back|RICHARD MARX|1991-11-02|47|12|20|19920201,,
33|24|22|17|Live For Loving You|GLORIA ESTEFAN|1991-10-12|85|22|20|19920201,,
34|36|32|11|Is It Good To You|HEAVY D & THE BOYZ|1991-11-23|78|32|20|19920201,,
35|22|1|17|When A Man Loves A Woman|MICHAEL BOLTON|1991-10-12|44|1|20|19920201,,
36|42|36|7|There Will Never Be Another Tonight|BRYAN ADAMS|1991-12-21|87|31|15|19920201,,
37|34|34|12|In My Dreams|THE PARTY|1991-11-16|92|34|18|19920201,,
38|41|38|12|Too Blind To See It|KYM SIMS|1991-11-16|84|38|20|19920201,,
39|NEW|39|1|Masterpiece|ATLANTIC STARR|1992-02-01|39|3|20|19920201,,
40|35|25|15|Forever My Lady|JODECI|1991-10-26|71|25|20|19920201,,
41|27|6|16|Blowing Kisses In The Wind|PAULA ABDUL|1991-10-19|47|6|20|19920201,,
42|48|41|7|Live And Let Die|GUNS N'ROSES|1991-12-21|95|33|16|19920201,,
43|51|43|10|On A Sunday Afternoon|A LIGHTER SHADE OF BROWN|1991-11-30|85|39|20|19920201,,
44|44|44|13|Send Me An Angel|SCORPIONS|1991-11-09|82|44|18|19920201,,
45|79|45|2|Missing You Now|MICHAEL BOLTON|1992-01-25|79|12|20|19920201,,
46|40|10|20|Don't Cry|GUNS N'ROSES|1991-09-21|76|10|20|19920201,,
47|59|47|5|Breakin' My Heart (Pretty Brown Eyes)|MINT CONDITION|1992-01-04|94|6|24|19920201,,
48|31|27|14|Change|LISA STANSFIELD|1991-11-02|92|27|20|19920201,,
49|66|49|3|Paper Doll|P.M. DAWN|1992-01-18|79|28|12|19920201,,
50|50|35|9|The Unforgiven|METALLICA|1991-12-07|65|35|17|19920201,,
51|46|32|15|Spending My Time|ROXETTE|1991-10-26|85|32|20|19920201,,
52|55|46|14|I Wanna Be Your Girl|ICY BLU|1991-11-02|89|46|20|19920201,,
53|43|37|16|Save Up All Your Tears|CHER|1991-10-19|92|37|20|19920201,,
54|47|6|20|Set The Night To Music|ROBERTA FLACK & MAXI PRIEST|1991-09-21|73|6|20|19920201,,
55|54|29|16|Angel Baby|ANGELICA|1991-10-19|78|29|20|19920201,,
56|62|56|8|Move Any Mountain|THE SHAMEN|1991-12-14|100|38|17|19920201,,
57|57|40|12|Kiss You Back|DIGITAL UNDERGROUND|1991-11-16|79|40|20|19920201,,
58|56|23|18|Mind Playing Tricks On Me|GETO BOYS|1991-10-05|87|23|20|19920201,,
59|68|59|5|Stay|JODECI|1992-01-04|78|41|18|19920201,,
60|52|1|19|Cream|PRINCE & THE N.P.G.|1991-09-28|46|1|20|19920201,,
61|72|61|3|Until Your Love Comes Back Around|RTZ|1992-01-18|96|26|18|19920201,,
62|61|61|10|I Want You|JODY WATLEY|1991-11-30|92|61|15|19920201,,
63|49|37|13|Home Sweet Home|MOTLEY CRUE|1991-11-09|72|37|17|19920201,,
64|69|64|4|Pride (In The Name Of Love)|CLIVILLES & COLE|1992-01-11|81|44|17|19920201,,
65|60|51|12|Ain't Gonna Hurt Nobody|KID'N PLAY|1991-11-16|89|51|19|19920201,,
66|58|42|16|Tender Kisses|TRACIE SPENCER|1991-10-19|85|42|20|19920201,,
67|77|67|3|Oochie Coochie|M.C. BRAINS|1992-01-18|87|21|18|19920201,,
68|67|67|9|In Paradise|LAISSEZ FAIRE|1991-12-07|97|64|17|19920201,,
69|NEW|69|1|You Showed Me|SALT-N-PEPA|1992-02-01|69|47|20|19920201,,
70|NEW|70|1|Justified And Ancient|THE KLF featuring TAMMY WYNETTE|1992-02-01|70|11|18|19920201,,
71|63|12|17|Street Of Dreams|NIA PEEPLES|1991-10-12|66|12|20|19920201,,
72|NEW|72|1|What Becomes Of The Broken Hearted|PAUL YOUNG|1992-02-01|72|22|14|19920201,,
73|64|58|12|All She Wrote|FIREHOUSE|1991-11-16|88|58|14|19920201,,
74|NEW|74|1|Thinkin' Back|COLOR ME BADD|1992-02-01|74|16|20|19920201,,
75|73|73|5|The Rush|LUTHER VANDROSS|1992-01-04|90|73|7|19920201,,
76|76|51|19|Whispers|CORINA|1991-09-28|93|51|20|19920201,,
77|81|77|3|Beauty And The Beast|CELINE DION & PEABO BRYSON|1992-01-18|88|9|20|19920201,,
78|NEW|78|1|I Can't Dance|GENESIS|1992-02-01|78|7|20|19920201,,
79|84|79|5|Hold On (Tighter To Love)|CLUBLAND|1992-01-04|97|79|12|19920201,,
80|NEW|80|1|Again Tonight|JOHN MELLENCAMP|1992-02-01|80|36|13|19920201,,
81|65|62|9|The Comfort Zone|VANESSA WILLIAMS|1991-12-07|86|62|12|19920201,,
82|82|82|4|There's No Other Way|BLUR|1992-01-11|92|82|6|19920201,,
83|70|20|17|Ring My Bell|DJ JAZZY JEFF & THE FRESH PRINCE|1991-10-12|72|20|19|19920201,,
84|71|27|17|Top Of The World|VAN HALEN|1991-10-12|69|27|19|19920201,,
85|80|80|3|Blinded By Love|RHYTHM SYNDICATE|1992-01-18|84|76|6|19920201,,
86|93|86|2|Stars|SIMPLY RED|1992-01-25|93|44|14|19920201,,
87|NEW|87|1|We Got A Love Thang|CE CE PENISTON|1992-02-01|87|20|20|19920201,,
88|98|88|2|Everlasting Love|TONY TERRY|1992-01-25|98|81|10|19920201,,
89|NEW|89|1|You Are The One|CHRIS CUEVAS|1992-02-01|89|58|11|19920201,,
90|74|37|15|Housecall|SHABBA RANKS featuring MAXI PRIEST|1991-10-26|73|37|15|19920201,,
91|86|86|5|She Ain't Pretty|NORTHERN PIKES|1992-01-04|99|86|5|19920201,,
92|NEW|92|1|Save The Best For Last|VANESSA WILLIAMS|1992-02-01|92|1|27|19920201,,
93|85|49|19|A Day In My Life (Without You)|LISETTE MELENDEZ|1991-09-28|91|49|20|19920201,,
94|87|77|10|Within My Heart|VOYCE|1991-11-30|89|77|13|19920201,,
