BBL,Street Number,Street Name,Borough,Zip,Benchmarking Submission,Entry Number,Site EUI(kBtu/ft2),Weather Normalized Source EUI(kBtu/ft2),Indoor Water Intensity (All Water Sources)(gal/ft2),Reported Water Method,ENERGY STAR Score,Total GHG Emissions(MtCO2e),Property Floor Area (Buildngs and Parking)(ft2),Primary Property Type - Self Selected,Number of Buildings,Reported BINs
1000167506,280,RECTOR PLACE,MANHATTAN,10280,Yes,1654,77.3,152.4,,Manual,N/A,590.76,111398,Multifamily Housing,1,1065199
1000167507,300,RECTOR PLACE,MANHATTAN,10280,Yes,2972,56.6,111.5,,Manual,N/A,636.36,163863,Multifamily Housing,1,1065321
1000167508,200,RECTOR PLACE,MANHATTAN,10280,Yes,1645,91.6,169.2,,Manual,N/A,3695.74,517639,Multifamily Housing,1,1065475
1000167509,21,SOUTH END AVENUE,MANHATTAN,10280,Yes,1628,160,406,,Manual,N/A,3156.26,225262,Multifamily Housing,1,1075698
1000167510,99,BATTERY PLACE,MANHATTAN,10280,Yes,1641,66.9,117.5,,Manual,N/A,1415.25,296200,Multifamily Housing,1,1080815
1000167511,2,SOUTH END AVENUE,MANHATTAN,10280,Yes,1677,101.8,198.8,,Manual,N/A,1041.97,149637,Multifamily Housing,1,1082813
1000167512,102,NORTH END AVENUE,MANHATTAN,10282,Yes,3516,146.8,326.8,46.42,Manual,N/A,6098.14,569349,Hotel,1,1085867
1000167513,10,LITTLE WEST STREET,MANHATTAN,10280,Yes,12162,48.2,161,,Manual,60,2307.29,509831,Hotel,1,1085789
1000167514,30,LITTLE WEST STREET,MANHATTAN,10280,Yes,11876,109.6,279.8,,Manual,N/A,4019.89,456414,Multifamily Housing,1,1087238
1000167515,225,RECTOR PLACE,MANHATTAN,10280,Yes,10032,70.3,121.5,,Manual,N/A,1747.31,297200,Multifamily Housing,1,1000053
1000167517,70,BATTERY PLACE,MANHATTAN,10280,Yes,201,97.5,144.6,,Manual,N/A,2651.19,457771,Multifamily Housing,1,1087842
1000167518,333,RECTOR PLACE,MANHATTAN,10280,Yes,1663,67.3,116,,Manual,N/A,1198.53,212908,Multifamily Housing,0,1000055
1000167519,300,NORTH END AVENUE,MANHATTAN,10282,Yes,11875,67.1,147.4,,Manual,N/A,1373.23,279898,Multifamily Housing,0,1087848
1000167520,200,NORTH END AVENUE,MANHATTAN,10282,Yes,11877,59.7,138.1,,Manual,N/A,2035.22,446186,Multifamily Housing,1,1087847
1000169002,2,WEST STREET,MANHATTAN,10004,No Record as of 08/1/13,,,,,,,,,,1,
1000170029,90,WASHINGTON STREET,MANHATTAN,10006,Yes,10028,66.3,158.1,,Manual,N/A,1870.83,325672,Multifamily Housing,1,1000793
1000170045,25,WEST STREET,MANHATTAN,10006,No Record as of 08/1/13,,,,,,,,,,1,
1000180100,56,GREENWICH STREET,MANHATTAN,10006,No Record as of 08/1/13,,,,,,,,,,1,
1000187501,13,RECTOR STREET,MANHATTAN,10006,Yes,3221,54.6,107.5,,Manual,N/A,1396.56,365666,Multifamily Housing,1,1000794
1000187501,13,RECTOR STREET,MANHATTAN,10006,Yes,6822,87.1,208.6,,Manual,N/A,2458.84,366124,Multifamily Housing,1,1000794
1000190013,42,TRINITY PLACE,MANHATTAN,10006,Yes,10961,61.2,180.2,,Manual,51,328.1,62089,Retail,1,1000797
1000200001,29,BROADWAY,MANHATTAN,10006,Yes,385,73.1,179.4,,Manual,80,1930.45,300954,Office,1,1000802
1021420045,260,FT WASHINGTON AVENUE,MANHATTAN,10032,Yes,7860,61.8,102,15.82,ABS,N/A,257.27,54220,Office,1,1063480
1000200009,45,BROADWAY,MANHATTAN,10006,Yes,958,91.8,274.5,0.52,Manual,50,3079.01,368305,Office,1,1000804
1000200016,55,BROADWAY,MANHATTAN,10006,Yes,216,78.2,231.2,24.76,Manual,76,2577.67,363378,Office,1,1000807
1000210001,61,BROADWAY,MANHATTAN,10006,Yes,215,57.4,166.8,280.57,Manual,90,3398.64,650000,Office,1,1000808
1000210004,65,BROADWAY,MANHATTAN,10006,Yes,6018,46207.7,59872.9,,Manual,1,1210548.72,331684,Office,1,1000809
1000210006,69,BROADWAY,MANHATTAN,10006,Yes,5067,60.6,130.4,,Manual,N/A,1604.03,317135,Multifamily Housing,1,2769818
1000220013,26,BROADWAY,MANHATTAN,10004,Yes,3046,103.1,184.8,,Manual,65,5789.94,686571,Office,1,1000811
4092310091,    83-15,LEFFERTS BOULEVARD,QUEENS,11415,Yes,7124,71.3,106.7,15.85,ABS,N/A,438.03,103638,Multifamily Housing,1,4192795
3021110045,144,ST FELIX STREET,BROOKLYN,11217,Yes,11173,3.1,9.6,15.89,ABS,100,16.72,60000,House of Worship,1,3268613
1000220024,50,BROADWAY,MANHATTAN,10004,Yes,7260,55.6,155.1,5.17,Manual,79,1721.01,343345,Office,1,1000813
1000220028,52,BROADWAY,MANHATTAN,10004,Yes,7261,71.5,194.5,26.83,Manual,75,2452.49,384831,Office,1,1000814
1000230007,80,BROADWAY,MANHATTAN,10004,Yes,81,99.3,215,,Manual,78,9449.66,1112533,Bank/Financial Institution,2,BIN# 1000815
1000230019,2,BROAD STREET,MANHATTAN,10004,Yes,3295,268.3,675.4,52.61,Manual,Exempt,8710.59,370000,Bank/Financial Institution,1,1078982
1000230050,20,BROAD STREET,MANHATTAN,10004,Yes,112,104.9,267.1,12.67,Manual,84,4377.83,473042,Office,1,1000816
1000240001,60,BROAD STREET,MANHATTAN,10004,Yes,133,82.8,204.4,0,Manual,88,7731.98,1067151,Office,1,1000817
1000240029,30,BROAD STREET,MANHATTAN,10004,Yes,2714,57,173.4,0,Manual,80,2205.75,419795,Office,1,1000819
1000240036,50,BROAD STREET,MANHATTAN,10004,Yes,4827,107.1,319.8,,Manual,N/A,2224,225847,Office,1,1000820
1000247501,40,BROAD STREET,MANHATTAN,10004,Yes,10798,63.5,202.6,,Manual,N/A,1425.57,242953,Multifamily Housing,1,1078985
1000250001,55,BROAD STREET,MANHATTAN,10004,Yes,89,98.8,263,18.72,Manual,65,3612.05,410295,Office,1,1000821
1000250010,41,BROAD STREET,MANHATTAN,10004,No Record as of 08/1/13,,,,,,,,,,1,
1000250027,40,EXCHANGE PLACE,MANHATTAN,10005,Yes,5834,96.5,205.4,0,Manual,72,1665.79,237000,Office,1,1000825
1000257501,15,WILLIAM STREET,MANHATTAN,10004,Yes,5633,58.3,136.2,,Manual,N/A,2355.85,465097,Multifamily Housing,1,
1000260014,37,WALL STREET,MANHATTAN,10005,Yes,6449,191.8,296.2,,Manual,N/A,4559.21,383214,Multifamily Housing,1,Section Block:00026 Lot: 0014
4033560030,    83-30,KEW GARDENS ROAD,QUEENS,11415,Yes,12213,44.2,89.5,17.44,ABS,N/A,272.74,89621,Multifamily Housing,1,4080142
1000267501,15,BROAD STREET,MANHATTAN,10005,Yes,11893,30.1,96.5,,Manual,N/A,2279.89,810962,Multifamily Housing,1,1078988
1005160007,140,THOMPSON STREET,MANHATTAN,10012,Yes,7776,38,38.5,19.53,ABS,N/A,240.26,86018,Multifamily Housing,1,1008024
1005690001,43,   5 AVENUE,MANHATTAN,10003,Yes,4638,96.1,147,21.58,ABS,N/A,506.1,64220,Multifamily Housing,1,1009272
1000277501,55,WALL STREET,MANHATTAN,10005,Yes,2351,181.4,329.9,,Manual,N/A,3977.27,290987,Multifamily Housing,1,1000827
1000277502,20,EXCHANGE PLACE,MANHATTAN,10005,Yes,9498,27.7,83.6,0,Manual,N/A,2043.98,826289,Multifamily Housing,1,1000830
1000280001,3,HANOVER SQUARE,MANHATTAN,10004,Yes,5632,95.6,162.2,,Manual,N/A,1824.75,239121,Multifamily Housing,1,
1000280005,5,HANOVER SQUARE,MANHATTAN,10004,Yes,12103,91.5,200.8,,Manual,90,2946.57,375000,Office,1,1000832
1000280012,76,BEAVER STREET,MANHATTAN,10005,No Record as of 08/1/13,,,,,,,,,,1,
1000287501,82,BEAVER STREET,MANHATTAN,10005,Yes,3167,65.6,158,,Manual,N/A,522.84,105015,Multifamily Housing,1,1000835
1000290001,91,BROAD STREET,MANHATTAN,10004,Yes,1592,41.3,97.4,,Manual,N/A,4510.18,1265518,Bank/Financial Institution,1,1-00029-0001
4021480001,    63-61,YELLOWSTONE BLVD,QUEENS,11375,Yes,7908,84.3,99.8,22.2,ABS,N/A,1424.54,303147,Multifamily Housing,3,4432059
1000290070,75,BROAD STREET,MANHATTAN,10004,Yes,3096,219.1,683.3,,Manual,1,13571.39,671172,Office,1,1000849
1000290086,14,SOUTH WILLIAM STREET,MANHATTAN,10004,Yes,8752,273.6,556.4,,Manual,N/A,114.13,5900,Other,1,BIN# 1000851
1000297501,48,BEAVER STREET,MANHATTAN,10004,Yes,1932,57.5,153.3,65.47,Manual,N/A,314.61,66346,Multifamily Housing,1,1078997; 1078998; 1078999
1000300005,80,PEARL STREET,MANHATTAN,10004,No Record as of 08/1/13,,,,,,,,,,1,
3058870001,7119,SHORE ROAD,BROOKLYN,11209,Yes,7798,12.2,38.7,22.28,ABS,N/A,94.2,82200,Multifamily Housing,1,3146368
1000310001,10,HANOVER SQUARE,MANHATTAN,10005,Yes,6495,78.6,175.4,,Manual,N/A,3236.71,497765,Multifamily Housing,1,1000859
1000317501,75,WALL STREET,MANHATTAN,10005,Yes,2846,53.7,158.5,,Manual,N/A,2618.57,545969,Multifamily Housing,1,1085950
1000327501,43,WATER STREET,MANHATTAN,10004,Yes,377,161.3,394.1,29.58,Manual,34,51335,3636683,Office,1,1083346
1000330001,77,WATER STREET,MANHATTAN,10005,Yes,1489,74.1,164.4,,Manual,82,4229.26,662800,Office,1,1-00033-0001
1000330011,95,WALL STREET,MANHATTAN,10005,Yes,9377,70.6,168.3,,Manual,N/A,2814.63,460375,Multifamily Housing,1,1000864
1000330022,99,WALL STREET,MANHATTAN,10005,Yes,8408,77.6,192.3,,Manual,74,613.15,91353,Office,1,BIN# 1000865
1000350010,111,WALL STREET,MANHATTAN,10005,Yes,13,77.4,216.7,21.92,Manual,68,5681.66,819529,Office,1,1000868
1000360012,,PIER 9,MANHATTAN,0,No Record as of 08/1/13,,,,,,,,,,1,
1000360018,   PIER11,SOUTH STREET,MANHATTAN,0,No Record as of 08/1/13,,,,,,,,,,1,
1000360025,   PIER13,SOUTH STREET,MANHATTAN,0,No Record as of 08/1/13,,,,,,,,,,2,
1000360030,   PIER14,SOUTH STREET,MANHATTAN,0,No Record as of 08/1/13,,,,,,,,,,1,
1000370008,110,WALL STREET,MANHATTAN,10005,Yes,82,95.8,205.4,12.21,Manual,75,2390.48,292627,Office,1,1000872
1000370023,180,MAIDEN LANE,MANHATTAN,10005,Yes,9384,86.6,245.3,,Manual,60,8363.56,1071551,Office,1,1000874
1000377501,120,WALL STREET,MANHATTAN,10005,No Record as of 08/1/13,,,,,,,,,,1,
1000380001,100,WALL STREET,MANHATTAN,10005,Yes,8531,61.6,173.2,,Manual,N/A,2369.59,426531,Office,1,1-00038-0001
1000380017,88,PINE STREET,MANHATTAN,10005,Yes,4731,122.2,247.2,,Manual,65,6863.98,664900,Office,1,1000876
1000390001,82,WALL STREET,MANHATTAN,10005,No Record as of 08/1/13,,,,,,,,,,1,
1000390004,80,WALL STREET,MANHATTAN,10005,No Record as of 08/1/13,,,,,,,,,,1,
1022410014,77,COOPER STREET,MANHATTAN,10034,Yes,1591,119.6,164.4,22.42,ABS,N/A,510.38,52928,Multifamily Housing,1,1064982
1000397501,130,WATER STREET,MANHATTAN,10005,Yes,4422,71.1,109.3,5.39,Manual,N/A,574.58,97677,Multifamily Housing,1,1000884
1000400003,60,WALL STREET,MANHATTAN,10005,Yes,29,14872,18196.8,21.8,Manual,N/A,1910864.76,1625483,Office,1,1001004
1000400014,48,WALL STREET,MANHATTAN,10005,Yes,11528,60.2,181.2,,Manual,84,1735.13,313918,Office,1,1001005
1000400016,52,WILLIAM STREET,MANHATTAN,10005,Yes,2732,33008.2,45186.5,,Manual,1,260689.52,100000,Hotel,1,"BIN # 1001006
Borough 1
Block 40
Lot 16
Borough/Block/Lot 1-00040-0016"
1000407501,72,WALL STREET,MANHATTAN,10005,No Record as of 08/1/13,,,,,,,,,,0,
1000410001,66,PINE STREET,MANHATTAN,10005,Yes,9501,24.1,54.1,0,Manual,100,1873.63,918919,Office,1,1001007
1004310025,51,AVENUE A,MANHATTAN,10009,Yes,7777,94.4,130,23,ABS,N/A,878.7,121406,Multifamily Housing,1,1005761
1000420001,100,MAIDEN LANE,MANHATTAN,10038,Yes,9703,9.6,30.9,37.9,Manual,N/A,252.77,279600,Multifamily Housing,1,1001014
1000420022,10,LIBERTY STREET,MANHATTAN,10005,Yes,2495,103.8,188,,Manual,N/A,2326.21,337000,Multifamily Housing,1,1086256
1000420031,80,MAIDEN LANE,MANHATTAN,10038,Yes,3331,11186.5,15631.8,,Manual,1,466249.38,527605,Office,1,1001015
1000430001,44,WALL STREET,MANHATTAN,10005,Yes,990,70.6,184.9,3.45,Manual,77,2143.4,341291,Office,1,1001017
1000430002,40,WALL STREET,MANHATTAN,10005,Yes,852,58.7,148.9,0,Manual,93,5994.15,1155995,Office,1,1001018
1000430005,30,WALL STREET,MANHATTAN,10005,Yes,3086,75.2,217.7,,Manual,N/A,949.54,138880,Office,1,1001019
1000447501,18,PINE STREET,MANHATTAN,10005,Yes,2844,33.9,111,,Manual,N/A,1919.08,616399,Multifamily Housing,1,1001022
1008420021,1,UNION SQUARE WEST,MANHATTAN,10003,Yes,7742,113.6,275.2,23.82,ABS,N/A,460.65,51284,Multifamily Housing,1,1016063
1000460003,100,BROADWAY,MANHATTAN,10005,Yes,10934,45.5,157.8,,Manual,89,1689.03,395000,Office,1,
1000477501,120,BROADWAY,MANHATTAN,10005,Yes,99,68.4,191.4,,Manual,88,11571.38,1885544,Office,1,1001026
1000480001,140,BROADWAY,MANHATTAN,10005,Yes,11,137.4,300.4,18.45,Manual,68,13770.07,1170129,Office,1,1001027
1000490002,111,BROADWAY,MANHATTAN,10006,Yes,2774,43.7,148.1,,Manual,88,1949.6,475387,Office,1,1001029
1000500001,115,BROADWAY,MANHATTAN,10006,Yes,2787,37,123.4,,Manual,94,1456.66,419806,Office,1,1001030
1000510001,2,RECTOR STREET,MANHATTAN,10006,Yes,2191,55.9,145.3,,Manual,92,2440.67,491400,Office,1,1001031
1000510007,68,TRINITY PLACE,MANHATTAN,10006,Yes,1224,92.7,198.2,71.81,Manual,N/A,424.74,54273,Other,1,
1015820030,130,EAST END AVENUE,MANHATTAN,10028,Yes,11614,55.8,81,23.86,ABS,N/A,440.96,100310,Multifamily Housing,1,1051246
1000510017,74,TRINITY PLACE,MANHATTAN,10006,Yes,1225,82.1,169.8,,Manual,74,1428.51,205662,Office,1,
1010290037,202,WEST   58 STREET,MANHATTAN,10019,Yes,9076,69,153.2,25.43,ABS,61,390.37,76883,K-12 School,1,1024905
1008740069,112,EAST   19 STREET,MANHATTAN,10003,Yes,7775,74.8,121.6,25.45,ABS,N/A,324.98,55049,Multifamily Housing,1,1017903
1000530033,110,GREENWICH STREET,MANHATTAN,10006,Yes,8672,,,,Manual,N/A,,61300,Multifamily Housing,1,
3052680002,166,SEELEY STREET,BROOKLYN,11218,Yes,7786,72.3,130.6,26.31,ABS,N/A,308.71,65640,Multifamily Housing,1,3122175
1000537502,123,WASHINGTON STREET,MANHATTAN,10006,Yes,1992,100.6,235.9,42.13,Manual,N/A,2749.07,315543,Multifamily Housing,0,1088442
1000550014,71,WEST STREET,MANHATTAN,10006,Yes,6571,60,118.6,,Manual,N/A,1030.9,250471,Multifamily Housing,1,Section Block and Lot - 00055-00014
1000550016,80,WEST STREET,MANHATTAN,10006,No Record as of 08/1/13,,,,,,,,,,1,
1000557501,40,RECTOR STREET,MANHATTAN,10006,Yes,11571,39.6,123.9,0,Manual,95,1797.22,502238,Office,0,1088750
1000560001,140,WASHINGTON STREET,MANHATTAN,10006,Yes,3369,118.8,252,,Manual,35,1839.97,183235,Hotel,1,
1000560004,90,WEST STREET,MANHATTAN,10006,Yes,10657,,,70.02,Manual,N/A,,322010,Multifamily Housing,1,1001064
1000627501,1,LIBERTY PLAZA,MANHATTAN,10006,Yes,39,112.5,302.4,16.81,Manual,80,23545.42,2346193,Office,1,1001068
1000630003,22,CORTLANDT STREET,MANHATTAN,10007,Yes,9107,160.1,358.1,0,Manual,21,9251.16,666930,Office,1,1001069
1000630012,5,DEY STREET,MANHATTAN,10007,No Record as of 08/1/13,,,,,,,,,,1,
1000640008,53,LIBERTY STREET,MANHATTAN,10005,Yes,4636,32.2,88.5,,Manual,N/A,458.45,167428,Multifamily Housing,1,1001084
1000640012,150,BROADWAY,MANHATTAN,10038,Yes,3099,51.4,145.2,,Manual,88,1285.46,276000,Office,1,1001087
3087207512,105,OCEANA DRIVE EAST,BROOKLYN,11235,Yes,6792,72.8,116.4,26.39,ABS,N/A,693.18,157178,Multifamily Housing,2,3350420;3848216
1000640016,170,BROADWAY,MANHATTAN,10038,No Record as of 08/1/13,,,,,,,,,,1,
1013710038,25,SUTTON PLACE SOUTH,MANHATTAN,10022,Yes,2651,62.8,106.8,27.48,ABS,N/A,2814.01,538724,Multifamily Housing,1,1040722
1000650010,9,MAIDEN LANE,MANHATTAN,10038,Yes,5404,176,237,0,Manual,N/A,653.68,63146,Multifamily Housing,1,1001098
1004737502,30,CROSBY STREET,MANHATTAN,10013,Yes,12151,91.5,204.1,27.51,ABS,N/A,375.7,55693,Multifamily Housing,1,1079134
1000660001,19,LIBERTY STREET,MANHATTAN,10005,Yes,217,119.5,293.6,23.36,Manual,59,8985.89,870210,Office,1,1001108
1000670001,66,JOHN STREET,MANHATTAN,10038,Yes,2739,53427.9,65102.2,,Manual,1,5062189.41,1200000,Office,2,1079043
1000680007,83,MAIDEN LANE,MANHATTAN,10038,Yes,6056,113.3,266.5,,Manual,48,1531.77,155714,Office,1,1001111
1000680011,75,MAIDEN LANE,MANHATTAN,10038,Yes,6007,12346.4,17279,,Manual,1,151235.19,155026,Office,1,1001112
1019457504,301,WEST  118 STREET,MANHATTAN,10026,Yes,9849,82.8,187.2,27.7,ABS,N/A,1222.95,198000,Multifamily Housing,1,1087277;1800511;1800510;1800507;1807122;1059110;1807135
1000680028,15,GOLD STREET,MANHATTAN,10038,Yes,11779,84.2,229.4,,Manual,49,494.83,71539,Hotel,1,1085948
1000680036,100,WILLIAM STREET,MANHATTAN,10038,Yes,1469,203,543.7,,Manual,19,6952.24,383042,Office,1,1001116
1000687501,80,JOHN STREET,MANHATTAN,10038,Yes,12900,50.8,136.6,,Manual,N/A,600.41,143531,Multifamily Housing,1,1001115
1000687502,90,WILLIAM STREET,MANHATTAN,10038,Yes,10180,47.4,148.3,,Manual,N/A,525.34,121472,Multifamily Housing,1,1087755;1001114
1000690006,211,PEARL STREET,MANHATTAN,10038,Yes,3330,54.3,138,,Manual,N/A,1078.04,240421,Multifamily Housing,1,1087832
1022500084,244,SEAMAN AVENUE,MANHATTAN,10034,Yes,12263,15.7,46.1,28.73,ABS,N/A,106.1,78100,Multifamily Housing,1,1065087
1000690032,116,JOHN STREET,MANHATTAN,10038,Yes,9499,16.8,33.1,0,Manual,100,451.44,342310,Office,1,1001126
1000697502,90,JOHN STREET,MANHATTAN,10038,Yes,7292,55.4,124.6,,Manual,N/A,1972.16,410482,Multifamily Housing,1,1001127
1000697502,90,JOHN STREET,MANHATTAN,10038,Yes,9893,66.2,108.6,,Manual,N/A,1534.54,377672,Multifamily Housing,1,1001127
1000707501,125,MAIDEN LANE,MANHATTAN,10038,No Record as of 08/1/13,,,,,,,,,,1,
1000710001,156,FRONT STREET,MANHATTAN,10038,Yes,1679,78,136,,Manual,N/A,371.67,59340,Multifamily Housing,1,1001136
1000717501,175,WATER STREET,MANHATTAN,10038,Yes,77,112,274.9,19.75,Manual,54,4932.86,510858,Office,1,"1001137
1804058"
1000720013,163,FRONT STREET,MANHATTAN,10038,Yes,5522,73.9,80.2,0.47,Manual,N/A,320.75,58500,Warehouse (Unrefrigerated),1,1001139
1000720027,85,SOUTH STREET,MANHATTAN,10038,Yes,5983,31.9,85.9,,Manual,N/A,126.81,52005,Multifamily Housing,1,1079058; 1001142
1000730002,  PIER-15,SOUTH STREET,MANHATTAN,10038,No Record as of 08/1/13,,,,,,,,,,1,
1000747501,199,WATER STREET,MANHATTAN,10038,Yes,177,70.5,218.6,,Manual,76,6331.75,988890,Office,1,1001162
1000750001,127,JOHN STREET,MANHATTAN,10038,Yes,521,72.9,169.8,,Manual,N/A,3059.61,541000,Multifamily Housing,1,BIN# 1001163
1000750021,40,FULTON STREET,MANHATTAN,10038,Yes,266,80.7,219.2,19.39,Manual,56,1791.47,249885,Office,1,1075618
1000750030,111,JOHN STREET,MANHATTAN,10038,Yes,644,63.5,171.5,,Manual,89,1698.3,298776,Office,1,BIN# 1001167
1000760024,40,GOLD STREET,MANHATTAN,10038,Yes,9651,48.8,107.6,0,Manual,N/A,230.82,65495,Multifamily Housing,1,1088484;1088485;1088486
1000767501,15,CLIFF STREET,MANHATTAN,10038,Yes,10617,113.1,172.5,,Manual,N/A,807.73,116761,Multifamily Housing,1,1085931
1000767502,99,JOHN STREET,MANHATTAN,10038,Yes,3764,83.9,171.4,33.9,Manual,N/A,2855.63,482012,Multifamily Housing,1,1087867
1000770001,87,JOHN STREET,MANHATTAN,10038,Yes,10440,,,55.1,Manual,N/A,,160092,Multifamily Housing,1,1001185
