Record Number,"NYC Borough, Block, and Lot (BBL)",Co-reported BBL Status,BBLs Co-reported,Reported NYC Building Identificaiton Numbers (BINs),Street Number,Street Name,Borough,Zip Code,DOF Benchmarking Submission Status,Site EUI(kBtu/ft2),Weather Normalized Site EUI(kBtu/ft2),Source EUI(kBtu/ft2),Weather Normalized Source EUI(kBtu/ft2),Municipally Supplied Potable Water - Indoor Intensity (gal/ft²),Automatic Water Benchmarking Eligible,Reported Water Method,ENERGY STAR Score,Total GHG Emissions(MtCO2e),Direct GHG Emissions(MtCO2e),Indirect GHG Emissions(MtCO2e),Reported Property Floor Area (Building(s)) (ft²),DOF Property Floor Area (Buildngs and Parking)(ft2),Primary Property Type - Self Selected,DOF Number of Buildings
5337,2022910030,Secondary,2022720119;2022910001;2022910030,2000508;2091069;2093910;2109608;2116543,460,EAST  147 STREET,Bronx,10455,Filed,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,65265,,1
6991,2043630001,Secondary,2043490001;2043630001;2044440001,2000000;2093356;2093357;2093361;2093362;2093363;2093364;2093365;2093366;2093367;2093377;2093378;2093379;2093380;2093381;2093382;2093404;2093408;2093410;2093412;2093415;2093417;2093418;2114842,2300,PAULDING AVENUE,Bronx,10469,Filed,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,187974,,6
7014,2044440001,Secondary,2043490001;2043630001;2044440001,2000000;2093356;2093357;2093361;2093362;2093363;2093364;2093365;2093366;2093367;2093377;2093378;2093379;2093380;2093381;2093382;2093404;2093408;2093410;2093412;2093415;2093417;2093418;2114842,901,WARING AVENUE,Bronx,10469,Filed,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,497983,,9
5319,2022720005,Primary,2022720005;2022720038;2022870135;2022910023;2022910050,2000103;2000433;2000513;2090711;2091071;2091087;2093912;2093913,510,EAST  146 STREET,Bronx,10455,Filed,,Not Available,,Not Available,Not Available,No,None,Not Available,,,,335010,141916,Multifamily Housing,4
5382,2023710017,,2-02371-0017,2001292,1138,WASHINGTON AVENUE,Bronx,10456,Filed,22.3,Not Available,67.3,Not Available,47.81,Yes,ABS,Not Available,,,100.6,58812,50411,Multifamily Housing,1
5332,2022870135,Secondary,2022720005;2022720038;2022870135;2022910023;2022910050,2000103;2000433;2000513;2090711;2091071;2091087;2093912;2093913,480,EAST  143 STREET,Bronx,10454,Filed,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,81576,,1
5324,2022720038,Secondary,2022720005;2022720038;2022870135;2022910023;2022910050,2000103;2000433;2000513;2090711;2091071;2091087;2093912;2093913,530,EAST  146 STREET,Bronx,10455,Filed,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,142475,,4
15375,2022910023,Secondary,2022720005;2022720038;2022870135;2022910023;2022910050,2000103;2000433;2000513;2090711;2091071;2091087;2093912;2093913,,,Bronx,,Not on Covered Buildings List,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,,,
5357,2023280025,,2-02328-0025,2000859,391,EAST  149 STREET,Bronx,10455,Filed,53.1,51.4,87.8,86.2,Not Available,No,None,88,306.5,207.7,98.8,75592,75952,Office,1
5358,2023310043,,2023310043,2000933,349,EAST  149 STREET,Bronx,10451,Filed,99.4,Not Available,208.5,Not Available,Not Available,No,Manual,66,575,269.8,305.2,73886,72000,Office,1
5355,2023270054,,2-02327-0054,2000851,384,EAST  149 STREET,Bronx,10455,Filed,58.5,57.3,118.5,116.9,22.26,Yes,ABS,Not Available,315.60000000000002,134.80000000000001,180.8,81410,69780,Office,1
5360,2023400145,,2023400145,2000988,2680,PARK AVENUE,Bronx,10451,Filed,51.8,51.8,104,104,Not Available,No,None,Not Available,385.3,167.5,217.8,112700,112700,Multifamily Housing,2
15377,2022910050,Secondary,2022720005;2022720038;2022870135;2022910023;2022910050,2000103;2000433;2000513;2090711;2091071;2091087;2093912;2093913,,,Bronx,,Not on Covered Buildings List,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,,,
5322,2022720022,,2022720022,2000104;2814781;2804967;2805020,443,ST ANNS AVENUE,Bronx,10455,Filed,138.4,138.3,195.6,195.1,Not Available,No,None,Not Available,956.6,760.9,195.7,92168,111168,Multifamily Housing,1
5326,2022770010,,2-02277-0010,2000137,120,BRUCKNER BOULEVARD,Bronx,10454,Filed,16.7,16.7,22.1,22.1,Not Available,No,Manual,Not Available,132.5,111.8,20.7,104000,104334,Non-Refrigerated Warehouse,1
5327,2022770082,,2-02277-0082,2000138,112,BRUCKNER BOULEVARD,Bronx,10454,Filed,9.6,9.4,20.2,20,Not Available,No,Manual,Not Available,58.4,22.7,35.700000000000003,90422,87000,Other,1
15371,2022860036,,2-02286-0036,2000391,,,Bronx,,Not on Covered Buildings List,59.4,59.3,109.5,109.4,Not Available,N/A,None,Not Available,571.5,295.10000000000002,276.39999999999998,150709,,Multifamily Housing,
5336,2022910012,,2022910012,2000506,412,EAST  147 STREET,Bronx,10455,Filed,102.6,Not Available,243.1,Not Available,Not Available,No,None,45,681.6,208.9,472.7,89311,101555,Office,1
15363,2022720119,Primary,2022720119;2022910001;2022910030,2000508;2091069;2093910;2109608;2116543,,,Bronx,,Not on Covered Buildings List,,Not Available,,Not Available,Not Available,N/A,None,Not Available,,574.29999999999995,,168010,,Multifamily Housing,
15373,2022910001,Secondary,2022720119;2022910001;2022910030,2000508;2091069;2093910;2109608;2116543,,,Bronx,,Not on Covered Buildings List,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,,,
5342,2023030021,Primary,2023030021;2023040001;2023060009,2000644;2091098;2091099;2091100;2091101;2091102;2091103;2118428;2118429,388,EAST  141 STREET,Bronx,10454,Filed,157.19999999999999,Not Available,222.5,Not Available,Not Available,No,None,Not Available,9277.5,7000.1,2277.4,1017350,165050,Multifamily Housing,1
5383,2023710017,,2-02371-0017,2001292,1138,WASHINGTON AVENUE,Bronx,10456,Filed,79.7,Not Available,125.1,Not Available,Not Available,Yes,ABS,Not Available,242.6,161,81.599999999999994,50637,50411,Multifamily Housing,1
5343,2023040001,Secondary,2023030021;2023040001;2023060009,2000644;2091098;2091099;2091100;2091101;2091102;2091103;2118428;2118429,340,ALEXANDER AVENUE,Bronx,10454,Filed,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,550000,,3
5344,2023060009,Secondary,2023030021;2023040001;2023060009,2000644;2091098;2091099;2091100;2091101;2091102;2091103;2118428;2118429,355,EAST  143 STREET,Bronx,10454,Filed,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,234600,,3
5345,2023080001,,2-02308-0001,2000682,14,BRUCKNER BOULEVARD,Bronx,10454,Filed,67.8,67.6,143.80000000000001,143.6,Not Available,No,None,82,257.60000000000002,98.8,158.80000000000001,56212,60000,Office,1
5346,2023080015,,2-02308-0015,2000683,26,BRUCKNER BOULEVARD,Bronx,10454,Filed,99,Not Available,147.80000000000001,Not Available,12.96,Yes,ABS,80,625.9,473.4,152.5,83400,82946,Office,1
5349,2023140001,,2023140001,2000689,271,EAST  138 STREET,Bronx,10454,Filed,101.3,100.9,144.5,144,Not Available,Yes,None,Not Available,812,607.5,204.5,137800,137800,Multifamily Housing,1
5350,2023160001,,2023160001,2000759,101,LINCOLN AVENUE,Bronx,10454,Filed,82.4,81.7,124.3,123.5,1.85,Yes,None,80,256.5,179.3,77.2,52500,83064,Office,1
15382,2023190037,,2023190037,2000782;2113274,,,Bronx,,Not on Covered Buildings List,80.599999999999994,Not Available,111.8,Not Available,Not Available,N/A,None,Not Available,329.9,254.9,75,70981,,Non-Refrigerated Warehouse,
15383,2023190037,,2-02319-0037,2000782;2113274,,,Bronx,,Not on Covered Buildings List,80.599999999999994,Not Available,111.8,Not Available,Not Available,N/A,None,Not Available,329.9,254.9,75,70981,,Non-Refrigerated Warehouse,
5359,2023380003,,2023380003,2000968,2862,PARK AVENUE,Bronx,10451,Filed,90.2,89.9,213.9,213,Not Available,No,None,Not Available,3678.3,1009.7,2668.6,574751,547382,Multifamily Housing,1
5362,2023480053,,2-02348-0053,2001077,175,EAST  151 STREET,Bronx,10451,Filed,106.7,106,151.1,150,43.1,Yes,ABS,Not Available,921.6,732,189.6,67000,115500,Multifamily Housing,1
5365,2023500034,,2-02350-0034,2001090,500,GERARD AVENUE,Bronx,10451,Filed,0,Not Available,0,Not Available,Not Available,No,None,Not Available,0,0,0,72250,72100,Office,1
15386,2023520015,,2-02352-0015,2001101,,,Bronx,,Not on Covered Buildings List,57.1,55.9,73.5,72.2,Not Available,N/A,None,12,160.69999999999999,134.4,26.3,50000,,Non-Refrigerated Warehouse,
5366,2023540001,,2023540001,2001143,580,RIVER AVENUE,Bronx,10451,Filed,38.799999999999997,38.6,71.7,71.5,Not Available,No,None,74,307.5,163.9,143.6,118000,118000,Non-Refrigerated Warehouse,1
5367,2023540001,,2-02354-0001,2001143,580,RIVER AVENUE,Bronx,10451,Filed,32,31.9,63.9,63.9,Not Available,No,None,Not Available,249,109.8,139.19999999999999,118000,118000,Self-Storage Facility,1
3897,1015110053,,1015110053,Not Available,140,EAST   83 STREET,Manhattan,10028,Filed,,Not Available,,Not Available,Not Available,No,None,Not Available,,,,91090,91090,Other,1
5368,2023540074,,2023540074,2001145,110,EAST  153 STREET,Bronx,10451,Filed,25.4,25.3,45.3,45.1,Not Available,No,None,Not Available,85.7,47,38.700000000000003,53500,52000,Non-Refrigerated Warehouse,1
5369,2023590210,,2023590210,2001152,510,EAST  156 STREET,Bronx,10455,Filed,,Not Available,,Not Available,Not Available,Yes,None,Not Available,,,609.9,240850,233109,Multifamily Housing,1
5373,2023630024,Primary,2-02363-0024;2-02363-0016,2001182;2815344;2117395;2801113,3006,3 AVENUE,Bronx,10455,Filed,98.7,98.4,250.9,250.6,Not Available,No,Manual,Not Available,1265.8,262.7,1003.1,175034,151229,Strip Mall,1
5372,2023630016,Secondary,2-02363-0024;2-02363-0016,2001182;2815344;2117395;2801113,2984,3 AVENUE,Bronx,10455,Filed,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,137150,,1
5374,2023640045,,2-02364-0045,2001190,495,EAST  158 STREET,Bronx,10451,Filed,89.4,89.1,169.3,169.1,54.55,Yes,ABS,Not Available,637.9,313,324.89999999999998,110651,119770,Multifamily Housing,1
5384,2023720001,,2023720001,2001312,1162,WASHINGTON AVENUE,Bronx,10456,Filed,178.1,177,248.8,247.3,Not Available,Yes,None,Not Available,689.3,527.9,161.4,67000,70817,Multifamily Housing,1
5387,2023740001,,2023740001,2001336; 2815332,2883,3 AVENUE,Bronx,10455,Filed,,Not Available,,Not Available,Not Available,No,None,Not Available,,171.2,,52971,52971,Retail Store,1
5388,2023740090,,2-02374-0090,2001360,2939,3 AVENUE,Bronx,10455,Filed,52.7,51.7,100.7,99.6,3.74,Yes,None,85,191.4,92.3,99.1,56150,56050,Office,1
5394,2023790051,,2-02379-0051,2001451,3097,3 AVENUE,Bronx,10451,Filed,77.5,77.5,118.8,118.8,Not Available,No,Manual,Not Available,401.2,274.7,126.5,86857,76000,Multifamily Housing,1
5404,2023910052,,2-02391-0052,2001621,979,BROOK AVENUE,Bronx,10451,Filed,20.100000000000001,20,37.6,37.5,Not Available,Yes,None,Not Available,144.30000000000001,72.2,72.099999999999994,111937,90800,Self-Storage Facility,1
5407,2023980022,,2-02398-0022,2001665;2805338;2805339;2100714,398,EAST  152 STREET,Bronx,10455,Filed,116.6,116.1,172.6,172.1,146.92,Yes,None,Not Available,528,378.1,149.9,76876,76876,Multifamily Housing,1
5415,2024200120,,2024200120,2001913,280,EAST  161 STREET,Bronx,10451,Filed,73.3,73.1,116.6,116.3,Not Available,Yes,None,Not Available,1061,691.3,369.7,239702,239712,Multifamily Housing,1
5417,2024210036,,2-02421-0036,2001939,3203,PARK AVENUE,Bronx,10451,Filed,125.8,125.9,179.5,179.5,Not Available,No,None,Not Available,689.4,517.9,171.5,92625,86725,Multifamily Housing,1
5420,2024240086,,2-02424-0086,2002046,351,EAST  163 STREET,Bronx,10451,Filed,122.5,Not Available,146.30000000000001,Not Available,Not Available,No,None,Not Available,561.5,509.5,52,60840,60840,Multifamily Housing,1
6043,2029290008,,2-02929-0008,2113141,3872,3 AVENUE,Bronx,10457,Filed,,Not Available,,Not Available,Not Available,No,None,Not Available,,,239.4,70000,67625,K-12 School,1
15401,2024270003,Primary,2024270003;2024270007;2024270010;2024270012;2024280003;2024280012;2024340053;2024340057;2024340088,2002090;2002093;2002095;2002096;2002117;2002121;2002270;2002272;2002287,,,Bronx,,Not on Covered Buildings List,,Not Available,,Not Available,Not Available,N/A,None,Not Available,,,348,154150,,Multifamily Housing,
5431,2024340057,Secondary,2024270003;2024270007;2024270010;2024270012;2024280003;2024280012;2024340053;2024340057;2024340088,2002090;2002093;2002095;2002096;2002117;2002121;2002270;2002272;2002287,1122,FINDLAY AVENUE,Bronx,10456,Filed,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,52000,,1
15404,2024270007,Secondary,2024270003;2024270007;2024270010;2024270012;2024280003;2024280012;2024340053;2024340057;2024340088,2002090;2002093;2002095;2002096;2002117;2002121;2002270;2002272;2002287,,,Bronx,,Not on Covered Buildings List,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,,,
5434,2024350045,,2024350045,2002298,1201,FINDLAY AVENUE,Bronx,10456,Filed,81.8,81.3,133.9,133.4,Not Available,No,Manual,Not Available,747.7,471.3,276.39999999999998,147445,147445,Multifamily Housing,1
5465,2024540019,,2-02454-0019,2002706,930,SHERIDAN AVENUE,Bronx,10451,Filed,29.4,29.4,80.8,80.8,69.03,Yes,ABS,Not Available,150.1,19.7,130.4,67144,69144,Multifamily Housing,1
15406,2024270010,Secondary,2024270003;2024270007;2024270010;2024270012;2024280003;2024280012;2024340053;2024340057;2024340088,2002090;2002093;2002095;2002096;2002117;2002121;2002270;2002272;2002287,,,Bronx,,Not on Covered Buildings List,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,,,
15407,2024270012,Secondary,2024270003;2024270007;2024270010;2024270012;2024280003;2024280012;2024340053;2024340057;2024340088,2002090;2002093;2002095;2002096;2002117;2002121;2002270;2002272;2002287,,,Bronx,,Not on Covered Buildings List,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,,,
5472,2024560065,,2-02456-0065,2002740,1112,CARROLL PLACE,Bronx,10456,Filed,111.4,Not Available,143.9,Not Available,156.8,Yes,ABS,Not Available,591.5,507.5,84,70220,70220,Multifamily Housing,1
15409,2024280003,Secondary,2024270003;2024270007;2024270010;2024270012;2024280003;2024280012;2024340053;2024340057;2024340088,2002090;2002093;2002095;2002096;2002117;2002121;2002270;2002272;2002287,,,Bronx,,Not on Covered Buildings List,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,,,
15412,2024280012,Secondary,2024270003;2024270007;2024270010;2024270012;2024280003;2024280012;2024340053;2024340057;2024340088,2002090;2002093;2002095;2002096;2002117;2002121;2002270;2002272;2002287,,,Bronx,,Not on Covered Buildings List,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,,,
15417,2024340053,Secondary,2024270003;2024270007;2024270010;2024270012;2024280003;2024280012;2024340053;2024340057;2024340088,2002090;2002093;2002095;2002096;2002117;2002121;2002270;2002272;2002287,,,Bronx,,Not on Covered Buildings List,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,,,
15420,2024340088,Secondary,2024270003;2024270007;2024270010;2024270012;2024280003;2024280012;2024340053;2024340057;2024340088,2002090;2002093;2002095;2002096;2002117;2002121;2002270;2002272;2002287,,,Bronx,,Not on Covered Buildings List,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,,,
15402,2024270004,Primary,2024270004;2024270006;2024270009;2024270022;2024290028;2024300030,2002091;2002092;2002094;2002103;2002146;2002153,,,Bronx,,Not on Covered Buildings List,,Not Available,,Not Available,Not Available,N/A,None,Not Available,,690.4,,115750,,Multifamily Housing,
5421,2024290001,,2024290001,2002141,1100,TELLER AVENUE,Bronx,10456,Filed,121.7,121.7,188.5,188.6,Not Available,No,None,Not Available,542.4,366.2,176.2,74500,85090,Multifamily Housing,1
5422,2024290028,Secondary,2024270004;2024270006;2024270009;2024270022;2024290028;2024300030,2002091;2002092;2002094;2002103;2002146;2002153,1115,CLAY AVENUE,Bronx,10456,Filed,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,58057,,1
5460,2024530041,,2024530041,2002691,1240,SHERMAN AVENUE,Bronx,10456,Filed,88.1,87.9,123.9,123.6,13.1,Yes,ABS,Not Available,324.10000000000002,246.7,77.400000000000006,63535,63535,Multifamily Housing,1
15403,2024270006,Secondary,2024270004;2024270006;2024270009;2024270022;2024290028;2024300030,2002091;2002092;2002094;2002103;2002146;2002153,,,Bronx,,Not on Covered Buildings List,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,,,
15405,2024270009,Secondary,2024270004;2024270006;2024270009;2024270022;2024290028;2024300030,2002091;2002092;2002094;2002103;2002146;2002153,,,Bronx,,Not on Covered Buildings List,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,,,
5432,2024350007,,2-02435-0007,2002289;2803173,1200,COLLEGE AVENUE,Bronx,10456,Filed,90.7,90.5,116.4,116,60.1,Yes,ABS,Not Available,585.20000000000005,503.8,81.400000000000006,85904,82600,Multifamily Housing,1
5466,2024550006,,2024550006,2002709,960,SHERIDAN AVENUE,Bronx,10456,Filed,105.5,104.2,145.9,144.3,77.23,Yes,ABS,Not Available,526.6,427.6,99,66162,66162,Multifamily Housing,1
15408,2024270022,Secondary,2024270004;2024270006;2024270009;2024270022;2024290028;2024300030,2002091;2002092;2002094;2002103;2002146;2002153,,,Bronx,,Not on Covered Buildings List,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,,,
15414,2024300030,Secondary,2024270004;2024270006;2024270009;2024270022;2024290028;2024300030,2002091;2002092;2002094;2002103;2002146;2002153,,,Bronx,,Not on Covered Buildings List,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,,,
15410,2024280004,Primary,2024280004;2024280009;2024280015;2024340074;2024340080,2002118;2002120;2002122;2002280;2002283,,,Bronx,,Not on Covered Buildings List,141.4,Not Available,206.6,Not Available,Not Available,N/A,None,Not Available,923.6,671.6,252,111400,,Multifamily Housing,
15411,2024280009,Secondary,2024280004;2024280009;2024280015;2024340074;2024340080,2002118;2002120;2002122;2002280;2002283,,,Bronx,,Not on Covered Buildings List,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,,,
15413,2024280015,Secondary,2024280004;2024280009;2024280015;2024340074;2024340080,2002118;2002120;2002122;2002280;2002283,,,Bronx,,Not on Covered Buildings List,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,,,
15418,2024340074,Secondary,2024280004;2024280009;2024280015;2024340074;2024340080,2002118;2002120;2002122;2002280;2002283,,,Bronx,,Not on Covered Buildings List,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,,,
15419,2024340080,Secondary,2024280004;2024280009;2024280015;2024340074;2024340080,2002118;2002120;2002122;2002280;2002283,,,Bronx,,Not on Covered Buildings List,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,,,
5425,2024310001,,2024310001,2002161,1230,TELLER AVENUE,Bronx,10456,Filed,102,101.5,141.9,141.5,107.42,Yes,None,Not Available,433.8,333.9,99.9,73724,73724,Multifamily Housing,1
5426,2024310026,,2-02431-0026,"2002176,2109662",1229,CLAY AVENUE,Bronx,10456,Filed,92.8,Not Available,101.8,Not Available,Not Available,No,None,Not Available,953.1,911.2,41.9,136465,136465,Multifamily Housing,1
5428,2024330001,,2024330001,2002209,1020,COLLEGE AVENUE,Bronx,10456,Filed,146.5,Not Available,201.4,Not Available,142.49,Yes,ABS,Not Available,569.20000000000005,444.1,125.1,67600,63900,Multifamily Housing,1
5429,2024330028,,2-02433-0028,2002219,1041,FINDLAY AVENUE,Bronx,10456,Filed,85.5,85.1,113,112.6,Not Available,No,None,Not Available,572.6,465.9,106.7,118041,101178,Multifamily Housing,1
5430,2024340018,Primary,2024340018;2024340026;2024340034,2002259;2002260;2002262,1150,COLLEGE AVENUE,Bronx,10456,Filed,138.9,Not Available,208.4,Not Available,Not Available,No,None,Not Available,1160.4000000000001,816.7,343.7,141200,72473,Multifamily Housing,1
5461,2024530045,,2-02453-0045,2002692,1254,SHERMAN AVENUE,Bronx,10456,Filed,109.3,106.9,142.80000000000001,140.5,135.96,Yes,ABS,Not Available,504.2,428.1,76.099999999999994,61360,60360,Multifamily Housing,1
5467,2024550018,,2-02455-0018,2002711,984,SHERIDAN AVENUE,Bronx,10456,Filed,,Not Available,,Not Available,Not Available,Yes,None,Not Available,,283.7,,86000,86000,Multifamily Housing,1
15415,2024340026,Secondary,2024340018;2024340026;2024340034,2002259;2002260;2002262,,,Bronx,,Not on Covered Buildings List,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,,,
15416,2024340034,Secondary,2024340018;2024340026;2024340034,2002259;2002260;2002262,,,Bronx,,Not on Covered Buildings List,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,,,
5433,2024350035,,2-02435-0035,2002296,      315,EAST  167 STREET    ,Bronx,10456,Filed,77.099999999999994,77.1,106.1,106.1,Not Available,N/A,None,Not Available,429.4,350.7,78.7,73000,69538,Multifamily Housing,1
5435,2024390001,,2024390001,2002413,1220,MORRIS AVENUE,Bronx,10456,Filed,124,Not Available,167.1,Not Available,Not Available,No,None,Not Available,511.9,424.7,87.2,54646,54646,Multifamily Housing,1
5436,2024390080,,2024390080,2002439,1221,COLLEGE AVENUE,Bronx,10456,Filed,93,Not Available,123.8,Not Available,69.19,Yes,ABS,Not Available,434,363.7,70.3,61967,61967,Multifamily Housing,1
5437,2024390090,,2024390090,2002440,1205,COLLEGE AVENUE,Bronx,10456,Filed,161.5,Not Available,197.1,Not Available,Not Available,No,None,Not Available,706.9,631.70000000000005,75.2,58153,58153,Multifamily Housing,1
5439,2024410001,,2-02441-0001,2002441,2950,PARK AVENUE,Bronx,10451,Filed,82,81.5,123.5,123.1,Not Available,No,None,Not Available,1251.7,875.7,376,257718,257718,Multifamily Housing,1
5449,2024439080,,2-02443-9080,2002455,780,CONCOURSE VILLAGE W,Bronx,10451,Filed,24.8,24.9,66.7,66.7,Not Available,Yes,ABS,Not Available,544.29999999999995,89.4,454.9,287500,862500,Multifamily Housing,3
5443,2024430090,,2024430090,2002456,200,EAST  161 STREET,Bronx,10451,Filed,160.5,160.2,413.7,413.3,Not Available,No,None,Not Available,2385.8000000000002,462.3,1923.5,201536,810605,Retail Store,1
5442,2024430090,,2-02443-0090,2002456,200,EAST  161 STREET,Bronx,10451,Filed,167.1,166.6,349.6,349.3,Not Available,No,None,Not Available,617.4,244.5,372.9,55000,810605,Other - Entertainment/Public Assembly,1
5444,2024430100,,2-02443-0100,2002457,260,EAST  161 STREET,Bronx,10451,Filed,69.2,69.1,172.1,172,Not Available,No,None,Not Available,1485.7,425.8,1059.9000000000001,271877,209136,Other,1
5451,2024460021,,2-02446-0021,2002484,977,GRANT AVENUE,Bronx,10456,Filed,22.2,22.2,56.1,56.1,Not Available,Yes,None,Not Available,83,17.5,65.5,51203,51203,Multifamily Housing,1
5452,2024470001,,2-02447-0001,2002499,1010,SHERMAN AVENUE,Bronx,10456,Filed,96.5,96.5,140.4,140.5,46.89,Yes,ABS,Not Available,585.20000000000005,454.3,130.9,95603,80009,Multifamily Housing,1
5453,2024510005,,2024510005,2002625,1056,SHERMAN AVENUE,Bronx,10456,Filed,116.4,115.5,165.3,163.4,Not Available,No,None,Not Available,425.7,320,105.7,62966,62976,Multifamily Housing,1
5454,2024510011,,2-02451-0011,2002626,1060,SHERMAN AVENUE,Bronx,10456,Filed,,Not Available,,Not Available,Not Available,Yes,None,Not Available,,,,70773,62042,Multifamily Housing,1
