Record Number,"NYC Borough, Block, and Lot (BBL)",Co-reported BBL Status,BBLs Co-reported,Reported NYC Building Identificaiton Numbers (BINs),Street Number,Street Name,Borough,Zip Code,DOF Benchmarking Submission Status,Site EUI(kBtu/ft2),Weather Normalized Site EUI(kBtu/ft2),Source EUI(kBtu/ft2),Weather Normalized Source EUI(kBtu/ft2),Municipally Supplied Potable Water - Indoor Intensity (gal/ft²),Automatic Water Benchmarking Eligible,Reported Water Method,ENERGY STAR Score,Total GHG Emissions(MtCO2e),Direct GHG Emissions(MtCO2e),Indirect GHG Emissions(MtCO2e),Reported Property Floor Area (Building(s)) (ft²),DOF Property Floor Area (Buildngs and Parking)(ft2),Primary Property Type - Self Selected,DOF Number of Buildings
4930,1021350017,,1021350017,1063290,845,RIVERSIDE DRIVE,Manhattan,10032,Filed,123,122.5,154.9,154.4,45.8,Yes,ABS,Not Available,598.1,522.5,75.599999999999994,65256,65256,Multifamily Housing,1
15335,1021320110,Secondary,1021320047;1021320094;1021320100;1021320110;1021320114,1063193;1063207;1063209;1063213;1063215,,,Manhattan,,Not on Covered Buildings List,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,,,
15336,1021320114,Secondary,1021320047;1021320094;1021320100;1021320110;1021320114,1063193;1063207;1063209;1063213;1063215,,,Manhattan,,Not on Covered Buildings List,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,,,
15329,1021320080,Primary,1021320080;1021320082,1063201;1063202,,,Manhattan,,Not on Covered Buildings List,135.30000000000001,Not Available,190.6,Not Available,Not Available,N/A,None,Not Available,251.9,191.1,60.8,32150,,Multifamily Housing,
15330,1021320082,Secondary,1021320080;1021320082,1063201;1063202,,,Manhattan,,Not on Covered Buildings List,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,,,
15331,1021320084,Primary,1021320084;1021320106,1063203;1063212,,,Manhattan,,Not on Covered Buildings List,129.9,Not Available,189.5,Not Available,Not Available,N/A,None,Not Available,238.3,173.5,64.8,31310,,Multifamily Housing,
15334,1021320106,Secondary,1021320084;1021320106,1063203;1063212,,,Manhattan,,Not on Covered Buildings List,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,,,
4916,1021340022,,1-02134-0022,1063247,      780,RIVERSIDE DRIVE     ,Manhattan,10032,Filed,126.2,126.1,150,149.8,Not Available,N/A,None,Not Available,1073.8,977.2,96.6,112260,111260,Multifamily Housing,1
4917,1021340030,,1-02134-0030,1063248,788,RIVERSIDE DRIVE,Manhattan,10032,Filed,80.900000000000006,Not Available,106.3,Not Available,Not Available,Yes,ABS,Not Available,494.5,418.8,75.7,80678,80678,Multifamily Housing,1
4926,1021347502,,1021347502,1063251,779,RIVERSIDE DRIVE,Manhattan,10032,Filed,106.1,Not Available,139.5,Not Available,48.94,Yes,ABS,Not Available,744.1,629.70000000000005,114.4,93053,118809,Multifamily Housing,1
