Record Number,"NYC Borough, Block, and Lot (BBL)",Co-reported BBL Status,BBLs Co-reported,Reported NYC Building Identification Numbers (BINs),Street Number,Street Name,Borough,Zip Code,BBL on the Covered Buildings List,DOF Benchmarking Submission Status,Site EUI(kBtu/ft2),Weather Normalized Site EUI(kBtu/ft2),Source EUI(kBtu/ft2),Weather Normalized Source EUI(kBtu/ft2),Municipally Supplied Potable Water - Indoor Intensity (gal/ft²),Automatic Water Benchmarking Eligible,Reported Water Method,ENERGY STAR Score,Total GHG Emissions(MtCO2e),Direct GHG Emissions(MtCO2e),Indirect GHG Emissions(MtCO2e),Reported Property Floor Area (Building(s)) (ft²),DOF Property Floor Area (Buildngs and Parking)(ft2),Primary Property Type - Self Selected,DOF Number of Buildings
1273461,1012690041,,,1034532,680,   5 AVENUE         ,MANHATTAN,10019,Yes,In Compliance ,80.4,77.1,181.8,177.6,Not Available,No,None,77,1396.3,0,1396.3,230193,205020,Office,1
1274618,1005990064,,,1010379,375,HUDSON STREET       ,MANHATTAN,10014,Yes,In Compliance ,67.4,66.1,187.5,185.9,Not Available,No,None,81,5887.4,0,5887.4,1093934,907938,Office,1
1180593,4093640010,,,4440535,    89-10,VAN WYCK EXPWY SR W ,QUEENS,11418,Yes,In Compliance ,46.3,Not Available,48.6,Not Available,1535.6,No,Manual,100,323.4,323.4,0,131610,484470,Hospital (General Medical & Surgical),2
1192662,1012617501,,,1071414,1166,AVENUE OF THE AMER  ,MANHATTAN,10036,Yes,In Compliance ,115.1,114.9,228,227.3,Not Available,No,None,63,15118.2,0,15118.2,1797825,1529036,Office,1
1200524,1013000033,,,1036195,730,   3 AVENUE         ,MANHATTAN,10017,Yes,In Compliance ,91.5,90,227.7,226.1,Not Available,No,None,84,4445.4,0,4445.4,627731,665110,Office,1
1210636,1012870021,,,1035471,477,MADISON AVENUE      ,MANHATTAN,10022,Yes,In Compliance ,41.1,Not Available,103.2,Not Available,24.29,No,Manual,97,980,0,980,307384,262287,Office,1
1211581,1013090001,,,1036476,405,PARK AVENUE         ,MANHATTAN,10022,Yes,In Compliance ,77.1,Not Available,188.8,Not Available,Not Available,No,None,71,3499,0,3499,161427,136044,Office,1
1217055,1008547501,,,Not Available,11,MADISON AVENUE      ,MANHATTAN,10010,Yes,In Compliance ,77.7,76.2,203.6,201.9,21.96,No,Manual,90,15889.6,221.5,15668.1,2613986,1587500,Office,1
1230053,1010277504,,,1086135;1024876,230,WEST   56 STREET    ,MANHATTAN,10019,Yes,In Compliance ,79.9,78.9,224.7,223.9,11.54,No,Manual,71,4074.9,432.9,3642,651851,200000,Office,1
1230813,1014637501,,,1045575,411,EAST   68 STREET    ,MANHATTAN,10065,Yes,In Compliance ,511.9,503.3,1101.7,1095.2,Not Available,No,None,Not Available,28370,0,28370,743935,731550,Other,1
1230818,1014610013,,,1045570,425,EAST   66 STREET    ,MANHATTAN,10065,Yes,In Compliance ,441.4,432.1,932.3,922.7,Not Available,No,None,Not Available,10736.4,0,10736.4,327993,228637,Laboratory,1
1423084,1012950023,,,1036147,355,LEXINGTON AVENUE    ,MANHATTAN,10017,Yes,In Compliance ,61.9,59.4,159.7,157.1,4.56,No,Manual,88,1239.1,0,1239.1,256272,225000,Office,1
1423089,1000390012,,,1000880,110,MAIDEN LANE         ,MANHATTAN,10005,Yes,In Compliance ,121.7,118.8,257.7,252.9,14.67,No,Manual,57,9435.6,0,9435.6,1045088,1075808,Office,1
1423319,1013090023,,,1036482,641,LEXINGTON AVENUE    ,MANHATTAN,10022,Yes,In Compliance ,114.5,112,231.5,228.1,12.79,No,Manual,61,3611.1,0,3611.1,429866,426775,Office,1
1423551,1013050013,,,1036451,560,LEXINGTON AVENUE    ,MANHATTAN,10022,Yes,In Compliance ,66.4,63.9,181.1,177.6,13.58,No,Manual,82,1733.9,0,1733.9,328910,345743,Office,1
1423560,1000250001,,,1000821,55,BROAD STREET        ,MANHATTAN,10004,Yes,In Compliance ,106.6,104.6,246.8,243.8,21.34,No,Manual,65,3319.8,0,3319.8,410295,406025,Office,1
1423569,1000100023,,,1000027,1,WHITEHALL STREET    ,MANHATTAN,10004,Yes,In Compliance ,106.8,103.9,223.3,219.9,11.19,No,Manual,67,2606.4,0,2606.4,329991,321994,Office,1
1426392,1013250001,,,1038464,845,   3 AVENUE         ,MANHATTAN,10022,Yes,In Compliance ,106.4,104.2,223.8,221.1,11.62,No,Manual,68,2698.7,0,2698.7,342387,321452,Office,1
1426421,1000090029,,,1000021,24,WHITEHALL STREET    ,MANHATTAN,10004,Yes,In Compliance ,136.2,133.5,281,277.8,9.92,No,Manual,46,8637.6,0,8637.6,859807,896956,Office,1
1426638,1012870028,,,1076267,41,EAST   51 STREET    ,MANHATTAN,10022,Yes,In Compliance ,110.3,108.4,311.3,309,18.31,No,Manual,82,3264.6,62.2,3202.3,370441,360000,Office,1
1429866,1007860001,,,1083624,520,   8 AVENUE         ,MANHATTAN,10018,Yes,In Compliance ,76,71.9,179.3,174.6,23.93,No,Manual,80,4711.5,1475.8,3235.7,814025,754487,Office,1
1439342,1000477501,,,1001026,120,BROADWAY            ,MANHATTAN,10005,Yes,In Compliance ,66.2,63.4,171.4,167.8,11.78,No,Manual,88,9874.1,110.9,9763.2,1910503,1736513,Office,1
1439901,1012780069,,,1035365,529,   5 AVENUE         ,MANHATTAN,10017,Yes,In Compliance ,85.3,82.9,230.4,228,Not Available,No,None,76,1682.7,0,1682.7,249187,271266,Office,1
1439975,1012930014,,,1086164,19,EAST   57 STREET    ,MANHATTAN,10022,Yes,In Compliance ,109.8,107.2,291.2,288,Not Available,No,None,44,871,0,871,100684,99381,Office,1
1513225,1012910028,,,1035771,65,EAST   55 STREET    ,MANHATTAN,10022,Yes,In Compliance ,81.4,79.4,217.4,215.3,Not Available,No,None,76,3981.2,0,3981.2,619631,528562,Office,1
1536164,1012810069,,,1035401,553,   5 AVENUE         ,MANHATTAN,10017,Yes,In Compliance ,68.3,67.1,193,191.9,Not Available,No,None,81,1332.9,0,1332.9,243294,206378,Office,1
1721249,1010210026,,,1024795,750,   7 AVENUE         ,MANHATTAN,10019,Yes,In Compliance ,78.6,76.8,203.3,201.4,21.68,No,Manual,79,3952.1,16.8,3935.4,643301,561139,Office,1
1846846,1013080033,,,1036473,880,   3 AVENUE         ,MANHATTAN,10022,Yes,In Compliance ,66.6,64.3,188.6,185.7,Not Available,No,None,63,760.8,0,760.8,142235,140400,Office,1
1847014,1010287501,,,1070014,235,WEST   56 STREET    ,MANHATTAN,10019,Yes,In Compliance ,51265,48382.1,61749.8,58282,Not Available,No,None,1,2097196.5,75.5,2097121,616000,729506,Multifamily Housing,1
1856803,1012590001,,,1034202,1120,AVENUE OF THE AMER  ,MANHATTAN,10036,Yes,In Compliance ,79.5,Not Available,169.3,Not Available,Not Available,No,None,83,3682,1.2,3680.8,623044,615000,Office,1
2371576,1008820003,,,1018123,369,PARK AVENUE SOUTH   ,MANHATTAN,10016,Yes,In Compliance ,167.5,164.1,310.7,307.9,Not Available,Yes,None,25,1285.1,716.7,568.4,104232,89311,Office,1
2379262,1005980058,,,1010378,341,HUDSON STREET       ,MANHATTAN,10014,Yes,In Compliance ,97.8,96,247,245.2,Not Available,No,None,71,6714,1495.1,5219,909266,797477,Office,1
1231058,1012890014,,,1035727,512,MADISON AVENUE      ,MANHATTAN,10022,Yes,In Compliance ,84.3,Not Available,229.8,Not Available,12.98,No,Manual,74,6846.1,142.1,6704.1,1027741,916586,Financial Office,1
1261446,1000627501,,,1001068,1,LIBERTY PLAZA       ,MANHATTAN,10006,Yes,In Compliance ,107.6,106.1,261.3,259.4,15.24,No,Manual,84,19360.4,91.4,19269,2342856,2139035,Office,1
1261447,1010497501,,,1026318,35,COLUMBUS CIRCLE     ,MANHATTAN,10019,Yes,In Compliance ,154.9,Not Available,362.9,Not Available,Not Available,No,None,Not Available,31804.9,1406,30398.8,2722590,2797249,Office,1
1261451,1000047501,,,1000005,1,WATER STREET        ,MANHATTAN,10004,Yes,In Compliance ,149,149,358.8,358.8,18.99,No,Manual,61,28473.3,0.1,28473.2,2428325,2542563,Office,1
1261456,1013010001,,,1036205,245,PARK AVENUE         ,MANHATTAN,10017,Yes,In Compliance ,117.5,115.2,273.9,271.1,15.78,No,Manual,77,14211,59.9,14151.1,1592125,1586886,Office,1
1151970,1009960029,,,1080824,1133,AVENUE OF THE AMER  ,MANHATTAN,10036,Yes,In Compliance ,110.8,108.7,243.8,241.2,Not Available,No,None,76,8112.3,0,8112.3,977035,1039529,Office,2
1261461,1012760058,,,1085972,300,MADISON AVENUE      ,MANHATTAN,10017,Yes,In Compliance ,124.9,122.9,329.9,328.1,1.86,No,Manual,79,10512.8,42.6,10470.1,1071012,1142417,Office,1
1261466,1000160120,,,1000057,200,LIBERTY STREET      ,MANHATTAN,10281,Yes,In Compliance ,113.6,112.6,230.9,229.5,Not Available,No,None,79,14138.4,25.8,14112.6,1485610,1501878,Office,1
1261470,1000160125,,,1000058,225,LIBERTY STREET      ,MANHATTAN,10280,Yes,In Compliance ,93,91.6,191.3,189.6,8.54,No,Manual,75,14211.1,0,14211.1,2158767,2267925,Office,1
1160595,5024000210,,,Not Available,140,MARSH AVENUE        ,STATEN ISLAND       ,10314,Yes,In Compliance ,53.2,52.4,150.2,149.3,Not Available,No,None,76,747.7,77.4,670.3,179200,179200,Retail Store,1
1160893,2051410003,,,Not Available,100,BAYCHESTER AVENUE   ,BRONX               ,10475,Yes,In Compliance ,56.9,55.8,157.3,156.2,Not Available,No,None,85,734,90,644,166320,170513,Retail Store,1
1261475,1000160150,,,1000060,250,VESEY STREET        ,MANHATTAN,10281,Yes,In Compliance ,10.4,9,171.3,170.8,15.02,No,Manual,80,6100.2,0,6100.2,1981198,2084079,Office,1
1272226,1007830070,,,1014387,206,WEST   34 STREET    ,MANHATTAN,10001,Yes,In Compliance ,165.1,164.4,264.3,263.7,30.39,No,Manual,59,26439.2,9823.6,16615.6,2486762,2689635,Office,4
7365,1009970029,,,1022631,1155,AVENUE OF THE AMER  ,MANHATTAN,10036,Yes,In Compliance ,54,54.2,166.1,166.8,Not Available,No,None,90,3054.3,0,3054.3,686902,734668,Office,1
8139,1013150001,,,1037545,655,   3 AVENUE         ,MANHATTAN,10017,Yes,In Compliance ,85.3,83.4,186.8,184.1,Not Available,No,None,86,2453.3,0,2453.3,384432,380000,Office,1
8604,1009990019,,,1022667,114,WEST   47 STREET    ,MANHATTAN,10036,Yes,In Compliance ,67.1,63.2,164.6,159.4,Not Available,No,None,84,2961.2,0,2961.2,572369,565000,Financial Office,1
8841,1013190047,,,1037596,733,   3 AVENUE         ,MANHATTAN,10017,Yes,In Compliance ,100.6,96.6,220.7,215,Not Available,No,None,75,2731.4,0,2731.4,362578,405399,Office,1
11809,1009950005,,,1085682,1472,BROADWAY            ,MANHATTAN,10036,Yes,In Compliance ,114.7,113.6,287,285.8,Not Available,No,None,61,13661.8,2557.4,11104.4,1601977,1642675,Office,1
13286,1013160001,,,1037549; 1037550,675,   3 AVENUE         ,MANHATTAN,10017,Yes,In Compliance ,97.7,95.2,204.3,201.5,Not Available,No,None,66,5436,0,5436,752426,289356,Office,1
1025339,1012980023,,,1036162,425,LEXINGTON AVENUE    ,MANHATTAN,10017,Yes,In Compliance ,85.3,82.7,225.9,221.5,27.06,No,Manual,72,4982.7,56.2,4926.5,743915,627691,Office,1
1045358,1012860035,,,1035464,320,PARK AVENUE         ,MANHATTAN,10022,Yes,In Compliance ,93,91.3,248.2,245.5,Not Available,No,None,79,5298.3,0,5298.3,721979,656436,Financial Office,1
1052478,1000480001,,,1001027,140,BROADWAY            ,MANHATTAN,10005,Yes,In Compliance ,132.9,129,269.1,264.5,0,No,Manual,68,12402.5,26.5,12375.9,1272119,1141266,Office,1
1069082,1008560024,,,1016880,380,PARK AVENUE SOUTH   ,MANHATTAN,10010,Yes,In Compliance ,100.6,96.7,215.7,211.3,Not Available,No,None,78,11334.2,0,11334.2,1513807,1159795,Office,1
1143922,1000350010,,,1000868,111,WALL STREET         ,MANHATTAN,10005,Yes,In Compliance ,66.1,63.6,176.5,173.4,11.69,No,Manual,Not Available,4675.5,87.2,4588.3,893647,990250,Office,1
1143934,1001860001,,,1082816,107,NORTH MOORE STREET  ,MANHATTAN,10013,Yes,In Compliance ,78.8,78.8,202.6,202.6,17.34,No,Manual,78,11474.5,131.3,11343.2,1869756,1594289,Office,1
1276621,1013137501,,,1086160;1037168;1037169;1037171,151,EAST   58 STREET    ,MANHATTAN,10022,Yes,In Compliance ,142.7,141,396.6,395,28.13,No,Manual,40,16669.8,152,16517.9,1466016,1402032,Office,2
1296055,3064910011,,,Not Available,1608,SHORE PARKWAY       ,BROOKLYN            ,11214,Yes,In Compliance ,65.6,64,168.4,166,0.03,No,Manual,68,656.7,128.5,528.2,133882,285471,Retail Store,7
1296056,5012500090,,,Not Available,2161,FOREST AVENUE       ,STATEN ISLAND       ,10303,Yes,In Compliance ,43.4,43,125.4,125,5.57,No,Manual,82,322.8,8.9,314,91047,91100,Retail Store,1
1313050,1012930035,,,1036067,460,PARK AVENUE         ,MANHATTAN,10022,Yes,In Compliance ,82.6,79.2,192.4,187.8,Not Available,No,None,75,2138.3,0,2138.3,340574,254185,Office,1
1324953,1013140015,,,1087632,222,EAST   41 STREET    ,MANHATTAN,10017,Yes,In Compliance ,73.5,71.7,196.8,194.2,12.81,No,Manual,83,2233.7,0,2233.7,384607,390973,Office,1
1327499,1009940001,,,1086069,1451,BROADWAY            ,MANHATTAN,10036,Yes,In Compliance ,62.2,61.8,178,178,Not Available,No,None,82,5936.8,0,5936.8,1184834,1079378,Office,1
1329076,1013070023,,,1036467,599,LEXINGTON AVENUE    ,MANHATTAN,10022,Yes,In Compliance ,68.1,68.1,213.8,213.9,22.95,No,Manual,75,6301.8,0,6301.8,1115877,984485,Office,1
1345438,1008530002,,,1088749,1,MADISON AVENUE      ,MANHATTAN,10010,Yes,In Compliance ,102,99.6,255.4,252.9,18.48,Yes,Manual,76,9280.4,112,9168.5,1176911,1134998,Office,1
1356549,1008610044,,,1080788;1080789,462,PARK AVENUE SOUTH   ,MANHATTAN,10016,Yes,In Compliance ,88.1,Not Available,197.7,Not Available,Not Available,No,None,76,1998.5,765,1233.4,292061,227053,Office,2
1357969,1013350005,,,1357969,320,EAST   43 STREET    ,MANHATTAN,10017,Yes,In Compliance ,81.4,77.9,185.3,180.9,5.14,Yes,Manual,Not Available,1760.5,29.5,1730.9,287400,299094,Office,1
1370307,1010140033,,,1024686,3,TIMES SQUARE        ,MANHATTAN,10036,Yes,In Compliance ,141,139.7,412.2,410.6,24.68,No,Manual,45,9625.8,0,9625.8,841709,855000,Office,1
1390799,1012670041,,,1034517,650,   5 AVENUE         ,MANHATTAN,10019,Yes,In Compliance ,83,81.3,198.7,197,Not Available,No,None,72,2490.4,0,2490.4,391942,336010,Office,1
1406101,1012580021,,,1034198,11,WEST   42 STREET    ,MANHATTAN,10036,Yes,In Compliance ,239.9,237,282.6,279.7,27.74,Yes,Manual,42,12469.4,11321.7,1147.7,921510,792705,Office,1
1406679,1012850036,,,1081146,300,PARK AVENUE         ,MANHATTAN,10022,Yes,In Compliance ,68.2,66.3,154.5,152.3,Not Available,No,None,85,3988.5,57.2,3931.4,777658,645483,Office,1
1407338,1012970023,,,1036156,395,LEXINGTON AVENUE    ,MANHATTAN,10017,Yes,In Compliance ,73.7,70.1,175.3,170,Not Available,No,None,85,7233.2,0,7233.2,1283579,1035307,Office,1
1407339,1012970033,,,1036161,666,   3 AVENUE         ,MANHATTAN,10017,Yes,In Compliance ,76.9,76.9,198,198,Not Available,No,None,75,4622.3,0,4622.3,769421,666376,Office,1
1407848,1012809010,,,1085735,200,PARK AVENUE         ,MANHATTAN,10017,Yes,In Compliance ,133.4,131,298,295.1,Not Available,No,None,53,29741.8,430.3,29311.6,2973969,2768775,Office,1
1407884,1010087503,,,1076177,150,WEST   56 STREET    ,MANHATTAN,10019,Yes,In Compliance ,54,53.8,169.4,169,Not Available,No,None,86,1671.8,0,1671.8,373640,847000,Office,1
1409171,4000790030,,,4307108,    25-01,JACKSON AVENUE      ,QUEENS,11101,Yes,In Compliance ,72.9,71,226.6,220.6,22.06,No,Manual,66,8644.5,85.8,8558.6,1436950,1359110,Office,1
1416310,1013060001,,,1036460,345,PARK AVENUE         ,MANHATTAN,10022,Yes,In Compliance ,153.9,152.3,317.9,316.2,18.78,No,Manual,39,20898.6,80.1,20818.5,1842494,1712218,Office,1
1418514,1014430020,,,1044756,353,EAST   68 STREET    ,MANHATTAN,10065,Yes,In Compliance ,129.6,127.7,318.6,317.1,Not Available,No,None,10,602.4,0,602.4,60274,62200,Medical Office,1
1418604,1012820034,,,1035405,250,PARK AVENUE         ,MANHATTAN,10017,Yes,In Compliance ,71.3,69.8,162.6,160.8,Not Available,No,None,79,2911,0,2911,540355,444628,Office,1
1422213,1000370008,,,1000872,110,WALL STREET         ,MANHATTAN,10005,Yes,In Compliance ,33.2,28.5,50.2,44.6,0.93,No,Manual,100,671.3,0,671.3,292627,295376,Office,1
1422222,1012840021,,,1035439,413,MADISON AVENUE      ,MANHATTAN,10017,Yes,In Compliance ,55.9,54.6,162.9,161,14.11,No,Manual,89,1074.9,0,1074.9,237258,228064,Office,1
1422300,1008550037,,,1016749,35,MADISON AVENUE      ,MANHATTAN,10010,Yes,In Compliance ,123,118.2,241.2,235.5,16.33,No,Manual,55,4714.1,71,4643,527815,524937,Office,1
1443197,1000840036,,,1086510,7,WORLD TRADE CENTER  ,MANHATTAN,10007,Yes,In Compliance ,94.2,Not Available,236.6,Not Available,Not Available,No,None,69,12646.9,94.5,12552.4,1731994,1636000,Office,1
1443214,1010890001,,,1085803,1,RIVER PLACE         ,MANHATTAN,10036,Yes,In Compliance ,134.6,131.3,227.3,223.7,31.11,No,Manual,3,7540.9,4501.2,3039.7,887879,887879,Multifamily Housing,1
1446423,1000350001,,,1000867,77,FRONT STREET        ,MANHATTAN,10005,Yes,In Compliance ,80.9,78.2,211.9,208.7,Not Available,No,None,71,7311.7,0,7311.7,1151269,973587,Office,1
1454367,1012860021,,,1035462,455,MADISON AVENUE      ,MANHATTAN,10022,Yes,In Compliance ,141.3,139.2,218.2,216.3,225.56,No,Manual,45,10815,4150.2,6664.8,1200000,815240,Hotel,1
1454910,1013049001,,,1084771,301,PARK AVENUE         ,MANHATTAN,10022,Yes,In Compliance ,141.2,138.3,273.2,270.4,80.03,No,Manual,23,16329.8,386,15943.8,1600000,1681000,Hotel,1
1457889,1012770014,,,1035348,330,MADISON AVENUE      ,MANHATTAN,10017,Yes,In Compliance ,78.1,76.2,210.2,207.9,12.96,No,Manual,82,5309.8,0,5309.8,859682,733001,Office,1
1460459,1013280001,,,1038570,909,   3 AVENUE         ,MANHATTAN,10022,Yes,In Compliance ,97,95.6,223,221.4,13.89,No,Manual,83,5816.3,0,5816.3,791632,1321050,Office,1
1461767,1012670001,,,1034510,1280,AVENUE OF THE AMER  ,MANHATTAN,10119,Yes,In Compliance ,101.9,101.4,234.6,234.1,21.19,No,Manual,70,16126.9,95.3,16031.6,2091434,1897491,Office,1
1463326,1008070001,,,1015175,393,   7 AVENUE         ,MANHATTAN,10001,Yes,In Compliance ,79.4,77.7,186.5,184.6,12.64,No,Manual,81,7093.6,0,7093.6,1172851,1103075,Office,1
1463679,1005540001,,,1008952,770,BROADWAY            ,MANHATTAN,10003,Yes,In Compliance ,68.2,66.8,180.4,178.9,11.85,No,Manual,86,6200.4,147.8,6052.6,1160927,940000,Office,1
1463890,1013120041,,,1036915,150,EAST   58 STREET    ,MANHATTAN,10022,Yes,In Compliance ,96.1,93.8,198.6,196,13.92,No,Manual,78,4066.4,0,4066.4,573571,570453,Office,1
1463909,1012670034,,,1034516,640,   5 AVENUE         ,MANHATTAN,10019,Yes,In Compliance ,82.2,80.3,228,225.8,21.15,No,Manual,72,2340,0,2340,356686,285841,Office,1
1463980,1012870033,,,1035473,350,PARK AVENUE         ,MANHATTAN,10022,Yes,In Compliance ,126.4,126.4,272,272,17.23,No,Manual,52,5182.1,0,5182.1,550317,535720,Office,1
1465130,1000230050,,,1000816,20,BROAD STREET        ,MANHATTAN,10004,Yes,In Compliance ,105.6,103.3,242.5,239.8,14.27,No,Manual,79,3788.6,0,3788.6,473890,466820,Office,1
1466154,1010070005,,,1069590,153,WEST   54 STREET    ,MANHATTAN,10019,Yes,In Compliance ,114.3,112.7,232.6,231.1,48.36,No,Manual,28,4773.1,225.1,4548,574241,625844,Hotel,1
1467374,1013000001,,,1036185,230,PARK AVENUE         ,MANHATTAN,10017,Yes,In Compliance ,99.8,97.3,212.6,209.9,Not Available,No,None,78,9588.2,65.5,9522.7,1294808,1212596,Office,1
1467490,1012930026,,,1036061,597,MADISON AVENUE      ,MANHATTAN,10022,Yes,In Compliance ,80.1,76.3,187.1,182.9,18.85,No,Manual,Not Available,2034.5,0,2034.5,333984,332600,Office,1
1470683,1010070029,,,1083719,120,WEST   55 STREET    ,MANHATTAN,10019,Yes,In Compliance ,149.5,148.2,342.9,341.6,Not Available,No,None,32,21132.6,0,21132.6,1866766,1900241,Office,2
1472193,1009200012,,,1082153,605,   3 AVENUE         ,MANHATTAN,10016,Yes,In Compliance ,91.5,89.2,200.3,196.8,Not Available,No,None,78,7232.8,0,7232.8,1056389,898734,Office,1
1472861,1010220043,,,1024812,1631,BROADWAY            ,MANHATTAN,10019,Yes,In Compliance ,101,99.4,220.9,218.6,18.99,No,Manual,71,21445.4,0,21445.4,2837932,2438059,Office,1
1479144,1013090032,,,1081162,900,   3 AVENUE         ,MANHATTAN,10022,Yes,In Compliance ,64.4,61.1,177,170.2,9.88,No,Manual,82,3031.7,0,3031.7,591315,516720,Office,1
1483343,1010050001,,,1023159,801,   7 AVENUE         ,MANHATTAN,10019,Yes,In Compliance ,136.4,134.5,263.8,262,64.86,No,Manual,23,11123.2,1847.6,9275.6,1165000,1172021,Hotel,1
1501971,1012710038,,,1077363,712,   5 AVENUE         ,MANHATTAN,10019,Yes,In Compliance ,68.6,67.3,178.8,177.4,12.58,No,Manual,80,3092.2,0,3092.2,574857,520796,Office,1
1505280,1013060033,,,1036462,850,   3 AVENUE         ,MANHATTAN,10022,Yes,In Compliance ,82.2,80.6,193.1,191.2,13.31,No,Manual,82,3696.4,0,3696.4,590518,574675,Office,1
1511892,1012930069,,,1036079,745,   5 AVENUE         ,MANHATTAN,10022,Yes,In Compliance ,84.6,82.2,221.6,218.6,Not Available,No,None,74,3520.2,0,3520.2,530303,459340,Office,1
1513221,1009980029,,,1076173,1177,AVENUE OF THE AMER  ,MANHATTAN,10036,Yes,In Compliance ,87.4,Not Available,246.4,Not Available,Not Available,No,None,60,6995.8,19,6976.9,997901,912955,Office,1
1547633,4041430001,,,4462119,   135-05,  20 AVENUE         ,QUEENS,11356,Yes,In Compliance ,88.7,85,222.9,218.7,13.46,Yes,Manual,80,918.4,198.1,720.4,139899,139896,Retail Store,1
1547924,3044520520,,,3348833,519,GATEWAY DRIVE       ,BROOKLYN            ,11239,Yes,In Compliance ,109.9,107.4,226.1,223.4,12,No,Manual,77,1104.4,450,654.4,148939,158402,Retail Store,1
1548095,2032450060,,,2109471,300,WEST KINGSBRIDGE RD ,BRONX               ,10463,Yes,In Compliance ,99.6,97.6,263.4,262.2,2.14,Yes,Manual,Not Available,1186.7,197.3,989.5,157011,156474,Retail Store,1
1548267,5074810001,,,5149742,2900,VETERANS ROAD WEST  ,STATEN ISLAND       ,10309,Yes,In Compliance ,84.9,83.6,213.2,211.9,9.84,Yes,Manual,79,903.4,195.5,707.9,143876,144760,Retail Store,1
1557168,1008620029,,,1017019,2,PARK AVENUE         ,MANHATTAN,10016,Yes,In Compliance ,76.5,73.6,191.3,188.1,Not Available,No,None,77,5434.3,0,5434.3,916666,850752,Office,1
1557451,1000240001,,,1000817,60,BROAD STREET        ,MANHATTAN,10004,Yes,In Compliance ,101.1,97.9,227.9,222.7,Not Available,No,None,72,7607.5,0,7607.5,998035,974958,Office,1
1560916,1013137502,,,1087267,130,EAST   59 STREET    ,MANHATTAN,10022,Yes,In Compliance ,51.3,49.1,137.1,133.7,Not Available,No,None,89,1091.8,0,1091.8,269470,228860,Office,1
1567409,1009627501,Secondary,1-00962-0080;1-00962-7501,0,433,EAST 30 STREET      ,MANHATTAN,10016,Yes,In Compliance ,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,2076426,See Primary BBL,1
1567409,1009620080,Primary,1-00962-0080;1-00962-7501,1085694;1081693;1081694;1085695;1081692;1085588;1087297;1088433;1805035,522,   1 AVENUE         ,MANHATTAN,10016,Yes,In Compliance ,228.4,225.2,494.9,491.8,Not Available,No,None,21,37954.9,74.4,37880.5,2227728,245800,Hospital (General Medical & Surgical),1
