"","BaID","Licencee","Licence","FieldCentre","ActivityStartDate","Number","From","To","Length","fLat","fLong","tLat","tLong","Date","YearMonth","County.From","County.To"
"5100","0R46","Husky Oil Operations Limited",55368,"Wainwright","17 Sep 2013",3,"11-20-047-04W4","14-20-047-04W4",0.51,53.1479743647112,-110.310935813457,53.1518394672737,-110.184887012382,2013-09-17,"13-09-01","Vermilion River County No. 24","Vermilion River County No. 24"
"5101","0R46","Husky Oil Operations Limited",55368,"Wainwright","17 Sep 2013",4,"03-21-047-04W4","04-21-047-04W4",0.46,53.1409100090193,-110.238979482476,53.1445557225668,-110.220991473268,2013-09-17,"13-09-01","Vermilion River County No. 24","Vermilion River County No. 24"
"5102","0R46","Husky Oil Operations Limited",55368,"Wainwright","17 Sep 2013",5,"03-21-047-04W4","06-21-047-04W4",0.6,53.1409100090193,-110.238979482476,53.144576610215,-110.208986327168,2013-09-17,"13-09-01","Vermilion River County No. 24","Vermilion River County No. 24"
"5103","0R46","Husky Oil Operations Limited",55368,"Wainwright","17 Sep 2013",6,"06-20-047-04W4","06-20-047-04W4",0.53,53.1445338937307,-110.232877153598,53.1445338937307,-110.232877153598,2013-09-17,"13-09-01","Vermilion River County No. 24","Vermilion River County No. 24"
"5104","0R46","Husky Oil Operations Limited",55368,"Wainwright","17 Sep 2013",7,"03-21-047-04W4","05-21-047-04W4",0.77,53.1409100090193,-110.238979482476,53.144566312188,-110.214988901648,2013-09-17,"13-09-01","Vermilion River County No. 24","Vermilion River County No. 24"
"5105","0R46","Husky Oil Operations Limited",55368,"Wainwright","17 Sep 2013",8,"10-19-047-04W4","06-20-047-04W4",1.49,53.1479280553847,-110.328825366976,53.1445338937307,-110.232877153598,2013-09-17,"13-09-01","Vermilion River County No. 24","Vermilion River County No. 24"
"5106","0R46","Husky Oil Operations Limited",55368,"Wainwright","17 Sep 2013",9,"06-20-047-04W4","07-20-047-04W4",0.35,53.1445338937307,-110.232877153598,53.1445450607368,-110.226874587875,2013-09-17,"13-09-01","Vermilion River County No. 24","Vermilion River County No. 24"
"5107","0R46","Husky Oil Operations Limited",55368,"Wainwright","17 Sep 2013",10,"06-20-047-04W4","11-20-047-04W4",0.49,53.1445338937307,-110.232877153598,53.1479743647112,-110.310935813457,2013-09-17,"13-09-01","Vermilion River County No. 24","Vermilion River County No. 24"
"5108","0R46","Husky Oil Operations Limited",55368,"Wainwright","17 Sep 2013",11,"07-20-047-04W4","03-21-047-04W4",1.49,53.1445450607368,-110.226874587875,53.1409100090193,-110.238979482476,2013-09-17,"13-09-01","Vermilion River County No. 24","Vermilion River County No. 24"
"5109","0R46","Husky Oil Operations Limited",55368,"Wainwright","17 Sep 2013",12,"11-20-047-04W4","13-20-047-04W4",0.7,53.1479743647112,-110.310935813457,53.1518303396091,-110.190890586771,2013-09-17,"13-09-01","Vermilion River County No. 24","Vermilion River County No. 24"
"5110","0R46","Husky Oil Operations Limited",55368,"Wainwright","17 Sep 2013",13,"11-20-047-04W4","13-20-047-04W4",0.58,53.1479743647112,-110.310935813457,53.1518303396091,-110.190890586771,2013-09-17,"13-09-01","Vermilion River County No. 24","Vermilion River County No. 24"
"5111","0R46","Husky Oil Operations Limited",55369,"Wainwright","17 Sep 2013",1,"03-20-047-04W4","06-20-047-04W4",0.73,53.1408614945192,-110.262868278485,53.1445338937307,-110.232877153598,2013-09-17,"13-09-01","Vermilion River County No. 24","Vermilion River County No. 24"
"5112","0R46","Husky Oil Operations Limited",55369,"Wainwright","17 Sep 2013",2,"07-20-047-04W4","06-20-047-04W4",0.88,53.1445450607368,-110.226874587875,53.1445338937307,-110.232877153598,2013-09-17,"13-09-01","Vermilion River County No. 24","Vermilion River County No. 24"
"5113","0R46","Husky Oil Operations Limited",55369,"Wainwright","17 Sep 2013",3,"11-20-047-04W4","06-20-047-04W4",0.66,53.1479743647112,-110.310935813457,53.1445338937307,-110.232877153598,2013-09-17,"13-09-01","Vermilion River County No. 24","Vermilion River County No. 24"
