"","X","Geography","Median.Household.Income","Income.Bucket","Color"
"83",83,"Census Tract 231, Kings County, New York",61020,"Second-Highest Quintile","#D6D6D6"
"84",84,"Census Tract 235, Kings County, New York",53125,"Middle Quintile","#DDDDDD"
"85",85,"Census Tract 236, Kings County, New York",31217,"Lowest Quintile","#EEEEEE"
"86",86,"Census Tract 238, Kings County, New York",34123,"Second-Lowest Quintile","#ECECEC"
"87",87,"Census Tract 240, Kings County, New York",36769,"Second-Lowest Quintile","#EAEAEA"
"88",88,"Census Tract 242, Kings County, New York",42054,"Second-Lowest Quintile","#E6E6E6"
"89",89,"Census Tract 245, Kings County, New York",47396,"Middle Quintile","#E1E1E1"
"90",90,"Census Tract 246, Kings County, New York",47917,"Middle Quintile","#E1E1E1"
"91",91,"Census Tract 247, Kings County, New York",33480,"Second-Lowest Quintile","#EDEDED"
"92",92,"Census Tract 248, Kings County, New York",48176,"Middle Quintile","#E1E1E1"
"93",93,"Census Tract 249, Kings County, New York",43869,"Second-Lowest Quintile","#E4E4E4"
"94",94,"Census Tract 250, Kings County, New York",42404,"Second-Lowest Quintile","#E5E5E5"
"95",95,"Census Tract 252, Kings County, New York",45968,"Middle Quintile","#E3E3E3"
"96",96,"Census Tract 254, Kings County, New York",41218,"Second-Lowest Quintile","#E6E6E6"
"97",97,"Census Tract 256, Kings County, New York",35417,"Second-Lowest Quintile","#EBEBEB"
"98",98,"Census Tract 258, Kings County, New York",38796,"Second-Lowest Quintile","#E8E8E8"
"99",99,"Census Tract 260, Kings County, New York",41759,"Second-Lowest Quintile","#E6E6E6"
"100",100,"Census Tract 262, Kings County, New York",41633,"Second-Lowest Quintile","#E6E6E6"
"101",101,"Census Tract 263, Kings County, New York",33235,"Second-Lowest Quintile","#EDEDED"
"102",102,"Census Tract 264, Kings County, New York",43184,"Second-Lowest Quintile","#E5E5E5"
"103",103,"Census Tract 266, Kings County, New York",52688,"Middle Quintile","#DDDDDD"
"104",104,"Census Tract 267, Kings County, New York",58250,"Second-Highest Quintile","#D9D9D9"
"105",105,"Census Tract 268, Kings County, New York",47315,"Middle Quintile","#E2E2E2"
"106",106,"Census Tract 269, Kings County, New York",25982,"Lowest Quintile","#F2F2F2"
"107",107,"Census Tract 270, Kings County, New York",32917,"Second-Lowest Quintile","#EDEDED"
"108",108,"Census Tract 272, Kings County, New York",36094,"Second-Lowest Quintile","#EAEAEA"
"109",109,"Census Tract 273, Kings County, New York",40187,"Second-Lowest Quintile","#E7E7E7"
"110",110,"Census Tract 274, Kings County, New York",41375,"Second-Lowest Quintile","#E6E6E6"
"111",111,"Census Tract 276, Kings County, New York",34450,"Second-Lowest Quintile","#ECECEC"
"112",112,"Census Tract 278, Kings County, New York",39575,"Second-Lowest Quintile","#E8E8E8"
"113",113,"Census Tract 279, Kings County, New York",37337,"Second-Lowest Quintile","#E9E9E9"
"114",114,"Census Tract 284, Kings County, New York",35354,"Second-Lowest Quintile","#EBEBEB"
"115",115,"Census Tract 285.01, Kings County, New York",59583,"Second-Highest Quintile","#D8D8D8"
"116",116,"Census Tract 288, Kings County, New York",28407,"Lowest Quintile","#F0F0F0"
"117",117,"Census Tract 291, Kings County, New York",30669,"Lowest Quintile","#EFEFEF"
"118",118,"Census Tract 293, Kings County, New York",29922,"Lowest Quintile","#EFEFEF"
"119",119,"Census Tract 297, Kings County, New York",51944,"Middle Quintile","#DEDEDE"
"120",120,"Census Tract 298, Kings County, New York",41229,"Second-Lowest Quintile","#E6E6E6"
"121",121,"Census Tract 300, Kings County, New York",41213,"Second-Lowest Quintile","#E6E6E6"
"122",122,"Census Tract 305, Kings County, New York",51696,"Middle Quintile","#DEDEDE"
"123",123,"Census Tract 309, Kings County, New York",38933,"Second-Lowest Quintile","#E8E8E8"
"124",124,"Census Tract 317.01, Kings County, New York",33514,"Second-Lowest Quintile","#ECECEC"
"125",125,"Census Tract 323, Kings County, New York",39375,"Second-Lowest Quintile","#E8E8E8"
"126",126,"Census Tract 326, Kings County, New York",27500,"Lowest Quintile","#F1F1F1"
"127",127,"Census Tract 329, Kings County, New York",36113,"Second-Lowest Quintile","#EAEAEA"
"128",128,"Census Tract 331, Kings County, New York",34005,"Second-Lowest Quintile","#ECECEC"
"129",129,"Census Tract 333, Kings County, New York",40262,"Second-Lowest Quintile","#E7E7E7"
"130",130,"Census Tract 337, Kings County, New York",42321,"Second-Lowest Quintile","#E5E5E5"
"131",131,"Census Tract 339, Kings County, New York",39955,"Second-Lowest Quintile","#E7E7E7"
"132",132,"Census Tract 341, Kings County, New York",37892,"Second-Lowest Quintile","#E9E9E9"
"133",133,"Census Tract 342, Kings County, New York",19385,"Lowest Quintile","#F5F5F5"
"134",134,"Census Tract 363, Kings County, New York",34005,"Second-Lowest Quintile","#ECECEC"
"135",135,"Census Tract 365.02, Kings County, New York",53648,"Middle Quintile","#DDDDDD"
"136",136,"Census Tract 388, Kings County, New York",43598,"Second-Lowest Quintile","#E4E4E4"
"137",137,"Census Tract 396, Kings County, New York",41424,"Second-Lowest Quintile","#E6E6E6"
"138",138,"Census Tract 397, Kings County, New York",33125,"Second-Lowest Quintile","#EDEDED"
"139",139,"Census Tract 399, Kings County, New York",35969,"Second-Lowest Quintile","#EBEBEB"
"140",140,"Census Tract 401, Kings County, New York",30350,"Lowest Quintile","#EFEFEF"
"141",141,"Census Tract 404, Kings County, New York",61705,"Second-Highest Quintile","#D6D6D6"
"142",142,"Census Tract 406, Kings County, New York",51080,"Middle Quintile","#DFDFDF"
"143",143,"Census Tract 408, Kings County, New York",37500,"Second-Lowest Quintile","#E9E9E9"
"144",144,"Census Tract 413, Kings County, New York",40000,"Second-Lowest Quintile","#E7E7E7"
"145",145,"Census Tract 414.01, Kings County, New York",49226,"Middle Quintile","#E0E0E0"
"146",146,"Census Tract 415, Kings County, New York",32589,"Second-Lowest Quintile","#EDEDED"
"147",147,"Census Tract 417, Kings County, New York",30151,"Lowest Quintile","#EFEFEF"
"148",148,"Census Tract 418, Kings County, New York",30159,"Lowest Quintile","#EFEFEF"
"149",149,"Census Tract 419, Kings County, New York",32523,"Second-Lowest Quintile","#EDEDED"
"150",150,"Census Tract 420, Kings County, New York",47542,"Middle Quintile","#E1E1E1"
"151",151,"Census Tract 421, Kings County, New York",40464,"Second-Lowest Quintile","#E7E7E7"
"152",152,"Census Tract 426, Kings County, New York",42094,"Second-Lowest Quintile","#E6E6E6"
"153",153,"Census Tract 427, Kings County, New York",38952,"Second-Lowest Quintile","#E8E8E8"
"154",154,"Census Tract 428, Kings County, New York",39879,"Second-Lowest Quintile","#E7E7E7"
"155",155,"Census Tract 429, Kings County, New York",30813,"Lowest Quintile","#EFEFEF"
"156",156,"Census Tract 430, Kings County, New York",41397,"Second-Lowest Quintile","#E6E6E6"
"157",157,"Census Tract 431, Kings County, New York",27798,"Lowest Quintile","#F1F1F1"
"158",158,"Census Tract 432, Kings County, New York",30957,"Lowest Quintile","#EFEFEF"
"159",159,"Census Tract 433, Kings County, New York",26667,"Lowest Quintile","#F1F1F1"
"160",160,"Census Tract 434, Kings County, New York",43804,"Second-Lowest Quintile","#E4E4E4"
"161",161,"Census Tract 435, Kings County, New York",30925,"Lowest Quintile","#EFEFEF"
"162",162,"Census Tract 436, Kings County, New York",32188,"Second-Lowest Quintile","#EEEEEE"
"163",163,"Census Tract 439, Kings County, New York",37156,"Second-Lowest Quintile","#EAEAEA"
"164",164,"Census Tract 440, Kings County, New York",60958,"Second-Highest Quintile","#D6D6D6"
"165",165,"Census Tract 441, Kings County, New York",36299,"Second-Lowest Quintile","#EAEAEA"
"166",166,"Census Tract 442, Kings County, New York",50733,"Middle Quintile","#DFDFDF"
"167",167,"Census Tract 443, Kings County, New York",44198,"Middle Quintile","#E4E4E4"
"168",168,"Census Tract 444, Kings County, New York",42130,"Second-Lowest Quintile","#E6E6E6"
"169",169,"Census Tract 446, Kings County, New York",48618,"Middle Quintile","#E1E1E1"
"170",170,"Census Tract 452, Kings County, New York",59392,"Second-Highest Quintile","#D8D8D8"
"171",171,"Census Tract 454, Kings County, New York",65318,"Second-Highest Quintile","#D2D2D2"
"172",172,"Census Tract 456, Kings County, New York",24722,"Lowest Quintile","#F2F2F2"
"173",173,"Census Tract 460, Kings County, New York",53654,"Middle Quintile","#DDDDDD"
"174",174,"Census Tract 464, Kings County, New York",50125,"Middle Quintile","#DFDFDF"
"175",175,"Census Tract 470, Kings County, New York",46622,"Middle Quintile","#E2E2E2"
"176",176,"Census Tract 472, Kings County, New York",60500,"Second-Highest Quintile","#D7D7D7"
"177",177,"Census Tract 474, Kings County, New York",48611,"Middle Quintile","#E1E1E1"
"178",178,"Census Tract 476, Kings County, New York",27153,"Lowest Quintile","#F1F1F1"
"179",179,"Census Tract 481, Kings County, New York",65673,"Second-Highest Quintile","#D2D2D2"
"180",180,"Census Tract 495, Kings County, New York",61771,"Second-Highest Quintile","#D6D6D6"
"181",181,"Census Tract 499, Kings County, New York",46786,"Middle Quintile","#E2E2E2"
"182",182,"Census Tract 503, Kings County, New York",63578,"Second-Highest Quintile","#D4D4D4"
"183",183,"Census Tract 505, Kings County, New York",21680,"Lowest Quintile","#F4F4F4"
"184",184,"Census Tract 508.01, Kings County, New York",29272,"Lowest Quintile","#F0F0F0"
"185",185,"Census Tract 510.01, Kings County, New York",45417,"Middle Quintile","#E3E3E3"
"186",186,"Census Tract 514, Kings County, New York",38977,"Second-Lowest Quintile","#E8E8E8"
"187",187,"Census Tract 516.01, Kings County, New York",32760,"Second-Lowest Quintile","#EDEDED"
"188",188,"Census Tract 516.02, Kings County, New York",39721,"Second-Lowest Quintile","#E8E8E8"
"189",189,"Census Tract 517, Kings County, New York",73021,"Second-Highest Quintile","#CBCBCB"
"190",190,"Census Tract 518, Kings County, New York",50500,"Middle Quintile","#DFDFDF"
"191",191,"Census Tract 520, Kings County, New York",47639,"Middle Quintile","#E1E1E1"
"192",192,"Census Tract 526, Kings County, New York",56220,"Second-Highest Quintile","#DBDBDB"
"193",193,"Census Tract 528, Kings County, New York",76000,"Highest Quintile","#C8C8C8"
"194",194,"Census Tract 530, Kings County, New York",51833,"Middle Quintile","#DEDEDE"
"195",195,"Census Tract 532, Kings County, New York",56429,"Second-Highest Quintile","#DADADA"
"196",196,"Census Tract 533, Kings County, New York",18458,"Lowest Quintile","#F5F5F5"
"197",197,"Census Tract 534, Kings County, New York",35682,"Second-Lowest Quintile","#EBEBEB"
"198",198,"Census Tract 538, Kings County, New York",39592,"Second-Lowest Quintile","#E8E8E8"
"199",199,"Census Tract 542, Kings County, New York",44375,"Middle Quintile","#E4E4E4"
"200",200,"Census Tract 544, Kings County, New York",63636,"Second-Highest Quintile","#D4D4D4"
"201",201,"Census Tract 550, Kings County, New York",33844,"Second-Lowest Quintile","#ECECEC"
"202",202,"Census Tract 552, Kings County, New York",41509,"Second-Lowest Quintile","#E6E6E6"
"203",203,"Census Tract 558, Kings County, New York",38798,"Second-Lowest Quintile","#E8E8E8"
"204",204,"Census Tract 560, Kings County, New York",40078,"Second-Lowest Quintile","#E7E7E7"
"205",205,"Census Tract 562, Kings County, New York",70406,"Second-Highest Quintile","#CDCDCD"
"206",206,"Census Tract 564, Kings County, New York",55739,"Middle Quintile","#DBDBDB"
"207",207,"Census Tract 565, Kings County, New York",58214,"Second-Highest Quintile","#D9D9D9"
"208",208,"Census Tract 566, Kings County, New York",54442,"Middle Quintile","#DCDCDC"
"209",209,"Census Tract 568, Kings County, New York",51304,"Middle Quintile","#DEDEDE"
"210",210,"Census Tract 569, Kings County, New York",62955,"Second-Highest Quintile","#D4D4D4"
"211",211,"Census Tract 570, Kings County, New York",54257,"Middle Quintile","#DCDCDC"
"212",212,"Census Tract 571, Kings County, New York",52440,"Middle Quintile","#DEDEDE"
"213",213,"Census Tract 572, Kings County, New York",13918,"Lowest Quintile","#F8F8F8"
"214",214,"Census Tract 573, Kings County, New York",50625,"Middle Quintile","#DFDFDF"
"215",215,"Census Tract 574, Kings County, New York",74265,"Highest Quintile","#C9C9C9"
"216",216,"Census Tract 576, Kings County, New York",54007,"Middle Quintile","#DCDCDC"
"217",217,"Census Tract 578, Kings County, New York",63371,"Second-Highest Quintile","#D4D4D4"
"218",218,"Census Tract 580, Kings County, New York",43397,"Second-Lowest Quintile","#E5E5E5"
"219",219,"Census Tract 586, Kings County, New York",34205,"Second-Lowest Quintile","#ECECEC"
"220",220,"Census Tract 591, Kings County, New York",56573,"Second-Highest Quintile","#DADADA"
"221",221,"Census Tract 592, Kings County, New York",52162,"Middle Quintile","#DEDEDE"
"222",222,"Census Tract 593, Kings County, New York",37672,"Second-Lowest Quintile","#E9E9E9"
"223",223,"Census Tract 594.01, Kings County, New York",56689,"Second-Highest Quintile","#DADADA"
"224",224,"Census Tract 594.02, Kings County, New York",63283,"Second-Highest Quintile","#D4D4D4"
"225",225,"Census Tract 596, Kings County, New York",37012,"Second-Lowest Quintile","#EAEAEA"
"226",226,"Census Tract 600, Kings County, New York",59952,"Second-Highest Quintile","#D7D7D7"
"227",227,"Census Tract 612, Kings County, New York",69286,"Second-Highest Quintile","#CECECE"
"228",228,"Census Tract 632, Kings County, New York",70714,"Second-Highest Quintile","#CDCDCD"
"229",229,"Census Tract 636, Kings County, New York",88239,"Highest Quintile","#BCBCBC"
"230",230,"Census Tract 638, Kings County, New York",60489,"Second-Highest Quintile","#D7D7D7"
"231",231,"Census Tract 640, Kings County, New York",97560,"Highest Quintile","#AFAFAF"
"232",232,"Census Tract 646, Kings County, New York",80978,"Highest Quintile","#C3C3C3"
"233",233,"Census Tract 648, Kings County, New York",56504,"Second-Highest Quintile","#DADADA"
"234",234,"Census Tract 650, Kings County, New York",60257,"Second-Highest Quintile","#D7D7D7"
"235",235,"Census Tract 652, Kings County, New York",114063,"Highest Quintile","#999999"
"236",236,"Census Tract 654, Kings County, New York",105213,"Highest Quintile","#A5A5A5"
"237",237,"Census Tract 656, Kings County, New York",83889,"Highest Quintile","#C0C0C0"
"238",238,"Census Tract 658, Kings County, New York",85870,"Highest Quintile","#BEBEBE"
"239",239,"Census Tract 660, Kings County, New York",66667,"Second-Highest Quintile","#D1D1D1"
"240",240,"Census Tract 670, Kings County, New York",49091,"Middle Quintile","#E0E0E0"
"241",241,"Census Tract 672, Kings County, New York",71957,"Second-Highest Quintile","#CCCCCC"
"242",242,"Census Tract 674, Kings County, New York",85588,"Highest Quintile","#BFBFBF"
"243",243,"Census Tract 676, Kings County, New York",72727,"Second-Highest Quintile","#CBCBCB"
"244",244,"Census Tract 678, Kings County, New York",61477,"Second-Highest Quintile","#D6D6D6"
"245",245,"Census Tract 680, Kings County, New York",53450,"Middle Quintile","#DDDDDD"
"246",246,"Census Tract 682, Kings County, New York",84896,"Highest Quintile","#BFBFBF"
"247",247,"Census Tract 686, Kings County, New York",62260,"Second-Highest Quintile","#D5D5D5"
"248",248,"Census Tract 688, Kings County, New York",73229,"Highest Quintile","#CACACA"
"249",249,"Census Tract 690, Kings County, New York",76250,"Highest Quintile","#C8C8C8"
"250",250,"Census Tract 692, Kings County, New York",65179,"Second-Highest Quintile","#D2D2D2"
"251",251,"Census Tract 728, Kings County, New York",51491,"Middle Quintile","#DEDEDE"
"252",252,"Census Tract 734, Kings County, New York",64583,"Second-Highest Quintile","#D3D3D3"
"253",253,"Census Tract 738, Kings County, New York",65132,"Second-Highest Quintile","#D2D2D2"
"254",254,"Census Tract 740, Kings County, New York",57321,"Second-Highest Quintile","#DADADA"
"255",255,"Census Tract 742, Kings County, New York",62473,"Second-Highest Quintile","#D5D5D5"
"256",256,"Census Tract 744, Kings County, New York",94485,"Highest Quintile","#B3B3B3"
"257",257,"Census Tract 746, Kings County, New York",71855,"Second-Highest Quintile","#CCCCCC"
"258",258,"Census Tract 748, Kings County, New York",57454,"Second-Highest Quintile","#DADADA"
"259",259,"Census Tract 750, Kings County, New York",39099,"Second-Lowest Quintile","#E8E8E8"
"260",260,"Census Tract 752, Kings County, New York",49893,"Middle Quintile","#E0E0E0"
"261",261,"Census Tract 754, Kings County, New York",117750,"Highest Quintile","#949494"
"262",262,"Census Tract 756, Kings County, New York",61618,"Second-Highest Quintile","#D6D6D6"
"263",263,"Census Tract 760, Kings County, New York",57143,"Second-Highest Quintile","#DADADA"
"264",264,"Census Tract 762, Kings County, New York",41541,"Second-Lowest Quintile","#E6E6E6"
"265",265,"Census Tract 764, Kings County, New York",51667,"Middle Quintile","#DEDEDE"
"266",266,"Census Tract 768, Kings County, New York",48750,"Middle Quintile","#E0E0E0"
"267",267,"Census Tract 774, Kings County, New York",47763,"Middle Quintile","#E1E1E1"
"268",268,"Census Tract 784, Kings County, New York",64080,"Second-Highest Quintile","#D3D3D3"
"269",269,"Census Tract 790, Kings County, New York",36532,"Second-Lowest Quintile","#EAEAEA"
"270",270,"Census Tract 792, Kings County, New York",42772,"Second-Lowest Quintile","#E5E5E5"
"271",271,"Census Tract 796.01, Kings County, New York",41296,"Second-Lowest Quintile","#E6E6E6"
"272",272,"Census Tract 800, Kings County, New York",48911,"Middle Quintile","#E0E0E0"
"273",273,"Census Tract 804, Kings County, New York",44769,"Middle Quintile","#E4E4E4"
"274",274,"Census Tract 806, Kings County, New York",41709,"Second-Lowest Quintile","#E6E6E6"
"275",275,"Census Tract 814, Kings County, New York",54643,"Middle Quintile","#DCDCDC"
"276",276,"Census Tract 818, Kings County, New York",39939,"Second-Lowest Quintile","#E7E7E7"
"277",277,"Census Tract 824, Kings County, New York",32482,"Second-Lowest Quintile","#EDEDED"
"278",278,"Census Tract 832, Kings County, New York",85417,"Highest Quintile","#BFBFBF"
"279",279,"Census Tract 836, Kings County, New York",61774,"Second-Highest Quintile","#D6D6D6"
"280",280,"Census Tract 838, Kings County, New York",66127,"Second-Highest Quintile","#D1D1D1"
"281",281,"Census Tract 840, Kings County, New York",58625,"Second-Highest Quintile","#D9D9D9"
"282",282,"Census Tract 846, Kings County, New York",72533,"Second-Highest Quintile","#CBCBCB"
"283",283,"Census Tract 848, Kings County, New York",60964,"Second-Highest Quintile","#D6D6D6"
"284",284,"Census Tract 850, Kings County, New York",61563,"Second-Highest Quintile","#D6D6D6"
"285",285,"Census Tract 862, Kings County, New York",35795,"Second-Lowest Quintile","#EBEBEB"
"286",286,"Census Tract 864, Kings County, New York",86042,"Highest Quintile","#BEBEBE"
"287",287,"Census Tract 866, Kings County, New York",36458,"Second-Lowest Quintile","#EAEAEA"
"288",288,"Census Tract 868, Kings County, New York",31023,"Lowest Quintile","#EEEEEE"
"289",289,"Census Tract 870, Kings County, New York",38262,"Second-Lowest Quintile","#E9E9E9"
"290",290,"Census Tract 878, Kings County, New York",35990,"Second-Lowest Quintile","#EBEBEB"
"291",291,"Census Tract 886, Kings County, New York",31605,"Lowest Quintile","#EEEEEE"
"292",292,"Census Tract 888, Kings County, New York",44158,"Middle Quintile","#E4E4E4"
"293",293,"Census Tract 890, Kings County, New York",30683,"Lowest Quintile","#EFEFEF"
"294",294,"Census Tract 896, Kings County, New York",39774,"Second-Lowest Quintile","#E8E8E8"
"295",295,"Census Tract 898, Kings County, New York",36042,"Second-Lowest Quintile","#EAEAEA"
"296",296,"Census Tract 902, Kings County, New York",22176,"Lowest Quintile","#F4F4F4"
"297",297,"Census Tract 916, Kings County, New York",25614,"Lowest Quintile","#F2F2F2"
"298",298,"Census Tract 918, Kings County, New York",37417,"Second-Lowest Quintile","#E9E9E9"
"299",299,"Census Tract 924, Kings County, New York",38782,"Second-Lowest Quintile","#E8E8E8"
"300",300,"Census Tract 928, Kings County, New York",63574,"Second-Highest Quintile","#D4D4D4"
"301",301,"Census Tract 930, Kings County, New York",73390,"Highest Quintile","#CACACA"
"302",302,"Census Tract 954, Kings County, New York",56636,"Second-Highest Quintile","#DADADA"
"303",303,"Census Tract 964, Kings County, New York",59671,"Second-Highest Quintile","#D8D8D8"
"304",304,"Census Tract 966, Kings County, New York",76354,"Highest Quintile","#C7C7C7"
"305",305,"Census Tract 968, Kings County, New York",80208,"Highest Quintile","#C4C4C4"
"306",306,"Census Tract 970, Kings County, New York",57745,"Second-Highest Quintile","#D9D9D9"
"307",307,"Census Tract 984, Kings County, New York",64890,"Second-Highest Quintile","#D2D2D2"
"308",308,"Census Tract 986, Kings County, New York",66487,"Second-Highest Quintile","#D1D1D1"
"309",309,"Census Tract 992, Kings County, New York",72035,"Second-Highest Quintile","#CCCCCC"
"310",310,"Census Tract 994, Kings County, New York",83380,"Highest Quintile","#C1C1C1"
