,category,rating,name,app,tp,review,date,brand,ratingNum,lenReview,dateindex,Nbrand,sentiment,neg,neu,pos
17,Communication,Rated 5 stars out of five stars,Dakota Vaillencourt,Messenger,Top Free in Android Apps,This app is fantastically convenient. The fact that I can combine messenger with cellular contacts is amazing. Bringing back the ability to look at photos through albums is stellar. But what would be a cherry on top of this dreamboat of a social app is being able to upload videos in more formats than just mp4. I find it more often than not I'm caught in the rut of having to convert my videos to mp4. If Facebook were to make this possible I would be speechless.,"2,7,2017",Facebook,5,464,664,3,0.7845,0.0,0,0.091
18,Communication,Rated 5 stars out of five stars,Tim Squadrito,Messenger,Top Free in Android Apps,"Good app, useful, easy. Sure it didn't need to exist, messages through the Facebook app worked fine, but it's still good. And for everyone saying they don't want to see their phone texts in this app, it gives you the option not to. But why would you want to have two separate apps for texts anyways. Coming from me, someone who uses this app to text most people, is nice that regular text messages can have chat heads now too.  Edit: stickers not all showing up, cleared cache multiple times, updated, nothing worked","2,8,2017",Facebook,5,516,665,3,0.9243,0.026,0,0.174
19,Communication,Rated 4 stars out of five stars,Franz Carandang,Messenger,Top Free in Android Apps,Not Perfect. But the fact that almost everyone I know is on Facebook and this service is cheap in my country even when using Data thru my service provider and having a free version of the site this app helps a lot and can be used even in times of emergency and since there is free service of this app on my data this makes it one of the best apps out there at least herenin Ph.. 🙂,"2,8,2017",Facebook,4,383,665,3,0.9382,0.029,0,0.193
20,Communication,Rated 4 stars out of five stars,Miguel Carvalho,Messenger,Top Free in Android Apps,"Messenger is a quite good and versatile messaging app. Video and audio calls usually work well. The main problem of this app is the ridiculously high amount of resources (specifically RAM) it uses. If the Facebook and Messenger teams were able to to keep things under control, I would rate this 5 stars.","2,9,2017",Facebook,4,303,666,3,0.0498,0.09,0,0.094
21,Communication,Rated 1 stars out of five stars,Michelle Scott,Messenger,Top Free in Android Apps,"I hate the fact it has to be installed on my phone to read messages.  I hate the fact that every time I'm forced to install it on my phone it announces it to everyone. I hate the fact that I can no longer forward messages to email bypassing this hideous godforsaken utility. I hate being held to ransom by Facebook just because I want to sell something because they've undermined every other second hand selling site. I hate the fact that I get phantom notifications that I can't get risk of, and when I try to delete messages I just get an error. Very very poor. Invest in proper testing and stop pissing everyone off.","2,10,2017",Facebook,1,619,667,3,-0.9851,0.28,0,0.047
22,Communication,Rated 1 stars out of five stars,dillang geiser,Messenger,Top Free in Android Apps,"Well, its irritating that while going through the corruption I face on occasions throughout politics, that I now all the sudden can't use the facebook app to send messages. And not related too this topic , I think its dumb that human brains have different cortex and that each is vulnerable too satellite servers and the radation, capacitors or AC current can generate. But i honestly just dislike having too use two different apps.","2,10,2017",Facebook,1,432,667,3,-0.6908,0.137,0,0.065
23,Communication,Rated 1 stars out of five stars,Eduard Horváth,Messenger,Top Free in Android Apps,"The most annoying app I know,  loaded with tons of bullshit you don't need. The home screen changes almost daily to confuse you and except to get crazy if you try to find the settings. Now it's even very easy to share photos you don't want to share! Just 1-2 years ago, I would rate this app with 5 stars.","2,10,2017",Facebook,1,305,667,0,-0.4978,0.178,0,0.117
24,Finance,Rated 3 stars out of five stars,Charley B,IRS2Go,Top Free in Android Apps,"Does not work, when website does. For some reason, I got ""information not available at this time"" so I decided to check the IRS website, and compared the two for a few days. In EACH case, the website was working and gave me information, while the app only had a valid status 1 out of 9 times. Not sure why this is, but I am curious…","2,4,2017",IRS,3,334,661,5,0.1655,0.0,0,0.028
25,Finance,Rated 5 stars out of five stars,Julie Collins,IRS2Go,Top Free in Android Apps,For everyone who's saying that the reason some ppl can't review their status is because refunds aren't being processed until the 15th is NOT true at all. My Husband filed February 2nd through TurboTax and 2hrs later he got an email stating the IRS accepted his federal return and within 21days he will have it. It depends on when your refund is processed and actually sent out. It also has to do with where you filed your taxes. Hope this helps.,"2,8,2017",IRS,5,445,665,2,0.8689,0.0,0,0.123
26,Finance,Rated 4 stars out of five stars,Adam Moore,IRS2Go,Top Free in Android Apps,"If you people saying no dependent tax refunds will be processed before February 15th, you are mistaken and need to read again before you put out false ignorant info. All taxes will be processed before and after the 15th, if you have dependents or earned income credit, the IRS will not be sending out refunds until after February 15th. They will still be accepted, processed and approved, just not sent to you until after that date.","2,9,2017",IRS,4,432,666,2,0.1779,0.081,0,0.089
27,Finance,Rated 1 stars out of five stars,Jessica Stetler,IRS2Go,Top Free in Android Apps,"""Information entered not correct"". I'm typing everything in 100% correctly. I know my social security number. I filed as single. And I put down my refund amount... and it keeps saying it's not correct. This app isn't helpful one bit.","1,29,2017",IRS,1,233,655,3,0.0946,0.058,0,0.092
28,Finance,Rated 1 stars out of five stars,Krissy Brassell,IRS2Go,Top Free in Android Apps,"At first it was freezing for two daya. Now it just does nothing, the status wheel goes around and around and never connects. It has been like this for three days. At first it was telling me my information's was wrong. The website worked fine. It also worked fine on my iPad2. Fix this for Android users please.","2,10,2017",IRS,1,310,667,0,0.4404,0.069,0,0.129
29,Finance,Rated 5 stars out of five stars,Karina Byerly,IRS2Go,Top Free in Android Apps,Having to do 11 years of reporting & filing- this ap has everything I need in one place AND IS THE IRS OFFICIAL AP so I do mot have any hesitations. Great!,"1,21,2017",IRS,5,155,647,4,0.5093,0.063,0,0.131
30,Finance,Rated 5 stars out of five stars,Christy Ward,IRS2Go,Top Free in Android Apps,"For those of you that have the message, incorrect information, you have to put the correct total in for the amount. So if you filed using a tax preparer such as H & R Block and they tell you your total federal return is 2576 but after fees your actual return is 2500, you have to enter in the app your 1st number return not the amount that you are expecting which is 2576. IRS doesn't know not care about your bottom line and what your end number is going to be. They send the full amount aka the larger number because that's the amount they are going to pay, and the tax preparer take their cut. I hope this helps.","1,31,2017",IRS,5,615,657,4,0.8024,0.049,0,0.113
31,Finance,Rated 5 stars out of five stars,Benjamin Sherwood,IRS2Go,Top Free in Android Apps,"People doing the 1 star reviews because ""information not available"" are just plain stupid!  Won't be available till Feb 15 if you claim dependents idiots!  Just wow.  Know your stuff people..  app is great and does as advertised.  Also... the reviews is for the app not the IRS so keep your political opinions off the reviews...","1,30,2017",IRS,5,328,656,2,0.7256,0.053,0,0.133
32,Finance,Rated 1 stars out of five stars,Lauren Woelki,IRS2Go,Top Free in Android Apps,"I keep getting told information not available or something like that when I use the app, I didn't claim anything extra that would make them put a hold on it till February 15th, but when I go to the website on my phone everything is fine.","1,24,2017",IRS,1,237,650,4,0.4497,0.0,0,0.092
33,Communication,Rated 4 stars out of five stars,Nancy Negron,Marco Polo Video Walkie Talkie,Top Free in Android Apps,It's a great way to connect with family and friends I love to see my daughter's face every time she goes on her break she sends me a message ❤❤❤,"2,9,2017",Joya Communications,4,150,666,0,0.9081,0.0,0,0.322
34,Communication,Rated 5 stars out of five stars,anonymous,Marco Polo Video Walkie Talkie,Top Free in Android Apps,"It is awesome you can communicate with friends and family plus that you can change your voice,write,type and much more","2,8,2017",Joya Communications,5,118,665,0,0.802,0.0,0,0.286
35,Communication,Rated 1 stars out of five stars,Bulla B,Marco Polo Video Walkie Talkie,Top Free in Android Apps,"Camera footage is horrible, and you dont know how long the other party gonna talk so your stuck waiting...whatsapp or messenger is my choice and it seems they will remain so cause this is still in the sandbox league","2,10,2017",Joya Communications,1,215,667,0,-0.4728,0.13,0,0.061
36,Communication,Rated 5 stars out of five stars,Barbara Ruiz,Marco Polo Video Walkie Talkie,Top Free in Android Apps,This app helps me stay in contact with my boys and see them love this app,"2,9,2017",Joya Communications,5,73,666,0,0.7783,0.0,0,0.327
37,Communication,Rated 5 stars out of five stars,Stephanie Smith,Marco Polo Video Walkie Talkie,Top Free in Android Apps,I love it. My friends and I have a lot of fun with this app.,"2,9,2017",Joya Communications,5,60,666,0,0.891,0.0,0,0.541
38,Communication,Rated 4 stars out of five stars,Joyce Dawson,Marco Polo Video Walkie Talkie,Top Free in Android Apps,The slight delay makes communicating a little crazy.,"2,8,2017",Joya Communications,4,52,665,0,-0.5279,0.468,0,0.0
39,Communication,Rated 3 stars out of five stars,Chuck Browning,Marco Polo Video Walkie Talkie,Top Free in Android Apps,it would be nice if i could change the notification.  i cant hear the one it has and there is no way to change it.,"2,7,2017",Joya Communications,3,114,664,0,0.1531,0.085,0,0.108
40,Communication,Rated 5 stars out of five stars,Lilly Adams,Marco Polo Video Walkie Talkie,Top Free in Android Apps,I think this is the best app i have ever had,"2,6,2017",Joya Communications,5,44,663,0,0.6369,0.0,0,0.344
41,SportsAction & Adventure,Rated 5 stars out of five stars,Vincent Henson,Madden NFL Mobile,Top Free in Android Apps,"I would love if we could change our play while on the field, like the computer does during season mode when it tells you're going to blitz. Or if we could keep some of our players from legacy team, some of the players that are elite really shouldn't be, I've had gold players that the stats are far better than an elite player. It would also be great if season games were worth more gold, or make achievements worth more because rushing 10k yards for 1k gold? Cmon","1,25,2017",ELECTRONIC ARTS,5,464,651,1,0.9578,0.0,0,0.199
42,SportsAction & Adventure,Rated 1 stars out of five stars,Christofer Flores,Madden NFL Mobile,Top Free in Android Apps,"It gets too damn hard after season 12 none of my line block and the items in the store need to be reduced how do you expect me to buy some pack for 100,000 coins at a chance of an elite? Finally don't replace my team at the end of each season I waste too much for that oh and the counter gameplan needs to go.","2,7,2017",ELECTRONIC ARTS,1,309,664,2,-0.7783,0.138,0,0.028
43,SportsAction & Adventure,Rated 3 stars out of five stars,mitchell close,Madden NFL Mobile,Top Free in Android Apps,"Recommended for NFL fans, it's pretty good but could be better. I'd give 4 stars if I didn't have to delete and reinstall several times a day. It can be pretty frustrating when all of a sudden your guys can't catch a pass. A few of the plays work exactly 0% of the time, if you accidentally pick one of them you're going to get sacked or tackled for loss every time. Generally the game play is great though and there's a good variety of game types to keep you interested.","1,28,2017",ELECTRONIC ARTS,3,471,654,6,0.9696,0.087,0,0.285
44,SportsAction & Adventure,Rated 2 stars out of five stars,phillip k,Madden NFL Mobile,Top Free in Android Apps,"You should be able to choose the player you want to compare another player to in the auction house. For example, when looking for a player in a flex position(MLB/LB, WR/TE, CB/S) I should be able to choose a player in my lineup to compare him to not the weakest player in that position in my lineup. Also, you should be allow to auction off any item in the game. I won the collectables or players, why can't I sell them to buy a player I need? So much of this game is nonsense!","1,17,2017",ELECTRONIC ARTS,2,477,643,8,0.7347,0.029,0,0.106
45,SportsAction & Adventure,Rated 5 stars out of five stars,Greg Quarry,Madden NFL Mobile,Top Free in Android Apps,"Finally a real football game similar to console. Best part for me is creating your own team by gaining and auctioning players.  Mixes up gameplay with live event mini games.  Trade in sets are a little frustrating to navigate and takes a LONG time for some of them.  Live player vs player would be awesome!  And of course unlimited gameplay, but they have to make their money.  All & all great game!!!","1,23,2017",ELECTRONIC ARTS,5,401,649,3,0.9282,0.023,0,0.195
46,SportsAction & Adventure,Rated 1 stars out of five stars,Kid Awesome,Madden NFL Mobile,Top Free in Android Apps,"You get 1500 a game a then the most sold item barely gives elites. I spent a 127,500 dollars on pro packs with no elites. The computer gets to use plays we can't (wr screen) They also boost the CPU stats~ jj watt cannot run as fast as David Johnson. And in H2H speed doesn't matter since a 86 speed D. Revis can keep up with a 93 speed Antonio Brown","1,22,2017",ELECTRONIC ARTS,1,349,648,6,0.6818,0.046,0,0.125
47,SportsAction & Adventure,Rated 4 stars out of five stars,Ryder Bray,Madden NFL Mobile,Top Free in Android Apps,"Fun game, very addicting. But recently in some head to head games there's been a glitch where the button to snap the ball is gone. So I have to exit the app and come back in. But then it forfeits me from the match and I lose 10,000 fans. Very annoying glitch as it is not my fault at all and I lose h2h matches.","1,21,2017",ELECTRONIC ARTS,4,311,647,4,-0.4282,0.12,0,0.079
48,SportsAction & Adventure,Rated 2 stars out of five stars,Kenny Davis,Madden NFL Mobile,Top Free in Android Apps,I used to like the game but every since the last update it sucks . Now in head to head either your run gets stuffed you get intercepted or sacked. And when you got a defender beat never fear they will outrun the throw and intercept or knock pass away. Since last up date i went from 2 million fans + to 925 thousand. Dont waste your time. Im deleting the game!!!!!!,"2,5,2017",ELECTRONIC ARTS,2,365,662,3,-0.5149,0.107,0,0.089
49,SportsAction & Adventure,Rated 5 stars out of five stars,Edward Berry,Madden NFL Mobile,Top Free in Android Apps,"The graphics and sound effects are absolutely amazing but sometimes the control stick will not work at all. I really wish their where penalties like holding,roughing the passer and unsportsmanlike conduct. On and be able to  challenge plays.Thank you God bless and have a very wonderful day","2,6,2017",ELECTRONIC ARTS,5,290,663,2,0.9722,0.0,0,0.378
50,Action,Rated 5 stars out of five stars,Darren Gates,Color Switch,Top Free in Android Apps,I think it us a fun awsome game cause it just is really fun and no hate about how I did this this short review so ya no hate plesse and even if j spelled things wrong who cares just all I care about is hate and I hate it so stop and I already am getting hated on but i made it stop and hopally it doesn't happen again so that's over with j don't need a fight and hate on play store lol bye have a great day,"2,10,2017",Fortafy Games,5,406,667,0,-0.232,0.248,0,0.213
51,Action,Rated 4 stars out of five stars,Rohan Jaiswal,Color Switch,Top Free in Android Apps,"Difficulty is mixed, you get impossible obstacles at the very beginning sometimes... Where chances of crossing it is 1-5%.. Nd stop ur trash fb advertising videos.. So highly trash.","2,9,2017",Fortafy Games,4,181,666,0,-0.6597,0.212,0,0.053
52,Action,Rated 4 stars out of five stars,Kaiya Edwards-Dyck,Color Switch,Top Free in Android Apps,Its great but... when i want to play the game it just gos black and icant get on it then one day i went to go on it and it deleted itself wich made me mad vut other then that i love it and i want to give it 5 stars but😕,"2,10,2017",Fortafy Games,4,222,667,0,0.8442,0.056,0,0.231
53,Action,Rated 3 stars out of five stars,Robert Briddick,Color Switch,Top Free in Android Apps,"Alright. Defiantly addictive, awesome if you like laid back action. Easy to pass time. Although be great if download says game memory size. (like I always say)","2,11,2017",Fortafy Games,3,159,668,0,0.9393,0.0,0,0.426
54,Action,Rated 5 stars out of five stars,Lindsee Duncan,Color Switch,Top Free in Android Apps,When games are challenging I LOVE THEM! I love this game and its soooo fun with out my friend i wouldnt know this game thank you Janaliz and thank you for making this game.,"2,10,2017",Fortafy Games,5,172,667,2,0.9703,0.0,0,0.484
55,Action,Rated 2 stars out of five stars,GARY MADYUN,Color Switch,Top Free in Android Apps,I can't stand the ads and how it forces you to click on it.  50% of game time shouldn't be dealing with ads.,"2,9,2017",Fortafy Games,2,108,666,0,0.0,0.0,0,0.0
56,Music & Audio,Rated 5 stars out of five stars,anonymous,SoundCloud - Music & Audio,Top Free in Android Apps,"This has been my only music app/site for years and years. The recent pay-for--increasingly-everything was a huge disappointment to me, I couldn't believe my ears when I heard an ad play the other day. Had to triple check i hadn't accidentally opened YouTube or something. I was dreading having to find a substitute. However, after hearing from someone that SoundCloud had been having serious and drastic economic issues and researching this myself, I have reversed my initial opinion and will continue to support and make SoundCloud my go to place for my countless hours of listening. Hopefully others also realize that the new  changes were unavoidable in the face of bankruptcy and keep listening.","2,9,2017",SoundCloud,5,699,666,4,0.4829,0.067,0,0.102
57,Music & Audio,Rated 4 stars out of five stars,Praveen paul,SoundCloud - Music & Audio,Top Free in Android Apps,Love the new charts! And had a wide selection of genres! But!... How can it still not have 1. add to play queue?? 2. Filtering a playlist? User are clamouring for both!!,"2,9,2017",SoundCloud,4,169,666,0,0.8522,0.0,0,0.229
58,Music & Audio,Rated 3 stars out of five stars,Heriel Rivera,SoundCloud - Music & Audio,Top Free in Android Apps,We Should be able to delete and edit our songs thru the app right now I have to go in the Internet if I want to delete a song please make it better,"2,9,2017",SoundCloud,3,147,666,0,0.6705,0.0,0,0.194
59,Music & Audio,Rated 1 stars out of five stars,Jordan Morrison,SoundCloud - Music & Audio,Top Free in Android Apps,"You have made this app unbearable... Adds every 2 songs, distortion when played from Nougat devices and bugs that stop you from changing where you are in a track.  How can you have such a big platform and market share and constantly get it so wrong... Why not music related adds and a fair use add policy where it will only play an add after 4 full tracks have been played?  You have the monopoly with sound sharing apps... Why not channel money into making it stable with basic functionality that doesn't make people want to uninstall it.  I've loved SoundCloud for years but the way you QA testers have ruined this app and the desktop version of your site, with poor marketing and the direction of your company has started to turn your user base against you...  I only have to wait until you're cannibalized into a bigger company that will effectively get the basics right that you have got wrong time and time again","2,10,2017",SoundCloud,1,918,667,3,-0.2526,0.085,0,0.102
60,Music & Audio,Rated 4 stars out of five stars,SWEEYAM,SoundCloud - Music & Audio,Top Free in Android Apps,No doubts its great! 😇  Two too much required suggestions : 1. Save as Offline(or download) 2. Equalizer(Audio settings)  Include these asap in the next updates...,"2,9,2017",SoundCloud,4,166,666,0,0.636,0.133,0,0.23
61,Music & Audio,Rated 5 stars out of five stars,Brandon Rick,SoundCloud - Music & Audio,Top Free in Android Apps,"Best app for music its all free amd there is some very talented local rappers on this. For example, ""purpose"" is on his way to millionsssss","2,10,2017",SoundCloud,5,139,667,0,0.902,0.0,0,0.325
62,Social,Rated 5 stars out of five stars,anonymous,musical.ly,Top Free in Android Apps,I think that this app is great and all. But I think that the people who are concerned should be able to make money off this app and so should the people who how have 1000 or more fans. Like if anyone agrees with me.,"2,9,2017",musical.ly,5,215,666,0,0.8261,0.0,0,0.178
63,Communication,Rated 1 stars out of five stars,Arthur Tanner,Messenger,Top Free in Android Apps,"This app is the epitome of uselessness. The original Facebook app, with messaging included was the best way to go. Now even if I use the online Facebook app I am forced to instal this useless messaging app, which takes up space on my phone, while at the same time spamming me with petty notifications. I would not ever recommend this app to anyone, mostly because of how it is forced for you  to install.","2,9,2017",Facebook,1,404,666,6,-0.885,0.213,0,0.074
64,Communication,Rated 1 stars out of five stars,Micreyvn Cayading,Messenger,Top Free in Android Apps,"At first, before the latest changes, everything was going very fine. The app was once great, but now that you made some changes, I'm sorry to say this but it is bow really annoying I mean it. There are now crashes and the ""something went wrong"" keeps on popping out! I'm starting to get annoyed. Fix this immediately please!","2,8,2017",Facebook,1,324,665,0,-0.8189,0.19,0,0.098
65,Communication,Rated 2 stars out of five stars,Henry Tay,Messenger,Top Free in Android Apps,"To be fair, this app is buggy on certain phones. I'm using a fairly popular phone (xperia z5 compact), but this app doesn't play videos most of the time (WiFi network), sometimes plays a few seconds and jump back to the beginning. I can't fast forward or choose a play point as well. This doesn't happen to other messaging apps.","2,7,2017",Facebook,2,328,664,0,0.484,0.079,0,0.159
66,Communication,Rated 1 stars out of five stars,Sana Sana,Messenger,Top Free in Android Apps,"If there is a option for 0 i,ll opt that one. My phone never hangs up that much but after updating this app my phone hangs like hell. Hated the valentine feature,  nothing special... Just normal theme work which we can also Google image it. No moving or interesting themes. Tons of bugs..  App hang like worse....","2,10,2017",Facebook,1,313,667,0,-0.7876,0.203,0,0.136
67,Communication,Rated 3 stars out of five stars,Mantas Daukantas,Messenger,Top Free in Android Apps,"Sometimes it's not that bugy, but most of the time, when you eo one update, you get more bugs on the app then you fix them. Then after few new updates it gets steady and usable again. And you start all over again with bufs and so on :D so yeah. Its not that bad, but not that good too :D","2,8,2017",Facebook,3,287,665,0,0.9607,0.04,0,0.248
68,Communication,Rated 5 stars out of five stars,Jessie Mayhem,Messenger,Top Free in Android Apps,"Some people should grow common sense before being allowed to leave reviews. Most apps are above 60mbs PERIOD, Facebook does NOT force you to install messenger, you can still check your messages from a regular browser. You also do NOT need the Facebook app to use the messenger app. I love that you can use this for your default SMS app as well. I am able to get notifications where as my stock SMS app failed to notify me 80% of the time. Thanks Developers keep up the good work.","2,9,2017",Facebook,5,479,666,6,0.8225,0.046,0,0.124
69,Communication,Rated 1 stars out of five stars,Adwin Putteeraj,Messenger,Top Free in Android Apps,"How the heck is a simple messaging app 60Mb in size!? No app settings? Unable to turn off the annoying notifications unless doing it via the device settings. Too much stuff everywhere - row on row, icon on icon. And why the hell is it automatically updating itself outside the play store? Product Manager: seriously?","2,9,2017",Facebook,1,316,666,0,-0.8765,0.198,0,0.038
70,Finance,Rated 1 stars out of five stars,Christopher Cabuzzi,IRS2Go,Top Free in Android Apps,"Forever the same message... I actually got a letter from the IRS because I forgot to sign my return, sent it back in, waited another 6 weeks, and it still shows nothing. At least my return information on their actual website is updated (occasionally). Next time your government wants to raise taxes, just think of how bad a job with all the things they run...","1,16,2017",IRS,1,359,642,4,-0.5423,0.056,0,0.0
71,Finance,Rated 1 stars out of five stars,Julie Mckeehan,IRS2Go,Top Free in Android Apps,"Keeps saying ""information not available"", but if I go the the website and enter the same info, it pulls it up just fine.","1,15,2017",IRS,1,120,641,1,0.296,0.0,0,0.095
72,Finance,Rated 4 stars out of five stars,Michelle Cogdill,IRS2Go,Top Free in Android Apps,I really enjoy this app every year it keeps me updated on where my refund is at all times and it's great! I would definitely recommend it! :),"1,23,2017",IRS,4,141,649,2,0.9467,0.0,0,0.438
73,Finance,Rated 1 stars out of five stars,Antonio McDonial,IRS2Go,Top Free in Android Apps,It's won't tell you your status even if you didn't claim EIC or children credit says check after Feb 15. Next year I'm not paying taxes. This government is retarded.,"2,1,2017",IRS,1,165,658,0,-0.2732,0.108,0,0.076
74,Finance,Rated 1 stars out of five stars,killa traper,IRS2Go,Top Free in Android Apps,Keeps saying no information at this time even when I put in my brother tax information,"1,16,2017",IRS,1,86,642,1,-0.296,0.136,0,0.0
75,Finance,Rated 1 stars out of five stars,Marie Wheeler,IRS2Go,Top Free in Android Apps,It needs to be updated . keeps saying information don't match but I am putting exactly my information in . this and the web page both suck,"1,30,2017",IRS,1,138,656,1,-0.5927,0.143,0,0.0
76,Finance,Rated 1 stars out of five stars,David Pena,IRS2Go,Top Free in Android Apps,The irs is a joke this app sucks can't wait till they abolish the irs f**K the federal government still waiting on my return a year after I filed.,"1,18,2017",IRS,1,146,644,5,-0.0772,0.087,0,0.077
77,Personalization,Rated 5 stars out of five stars,anonymous,ZEDGE™ Ringtones & Wallpapers,Top Free in Android Apps,,"2,11,2017",Zedge,5,3,668,0,0.0,0.0,0,0.0
78,Communication,Rated 5 stars out of five stars,Marcus Nathan,Marco Polo Video Walkie Talkie,Top Free in Android Apps,Great app...I live being able to see friends I haven't seen in years but talk to all the time.,"2,9,2017",Joya Communications,5,94,666,0,0.5574,0.0,0,0.223
79,Communication,Rated 5 stars out of five stars,Evonne Moore,Marco Polo Video Walkie Talkie,Top Free in Android Apps,Awesome way to keep up with loved ones👍👍👍.,"2,6,2017",Joya Communications,5,51,663,0,0.8402,0.0,0,0.571
