Timestamp, Data Source, Data, Display Value, Raw Value
"2017-03-10T10:16:24Z", Acceleration (total), y, -0.4606017991900444, -0.460601799190044
"2017-03-10T10:16:24Z", Acceleration (total), z, -0.8357086223550141, -0.835708622355014
"2017-03-10T10:16:24Z", Acceleration (via User), x, 0.006150318775326014, 0.00615031877532601
"2017-03-10T10:16:24Z", Acceleration (via User), y, -0.04377149790525436, -0.0437714979052544
"2017-03-10T10:16:24Z", Acceleration (via User), z, 0.005377526860684156, 0.00537752686068416
"2017-03-10T10:16:25Z", Proximity, Active, Yes, true
"2017-03-10T10:16:25Z", GPS, Enabled, Yes, true
"2017-03-10T10:16:25Z", GPS, Authorisation Status, Authorised When In Use, Authorised When In Use
"2017-03-10T10:16:25Z", GPS, Latitude, 40.75268661141465, 40.7526866114147
"2017-03-10T10:16:25Z", GPS, Longitude, -73.99296015507913, -73.9929601550791
"2017-03-10T10:16:25Z", GPS, Altitude, 71.49420166015625 Meters, 71.4942016601562
"2017-03-10T10:16:25Z", GPS, Floor, No Data, NULL
"2017-03-10T10:16:25Z", GPS, Horizontal Accuracy, 50 Meters, 50.0
"2017-03-10T10:16:25Z", GPS, Vertical Accuracy, 32 Meters, 32.0
"2017-03-10T10:16:25Z", Altimeter (Barometer), Relative Altitude, -0.0556297302246094 Meters, -0.05562973022460938
"2017-03-10T10:16:25Z", Altimeter (Barometer), Pressure, 100.586486816406 kPa, 100.5864868164062
"2017-03-10T10:16:25Z", Accelerometer (raw), x, -0.3892669677734375, -0.389266967773438
"2017-03-10T10:16:25Z", Accelerometer (raw), y, -0.522674560546875, -0.522674560546875
"2017-03-10T10:16:25Z", Accelerometer (raw), z, -0.8128662109375, -0.8128662109375
"2017-03-10T10:16:25Z", Gyrometer (raw), x, -0.2379156265111008, -0.237915626511101
"2017-03-10T10:16:25Z", Gyrometer (raw), y, 0.6047942961770707, 0.604794296177071
"2017-03-10T10:16:25Z", Gyrometer (raw), z, -0.338114133048133, -0.338114133048133
"2017-03-10T10:16:25Z", Device, Model, iPhone, iPhone
"2017-03-10T10:16:25Z", Device, Name, Emil's iPhone, Emil's iPhone
"2017-03-10T10:16:25Z", Device, OS Name, iOS, iOS
"2017-03-10T10:16:25Z", Device, iOS Version, 10.1.1, 10.1.1
"2017-03-10T10:16:25Z", Device, Audio Output Method, Receiver, Receiver
"2017-03-10T10:16:25Z", Device, Supports Touch ID, Yes, true
"2017-03-10T10:16:25Z", WiFi, Connected SSID, Not Connected, Not Connected
"2017-03-10T10:16:25Z", WiFi, Connected BSSID, Not Connected, Not Connected
"2017-03-10T10:16:25Z", Microphone, Left Channel Level, -0.09999833 dB, -0.0999983
"2017-03-10T10:16:25Z", Microphone, Right Channel Level, -0.09999833 dB, -0.0999983
"2017-03-10T10:16:25Z", Compass, Heading (True North), 91.65625762939453º, 91.6562576293945
"2017-03-10T10:16:25Z", Compass, Heading (Magnetic North), 104.5825500488281º, 104.582550048828
"2017-03-10T10:16:25Z", Compass, x, -10.59671020507812, -10.5967102050781
"2017-03-10T10:16:25Z", Compass, y, -22.6514949798584, -22.6514949798584
"2017-03-10T10:16:25Z", Compass, z, -4.757904052734375, -4.75790405273438
"2017-03-10T10:16:25Z", Storage, Total, 27.8 GB, 27796844544
"2017-03-10T10:16:25Z", Storage, Free, 8.76 GB, 8757198848
"2017-03-10T10:16:25Z", Storage, Used, 19.04 GB, 19039645696
"2017-03-10T10:16:25Z", Memory, Total, 2.1 GB, 2097152000.0
"2017-03-10T10:16:25Z", Memory, Free, 191.4 MB, 191365120.0
"2017-03-10T10:16:25Z", Memory, Used, 1.61 GB, 1611677696.0
"2017-03-10T10:16:25Z", Memory, Active, 1.25 GB, 1249361920.0
"2017-03-10T10:16:25Z", Memory, Inactive, 142.7 MB, 142671872.0
"2017-03-10T10:16:25Z", Memory, Wired, 219.6 MB, 219643904.0
"2017-03-10T10:16:25Z", Memory, Purgeable, 34.9 MB, 34881536.0
"2017-03-10T10:16:25Z", Proximity, Active, No, false
"2017-03-10T10:16:26Z", Proximity, Active, Yes, true
"2017-03-10T10:16:26Z", GPS, Enabled, Yes, true
"2017-03-10T10:16:26Z", GPS, Authorisation Status, Authorised When In Use, Authorised When In Use
"2017-03-10T10:16:26Z", GPS, Latitude, 40.75268661141465, 40.7526866114147
"2017-03-10T10:16:26Z", GPS, Longitude, -73.99296015507913, -73.9929601550791
"2017-03-10T10:16:26Z", GPS, Altitude, 71.49420166015625 Meters, 71.4942016601562
"2017-03-10T10:16:26Z", GPS, Floor, No Data, NULL
"2017-03-10T10:16:26Z", GPS, Horizontal Accuracy, 50 Meters, 50.0
"2017-03-10T10:16:26Z", GPS, Vertical Accuracy, 32 Meters, 32.0
"2017-03-10T10:16:26Z", Altimeter (Barometer), Relative Altitude, -0.077880859375 Meters, -0.077880859375
"2017-03-10T10:16:26Z", Altimeter (Barometer), Pressure, 100.58674621582 kPa, 100.5867462158203
"2017-03-10T10:16:27Z", GPS, Enabled, Yes, true
"2017-03-10T10:16:27Z", GPS, Authorisation Status, Authorised When In Use, Authorised When In Use
"2017-03-10T10:16:27Z", GPS, Latitude, 40.75268661141465, 40.7526866114147
"2017-03-10T10:16:27Z", GPS, Longitude, -73.99296015507913, -73.9929601550791
"2017-03-10T10:16:27Z", GPS, Altitude, 71.4942626953125 Meters, 71.4942626953125
"2017-03-10T10:16:27Z", GPS, Floor, No Data, NULL
"2017-03-10T10:16:27Z", GPS, Horizontal Accuracy, 50 Meters, 50.0
"2017-03-10T10:16:27Z", GPS, Vertical Accuracy, 32 Meters, 32.0
"2017-03-10T10:16:27Z", Altimeter (Barometer), Relative Altitude, -0.124408721923828 Meters, -0.1244087219238281
"2017-03-10T10:16:27Z", Altimeter (Barometer), Pressure, 100.587303161621 kPa, 100.5873031616211
"2017-03-10T10:32:08Z", Proximity, Active, No, false
"2017-03-10T10:32:08Z", Magnetometer (raw), x, 25.44245910644531, 25.4424591064453
"2017-03-10T10:32:08Z", Magnetometer (raw), y, 17.45956420898438, 17.4595642089844
"2017-03-10T10:32:08Z", Magnetometer (raw), z, -360.3023376464844, -360.302337646484
"2017-03-10T10:32:08Z", Altimeter (Barometer), Relative Altitude, -0.242744445800781 Meters, -0.2427444458007812
"2017-03-10T10:32:08Z", Altimeter (Barometer), Pressure, 100.588722229004 kPa, 100.5887222290039
"2017-03-10T10:32:08Z", Magnetometer (corrected for device), x, -2.391128540039062, -2.39112854003906
"2017-03-10T10:32:08Z", Magnetometer (corrected for device), y, 7.930734634399414, 7.93073463439941
"2017-03-10T10:32:08Z", Magnetometer (corrected for device), z, 44.88937377929688, 44.8893737792969
"2017-03-10T10:32:08Z", Magnetometer (corrected for device), Estimated Accuracy, High, High
"2017-03-10T10:32:08Z", Attitude, Roll, -2.23140995587894, -2.23140995587894
"2017-03-10T10:32:08Z", Attitude, Yaw, -0.6822724646823151, -0.682272464682315
"2017-03-10T10:32:08Z", Attitude, Pitch, -0.3918044264894501, -0.39180442648945
"2017-03-10T10:32:08Z", Attitude, Quarternion w, -0.4647869202391111, -0.464786920239111
"2017-03-10T10:32:08Z", Attitude, Quarternion x, 0.3753868098244328, 0.375386809824433
"2017-03-10T10:32:08Z", Attitude, Quarternion y, 0.8016461823903304, 0.80164618239033
"2017-03-10T10:32:08Z", Attitude, Quarternion z, -0.02052462042290501, -0.020524620422905
"2017-03-10T10:32:08Z", Gyrometer (smooth), x, 0.1549578011035919, 0.154957801103592
"2017-03-10T10:32:08Z", Gyrometer (smooth), y, -0.7734929919242859, -0.773492991924286
"2017-03-10T10:32:08Z", Gyrometer (smooth), z, 0.0881090983748436, 0.0881090983748436
"2017-03-10T10:32:08Z", Acceleration (via Gravity), x, -0.7297799587249756, -0.729779958724976
"2017-03-10T10:32:08Z", Acceleration (via Gravity), y, 0.3818567395210266, 0.381856739521027
"2017-03-10T10:32:08Z", Acceleration (via Gravity), z, 0.5671037435531616, 0.567103743553162
"2017-03-10T10:32:08Z", Acceleration (total), x, -0.6404723972082138, -0.640472397208214
"2017-03-10T10:32:08Z", Acceleration (total), y, 0.5537414699792862, 0.553741469979286
"2017-03-10T10:32:08Z", Acceleration (total), z, 0.4934997856616974, 0.493499785661697
"2017-03-10T10:32:08Z", Acceleration (via User), x, 0.08930756151676178, 0.0893075615167618
"2017-03-10T10:32:08Z", Acceleration (via User), y, 0.1718847304582596, 0.17188473045826
"2017-03-10T10:32:08Z", Acceleration (via User), z, -0.07360395789146423, -0.0736039578914642
"2017-03-10T10:32:08Z", Altimeter (Barometer), Relative Altitude, -0.242744445800781 Meters, -0.2427444458007812
"2017-03-10T10:32:08Z", Altimeter (Barometer), Pressure, 100.588722229004 kPa, 100.5887222290039
"2017-03-10T10:32:08Z", Magnetometer (raw), x, 63.58038330078125, 63.5803833007812
"2017-03-10T10:32:08Z", Magnetometer (raw), y, -19.6163330078125, -19.6163330078125
