Building Name,Building Address,Postal Code,Floor Area,Property Type - Self Selected,2011 ENERGY STAR Score,2011 Site EUI (kBtu/ft2),2011 Source EUI (kBtu/ft2),2011 Weather Normalized Site EUI (kBtu/ft2),2011 Weather Normalized Source EUI (kBtu/ft2),2012 ENERGY STAR Score,2012 Site EUI (kBtu/ft2),2012 Source EUI (kBtu/ft2),2012 Weather Normalized Site EUI (kBtu/ft2),2012 Weather Normalized Source EUI (kBtu/sq.ft),2013 ENERGY STAR Score,2013 Site EUI (kBtu/ft2),2013 Source EUI (kBtu/ft2),2013 Weather Normalized Site EUI (kBtu/ft2),2013 Weather Normalized Source EUI (kBtu/ft2),2014 ENERGY STAR Score,2014 Site EUI (kBtu/ft2),2014 Source EUI (kBtu/ft2),2014 Weather Normalized Site EUI (kBtu/ft2),2014 Weather Normalized Source EUI (kBtu/ft2),2015 ENERGY STAR Score,2015 Site EUI (kBtu/ft2),2015 Source EUI (kBtu/ft2),2015 Weather Normalized Site EUI (kBtu/ft2),2015 Weather Normalized Source EUI (kBtu/ft2)
200 JENNINGS ST,200 JENNINGS ST,94124,43416,,,,,,,,,,,,,,,,,,,,,,,,,,
220 MCALLISTER ST,220 MCALLISTER ST,94102,23262,,,,,,,,,,,,,,,,,,,,,,,,,,
966 MARKET ST,966 MARKET ST,94102,20636,,,,,,,,,,,,,,,,,,,,,,,,,,
660 York,2700 19TH ST,94110,21323,Office,,,,,,,,,,,,19.5,61.4,19.5,61.4,,19.9,62.3,19.9,62.3,,22.1,69.5,22.1,69.5
Pier 26,26 Pier The Embarcadero,94105,123133,Non-Refrigerated Warehouse,99,2.6,8.3,2.6,8.3,90,6.9,19.4,,,97,4.9,12.1,,,98,4.4,10.3,,,99,3.8,9.4,,
1117-1119 Market Street,1115 MARKET ST,94103,21500,Other,,,,,,,,,,,,19.4,50.5,18.6,49.6,,11.5,32.8,11.5,32.8,,18.2,51.4,18.2,51.4
2748 MISSION ST,2748 MISSION ST,94110,10709,,,,,,,,,,,,,,,,,,,,,,,,,,
350 Sansome,350 SANSOME ST,94104,116050,Office,78,64.3,,63.6,,76,70.2,162.9,68.5,161.1,,74.8,154.9,75.1,155.2,,63.6,138.6,69.5,144.7,,53.9,128.4,55.6,129.7
3003 3rd Street,3003 3RD ST,94124,46000,Office,,,,,,99,12.1,40.5,12.1,40.5,99,11.5,36.1,11.3,35.6,99,11.8,37,11.8,37,98,13.1,41.1,13.1,41.1
240 Stockton,234 STOCKTON ST,94108,48934,Office,,,,,,94,40,98.9,40,98.9,94,38.2,97.2,38.2,97.3,53,66,194,66.9,195.2,54,65,185.4,66,186.5
