Building Name,Building Address,Postal Code,Floor Area,Property Type - Self Selected,2011 ENERGY STAR Score,2011 Site EUI (kBtu/ft2),2011 Source EUI (kBtu/ft2),2011 Weather Normalized Site EUI (kBtu/ft2),2011 Weather Normalized Source EUI (kBtu/ft2),2012 ENERGY STAR Score,2012 Site EUI (kBtu/ft2),2012 Source EUI (kBtu/ft2),2012 Weather Normalized Site EUI (kBtu/ft2),2012 Weather Normalized Source EUI (kBtu/sq.ft),2013 ENERGY STAR Score,2013 Site EUI (kBtu/ft2),2013 Source EUI (kBtu/ft2),2013 Weather Normalized Site EUI (kBtu/ft2),2013 Weather Normalized Source EUI (kBtu/ft2),2014 ENERGY STAR Score,2014 Site EUI (kBtu/ft2),2014 Source EUI (kBtu/ft2),2014 Weather Normalized Site EUI (kBtu/ft2),2014 Weather Normalized Source EUI (kBtu/ft2),2015 ENERGY STAR Score,2015 Site EUI (kBtu/ft2),2015 Source EUI (kBtu/ft2),2015 Weather Normalized Site EUI (kBtu/ft2),2015 Weather Normalized Source EUI (kBtu/ft2)
311 California,311 CALIFORNIA ST,94104,89927,Office,87,37.1,,37.1,,1,22169.8,26727,21843.4,26334.4,1,21570.1,26005.4,21687.4,26146.6,71,41.1,101.7,44.3,105.6,72,42.7,102.5,44.7,104.8
5050 MISSION ST,5050 MISSION ST,94112,27657,,,,,,,,,,,,,,,,,,,,,,,,,,
48 Stockton,48 STOCKTON ST,94108,64287,Retail Store,76,47.8,,47.8,,74,49.4,155.2,49.4,155.2,75,48,150.8,48,150.8,73,48.3,151.7,48.3,151.7,78,45,141.4,45,141.4
216 POST ST,216 POST ST,94108,38400,,,,,,,,,,,,,,,,,,,,,,,,,,
Opal Hotel,1050 VAN NESS AVE,94109,93500,Hotel,,,,,,55,71,121.4,71.4,122.8,52,69.8,115.2,69.8,115,49,69.1,113.2,68.7,112.1,84,68.3,109.6,68.3,109.6
201 POST ST,201 POST ST,94108,96776,Office,,,,,,91,40.9,117.7,40.6,117.4,90,40.3,122.5,40.4,122.6,91,36.8,114.6,37,114.8,92,38.2,113.8,38.2,112.8
None,20 COSMO PL,94109,16395,Restaurant,,,,,,,,,,,,204.9,328.1,205.2,328.5,,189.7,313.9,193.3,317.8,,178.3,298.9,178.3,298.9
201 GOLDEN GATE AVE,201 GOLDEN GATE AVE,94102,38795,Office,,,,,,96,31.3,59.6,29.3,57.2,94,36.3,65.7,33.4,62.3,96,25.7,53.9,32.2,61.7,94,33.2,63.1,36.3,66.9
150 Hayes Street,150 HAYES ST,94102,136297,Office,,,,,,4,302,630.4,321.9,693.1,13,186.1,367.8,186.1,367.8,13,178,359.5,186.1,368.1,25,157.6,331.3,157.6,331.3
None,160 SPEAR ST,94105,327412,Office,86,71.1,,68.4,,89,65.1,160,65.6,161.9,91,59.5,139.1,59.5,139.1,93,54.9,128.7,55.7,129.6,91,56.7,137.2,56.7,137.2
735 MARKET ST,735 MARKET ST,94103,59300,,,,,,,,,,,,,,,,,,,,,,,,,,
Temple United Methodist Church,1111 JUNIPERO SERRA BLVD,94132,30000,Worship Facility,,,,,,82,29.5,65.1,28,63.5,89,25.9,52.2,23.9,50.1,97,16.7,34.7,19.5,37.6,97,16.6,33.8,17.5,34.8
624 VALLEJO ST,624 VALLEJO ST,94133,17684,,,,,,,,,,,,,,,,,,,,,,,,,,
211 Jefferson St,2739 TAYLOR ST,94133,40052,Retail Store,,,,,,43,35.2,117.5,35.2,117.5,,,,,,,,,,,40,66.3,172.6,65.8,171.1
Sentinel Building,141 COLUMBUS AVE,94133,11000,Office,,,,,,,,,,,2,231.6,388.2,231.6,388.2,2,223.6,374.1,223.6,374.1,3,213.9,365.5,217.6,369.3
2300 Harrison Street,3101 19TH ST,94110,68538,Office,82,80.1,,79.9,,82,80.1,197.3,79.3,196.5,82,80.8,187.6,80.1,188.1,,58.4,136.6,58.4,136.6,84,71.1,161.3,69.6,156.7
303 Second Street,303 2ND ST,94105,998592,Office,85,54.8,159.6,54.7,159.5,86,53.9,156.1,53.7,155.8,86,54,155.7,54,155.7,90,53.1,153.6,53,152.1,94,48.5,144.2,48.8,144.5
Byer California - 1320 Byrant St.,1320 BRYANT ST,94103,63971,Non-Refrigerated Warehouse,,25.8,,24.5,,,27.9,60.4,27.9,60.4,64,25,47.9,25,47.9,50,24.6,47.3,24.6,47.3,70,15.2,38,15.2,38
1850 MISSION ST,1850 MISSION ST,94103,23247,Vocational School,,,,,,,,,,,,31.2,80.8,30.3,80.3,,28.9,79.8,30.6,79.9,,30.2,82.5,30.7,82.1
Independent Electric Supply,1575 BURKE AVE,94124,36480,Distribution Center,,,,,,84,14.7,49.2,14.7,49.2,64,15.5,45.6,15.5,45.6,62,14.6,44.2,14.6,44.2,66,14.2,42.8,14.4,43.1
115 Sansome Street,200 BUSH ST,94104,135805,Office,97,36.3,,34.6,,,,,,,98,35.3,78.8,35.6,79.1,99,31.3,68,34.4,71.8,99,33.4,76.7,35.2,78.8
500 Treat,3175 18TH ST,94110,41434,Office,,,,,,81,57.9,143.3,57.3,144.5,75,67,159,63.9,155.6,75,52.8,137.4,52.8,137.4,88,48.6,121.3,51,123.9
500 2ND ST,500 2ND ST,94107,15120,Office,,,,,,,,,,,,,,,,,,,,,95,26.3,82.6,26.6,83.4
Westlake MOB,909 MONTGOMERY ST,94133,98913,Office,56,66.8,,65.1,,61,62.7,205.4,62.8,205.5,79,50.1,153.1,50.1,153.1,77,51.1,154.7,50.6,152.8,77,53.2,157.7,52.9,156.7
1405 MINNESOTA ST,1405 MINNESOTA ST,94107,14500,Office,,,,,,,,,,,,,,,,,,,,,99,24,59,26,61.1
2650 18TH ST,2650 18TH ST,94110,51561,,,,,,,,,,,,,13.7,35.4,13.1,34.8,,11.9,31.2,12.7,33.7,,,,,
1215 FELL ST,1215 FELL ST,94117,18424,,,,,,,,,,,,,,,,,,,,,,,,,,
790 ELLIS ST,790 ELLIS ST,94109,19487,,,,,,,,,,,,65,106,159.3,106.1,159.6,68,100.7,149.7,101.9,153.3,,,,,
1453 MISSION ST,1453 MISSION ST,94103,83000,,,,,,,,,,,,,,,,,,,,,,,,,,
425 California Street,425 CALIFORNIA ST,94104,211344,Office,89,62.1,,62.1,,88,61.7,160.7,61.1,160,89,57.8,145.1,57.9,145.2,90,54.1,138.6,55,139.7,91,54,135.8,54.8,135.9
1900 19TH AVE,1900 19TH AVE,94116,23872,,,,,,,,,,,,,,,,,,,,,,,,,,
100 Broadway,100 BROADWAY,94111,24000,,,,,,,,,,,,,8.4,19.5,8.4,19.5,,,,,,,,,,
Orpheum Theater,1182 MARKET ST,94102,62534,Office,,31677.4,,31677.4,,,32619,39569.5,30710.9,37260.7,,69.1,165.3,66.2,161.8,,65.1,158.4,65.1,158.4,,83.4,202.4,83.4,202.4
2707 PINE ST,2707 PINE ST,94115,46545,Senior Care Community,,,,,,,,,,,94,118.8,177.2,,,88,127.1,192.9,139.3,205.7,87,130.5,198.8,135.1,203.7
1370-1380 Marin St,1320 MARIN ST,94124,30000,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan Center West Mall,1737 Post Street,94115,44309,Other,,,,,,,,,,,,309.8,656.3,308.7,660.2,,285.2,631.9,288.4,625.4,,286.7,634.9,285.7,632
"Jessica McClintock, INC.",1400 16TH ST,94103,100000,,75,11.3,,11,,,,,,,,,,,,,,,,,,,,,
1275 Fairfax Avenue,1275 FAIRFAX AVE,94124,34320,Office,,,,,,,28.1,93.7,28.1,93.7,,27.9,87.5,27.9,87.5,,,,,,,10.7,33.6,10.7,33.6
Kanbar Performing Arts Center,44 PAGE ST,94102,36518,,,,,,,,30.5,65.7,28.2,63.2,,,,,,,,,,,,,,,
333 SCHWERIN ST,333 SCHWERIN ST,94134,274000,Distribution Center,45,26.5,74.2,26.5,74.2,44,26.6,74.2,26.6,74.2,42,27.2,76.1,27.2,76.1,31,29.2,82.2,29.2,82.2,36,29,78.8,29,78.8
Hotel Del Sol,3100 WEBSTER ST,94123,30598,Hotel,,,,,,63,88.1,124.6,88,124.1,35,101.4,154.3,101.4,154.3,31,99.7,153.4,99.7,153.4,33,100.9,155.8,101.3,157.2
Stock Exchange Tower,155 SANSOME ST,94104,72168,,,34.2,,34.9,,,37.1,124,37.1,124,,,,,,,,,,,,,,,
Concordia Argonaut - 1142 Van Ness,1142 VAN NESS AVE,94109,50540,Fitness Center/Health Club/Gym,,155.7,,149.9,,,150.2,270.8,150,271.2,,,,,,,,,,,,98.9,182.2,98.1,181.3
340 Townsend St.,340 TOWNSEND ST,94107,110000,Office,,110.1,,110.1,,,110.1,367.7,110.1,367.7,,114.2,358.5,114.2,358.5,,117.7,369.6,117.7,369.6,,110.7,347.7,110.7,347.7
530 KEARNY ST,550 KEARNY ST,94111,237905,Office,,,,,,,,,,,94,49.4,112.5,49.4,112.5,93,49,112.8,50.5,114.4,96,40.3,101.6,40,100.8
PR III 255 California LLC,255 CALIFORNIA ST,94111,201531,Office,79,61.4,,61.4,,84,58.3,158.1,57.8,158,85,58.3,149.4,58.5,149.6,85,53.4,138.2,55.8,141.2,89,50.6,132.6,51.9,134.2
Grant & Geary,77 Geary,94108,120971,Office,,,,,,97,30,89.6,30,89.6,97,28.7,87.4,28.7,87.5,94,32.1,99.5,32.1,99.5,91,38,113.5,38,113.5
1600 DONNER AVE,1600 DONNER AVE,94124,135328,Refrigerated Warehouse,13,75.6,,75.6,,,,,,,,,,,,60,36.5,114.5,33.8,106.1,44,44.3,139.1,44.3,139.1
141 INDUSTRIAL ST,141 INDUSTRIAL ST,94124,13000,,,,,,,,,,,,,,,,,,,,,,,,,,
"701 Chestnut Street, LLC",2295 TAYLOR ST,94133,10440,College/University,,,,,,,,,,,,131.5,238.9,133,240.5,,94.8,185,116.3,207.6,,55.2,117.1,59.6,121.6
100 First Plaza,100 1ST ST,94105,506544,Office,92,43,,43,,91,44.3,146.6,44.3,146.6,90,45.9,142.9,45.9,142.9,92,41.2,128.3,41.2,128.3,90,42.3,129.2,42.3,129.2
456 Montgomery,456 MONTGOMERY ST,94104,270099,Office,95,32.7,,32.7,,92,35.6,119,35.9,119.9,92,43.6,114.9,43.7,115,94,37.1,104.3,38.5,106,95,40.1,110.3,40.8,110.5
SAN FRANCISCO TOYOTA SERVICE DEPT.,4041 GEARY BLVD,94118,22846,Automobile Dealership,,,,,,,,,,,,42.1,110.4,40.6,108.9,,38.5,109.5,41.1,112.3,,37.8,111.2,38.4,111.8
SOMA Self Storage,1475 MISSION ST,94103,195000,Self-Storage Facility,,5.8,,6.1,,,5.4,17.9,5.4,17.9,,5.8,18.4,5.8,18.4,,6.5,20.3,6.2,19.3,,6.3,19.7,6.1,19.1
Ban-Jackson,244 JACKSON ST,94111,30229,Office,,,,,,75,35.7,105.6,34.8,104.7,83,43.9,106.1,43.9,106.1,78,45.9,111.4,45.9,111.4,78,48.1,112.9,47.8,111.9
2130 FULTON ST,2130 FULTON ST,94117,1022782,,,,,,,,,,,,,,,,,,,,,,,,,,
San Francisco Service Center-Vehicle Maintenance Building 348802_7494,2225 FOLSOM ST,94110,31413,,,,,,,,,,,,,,,,,,258.5,497.5,320.2,562.2,,,,,
667 FOLSOM ST,667 FOLSOM ST,94107,17727,,,,,,,,,,,,,30.1,65.6,30.5,66.1,,,,,,,,,,
The Bently Reserve,325 BATTERY ST,94111,197000,Office,89,65.1,,63.3,,84,75.1,164.3,73.4,163.2,87,67.6,154.9,67.9,155,87,66.6,153.4,70.9,157.9,91,58.7,140.7,60.4,142.6
Galen Building,391 SUTTER ST,94108,32421,,,,,,,,102.6,200.3,101,198.7,85,77,171.7,77.4,172.1,,,,,,,,,,
444 Spear LLC,444 SPEAR ST,94105,49917,Office,,,,,,84,40.6,134.3,40.6,134.3,84,38.8,117.9,38.8,117.9,85,37.2,111.9,38.1,112.9,89,34.1,104.5,34.1,104.5
Davinci villa,2550 VAN NESS AVE,94109,56598,Hotel,95,36,,38.7,,84,30.5,95.6,30.5,95.6,40,84.8,149.9,84.8,149.9,14,116.7,187.5,116.7,187.5,15,118.6,191,119.8,191.5
725 GRANT AVE,725 GRANT AVE,94108,16131,,,,,,,,,,,,,,,,,,,,,,,,,,
225 Bush Street,225 BUSH ST,94104,666418,Office,90,57.5,,53.7,,86,63.2,138.6,64.1,143.1,78,70.3,147.7,70.5,147.9,76,69.7,152.1,72.3,155.2,78,67.8,150.1,69.1,151.1
140 7TH ST,140 7TH ST,94103,37630,Hotel,,,,,,4,88.9,147.1,87.7,148.1,6,80.2,137.4,75.9,131.7,2,79.1,146.5,87.3,155.1,4,71.6,134.4,74.5,137.5
471 PINE ST,471 PINE ST,94104,12760,,,,,,,,,,,,98,15.4,48.4,15.3,48,97,15.9,49.8,17.3,54.4,,,,,
Digital Garage Development,717 MARKET ST,94103,81406,,,,,,,92,47.8,120.9,47.8,120.9,90,54.9,131.1,,,74,75.5,171,73.9,166.1,,,,,
165 OFARRELL ST,165 OFARRELL ST,94102,23925,,,,,,,,,,,,,,,,,,,,,,,,,,
819 ELLIS ST,819 ELLIS ST,94109,20354,,,,,,,,,,,,,,,,,,,,,,,,,,
67 5TH ST,67 5TH ST,94103,66700,,,,,,,,,,,,,,,,,,,,,,,,,,
Meals on Wheels,1375 FAIRFAX AVE,94124,20000,,,,,,,,,,,,,87.2,180.1,83.6,176.8,,87.1,187.1,89.6,187.4,,,,,
188 Spear St.,188 Spear St.,94105,214898,Office,,,,,,,,,,,93,46.7,114.8,46.3,113.4,91,51.3,126.5,51.3,126.5,91,55.7,143.3,55.7,143.3
"601 Brannan Street, LLC",601 Brannan St,94107,73666,College/University,,82.1,,82.1,,,82.3,234.9,81.8,234.4,,85.8,226.2,85.9,226.3,,90.8,242.6,91.7,243.6,,94.6,244.3,94.6,244.3
Hotel Abri,119 ELLIS ST,94102,65892,Hotel,,,,,,7,102,221.2,99.4,214.9,39,102.5,209.9,104.5,216.3,27,104.2,223.2,101.1,213.6,44,94.1,194.2,92.9,190.3
160 Folsom,160 FOLSOM ST,94105,11567,,,,,,,,,,,,,,,,,,,,,,,,,,
133 KEARNY ST,133 KEARNY ST,94108,24759,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel Rex,562 SUTTER ST,94108,41272,Hotel,,,,,,,,,,,59,107,182.7,104.3,181.2,70,100.6,177,105,179,72,100.6,175.3,102.1,175.8
940 BATTERY ST,940 BATTERY ST,94111,21720,,,,,,,,,,,,,,,,,,,,,,,,,,
3743 MISSION ST,3743 MISSION ST,94110,15000,Mixed Use Property,,,,,,,,,,,,32.4,66,32.4,65.9,,29.5,61.1,29.1,59.7,,29.9,62.4,29.8,61.8
3001 19TH ST,3001 19TH ST,94110,16800,,,,,,,,,,,,98,31,56.5,27.9,52.5,96,32.5,65.2,38.7,71.7,,,,,
201 Mission Street,201 MISSION ST,94105,609818,Office,86,58.4,,56.3,,86,60.9,166.8,60.9,166.8,90,49.9,139.5,50,139.6,92,43.4,126.4,45,128.2,93,39.4,117,39.7,117.3
FYCC,434 ELLIS ST,94102,11500,,,,,,,,,,,,80,33.1,88.8,32.4,88.1,86,27.6,77.1,29.2,78.7,,,,,
729 Sansome Street,705 SANSOME ST,94133,14400,Office,,,,,,,,,,,90,27.7,77,27.7,77,72,37,104.1,37,104.1,68,40,111.9,40,111.9
275 Post,275 POST ST,94108,13081,Office,,,,,,,,,,,7,106.6,240.5,106.6,240.5,23,80,175.7,84.4,180.3,35,72.2,156.1,76.6,160.7
217 SANSOME ST,217 SANSOME ST,94104,10588,,,,,,,,,,,,,,,,,,,,,,,,,,
4610 MISSION ST,4610 MISSION ST,94112,27750,Office,,,,,,,,,,,16,96.5,275.8,96.5,275.8,18,91.1,260.5,91.1,260.5,20,92.4,255.2,93.3,254.4
2253 SHAFTER AVE,2253 SHAFTER AVE,94124,10474,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyatt Fisherman's Wharf,555 NORTH POINT ST,94133,283765,Hotel,57,70.1,,70.6,,61,66.9,161.5,67.7,164,19,98.3,224.8,98.3,224.8,45,74.7,173.1,74.4,172.2,50,71.8,168.8,71.5,168
St. Francis Memorial Hospital - 900 Hyde Street,900 HYDE ST,94109,446031,Hospital (General Medical & Surgical),73,177.7,343.5,176.2,343.3,72,177.5,343.3,176.2,343.4,70,179.1,350.1,179.1,349.1,73,169.2,344.3,175.8,351.3,66,179.4,360.4,182,361.3
Pier 19,19 Pier,94111,97641,Non-Refrigerated Warehouse,71,8.2,25.7,8.2,25.7,82,6.4,20,6.4,20,91,4.8,15,4.8,15,98,2.6,8.3,2.6,8.3,99,2.3,7.1,2.3,7.1
545 Sutter St.,535 SUTTER ST,94102,19786,Office,,,,,,,,,,,,14.6,41.2,14.6,41.2,,14.5,39.4,14.9,39.8,,16,41.3,16.5,41.9
Nineteenth Avenue Self-Storage,4050 19TH AVE,94132,31000,,,,,,,68,11.4,38,11.6,38.8,70,11.2,35.1,11.5,36.3,71,11.8,37.1,11.2,35.1,,,,,
PSAI - 251 Rhode Island Street,251 RHODE ISLAND ST,94103,79809,Office,,,,,,87,45.6,120.1,45.6,120.1,87,45.4,120,45.4,120,,43.5,113.5,43.5,113.5,88,39.8,103,39.8,103
1500 Howard Street,1500 HOWARD ST,94103,29221,Adult Education,,,,,,,,,,,99,16.1,50.5,16.6,52.2,99,17,53.5,16.1,50.6,,25.3,60.6,25.6,59.7
3855 GEARY BLVD,3855 GEARY BLVD,94118,21500,Retail Store,,,,,,,,,,,99,26.7,48.9,23.6,45.7,99,20.6,41.7,20.6,41.7,99,22.4,41.6,24.6,43.8
Ninth Street,271 9TH ST,94103,18050,Office,,,,,,,,,,,,,,,,100,20.6,48.9,24.3,52.8,99,17.5,42.3,,
1501 Vermont,1501 VERMONT ST,94107,12000,Office,,,,,,,,,,,,28.4,73.5,28.2,73.2,,29.2,73.5,32.3,75.5,,37,93.1,38.2,94.3
1819 Egbert Ave,1819 Egbert Ave,94124,27440,Non-Refrigerated Warehouse,,,,,,62,6.9,21.8,6.9,21.8,68,6.2,19.4,6.2,19.4,57,6.4,20.2,6.4,20.2,68,5.6,17.7,5.6,17.7
2488 MISSION ST,2488 MISSION ST,94110,10388,,,,,,,,,,,,,,,,,,,,,,,,,,
Laurel Medical Building,3490 SACRAMENTO ST,94118,15000,Medical Office,,,,,,,,,,,57,48,131.6,47.5,131,46,51.2,144.1,52.3,145.2,37,56.2,156.4,56.7,156.9
Diamond Heights Shopping Center - Building B2,5290 DIAMOND HEIGHTS BLVD,94131,10728,Mixed Use Property,,,,,,,,,,,,50.8,153.4,50.1,152.7,,50.7,155,51.4,155.7,,48.9,149.6,49.1,149.8
Art Institute of California,1170 MARKET ST,94102,43060,College/University,,,,,,,68.5,88.4,65.7,85.5,,126.6,272.5,122.7,268.5,,126.8,268.8,128.2,265.7,,105.4,220.9,105.4,220.9
565 COMMERCIAL ST,565 COMMERCIAL ST,94111,28840,Office,,,,,,,18.4,43.7,18.4,43.7,,26,60.7,26.2,60.9,,23.5,62,25,63.7,,22.3,56.7,23.3,57.8
200 KANSAS ST,200 KANSAS ST,94103,90637,Office,98,18.2,,18.2,,,,,,,,,,,,99,14.8,45.1,14.8,45.1,87,28.8,90.3,28.8,90.3
1019 Market Street,1019 MARKET ST,94103,75523,Office,,,,,,,,,,,,,,,,,25,76,21,62,87,43.1,131.4,43.4,131.7
Showplace Square West,550 15TH ST,94103,72180,,,,,,,,,,,,,,,,,,,,,,,,,,
765 MORSE ST,5655 Mission St,94112,15444,Worship Facility,,,,,,,,,,,83,39.2,76,37.1,73.9,80,34.6,76.2,39,80.8,89,37,80.2,39.1,82.5
400 NORTH POINT ST,400 NORTH POINT ST,94133,51656,Social/Meeting Hall,,,,,,,,,,,,46.7,88.1,47.3,88.9,,34,70.9,40.5,81,,38.9,78.2,41.8,82.6
2020 Van Ness Ave,2020 VAN NESS AVE,94109,27948,Other - Services,,,,,,,15.7,52.4,13.3,44.5,,15.3,48.2,15.3,48.2,,14.7,46.1,14.7,46.1,,15.1,47.4,15.1,47.4
750 Battery St. Building,750 BATTERY ST,94111,124372,Office,60,71.5,176.8,71,177.3,63,70,170.9,70.9,174.3,66,68.1,163.7,68.1,163.6,66,64.9,159.4,64.8,157,64,64.7,168.1,63.3,163.6
77 Battery Street,77 BATTERY ST,94104,20500,Office,,,,,,,,,,,42,80.5,216.9,80.8,217.1,51,67.6,193.9,69.9,196.3,53,71,190.6,73.2,192.9
875 OFARRELL ST,875 OFARRELL ST,94109,13402,Other - Services,,,,,,,,,,,,11.6,34.9,,,,12.4,37.8,12.4,37.8,,13,40.1,13.1,40.1
600 Harrison,600 HARRISON ST,94107,295114,Office,54,118.3,,118.8,,85,84.3,245.4,84.7,247.3,83,85.1,233.5,84.5,231.7,85,80.3,226.5,80.8,225,95,61.2,167,62,167.9
2 Bryant Street,2 BRYANT ST,94105,59445,Office,69,93.3,,93.3,,89,46.1,143.9,45.6,143.4,,,,,,96,28.1,82.4,29,83.3,95,28.4,89,28.4,89
350 8TH ST,350 8TH ST,94103,22834,,,,,,,,,,,,,,,,,,,,,,,,,,
1563 MISSION ST,1563 MISSION ST,94103,40600,,,,,,,,,,,,,,,,,,,,,,,,,,
747 Front Street,101 BROADWAY,94111,71775,Office,84,42.8,,41.6,,80,45,128.5,44.1,127.6,85,35.5,109.2,35.5,109.2,89,31.7,97.3,31.7,97.3,82,46.8,114.7,48.3,116.3
900 BATTERY ST,900 BATTERY ST,94111,71772,,,,,,,,,,,,,,,,,,,,,,,,,,
3450 3RD ST #2 B,3450 3RD ST #2 B,94124,10837,,,,,,,,,,,,,,,,,,,,,,,,,,
CA SF NO 1 LP,601 MARKET ST,94105,58822,,80,66.3,,60.9,,85,59.6,129.2,58.4,128,80,56.4,129.6,56.8,129.9,88,45.1,109.9,49.4,114.4,,,,,
101 Montgomery Street Building,101 MONTGOMERY ST,94104,332000,Office,91,61.2,,61.2,,90,66.3,148.3,65,146.9,88,66,154.7,66.2,154.9,87,66.2,154.2,68.6,156.7,90,61.6,146.9,62.6,148
Grant Building,2200 BROADWAY,94123,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750 19TH ST,2750 19TH ST,94110,10934,Manufacturing/Industrial Plant,,,,,,,,,,,,18.2,39.8,16.8,38.4,,14,34.9,14,34.9,,19.6,41.2,21.8,43.6
451,451 JACKSON ST,94111,13500,,,,,,,,,,,,,,,,,,,,,,,,,,
71428B (UNION SQUARE B),120 STOCKTON ST,94108,247617,Retail Store,82,41.1,,41.1,,80,44.6,140.6,44.4,140.4,78,46.5,135.5,46.6,135.7,79,41.9,128.1,42.5,128.8,81,40.5,124.9,40.5,124.9
992 PERALTA AVE,992 PERALTA AVE,94110,10678,,,,,,,,,,,,,,,,,,,,,,,,,,
777 TENNESSEE ST,777 TENNESSEE ST,94107,11424,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,34 ELLIS ST,94102,17800,Retail Store,,,,,,,,,,,51,42.6,133.7,43.3,136,42,44.3,139,42.6,133.8,47,42.6,133.8,41.9,131.4
660 Market Street,660 MARKET ST,94104,36961,,,,,,,,,,,,,,,,,,,,,,,,,,
Townsend Enterprises LP,350 TOWNSEND ST,94107,64000,Office,100,16.2,,15.8,,100,16,44.7,16.2,45.5,100,21.3,52.6,21.1,52,,14.8,46.5,14.1,44.2,100,17.4,54.5,16.8,52.9
Bayview Plaza - Buildings B&C,3801 3RD ST,94124,83296,Mixed Use Property,,,,,,,50.3,102.1,50.3,102.1,,,,,,,72.5,154.4,72.5,154.4,,74.6,159,74.6,159
201 Filbert,201 FILBERT ST,94133,44050,Office,,,,,,52,67.9,175.6,67.5,175.1,53,65.6,160.7,65.7,160.8,51,64.5,160.4,65.2,159.3,49,68.3,166.2,68.5,165.1
50 Fremont Center,50 FREMONT ST,94105,955092,Office,94,49.8,,49.8,,96,40.6,113.3,42,119.5,96,39.2,105.2,39.3,105.3,94,40.3,113.7,41.6,115.1,93,44.9,125.1,45.8,126.1
3201 California Street,3201 CALIFORNIA ST,94118,37000,Bank Branch,,,,,,81,100.1,256.3,98.6,254.7,81,101.6,256.7,100.8,255.7,,96.9,254.3,97.6,250.9,42,92.9,246.9,93.8,247.8
American Conservatory Theater,415 GEARY ST,94102,66282,Performing Arts,,48,,48,,,45,129,45,129,,46.7,130.4,46.7,130.4,,43.5,126.3,43.5,126.3,,42.7,124.5,43.1,124.9
550 Terry Francois,550 Terry Francois Street,94107,313575,Office,90,61.8,,61.8,,83,63.3,181.1,62.3,180,86,63.3,170.4,62.8,171.8,86,60.8,167.5,61.2,164.8,82,66.7,181.4,66.8,180
2045 EVANS AVE,2045 EVANS AVE,94124,75014,Non-Refrigerated Warehouse,50,103.1,,103.1,,,,,,,,118.3,371.6,118.3,371.6,,135,423.9,135,423.9,1,113.5,356.1,113.5,356.1
Blackboard Inc,40 GOLD ST,94133,18863,Office,,,,,,,,,,,61,90.3,208,90.5,208.3,73,68.9,173.9,72.4,177.6,94,44.1,110.9,44.1,110.9
46 GEARY ST,46 GEARY ST,94108,19327,,,,,,,,,,,,,,,,,,,,,,,,,,
Bayshore Center II,353 BAY SHORE BLVD,94124,28484,Supermarket/Grocery Store,,,,,,,145.5,386.5,143.7,384.5,,148.3,390.7,145.1,387.3,,114.7,357,115.4,357.8,,162,420.4,162,420.4
400 Montgomery,400 MONTGOMERY ST,94104,84602,Office,78,62.7,,62.7,,83,61,132.8,57.9,129.2,82,62.4,129.4,62.7,129.8,85,56.8,121.5,61.8,126.7,87,51.4,117.7,53.7,120.2
1930 MARKET ST,1930 MARKET ST,94102,16203,Medical Office,,,,,,,,,,,66,40.2,122,39.8,121.6,57,43.7,132.1,43.7,132.1,62,40.6,123.6,40.9,123.9
55 Francisco St.,55 Francisco St.,94133,252253,Office,,,,,,,,,,,73,94.6,207.2,94.7,207,87,68.7,164.6,68.7,164.6,88,72.8,165.5,73.9,165.9
"Terra Verde - Chancery Building, Chelsea Pacific",562 MARKET ST,94104,65000,Office,,34.1,,35,,,48.4,161.7,48.8,162.9,67,85.5,172.3,85.8,172.6,67,76.2,161.8,79.8,165.6,70,73.6,157.9,76.4,160.8
149 2ND ST,149 2ND ST,94105,19962,,,,,,,,,,,,,,,,,,,,,,,,,,
Hobart Building,582 MARKET ST,94104,106052,Office,95,57,,56.6,,94,62.7,120.6,60.9,118.7,92,67.3,119.9,67.6,120.2,94,56.4,108.8,60.5,113.1,93,63.4,114.1,66.9,117.7
Charles Dunn - 720 California Street,720 CALIFORNIA ST,94108,92065,Office,79,91.6,,91.6,,77,96,246,95,245,83,78.6,201.2,78.9,201.6,86,74.6,186.6,79.5,191.7,85,79.7,194.9,81.2,195.6
1 Harrison,1 HARRISON ST,94105,203456,Office,92,52.5,141.5,51.8,140.8,96,50.2,141.4,49.8,140.9,94,48,132.3,48.2,132.4,92,48.5,138.3,50,139.9,95,50,138.4,50.6,139
144 Second Street,144 2ND ST,94105,24564,Office,,,,,,,,,,,58,101.9,178.1,102.2,178.5,51,95.9,188,96.9,183.2,34,120.9,230.9,123.3,229.8
607 FRONT ST,607 FRONT ST,94111,15763,Office,,,,,,,,,,,,,,,,68,44.7,97.7,54,107.5,73,43.3,93.5,46.6,97.1
1245 SOUTH VAN NESS AVE,1245 SOUTH VAN NESS AVE,94110,30653,,,,,,,,,,,,,,,,,,,,,,,,,,
Stevenson Place,71 STEVENSON ST,94105,350084,Office,88,67.5,,67.5,,90,62,164.6,61.6,164.2,92,58.7,145.2,58.9,145.3,92,55.8,141.8,57.1,143.2,94,55.1,141.9,55.5,141.8
660 Third,660 3RD ST,94107,108000,Office,98,33.7,,33.7,,96,32.6,104.4,32.4,104.2,95,32.3,98.1,32.3,98,95,32,98.7,31.6,96.9,96,32,97.3,31.7,96.1
