"company","position","salary","worklife","compensation","jobsecurity","management","culture"
"Accenture","Business Analyst",75386,"3.7","3.6","3.8","3.6","3.9"
"Accenture","Software Engineering Manager",103937,"3.7","3.6","3.8","3.6","3.9"
"Accenture","Software Engineer",64975,"3.7","3.6","3.8","3.6","3.9"
"Accenture","Senior Technical Consultant",116615,"3.7","3.6","3.8","3.6","3.9"
"Accenture","Database Administrator",76770,"3.7","3.6","3.8","3.6","3.9"
"Accenture","Information Technology Manager",98422,"3.7","3.6","3.8","3.6","3.9"
"Accenture","Test Analyst",71005,"3.7","3.6","3.8","3.6","3.9"
"Accenture","Computer Specialist",74245,"3.7","3.6","3.8","3.6","3.9"
"aclu","Paralegal",44216,"4.5","3.5","3.8","4.0","4.3"
"aclu","Legal Assistant",46214,"4.5","3.5","3.8","4.0","4.3"
"aclu","Director of Communications",81028,"4.5","3.5","3.8","4.0","4.3"
"Adecco: USA","Maintenance Technician",20.4,"3.4","3.2","3.0","3.2","3.2"
"Adecco: USA","Production Worker",10.79,"3.4","3.2","3.0","3.2","3.2"
"Adecco: USA","Machine Operator",12.13,"3.4","3.2","3.0","3.2","3.2"
"Adecco: USA","Picker/Packer",12.76,"3.4","3.2","3.0","3.2","3.2"
"Adecco: USA","Forklift Operator",12.39,"3.4","3.2","3.0","3.2","3.2"
"Adecco: USA","Material Handler",11.77,"3.4","3.2","3.0","3.2","3.2"
"Adecco: USA","Assistant Coordinator",17.04,"3.4","3.2","3.0","3.2","3.2"
"Adecco: USA","Packager",10.9,"3.4","3.2","3.0","3.2","3.2"
"Adecco: USA","Warehouse Worker",11.71,"3.4","3.2","3.0","3.2","3.2"
"Adecco: USA","Inspector",12,"3.4","3.2","3.0","3.2","3.2"
"Adecco: USA","Operator",13.27,"3.4","3.2","3.0","3.2","3.2"
"Adecco: USA","Service Technician",15,"3.4","3.2","3.0","3.2","3.2"
"Adecco: USA","Customer Support Representative",15.15,"3.4","3.2","3.0","3.2","3.2"
"Adecco: USA","Customer Service Representative",12.99,"3.4","3.2","3.0","3.2","3.2"
"Adecco: USA","Clerk",12.35,"3.4","3.2","3.0","3.2","3.2"
"Adecco: USA","Data Entry Clerk",12.28,"3.4","3.2","3.0","3.2","3.2"
"Adecco: USA","Bilingual Customer Service Associate",13.75,"3.4","3.2","3.0","3.2","3.2"
"Adecco: USA","Administrative Assistant",15.15,"3.4","3.2","3.0","3.2","3.2"
"Adecco: USA","Packer",12.4,"3.4","3.2","3.0","3.2","3.2"
"Adecco: USA","CNC Operator",14.06,"3.4","3.2","3.0","3.2","3.2"
"Adecco: USA","Receptionist",12.92,"3.4","3.2","3.0","3.2","3.2"
"Adecco: USA","Assembler",11.92,"3.4","3.2","3.0","3.2","3.2"
"Adecco: USA","Collection Representative",14.95,"3.4","3.2","3.0","3.2","3.2"
"Adecco: USA","Support Specialist",15.24,"3.4","3.2","3.0","3.2","3.2"
"Adecco: USA","Production Associate",11.06,"3.4","3.2","3.0","3.2","3.2"
"Adobe","Product Marketing Manager",116065,"4.1","4.2","3.7","3.6","4.0"
"Adobe","Technical Support",74415,"4.1","4.2","3.7","3.6","4.0"
"Adobe","Senior Computer Scientist",139966,"4.1","4.2","3.7","3.6","4.0"
"Adobe","Graphic Designer",100218,"4.1","4.2","3.7","3.6","4.0"
"Adobe","Designer",86524,"4.1","4.2","3.7","3.6","4.0"
"Adobe","Data Analyst",88317,"4.1","4.2","3.7","3.6","4.0"
"Adobe","Database Administrator",100165,"4.1","4.2","3.7","3.6","4.0"
"Adobe","Member of Technical Staff",72899,"4.1","4.2","3.7","3.6","4.0"
"Adobe","Business Analyst",122712,"4.1","4.2","3.7","3.6","4.0"
"Adobe","Model",144935,"4.1","4.2","3.7","3.6","4.0"
"Adobe","Computer Scientist",115555,"4.1","4.2","3.7","3.6","4.0"
"Adobe","Security Engineer",134377,"4.1","4.2","3.7","3.6","4.0"
"Adobe","Business Systems Analyst",132446,"4.1","4.2","3.7","3.6","4.0"
"Adobe","Systems Analyst",122763,"4.1","4.2","3.7","3.6","4.0"
"Adobe","Software Developer",121497,"4.1","4.2","3.7","3.6","4.0"
"Adobe","Software Engineer",109828,"4.1","4.2","3.7","3.6","4.0"
"Adobe","User Experience Designer",118889,"4.1","4.2","3.7","3.6","4.0"
"Adobe","Information Technology Specialist",62032,"4.1","4.2","3.7","3.6","4.0"
"Adobe","Senior Engineer",124834,"4.1","4.2","3.7","3.6","4.0"
"Adobe","Information Security Analyst",101192,"4.1","4.2","3.7","3.6","4.0"
"Adobe","Marketing Manager",148120,"4.1","4.2","3.7","3.6","4.0"
"Adobe","Senior Designer",127849,"4.1","4.2","3.7","3.6","4.0"
"Adobe","Marketing Specialist",33,"4.1","4.2","3.7","3.6","4.0"
"Adobe","Market Researcher",102421,"4.1","4.2","3.7","3.6","4.0"
"Adobe","Marketing Associate",44000,"4.1","4.2","3.7","3.6","4.0"
"Advent Health Partners",NA,NA,"3.5","2.5","2.0","2.0","2.0"
"Aetna","Account Executive",76417,"3.7","3.7","3.3","3.4","3.6"
"Aetna","Claims Processor",32287,"3.7","3.7","3.3","3.4","3.6"
"Aetna","Customer Service Representative",27623,"3.7","3.7","3.3","3.4","3.6"
"Aetna","Senior Customer Service Representative",37319,"3.7","3.7","3.3","3.4","3.6"
"Aetna","Member Services Representative",34447,"3.7","3.7","3.3","3.4","3.6"
"Aetna","Sales Support Representative",48098,"3.7","3.7","3.3","3.4","3.6"
"Aetna","Customer Support Representative",28448,"3.7","3.7","3.3","3.4","3.6"
"Aetna","Consultant",53876,"3.7","3.7","3.3","3.4","3.6"
"Aetna","Senior Consultant",71459,"3.7","3.7","3.3","3.4","3.6"
"Aetna","Underwriter",46289,"3.7","3.7","3.3","3.4","3.6"
"Aetna","Claims Specialist",32599,"3.7","3.7","3.3","3.4","3.6"
"Aetna","Claims Analyst",38493,"3.7","3.7","3.3","3.4","3.6"
"Aetna","Claims Examiner",37414,"3.7","3.7","3.3","3.4","3.6"
"Aetna","Data Entry Clerk",16.12,"3.7","3.7","3.3","3.4","3.6"
"Aetna","Insurance Specialist",84601,"3.7","3.7","3.3","3.4","3.6"
"Aetna","Office Assistant",20.46,"3.7","3.7","3.3","3.4","3.6"
"Aetna","Administrative Officer",48.06,"3.7","3.7","3.3","3.4","3.6"
"Aetna","Insurance Agent",96216,"3.7","3.7","3.3","3.4","3.6"
"Aetna","Service Consultant",43033,"3.7","3.7","3.3","3.4","3.6"
"Aetna","Sales Executive",55663,"3.7","3.7","3.3","3.4","3.6"
"Aetna","Account Manager",71449,"3.7","3.7","3.3","3.4","3.6"
"Aetna","Administrative Assistant",19.34,"3.7","3.7","3.3","3.4","3.6"
"Aetna","Management Associate",40920,"3.7","3.7","3.3","3.4","3.6"
"Aetna","Engagement Manager",16,"3.7","3.7","3.3","3.4","3.6"
"Aetna","Manager",47999,"3.7","3.7","3.3","3.4","3.6"
"Affinion Group",NA,NA,"3.3","3.4","2.8","2.9","3.1"
"Akamai Technologies","Practice Manager",137657,"4.0","4.1","3.5","3.6","3.9"
"Akamai Technologies","Senior Application Engineer",117158,"4.0","4.1","3.5","3.6","3.9"
"Akamai Technologies","Software Test Engineer",104793,"4.0","4.1","3.5","3.6","3.9"
"Akamai Technologies","Senior Software Engineer",122479,"4.0","4.1","3.5","3.6","3.9"
"Akamai Technologies","Software Architect",98168,"4.0","4.1","3.5","3.6","3.9"
"Akamai Technologies","Senior Quality Assurance Engineer",112568,"4.0","4.1","3.5","3.6","3.9"
"Akamai Technologies","Senior System Engineer",122599,"4.0","4.1","3.5","3.6","3.9"
"Akamai Technologies","System Engineer",105153,"4.0","4.1","3.5","3.6","3.9"
"Akamai Technologies","Performance Engineer",124192,"4.0","4.1","3.5","3.6","3.9"
"Akamai Technologies","Technical Support",74287,"4.0","4.1","3.5","3.6","3.9"
"Akamai Technologies","Senior Technical Support",98372,"4.0","4.1","3.5","3.6","3.9"
"Akamai Technologies","Engagement Manager",127828,"4.0","4.1","3.5","3.6","3.9"
"Akamai Technologies","Senior Engagement Manager",140302,"4.0","4.1","3.5","3.6","3.9"
"Akamai Technologies","Senior Operations Analyst",92626,"4.0","4.1","3.5","3.6","3.9"
"Akamai Technologies","Program Manager",99181,"4.0","4.1","3.5","3.6","3.9"
"Akamai Technologies","Learning and Development Manager",114420,"4.0","4.1","3.5","3.6","3.9"
"Akamai Technologies","Senior Program Manager",101599,"4.0","4.1","3.5","3.6","3.9"
"Akamai Technologies","Business Systems Analyst",103070,"4.0","4.1","3.5","3.6","3.9"
"Akamai Technologies","Systems Analyst",92389,"4.0","4.1","3.5","3.6","3.9"
"Akamai Technologies","Operations Analyst",89802,"4.0","4.1","3.5","3.6","3.9"
"Akamai Technologies","Senior Logistics Specialist",78342,"4.0","4.1","3.5","3.6","3.9"
"Akvelon, Inc.","Senior Software Developer",88542,"4.0","4.0","4.0","3.0","3.5"
"Akvelon, Inc.","Software Developer",87000,"4.0","4.0","4.0","3.0","3.5"
"Akvelon, Inc.","Software Engineer",85642,"4.0","4.0","4.0","3.0","3.5"
"Alion Science and Technology","Lead Analyst",26.24,"3.8","3.7","3.0","3.3","3.5"
"Alion Science and Technology","Logistics Analyst",71372,"3.8","3.7","3.0","3.3","3.5"
"Alion Science and Technology","Program Manager",85765,"3.8","3.7","3.0","3.3","3.5"
"Alion Science and Technology","Billing Analyst",56740,"3.8","3.7","3.0","3.3","3.5"
"Alion Science and Technology","Senior Program Analyst",115673,"3.8","3.7","3.0","3.3","3.5"
"Alion Science and Technology","Administrative Intern",16,"3.8","3.7","3.0","3.3","3.5"
"Alion Science and Technology","Financial Analyst",61855,"3.8","3.7","3.0","3.3","3.5"
"Alion Science and Technology","Senior System Engineer",93365,"3.8","3.7","3.0","3.3","3.5"
"Alion Science and Technology","Data Specialist",42531,"3.8","3.7","3.0","3.3","3.5"
"Alion Science and Technology","Program Analyst",58553,"3.8","3.7","3.0","3.3","3.5"
"Alion Science and Technology","Electronics Engineer",94089,"3.8","3.7","3.0","3.3","3.5"
"Alion Science and Technology","Administrator",82937,"3.8","3.7","3.0","3.3","3.5"
"Alion Science and Technology","Administrative Assistant",53526,"3.8","3.7","3.0","3.3","3.5"
"Alion Science and Technology","Senior Financial Analyst",85666,"3.8","3.7","3.0","3.3","3.5"
"Alion Science and Technology","Security Officer",84635,"3.8","3.7","3.0","3.3","3.5"
"AlixPartners",NA,NA,"2.5","4.3","4.3","3.0","2.8"
"ALLIANCEBERNSTEIN","Associate",49785,"3.4","3.1","3.0","2.9","3.3"
"ALLIANCEBERNSTEIN","Vice President",158795,"3.4","3.1","3.0","2.9","3.3"
"ALLIANCEBERNSTEIN","Assistant Vice President",57676,"3.4","3.1","3.0","2.9","3.3"
"AllianceData",NA,NA,"4.5","4.5","4.5","4.5","5.0"
"Allianz Worldwide Partners",NA,NA,"2.9","3.5","3.3","2.7","3.1"
"Allstate Insurance","Sales Representative",36743,"3.8","3.5","3.3","3.5","3.7"
"Allstate Insurance","Adjuster",41171,"3.8","3.5","3.3","3.5","3.7"
"Allstate Insurance","Claims Specialist",30067,"3.8","3.5","3.3","3.5","3.7"
"Allstate Insurance","Associate Producer",35252,"3.8","3.5","3.3","3.5","3.7"
"Allstate Insurance","Senior Claims Specialist",35056,"3.8","3.5","3.3","3.5","3.7"
"Allstate Insurance","Administrative Assistant",11.4,"3.8","3.5","3.3","3.5","3.7"
"Allstate Insurance","Insurance Agent",40814,"3.8","3.5","3.3","3.5","3.7"
"Allstate Insurance","Claims Adjuster",41298,"3.8","3.5","3.3","3.5","3.7"
"Allstate Insurance","Producer",34719,"3.8","3.5","3.3","3.5","3.7"
"Allstate Insurance","Senior Producer",45895,"3.8","3.5","3.3","3.5","3.7"
"Allstate Insurance","Insurance Producer",39224,"3.8","3.5","3.3","3.5","3.7"
"Allstate Insurance","Receptionist",9.91,"3.8","3.5","3.3","3.5","3.7"
"Allstate Insurance","Customer Specialist",32089,"3.8","3.5","3.3","3.5","3.7"
"Allstate Insurance","Claims Associate",28379,"3.8","3.5","3.3","3.5","3.7"
"Allstate Insurance","Bilingual Customer Service Associate",28680,"3.8","3.5","3.3","3.5","3.7"
"Allstate Insurance","Customer Service Representative",23997,"3.8","3.5","3.3","3.5","3.7"
"Allstate Insurance","Office Manager",12.38,"3.8","3.5","3.3","3.5","3.7"
"Allstate Insurance","Licensed Agent",37051,"3.8","3.5","3.3","3.5","3.7"
"Allstate Insurance","Insurance Specialist",25.54,"3.8","3.5","3.3","3.5","3.7"
"Allstate Insurance","Sales Professional",43191,"3.8","3.5","3.3","3.5","3.7"
"Allstate Insurance","Telemarketer",29658,"3.8","3.5","3.3","3.5","3.7"
"Allstate Insurance","Senior Customer Service Representative",30365,"3.8","3.5","3.3","3.5","3.7"
"Allstate Insurance","Business Associate III",13.56,"3.8","3.5","3.3","3.5","3.7"
"Altair Engineering",NA,NA,"4.2","4.1","3.8","4.0","4.2"
"Altamira Technologies Corporation",NA,NA,"4.0","4.0","3.0","4.0","3.7"
"Amazon.com","Software Engineer",102222,"3.4","3.8","3.3","3.3","3.5"
"Amazon.com","Senior Product Manager",126598,"3.4","3.8","3.3","3.3","3.5"
"Amazon.com","Retail Sales Associate",12.3,"3.4","3.8","3.3","3.3","3.5"
"Amazon.com","Team Leader",41010,"3.4","3.8","3.3","3.3","3.5"
"Amazon.com","Senior Operations Manager",116700,"3.4","3.8","3.3","3.3","3.5"
"Amazon.com","Senior Software Engineer",124161,"3.4","3.8","3.3","3.3","3.5"
"Amazon.com","Fulfillment Associate",11.99,"3.4","3.8","3.3","3.3","3.5"
"Amazon.com","Software Engineering Manager",137603,"3.4","3.8","3.3","3.3","3.5"
"Amazon.com","Service Associate",20000,"3.4","3.8","3.3","3.3","3.5"
"Amazon.com","Area Manager",72954,"3.4","3.8","3.3","3.3","3.5"
"Amazon.com","Seasonal Associate",11.99,"3.4","3.8","3.3","3.3","3.5"
"Amazon.com","Stocking Associate",11.96,"3.4","3.8","3.3","3.3","3.5"
"Amazon.com","Engineering Program Manager",125194,"3.4","3.8","3.3","3.3","3.5"
"Amazon.com","Inbound Customer Service Representative",35307,"3.4","3.8","3.3","3.3","3.5"
"Amazon.com","Warehouse Worker",12.18,"3.4","3.8","3.3","3.3","3.5"
"Amazon.com","Senior Customer Service Representative",11.19,"3.4","3.8","3.3","3.3","3.5"
"Amazon.com","Shift Leader",13.26,"3.4","3.8","3.3","3.3","3.5"
"Amazon.com","Receiving Associate",12.28,"3.4","3.8","3.3","3.3","3.5"
"Amazon.com","Operations Manager",109448,"3.4","3.8","3.3","3.3","3.5"
"Amazon.com","Material Handler",12.09,"3.4","3.8","3.3","3.3","3.5"
"Amazon.com","Customer Service Manager",10.68,"3.4","3.8","3.3","3.3","3.5"
"Amazon.com","Order Picker",11.9,"3.4","3.8","3.3","3.3","3.5"
"Amazon.com","Customer Service Representative",11.32,"3.4","3.8","3.3","3.3","3.5"
"Amazon.com","Packer",12.09,"3.4","3.8","3.3","3.3","3.5"
"Amazon.com","Support Associate",16.4,"3.4","3.8","3.3","3.3","3.5"
"American Academy of Orthopaedic Surgeons","Administrative Assistant",43393,"3.8","3.5","3.0","2.8","2.5"
"American Electric Power (AEP)","Senior Engineer",96503,"3.8","4.1","3.6","3.5","3.8"
"American Electric Power (AEP)","Electrician",20.84,"3.8","4.1","3.6","3.5","3.8"
"American Electric Power (AEP)","Meter Reader",15.7,"3.8","4.1","3.6","3.5","3.8"
"American Electric Power (AEP)","Engineer",86834,"3.8","4.1","3.6","3.5","3.8"
"American Electric Power (AEP)","Electrician Assistant",11.12,"3.8","4.1","3.6","3.5","3.8"
"American Electric Power (AEP)","Controls Engineer",73383,"3.8","4.1","3.6","3.5","3.8"
"American Electric Power (AEP)","Material Coordinator",19.93,"3.8","4.1","3.6","3.5","3.8"
"American Electric Power (AEP)","Associate Engineer",67919,"3.8","4.1","3.6","3.5","3.8"
"American Electric Power (AEP)","Equipment Operator",27.3,"3.8","4.1","3.6","3.5","3.8"
"American Electric Power (AEP)","Senior Customer Service Representative",31531,"3.8","4.1","3.6","3.5","3.8"
"American Electric Power (AEP)","Forklift Operator",16.69,"3.8","4.1","3.6","3.5","3.8"
"American Electric Power (AEP)","Planning Engineer",91153,"3.8","4.1","3.6","3.5","3.8"
"American Electric Power (AEP)","Mechanic",35.67,"3.8","4.1","3.6","3.5","3.8"
"American Electric Power (AEP)","Customer Service Representative",13.13,"3.8","4.1","3.6","3.5","3.8"
"American Express","Business Consultant",56106,"4.0","4.0","3.6","3.8","4.0"
"American Express","Business Development Manager",105214,"4.0","4.0","3.6","3.8","4.0"
"American Express","Engineer",94071,"4.0","4.0","3.6","3.8","4.0"
"American Express","Senior Engineer",114156,"4.0","4.0","3.6","3.8","4.0"
"American Express","Business Analyst",54974,"4.0","4.0","3.6","3.8","4.0"
"American Express","Risk Manager",104482,"4.0","4.0","3.6","3.8","4.0"
"American Express","Customer Support Representative",38380,"4.0","4.0","3.6","3.8","4.0"
"American Express","Senior Manager",107570,"4.0","4.0","3.6","3.8","4.0"
"American Express","Quality Assurance Analyst",69981,"4.0","4.0","3.6","3.8","4.0"
"American Express","Customer Service Representative",33924,"4.0","4.0","3.6","3.8","4.0"
"American Express","Team Leader",55158,"4.0","4.0","3.6","3.8","4.0"
"American Express","Director",131809,"4.0","4.0","3.6","3.8","4.0"
"American Express","Fraud Analyst",40540,"4.0","4.0","3.6","3.8","4.0"
"American Express","Senior Developer",91104,"4.0","4.0","3.6","3.8","4.0"
"American Express","Database Administrator",98241,"4.0","4.0","3.6","3.8","4.0"
"American Express","Customer Care Specialist",40267,"4.0","4.0","3.6","3.8","4.0"
"American Express","Quality Engineer",90302,"4.0","4.0","3.6","3.8","4.0"
"American Express","Customer Service Team Lead",44383,"4.0","4.0","3.6","3.8","4.0"
"American Express","Senior Software Engineer",116378,"4.0","4.0","3.6","3.8","4.0"
"American Express","Senior Customer Support Representative",17.55,"4.0","4.0","3.6","3.8","4.0"
"American Express","Manager",84852,"4.0","4.0","3.6","3.8","4.0"
"American Express","Software Architect",110367,"4.0","4.0","3.6","3.8","4.0"
"American Express","Software Engineer",98569,"4.0","4.0","3.6","3.8","4.0"
"American Express","Lead Developer",100640,"4.0","4.0","3.6","3.8","4.0"
"American Express","Business Systems Analyst",64868,"4.0","4.0","3.6","3.8","4.0"
"American Family Insurance","Claims Adjuster",53416,"3.6","3.5","3.1","3.3","3.5"
"American Family Insurance","Producer",11.54,"3.6","3.5","3.1","3.3","3.5"
"American Family Insurance","Receptionist",10.89,"3.6","3.5","3.1","3.3","3.5"
"American Family Insurance","Agent Assistant",12.14,"3.6","3.5","3.1","3.3","3.5"
"American Family Insurance","Sales Specialist",12.21,"3.6","3.5","3.1","3.3","3.5"
"American Family Insurance","Insurance Agent",13.34,"3.6","3.5","3.1","3.3","3.5"
"American Family Insurance","Insurance Producer",13.58,"3.6","3.5","3.1","3.3","3.5"
"American Family Insurance","Customer Service Representative",12.58,"3.6","3.5","3.1","3.3","3.5"
"American Family Insurance","Claims Representative",43552,"3.6","3.5","3.1","3.3","3.5"
"American Family Insurance","Office Assistant",11.5,"3.6","3.5","3.1","3.3","3.5"
"American Family Insurance","Insurance Specialist",13.77,"3.6","3.5","3.1","3.3","3.5"
"American Family Insurance","Adjuster",52531,"3.6","3.5","3.1","3.3","3.5"
"American Family Insurance","Senior Adjuster",64830,"3.6","3.5","3.1","3.3","3.5"
"American Family Insurance","Claims Examiner",48261,"3.6","3.5","3.1","3.3","3.5"
"American Family Insurance","Customer Service/Sales Representative",12.03,"3.6","3.5","3.1","3.3","3.5"
"American Family Insurance","Customer Representative",14.02,"3.6","3.5","3.1","3.3","3.5"
"American Family Insurance","Customer Specialist",12.76,"3.6","3.5","3.1","3.3","3.5"
"American Family Insurance","Office Manager",13.22,"3.6","3.5","3.1","3.3","3.5"
"American Family Insurance","Customer Support Representative",40521,"3.6","3.5","3.1","3.3","3.5"
"American Family Insurance","Licensed Agent",11.91,"3.6","3.5","3.1","3.3","3.5"
"American Family Insurance","Sales Representative",13.38,"3.6","3.5","3.1","3.3","3.5"
"American Family Insurance","Freelance Designer",60,"3.6","3.5","3.1","3.3","3.5"
"American Institutes for Research","Project Specialist",70902,"3.4","3.4","3.0","2.9","3.6"
"American Institutes for Research","Software Engineer",82156,"3.4","3.4","3.0","2.9","3.6"
"American Institutes for Research","Statistician",77341,"3.4","3.4","3.0","2.9","3.6"
"American Institutes for Research","Senior Researcher",90797,"3.4","3.4","3.0","2.9","3.6"
"American Institutes for Research","Research Assistant",38086,"3.4","3.4","3.0","2.9","3.6"
"American Institutes for Research","Technical Writer",54472,"3.4","3.4","3.0","2.9","3.6"
"American Institutes for Research","Senior Software Engineer",90598,"3.4","3.4","3.0","2.9","3.6"
"American Institutes for Research","Research Associate",45257,"3.4","3.4","3.0","2.9","3.6"
"American Institutes for Research","Technical Project Manager",80261,"3.4","3.4","3.0","2.9","3.6"
"American Institutes for Research","Systems Analyst",59542,"3.4","3.4","3.0","2.9","3.6"
"American Institutes for Research","Researcher",69876,"3.4","3.4","3.0","2.9","3.6"
"American Institutes for Research","Programmer",72478,"3.4","3.4","3.0","2.9","3.6"
"American Institutes for Research","Data Analyst",54667,"3.4","3.4","3.0","2.9","3.6"
"American Systems","3d Printing Technician",42660,"3.7","3.7","3.1","3.4","3.7"
"American Systems","Electronics Technician",80971,"3.7","3.7","3.1","3.4","3.7"
"American Systems","Senior Analyst",99432,"3.7","3.7","3.1","3.4","3.7"
"American Systems","Project Manager",65814,"3.7","3.7","3.1","3.4","3.7"
"American Systems","Technician",35000,"3.7","3.7","3.1","3.4","3.7"
"Amherst",NA,NA,"4.4","4.0","3.4","3.8","4.2"
"Amsted Industries","Production Worker",14.63,"3.0","3.0","1.9","2.2","2.2"
"Amsted Industries","Electronics Technician",32,"3.0","3.0","1.9","2.2","2.2"
"Amsted Industries","Industrial Electrician",27.19,"3.0","3.0","1.9","2.2","2.2"
"Amsted Industries","Maintenance Person",32,"3.0","3.0","1.9","2.2","2.2"
"Analytic Recruiting","Risk Analyst",97216,"5.0","5.0","5.0","5.0","5.0"
"Analytic Recruiting","Risk Manager",140225,"5.0","5.0","5.0","5.0","5.0"
"Analytic Recruiting","Data Analyst",85386,"5.0","5.0","5.0","5.0","5.0"
"Analytic Recruiting","Marketing Manager",121956,"5.0","5.0","5.0","5.0","5.0"
"Analytic Recruiting","Campaign Manager",105682,"5.0","5.0","5.0","5.0","5.0"
"Analytic Recruiting","Predictive Modeling Manager",112858,"5.0","5.0","5.0","5.0","5.0"
"Analytic Recruiting","Data Scientist",127801,"5.0","5.0","5.0","5.0","5.0"
"Analytic Recruiting","Java Developer",129029,"5.0","5.0","5.0","5.0","5.0"
"Analytic Recruiting","Market Researcher",92025,"5.0","5.0","5.0","5.0","5.0"
"Analytic Recruiting",".NET Developer",125767,"5.0","5.0","5.0","5.0","5.0"
"Analytic Recruiting","Analytics Manager",108758,"5.0","5.0","5.0","5.0","5.0"
"Analytic Recruiting","Director of Marketing",131832,"5.0","5.0","5.0","5.0","5.0"
"Analytic Recruiting","Analytics and Insight Manager",121776,"5.0","5.0","5.0","5.0","5.0"
"Analytic Recruiting","Python Developer",122573,"5.0","5.0","5.0","5.0","5.0"
"Analytic Recruiting","Senior Database Analyst",85437,"5.0","5.0","5.0","5.0","5.0"
"Analytic Recruiting","Director",144292,"5.0","5.0","5.0","5.0","5.0"
"Analytic Recruiting","Database Manager",111910,"5.0","5.0","5.0","5.0","5.0"
"Analytic Recruiting","Database Analyst",89450,"5.0","5.0","5.0","5.0","5.0"
"Analytic Recruiting","C++ Developer",133502,"5.0","5.0","5.0","5.0","5.0"
