Index,store,coupon,discount,total
36,Kiwi Crate,6 Coupons,Up to $10.00,
37,Kiyonna,1 Coupon,4.0% Cash Back,
38,KLM,No Coupons Available,1.0% Cash Back,"$14,341 "
39,Kmart.com,62 Coupons,1.0% Cash Back,"$2,191,514 "
40,Kneipp,No Coupons Available,4.0% Cash Back,
41,Knights Inn,12 Coupons,2.5% Cash Back,
42,Knixwear,1 Coupon,4.5% Cash Back,
43,Kobo,2 Coupons,5.0% Cash Back,"$4,184 "
44,Kohl's,25 Coupons,3.0% Cash Back,
45,Kole Imports,5 Coupons,1.5% Cash Back,
46,Komarov,2 Coupons,4.0% Cash Back,
47,Koolaburra,No Coupons Available,4.5% Cash Back,
48,Koral,2 Coupons,3.0% Cash Back,
49,Kule,No Coupons Available,5.0% Cash Back,
50,Kupinatao,No Coupons Available,1.25% Cash Back,
51,L'OCCITANE,7 Coupons,3.0% Cash Back,"$220,889 "
52,L.K. Bennett,3 Coupons,5.0% Cash Back,
53,L.L.Bean,2 Coupons,2.0% Cash Back,"$1,134,746 "
54,La Garconne,10 Coupons,3.0% Cash Back,
55,La Mer,2 Coupons,3.0% Cash Back,
56,La Redoute,1 Coupon,4.0% Cash Back,"$15,394 "
57,La-Z-Boy,No Coupons Available,2.5% Cash Back,
58,Lab Series for Men,3 Coupons,4.0% Cash Back,
59,Lacoste,4 Coupons,2.0% Cash Back,"$67,115 "
60,LacrosseMonkey.com,No Coupons Available,2.5% Cash Back,"$13,066 "
61,Lady Foot Locker,8 Coupons,5.0% Cash Back was 3.0%,"$59,051 "
62,Lakeside Collection,17 Coupons,2.0% Cash Back,"$110,902 "
63,LAMPS PLUS,8 Coupons,3.0% Cash Back,
64,Lancome,4 Coupons,8.0% Cash Back was 4.0%,
65,Lands' End,7 Coupons,2.0% Cash Back,"$4,644,186 "
66,Lane Bryant,3 Coupons,2.5% Cash Back,"$572,614 "
67,Laplink,No Coupons Available,5.0% Cash Back,
68,Laptop Battery Express,4 Coupons,5.0% Cash Back,
69,Laura Mercier,1 Coupon,6.0% Cash Back,"$25,125 "
70,Lax World,5 Coupons,2.5% Cash Back,
71,Le Couvent des Minimes,1 Coupon,2.5% Cash Back,
72,Le Creuset,13 Coupons,5.0% Cash Back,
73,Le Meridien,No Coupons Available,2.5% Cash Back,"$3,387 "
74,Leanin' Tree,2 Coupons,4.0% Cash Back,
75,Learning Resources,4 Coupons,4.0% Cash Back,
76,Ledbury,2 Coupons,4.0% Cash Back,
77,Legendary Whitetails,20 Coupons,3.0% Cash Back,
78,Legion Athletics,3 Coupons,1.5% Cash Back,
79,LEGO,1 Coupon,5.0% Cash Back was 2.5%,"$626,428 "
80,LELO,2 Coupons,10.0% Cash Back,
81,LeMall.com,No Coupons Available,Up to 5.0%,
82,Lenovo,23 Coupons,5.0% Cash Back was 3.0%,
83,Lenox,No Coupons Available,4.5% Cash Back,"$116,178 "
84,LensDirect.com,13 Coupons,5.0% Cash Back,
85,LensMart,3 Coupons,7.0% Cash Back,
86,LensPure,No Coupons Available,9.0% Cash Back,
87,Leonisa.com,2 Coupons,4.0% Cash Back,"$5,872 "
88,Levi's,4 Coupons,2.5% Cash Back,
89,Lexington Law,2 Coupons,$37.50 Cash Back,
90,LexMod,3 Coupons,4.0% Cash Back,
91,lia sophia Outlet,3 Coupons,1.0% Cash Back,
92,Liberty Mutual Insurance,1 Coupon,Up to $8.50,"$2,791 "
93,Lids.com,10 Coupons,3.0% Cash Back,"$188,109 "
94,Life is Good,5 Coupons,5.0% Cash Back,"$37,419 "
95,Life Stride,2 Coupons,5.0% Cash Back,"$1,376 "
96,Lifeline Skin Care,4 Coupons,8.5% Cash Back,
97,LifeProof,5 Coupons,5.0% Cash Back,
98,Light in the Box,30 Coupons,6.0% Cash Back,"$80,882 "
99,Lighting By Gregory,2 Coupons,4.0% Cash Back,
100,Lighting Direct,30 Coupons,5.0% Cash Back,
101,Lighting Showplace,11 Coupons,4.0% Cash Back,
102,Lights Online,11 Coupons,7.5% Cash Back,
103,Lilla P,4 Coupons,6.0% Cash Back,
104,Lillian Vernon,3 Coupons,3.5% Cash Back,"$109,406 "
105,The Limited,No Coupons Available,No Discount,
106,Limoges Jewelry,9 Coupons,5.0% Cash Back,"$28,483 "
107,Lindt Chocolate,4 Coupons,4.0% Cash Back,"$8,080 "
108,Linen Source,3 Coupons,4.0% Cash Back,
109,Linens Bargains,8 Coupons,4.0% Cash Back,
110,Links of London,5 Coupons,5.0% Cash Back,
111,Lisa Hoffman Beauty,3 Coupons,5.0% Cash Back,
112,Living Proof,3 Coupons,4.0% Cash Back,"$5,629 "
113,Living XL,1 Coupon,3.5% Cash Back,
114,LivingDirect,No Coupons Available,2.5% Cash Back,"$11,401 "
115,LivingSocial,15 Coupons,3.0% Cash Back,"$1,600,031 "
116,Lobster Gram,5 Coupons,5.0% Cash Back,
117,LOFT,10 Coupons,2.0% Cash Back,"$1,601,063 "
118,Logitech,2 Coupons,3.0% Cash Back was 2.0%,"$22,200 "
119,Logo Sportswear,2 Coupons,3.0% Cash Back,
120,LogoWorks,1 Coupon,2.5% Cash Back,
121,Loit,2 Coupons,4.0% Cash Back,
122,Look Human,9 Coupons,5.0% Cash Back,
123,Lookbook Store,No Coupons Available,5.0% Cash Back,
124,LookFantastic,5 Coupons,3.5% Cash Back,"$10,995 "
125,Lord & Taylor,No Coupons Available,3.0% Cash Back,"$1,508,737 "
126,Lorex Technology,4 Coupons,4.0% Cash Back,
127,LostMyName,1 Coupon,5.0% Cash Back,
128,Lou & Grey,3 Coupons,2.5% Cash Back,"$1,794 "
129,Love-Scent,5 Coupons,15.0% Cash Back,
130,Loveivy,2 Coupons,2.5% Cash Back,
131,Lovell Rugby,No Coupons Available,2.5% Cash Back,
132,Lovepop,5 Coupons,6.0% Cash Back,
133,Lovesick,No Coupons Available,2.0% Cash Back,
134,Lowe's,22 Coupons,2.5% Cash Back was 1.5%,
135,Loxa Beauty,8 Coupons,6.0% Cash Back,
136,LTD Commodities,5 Coupons,2.0% Cash Back,"$227,701 "
137,Lucky Brand,No Coupons Available,2.0% Cash Back,"$102,966 "
138,Lucky Vitamin,33 Coupons,2.5% Cash Back,"$10,284 "
139,lucy Activewear,1 Coupon,5.0% Cash Back was 2.5%,"$35,002 "
140,Luggage Guy,9 Coupons,7.0% Cash Back,
141,Luggage Pros,1 Coupon,4.0% Cash Back,
142,Lugz,4 Coupons,5.0% Cash Back,"$2,698 "
143,Luisaviaroma,7 Coupons,Up to 4.5%,
144,Lulu Frost,2 Coupons,4.0% Cash Back,
145,LuLu*s,4 Coupons,1.0% Cash Back,"$129,833 "
146,Lululemon,6 Coupons,8.0% Cash Back was 4.0%,
147,Lumber Liquidators,6 Coupons,2.0% Cash Back,
148,Lumens,21 Coupons,2.0% Cash Back,
149,Luxomo,2 Coupons,3.0% Cash Back,
150,Luxury Barber,17 Coupons,7.5% Cash Back,
151,Luxury Perfume,8 Coupons,4.0% Cash Back,
152,Lynda.com,No Coupons Available,10.0% Cash Back,"$7,338 "
153,M&J Trimming,8 Coupons,3.5% Cash Back,
154,MAC Cosmetics,9 Coupons,3.0% Cash Back,"$16,118 "
155,The Maca Team,No Coupons Available,5.0% Cash Back,
156,Mackage,1 Coupon,3.0% Cash Back,
157,MacMall,100 Coupons,2.0% Cash Back,
158,MacPaw,1 Coupon,20.0% Cash Back,
159,Macphun,2 Coupons,10.0% Cash Back,
160,Macy's,109 Coupons,3.0% Cash Back,
161,Madda Fella,4 Coupons,10.0% Cash Back,
162,Madewell,2 Coupons,1.5% Cash Back,"$247,508 "
163,Magazine Line,20 Coupons,17.5% Cash Back,
164,Magazine Values,1 Coupon,7.5% Cash Back,"$1,634 "
165,Magazines.com,10 Coupons,25.0% Cash Back,
166,Magic Cabin,4 Coupons,1.0% Cash Back,"$2,946 "
167,MailPix,5 Coupons,9.0% Cash Back,"$1,171 "
168,MainStay Suites,1 Coupon,2.5% Cash Back,
169,Majestic Athletic,11 Coupons,4.0% Cash Back,
170,Malwarebytes,2 Coupons,15.0% Cash Back,
171,Mango,2 Coupons,Up to 2.5%,"$61,240 "
172,Mankind,3 Coupons,Up to 3.5%,
173,Manuka Doctor,3 Coupons,4.0% Cash Back,
174,Mara Hoffman,4 Coupons,3.5% Cash Back,
175,Marbles: The Brain Store,No Coupons Available,1.0% Cash Back,"$4,258 "
176,Marc Fisher,1 Coupon,3.5% Cash Back,
177,Marc Jacobs,2 Coupons,2.5% Cash Back,
178,Marc Jacobs Beauty,5 Coupons,4.0% Cash Back,"$7,668 "
179,Marciano,3 Coupons,2.0% Cash Back,"$11,757 "
180,Margaritaville Cargo,4 Coupons,4.0% Cash Back,
181,Marika,3 Coupons,5.0% Cash Back,"$2,429 "
182,mark.,5 Coupons,3.0% Cash Back,"$19,994 "
183,Marks & Spencer,2 Coupons,3.5% Cash Back,"$5,016 "
184,Marriott.com,22 Coupons,2.5% Cash Back,
185,Marvel Store,2 Coupons,5.0% Cash Back,"$2,436 "
186,Maryland Square,No Coupons Available,7.5% Cash Back,"$77,136 "
187,Mass Fidelity,1 Coupon,5.0% Cash Back,
188,MATCHESFASHION.COM,No Offers Available,3.5% Cash Back,"$312,225 "
189,Mattel Shop,6 Coupons,2.5% Cash Back,"$35,704 "
190,Mattress.com,3 Coupons,4.0% Cash Back,
191,Maurices,2 Coupons,2.0% Cash Back,"$284,101 "
192,Mavi,5 Coupons,4.0% Cash Back,
193,Maxstudio,5 Coupons,5.0% Cash Back was 3.0%,
194,McAfee,No Coupons Available,20.0% Cash Back,"$126,438 "
195,MCM Worldwide,No Coupons Available,3.5% Cash Back,
196,Mead,9 Coupons,5.5% Cash Back,"$3,589 "
197,Meaningful Beauty,3 Coupons,15.0% Cash Back,
198,Medical Supply Depot,12 Coupons,2.5% Cash Back,
199,Medifast Diet,8 Coupons,7.5% Cash Back,
200,Melijoe,1 Coupon,2.5% Cash Back,
201,Melissa & Doug,3 Coupons,4.0% Cash Back,"$38,642 "
202,MeMoi,No Coupons Available,5.0% Cash Back,
203,Men's Wearhouse,15 Coupons,4.0% Cash Back,
204,Meredith Magazines,11 Coupons,Up to 40.0%,
205,Meritline.com,1 Coupon,3.5% Cash Back,"$9,715 "
206,Merlin Cycles,5 Coupons,1.0% Cash Back,
207,Merrell,1 Coupon,4.0% Cash Back,
208,Michael C. Fina,No Coupons Available,2.0% Cash Back,"$2,030 "
209,Michael Kors,2 Coupons,4.0% Cash Back,
210,Michaels,3 Coupons,2.0% Cash Back,"$50,867 "
211,Michele,1 Coupon,5.0% Cash Back,
212,Microsoft Store,38 Coupons,Up to 6.0%,
213,Microtel Inn and Suites,9 Coupons,2.5% Cash Back,"$6,308 "
214,Mighty Leaf Tea,No Coupons Available,6.0% Cash Back,"$20,888 "
215,Mikasa,13 Coupons,2.0% Cash Back,"$32,250 "
216,Miles Kimball,2 Coupons,3.0% Cash Back,"$36,925 "
217,Millennium & Copthorne Hotels,No Coupons Available,3.0% Cash Back,
218,MILLY,1 Coupon,5.0% Cash Back,
219,MindWare,14 Coupons,5.0% Cash Back,"$6,176 "
220,MiniInTheBox,53 Coupons,4.5% Cash Back,"$7,979 "
221,Ministry of Supply,7 Coupons,2.5% Cash Back,
222,Minted,1 Coupon,1.5% Cash Back,
223,MIO Alpha,No Coupons Available,7.5% Cash Back,
224,Mio Skincare,No Coupons Available,4.0% Cash Back,
225,Misfit,2 Coupons,7.5% Cash Back,
226,Miss Selfridge,2 Coupons,4.0% Cash Back,"$2,355 "
227,MissGuided,4 Coupons,4.0% Cash Back,"$9,835 "
228,MisterArt.com,6 Coupons,3.0% Cash Back,"$11,969 "
229,Mixbook,3 Coupons,5.0% Cash Back,
230,MLB Shop,7 Coupons,1.5% Cash Back,"$159,729 "
231,Moda Operandi,6 Offers,6.0% Cash Back was 3.0%,
232,ModCloth,13 Coupons,2.0% Cash Back,"$182,172 "
233,Modell's,3 Coupons,3.5% Cash Back,"$54,094 "
234,Modern Bathroom,2 Coupons,2.5% Cash Back,
235,Monoprice,6 Coupons,1.0% Cash Back,"$35,449 "
236,Monster Products,7 Coupons,3.5% Cash Back,
237,Monster.com,3 Coupons,5.0% Cash Back,
238,MOO,2 Coupons,2.5% Cash Back,"$9,945 "
239,Moosejaw,8 Coupons,5.0% Cash Back,
240,Moschino,1 Coupon,3.0% Cash Back,
241,Motel 6,3 Coupons,2.5% Cash Back,"$32,977 "
242,Motherhood Maternity,1 Coupon,2.5% Cash Back,"$70,099 "
243,Motives Cosmetics,4 Coupons,4.0% Cash Back,"$2,035 "
244,Motorola Mobility,7 Coupons,3.0% Cash Back,
245,MotoSport,1 Coupon,3.0% Cash Back,
246,The Mountain,5 Coupons,3.5% Cash Back,
247,Mountain Gear,16 Coupons,2.5% Cash Back,
248,Mountain Hardwear,14 Coupons,5.0% Cash Back,
249,MountainSteals.com,11 Coupons,5.0% Cash Back,
250,Mouth,4 Coupons,4.0% Cash Back,"$1,672 "
251,MR PORTER,5 Offers,3.0% Cash Back,
252,Mr. Coffee,4 Coupons,4.0% Cash Back,"$3,318 "
253,Mrs. Fields,No Coupons Available,4.0% Cash Back,"$45,225 "
254,Mrs. Prindable's,3 Coupons,4.0% Cash Back,"$8,654 "
255,MSC Industrial Supply,3 Coupons,1.0% Cash Back,
256,Murad Skin Care,6 Coupons,7.0% Cash Back,
257,MuscleEgg,2 Coupons,1.5% Cash Back,"$1,253 "
258,Music & Arts,13 Coupons,3.5% Cash Back,"$6,950 "
259,Musician's Friend,37 Coupons,2.5% Cash Back,
260,Muttropolis,9 Coupons,5.0% Cash Back,
261,Mwave,1 Coupon,1.5% Cash Back,"$23,012 "
262,My Evergreen,4 Coupons,5.0% Cash Back,
263,MY M&M's,6 Coupons,10.0% Cash Back was 4.0%,
264,My Mold Detective,No Coupons Available,10.0% Cash Back,
265,Mybag,8 Coupons,4.0% Cash Back,
266,myFICO,No Coupons Available,$5.00 Cash Back,"$11,863 "
267,MYHABIT,No Coupons Available,No Discount,
268,Myprotein,16 Coupons,4.0% Cash Back,"$8,469 "
269,MyPublisher,3 Coupons,Up to 5.0%,"$11,768 "
270,NA-KD,3 Coupons,12.5% Cash Back,
271,Naked,8 Coupons,4.0% Cash Back,
272,Nancy Meyer,No Coupons Available,4.0% Cash Back,"$2,042 "
273,NARS Cosmetics,3 Coupons,5.0% Cash Back,"$42,311 "
274,NASCAR.com Store,1 Coupon,1.5% Cash Back,"$14,928 "
275,Nasty Gal,2 Coupons,4.0% Cash Back,"$65,406 "
276,National Car Rental,No Coupons Available,2.5% Cash Back,"$54,440 "
277,National Pen,12 Coupons,4.0% Cash Back,
278,NationalBusinessFurniture.com,48 Coupons,2.5% Cash Back,
279,Native Remedies,6 Coupons,7.5% Cash Back,
280,Natural Healthy Concepts,13 Coupons,4.0% Cash Back,
281,Naturalizer,8 Coupons,3.0% Cash Back,"$87,020 "
282,Nautica,6 Coupons,6.0% Cash Back,
283,Navigation.com,1 Coupon,5.0% Cash Back,
284,NBA Store,5 Coupons,1.5% Cash Back,"$56,216 "
285,Necessary Clothing,7 Coupons,3.5% Cash Back,"$7,140 "
286,Need Supply Co.,3 Coupons,2.5% Cash Back,
287,Neiman Marcus,5 Offers,8.0% Cash Back was 4.0%,
288,Neiman Marcus Last Call,6 Offers,8.0% Cash Back was 4.0%,
289,NeoStrata,3 Coupons,7.5% Cash Back,
290,NET-A-PORTER,No Offers Available,3.0% Cash Back,"$290,827 "
291,Network Solutions,3 Coupons,Up to 12.5%,
292,Neutrogena,3 Coupons,5.0% Cash Back,
293,New Balance,3 Coupons,5.0% Cash Back,
294,New York & Company,3 Coupons,2.5% Cash Back,"$451,887 "
295,New York SightSeeing,No Coupons Available,7.5% Cash Back,"$1,255 "
296,The New York Times Home Delivery,2 Coupons,Coupons Only,
297,The New York Times Store,No Coupons Available,6.0% Cash Back,"$7,788 "
298,Newark,1 Coupon,3.5% Cash Back,
299,Newchic,52 Coupons,5.0% Cash Back,
300,Newegg,119 Coupons,1.0% Cash Back,"$2,501,539 "
301,Newegg Business,88 Coupons,1.5% Cash Back,
302,NeweggFlash,8 Coupons,1.0% Cash Back,"$6,331 "
303,Next,3 Coupons,4.0% Cash Back,"$5,243 "
304,Nextiva,3 Coupons,$15.00 Cash Back,
305,NFL GamePass,1 Coupon,5.0% Cash Back,
306,NFL Shop,7 Coupons,1.5% Cash Back,"$282,112 "
307,NIC+ZOE,3 Coupons,4.0% Cash Back,
308,Nicole Miller,6 Coupons,6.0% Cash Back,
309,Nike,6 Coupons,8.0% Cash Back was 1.5%,
310,Nina Shoes,6 Coupons,6.0% Cash Back,
311,Nine West,2 Coupons,3.5% Cash Back,"$268,012 "
312,Nisolo,1 Coupon,5.0% Cash Back,
313,Nonda,No Coupons Available,5.0% Cash Back,
314,Nordstrom,22 Offers,2.0% Cash Back,
315,Nordstrom Rack,2 Coupons,1.0% Cash Back,"$399,247 "
316,Norm Thompson,2 Coupons,1.0% Cash Back,"$22,380 "
317,The North Face,No Coupons Available,4.0% Cash Back,"$483,445 "
318,Northern Tool,2 Coupons,2.0% Cash Back,
319,NorthlineExpress.com,2 Coupons,3.5% Cash Back,
320,Norton Security and Antivirus,5 Coupons,Up to 15.0%,
321,Novastor,1 Coupon,Up to 15.0%,
322,NOVICA,2 Coupons,4.0% Cash Back,"$27,213 "
323,Novotel,1 Coupon,4.0% Cash Back,
324,NTB,No Coupons Available,No Discount,
325,Nuance,3 Coupons,10.0% Cash Back,
326,Nunn Bush,4 Coupons,5.0% Cash Back,"$1,668 "
327,Nutri-Health Supplements,No Coupons Available,10.0% Cash Back,"$2,183 "
328,Nutrisystem,3 Coupons,7.5% Cash Back,
329,NuWave,12 Coupons,8.0% Cash Back,
330,NYDJ,2 Coupons,5.0% Cash Back,
331,Nyrius,2 Coupons,4.0% Cash Back,
332,O'Neill,No Coupons Available,3.0% Cash Back,"$2,921 "
333,Oakley,15 Coupons,3.0% Cash Back,
334,OASAP,28 Coupons,6.0% Cash Back,"$1,266 "
335,Oasis Fashion,2 Coupons,3.5% Cash Back,
336,Of a Kind,No Coupons Available,2.0% Cash Back,
337,OfficeDesigns.com,5 Coupons,5.0% Cash Back was 2.5%,
338,OfficeFurniture.com,4 Coupons,3.5% Cash Back,
339,OfficeFurniture2Go,2 Coupons,7.5% Cash Back,
340,Ojon Haircare,No Coupons Available,4.0% Cash Back,"$3,758 "
341,Oka b.,1 Coupon,3.0% Cash Back,"$2,612 "
342,Okabashi,2 Coupons,3.0% Cash Back,"$1,200 "
343,Old Navy,11 Coupons,2.0% Cash Back,"$5,860,015 "
344,Old Navy Canada,6 Coupons,2.0% Cash Back,"$10,035 "
345,Old Pueblo Traders,2 Coupons,2.5% Cash Back,"$7,723 "
346,Old Time Candy,3 Coupons,2.5% Cash Back,"$11,294 "
347,Ole Henriksen,2 Coupons,4.0% Cash Back,"$11,915 "
348,Olive Garden Gift Cards,1 Coupon,1.0% Cash Back,
349,Omaha Steaks,9 Coupons,3.5% Cash Back,"$462,972 "
350,One Hanes Place,7 Coupons,3.0% Cash Back,"$136,883 "
351,One Kings Lane,2 Coupons,4.0% Cash Back was 2.0%,
352,OneCall,7 Coupons,2.0% Cash Back,
353,Oneida,7 Coupons,5.0% Cash Back,"$54,054 "
354,Onepiece,16 Coupons,2.5% Cash Back,
355,OneTravel,42 Coupons,Up to $12.50,
356,Onlineshoes.com,No Coupons Available,No Discount,
357,Only Natural Pet,11 Coupons,3.0% Cash Back,"$48,568 "
358,Onnit,No Coupons Available,Up to 12.5%,"$1,565 "
359,OpenSky,2 Coupons,4.0% Cash Back,"$93,802 "
360,Orbitz,18 Coupons,Up to 7.0%,
361,Orbitz Air,No Coupons Available,Up to $1.50,
362,Orchard Mile,1 Coupon,4.0% Cash Back,
363,Organic Bouquet,1 Coupon,9.0% Cash Back,
364,Oriental Trading Company,5 Coupons,2.0% Cash Back,"$309,005 "
365,Original Penguin,11 Coupons,4.0% Cash Back,"$30,025 "
366,Origins,3 Coupons,8.0% Cash Back was 4.0%,"$443,771 "
367,Orion Telescopes and Binoculars,No Coupons Available,3.0% Cash Back,"$12,585 "
368,Ornament Shop,9 Coupons,2.5% Cash Back,"$2,465 "
369,Orvis,11 Coupons,2.5% Cash Back,
370,Oscar de la Renta,13 Coupons,2.0% Cash Back,
371,OshKosh B'gosh,3 Coupons,2.5% Cash Back,"$194,727 "
372,Oster.com,6 Coupons,4.0% Cash Back,"$2,868 "
373,OsterPro,No Coupons Available,4.0% Cash Back,
374,OtterBox,3 Coupons,5.0% Cash Back,"$89,851 "
375,Ouidad,4 Coupons,4.0% Cash Back,
376,Outdoorplay,11 Coupons,4.0% Cash Back,
377,The Outnet.com,17 Offers,3.0% Cash Back,
378,Overland.com,1 Coupon,5.0% Cash Back,
379,Overnight Prints,23 Coupons,2.5% Cash Back,"$63,542 "
380,Overstock.com,1 Coupon,4.0% Cash Back was 2.0%,
381,Overton's,2 Coupons,2.0% Cash Back,
382,OYO Sportstoys,2 Coupons,5.0% Cash Back,"$5,412 "
383,OZNaturals,2 Coupons,4.0% Cash Back,
384,P.S. from Aeropostale,No Coupons Available,No Discount,
385,P90X,No Coupons Available,4.0% Cash Back,"$3,297 "
386,Pacific Coast Feather,No Coupons Available,5.0% Cash Back,"$24,925 "
387,PacSun.com,1 Coupon,1.0% Cash Back,"$218,143 "
388,Paige,2 Coupons,5.0% Cash Back,
389,Palms Casino Resort,4 Coupons,2.5% Cash Back,"$1,001 "
390,Panasonic,11 Coupons,2.0% Cash Back,
391,Paper Direct,No Coupons Available,2.5% Cash Back,"$8,622 "
392,Paper Mart,9 Coupons,2.0% Cash Back,"$8,598 "
393,Paper Source,6 Coupons,3.5% Cash Back,"$26,988 "
394,The Paper Store,3 Coupons,3.0% Cash Back,
395,Paperchase,2 Coupons,4.0% Cash Back,
396,Paperless Post,1 Coupon,2.5% Cash Back,"$3,218 "
397,Parachute Home,3 Coupons,2.5% Cash Back,"$2,265 "
398,Paragon Sports,7 Coupons,3.0% Cash Back,
399,Parallels,No Coupons Available,3.5% Cash Back,"$5,220 "
400,Paris Las Vegas,2 Coupons,2.5% Cash Back,
401,ParisCity Vision,7 Coupons,2.5% Cash Back,
402,Park Inn,1 Coupon,3.0% Cash Back,
403,Park Plaza Hotels & Resorts,5 Coupons,3.5% Cash Back,
404,Parker NY,5 Coupons,4.0% Cash Back,
405,ParkSleepFly,1 Coupon,10.0% Cash Back,"$5,608 "
406,Parrot,5 Coupons,3.0% Cash Back,
407,Party City,No Coupons Available,No Discount,
408,Patagonia,6 Coupons,2.0% Cash Back,
409,Paul Fredrick,5 Coupons,4.0% Cash Back,
410,Paul Smith,No Coupons Available,1.5% Cash Back,
411,Paul's Boutique,No Coupons Available,2.5% Cash Back,
412,Paula Young,2 Coupons,2.0% Cash Back,"$4,463 "
413,Paula's Choice Skincare,3 Coupons,3.5% Cash Back,"$181,415 "
414,Payless Car Rental,2 Coupons,4.0% Cash Back,"$9,770 "
415,Payless Shoes,3 Coupons,3.0% Cash Back,"$77,167 "
416,PBS KIDS Shop,4 Coupons,5.0% Cash Back,"$3,634 "
417,PC Richard & Son,17 Coupons,1.5% Cash Back,
418,PC Rush,22 Coupons,1.5% Cash Back,
419,PCM,268 Coupons,1.5% Cash Back,
420,PeaceLoveWorld,7 Coupons,4.0% Cash Back,
421,Peebles,9 Coupons,3.0% Cash Back,
422,Peeps,6 Coupons,4.0% Cash Back,"$1,427 "
423,Pelican Water,3 Coupons,5.0% Cash Back,
424,Peltz Shoes,5 Coupons,5.0% Cash Back,"$3,523 "
425,Penningtons,4 Coupons,2.0% Cash Back,
426,Peony and Me,3 Coupons,10.0% Cash Back,
427,The People's Operator,4 Coupons,Up to $32.50,
428,Pep Boys,9 Coupons,Up to 4.0%,"$13,074 "
429,Perfect Memorials,4 Coupons,3.0% Cash Back,"$2,336 "
430,Performance Bicycle,4 Coupons,1.0% Cash Back,
431,Perfumania,6 Coupons,7.0% Cash Back,
432,Perfume Emporium,1 Coupon,5.5% Cash Back,"$33,965 "
433,The Perfume Spot,6 Coupons,2.5% Cash Back,"$42,336 "
434,Perricone MD,7 Coupons,5.0% Cash Back,
435,Perry Ellis,9 Coupons,4.0% Cash Back,"$27,871 "
436,Personal Creations,2 Coupons,8.0% Cash Back,
437,Personalabs,3 Coupons,5.0% Cash Back,
438,Personalization Mall,2 Coupons,7.5% Cash Back,"$521,671 "
439,Personalization Universe,2 Coupons,8.0% Cash Back,
440,Peruvian Connection,3 Coupons,2.5% Cash Back,
441,Pet Fancy,1 Coupon,4.5% Cash Back,
442,Pet Street Mall,2 Coupons,4.0% Cash Back,
443,Pet360,3 Coupons,9.0% Cash Back,
444,PetCareRx,5 Coupons,6.0% Cash Back,
445,Petco,3 Coupons,4.0% Cash Back,"$1,150,343 "
446,Peter Manning NYC,8 Coupons,2.5% Cash Back,
447,Peter Millar,3 Coupons,3.0% Cash Back,
448,Peter Thomas Roth,4 Coupons,3.5% Cash Back,
449,Peter Thomas Roth Fine Jewelry,No Coupons Available,3.0% Cash Back,
450,PetFoodDirect.com,1 Coupon,9.0% Cash Back,"$222,592 "
451,Petit Bateau,5 Coupons,6.0% Cash Back,
452,Petplan,6 Coupons,$12.50 Cash Back,
453,PetSmart,24 Coupons,4.0% Cash Back,"$494,183 "
454,Pevonia,1 Coupon,5.0% Cash Back,
455,PF Flyers,7 Coupons,4.5% Cash Back,
456,Pfaltzgraff,12 Coupons,4.0% Cash Back,"$84,108 "
457,Pharmaca,27 Coupons,6.0% Cash Back,
458,Pharmapacks,4 Coupons,5.0% Cash Back was 3.0%,"$36,912 "
