store,coupon,discount,total
Beachbody,15 Coupons,5.0% Cash Back,"$123,448 "
Bealls,11 Coupons,3.0% Cash Back,
Bealls Florida,2 Coupons,3.5% Cash Back,"$185,650 "
BeautifiedYou.com,2 Coupons,5.0% Cash Back,
Beauty Bridge,No Coupons Available,5.0% Cash Back,"$7,879 "
Beauty Care Choices,14 Coupons,1.0% Cash Back,
Beauty Encounter,9 Coupons,5.0% Cash Back,"$14,150 "
Beauty Expert,1 Coupon,3.5% Cash Back,
Beauty Plus Salon,4 Coupons,3.5% Cash Back,
BeautyBar.com,3 Coupons,2.0% Cash Back,"$25,800 "
bebe,7 Coupons,4.0% Cash Back,
Becker Professional Education,4 Coupons,5.0% Cash Back,
Bed Bath and Beyond,25 Coupons,2.0% Cash Back,"$1,143,972 "
Bedding Style,No Coupons Available,5.0% Cash Back,"$18,721 "
Bedford Fair,2 Coupons,2.5% Cash Back,"$6,318 "
Belk.com,5 Coupons,2.0% Cash Back,"$346,112 "
Bellacor,29 Coupons,5.0% Cash Back,
BelleChic,No Coupons Available,3.0% Cash Back,"$3,676 "
Belstaff,2 Coupons,3.5% Cash Back,
Belt Outlet,1 Coupon,5.0% Cash Back,"$7,748 "
Ben Meadows,4 Coupons,3.5% Cash Back,
BenQ,3 Coupons,2.0% Cash Back,
Bergdorf Goodman,3 Coupons,4.0% Cash Back,
Bergners,29 Coupons,2.0% Cash Back,"$16,276 "
Best Bully Sticks,7 Coupons,2.0% Cash Back,"$4,997 "
Best Buy,14 Coupons,1.0% Cash Back,"$4,063,081 "
Best Cigar Prices,35 Coupons,6.0% Cash Back,
Best Deal Magazines,15 Coupons,8.5% Cash Back,"$37,941 "
Best of Orlando,15 Coupons,1.5% Cash Back,
Best of Vegas,15 Coupons,4.0% Cash Back,
Best Used Tires,8 Coupons,4.5% Cash Back was 4.0%,
Best Western,11 Coupons,2.5% Cash Back,
BestBuyEyeGlasses,7 Coupons,5.0% Cash Back,
Betsey Johnson,3 Coupons,3.0% Cash Back,"$13,191 "
Better World Books,3 Coupons,3.0% Cash Back,"$36,863 "
Betterbraces.com,3 Coupons,5.0% Cash Back,
BEVEL,1 Coupon,Up to $9.00,
BH Cosmetics,3 Coupons,5.0% Cash Back,"$132,138 "
Big Al's,23 Coupons,1.5% Cash Back,"$2,613 "
Big Dogs,4 Coupons,7.5% Cash Back,
Big Fish Games,9 Coupons,5.0% Cash Back,"$28,277 "
Big Lots,30 Coupons,2.0% Cash Back,
BiggerBooks,1 Coupon,2.5% Cash Back,"$1,345 "
Bigstock,No Coupons Available,2.0% Cash Back,
Bike Nashbar,3 Coupons,1.0% Cash Back,"$44,326 "
Biltmore,No Coupons Available,5.0% Cash Back,"$6,561 "
Biotherm,2 Coupons,3.0% Cash Back,"$91,143 "
Birchbox,10 Coupons,Up to $2.50,"$55,904 "
Birthday In A Box,2 Coupons,3.0% Cash Back,
BJ's,7 Coupons,1.0% Cash Back,"$88,858 "
Black Halo,4 Coupons,5.0% Cash Back,
BlackBerry,No Coupons Available,1.0% Cash Back,
Blain's Farm and Fleet,19 Coupons,2.5% Cash Back,"$9,130 "
Blair,6 Coupons,5.0% Cash Back,"$384,748 "
