store,coupon,discount,total
Jared - The Galleria of Jewelry,8 Coupons,7.0% Cash Back was 3.5%,
"Jason Wu, Grey",7 Coupons,3.0% Cash Back,
JBL,25 Coupons,3.0% Cash Back,"$5,155 "
JCPenney,16 Coupons,3.0% Cash Back,
JCWhitney,3 Coupons,4.0% Cash Back,
JD Williams,3 Coupons,4.0% Cash Back,"$1,144 "
Jelly Belly,5 Coupons,4.0% Cash Back,"$10,175 "
JemJem,75 Coupons,Up to 4.0%,
Jet.com,8 Coupons,3.0% Cash Back,
Jetradar,No Coupons Available,1.0% Cash Back,
Jetsetter,5 Coupons,1.5% Cash Back,
The Jewel Hut,No Coupons Available,4.0% Cash Back,
Jewelry Affairs,16 Coupons,7.5% Cash Back,
Jewelry Candles,No Coupons Available,5.0% Cash Back,
Jewelry.com,15 Coupons,7.0% Cash Back,
Jildor,5 Coupons,4.0% Cash Back,
Jimmy Choo,1 Coupon,4.0% Cash Back,
Jimmy Jazz,15 Coupons,4.0% Cash Back,
Jo Malone London,7 Coupons,3.0% Cash Back,"$22,884 "
joann.com,3 Coupons,1.0% Cash Back,"$317,347 "
Jockey,1 Coupon,4.0% Cash Back,"$86,681 "
Joe Fresh,4 Coupons,3.0% Cash Back,"$5,347 "
JOE'S Jeans,6 Coupons,4.0% Cash Back was 3.5%,
Joe's New Balance Outlet,17 Coupons,3.0% Cash Back,"$304,751 "
John Hardy,3 Coupons,5.0% Cash Back,
John Varvatos,2 Coupons,8.0% Cash Back was 4.0%,
Johnnie-O,3 Coupons,1.0% Cash Back,
Johnston & Murphy,12 Coupons,5.0% Cash Back,
Joie,3 Coupons,3.5% Cash Back,
Jones New York,6 Coupons,3.0% Cash Back,"$27,737 "
Jos. A. Bank,4 Coupons,4.0% Cash Back,
Joseph,No Coupons Available,3.0% Cash Back,
Joules,7 Coupons,3.25% Cash Back,"$2,043 "
Journelle,2 Coupons,4.0% Cash Back,
Journeys,35 Coupons,3.0% Cash Back,"$164,522 "
Joyus,1 Coupon,3.0% Cash Back,
JR Cigar,3 Coupons,8.0% Cash Back,
JS Trunk and Co.,2 Coupons,2.5% Cash Back,"$1,011 "
Judith Ripka,No Coupons Available,3.0% Cash Back,
Juice Beauty,7 Coupons,3.0% Cash Back,"$9,548 "
Juicy Couture,5 Coupons,2.5% Cash Back,
Julep,7 Coupons,5.0% Cash Back,"$23,058 "
June Jacobs,1 Coupon,3.5% Cash Back,
Junk Food Clothing,4 Coupons,1.0% Cash Back,
JunoActive,No Coupons Available,2.5% Cash Back,
Jurlique,3 Coupons,4.0% Cash Back,"$35,434 "
JUSbyJulie,6 Coupons,7.5% Cash Back,
