"store","coupon","discount","total"
"Urban Outfitters","No Coupons Available","No Discount",""
"US Cellular","9 Coupons","Up to $30.00",""
"USA Today","1 Coupon","$8.00 Cash Back",""
"Utrecht Art Supplies","4 Coupons","1.5% Cash Back","$5,727"
"VacationRentals.com","1 Coupon","$10.00 Cash Back",""
"ValueMags","1 Coupon","20.0% Cash Back",""
"Vamps NYC","No Coupons Available","4.0% Cash Back",""
"Vanity","No Coupons Available","3.0% Cash Back","$8,236"
"Vanity Planet","31 Coupons","10.0% Cash Back was 8.5%",""
"Vans","1 Coupon","4.0% Cash Back","$126,790"
"Varsity Tutors","2 Coupons","5.0% Cash Back",""
"Vayama","9 Coupons","Up to $5.00",""
"Veestro","2 Coupons","2.5% Cash Back",""
"Vegas.com","6 Coupons","3.5% Cash Back",""
"Velvet by Graham & Spencer","1 Coupon","5.0% Cash Back",""
"Vera Bradley","4 Coupons","3.0% Cash Back","$687,656"
"Verizon","34 Coupons","Up to $75.00",""
"Verizon Fios","7 Coupons","$22.50 Cash Back",""
"Veronica Beard","2 Coupons","4.0% Cash Back",""
"Verseo","8 Coupons","9.0% Cash Back",""
"Vestiaire Collective","8 Coupons","2.5% Cash Back",""
"Victoria's Secret","21 Coupons","Coupons Only",""
"VILLA","7 Coupons","2.5% Cash Back",""
"Villeroy and Boch","11 Coupons","2.5% Cash Back",""
"Vimeo","1 Coupon","Up to $25.00",""
"Vince","2 Coupons","4.0% Cash Back was 3.0%",""
"Vince Camuto","1 Coupon","2.5% Cash Back",""
"VIPRE Antivirus","3 Coupons","15.0% Cash Back",""
"Virgin America","14 Coupons","1.0% Cash Back","$74,816"
"Virgin Atlantic Airways","8 Coupons","1.5% Cash Back",""
"Virginia Gift Brands","2 Coupons","5.5% Cash Back","$6,571"
"Virginia Tech University Tech Bookstore","6 Coupons","1.0% Cash Back",""
"Vision Direct","3 Coupons","7.0% Cash Back",""
"Vision Service Plan Direct","2 Coupons","5.0% Cash Back","$14,176"
"Vistaprint","6 Coupons","4.0% Cash Back","$950,234"
"Vitacost","19 Coupons","3.0% Cash Back","$2,893,518"
"Vital Choice","3 Coupons","4.0% Cash Back",""
"VitalSource","6 Coupons","2.0% Cash Back","$4,937"
"Vitaly","2 Coupons","4.0% Cash Back",""
"Vitamin Shoppe","11 Coupons","2.0% Cash Back was 1.0%","$414,167"
"Vitamin World","3 Coupons","4.0% Cash Back","$108,076"
"Viva Media","1 Coupon","7.5% Cash Back",""
"VivaTerra","9 Coupons","4.0% Cash Back",""
"ViX Swimwear","5 Coupons","3.0% Cash Back",""
"VMware","6 Coupons","5.0% Cash Back",""
"VogueWigs","2 Coupons","8.5% Cash Back",""
"Volcom","17 Coupons","3.5% Cash Back",""
"Vonage","No Coupons Available","$12.00 Cash Back","$24,623"
"Vonage Business","2 Coupons","$10.00 Cash Back was $2.50",""
"Vons","1 Coupon","Coupons Only",""
"VRBO","1 Coupon","Up to $10.00",""
"VSSL","7 Coupons","5.0% Cash Back",""
"W Hotels","No Coupons Available","2.5% Cash Back","$12,663"
"Wag.com","27 Coupons","1.0% Cash Back","$40,478"
"Waist Shaperz","No Coupons Available","4.0% Cash Back","$1,157"
"Waldorf Astoria Hotels & Resorts","5 Coupons","2.5% Cash Back",""
"Walgreens","44 Coupons","Up to 7.0%","$1,055,384"
"Walk-In Lab","5 Coupons","7.5% Cash Back",""
"The Walking Company","25 Coupons","5.0% Cash Back",""
"The Wall Street Journal","No Coupons Available","$1.00 Cash Back","$14,826"
"Walmart","34 Coupons","1.0% Cash Back","$13,098,686"
"Walter Drake","8 Coupons","4.0% Cash Back","$50,382"
"Wantable","1 Coupon","10.0% Cash Back","$3,316"
"Watch Station","4 Coupons","5.0% Cash Back",""
"Water Outfitters","3 Coupons","3.0% Cash Back",""
"Waterford.com","No Coupons Available","4.0% Cash Back","$12,869"
"Wayfair","No Coupons Available","No Discount",""
"WBShop.com","12 Coupons","3.5% Cash Back","$54,937"
"Webkinz","7 Coupons","5.0% Cash Back","$8,034"
"Wedding Paper Divas","6 Coupons","2.0% Cash Back","$1,897"
"Wedgwood","No Coupons Available","4.0% Cash Back","$1,381"
"Weight Watchers","6 Coupons","$5.00 Cash Back",""
"WEN Hair Care","3 Coupons","15.0% Cash Back",""
"Wendell August","2 Coupons","4.0% Cash Back",""
"West Marine","7 Coupons","Up to 5.0%",""
"West Music","4 Coupons","3.0% Cash Back",""
"Westin","No Coupons Available","2.5% Cash Back","$71,117"
"What's Hangin'","3 Coupons","4.0% Cash Back",""
"The White Company","2 Coupons","6.0% Cash Back",""
"White House Black Market","4 Coupons","2.5% Cash Back","$356,744"
"White Mountain","No Coupons Available","4.0% Cash Back",""
"Wholesale Halloween Costumes","No Coupons Available","2.0% Cash Back","$40,490"
"Wicked Good Cupcakes","14 Coupons","4.0% Cash Back",""
"Wig.com","1 Coupon","2.0% Cash Back",""
"Wiggle","No Coupons Available","1.5% Cash Back","$1,993"
"Wilsons Leather","4 Coupons","5.0% Cash Back",""
"Winc","No Coupons Available","Up to $17.50",""
"Wind & Weather","5 Coupons","4.0% Cash Back",""
"Windy City Novelties","1 Coupon","6.0% Cash Back",""
"Wine Country Gift Baskets","5 Coupons","5.0% Cash Back",""
"Wine Insiders","2 Coupons","7.5% Cash Back",""
"Wine.com","13 Coupons","2.5% Cash Back","$152,018"
"Winebasket.com","1 Coupon","5.0% Cash Back",""
"WinterSilks","2 Coupons","2.0% Cash Back","$6,037"
"Wisconsin Made","4 Coupons","3.0% Cash Back",""
"Wise Emergency Foods","2 Coupons","6.0% Cash Back",""
"Wolfermans","3 Coupons","3.5% Cash Back","$51,750"
"Wolford","4 Coupons","3.0% Cash Back",""
"Wolters Kluwer","3 Coupons","5.0% Cash Back",""
"Wolverine","6 Coupons","4.0% Cash Back",""
"Wonder Workshop","No Coupons Available","5.0% Cash Back","$1,468"
"Wondershare","16 Coupons","15.0% Cash Back",""
"Wonderslim","37 Coupons","2.5% Cash Back",""
"Woodwind & Brasswind","11 Coupons","4.0% Cash Back",""
"WoolOvers","4 Coupons","2.5% Cash Back",""
"woot!","1 Coupon","Up to 2.0%",""
"Working Person","13 Coupons","5.0% Cash Back",""
"World Jewels","1 Coupon","3.5% Cash Back",""
"World Kitchen","10 Coupons","2.5% Cash Back","$13,869"
"World Wide Stereo","17 Coupons","3.0% Cash Back",""
"Worldwide Golf Shops","5 Coupons","5.0% Cash Back",""
"Wrangler","3 Coupons","2.0% Cash Back","$26,250"
"WSJwine Club","1 Coupon","Up to $20.00",""
"WWE Shop","9 Coupons","3.0% Cash Back","$27,350"
"Wysong","6 Coupons","9.0% Cash Back",""
"X Out","4 Coupons","15.0% Cash Back",""
"Yahoo! Web Hosting","2 Coupons","$3.00 Cash Back",""
"YCMC","3 Coupons","5.0% Cash Back",""
"YesAsia","3 Coupons","2.5% Cash Back","$3,745"
"YLANG 23","4 Coupons","5.0% Cash Back",""
"YogaOutlet.com","1 Coupon","3.5% Cash Back","$5,561"
"Yoins","22 Coupons","5.0% Cash Back",""
"YOOX","32 Coupons","1.5% Cash Back",""
"Younkers","29 Coupons","2.0% Cash Back","$63,637"
"Yowza Fitness","18 Coupons","4.0% Cash Back",""
"YoYo.com","1 Coupon","1.0% Cash Back","$24,311"
"Yugster","1 Coupon","3.0% Cash Back","$3,625"
"Yumi Kim","4 Coupons","4.0% Cash Back",""
"Yummie","4 Coupons","3.0% Cash Back",""
"Yves Rocher","3 Coupons","7.5% Cash Back",""
"Zaful","24 Coupons","5.0% Cash Back","$3,312"
"ZAGG invisibleSHIELD","2 Coupons","7.5% Cash Back","$42,417"
"Zales","13 Coupons","6.0% Cash Back was 3.0%",""
"Zappos","No Coupons Available","No Discount",""
"zChocolat","No Coupons Available","10.0% Cash Back",""
"Zenni Optical","2 Coupons","2.0% Cash Back","$129,779"
"Zinio","5 Coupons","1.5% Cash Back","$6,018"
"Zipcar","5 Coupons","Up to $5.00",""
"ZIRH men's skin care","No Coupons Available","5.0% Cash Back","$3,551"
"Zobha","6 Coupons","5.0% Cash Back","$2,089"
"Zola","No Coupons Available","3.0% Cash Back",""
"Zoro","No Coupons Available","2.0% Cash Back","$143,506"
"Zulily","3 Coupons","1.0% Cash Back","$725,349"
"1-800 CONTACTS","4 Coupons","5.0% Cash Back",""
"1-800-GOT-JUNK?","2 Coupons","1.5% Cash Back",""
"1-800-PetSupplies.com","No Coupons Available","No Discount",""
"10 Minute Trainer","1 Coupon","4.0% Cash Back",""
"101inks","1 Coupon","7.0% Cash Back",""
"101Phones.com","1 Coupon","3.0% Cash Back","$5,634"
"123Inkjets","5 Coupons","Up to 16.0%",""
"123Print","1 Coupon","1.5% Cash Back","$11,045"
"13Deals.com","10 Coupons","2.0% Cash Back",""
"1800AnyLens","32 Coupons","6.0% Cash Back",""
"1800BASKETS","6 Coupons","5.0% Cash Back","$56,824"
"1800FLORALS","No Coupons Available","10.0% Cash Back","$64,551"
"1800FLOWERS","8 Coupons","20.0% Cash Back was 8.0%","$1,233,769"
"1800GETLENS","1 Coupon","4.0% Cash Back",""
"1800lighting.com","16 Coupons","5.0% Cash Back",""
"1800Mattress","4 Coupons","4.0% Cash Back",""
"1ink.com","1 Coupon","10.0% Cash Back",""
"1MORE","5 Coupons","4.0% Cash Back",""
"1STOPlighting","34 Coupons","5.0% Cash Back",""
"2020AVE","5 Coupons","5.0% Cash Back","$1,289"
"24 Hour Fitness","6 Coupons","5.0% Cash Back",""
"24diamonds.com","10 Coupons","2.5% Cash Back",""
"2Modern","1 Coupon","4.5% Cash Back",""
"2xist.com","3 Coupons","4.0% Cash Back","$2,159"
"3.1 Phillip Lim","No Coupons Available","3.0% Cash Back","$4,306"
"360Training","6 Coupons","9.0% Cash Back",""
"365 OutdoorWear","1 Coupon","Up to 5.0%","$2,453"
"39dollarglasses","3 Coupons","8.0% Cash Back","$7,292"
