in_stock,Shipping_Weight,Item_model_number,product_title,num_reviews,ASIN,url,reviews_url,sale_price,3_star,5_star,2_star,Product_Dimensions,avg_rating,4_star,list_price,shipping,1_star,num_questions,description,category,Customer_Reviews
In Stock.,2.2 ounces (,30062,"Sakura 30062 6-Piece Pigma Micron Ink Pen Set, Black","5,169",B0008G8G8Y,https://www.amazon.com/Sakura-30062-6-Piece-Pigma-Micron/dp/B0008G8G8Y?_encoding=UTF8&psc=1,https://www.amazon.com/Sakura-30062-6-Piece-Pigma-Micron/product-reviews/B0008G8G8Y/ref=cm_cr_dp_qt_see_all_top/152-5930190-8319116?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1&sortBy=helpful,$6.63,5%,76%,3%,3.3 x 0.5 x 6 inches,4.5 out of 5 stars,12%,,FREE Shipping,4%,191 answered questions,". . Pigma micron ink pen set. Experience smooth, skip-free writing and crisp ink colors that leave consistent lettering and lines every time. Nib sizes for precise line width are 0.20mm, 0.25mm, 0.30mm, 0.35mm, 0.45mm and 0.50mm respectively. Achieved universal appeal and is carried by technical professionals, artists and crafters. Available in 6-piece per pack and black color. Fine point pen ideal for drawing and writing. Archival quality ink for use in acid-free environments. ","Arts, Crafts & Sewing",4.5 out of 5 stars
,,,,,,https://www.amazon.com/Sargent-Art-Coloring-Assorted-22-7251/dp/B0027PA1AU?_encoding=UTF8&psc=1,,,,,,,,,,,,,,,
Only 2 left in stock.,Item can be shipped within U.S.,,Chemical Guys WAC_808 Hybrid V7 Optical Select High Gloss Spray Sealant and Quick Detailer (1 Gal),598,B004UPZXI0,https://www.amazon.com/Chemical-Guys-WAC-808-Optical-Detailer/dp/B004UPZXI0?_encoding=UTF8&psc=1,https://www.amazon.com/Chemical-Guys-WAC_808-Optical-Detailer/product-reviews/B004UPZXI0/ref=cm_cr_dp_qt_see_all_top/157-5060148-6022312?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1&sortBy=helpful,$45.99,7%,77%,3%,,4.6 out of 5 stars,10%,,,3%,80 answered questions,". . Its hybrid fast flash technology virtually disappears into your finish leaving a durable streak free high gloss, slick and non-stick finish. A durable sealant that virtually disappears into the surface. Delivering long lasting superior optical clarity and a high shine slick finish. Hybrid V7 works at a nano-spec level and bonds to surfaces instantly. Fast and easy to use works on all painted surfaces, wheel and even glass. ",Automotive,4.6 out of 5 stars
In Stock.,0.3 ounces (,90075,"VELCRO Brand - Sticky Back - 3 1/2"" x 3/4"" Strips, 4 Sets - Black",754,B000TGSPV6,https://www.amazon.com/VELCRO-Brand-Sticky-Strips-Black/dp/B000TGSPV6?_encoding=UTF8&psc=1,https://www.amazon.com/VELCRO-Brand-Sticky-Strips-Black/product-reviews/B000TGSPV6/ref=cm_cr_dp_qt_see_all_top/153-3788812-3471762?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1&sortBy=helpful,$2.98,8%,66%,6%,3 x 0.9 x 7.2 inches,4.2 out of 5 stars,13%,,"Fast, FREE Shipping",7%,77 answered questions,". . The original Hook and Loop Fastener. Easy to use, durable and strong!. Unmatched versatility. Perfect for smooth surfaces! It is even water resistant. Use it indoor and outdoor.. Stronger adhesive, longer lasting and more durable than other brands. Perfect for around the house, classroom, office and garage! Unlimited possibilities for organization and crafts/crafting. Available in a wide variety of sizes and colors, for any application.. ","Arts, Crafts & Sewing",4.2 out of 5 stars
In Stock.,Item can be shipped within U.S.,,Mothers Carpet & Upholstery Brush,396,B001GJ3E5C,https://www.amazon.com/Mothers-155900-Carpet-Upholstery-Brush/dp/B001GJ3E5C?_encoding=UTF8&psc=1,https://www.amazon.com/Mothers-155900-Carpet-Upholstery-Brush/product-reviews/B001GJ3E5C/ref=cm_cr_dp_qt_see_all_top/152-1875274-5399509?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1&sortBy=helpful,,10%,61%,5%,,4.2 out of 5 stars,18%,,"Fast, FREE Shipping",6%,9 answered questions,". . Tough bristles remove dirt and grime. Contoured, comfortable design. Extremely durable. ",Automotive,4.2 out of 5 stars
In Stock.,Item can be shipped within U.S.,,"Hopkins 532 Mallory 26"" Snow Brush with Foam Grip (Colors may vary)","1,113",B000BPLNXC,https://www.amazon.com/Hopkins-532-Mallory-Brush-Colors/dp/B000BPLNXC?_encoding=UTF8&psc=1,https://www.amazon.com/Hopkins-532-Mallory-Brush-Colors/product-reviews/B000BPLNXC/ref=cm_cr_dp_qt_see_all_top/152-4056922-1165353?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1&sortBy=helpful,$9.52,5%,72%,2%,,4.6 out of 5 stars,19%,,FREE Shipping,2%,12 answered questions,. . 26 inches long. Features four rows of sturdy bristles. The most durable product on the market. Highest quality and most economical price. Colors may vary. ,Automotive,4.6 out of 5 stars
In Stock.,"Amazon only ships this item within the contiguous 48 United States. Other Sellers on Amazon may ship this item to Alaska, Hawaii and US Territories.",,"Bosch 26A ICON Wiper Blade - 26"" (Pack of 1)","3,976",B005JU5W54,https://www.amazon.com/Bosch-26A-ICON-Wiper-Blade/dp/B005JU5W54?_encoding=UTF8&psc=1,https://www.amazon.com/Bosch-26A-ICON-Wiper-Blade/product-reviews/B005JU5W54/ref=cm_cr_dp_qt_see_all_top/166-1942902-6753862?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1&sortBy=helpful,$19.49,4%,72%,5%,,4.3 out of 5 stars,9%,$21.83,"Fast, FREE Shipping",10%,229 answered questions,. . Exclusive fx dual rubber resists heat and ozone deterioration and proven to last up to 40% longer than other premium wiper blades. Patented beam design with shielded connector optimizes visibility even under extreme weather conditions. Flexible asymmetric spoiler distributes uniform downward force along the entire blade to hold it firmly to the windshield at higher speeds. Exclusive tension spring arcing technology creates a fit that’s custom-contoured to the curvature of each side of the windshield. Easy installation with original equipment-quality adapter. ,Automotive,4.3 out of 5 stars
In Stock.,5 ounces (,2002050,Cricut Tools Craft Basic Set,721,B00EZUCUUE,https://www.amazon.com/Cricut-Tools-Craft-Basic-Set/dp/B00EZUCUUE?_encoding=UTF8&psc=1,https://www.amazon.com/Cricut-Tools-Craft-Basic-Set/product-reviews/B00EZUCUUE/ref=cm_cr_dp_qt_see_all_top/159-0829474-2622965?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1&sortBy=helpful,$16.02,3%,84%,1%,1.1 x 10.3 x 6.5 inches,4.8 out of 5 stars,11%,,"Fast, FREE Shipping",1%,,Includes the following Cricut Tools: Scissors with protective blade cover; Tweezers; Weeder; Scraper; and Spatula. Four interchangeable end caps. Get all the Cricut Tools in one set. ,"Arts, Crafts & Sewing",4.8 out of 5 stars
In Stock.,Item can be shipped within U.S.,,AmazonBasics Microfiber Cleaning Cloth - 24 Pack,"2,492",B009FUF6DM,https://www.amazon.com/AmazonBasics-Microfiber-Cleaning-Cloth-Pack/dp/B009FUF6DM?_encoding=UTF8&psc=1,https://www.amazon.com/AmazonBasics-Microfiber-Cleaning-Cloth-Pack/product-reviews/B009FUF6DM/ref=cm_cr_dp_qt_see_all_top/166-7641170-0579113?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1&sortBy=helpful,$14.81,8%,67%,5%,,4.3 out of 5 stars,16%,,"Fast, FREE Shipping",4%,115 answered questions,". . Ultra soft, non-abrasive microfiber cloths will not scratch paints, coats or other surfaces. Cleans with or without chemical cleaners, leaves lint and streak free results. Absorbs eight times its own weight. Pack comes with three different towel colors (blue, yellow, and white). Rinse and reuse 100's of times. Imported; 90% Polyester 10% Polyamide. ",Electronics,4.3 out of 5 stars
In Stock.,1.6 ounces (,,Outee 9 PCS Women Choker Necklaces Black Velvet Stretch Tattoo Choker Necklace Set for Girls,150,B01K55SI80,https://www.amazon.com/Outee-Choker-Necklaces-Stretch-Necklace/dp/B01K55SI80?_encoding=UTF8&psc=1,https://www.amazon.com/Outee-Choker-Necklaces-Stretch-Necklace/product-reviews/B01K55SI80/ref=cm_cr_dp_qt_see_all_top/157-9640166-2020552?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1&sortBy=helpful,$7.79,7%,63%,6%,7 x 5 x 2 inches,4.3 out of 5 stars,20%,,"Fast, FREE Shipping",4%,3 answered questions,"***Important Notice, Please Read ***. We never authorize any other seller to sell Outee products.. Outee products only sold by "" Outee US"" and fulfilled by Amazon. Only Items Sold by ""Outee US"" will have quality warranty for 48 months. COMMON SIZE – 30cm/ 12.2” choker length with 6cm/ 2.4” chain length, common size fit for most people. Package includes 9 pieces black velvet chokers necklaces.. Good black chockers present for Christmas Day, Valentine's Day, Mother's Day, Thanksgiving Day. Ideal for most occasion.. PRODUCT WARRANTY AND CUSTOMER SERVICE - We provide 48-day money-back and 24-month warranty. So feel free to contact us if you have any question. ","Arts, Crafts & Sewing",4.3 out of 5 stars
,,,"Best Microfiber Cleaning Cloth, Pack of 50","1,405",,https://www.amazon.com/Best-Microfiber-Cleaning-Cloth-Pack/dp/B01DV2OJYG?_encoding=UTF8&psc=1,https://www.amazon.com/Best-Microfiber-Cleaning-Cloth-Pack/product-reviews/B01DV2OJYG/ref=cm_cr_dp_qt_see_all_top/158-6631993-5327648?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1&sortBy=helpful,$19.99,6%,67%,4%,,4.3 out of 5 stars,16%,$24.18,"Fast, FREE Shipping",7%,47 answered questions,,Health & Household,
In Stock.,10.6 ounces (,Glit30,"Glitter Gel Pens by Color Technik, Set of 30 Glitter Pens, Best Assorted Colors, Now with More Ink. Large Glitter Set on Amazon, Enhance Your Adult Coloring Book Experience Now! Perfect Gift Idea!",562,B01JR0SO4M,https://www.amazon.com/Color-Technik-Assorted-Coloring-Experience/dp/B01JR0SO4M?_encoding=UTF8&psc=1,https://www.amazon.com/Color-Technik-Assorted-Coloring-Experience/product-reviews/B01JR0SO4M/ref=cm_cr_dp_qt_see_all_top/160-0383959-4363641?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1&sortBy=helpful,$12.95,2%,88%,1%,13.2 x 6 x 0.6 inches,4.8 out of 5 stars,8%,$29.99,"Fast, FREE Shipping",1%,16 answered questions,"★ PREMIUM ARTIST QUALITY: Gift Set of 30 Amazing Vibrant Glitter & Glitter Neon Colors. Micron Archival Quality Style Ink.. ★COLOR TECHNIK'S LARGEST GLITTER SET ON AMAZON: We appreciate all your feedback, You Wanted More Glitter Colors to bring your pages to Life, So We Have Put Together The Ultimate Glitter Gel Pen Set to Fulfill all your Artistic needs.. ★ COLOR TECHNIK GEL PENS: Will Make Your Pictures Sparkle & Shine, Have a Smooth Ink Flow For Smoother Coloring & Writing. Strong Durable Lead-Free Tips that produce perfect lines, Tip size 1.0mm ★ COMFORT GRIP: Color and Doodle away the stress of the day with ease, each pen is fitted with Color coded comfort grip.. ★ VARIETY OF USES: Premium Quality Gel Pens are Great for a Variety of Uses Such as Arts & Crafts, Adult and Children Coloring Books, Scrapbooks, School Projects, Party Invites, Greeting Cards, Doodle, DIY Decor & Letters to Friends & Family, The Uses are Endless!. ★ SAFETY FIRST: CONFORMS TO ASTM D-4236 & EN71-3, Acid-Free, Non-Toxic, Lead-Free ★ GUARANTEE: Buy Now Risk-Free, Limited SALE OFFER, You are Backed by our 365 Days Money Back Guarantee!. ","Arts, Crafts & Sewing",4.8 out of 5 stars
,,,Chemical Guys WAC_303 Wheel Guard Rim and Wheel Sealant (8 oz),141,,https://www.amazon.com/Chemical-Guys-WAC-303-Wheel-Sealant/dp/B001THV9D0?_encoding=UTF8&psc=1,https://www.amazon.com/Chemical-Guys-WAC_303-Wheel-Sealant/product-reviews/B001THV9D0/ref=cm_cr_dp_qt_see_all_top/168-6690559-9191464?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1&sortBy=helpful,$16.95,13%,63%,5%,,4.3 out of 5 stars,15%,$24.95,"Fast, FREE Shipping",4%,16 answered questions,,Automotive,
In Stock.,Item can be shipped within U.S.,,Battery Tender 021-0123 Battery Tender Junior 12V Battery Charger,"6,506",B000CITK8S,https://www.amazon.com/Battery-Tender-021-0123-Junior-Charger/dp/B000CITK8S?_encoding=UTF8&psc=1,https://www.amazon.com/Battery-Tender-021-0123-Junior-Charger/product-reviews/B000CITK8S/ref=cm_cr_dp_qt_see_all_top/167-9313467-9355547?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1&sortBy=helpful,$27.55,2%,83%,1%,,4.7 out of 5 stars,11%,,"Fast, FREE Shipping",3%,475 answered questions,". . Spark proof during lead connection, reverse polarity protected and includes a 12-foot output cord and 5-year warranty. Perfect for charging all 12-volt lead-acid, flooded or sealed maintenance free batteries (AGM and gel cell). Complete 4-step charging program (Initialization, Bulk Charge, Float Mode) allows for optimization of battery power, without overcharging. Automatic charge cycle functionality switches to float mode after fully charging the battery. Solid state two color LED indicates stage of charger.. ",Automotive,4.7 out of 5 stars
,,,BAFX Products 34t5 Bluetooth OBDII Scan Tool for Android Devices,"7,993",,https://www.amazon.com/BAFX-Products-34t5-Bluetooth-Android/dp/B005NLQAHS?_encoding=UTF8&psc=1,https://www.amazon.com/BAFX-Products-34t5-Bluetooth-Android/product-reviews/B005NLQAHS/ref=cm_cr_dp_qt_see_all_top/158-3305708-0571102?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1&sortBy=helpful,$21.99,4%,74%,2%,,4.5 out of 5 stars,14%,,"Fast, FREE Shipping",6%,1000+ answered questions,,Automotive,
In Stock.,"Amazon only ships this item within the contiguous 48 United States. Other Sellers on Amazon may ship this item to Alaska, Hawaii and US Territories.",,"Hopkins 2610XM Subzero 52"" Super Extender Snowbroom (Colors may vary)","1,029",B0016GRTVU,https://www.amazon.com/Hopkins-2610XM-Subzero-Extender-Snowbroom/dp/B0016GRTVU?_encoding=UTF8&psc=1,https://www.amazon.com/Hopkins-2610XM-Subzero-Extender-Snowbroom/product-reviews/B0016GRTVU/ref=cm_cr_dp_qt_see_all_top/152-0826230-6479038?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1&sortBy=helpful,$9.37,9%,57%,5%,,4.1 out of 5 stars,18%,$12.49,"Fast, FREE Shipping",11%,17 answered questions,". . Heavy duty broom for snow clearing power. Steel extender handle with soft cushion grip. Extra wide blade with convenient squeegee. Ideal tool for trucks, vans and SUVs. Hand grip and pole style may vary slightly. ",Automotive,4.1 out of 5 stars
In Stock.,0.6 ounces (,SILH-BLADE-3-3T,Silhouette Replacement Blade,"1,252",B005S2O61E,https://www.amazon.com/Silhouette-SILH-BLADE-3-3T-Replacement-Blade/dp/B005S2O61E?_encoding=UTF8&psc=1,https://www.amazon.com/Silhouette-SILH-BLADE-3-3T-Replacement-Blade/product-reviews/B005S2O61E/ref=cm_cr_dp_qt_see_all_top/153-0447592-2177143?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1&sortBy=helpful,$9.99,4%,80%,3%,5.8 x 1 x 3.5 inches,4.5 out of 5 stars,9%,,"Fast, FREE Shipping",4%,29 answered questions,Compatible with all silhouette electronic cutting tools. Ratchet-style blade. Includes adjustment tool. ,"Arts, Crafts & Sewing",4.5 out of 5 stars
In Stock.,Item can be shipped within U.S.,,Chemical Guys CWS_107 Extreme Body Wash and Synthetic Wax Car Wash Shampoo (1 Gal),206,B003U4P3U0,https://www.amazon.com/Chemical-Guys-CWS-107-Extreme-Synthetic/dp/B003U4P3U0?_encoding=UTF8&psc=1,https://www.amazon.com/Chemical-Guys-CWS_107-Extreme-Synthetic/product-reviews/B003U4P3U0/ref=cm_cr_dp_qt_see_all_top/166-1526554-8569747?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1&sortBy=helpful,$21.02,9%,77%,2%,,4.6 out of 5 stars,11%,$22.95,"Fast, FREE Shipping",1%,26 answered questions,". . This has premium bodywash shampoo and synthetic gloss enhancer. Formulated with new foaming technology which utilizes cleaners suspended within the suds and bubbles to gently lift away the toughest road grime. Gently lifts dirt, rinses fast leaving behind a premium shine. pH-balanced blend of polymers and lubricants will gently remove dirt and contaminants from your car while still leaving your wax or sealant perfectly intact. Formulated with a synthetic and carnauba wax that greatly reduces water spots by limiting calcium's ability to dry to the surface. ",Automotive,4.6 out of 5 stars
In Stock.,12 ounces (,TAS-OPMAST15,"Thornton's Art Supply Oil-Based Paint Markers, Medium Point, Assorted Colors, Set of 15",11,B01BIBIZ74,https://www.amazon.com/Thorntons-Art-Supply-Oil-Based-Assorted/dp/B01BIBIZ74?_encoding=UTF8&psc=1,https://www.amazon.com/Thorntons-Art-Supply-Oil-Based-Assorted/product-reviews/B01BIBIZ74/ref=cm_cr_dp_qt_see_all_top/162-7328586-0664323?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1&sortBy=helpful,$22.99,9%,82%,,5.9 x 3.6 x 2.2 inches,4.6 out of 5 stars,9%,,FREE Shipping,,,"Oil-based opaque paint markers for marking on light or dark surfaces.. For metal, pottery, wood, rubber, glass, plastic, stone and more.. Quick drying, water-, fade- and abrasion-resistant ink. Includes a FREE plastic stand to easily store and select which markers you want to use.. The oil-based paint markers are perfect for decorating and adding accents to a variety of items, even non-porous materials. It goes on smooth with no mess, while marking opaque and glossy on light and dark surfaces.. Colors included are: Black, White, Red, Blue, Green, Brown, Yellow, Pink, Purple, Orange, Gold, Silver, Lime Green, Magenta and Aqua.. ","Arts, Crafts & Sewing",4.6 out of 5 stars
In Stock.,"June 15, 2015",,"Car Sun shade(3px)-80 GSM for Maximum UV protection-Extra large-20""x12""sunshades","1,584",B00ZOKJVAG,https://www.amazon.com/shade-Maximum-protection-Extra-large-20-sunshades/dp/B00ZOKJVAG?_encoding=UTF8&psc=1,https://www.amazon.com/shade-Maximum-protection-Extra-large-20-sunshades/product-reviews/B00ZOKJVAG/ref=cm_cr_dp_qt_see_all_top/164-7114737-9175705?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1&sortBy=helpful,,5%,70%,3%,,4.5 out of 5 stars,19%,,"Fast, FREE Shipping",3%,45 answered questions,". . Bigger Size- This car sun shade comes in a bigger size than others for best coverage and sun protection (20x12) And fits most vehicles .. Bigger Quantity – Kinder Fluff sunshade set has 1 extra shade than other car sunshades out there to keep in your bag for travel giving you the best value for your money.. High Quality- our car sunshade has 2 sides. One side is made of premium Static cling material and the other side, the 80 GSM (Highest possible) protective mesh that blocks up to 98% of damaging UV rays.. Compact Design- It comes with a free compact travel pouch. Installs and folds in seconds without any suction cups or adhesives.. The Perfect Gift- This sunshade for car will make the best of baby gifts to match the baby infant car seats , the best of car gifts for anyone who loves car accessories or has children or pets that need sun protection.. ",Automotive,4.5 out of 5 stars
